# _root_ Ama , doların _ hızlı _ düşüşü enflasyonu _ _ artırırken , yumuşak inişi _ _ _ sertleştirebilecektir .
#goldHeads=19,0,6,5,7,7,10,10,10,11,18,0,14,18,16,17,18,19,0,
#predictedHeads=19,0,7,5,7,7,11,10,10,11,18,0,14,18,16,17,18,19,0,
(12,16),-1.43925 # DEPENDENCYPART_ARC
(12,17),-1.54342 # DEPENDENCYPART_ARC
(12,18),-1.3023 # DEPENDENCYPART_ARC
(12,19),-1.39744 # DEPENDENCYPART_ARC
(13,9),-1.99933 # DEPENDENCYPART_ARC
(13,10),-1.50579 # DEPENDENCYPART_ARC
(13,11),-1.31542 # DEPENDENCYPART_ARC
(13,12),-0.559187 # DEPENDENCYPART_ARC
(13,14),-0.652668 # DEPENDENCYPART_ARC
(14,5),-1.60773 # DEPENDENCYPART_ARC
(14,7),-0.59221 # DEPENDENCYPART_ARC
(14,8),-1.18894 # DEPENDENCYPART_ARC
(14,9),-1.69807 # DEPENDENCYPART_ARC
(14,10),-1.29346 # DEPENDENCYPART_ARC
(14,11),-1.12185 # DEPENDENCYPART_ARC
(14,12),-0.656126 # DEPENDENCYPART_ARC
(14,13),1.2908 # DEPENDENCYPART_ARC
(14,15),-0.947487 # DEPENDENCYPART_ARC
(14,16),-1.31072 # DEPENDENCYPART_ARC
(14,17),-1.70998 # DEPENDENCYPART_ARC
(15,10),-1.86926 # DEPENDENCYPART_ARC
(15,11),-1.37677 # DEPENDENCYPART_ARC
(15,12),-0.816321 # DEPENDENCYPART_ARC
(15,13),-0.777922 # DEPENDENCYPART_ARC
(15,14),0.331538 # DEPENDENCYPART_ARC
(16,1),-0.779215 # DEPENDENCYPART_ARC
(16,7),-0.793676 # DEPENDENCYPART_ARC
(16,8),-1.06574 # DEPENDENCYPART_ARC
(16,9),-2.46463 # DEPENDENCYPART_ARC
(16,10),-2.14316 # DEPENDENCYPART_ARC
(16,11),-0.864479 # DEPENDENCYPART_ARC
(16,12),-0.313281 # DEPENDENCYPART_ARC
(16,13),-0.588957 # DEPENDENCYPART_ARC
(16,14),0.536447 # DEPENDENCYPART_ARC
(16,15),0.848492 # DEPENDENCYPART_ARC
(16,17),-1.28596 # DEPENDENCYPART_ARC
(16,18),-1.13979 # DEPENDENCYPART_ARC
(17,1),-0.692824 # DEPENDENCYPART_ARC
(17,3),-0.577373 # DEPENDENCYPART_ARC
(17,4),-4.62994 # DEPENDENCYPART_ARC
(17,7),-0.858388 # DEPENDENCYPART_ARC
(17,8),-0.271069 # DEPENDENCYPART_ARC
(17,9),-2.25445 # DEPENDENCYPART_ARC
(17,10),-2.58691 # DEPENDENCYPART_ARC
(17,11),-0.308705 # DEPENDENCYPART_ARC
(17,12),-0.125849 # DEPENDENCYPART_ARC
(17,13),-0.792094 # DEPENDENCYPART_ARC
(17,14),0.148084 # DEPENDENCYPART_ARC
(17,15),-0.359091 # DEPENDENCYPART_ARC
(17,16),1.93341 # DEPENDENCYPART_ARC
(17,18),-1.04963 # DEPENDENCYPART_ARC
(18,1),-0.865195 # DEPENDENCYPART_ARC
(18,2),-0.977731 # DEPENDENCYPART_ARC
(18,3),-1.86582 # DEPENDENCYPART_ARC
(18,4),-3.34757 # DEPENDENCYPART_ARC
(18,5),-0.59166 # DEPENDENCYPART_ARC
(18,6),-3.34515 # DEPENDENCYPART_ARC
(18,7),-0.0806843 # DEPENDENCYPART_ARC
(18,8),-0.327461 # DEPENDENCYPART_ARC
(18,9),-1.96807 # DEPENDENCYPART_ARC
(18,10),-1.35261 # DEPENDENCYPART_ARC
(18,11),0.273634 # DEPENDENCYPART_ARC
(18,12),-0.195841 # DEPENDENCYPART_ARC
(18,13),-0.398582 # DEPENDENCYPART_ARC
(18,14),1.1306 # DEPENDENCYPART_ARC
(18,15),-0.518854 # DEPENDENCYPART_ARC
(18,16),0.918298 # DEPENDENCYPART_ARC
(18,17),2.45227 # DEPENDENCYPART_ARC
(19,1),-0.18495 # DEPENDENCYPART_ARC
(19,6),-2.87196 # DEPENDENCYPART_ARC
(19,9),-2.28595 # DEPENDENCYPART_ARC
(19,10),-1.97003 # DEPENDENCYPART_ARC
(19,11),-0.768361 # DEPENDENCYPART_ARC
(19,12),-0.856285 # DEPENDENCYPART_ARC
(19,13),-0.766398 # DEPENDENCYPART_ARC
(19,14),-0.439996 # DEPENDENCYPART_ARC
(19,15),-1.23312 # DEPENDENCYPART_ARC
(19,16),-0.505349 # DEPENDENCYPART_ARC
(19,17),-0.0688029 # DEPENDENCYPART_ARC
(19,18),1.60163 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.310448 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.310448 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.428056 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0315382 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0315382 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0315382 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0315382 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0232184 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0301275 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0301275 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0301275 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0286604 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0301275 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0301275 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0286604 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0301275 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0286604 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0286604 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0142751 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.019916 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0569933 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00507567 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0277031 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0306978 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00242505 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0263236 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0600756 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0166308 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0475089 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.032891 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00447268 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0774979 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.121618 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.024381 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0396977 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.172297 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00273477 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.150956 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0573922 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0222911 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0125111 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.430132 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0269492 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0108194 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0108194 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.120576 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.120576 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.120576 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0162046 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.210289 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0971551 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0127734 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0127732 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0699033 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0699033 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0699033 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00662862 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.417293 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.000642045 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.000642248 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.10071 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.10071 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.10071 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0176964 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00317052 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00317052 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0781872 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0781872 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0781872 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0100615 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00121166 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0253089 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0253089 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0253089 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.00562024 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0253089 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0253089 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0253089 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.00562024 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0638517 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0638517 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0518793 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0638517 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0518793 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0518793 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0272616 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0756128 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.147972 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0195556 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0657612 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0110758 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00649166 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.319127 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0143007 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.228157 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0422724 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.16734 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0910215 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0269906 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.020952 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.327609 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.783676 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.036328 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0164804 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0946835 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0257743 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.00649166 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.319127 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0143007 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.228157 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00649166 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0569933 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0569933 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.16734 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0910215 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0269906 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0070149 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0536802 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0536802 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.327609 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.783676 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.439026 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0734496 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0734496 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0164804 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0866512 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00628138 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.00628138 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.331033 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0470434 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0470434 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0536802 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0536802 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.035505 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.210289 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0971551 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.07014 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0108336 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0142898 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00277362 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0373243 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0127734 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0699033 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0699033 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.00662862 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.417293 # DEPENDENCYPART_SIBL
(9,4),(9,6),-1.07945 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.636019 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.632563 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0603427 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0883332 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.000642045 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.10071 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.10071 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0176964 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.02141 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0519714 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0518051 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0227934 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0802219 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.00317052 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0781872 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0781872 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0100615 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.563221 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.563221 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0189307 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.118712 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.000490241 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.116215 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.116215 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0433137 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0142898 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00277362 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0373243 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0127734 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0699033 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0699033 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.00662862 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.00277362 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0373243 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0127734 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0699033 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0699033 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.00662862 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00105554 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0208506 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0222972 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0222972 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0105343 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0728687 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0683883 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0683883 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0540562 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0253089 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0253089 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.00562024 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0638517 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0518793 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0518793 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0123996 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0901203 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.154782 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0501301 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0833651 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0901203 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0901203 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0833651 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0757339 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.108542 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0558218 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0620924 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0964891 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0964891 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0482256 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0125111 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.430132 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0269492 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.428719 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0125111 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0125111 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.428719 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.136123 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0908939 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0291826 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0108194 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.120576 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.120576 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0162046 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.210289 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0971551 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.07014 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0108336 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0142898 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.07014 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00277362 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0373243 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0217318 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0127734 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0699033 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0699033 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.00662862 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.417293 # DEPENDENCYPART_SIBL
(10,4),(10,6),-1.07945 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.636019 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.632563 # DEPENDENCYPART_SIBL
(10,4),(10,9),-1.07945 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0603427 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0883332 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0254251 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.000642045 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.10071 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.10071 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0176964 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.02141 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0519714 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0518051 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.02141 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0227934 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0802219 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0345515 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.00317052 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0781872 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0781872 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0100615 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.563221 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.563221 # DEPENDENCYPART_SIBL
(10,6),(10,9),-1.19892 # DEPENDENCYPART_SIBL
