# _root_ Netameli uçaklardan _ sonuncusunun _ _ iade_edilişiyle birlikte , deve _ kurban_eden ve _ kanlı deve parçalarıyla personele fotoğraflar _ _ _ çektirten kişi , başka nasıl biri _ olabilir ?
#goldHeads=2,4,4,6,6,7,8,11,0,11,12,13,23,15,17,17,22,22,22,21,22,23,24,30,0,27,28,30,30,31,0,
#predictedHeads=2,6,4,6,6,7,8,11,0,11,12,13,14,15,16,17,22,19,22,21,22,23,24,30,0,27,28,30,30,31,0,
(17,19),-1.55225 # DEPENDENCYPART_ARC
(18,12),-1.59714 # DEPENDENCYPART_ARC
(18,14),-2.228 # DEPENDENCYPART_ARC
(18,15),-0.613778 # DEPENDENCYPART_ARC
(18,16),-0.669229 # DEPENDENCYPART_ARC
(18,17),-0.113675 # DEPENDENCYPART_ARC
(18,19),-1.46036 # DEPENDENCYPART_ARC
(18,20),-1.41308 # DEPENDENCYPART_ARC
(18,30),-1.89498 # DEPENDENCYPART_ARC
(19,12),-1.54369 # DEPENDENCYPART_ARC
(19,14),-2.35882 # DEPENDENCYPART_ARC
(19,15),-0.810957 # DEPENDENCYPART_ARC
(19,16),-0.914034 # DEPENDENCYPART_ARC
(19,17),-1.36349 # DEPENDENCYPART_ARC
(19,18),0.215327 # DEPENDENCYPART_ARC
(19,20),-0.997439 # DEPENDENCYPART_ARC
(19,21),-1.344 # DEPENDENCYPART_ARC
(19,30),-1.70536 # DEPENDENCYPART_ARC
(20,8),-0.969042 # DEPENDENCYPART_ARC
(20,14),-2.62531 # DEPENDENCYPART_ARC
(20,15),-1.29364 # DEPENDENCYPART_ARC
(20,16),-0.424653 # DEPENDENCYPART_ARC
(20,17),-0.269589 # DEPENDENCYPART_ARC
(20,18),0.0961313 # DEPENDENCYPART_ARC
(20,19),0.53821 # DEPENDENCYPART_ARC
(20,21),-0.958335 # DEPENDENCYPART_ARC
(20,24),-0.509945 # DEPENDENCYPART_ARC
(20,25),-1.31045 # DEPENDENCYPART_ARC
(20,29),-1.48013 # DEPENDENCYPART_ARC
(20,30),-1.156 # DEPENDENCYPART_ARC
(20,31),-1.69699 # DEPENDENCYPART_ARC
(21,4),-1.29284 # DEPENDENCYPART_ARC
(21,7),-1.04455 # DEPENDENCYPART_ARC
(21,8),-0.758499 # DEPENDENCYPART_ARC
(21,10),-0.667529 # DEPENDENCYPART_ARC
(21,12),-0.954023 # DEPENDENCYPART_ARC
(21,14),-2.86333 # DEPENDENCYPART_ARC
(21,16),-0.237018 # DEPENDENCYPART_ARC
(21,17),-0.21543 # DEPENDENCYPART_ARC
(21,18),-0.0875352 # DEPENDENCYPART_ARC
(21,19),0.140298 # DEPENDENCYPART_ARC
(21,20),2.10819 # DEPENDENCYPART_ARC
(21,22),-1.26953 # DEPENDENCYPART_ARC
(21,24),-1.10949 # DEPENDENCYPART_ARC
(21,25),-1.43467 # DEPENDENCYPART_ARC
(21,29),-1.87167 # DEPENDENCYPART_ARC
(21,30),-1.55049 # DEPENDENCYPART_ARC
(21,31),-1.86307 # DEPENDENCYPART_ARC
(22,2),-0.426185 # DEPENDENCYPART_ARC
(22,4),-0.785883 # DEPENDENCYPART_ARC
(22,7),-0.626628 # DEPENDENCYPART_ARC
(22,8),-0.593491 # DEPENDENCYPART_ARC
(22,9),-0.53976 # DEPENDENCYPART_ARC
(22,10),-0.29101 # DEPENDENCYPART_ARC
(22,11),-4.56088 # DEPENDENCYPART_ARC
(22,13),-0.362273 # DEPENDENCYPART_ARC
(22,14),-3.08128 # DEPENDENCYPART_ARC
(22,15),-0.844992 # DEPENDENCYPART_ARC
(22,16),-0.229495 # DEPENDENCYPART_ARC
(22,17),0.198559 # DEPENDENCYPART_ARC
(22,18),0.0678445 # DEPENDENCYPART_ARC
(22,19),0.0549706 # DEPENDENCYPART_ARC
(22,20),0.593318 # DEPENDENCYPART_ARC
(22,21),2.22421 # DEPENDENCYPART_ARC
(22,24),-1.00304 # DEPENDENCYPART_ARC
(22,25),-1.53931 # DEPENDENCYPART_ARC
(22,29),-2.02201 # DEPENDENCYPART_ARC
(22,30),-1.93784 # DEPENDENCYPART_ARC
(22,31),-1.87617 # DEPENDENCYPART_ARC
(23,14),-1.34379 # DEPENDENCYPART_ARC
(23,16),-0.295597 # DEPENDENCYPART_ARC
(23,17),-0.184415 # DEPENDENCYPART_ARC
(23,18),-0.0925684 # DEPENDENCYPART_ARC
(23,19),-0.00847369 # DEPENDENCYPART_ARC
(23,21),-0.0403426 # DEPENDENCYPART_ARC
(23,22),1.56103 # DEPENDENCYPART_ARC
(24,9),-1.06447 # DEPENDENCYPART_ARC
(24,10),-1.0068 # DEPENDENCYPART_ARC
(24,12),-1.51306 # DEPENDENCYPART_ARC
(24,13),-0.788356 # DEPENDENCYPART_ARC
(24,15),-1.24693 # DEPENDENCYPART_ARC
(24,16),-0.896786 # DEPENDENCYPART_ARC
(24,17),-1.46466 # DEPENDENCYPART_ARC
(24,18),-1.16222 # DEPENDENCYPART_ARC
(24,19),-0.850458 # DEPENDENCYPART_ARC
(24,20),-1.68772 # DEPENDENCYPART_ARC
(24,21),-1.54661 # DEPENDENCYPART_ARC
(24,22),-0.879518 # DEPENDENCYPART_ARC
(24,23),1.21777 # DEPENDENCYPART_ARC
(24,25),-0.958575 # DEPENDENCYPART_ARC
(24,26),-1.33239 # DEPENDENCYPART_ARC
(24,27),-1.52671 # DEPENDENCYPART_ARC
(24,29),-2.06758 # DEPENDENCYPART_ARC
(24,30),-1.88384 # DEPENDENCYPART_ARC
(25,5),-5.42355 # DEPENDENCYPART_ARC
(25,6),-5.11048 # DEPENDENCYPART_ARC
(25,11),-3.84923 # DEPENDENCYPART_ARC
(25,12),-1.62777 # DEPENDENCYPART_ARC
(25,15),-1.56654 # DEPENDENCYPART_ARC
(25,18),-0.712044 # DEPENDENCYPART_ARC
(25,19),-0.666953 # DEPENDENCYPART_ARC
(25,20),-1.63737 # DEPENDENCYPART_ARC
(25,21),-1.37038 # DEPENDENCYPART_ARC
(25,22),-0.823123 # DEPENDENCYPART_ARC
(25,23),-0.581104 # DEPENDENCYPART_ARC
(25,24),0.349796 # DEPENDENCYPART_ARC
(25,29),-1.2952 # DEPENDENCYPART_ARC
(25,30),-1.34516 # DEPENDENCYPART_ARC
(25,31),-1.33131 # DEPENDENCYPART_ARC
(26,22),-1.83428 # DEPENDENCYPART_ARC
(26,23),-2.01131 # DEPENDENCYPART_ARC
(26,24),-1.60687 # DEPENDENCYPART_ARC
(26,25),-0.478632 # DEPENDENCYPART_ARC
(27,20),-2.31943 # DEPENDENCYPART_ARC
(27,21),-2.13079 # DEPENDENCYPART_ARC
(27,22),-1.64854 # DEPENDENCYPART_ARC
(27,24),-1.5547 # DEPENDENCYPART_ARC
(27,25),-0.883415 # DEPENDENCYPART_ARC
(27,26),-0.00350647 # DEPENDENCYPART_ARC
(28,24),-1.27621 # DEPENDENCYPART_ARC
(28,27),0.691265 # DEPENDENCYPART_ARC
(28,31),-0.687029 # DEPENDENCYPART_ARC
(29,7),-0.79394 # DEPENDENCYPART_ARC
(29,16),-1.10081 # DEPENDENCYPART_ARC
(29,17),-0.644639 # DEPENDENCYPART_ARC
(29,18),-0.813211 # DEPENDENCYPART_ARC
(29,19),-1.06925 # DEPENDENCYPART_ARC
(29,20),-3.27892 # DEPENDENCYPART_ARC
(29,21),-2.80449 # DEPENDENCYPART_ARC
(29,22),-2.62564 # DEPENDENCYPART_ARC
(29,23),-1.77745 # DEPENDENCYPART_ARC
(29,24),-0.786539 # DEPENDENCYPART_ARC
(29,25),-0.734344 # DEPENDENCYPART_ARC
(29,26),-1.14441 # DEPENDENCYPART_ARC
(29,27),-0.663305 # DEPENDENCYPART_ARC
(29,28),0.43531 # DEPENDENCYPART_ARC
(29,30),-0.940102 # DEPENDENCYPART_ARC
(29,31),-1.21612 # DEPENDENCYPART_ARC
(30,2),-0.664783 # DEPENDENCYPART_ARC
(30,4),-1.28976 # DEPENDENCYPART_ARC
(30,5),-6.92129 # DEPENDENCYPART_ARC
(30,6),-7.28924 # DEPENDENCYPART_ARC
(30,7),-0.423227 # DEPENDENCYPART_ARC
(30,8),-0.570917 # DEPENDENCYPART_ARC
(30,9),-0.886044 # DEPENDENCYPART_ARC
(30,10),-0.558942 # DEPENDENCYPART_ARC
(30,11),-5.8276 # DEPENDENCYPART_ARC
(30,13),-0.746504 # DEPENDENCYPART_ARC
(30,14),-3.91225 # DEPENDENCYPART_ARC
(30,15),-1.02204 # DEPENDENCYPART_ARC
(30,16),-0.353861 # DEPENDENCYPART_ARC
(30,17),-0.525625 # DEPENDENCYPART_ARC
(30,18),-0.518164 # DEPENDENCYPART_ARC
(30,19),-0.514248 # DEPENDENCYPART_ARC
(30,20),-2.48655 # DEPENDENCYPART_ARC
(30,21),-1.94212 # DEPENDENCYPART_ARC
(30,22),-2.33997 # DEPENDENCYPART_ARC
(30,23),-1.05151 # DEPENDENCYPART_ARC
(30,24),0.0398824 # DEPENDENCYPART_ARC
(30,25),-0.344831 # DEPENDENCYPART_ARC
(30,26),-0.573687 # DEPENDENCYPART_ARC
(30,27),-0.270954 # DEPENDENCYPART_ARC
(30,28),0.649908 # DEPENDENCYPART_ARC
(30,29),1.77936 # DEPENDENCYPART_ARC
(30,31),-1.55189 # DEPENDENCYPART_ARC
(31,1),-1.15419 # DEPENDENCYPART_ARC
(31,3),-3.95074 # DEPENDENCYPART_ARC
(31,5),-4.83108 # DEPENDENCYPART_ARC
(31,6),-4.43171 # DEPENDENCYPART_ARC
(31,8),-0.416288 # DEPENDENCYPART_ARC
(31,11),-3.8471 # DEPENDENCYPART_ARC
(31,13),0.257601 # DEPENDENCYPART_ARC
(31,15),-0.951995 # DEPENDENCYPART_ARC
(31,20),-2.0582 # DEPENDENCYPART_ARC
(31,21),-1.78734 # DEPENDENCYPART_ARC
(31,22),-1.6315 # DEPENDENCYPART_ARC
(31,23),-0.928735 # DEPENDENCYPART_ARC
(31,24),-0.369784 # DEPENDENCYPART_ARC
(31,25),-0.50108 # DEPENDENCYPART_ARC
(31,26),-0.615155 # DEPENDENCYPART_ARC
(31,27),-0.449994 # DEPENDENCYPART_ARC
(31,28),-0.248857 # DEPENDENCYPART_ARC
(31,29),0.050711 # DEPENDENCYPART_ARC
(31,30),1.70947 # DEPENDENCYPART_ARC
(0,9),(0,25),-0.0509876 # DEPENDENCYPART_SIBL
(0,9),(0,31),-0.113709 # DEPENDENCYPART_SIBL
(0,25),(0,31),-0.113709 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0123316 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0947404 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00620933 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.032239 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0357053 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0226956 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.184574 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.088962 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0685754 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00620933 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00620933 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0688005 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0536802 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0536802 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0259788 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0259788 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.035505 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0447493 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0391877 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0447493 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.136991 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0108336 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.602103 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0447493 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0391877 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0447493 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00794182 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0229702 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.136991 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0108336 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00329854 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.602103 # DEPENDENCYPART_SIBL
(6,3),(6,5),-1.01726 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0805393 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00329854 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0195268 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.088962 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0685754 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.088962 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0133275 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0133275 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0688005 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0070149 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0269906 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0269906 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.343049 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.823994 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.823994 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0269906 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0269906 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.847465 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0540046 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0540046 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0540046 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.166915 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.128882 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0490471 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0490471 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.128882 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0240549 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0423426 # DEPENDENCYPART_SIBL
(9,1),(9,29),-0.0423426 # DEPENDENCYPART_SIBL
(9,1),(9,30),-0.0182542 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.351056 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.565076 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.565076 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.351056 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.11129 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.044978 # DEPENDENCYPART_SIBL
(9,3),(9,29),-0.044978 # DEPENDENCYPART_SIBL
(9,3),(9,30),-0.0163406 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.056173 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.056173 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0847705 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.038899 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0586021 # DEPENDENCYPART_SIBL
(9,4),(9,29),-0.0586021 # DEPENDENCYPART_SIBL
(9,4),(9,30),-0.0336152 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.788511 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.408986 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.142886 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.166193 # DEPENDENCYPART_SIBL
(9,5),(9,29),-0.166193 # DEPENDENCYPART_SIBL
(9,5),(9,30),-0.138079 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.408986 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.142886 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.166193 # DEPENDENCYPART_SIBL
(9,6),(9,29),-0.166193 # DEPENDENCYPART_SIBL
(9,6),(9,30),-0.138079 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.038899 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0586021 # DEPENDENCYPART_SIBL
(9,7),(9,29),-0.0586021 # DEPENDENCYPART_SIBL
(9,7),(9,30),-0.0336152 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0760598 # DEPENDENCYPART_SIBL
(9,8),(9,29),-0.0760598 # DEPENDENCYPART_SIBL
(9,8),(9,30),-0.0623712 # DEPENDENCYPART_SIBL
(9,22),(9,29),-0.0301275 # DEPENDENCYPART_SIBL
(9,22),(9,30),-0.0286604 # DEPENDENCYPART_SIBL
(9,29),(9,30),-0.0286604 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.823994 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.343049 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.238975 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.331033 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.227738 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0656379 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0108336 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.07014 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.07014 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0108336 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0326995 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.081844 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0108336 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.10419 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.07014 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.07014 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0108336 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0326995 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.081844 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0108336 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.10419 # DEPENDENCYPART_SIBL
(11,5),(11,6),-1.19892 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.563221 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.399799 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.459699 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.563221 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.149367 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.563221 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.399799 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.459699 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.563221 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.149367 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0326995 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.081844 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0108336 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.10419 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0975878 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.154572 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0375659 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0125111 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0279362 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.10419 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0137174 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0989294 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0163507 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0137174 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.00495798 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.00527559 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0989294 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0163507 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0137174 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.00495798 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00527559 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.042478 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.134209 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0935668 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.00508367 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0399399 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.22269 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0442608 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.00495798 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.00527559 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.19542 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.346854 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.573315 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.224497 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0714562 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.180844 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.224497 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.371281 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.162772 # DEPENDENCYPART_SIBL
