# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,6,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,27,25,25,26,27,29,29,30,0,
(30,4),-0.778678 # DEPENDENCYPART_ARC
(30,6),-5.41135 # DEPENDENCYPART_ARC
(30,12),-4.32444 # DEPENDENCYPART_ARC
(30,14),-3.82465 # DEPENDENCYPART_ARC
(30,17),-3.2258 # DEPENDENCYPART_ARC
(30,18),-0.54302 # DEPENDENCYPART_ARC
(30,19),-1.13532 # DEPENDENCYPART_ARC
(30,21),-2.23433 # DEPENDENCYPART_ARC
(30,22),-0.436455 # DEPENDENCYPART_ARC
(30,23),-0.511293 # DEPENDENCYPART_ARC
(30,24),-1.50572 # DEPENDENCYPART_ARC
(30,25),-1.11801 # DEPENDENCYPART_ARC
(30,26),-0.595643 # DEPENDENCYPART_ARC
(30,27),-0.539971 # DEPENDENCYPART_ARC
(30,28),-0.219865 # DEPENDENCYPART_ARC
(30,29),1.60163 # DEPENDENCYPART_ARC
(0,8),(0,19),-0.0509876 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.0126125 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0156347 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0335787 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0273861 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00589878 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.019479 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0573368 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0369561 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0685533 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0494403 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0476615 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0904872 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0933357 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0536802 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.266051 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00824146 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00425294 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.029967 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.019872 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0485209 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0113828 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0497135 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.105767 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.102311 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.102311 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0623355 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0110643 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00788184 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0127734 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0373243 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0699033 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0699033 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0989898 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00568639 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00102532 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0842407 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0793514 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0793514 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0139315 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0135646 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0991103 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0814966 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0814966 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0127662 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0373316 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0699214 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0699214 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0726346 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0253089 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0253089 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0683883 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0683883 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0638517 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0372873 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0685533 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0487758 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0326666 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.148119 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0906389 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0943036 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0111004 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0269906 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.266715 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0589392 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.023524 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.147607 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.068981 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.018075 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.00767481 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0690133 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0466296 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0235918 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0432106 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0554132 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0554132 # DEPENDENCYPART_SIBL
(8,1),(8,25),-0.0554132 # DEPENDENCYPART_SIBL
(8,1),(8,28),-0.0554132 # DEPENDENCYPART_SIBL
(8,1),(8,29),-0.041652 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.00981874 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.140292 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.058036 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.140292 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0423449 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0423449 # DEPENDENCYPART_SIBL
(8,3),(8,25),-0.0423449 # DEPENDENCYPART_SIBL
(8,3),(8,28),-0.0423449 # DEPENDENCYPART_SIBL
(8,3),(8,29),-0.018256 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0165396 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00474098 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0182491 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0561971 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0561971 # DEPENDENCYPART_SIBL
(8,4),(8,25),-0.0561971 # DEPENDENCYPART_SIBL
(8,4),(8,28),-0.0561971 # DEPENDENCYPART_SIBL
(8,4),(8,29),-0.0415705 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0629202 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0849708 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0586058 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0586058 # DEPENDENCYPART_SIBL
(8,5),(8,25),-0.0586058 # DEPENDENCYPART_SIBL
(8,5),(8,28),-0.0586058 # DEPENDENCYPART_SIBL
(8,5),(8,29),-0.0336187 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.408986 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.166193 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.166193 # DEPENDENCYPART_SIBL
(8,6),(8,25),-0.166193 # DEPENDENCYPART_SIBL
(8,6),(8,28),-0.166193 # DEPENDENCYPART_SIBL
(8,6),(8,29),-0.138055 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0586021 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0586021 # DEPENDENCYPART_SIBL
(8,7),(8,25),-0.0586021 # DEPENDENCYPART_SIBL
(8,7),(8,28),-0.0586021 # DEPENDENCYPART_SIBL
(8,7),(8,29),-0.033615 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0301275 # DEPENDENCYPART_SIBL
(8,14),(8,25),-0.0301275 # DEPENDENCYPART_SIBL
(8,14),(8,28),-0.0301275 # DEPENDENCYPART_SIBL
(8,14),(8,29),-0.0286604 # DEPENDENCYPART_SIBL
(8,17),(8,25),-0.0301275 # DEPENDENCYPART_SIBL
(8,17),(8,28),-0.0301275 # DEPENDENCYPART_SIBL
(8,17),(8,29),-0.0286604 # DEPENDENCYPART_SIBL
(8,25),(8,28),-0.0301275 # DEPENDENCYPART_SIBL
(8,25),(8,29),-0.0286604 # DEPENDENCYPART_SIBL
(8,28),(8,29),-0.0286604 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0685533 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0487758 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.148119 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0372873 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0502509 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0033628 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0476615 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.266715 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.023524 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0597688 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0460173 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.108481 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00824146 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.068981 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.150332 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.030321 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0816647 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00425294 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.331033 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.227738 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0257743 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0470434 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0656379 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0209518 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0536802 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0422724 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0569933 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0226956 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0685533 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0487758 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.148119 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0372873 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0502509 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0372873 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0476615 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.266715 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.023524 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0597688 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0460173 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0597688 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.00824146 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.068981 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.150332 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.030321 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.150332 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.00425294 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.331033 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.227738 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.331033 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0470434 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0656379 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0070149 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0536802 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.00649166 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0569933 # DEPENDENCYPART_SIBL
