# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=18,0,5,5,6,10,8,10,10,11,12,18,0,15,16,17,18,19,0,
(8,6),-0.861559 # DEPENDENCYPART_ARC
(8,7),1.39709 # DEPENDENCYPART_ARC
(8,9),-0.939625 # DEPENDENCYPART_ARC
(8,10),-1.2978 # DEPENDENCYPART_ARC
(8,14),-1.1233 # DEPENDENCYPART_ARC
(8,18),-2.03756 # DEPENDENCYPART_ARC
(9,4),-1.04623 # DEPENDENCYPART_ARC
(9,5),-1.40322 # DEPENDENCYPART_ARC
(9,6),-0.538209 # DEPENDENCYPART_ARC
(9,7),-0.460541 # DEPENDENCYPART_ARC
(9,8),0.26982 # DEPENDENCYPART_ARC
(9,14),-1.18082 # DEPENDENCYPART_ARC
(9,15),-1.23185 # DEPENDENCYPART_ARC
(10,1),-1.03447 # DEPENDENCYPART_ARC
(10,3),-0.525584 # DEPENDENCYPART_ARC
(10,4),-0.457986 # DEPENDENCYPART_ARC
(10,5),-1.86765 # DEPENDENCYPART_ARC
(10,6),-0.521276 # DEPENDENCYPART_ARC
(10,7),-0.288422 # DEPENDENCYPART_ARC
(10,8),0.469753 # DEPENDENCYPART_ARC
(10,9),0.443246 # DEPENDENCYPART_ARC
(10,11),-0.809719 # DEPENDENCYPART_ARC
(10,12),-0.484508 # DEPENDENCYPART_ARC
(10,13),-1.28958 # DEPENDENCYPART_ARC
(10,14),-1.99397 # DEPENDENCYPART_ARC
(10,15),-1.81223 # DEPENDENCYPART_ARC
(10,16),-1.75343 # DEPENDENCYPART_ARC
(10,17),-1.16666 # DEPENDENCYPART_ARC
(10,18),-1.40773 # DEPENDENCYPART_ARC
(10,19),-1.78802 # DEPENDENCYPART_ARC
(11,1),-2.02442 # DEPENDENCYPART_ARC
(11,2),-0.989909 # DEPENDENCYPART_ARC
(11,3),-1.28916 # DEPENDENCYPART_ARC
(11,4),-0.527051 # DEPENDENCYPART_ARC
(11,6),-0.542322 # DEPENDENCYPART_ARC
(11,7),-0.465654 # DEPENDENCYPART_ARC
(11,8),-0.672852 # DEPENDENCYPART_ARC
(11,9),0.228758 # DEPENDENCYPART_ARC
(11,10),1.61899 # DEPENDENCYPART_ARC
(11,12),-1.50735 # DEPENDENCYPART_ARC
(12,2),-0.540337 # DEPENDENCYPART_ARC
(12,3),0.392859 # DEPENDENCYPART_ARC
(12,4),-0.405156 # DEPENDENCYPART_ARC
(12,5),-2.15784 # DEPENDENCYPART_ARC
(12,6),-0.818787 # DEPENDENCYPART_ARC
(12,7),-0.0773433 # DEPENDENCYPART_ARC
(12,8),-0.266858 # DEPENDENCYPART_ARC
(12,9),-0.40324 # DEPENDENCYPART_ARC
(12,10),-0.043036 # DEPENDENCYPART_ARC
(12,11),1.61959 # DEPENDENCYPART_ARC
(12,13),-0.963657 # DEPENDENCYPART_ARC
(12,14),-0.771168 # DEPENDENCYPART_ARC
(12,15),-1.20897 # DEPENDENCYPART_ARC
(12,18),-2.28979 # DEPENDENCYPART_ARC
(13,5),-2.72608 # DEPENDENCYPART_ARC
(13,6),-1.01442 # DEPENDENCYPART_ARC
(13,7),-1.22582 # DEPENDENCYPART_ARC
(13,8),-1.19857 # DEPENDENCYPART_ARC
(13,9),-1.25599 # DEPENDENCYPART_ARC
(13,10),-1.09317 # DEPENDENCYPART_ARC
(13,11),-0.915943 # DEPENDENCYPART_ARC
(13,12),0.244382 # DEPENDENCYPART_ARC
(13,14),-0.825928 # DEPENDENCYPART_ARC
(13,15),-1.05249 # DEPENDENCYPART_ARC
(13,16),-1.43492 # DEPENDENCYPART_ARC
(13,18),-1.39233 # DEPENDENCYPART_ARC
(13,19),-1.53906 # DEPENDENCYPART_ARC
(14,9),-1.69325 # DEPENDENCYPART_ARC
(14,10),-1.57662 # DEPENDENCYPART_ARC
(14,11),-1.72088 # DEPENDENCYPART_ARC
(14,12),-1.71962 # DEPENDENCYPART_ARC
(14,13),-0.666219 # DEPENDENCYPART_ARC
(14,15),-1.09472 # DEPENDENCYPART_ARC
(14,16),-1.54633 # DEPENDENCYPART_ARC
(15,9),-1.67749 # DEPENDENCYPART_ARC
(15,10),-1.58595 # DEPENDENCYPART_ARC
(15,11),-1.11877 # DEPENDENCYPART_ARC
(15,12),-2.32361 # DEPENDENCYPART_ARC
(15,13),-0.867424 # DEPENDENCYPART_ARC
(15,14),1.51917 # DEPENDENCYPART_ARC
(15,16),-1.29163 # DEPENDENCYPART_ARC
(15,17),-0.754 # DEPENDENCYPART_ARC
(16,1),-1.16105 # DEPENDENCYPART_ARC
(16,6),-0.915926 # DEPENDENCYPART_ARC
(16,7),-1.09805 # DEPENDENCYPART_ARC
(16,8),-0.857234 # DEPENDENCYPART_ARC
(16,10),-3.22264 # DEPENDENCYPART_ARC
(16,11),-1.09088 # DEPENDENCYPART_ARC
(16,12),-0.791511 # DEPENDENCYPART_ARC
(16,13),-0.911568 # DEPENDENCYPART_ARC
(16,14),-0.0190433 # DEPENDENCYPART_ARC
(16,15),1.07711 # DEPENDENCYPART_ARC
(16,17),-0.226653 # DEPENDENCYPART_ARC
(16,18),-1.52357 # DEPENDENCYPART_ARC
(17,1),-1.32952 # DEPENDENCYPART_ARC
(17,3),-1.33943 # DEPENDENCYPART_ARC
(17,4),-1.09339 # DEPENDENCYPART_ARC
(17,7),-1.09903 # DEPENDENCYPART_ARC
(17,8),-1.07919 # DEPENDENCYPART_ARC
(17,11),-0.911434 # DEPENDENCYPART_ARC
(17,12),-0.788216 # DEPENDENCYPART_ARC
(17,13),-0.565431 # DEPENDENCYPART_ARC
(17,14),-0.162657 # DEPENDENCYPART_ARC
(17,15),0.267134 # DEPENDENCYPART_ARC
(17,16),1.63946 # DEPENDENCYPART_ARC
(18,1),-0.258428 # DEPENDENCYPART_ARC
(18,2),-1.1433 # DEPENDENCYPART_ARC
(18,3),-1.59904 # DEPENDENCYPART_ARC
(18,4),-0.660398 # DEPENDENCYPART_ARC
(18,5),-4.49985 # DEPENDENCYPART_ARC
(18,6),-0.330201 # DEPENDENCYPART_ARC
(18,7),-0.390072 # DEPENDENCYPART_ARC
(18,8),-0.414535 # DEPENDENCYPART_ARC
(18,9),-1.07562 # DEPENDENCYPART_ARC
(18,10),-2.92422 # DEPENDENCYPART_ARC
(18,11),-0.137066 # DEPENDENCYPART_ARC
(18,12),-0.10939 # DEPENDENCYPART_ARC
(18,13),-0.418978 # DEPENDENCYPART_ARC
(18,14),0.574284 # DEPENDENCYPART_ARC
(18,15),0.632351 # DEPENDENCYPART_ARC
(18,16),-0.0547887 # DEPENDENCYPART_ARC
(18,17),1.89979 # DEPENDENCYPART_ARC
(18,19),-1.13979 # DEPENDENCYPART_ARC
(19,5),-3.52897 # DEPENDENCYPART_ARC
(19,6),-0.793521 # DEPENDENCYPART_ARC
(19,9),-1.20175 # DEPENDENCYPART_ARC
(19,10),-2.39804 # DEPENDENCYPART_ARC
(19,11),-0.977897 # DEPENDENCYPART_ARC
(19,12),-0.891656 # DEPENDENCYPART_ARC
(19,13),-1.09692 # DEPENDENCYPART_ARC
(19,14),-0.579857 # DEPENDENCYPART_ARC
(19,15),-0.756773 # DEPENDENCYPART_ARC
(19,16),-0.646919 # DEPENDENCYPART_ARC
(19,17),-0.564028 # DEPENDENCYPART_ARC
(19,18),1.45816 # DEPENDENCYPART_ARC
(0,2),(0,13),-0.0509876 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0409097 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0586021 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0344767 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0286604 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0656403 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0662362 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0237119 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0539668 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.000525481 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0572799 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.056105 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.081844 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00503547 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0356357 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0127734 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0127734 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0699033 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0127734 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0127734 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0373243 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0127734 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0699033 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00277362 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00660898 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0114467 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0267142 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0108194 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0108194 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.120576 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0108194 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0108194 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0908939 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0108194 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.120576 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.136123 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0162644 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0345451 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.012445 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.012445 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0699118 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.012445 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.012445 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0373326 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.012445 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0699118 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0048048 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00660052 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0127734 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0127734 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0699033 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0127734 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0127734 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0373243 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0127734 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0699033 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00277362 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00660898 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00121166 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0253089 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00121166 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00121166 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0726346 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00121166 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0253089 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0133232 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00565643 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0253089 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00121166 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00121166 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0726346 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00121166 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0253089 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0133232 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.00565643 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0540475 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0540475 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0684579 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0540475 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0638517 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0566717 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0518925 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.00121166 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0726346 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00121166 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0253089 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0133232 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.00565643 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0726346 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00121166 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0253089 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0133232 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.00565643 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0728687 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0683883 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0501895 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0540694 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0253089 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0133232 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.00565643 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0566717 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0518925 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0105475 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0194413 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00598131 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00477417 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.182757 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0590953 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0592718 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.147067 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00628499 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.174002 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.161157 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0268193 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0171256 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.148306 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0237083 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00160259 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.00913462 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0104405 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.156009 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0213576 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00333484 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00740225 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.172128 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0257743 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0928987 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.00243398 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0260873 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00519761 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.00947493 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00301631 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0125971 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0251113 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.00323282 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.000567503 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.228157 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.00131707 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0102445 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0199186 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0569933 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0422724 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.000475033 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0273725 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.013028 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.144209 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.00309037 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00160259 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0558183 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0237083 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.00913462 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00634281 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.151911 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.01031 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00333484 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.054086 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0213576 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.00740225 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.172128 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.327281 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0928987 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0470434 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0257743 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.00243398 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.119763 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00519761 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0413341 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0260873 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00947493 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00374064 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0536802 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0211252 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.00699646 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0306978 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0232643 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0251113 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0322674 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0294243 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0125971 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.00701925 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.177774 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.00990393 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.00914636 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0573922 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0573922 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.16106 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.29125 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.291746 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0453404 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0453404 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.120122 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.120161 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0204265 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0204265 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0119562 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0572187 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0572187 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0573922 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0573922 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0237327 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.00503547 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0356357 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.07014 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.133728 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00773104 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.00332425 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0820512 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0127734 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0127734 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0373243 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0127734 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0127734 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0699033 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00277362 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.00660898 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0505711 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0345451 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0759377 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.132215 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.00664047 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.00223368 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0953627 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.012445 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.012445 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0373326 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.012445 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.012445 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0699118 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0048048 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.00660052 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0505794 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0821632 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.147834 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.00501623 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.000609444 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0842622 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0127734 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0127734 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0373243 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0127734 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0127734 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0699033 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.00277362 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.00660898 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0505711 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.391676 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.564573 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.568282 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.525305 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.000490241 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.000490241 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.118712 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.000490241 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.000490241 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.116215 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0189307 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.043763 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.119174 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0989698 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0963686 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0277116 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0131076 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0131076 # DEPENDENCYPART_SIBL
