# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,5,0,5,6,7,9,9,10,11,12,18,0,19,16,18,18,19,0,
(9,8),1.48294 # DEPENDENCYPART_ARC
(9,11),-1.56085 # DEPENDENCYPART_ARC
(9,12),-0.83637 # DEPENDENCYPART_ARC
(9,16),-2.1299 # DEPENDENCYPART_ARC
(9,17),-1.96624 # DEPENDENCYPART_ARC
(9,18),-2.01378 # DEPENDENCYPART_ARC
(10,4),-1.02123 # DEPENDENCYPART_ARC
(10,5),-1.6774 # DEPENDENCYPART_ARC
(10,6),-0.873355 # DEPENDENCYPART_ARC
(10,7),-0.670868 # DEPENDENCYPART_ARC
(10,8),-0.0135718 # DEPENDENCYPART_ARC
(10,9),0.450717 # DEPENDENCYPART_ARC
(10,12),-0.552034 # DEPENDENCYPART_ARC
(10,16),-1.25039 # DEPENDENCYPART_ARC
(11,2),-0.850456 # DEPENDENCYPART_ARC
(11,4),-0.398457 # DEPENDENCYPART_ARC
(11,5),-3.16896 # DEPENDENCYPART_ARC
(11,6),-0.656353 # DEPENDENCYPART_ARC
(11,7),-0.369572 # DEPENDENCYPART_ARC
(11,8),-0.940818 # DEPENDENCYPART_ARC
(11,9),-0.24579 # DEPENDENCYPART_ARC
(11,10),0.613324 # DEPENDENCYPART_ARC
(11,12),-0.154994 # DEPENDENCYPART_ARC
(11,13),-1.2774 # DEPENDENCYPART_ARC
(11,14),-1.10345 # DEPENDENCYPART_ARC
(11,16),-1.92374 # DEPENDENCYPART_ARC
(11,17),-1.853 # DEPENDENCYPART_ARC
(11,18),-1.80581 # DEPENDENCYPART_ARC
(11,19),-2.02715 # DEPENDENCYPART_ARC
(12,2),-1.08156 # DEPENDENCYPART_ARC
(12,4),-0.311232 # DEPENDENCYPART_ARC
(12,6),-0.394302 # DEPENDENCYPART_ARC
(12,7),-0.323194 # DEPENDENCYPART_ARC
(12,8),0.0117821 # DEPENDENCYPART_ARC
(12,9),-0.194143 # DEPENDENCYPART_ARC
(12,10),-0.343059 # DEPENDENCYPART_ARC
(12,11),1.39581 # DEPENDENCYPART_ARC
(13,1),-1.92018 # DEPENDENCYPART_ARC
(13,3),-0.656134 # DEPENDENCYPART_ARC
(13,5),-2.3462 # DEPENDENCYPART_ARC
(13,6),-0.782599 # DEPENDENCYPART_ARC
(13,7),-0.677293 # DEPENDENCYPART_ARC
(13,8),-1.35255 # DEPENDENCYPART_ARC
(13,9),-0.269197 # DEPENDENCYPART_ARC
(13,10),-0.747947 # DEPENDENCYPART_ARC
(13,11),-0.319509 # DEPENDENCYPART_ARC
(13,12),-0.131336 # DEPENDENCYPART_ARC
(13,14),-0.851654 # DEPENDENCYPART_ARC
(13,16),-1.30348 # DEPENDENCYPART_ARC
(13,17),-1.3378 # DEPENDENCYPART_ARC
(13,18),-1.32103 # DEPENDENCYPART_ARC
(13,19),-1.47115 # DEPENDENCYPART_ARC
(14,11),-1.22649 # DEPENDENCYPART_ARC
(14,12),-1.38806 # DEPENDENCYPART_ARC
(14,13),-0.638913 # DEPENDENCYPART_ARC
(14,16),-0.777001 # DEPENDENCYPART_ARC
(15,14),-0.473869 # DEPENDENCYPART_ARC
(16,1),-2.18509 # DEPENDENCYPART_ARC
(16,10),-1.59744 # DEPENDENCYPART_ARC
(16,11),-0.954428 # DEPENDENCYPART_ARC
(16,12),-1.31378 # DEPENDENCYPART_ARC
(16,13),-0.85622 # DEPENDENCYPART_ARC
(16,14),-0.845402 # DEPENDENCYPART_ARC
(16,15),1.01426 # DEPENDENCYPART_ARC
(16,17),-1.06021 # DEPENDENCYPART_ARC
(17,2),-1.22519 # DEPENDENCYPART_ARC
(17,6),-1.41095 # DEPENDENCYPART_ARC
(17,7),-1.20785 # DEPENDENCYPART_ARC
(17,8),-3.11515 # DEPENDENCYPART_ARC
(17,9),-1.73616 # DEPENDENCYPART_ARC
(17,10),-1.79373 # DEPENDENCYPART_ARC
(17,11),-2.00425 # DEPENDENCYPART_ARC
(17,12),-1.23024 # DEPENDENCYPART_ARC
(17,13),-1.15244 # DEPENDENCYPART_ARC
(17,14),-0.881926 # DEPENDENCYPART_ARC
(17,15),-0.875419 # DEPENDENCYPART_ARC
(17,16),0.22453 # DEPENDENCYPART_ARC
(17,18),-0.627117 # DEPENDENCYPART_ARC
(18,1),-1.17626 # DEPENDENCYPART_ARC
(18,2),-1.14588 # DEPENDENCYPART_ARC
(18,3),-1.36441 # DEPENDENCYPART_ARC
(18,4),-1.06345 # DEPENDENCYPART_ARC
(18,5),-3.92357 # DEPENDENCYPART_ARC
(18,6),-1.04946 # DEPENDENCYPART_ARC
(18,7),-0.545187 # DEPENDENCYPART_ARC
(18,8),-2.32787 # DEPENDENCYPART_ARC
(18,9),-0.929135 # DEPENDENCYPART_ARC
(18,10),-0.810666 # DEPENDENCYPART_ARC
(18,11),-1.89829 # DEPENDENCYPART_ARC
(18,12),0.0260895 # DEPENDENCYPART_ARC
(18,13),-0.271525 # DEPENDENCYPART_ARC
(18,14),-0.380555 # DEPENDENCYPART_ARC
(18,15),-0.288847 # DEPENDENCYPART_ARC
(18,16),0.919526 # DEPENDENCYPART_ARC
(18,17),1.9251 # DEPENDENCYPART_ARC
(18,19),-1.45081 # DEPENDENCYPART_ARC
(19,1),-1.15658 # DEPENDENCYPART_ARC
(19,5),-3.10394 # DEPENDENCYPART_ARC
(19,9),-0.764219 # DEPENDENCYPART_ARC
(19,10),-1.12079 # DEPENDENCYPART_ARC
(19,11),-1.70557 # DEPENDENCYPART_ARC
(19,12),-0.723092 # DEPENDENCYPART_ARC
(19,13),-0.801496 # DEPENDENCYPART_ARC
(19,14),0.143121 # DEPENDENCYPART_ARC
(19,15),-0.62474 # DEPENDENCYPART_ARC
(19,16),-0.553361 # DEPENDENCYPART_ARC
(19,17),-0.219865 # DEPENDENCYPART_ARC
(19,18),1.60163 # DEPENDENCYPART_ARC
(0,3),(0,13),-0.0509876 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0157938 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0157938 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.456043 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0495337 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0892109 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00211783 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0404725 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.057548 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0352823 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0409097 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.013003 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0125873 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0027364 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.127176 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0210126 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0479645 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0210126 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.033615 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0586021 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.033615 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0265617 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0255374 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0286604 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0992674 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0284418 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0143298 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0344087 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00211783 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0404725 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0656379 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0536802 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0676383 # DEPENDENCYPART_SIBL
(4,2),(4,15),-1.17683e-05 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00699361 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0569933 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0142751 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0347988 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.000445715 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0383481 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0299344 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0294243 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0147148 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0171491 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0027364 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0560002 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0982421 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0750826 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00803811 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00800038 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.081853 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0236471 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0974997 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0399946 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0882718 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00800038 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0236471 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.081844 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0385355 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0127357 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0127734 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0637585 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00662862 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0699033 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0133185 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0373243 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0127734 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00662862 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0610717 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0107817 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0108194 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0935524 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0162046 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.120576 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.13144 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0908939 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0108194 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0162046 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0126709 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0127087 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0638233 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00660272 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0699292 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0133444 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0373502 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0127087 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00660272 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00121166 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0209004 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00562024 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0253089 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0133157 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0726346 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.00121166 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00562024 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0209004 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00562024 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0253089 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0133157 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0726346 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00121166 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00562024 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0266694 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0470953 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00737673 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0366533 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0309561 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0266694 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0420653 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0359819 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0324766 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.024303 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0308301 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0566743 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0684579 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0540475 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0518793 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.00106579 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.020834 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0105506 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0728687 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0540562 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.00562024 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.109786 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0175846 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.109776 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0111699 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.089211 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.068682 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00755436 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00146545 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0209518 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0208812 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.247481 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0422724 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00131655 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0209648 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0257742 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0992743 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0284392 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0992642 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00206978 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0951414 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0344087 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0371004 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00211783 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0656379 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0041677 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0269906 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0127485 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0676383 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00374064 # DEPENDENCYPART_SIBL
(7,2),(7,15),-1.17683e-05 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0212238 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.228157 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0048068 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0142751 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0199186 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0347988 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0297726 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.011184 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0676513 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.00374064 # DEPENDENCYPART_SIBL
(7,4),(7,15),-1.17683e-05 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.335305 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.019268 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0928987 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00421592 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0678219 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00355712 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.000195292 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00507567 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0147148 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0289825 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0181697 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.523936 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00411063 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.00279842 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00202237 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0263274 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.030108 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.00202237 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.069904 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0903866 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.071853 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00673597 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0166189 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0129116 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.00673597 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.344689 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.337534 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00422433 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0942009 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00550795 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.00422433 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0691697 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0065654 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0164483 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0130822 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0065654 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00674892 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0166318 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0128986 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00674892 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0182218 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0297238 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.027714 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.029111 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0265765 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.00444051 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.157828 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0516836 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0317593 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.00714199 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0608408 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0532037 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0760747 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0159831 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.00183869 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0760747 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0071139 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0641259 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.13294 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.041548 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0280239 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.217742 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.117494 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.130034 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00827072 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.117494 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0186727 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0389092 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0116599 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0653586 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0529721 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0760876 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0159701 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.00179984 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0760876 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.00712685 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.538893 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.540732 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.943691 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.107125 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00730477 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.00335948 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.107125 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0410904 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0644006 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0583448 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0760747 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0159831 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.00183869 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0760747 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0071139 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0537526 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0763533 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0157044 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00129839 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0763533 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.00739258 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0905943 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0151968 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.00527488 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0905943 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0151519 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.051364 # DEPENDENCYPART_SIBL
