# _root_ " Bankalar öyle bir izlenim yarattı ki sanki _ _ verilen hizmetler hava , su gibi _ _ ücretsiz _ olabilir " _ diyen Demiray , bundan_sonra _ _ verilen hizmetlerden ücret _ alınacağını _ bildirdi .
#goldHeads=0,6,5,5,6,7,8,20,10,11,12,20,16,0,16,18,18,19,20,21,22,23,24,25,35,0,30,29,30,31,33,33,34,35,36,37,0,
#predictedHeads=0,6,5,5,6,10,6,10,10,11,12,13,21,0,16,20,18,19,21,21,22,23,24,25,36,0,28,29,30,31,33,34,34,36,36,37,0,
(26,20),-2.48111 # DEPENDENCYPART_ARC
(26,21),-1.06179 # DEPENDENCYPART_ARC
(26,23),-1.195 # DEPENDENCYPART_ARC
(26,24),-0.866348 # DEPENDENCYPART_ARC
(26,25),-0.139667 # DEPENDENCYPART_ARC
(26,28),-1.23371 # DEPENDENCYPART_ARC
(26,34),-1.2438 # DEPENDENCYPART_ARC
(26,35),-1.50759 # DEPENDENCYPART_ARC
(26,36),-1.2909 # DEPENDENCYPART_ARC
(27,19),-1.79931 # DEPENDENCYPART_ARC
(27,23),-1.75446 # DEPENDENCYPART_ARC
(27,25),-0.860426 # DEPENDENCYPART_ARC
(27,26),0.189663 # DEPENDENCYPART_ARC
(27,31),-0.782234 # DEPENDENCYPART_ARC
(28,19),-1.32116 # DEPENDENCYPART_ARC
(28,24),-1.59658 # DEPENDENCYPART_ARC
(28,25),-0.921397 # DEPENDENCYPART_ARC
(28,26),-0.632459 # DEPENDENCYPART_ARC
(28,27),0.437871 # DEPENDENCYPART_ARC
(28,29),-0.76709 # DEPENDENCYPART_ARC
(28,31),-0.662234 # DEPENDENCYPART_ARC
(28,32),-0.787392 # DEPENDENCYPART_ARC
(28,33),-1.26878 # DEPENDENCYPART_ARC
(28,34),-0.975616 # DEPENDENCYPART_ARC
(28,35),-1.22883 # DEPENDENCYPART_ARC
(29,5),-0.752372 # DEPENDENCYPART_ARC
(29,12),-0.74761 # DEPENDENCYPART_ARC
(29,13),-1.01618 # DEPENDENCYPART_ARC
(29,15),-1.20013 # DEPENDENCYPART_ARC
(29,16),-0.929408 # DEPENDENCYPART_ARC
(29,17),-3.82832 # DEPENDENCYPART_ARC
(29,18),-4.24043 # DEPENDENCYPART_ARC
(29,19),-0.813296 # DEPENDENCYPART_ARC
(29,20),-2.48863 # DEPENDENCYPART_ARC
(29,21),-1.11582 # DEPENDENCYPART_ARC
(29,22),-0.602064 # DEPENDENCYPART_ARC
(29,23),-2.25097 # DEPENDENCYPART_ARC
(29,24),-1.22273 # DEPENDENCYPART_ARC
(29,25),-0.843067 # DEPENDENCYPART_ARC
(29,26),-0.349641 # DEPENDENCYPART_ARC
(29,27),0.108804 # DEPENDENCYPART_ARC
(29,28),1.8196 # DEPENDENCYPART_ARC
(29,31),-0.798085 # DEPENDENCYPART_ARC
(29,32),-1.46239 # DEPENDENCYPART_ARC
(29,34),-1.05075 # DEPENDENCYPART_ARC
(30,16),-0.497584 # DEPENDENCYPART_ARC
(30,22),-0.615573 # DEPENDENCYPART_ARC
(30,25),-0.790779 # DEPENDENCYPART_ARC
(30,26),-0.30833 # DEPENDENCYPART_ARC
(30,27),0.274004 # DEPENDENCYPART_ARC
(30,28),0.0702425 # DEPENDENCYPART_ARC
(30,29),1.66833 # DEPENDENCYPART_ARC
(31,18),-3.21733 # DEPENDENCYPART_ARC
(31,24),-0.988495 # DEPENDENCYPART_ARC
(31,26),-0.767376 # DEPENDENCYPART_ARC
(31,27),-0.54364 # DEPENDENCYPART_ARC
(31,28),-1.18651 # DEPENDENCYPART_ARC
(31,29),-0.627494 # DEPENDENCYPART_ARC
(31,30),1.43397 # DEPENDENCYPART_ARC
(31,32),-0.964006 # DEPENDENCYPART_ARC
(31,33),-1.58535 # DEPENDENCYPART_ARC
(32,18),-4.73625 # DEPENDENCYPART_ARC
(32,24),-1.71964 # DEPENDENCYPART_ARC
(32,26),-1.03949 # DEPENDENCYPART_ARC
(32,27),-1.00061 # DEPENDENCYPART_ARC
(32,28),-1.95545 # DEPENDENCYPART_ARC
(32,29),-1.42598 # DEPENDENCYPART_ARC
(32,30),-0.0745627 # DEPENDENCYPART_ARC
(32,31),0.226134 # DEPENDENCYPART_ARC
(32,33),-1.26993 # DEPENDENCYPART_ARC
(32,35),-1.50524 # DEPENDENCYPART_ARC
(33,19),-1.22357 # DEPENDENCYPART_ARC
(33,22),-1.08419 # DEPENDENCYPART_ARC
(33,24),-1.7363 # DEPENDENCYPART_ARC
(33,25),-0.94591 # DEPENDENCYPART_ARC
(33,26),-0.850331 # DEPENDENCYPART_ARC
(33,27),-0.656387 # DEPENDENCYPART_ARC
(33,28),-2.20541 # DEPENDENCYPART_ARC
(33,29),-2.07459 # DEPENDENCYPART_ARC
(33,30),-1.09362 # DEPENDENCYPART_ARC
(33,31),0.340311 # DEPENDENCYPART_ARC
(33,32),0.883208 # DEPENDENCYPART_ARC
(33,34),-0.610282 # DEPENDENCYPART_ARC
(33,35),-1.34749 # DEPENDENCYPART_ARC
(34,17),-3.71946 # DEPENDENCYPART_ARC
(34,26),-0.811056 # DEPENDENCYPART_ARC
(34,31),-0.287608 # DEPENDENCYPART_ARC
(34,32),1.18114 # DEPENDENCYPART_ARC
(34,33),1.84244 # DEPENDENCYPART_ARC
(35,19),-1.42713 # DEPENDENCYPART_ARC
(35,25),-0.817218 # DEPENDENCYPART_ARC
(35,27),-0.995529 # DEPENDENCYPART_ARC
(35,28),-3.37025 # DEPENDENCYPART_ARC
(35,29),-3.18959 # DEPENDENCYPART_ARC
(35,30),-1.36364 # DEPENDENCYPART_ARC
(35,31),-0.584223 # DEPENDENCYPART_ARC
(35,32),-0.684693 # DEPENDENCYPART_ARC
(35,33),-0.641518 # DEPENDENCYPART_ARC
(35,34),0.276005 # DEPENDENCYPART_ARC
(35,36),-0.729517 # DEPENDENCYPART_ARC
(36,1),-1.43963 # DEPENDENCYPART_ARC
(36,2),-1.2198 # DEPENDENCYPART_ARC
(36,3),-1.3641 # DEPENDENCYPART_ARC
(36,5),-0.746294 # DEPENDENCYPART_ARC
(36,6),-2.03181 # DEPENDENCYPART_ARC
(36,7),-1.11659 # DEPENDENCYPART_ARC
(36,8),-0.903418 # DEPENDENCYPART_ARC
(36,9),-7.18626 # DEPENDENCYPART_ARC
(36,10),-7.90115 # DEPENDENCYPART_ARC
(36,12),-0.905954 # DEPENDENCYPART_ARC
(36,13),-0.94216 # DEPENDENCYPART_ARC
(36,14),-1.49277 # DEPENDENCYPART_ARC
(36,15),-1.11562 # DEPENDENCYPART_ARC
(36,16),-1.09196 # DEPENDENCYPART_ARC
(36,17),-4.8078 # DEPENDENCYPART_ARC
(36,18),-5.60232 # DEPENDENCYPART_ARC
(36,19),-0.501439 # DEPENDENCYPART_ARC
(36,20),-4.46453 # DEPENDENCYPART_ARC
(36,21),-1.02242 # DEPENDENCYPART_ARC
(36,22),-0.648316 # DEPENDENCYPART_ARC
(36,23),-4.28047 # DEPENDENCYPART_ARC
(36,25),-0.285667 # DEPENDENCYPART_ARC
(36,26),-0.767321 # DEPENDENCYPART_ARC
(36,27),-0.0603184 # DEPENDENCYPART_ARC
(36,28),-2.20194 # DEPENDENCYPART_ARC
(36,29),-2.82336 # DEPENDENCYPART_ARC
(36,30),-0.879512 # DEPENDENCYPART_ARC
(36,31),-0.173082 # DEPENDENCYPART_ARC
(36,32),0.248292 # DEPENDENCYPART_ARC
(36,33),-0.947663 # DEPENDENCYPART_ARC
(36,34),1.09494 # DEPENDENCYPART_ARC
(36,35),1.91722 # DEPENDENCYPART_ARC
(37,3),-1.45874 # DEPENDENCYPART_ARC
(37,7),0.162978 # DEPENDENCYPART_ARC
(37,8),-1.35172 # DEPENDENCYPART_ARC
(37,10),-5.05765 # DEPENDENCYPART_ARC
(37,20),-3.40779 # DEPENDENCYPART_ARC
(37,21),-0.849837 # DEPENDENCYPART_ARC
(37,22),-0.37262 # DEPENDENCYPART_ARC
(37,23),-2.95971 # DEPENDENCYPART_ARC
(37,24),-1.17067 # DEPENDENCYPART_ARC
(37,28),-2.05033 # DEPENDENCYPART_ARC
(37,29),-1.78828 # DEPENDENCYPART_ARC
(37,30),-0.698764 # DEPENDENCYPART_ARC
(37,31),-0.464902 # DEPENDENCYPART_ARC
(37,32),-0.609881 # DEPENDENCYPART_ARC
(37,33),-1.00335 # DEPENDENCYPART_ARC
(37,35),-0.223397 # DEPENDENCYPART_ARC
(37,36),1.5981 # DEPENDENCYPART_ARC
(0,1),(0,14),0.422009 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.486135 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.422009 # DEPENDENCYPART_SIBL
(0,1),(0,37),0.467632 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.275946 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.0509876 # DEPENDENCYPART_SIBL
(0,14),(0,37),-0.0126125 # DEPENDENCYPART_SIBL
(0,22),(0,26),0.422009 # DEPENDENCYPART_SIBL
(0,22),(0,37),0.467632 # DEPENDENCYPART_SIBL
(0,26),(0,37),-0.0126125 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0231288 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0792725 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00356546 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0312172 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0138527 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0495561 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0214586 # DEPENDENCYPART_SIBL
(5,1),(5,36),0.00361719 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.195956 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0943036 # DEPENDENCYPART_SIBL
(5,2),(5,36),-0.006996 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.14574 # DEPENDENCYPART_SIBL
(5,3),(5,36),0.0215107 # DEPENDENCYPART_SIBL
(5,4),(5,36),0.0434723 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.145476 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0601589 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0631606 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.145476 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0428592 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0782866 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0894255 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0894255 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00153205 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00153205 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00153205 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00302971 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0894255 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0314013 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.021841 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0999734 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0781338 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0275875 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0760747 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0760747 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00183869 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00183869 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00183869 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0384124 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0760747 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0226292 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0816557 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0112086 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0998596 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0894981 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0894981 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0299968 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0299968 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0299968 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0309816 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0894981 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0224233 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0439859 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0103935 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0650633 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0650633 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00539094 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.00539094 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00539094 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0120813 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0650633 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0781338 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0275875 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0760747 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0760747 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00183869 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00183869 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00183869 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0384124 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0760747 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0673859 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0702086 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0702086 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.119535 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.119535 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.119535 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0805145 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0702086 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0160023 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0160023 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00128152 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00128152 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00128152 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0421249 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0160023 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0598273 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0793073 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0793073 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0793073 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0621381 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0598273 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0793073 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0793073 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0793073 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0621381 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0598273 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0572542 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0572542 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0176542 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.0310266 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0572542 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0176542 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0310266 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0176542 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0310266 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0394472 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.036623 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00804426 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0161313 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0494034 # DEPENDENCYPART_SIBL
