# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,8,5,8,8,8,9,23,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,28,26,0,33,31,33,33,34,0,
(12,7),-2.04353 # DEPENDENCYPART_ARC
(12,8),-1.56313 # DEPENDENCYPART_ARC
(12,9),-1.20702 # DEPENDENCYPART_ARC
(12,10),-0.876279 # DEPENDENCYPART_ARC
(12,11),0.260929 # DEPENDENCYPART_ARC
(13,5),-1.02682 # DEPENDENCYPART_ARC
(13,6),-0.916758 # DEPENDENCYPART_ARC
(13,7),-1.89355 # DEPENDENCYPART_ARC
(13,8),-1.5275 # DEPENDENCYPART_ARC
(13,9),-1.09201 # DEPENDENCYPART_ARC
(13,10),-0.652641 # DEPENDENCYPART_ARC
(13,11),1.51525 # DEPENDENCYPART_ARC
(13,12),1.58781 # DEPENDENCYPART_ARC
(13,15),-1.25207 # DEPENDENCYPART_ARC
(14,6),-0.969211 # DEPENDENCYPART_ARC
(14,9),-0.983943 # DEPENDENCYPART_ARC
(14,10),-0.674072 # DEPENDENCYPART_ARC
(14,11),-0.389359 # DEPENDENCYPART_ARC
(14,12),-0.250158 # DEPENDENCYPART_ARC
(14,13),2.28849 # DEPENDENCYPART_ARC
(15,12),-1.14845 # DEPENDENCYPART_ARC
(15,13),-1.0465 # DEPENDENCYPART_ARC
(15,14),-0.265327 # DEPENDENCYPART_ARC
(15,16),-0.561954 # DEPENDENCYPART_ARC
(16,9),-1.08036 # DEPENDENCYPART_ARC
(16,13),-1.0357 # DEPENDENCYPART_ARC
(16,14),-0.747741 # DEPENDENCYPART_ARC
(16,15),0.580707 # DEPENDENCYPART_ARC
(17,7),-2.32296 # DEPENDENCYPART_ARC
(17,8),-1.95594 # DEPENDENCYPART_ARC
(17,10),-1.00251 # DEPENDENCYPART_ARC
(17,13),-0.967701 # DEPENDENCYPART_ARC
(17,14),-0.824816 # DEPENDENCYPART_ARC
(17,15),-0.486802 # DEPENDENCYPART_ARC
(17,16),0.522444 # DEPENDENCYPART_ARC
(17,19),-0.996727 # DEPENDENCYPART_ARC
(17,29),-1.50136 # DEPENDENCYPART_ARC
(17,31),-1.53075 # DEPENDENCYPART_ARC
(18,17),-0.616906 # DEPENDENCYPART_ARC
(19,10),-0.825957 # DEPENDENCYPART_ARC
(19,11),-0.834719 # DEPENDENCYPART_ARC
(19,12),-1.60967 # DEPENDENCYPART_ARC
(19,13),-1.22902 # DEPENDENCYPART_ARC
(19,14),-0.0534691 # DEPENDENCYPART_ARC
(19,15),-0.757728 # DEPENDENCYPART_ARC
(19,16),-0.715631 # DEPENDENCYPART_ARC
(19,17),0.575756 # DEPENDENCYPART_ARC
(19,18),1.23686 # DEPENDENCYPART_ARC
(19,20),-0.883178 # DEPENDENCYPART_ARC
(19,21),-1.46658 # DEPENDENCYPART_ARC
(20,9),-1.31739 # DEPENDENCYPART_ARC
(20,11),-0.426428 # DEPENDENCYPART_ARC
(20,13),-0.765461 # DEPENDENCYPART_ARC
(20,14),-0.440696 # DEPENDENCYPART_ARC
(20,15),-0.88308 # DEPENDENCYPART_ARC
(20,16),-0.905041 # DEPENDENCYPART_ARC
(20,17),-1.295 # DEPENDENCYPART_ARC
(20,18),-0.90897 # DEPENDENCYPART_ARC
(20,19),0.339239 # DEPENDENCYPART_ARC
(20,22),-0.601014 # DEPENDENCYPART_ARC
(20,23),-1.31269 # DEPENDENCYPART_ARC
(20,25),-0.880172 # DEPENDENCYPART_ARC
(20,26),-0.640528 # DEPENDENCYPART_ARC
(20,28),-1.34672 # DEPENDENCYPART_ARC
(20,30),-0.961008 # DEPENDENCYPART_ARC
(20,31),-1.94958 # DEPENDENCYPART_ARC
(20,33),-1.24469 # DEPENDENCYPART_ARC
(21,1),-1.01111 # DEPENDENCYPART_ARC
(21,2),-0.245806 # DEPENDENCYPART_ARC
(21,3),-0.787548 # DEPENDENCYPART_ARC
(21,4),-0.706244 # DEPENDENCYPART_ARC
(21,5),-0.559397 # DEPENDENCYPART_ARC
(21,6),-0.99158 # DEPENDENCYPART_ARC
(21,7),-4.11963 # DEPENDENCYPART_ARC
(21,8),-4.24456 # DEPENDENCYPART_ARC
(21,9),-0.650942 # DEPENDENCYPART_ARC
(21,10),-0.573558 # DEPENDENCYPART_ARC
(21,11),0.17124 # DEPENDENCYPART_ARC
(21,12),-3.15 # DEPENDENCYPART_ARC
(21,13),-0.170221 # DEPENDENCYPART_ARC
(21,14),-0.153007 # DEPENDENCYPART_ARC
(21,15),-0.506434 # DEPENDENCYPART_ARC
(21,16),-0.459136 # DEPENDENCYPART_ARC
(21,17),-1.02895 # DEPENDENCYPART_ARC
(21,18),-0.919255 # DEPENDENCYPART_ARC
(21,19),0.59123 # DEPENDENCYPART_ARC
(21,20),2.16946 # DEPENDENCYPART_ARC
(21,22),-0.463141 # DEPENDENCYPART_ARC
(21,23),-1.63861 # DEPENDENCYPART_ARC
(21,26),-1.11173 # DEPENDENCYPART_ARC
(21,28),-1.59333 # DEPENDENCYPART_ARC
(21,30),-1.44243 # DEPENDENCYPART_ARC
(21,31),-1.92472 # DEPENDENCYPART_ARC
(22,4),-0.675961 # DEPENDENCYPART_ARC
(22,5),-1.18984 # DEPENDENCYPART_ARC
(22,10),-0.682833 # DEPENDENCYPART_ARC
(22,11),1.01118 # DEPENDENCYPART_ARC
(22,12),-2.51838 # DEPENDENCYPART_ARC
(22,13),-0.589703 # DEPENDENCYPART_ARC
(22,15),-0.517151 # DEPENDENCYPART_ARC
(22,16),-0.627467 # DEPENDENCYPART_ARC
(22,17),-0.21217 # DEPENDENCYPART_ARC
(22,18),-0.195138 # DEPENDENCYPART_ARC
(22,19),0.357712 # DEPENDENCYPART_ARC
(22,20),-0.104648 # DEPENDENCYPART_ARC
(22,21),1.82075 # DEPENDENCYPART_ARC
(23,1),-1.23987 # DEPENDENCYPART_ARC
(23,2),-0.239231 # DEPENDENCYPART_ARC
(23,4),-0.892658 # DEPENDENCYPART_ARC
(23,5),-0.97394 # DEPENDENCYPART_ARC
(23,9),-0.971795 # DEPENDENCYPART_ARC
(23,11),-0.0663492 # DEPENDENCYPART_ARC
(23,12),-4.21788 # DEPENDENCYPART_ARC
(23,13),-0.532158 # DEPENDENCYPART_ARC
(23,14),-0.344215 # DEPENDENCYPART_ARC
(23,15),-0.801902 # DEPENDENCYPART_ARC
(23,16),-0.862068 # DEPENDENCYPART_ARC
(23,17),-1.47324 # DEPENDENCYPART_ARC
(23,18),-1.34847 # DEPENDENCYPART_ARC
(23,19),-0.342661 # DEPENDENCYPART_ARC
(23,20),-1.14623 # DEPENDENCYPART_ARC
(23,21),-0.79028 # DEPENDENCYPART_ARC
(23,22),1.22146 # DEPENDENCYPART_ARC
(23,25),-1.16245 # DEPENDENCYPART_ARC
(23,26),-1.20148 # DEPENDENCYPART_ARC
(23,27),-0.724501 # DEPENDENCYPART_ARC
(23,28),-1.75711 # DEPENDENCYPART_ARC
(23,29),-2.14671 # DEPENDENCYPART_ARC
(23,30),-1.6057 # DEPENDENCYPART_ARC
(23,31),-2.17981 # DEPENDENCYPART_ARC
(23,32),-1.97945 # DEPENDENCYPART_ARC
(23,33),-1.85351 # DEPENDENCYPART_ARC
(24,2),-0.89369 # DEPENDENCYPART_ARC
(24,14),-0.373149 # DEPENDENCYPART_ARC
(24,19),-0.35052 # DEPENDENCYPART_ARC
(24,22),0.4242 # DEPENDENCYPART_ARC
(24,23),1.5152 # DEPENDENCYPART_ARC
(25,11),-1.14306 # DEPENDENCYPART_ARC
(25,12),-3.46099 # DEPENDENCYPART_ARC
(25,14),-0.47809 # DEPENDENCYPART_ARC
(25,16),-0.938212 # DEPENDENCYPART_ARC
(25,17),-0.869824 # DEPENDENCYPART_ARC
(25,18),-0.764967 # DEPENDENCYPART_ARC
(25,19),-1.4049 # DEPENDENCYPART_ARC
(25,20),-1.93299 # DEPENDENCYPART_ARC
(25,21),-1.58739 # DEPENDENCYPART_ARC
(25,22),-1.21188 # DEPENDENCYPART_ARC
(25,23),-0.773043 # DEPENDENCYPART_ARC
(25,24),1.28367 # DEPENDENCYPART_ARC
(25,27),-0.336526 # DEPENDENCYPART_ARC
(25,28),-1.19652 # DEPENDENCYPART_ARC
(25,29),-1.39174 # DEPENDENCYPART_ARC
(25,31),-1.61359 # DEPENDENCYPART_ARC
(25,33),-1.92495 # DEPENDENCYPART_ARC
(26,24),-0.45613 # DEPENDENCYPART_ARC
(26,25),0.533965 # DEPENDENCYPART_ARC
(26,27),0.913303 # DEPENDENCYPART_ARC
(27,20),-1.80882 # DEPENDENCYPART_ARC
(27,21),-1.79839 # DEPENDENCYPART_ARC
(27,23),-1.58429 # DEPENDENCYPART_ARC
(27,25),-1.22694 # DEPENDENCYPART_ARC
(27,29),-1.21155 # DEPENDENCYPART_ARC
(28,7),-5.23138 # DEPENDENCYPART_ARC
(28,8),-4.90757 # DEPENDENCYPART_ARC
(28,12),-3.70399 # DEPENDENCYPART_ARC
(28,17),-1.61869 # DEPENDENCYPART_ARC
(28,18),-1.44386 # DEPENDENCYPART_ARC
(28,19),-0.864437 # DEPENDENCYPART_ARC
(28,20),-2.70413 # DEPENDENCYPART_ARC
(28,21),-2.29655 # DEPENDENCYPART_ARC
(28,22),-0.982612 # DEPENDENCYPART_ARC
(28,23),-1.74867 # DEPENDENCYPART_ARC
(28,24),-1.11042 # DEPENDENCYPART_ARC
(28,25),-0.834606 # DEPENDENCYPART_ARC
(28,26),-1.14163 # DEPENDENCYPART_ARC
(28,27),-0.703672 # DEPENDENCYPART_ARC
(28,29),-0.746077 # DEPENDENCYPART_ARC
(28,31),-1.0388 # DEPENDENCYPART_ARC
(28,32),-1.33766 # DEPENDENCYPART_ARC
(28,33),-1.30525 # DEPENDENCYPART_ARC
(28,34),-1.45411 # DEPENDENCYPART_ARC
(29,22),-2.78876 # DEPENDENCYPART_ARC
(29,23),-1.90872 # DEPENDENCYPART_ARC
(29,24),-1.76274 # DEPENDENCYPART_ARC
(29,25),-2.51832 # DEPENDENCYPART_ARC
(29,26),-1.616 # DEPENDENCYPART_ARC
(29,27),-1.57445 # DEPENDENCYPART_ARC
(29,28),-0.691598 # DEPENDENCYPART_ARC
(29,31),-0.990359 # DEPENDENCYPART_ARC
(29,32),-1.26168 # DEPENDENCYPART_ARC
(30,24),-1.39234 # DEPENDENCYPART_ARC
(30,29),-0.505705 # DEPENDENCYPART_ARC
(31,22),-1.79814 # DEPENDENCYPART_ARC
(31,24),-1.72753 # DEPENDENCYPART_ARC
(31,25),-0.584652 # DEPENDENCYPART_ARC
(31,27),-1.39651 # DEPENDENCYPART_ARC
(31,28),-0.947049 # DEPENDENCYPART_ARC
(31,29),0.359498 # DEPENDENCYPART_ARC
(31,30),0.808969 # DEPENDENCYPART_ARC
(31,32),-0.883243 # DEPENDENCYPART_ARC
(32,2),-0.345287 # DEPENDENCYPART_ARC
(32,19),-1.53965 # DEPENDENCYPART_ARC
(32,22),-1.51437 # DEPENDENCYPART_ARC
(32,23),-3.04348 # DEPENDENCYPART_ARC
(32,24),-1.61837 # DEPENDENCYPART_ARC
(32,25),-1.04952 # DEPENDENCYPART_ARC
(32,26),-1.13219 # DEPENDENCYPART_ARC
(32,27),-1.27767 # DEPENDENCYPART_ARC
(32,28),-0.911591 # DEPENDENCYPART_ARC
(32,29),-0.177214 # DEPENDENCYPART_ARC
(32,30),-0.409355 # DEPENDENCYPART_ARC
(32,31),0.540669 # DEPENDENCYPART_ARC
(32,33),-0.657902 # DEPENDENCYPART_ARC
(33,1),-0.872008 # DEPENDENCYPART_ARC
(33,2),-0.33753 # DEPENDENCYPART_ARC
(33,3),-0.71222 # DEPENDENCYPART_ARC
(33,4),-0.732396 # DEPENDENCYPART_ARC
(33,5),-0.375525 # DEPENDENCYPART_ARC
(33,6),-0.63661 # DEPENDENCYPART_ARC
(33,7),-5.85411 # DEPENDENCYPART_ARC
(33,8),-6.17688 # DEPENDENCYPART_ARC
(33,9),-0.272572 # DEPENDENCYPART_ARC
(33,10),-1.17939 # DEPENDENCYPART_ARC
(33,11),-1.2302 # DEPENDENCYPART_ARC
(33,13),-0.46645 # DEPENDENCYPART_ARC
(33,14),-0.340645 # DEPENDENCYPART_ARC
(33,15),-0.719974 # DEPENDENCYPART_ARC
(33,16),-0.824988 # DEPENDENCYPART_ARC
(33,17),-1.30325 # DEPENDENCYPART_ARC
(33,19),-0.444434 # DEPENDENCYPART_ARC
(33,20),-3.08809 # DEPENDENCYPART_ARC
(33,21),-4.12244 # DEPENDENCYPART_ARC
(33,22),-0.165542 # DEPENDENCYPART_ARC
(33,23),-3.11916 # DEPENDENCYPART_ARC
(33,24),-1.03188 # DEPENDENCYPART_ARC
(33,25),-0.561501 # DEPENDENCYPART_ARC
(33,26),-0.750336 # DEPENDENCYPART_ARC
(33,27),-0.8606 # DEPENDENCYPART_ARC
(33,28),-0.499347 # DEPENDENCYPART_ARC
(33,29),0.695604 # DEPENDENCYPART_ARC
(33,30),-0.193403 # DEPENDENCYPART_ARC
(33,31),1.45309 # DEPENDENCYPART_ARC
(33,32),1.88607 # DEPENDENCYPART_ARC
(34,6),-0.973506 # DEPENDENCYPART_ARC
(34,7),-4.84267 # DEPENDENCYPART_ARC
(34,8),-4.72534 # DEPENDENCYPART_ARC
(34,9),-0.902425 # DEPENDENCYPART_ARC
(34,15),-1.1123 # DEPENDENCYPART_ARC
(34,16),-1.26667 # DEPENDENCYPART_ARC
(34,17),-1.3052 # DEPENDENCYPART_ARC
(34,20),-2.99215 # DEPENDENCYPART_ARC
(34,21),-2.63384 # DEPENDENCYPART_ARC
(34,23),-2.384 # DEPENDENCYPART_ARC
(34,24),-1.11011 # DEPENDENCYPART_ARC
(34,25),-0.90451 # DEPENDENCYPART_ARC
(34,27),-0.784062 # DEPENDENCYPART_ARC
(34,28),-0.797091 # DEPENDENCYPART_ARC
(34,29),-0.608651 # DEPENDENCYPART_ARC
(34,30),-0.543447 # DEPENDENCYPART_ARC
(34,31),-0.536252 # DEPENDENCYPART_ARC
(34,32),-0.219865 # DEPENDENCYPART_ARC
(34,33),1.60163 # DEPENDENCYPART_ARC
(0,10),(0,28),-0.0509876 # DEPENDENCYPART_SIBL
(0,10),(0,34),-0.0126125 # DEPENDENCYPART_SIBL
(0,28),(0,34),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0130442 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0142695 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0463915 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.116946 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0111314 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00400207 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.116946 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00657617 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00458352 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.158318 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0188341 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00458352 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.116946 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00974427 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0224195 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00458368 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0536802 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0106294 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.15515 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.170004 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0188341 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0182291 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.00400207 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.020628 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00458368 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0536802 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0106294 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00453321 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0540283 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0106733 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0329604 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0312172 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0283391 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0697243 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0500686 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0587621 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.145783 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0156959 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0574562 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0114971 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0791151 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0699049 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0699049 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0120407 # DEPENDENCYPART_SIBL
(7,1),(7,30),0.0135697 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.139337 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.159271 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.13971 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0863669 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0487502 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0487502 # DEPENDENCYPART_SIBL
(7,2),(7,26),0.0861091 # DEPENDENCYPART_SIBL
(7,2),(7,30),0.0856397 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0446738 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00128533 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0693946 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0727815 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0727815 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.0091641 # DEPENDENCYPART_SIBL
(7,3),(7,30),0.0106931 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0229513 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0887509 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0708233 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0708233 # DEPENDENCYPART_SIBL
(7,4),(7,26),0.0117277 # DEPENDENCYPART_SIBL
(7,4),(7,30),0.0132567 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0712688 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0711273 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0711273 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.0108183 # DEPENDENCYPART_SIBL
(7,5),(7,30),0.0123473 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0839802 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0839802 # DEPENDENCYPART_SIBL
(7,6),(7,26),0.102955 # DEPENDENCYPART_SIBL
(7,6),(7,30),0.101988 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.0638517 # DEPENDENCYPART_SIBL
(7,20),(7,26),-0.0249382 # DEPENDENCYPART_SIBL
(7,20),(7,30),-0.0249382 # DEPENDENCYPART_SIBL
(7,21),(7,26),-0.0249382 # DEPENDENCYPART_SIBL
(7,21),(7,30),-0.0249382 # DEPENDENCYPART_SIBL
(7,26),(7,30),0.0396376 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.145783 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0156959 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0574562 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0114971 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0791151 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0811304 # DEPENDENCYPART_SIBL
(8,1),(8,26),0.0120407 # DEPENDENCYPART_SIBL
(8,1),(8,30),0.0135697 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.139337 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.159271 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.13971 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0863669 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0816367 # DEPENDENCYPART_SIBL
(8,2),(8,26),0.0861091 # DEPENDENCYPART_SIBL
(8,2),(8,30),0.0856397 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0446738 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.00128533 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0693946 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.075868 # DEPENDENCYPART_SIBL
(8,3),(8,26),0.0091641 # DEPENDENCYPART_SIBL
(8,3),(8,30),0.0106931 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0229513 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0887509 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0502075 # DEPENDENCYPART_SIBL
(8,4),(8,26),0.0117277 # DEPENDENCYPART_SIBL
(8,4),(8,30),0.0132567 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0712688 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0895458 # DEPENDENCYPART_SIBL
(8,5),(8,26),0.0108183 # DEPENDENCYPART_SIBL
(8,5),(8,30),0.0123473 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.180196 # DEPENDENCYPART_SIBL
(8,6),(8,26),0.102955 # DEPENDENCYPART_SIBL
(8,6),(8,30),0.101988 # DEPENDENCYPART_SIBL
(8,7),(8,26),0.0763319 # DEPENDENCYPART_SIBL
(8,7),(8,30),0.0755694 # DEPENDENCYPART_SIBL
(8,26),(8,30),0.0396376 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.059127 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0745827 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.054927 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0897802 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.152137 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0697243 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0500686 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0861103 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.15441 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0587621 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0906802 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.165384 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0889868 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.150805 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0256702 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.060773 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.060773 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0264775 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0586021 # DEPENDENCYPART_SIBL
(10,5),(10,33),-0.033615 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.788511 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.144268 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.166193 # DEPENDENCYPART_SIBL
(10,7),(10,33),-0.138055 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.144268 # DEPENDENCYPART_SIBL
