# _root_ Böyle _ önemli bir görevin başına _ _ getirilen kişi , eski _ sakallı fotoğrafından da _ anlaşılıyor ki , bir bütün bürokrasiye _ _ yayılan zihniyetin bir örneği _ olabilir .
#goldHeads=3,3,5,5,6,8,8,9,10,31,0,15,14,15,18,15,18,31,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
#predictedHeads=3,3,5,5,6,8,8,9,10,18,0,13,14,15,18,15,18,20,18,31,22,23,25,25,26,27,29,29,31,31,32,0,
(24,17),-2.49817 # DEPENDENCYPART_ARC
(24,18),-1.27845 # DEPENDENCYPART_ARC
(24,20),-0.729253 # DEPENDENCYPART_ARC
(24,21),-0.399203 # DEPENDENCYPART_ARC
(24,22),-0.72653 # DEPENDENCYPART_ARC
(24,23),0.420167 # DEPENDENCYPART_ARC
(24,27),-0.843714 # DEPENDENCYPART_ARC
(24,29),-1.05904 # DEPENDENCYPART_ARC
(24,30),-1.45891 # DEPENDENCYPART_ARC
(25,5),-0.32046 # DEPENDENCYPART_ARC
(25,6),-0.728898 # DEPENDENCYPART_ARC
(25,10),-0.833122 # DEPENDENCYPART_ARC
(25,13),-3.64834 # DEPENDENCYPART_ARC
(25,15),-0.665716 # DEPENDENCYPART_ARC
(25,17),-2.34995 # DEPENDENCYPART_ARC
(25,18),-1.87195 # DEPENDENCYPART_ARC
(25,19),-1.04383 # DEPENDENCYPART_ARC
(25,20),-0.512291 # DEPENDENCYPART_ARC
(25,21),-0.454981 # DEPENDENCYPART_ARC
(25,22),-0.85377 # DEPENDENCYPART_ARC
(25,23),0.403791 # DEPENDENCYPART_ARC
(25,24),1.97458 # DEPENDENCYPART_ARC
(25,27),-1.4303 # DEPENDENCYPART_ARC
(25,29),-1.19343 # DEPENDENCYPART_ARC
(25,30),-1.93904 # DEPENDENCYPART_ARC
(26,15),-0.655216 # DEPENDENCYPART_ARC
(26,19),-0.60276 # DEPENDENCYPART_ARC
(26,20),-0.373486 # DEPENDENCYPART_ARC
(26,21),-0.306284 # DEPENDENCYPART_ARC
(26,22),-0.514862 # DEPENDENCYPART_ARC
(26,23),0.0782256 # DEPENDENCYPART_ARC
(26,24),-0.0353514 # DEPENDENCYPART_ARC
(26,25),1.55068 # DEPENDENCYPART_ARC
(27,12),-1.71363 # DEPENDENCYPART_ARC
(27,14),-0.958643 # DEPENDENCYPART_ARC
(27,20),-0.778648 # DEPENDENCYPART_ARC
(27,22),-0.388969 # DEPENDENCYPART_ARC
(27,23),-1.03603 # DEPENDENCYPART_ARC
(27,24),-1.27445 # DEPENDENCYPART_ARC
(27,25),-0.808433 # DEPENDENCYPART_ARC
(27,26),1.42458 # DEPENDENCYPART_ARC
(27,28),-0.915422 # DEPENDENCYPART_ARC
(27,29),-1.31535 # DEPENDENCYPART_ARC
(27,30),-1.82393 # DEPENDENCYPART_ARC
(28,27),-0.715906 # DEPENDENCYPART_ARC
(29,21),-0.935066 # DEPENDENCYPART_ARC
(29,22),-1.102 # DEPENDENCYPART_ARC
(29,23),-0.206601 # DEPENDENCYPART_ARC
(29,24),-1.6572 # DEPENDENCYPART_ARC
(29,25),-0.952845 # DEPENDENCYPART_ARC
(29,26),-0.378173 # DEPENDENCYPART_ARC
(29,27),1.36652 # DEPENDENCYPART_ARC
(29,28),1.31134 # DEPENDENCYPART_ARC
(29,30),-1.25476 # DEPENDENCYPART_ARC
(30,10),-0.692682 # DEPENDENCYPART_ARC
(30,15),-1.1536 # DEPENDENCYPART_ARC
(30,21),-0.857547 # DEPENDENCYPART_ARC
(30,22),-1.66061 # DEPENDENCYPART_ARC
(30,23),-0.642101 # DEPENDENCYPART_ARC
(30,24),-2.46032 # DEPENDENCYPART_ARC
(30,25),-2.21831 # DEPENDENCYPART_ARC
(30,26),-1.34733 # DEPENDENCYPART_ARC
(30,27),0.0380517 # DEPENDENCYPART_ARC
(30,28),-0.889709 # DEPENDENCYPART_ARC
(30,29),0.403331 # DEPENDENCYPART_ARC
(30,31),-1.00141 # DEPENDENCYPART_ARC
(31,1),-1.36556 # DEPENDENCYPART_ARC
(31,2),-6.48681 # DEPENDENCYPART_ARC
(31,5),-1.63446 # DEPENDENCYPART_ARC
(31,6),-0.393558 # DEPENDENCYPART_ARC
(31,7),-6.14501 # DEPENDENCYPART_ARC
(31,8),-6.55694 # DEPENDENCYPART_ARC
(31,10),-0.28002 # DEPENDENCYPART_ARC
(31,11),-0.963183 # DEPENDENCYPART_ARC
(31,13),-3.87288 # DEPENDENCYPART_ARC
(31,14),-0.932603 # DEPENDENCYPART_ARC
(31,15),-0.293509 # DEPENDENCYPART_ARC
(31,16),-1.28746 # DEPENDENCYPART_ARC
(31,17),-3.65418 # DEPENDENCYPART_ARC
(31,18),-1.3538 # DEPENDENCYPART_ARC
(31,19),-0.77302 # DEPENDENCYPART_ARC
(31,20),-0.43935 # DEPENDENCYPART_ARC
(31,21),-0.252087 # DEPENDENCYPART_ARC
(31,22),-0.939937 # DEPENDENCYPART_ARC
(31,23),0.243666 # DEPENDENCYPART_ARC
(31,24),-1.57547 # DEPENDENCYPART_ARC
(31,25),-1.94091 # DEPENDENCYPART_ARC
(31,26),-0.617429 # DEPENDENCYPART_ARC
(31,27),-0.496813 # DEPENDENCYPART_ARC
(31,28),-0.50523 # DEPENDENCYPART_ARC
(31,29),1.47446 # DEPENDENCYPART_ARC
(31,30),1.81654 # DEPENDENCYPART_ARC
(31,32),-1.60145 # DEPENDENCYPART_ARC
(32,1),-1.30334 # DEPENDENCYPART_ARC
(32,7),-4.88244 # DEPENDENCYPART_ARC
(32,8),-4.47467 # DEPENDENCYPART_ARC
(32,12),-1.16718 # DEPENDENCYPART_ARC
(32,16),-1.52513 # DEPENDENCYPART_ARC
(32,17),-3.24424 # DEPENDENCYPART_ARC
(32,18),-1.04354 # DEPENDENCYPART_ARC
(32,19),-0.588992 # DEPENDENCYPART_ARC
(32,21),-0.209747 # DEPENDENCYPART_ARC
(32,22),-1.01779 # DEPENDENCYPART_ARC
(32,23),-0.492297 # DEPENDENCYPART_ARC
(32,24),-1.85212 # DEPENDENCYPART_ARC
(32,25),-1.52108 # DEPENDENCYPART_ARC
(32,26),-0.737056 # DEPENDENCYPART_ARC
(32,27),-0.558156 # DEPENDENCYPART_ARC
(32,28),-0.679033 # DEPENDENCYPART_ARC
(32,29),-0.583217 # DEPENDENCYPART_ARC
(32,30),-0.249721 # DEPENDENCYPART_ARC
(32,31),1.57757 # DEPENDENCYPART_ARC
(0,11),(0,20),-0.0509876 # DEPENDENCYPART_SIBL
(0,11),(0,32),-0.0126125 # DEPENDENCYPART_SIBL
(0,20),(0,32),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0126473 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0132347 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0700231 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0523123 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.255699 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0395257 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0346327 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.279148 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.20678 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0367847 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0734496 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.318767 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0954141 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00523254 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0815303 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00425294 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0226956 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0798791 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0492597 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.254684 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0708058 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0348205 # DEPENDENCYPART_SIBL
(6,1),(6,31),-0.0028809 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.282309 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.207468 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.447782 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0736528 # DEPENDENCYPART_SIBL
(6,2),(6,31),-0.0213154 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.315435 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0787733 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00542029 # DEPENDENCYPART_SIBL
(6,3),(6,31),0.0466016 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.1355 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00406519 # DEPENDENCYPART_SIBL
(6,4),(6,31),0.0433525 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0538834 # DEPENDENCYPART_SIBL
(6,5),(6,31),-0.00712579 # DEPENDENCYPART_SIBL
(6,7),(6,31),-0.0294243 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.286403 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00466674 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0248574 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.000713506 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00974311 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.426025 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.391045 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.636019 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.611752 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.13754 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0394873 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0418494 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0292827 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0337346 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0351001 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.286403 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.00466674 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0248574 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.000713506 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.00974311 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.234214 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.426025 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.391045 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.636019 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.611752 # DEPENDENCYPART_SIBL
(8,2),(8,7),-1.07945 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.13754 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0394873 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0418494 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.000397289 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0292827 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0337346 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.131362 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0351001 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.07014 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.123498 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.330368 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.324336 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.68523 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.68523 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0297539 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0397589 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0397589 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0280414 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0280414 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.874254 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0701819 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0511227 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.255608 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0805173 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0716318 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0421798 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0421798 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0346275 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0537578 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00787771 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.00787771 # DEPENDENCYPART_SIBL
(10,1),(10,31),-0.0027611 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.28312 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.208337 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.440615 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.437344 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.785268 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.785268 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.331617 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0756195 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0163525 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0163525 # DEPENDENCYPART_SIBL
(10,2),(10,31),-0.0212114 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.324531 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0989715 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.092078 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0222515 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0222515 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.110059 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0472421 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0395326 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0395326 # DEPENDENCYPART_SIBL
(10,3),(10,31),0.0456314 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.148323 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.145609 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0709749 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0709749 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0609901 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0740678 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0756939 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0756939 # DEPENDENCYPART_SIBL
(10,4),(10,31),0.0434723 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.00466968 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0260616 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0260616 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0883401 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0315698 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.00374064 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.00374064 # DEPENDENCYPART_SIBL
(10,5),(10,31),-0.00699382 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0120622 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0120622 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0861791 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0315698 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00374064 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.00374064 # DEPENDENCYPART_SIBL
(10,6),(10,31),-0.00699382 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.848152 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.349535 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0827886 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0928428 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0928428 # DEPENDENCYPART_SIBL
(10,7),(10,31),-0.0020804 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.349535 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0827886 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0928428 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0928428 # DEPENDENCYPART_SIBL
(10,8),(10,31),-0.0020804 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0482513 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0385172 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0385172 # DEPENDENCYPART_SIBL
(10,9),(10,31),0.0446394 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0259771 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0259771 # DEPENDENCYPART_SIBL
(10,11),(10,31),-0.0409097 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0172379 # DEPENDENCYPART_SIBL
