# _root_ Bir gün düşünmüş , iki gün düşünmüş , işin içinden _ _ çıkamayacağını _ _ kestirince doğru kıza gitmiş .
#goldHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
#predictedHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
(12,1),-1.78718 # DEPENDENCYPART_ARC
(12,2),-0.764942 # DEPENDENCYPART_ARC
(12,3),-0.548046 # DEPENDENCYPART_ARC
(12,4),-1.06312 # DEPENDENCYPART_ARC
(12,5),-1.56595 # DEPENDENCYPART_ARC
(12,6),-0.839522 # DEPENDENCYPART_ARC
(12,7),-0.562878 # DEPENDENCYPART_ARC
(12,8),-0.389703 # DEPENDENCYPART_ARC
(12,9),-0.240237 # DEPENDENCYPART_ARC
(12,10),0.747371 # DEPENDENCYPART_ARC
(12,11),2.18997 # DEPENDENCYPART_ARC
(12,13),-0.46037 # DEPENDENCYPART_ARC
(12,14),-1.43354 # DEPENDENCYPART_ARC
(12,16),-1.03688 # DEPENDENCYPART_ARC
(12,17),-1.06591 # DEPENDENCYPART_ARC
(12,18),-1.42861 # DEPENDENCYPART_ARC
(13,2),-0.311468 # DEPENDENCYPART_ARC
(13,4),-1.13853 # DEPENDENCYPART_ARC
(13,6),-0.6413 # DEPENDENCYPART_ARC
(13,8),-0.926547 # DEPENDENCYPART_ARC
(13,9),1.26834 # DEPENDENCYPART_ARC
(13,10),0.175544 # DEPENDENCYPART_ARC
(13,12),1.96983 # DEPENDENCYPART_ARC
(14,8),-0.566234 # DEPENDENCYPART_ARC
(14,9),-0.554808 # DEPENDENCYPART_ARC
(14,10),-0.768813 # DEPENDENCYPART_ARC
(14,11),-1.17177 # DEPENDENCYPART_ARC
(14,12),-0.57803 # DEPENDENCYPART_ARC
(14,13),0.374879 # DEPENDENCYPART_ARC
(14,16),-0.67847 # DEPENDENCYPART_ARC
(14,17),-0.946851 # DEPENDENCYPART_ARC
(14,18),-0.974598 # DEPENDENCYPART_ARC
(14,19),-1.22415 # DEPENDENCYPART_ARC
(15,2),-0.992999 # DEPENDENCYPART_ARC
(15,3),-1.37483 # DEPENDENCYPART_ARC
(15,4),-0.990832 # DEPENDENCYPART_ARC
(15,5),-1.71456 # DEPENDENCYPART_ARC
(15,6),-1.04567 # DEPENDENCYPART_ARC
(15,7),-1.45368 # DEPENDENCYPART_ARC
(15,8),-0.400912 # DEPENDENCYPART_ARC
(15,9),-0.327598 # DEPENDENCYPART_ARC
(15,10),-0.303568 # DEPENDENCYPART_ARC
(15,11),-0.985681 # DEPENDENCYPART_ARC
(15,12),-1.14398 # DEPENDENCYPART_ARC
(15,13),0.551765 # DEPENDENCYPART_ARC
(15,14),1.96156 # DEPENDENCYPART_ARC
(15,16),-0.573073 # DEPENDENCYPART_ARC
(15,17),-0.904607 # DEPENDENCYPART_ARC
(15,18),-1.51797 # DEPENDENCYPART_ARC
(15,19),-1.89979 # DEPENDENCYPART_ARC
(16,2),-0.536365 # DEPENDENCYPART_ARC
(16,6),-0.639847 # DEPENDENCYPART_ARC
(16,9),-0.307681 # DEPENDENCYPART_ARC
(16,10),-0.103078 # DEPENDENCYPART_ARC
(16,13),0.335319 # DEPENDENCYPART_ARC
(16,15),1.46048 # DEPENDENCYPART_ARC
(17,10),-0.280939 # DEPENDENCYPART_ARC
(17,13),-0.373732 # DEPENDENCYPART_ARC
(17,14),-0.530336 # DEPENDENCYPART_ARC
(17,15),-0.317358 # DEPENDENCYPART_ARC
(17,16),0.876202 # DEPENDENCYPART_ARC
(17,18),-0.668778 # DEPENDENCYPART_ARC
(18,9),-1.79909 # DEPENDENCYPART_ARC
(18,10),-1.9993 # DEPENDENCYPART_ARC
(18,11),-2.35655 # DEPENDENCYPART_ARC
(18,12),-1.7488 # DEPENDENCYPART_ARC
(18,13),-2.15657 # DEPENDENCYPART_ARC
(18,14),-1.62611 # DEPENDENCYPART_ARC
(18,15),-1.41339 # DEPENDENCYPART_ARC
(18,16),-0.952397 # DEPENDENCYPART_ARC
(18,17),0.218101 # DEPENDENCYPART_ARC
(19,2),-0.57006 # DEPENDENCYPART_ARC
(19,3),-1.46192 # DEPENDENCYPART_ARC
(19,4),-0.822909 # DEPENDENCYPART_ARC
(19,6),-0.66999 # DEPENDENCYPART_ARC
(19,7),-1.48474 # DEPENDENCYPART_ARC
(19,8),-0.215054 # DEPENDENCYPART_ARC
(19,9),-0.432241 # DEPENDENCYPART_ARC
(19,10),0.104025 # DEPENDENCYPART_ARC
(19,11),-2.12424 # DEPENDENCYPART_ARC
(19,12),-1.9834 # DEPENDENCYPART_ARC
(19,13),0.41637 # DEPENDENCYPART_ARC
(19,14),-1.00669 # DEPENDENCYPART_ARC
(19,15),-0.953386 # DEPENDENCYPART_ARC
(19,16),0.771272 # DEPENDENCYPART_ARC
(19,17),0.570835 # DEPENDENCYPART_ARC
(19,18),1.888 # DEPENDENCYPART_ARC
(19,20),-1.36487 # DEPENDENCYPART_ARC
(20,3),-0.994312 # DEPENDENCYPART_ARC
(20,7),-0.932726 # DEPENDENCYPART_ARC
(20,8),-1.07085 # DEPENDENCYPART_ARC
(20,11),-1.8616 # DEPENDENCYPART_ARC
(20,12),-1.49287 # DEPENDENCYPART_ARC
(20,14),-1.25285 # DEPENDENCYPART_ARC
(20,15),-0.823341 # DEPENDENCYPART_ARC
(20,16),-0.531184 # DEPENDENCYPART_ARC
(20,17),-0.445992 # DEPENDENCYPART_ARC
(20,18),-0.483245 # DEPENDENCYPART_ARC
(20,19),1.3544 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0981371 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.275242 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0851996 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.275242 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.362468 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.185371 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0545554 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.185371 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0515139 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0509876 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.253302 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.332097 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0275547 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0560085 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0262354 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0188808 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0467583 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0534894 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0150803 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0314923 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0314923 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0314923 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0314923 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0606784 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0442692 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0566428 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0279402 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00074223 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0682185 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0682185 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0682185 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0682185 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0257738 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0276015 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0979323 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0497678 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0632698 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0632698 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0632698 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0632698 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0437099 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0957603 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00546157 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.024185 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.024185 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.024185 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.024185 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0176635 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0362438 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0383289 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0383289 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0383289 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0383289 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0309497 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0500266 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0598273 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0598273 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0598273 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0513618 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0793074 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0598273 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0598273 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0513618 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0793074 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0598273 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0513618 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0793074 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0513618 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0793074 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.00128161 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0170078 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0364589 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0455931 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0593019 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0593019 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0457384 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00504808 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0337305 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0587176 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0587176 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0338757 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.139969 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.163558 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.163558 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.140332 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0265617 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0265617 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0255374 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0301275 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0286604 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0286604 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0939186 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00372682 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0469109 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00425173 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0560085 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.187054 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.06209 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0967347 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00963258 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0204844 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0911172 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0117637 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0390827 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.00221615 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0289408 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0188808 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.190709 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.185423 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0825024 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0188808 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0442929 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0441484 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0314923 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0314923 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0442929 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0314923 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0314923 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0606784 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0222437 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0442692 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0148774 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00631835 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.164123 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00884429 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00363049 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0279935 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0276517 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0682185 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0682185 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0279935 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0682185 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0682185 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0257738 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0571124 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0276015 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.000539311 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.170372 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0153326 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.025347 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0037541 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00360965 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0926049 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0926049 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0037541 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0926049 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0926049 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0408207 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00774398 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.00371136 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0333279 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0575725 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.105774 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00827072 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00841516 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.117494 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.117494 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00827072 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.117494 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.117494 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.132382 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0385452 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00830616 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0196873 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0282583 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0320444 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0319 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0303089 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0303089 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0320444 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0303089 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0303089 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0371828 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0222849 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0320207 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0135434 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0279935 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0276517 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0682185 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0682185 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0279935 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0682185 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0682185 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0257738 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0571124 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0276015 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.000539311 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0580912 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0310266 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0310266 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0572542 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0310266 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0310266 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0113068 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0112285 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0572545 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0123033 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0310266 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0310266 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0572542 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0310266 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0310266 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0113068 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0112285 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0572545 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0123033 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0598273 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0793073 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0598273 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0598273 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0513618 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0474427 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0793074 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0487399 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0793073 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0598273 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0598273 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0513618 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0474427 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0793074 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0487399 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0310266 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0310266 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0113068 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0112285 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0572545 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0123033 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0598273 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0513618 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0474427 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0793074 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0487399 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0513618 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0474427 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0793074 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0487399 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0236719 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.00128161 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.00499737 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.00555717 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0204053 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0123033 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.129256 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.128228 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.191123 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.203395 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.163558 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0645292 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.163558 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0645397 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.140332 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.017968 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0784405 # DEPENDENCYPART_SIBL
