# _root_ _ DYP_Genel_Başkanlığı için Türkiye turuna _ çıkan Elazığ_Milletvekili_Mehmet Ağar , hakkında _ _ _ çıkarılan şaibe söylentilerinin arkasında başka hesaplar _ olduğunu _ savunarak , " _ Benim için şu anda hukuki problem _ yok .
#goldHeads=2,3,7,5,7,7,8,9,24,0,15,13,14,15,17,17,18,22,20,22,22,24,24,35,0,0,28,35,35,31,35,33,35,35,36,0,
#predictedHeads=2,3,6,5,6,7,8,9,11,0,14,13,14,15,17,17,18,21,20,21,22,23,24,27,0,0,28,29,35,31,35,33,35,35,36,0,
(11,12),-0.937388 # DEPENDENCYPART_ARC
(11,13),-1.21955 # DEPENDENCYPART_ARC
(12,3),-1.16555 # DEPENDENCYPART_ARC
(12,6),-3.01819 # DEPENDENCYPART_ARC
(12,8),-1.05561 # DEPENDENCYPART_ARC
(12,9),-0.864244 # DEPENDENCYPART_ARC
(12,10),-0.781648 # DEPENDENCYPART_ARC
(12,11),0.323139 # DEPENDENCYPART_ARC
(12,21),-1.44011 # DEPENDENCYPART_ARC
(13,3),-0.862473 # DEPENDENCYPART_ARC
(13,4),-0.849428 # DEPENDENCYPART_ARC
(13,6),-2.94726 # DEPENDENCYPART_ARC
(13,7),-1.45213 # DEPENDENCYPART_ARC
(13,8),-0.710477 # DEPENDENCYPART_ARC
(13,9),-0.75845 # DEPENDENCYPART_ARC
(13,10),-0.371965 # DEPENDENCYPART_ARC
(13,11),-0.128109 # DEPENDENCYPART_ARC
(13,12),2.09413 # DEPENDENCYPART_ARC
(14,1),-5.45515 # DEPENDENCYPART_ARC
(14,2),-0.678651 # DEPENDENCYPART_ARC
(14,3),-0.817191 # DEPENDENCYPART_ARC
(14,4),-0.754177 # DEPENDENCYPART_ARC
(14,5),-0.554198 # DEPENDENCYPART_ARC
(14,6),-3.57476 # DEPENDENCYPART_ARC
(14,7),-1.4323 # DEPENDENCYPART_ARC
(14,8),-0.79444 # DEPENDENCYPART_ARC
(14,9),-0.862983 # DEPENDENCYPART_ARC
(14,10),-0.538422 # DEPENDENCYPART_ARC
(14,11),0.16705 # DEPENDENCYPART_ARC
(14,12),0.500822 # DEPENDENCYPART_ARC
(14,13),2.19313 # DEPENDENCYPART_ARC
(15,3),-0.317766 # DEPENDENCYPART_ARC
(15,4),-0.65924 # DEPENDENCYPART_ARC
(15,5),-0.624155 # DEPENDENCYPART_ARC
(15,8),-0.692966 # DEPENDENCYPART_ARC
(15,9),-0.862695 # DEPENDENCYPART_ARC
(15,10),-0.401055 # DEPENDENCYPART_ARC
(15,11),-0.0345987 # DEPENDENCYPART_ARC
(15,13),0.0205684 # DEPENDENCYPART_ARC
(15,14),1.62199 # DEPENDENCYPART_ARC
(16,7),-1.45952 # DEPENDENCYPART_ARC
(16,10),-1.15935 # DEPENDENCYPART_ARC
(16,11),-1.40438 # DEPENDENCYPART_ARC
(16,12),-1.82044 # DEPENDENCYPART_ARC
(16,13),-1.64918 # DEPENDENCYPART_ARC
(16,14),-0.850026 # DEPENDENCYPART_ARC
(16,15),1.16759 # DEPENDENCYPART_ARC
(16,17),-0.986761 # DEPENDENCYPART_ARC
(16,19),-1.38529 # DEPENDENCYPART_ARC
(16,30),-1.05159 # DEPENDENCYPART_ARC
(17,7),-1.38913 # DEPENDENCYPART_ARC
(17,10),-0.735299 # DEPENDENCYPART_ARC
(17,12),-1.82634 # DEPENDENCYPART_ARC
(17,13),-1.57849 # DEPENDENCYPART_ARC
(17,14),-0.799999 # DEPENDENCYPART_ARC
(17,15),0.448875 # DEPENDENCYPART_ARC
(17,16),2.02042 # DEPENDENCYPART_ARC
(17,18),-1.18395 # DEPENDENCYPART_ARC
(17,19),-1.20697 # DEPENDENCYPART_ARC
(17,30),-1.04592 # DEPENDENCYPART_ARC
(18,7),-1.75072 # DEPENDENCYPART_ARC
(18,12),-2.32281 # DEPENDENCYPART_ARC
(18,13),-2.22704 # DEPENDENCYPART_ARC
(18,14),-1.56157 # DEPENDENCYPART_ARC
(18,15),-0.36557 # DEPENDENCYPART_ARC
(18,16),0.553168 # DEPENDENCYPART_ARC
(18,17),2.02404 # DEPENDENCYPART_ARC
(18,19),-0.963359 # DEPENDENCYPART_ARC
(18,20),-1.22026 # DEPENDENCYPART_ARC
(18,30),-1.07872 # DEPENDENCYPART_ARC
(19,13),-2.24882 # DEPENDENCYPART_ARC
(19,14),-1.7103 # DEPENDENCYPART_ARC
(19,16),-1.12027 # DEPENDENCYPART_ARC
(19,17),-0.622551 # DEPENDENCYPART_ARC
(19,18),0.155462 # DEPENDENCYPART_ARC
(19,27),-0.802788 # DEPENDENCYPART_ARC
(19,33),-1.30312 # DEPENDENCYPART_ARC
(20,7),-1.72227 # DEPENDENCYPART_ARC
(20,10),-1.13906 # DEPENDENCYPART_ARC
(20,14),-2.25175 # DEPENDENCYPART_ARC
(20,15),-0.547922 # DEPENDENCYPART_ARC
(20,16),-0.692843 # DEPENDENCYPART_ARC
(20,17),-1.42197 # DEPENDENCYPART_ARC
(20,18),-1.0233 # DEPENDENCYPART_ARC
(20,19),1.40393 # DEPENDENCYPART_ARC
(20,21),-1.11979 # DEPENDENCYPART_ARC
(20,22),-1.16807 # DEPENDENCYPART_ARC
(20,30),-0.865362 # DEPENDENCYPART_ARC
(21,3),-0.700775 # DEPENDENCYPART_ARC
(21,4),-0.912173 # DEPENDENCYPART_ARC
(21,8),-1.0237 # DEPENDENCYPART_ARC
(21,9),-1.04607 # DEPENDENCYPART_ARC
(21,11),-0.407763 # DEPENDENCYPART_ARC
(21,12),-3.99566 # DEPENDENCYPART_ARC
(21,13),-3.51788 # DEPENDENCYPART_ARC
(21,14),-3.47152 # DEPENDENCYPART_ARC
(21,15),-1.27204 # DEPENDENCYPART_ARC
(21,16),-0.257419 # DEPENDENCYPART_ARC
(21,17),0.209556 # DEPENDENCYPART_ARC
(21,18),0.223165 # DEPENDENCYPART_ARC
(21,19),-0.646873 # DEPENDENCYPART_ARC
(21,20),1.12724 # DEPENDENCYPART_ARC
(21,22),-0.631854 # DEPENDENCYPART_ARC
(21,23),-1.48366 # DEPENDENCYPART_ARC
(21,29),-0.884935 # DEPENDENCYPART_ARC
(21,31),-1.52853 # DEPENDENCYPART_ARC
(22,5),-1.34551 # DEPENDENCYPART_ARC
(22,8),-1.20392 # DEPENDENCYPART_ARC
(22,9),-1.00874 # DEPENDENCYPART_ARC
(22,10),-0.984603 # DEPENDENCYPART_ARC
(22,11),-0.595529 # DEPENDENCYPART_ARC
(22,16),-0.329294 # DEPENDENCYPART_ARC
(22,17),0.809718 # DEPENDENCYPART_ARC
(22,18),-0.149163 # DEPENDENCYPART_ARC
(22,20),0.706299 # DEPENDENCYPART_ARC
(22,21),1.7085 # DEPENDENCYPART_ARC
(22,23),-1.41712 # DEPENDENCYPART_ARC
(23,4),-1.17188 # DEPENDENCYPART_ARC
(23,8),-1.34022 # DEPENDENCYPART_ARC
(23,9),-1.21475 # DEPENDENCYPART_ARC
(23,11),-0.634896 # DEPENDENCYPART_ARC
(23,15),-1.43821 # DEPENDENCYPART_ARC
(23,16),-0.606202 # DEPENDENCYPART_ARC
(23,17),-0.0758127 # DEPENDENCYPART_ARC
(23,18),-0.176428 # DEPENDENCYPART_ARC
(23,19),-1.33681 # DEPENDENCYPART_ARC
(23,20),-0.321438 # DEPENDENCYPART_ARC
(23,21),-0.80467 # DEPENDENCYPART_ARC
(23,22),1.19664 # DEPENDENCYPART_ARC
(23,24),-0.17754 # DEPENDENCYPART_ARC
(23,25),-1.31606 # DEPENDENCYPART_ARC
(23,27),-1.14331 # DEPENDENCYPART_ARC
(23,28),-1.57082 # DEPENDENCYPART_ARC
(23,29),-0.957243 # DEPENDENCYPART_ARC
(23,31),-1.66148 # DEPENDENCYPART_ARC
(23,33),-1.77203 # DEPENDENCYPART_ARC
(24,9),-1.17469 # DEPENDENCYPART_ARC
(24,11),-0.412061 # DEPENDENCYPART_ARC
(24,16),-0.380412 # DEPENDENCYPART_ARC
(24,17),-0.474312 # DEPENDENCYPART_ARC
(24,18),-0.344276 # DEPENDENCYPART_ARC
(24,20),-0.0868728 # DEPENDENCYPART_ARC
(24,22),0.536122 # DEPENDENCYPART_ARC
(24,23),1.46747 # DEPENDENCYPART_ARC
(24,27),-1.47568 # DEPENDENCYPART_ARC
(25,6),-5.21234 # DEPENDENCYPART_ARC
(25,12),-3.45873 # DEPENDENCYPART_ARC
(25,13),-3.24135 # DEPENDENCYPART_ARC
(25,14),-3.10419 # DEPENDENCYPART_ARC
(25,15),-1.55607 # DEPENDENCYPART_ARC
(25,18),-0.797776 # DEPENDENCYPART_ARC
(25,19),-1.20212 # DEPENDENCYPART_ARC
(25,20),-0.717146 # DEPENDENCYPART_ARC
(25,21),-1.23954 # DEPENDENCYPART_ARC
(25,23),-0.318209 # DEPENDENCYPART_ARC
(25,24),-0.206768 # DEPENDENCYPART_ARC
(25,26),-0.94206 # DEPENDENCYPART_ARC
(25,28),-1.1628 # DEPENDENCYPART_ARC
(25,29),-0.996139 # DEPENDENCYPART_ARC
(25,35),-1.38449 # DEPENDENCYPART_ARC
(26,6),-4.72046 # DEPENDENCYPART_ARC
(26,21),-1.98938 # DEPENDENCYPART_ARC
(26,23),-1.29414 # DEPENDENCYPART_ARC
(26,24),-1.68696 # DEPENDENCYPART_ARC
(26,25),-1.02414 # DEPENDENCYPART_ARC
(26,28),-0.960452 # DEPENDENCYPART_ARC
(26,29),-0.822862 # DEPENDENCYPART_ARC
(26,31),-1.1203 # DEPENDENCYPART_ARC
(26,33),-1.13267 # DEPENDENCYPART_ARC
(26,35),-1.24348 # DEPENDENCYPART_ARC
(27,24),-0.899593 # DEPENDENCYPART_ARC
(27,25),-0.888087 # DEPENDENCYPART_ARC
(27,26),0.16261 # DEPENDENCYPART_ARC
(28,1),-7.50111 # DEPENDENCYPART_ARC
(28,2),-1.7662 # DEPENDENCYPART_ARC
(28,5),-1.44482 # DEPENDENCYPART_ARC
(28,12),-4.56086 # DEPENDENCYPART_ARC
(28,14),-4.50912 # DEPENDENCYPART_ARC
(28,15),-1.48301 # DEPENDENCYPART_ARC
(28,16),-1.01896 # DEPENDENCYPART_ARC
(28,17),-1.3102 # DEPENDENCYPART_ARC
(28,18),-0.902634 # DEPENDENCYPART_ARC
(28,20),-0.90197 # DEPENDENCYPART_ARC
(28,21),-1.9891 # DEPENDENCYPART_ARC
(28,22),-0.782265 # DEPENDENCYPART_ARC
(28,23),-0.989556 # DEPENDENCYPART_ARC
(28,24),-0.588799 # DEPENDENCYPART_ARC
(28,25),-0.949146 # DEPENDENCYPART_ARC
(28,26),-0.226933 # DEPENDENCYPART_ARC
(28,27),1.6531 # DEPENDENCYPART_ARC
(28,31),-1.34303 # DEPENDENCYPART_ARC
(28,33),-1.37266 # DEPENDENCYPART_ARC
(29,24),-0.936627 # DEPENDENCYPART_ARC
(29,25),-0.953154 # DEPENDENCYPART_ARC
(29,26),-0.696999 # DEPENDENCYPART_ARC
(29,27),0.267733 # DEPENDENCYPART_ARC
(29,28),1.00708 # DEPENDENCYPART_ARC
(29,31),-0.831893 # DEPENDENCYPART_ARC
(29,33),-1.02843 # DEPENDENCYPART_ARC
(31,15),-1.86845 # DEPENDENCYPART_ARC
(31,19),-1.35648 # DEPENDENCYPART_ARC
(31,22),-1.96634 # DEPENDENCYPART_ARC
(31,24),-1.20959 # DEPENDENCYPART_ARC
(31,25),-1.17162 # DEPENDENCYPART_ARC
(31,26),-1.00861 # DEPENDENCYPART_ARC
(31,27),-1.07055 # DEPENDENCYPART_ARC
(31,28),-1.10224 # DEPENDENCYPART_ARC
(31,29),-0.411945 # DEPENDENCYPART_ARC
(31,30),0.980081 # DEPENDENCYPART_ARC
(31,32),-0.882905 # DEPENDENCYPART_ARC
(31,33),-1.1504 # DEPENDENCYPART_ARC
(31,34),-1.46651 # DEPENDENCYPART_ARC
(32,23),-1.88874 # DEPENDENCYPART_ARC
(32,27),-1.2817 # DEPENDENCYPART_ARC
(32,28),-1.42282 # DEPENDENCYPART_ARC
(32,29),-0.887409 # DEPENDENCYPART_ARC
(32,30),-0.939936 # DEPENDENCYPART_ARC
(32,31),-0.00869867 # DEPENDENCYPART_ARC
(32,33),-0.636878 # DEPENDENCYPART_ARC
(33,19),-1.38407 # DEPENDENCYPART_ARC
(33,20),-1.58671 # DEPENDENCYPART_ARC
(33,22),-1.79295 # DEPENDENCYPART_ARC
(33,24),-1.24154 # DEPENDENCYPART_ARC
(33,25),-1.28916 # DEPENDENCYPART_ARC
(33,26),-1.07622 # DEPENDENCYPART_ARC
(33,27),-1.66558 # DEPENDENCYPART_ARC
(33,28),-1.56324 # DEPENDENCYPART_ARC
(33,29),-0.810441 # DEPENDENCYPART_ARC
(33,30),-0.60164 # DEPENDENCYPART_ARC
(33,31),-0.793284 # DEPENDENCYPART_ARC
(33,32),1.13247 # DEPENDENCYPART_ARC
(33,34),-0.923857 # DEPENDENCYPART_ARC
(34,20),-0.705706 # DEPENDENCYPART_ARC
(34,25),-0.937156 # DEPENDENCYPART_ARC
(34,26),-0.6267 # DEPENDENCYPART_ARC
(34,27),-1.27036 # DEPENDENCYPART_ARC
(34,28),-0.953256 # DEPENDENCYPART_ARC
(34,29),-0.591205 # DEPENDENCYPART_ARC
(34,30),-0.787772 # DEPENDENCYPART_ARC
(34,31),-0.468634 # DEPENDENCYPART_ARC
(34,32),-0.375378 # DEPENDENCYPART_ARC
(34,33),0.728368 # DEPENDENCYPART_ARC
(35,1),-8.64551 # DEPENDENCYPART_ARC
(35,2),-1.58639 # DEPENDENCYPART_ARC
(35,5),-1.05107 # DEPENDENCYPART_ARC
(35,11),-0.828737 # DEPENDENCYPART_ARC
(35,15),-1.19657 # DEPENDENCYPART_ARC
(35,16),-0.707246 # DEPENDENCYPART_ARC
(35,17),-1.09115 # DEPENDENCYPART_ARC
(35,18),-0.519971 # DEPENDENCYPART_ARC
(35,20),-0.566206 # DEPENDENCYPART_ARC
(35,21),-3.45695 # DEPENDENCYPART_ARC
(35,23),-2.55553 # DEPENDENCYPART_ARC
(35,24),-0.646604 # DEPENDENCYPART_ARC
(35,25),-1.18374 # DEPENDENCYPART_ARC
(35,26),-0.502748 # DEPENDENCYPART_ARC
(35,27),-1.54533 # DEPENDENCYPART_ARC
(35,28),-0.697865 # DEPENDENCYPART_ARC
(35,29),-0.303462 # DEPENDENCYPART_ARC
(35,30),-0.735665 # DEPENDENCYPART_ARC
(35,31),0.471453 # DEPENDENCYPART_ARC
(35,32),-0.273923 # DEPENDENCYPART_ARC
(35,33),0.971536 # DEPENDENCYPART_ARC
(35,34),1.39794 # DEPENDENCYPART_ARC
(36,3),-0.419159 # DEPENDENCYPART_ARC
(36,4),-0.534193 # DEPENDENCYPART_ARC
(36,12),-4.90067 # DEPENDENCYPART_ARC
(36,13),-4.60179 # DEPENDENCYPART_ARC
(36,14),-4.42043 # DEPENDENCYPART_ARC
(36,19),-1.34534 # DEPENDENCYPART_ARC
(36,21),-2.85761 # DEPENDENCYPART_ARC
(36,23),-2.22697 # DEPENDENCYPART_ARC
(36,24),-1.04521 # DEPENDENCYPART_ARC
(36,26),-0.600011 # DEPENDENCYPART_ARC
(36,28),-0.227693 # DEPENDENCYPART_ARC
(36,29),-0.638478 # DEPENDENCYPART_ARC
(36,30),-0.896442 # DEPENDENCYPART_ARC
(36,31),-0.866597 # DEPENDENCYPART_ARC
(36,32),-0.541126 # DEPENDENCYPART_ARC
(36,33),-0.683343 # DEPENDENCYPART_ARC
(36,34),-0.73712 # DEPENDENCYPART_ARC
(36,35),1.45805 # DEPENDENCYPART_ARC
(0,10),(0,25),-0.0509876 # DEPENDENCYPART_SIBL
(0,10),(0,26),0.275946 # DEPENDENCYPART_SIBL
(0,10),(0,36),-0.0126125 # DEPENDENCYPART_SIBL
(0,25),(0,26),0.275946 # DEPENDENCYPART_SIBL
(0,25),(0,36),-0.0126125 # DEPENDENCYPART_SIBL
(0,26),(0,36),0.467632 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0413335 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.455647 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00886361 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00487867 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.43909 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0781173 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.148654 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.439026 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0780916 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.455509 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0734496 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.14868 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0234978 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0536802 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.2404 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.021893 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.05455 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.636019 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.178195 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.654168 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.636019 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.000642045 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.201848 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00731595 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0108336 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0127734 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0894993 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0907603 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0520917 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0178677 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0123778 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0127734 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.316234 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.100219 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.324793 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.316234 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.69805 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.242239 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0292965 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0378559 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.026939 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.241875 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.240062 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0579178 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0590288 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0354005 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.026939 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.439026 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.439026 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.783676 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.329273 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0070149 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0269906 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.089358 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0269906 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.089358 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.344738 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0070149 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0269906 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.089358 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0070149 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0269906 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.089358 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0070149 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.344738 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.331033 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.104915 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.380117 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.408986 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.40902 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.166193 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.166193 # DEPENDENCYPART_SIBL
(10,6),(10,35),-0.138752 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.126261 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.126295 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0423433 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0423433 # DEPENDENCYPART_SIBL
(10,7),(10,35),-0.020221 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0848558 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0586021 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0586021 # DEPENDENCYPART_SIBL
(10,8),(10,35),-0.0436051 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0586021 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0586021 # DEPENDENCYPART_SIBL
(10,9),(10,35),-0.0436051 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.0301275 # DEPENDENCYPART_SIBL
(10,21),(10,35),-0.0296188 # DEPENDENCYPART_SIBL
(10,23),(10,35),-0.0296188 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0986288 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.02172 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.00550175 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00550175 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0656503 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0537107 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0537107 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0569933 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0569933 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.035505 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.132522 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0907603 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0907603 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.166956 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0732967 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0497608 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.563221 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.563221 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.459699 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.57907 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.116215 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0108166 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.081844 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0164785 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0699033 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0726974 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.00125288 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0699033 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0102029 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.120576 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0700344 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0894993 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.132522 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0835082 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0907603 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0907603 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.166956 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0732967 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.132522 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.102935 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0715636 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0178677 # DEPENDENCYPART_SIBL
