# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,19,4,0,8,19,11,11,12,19,0,15,17,17,18,19,20,0,
(7,2),-2.29601 # DEPENDENCYPART_ARC
(7,5),-1.38003 # DEPENDENCYPART_ARC
(7,6),-0.772533 # DEPENDENCYPART_ARC
(7,9),-1.11512 # DEPENDENCYPART_ARC
(7,10),-1.23651 # DEPENDENCYPART_ARC
(7,11),-1.94054 # DEPENDENCYPART_ARC
(7,12),-1.41062 # DEPENDENCYPART_ARC
(7,14),-1.25831 # DEPENDENCYPART_ARC
(7,16),-1.72359 # DEPENDENCYPART_ARC
(7,19),-2.13372 # DEPENDENCYPART_ARC
(8,3),-1.05234 # DEPENDENCYPART_ARC
(8,4),-0.702334 # DEPENDENCYPART_ARC
(8,5),-0.756524 # DEPENDENCYPART_ARC
(8,6),-0.347406 # DEPENDENCYPART_ARC
(8,7),1.80329 # DEPENDENCYPART_ARC
(8,11),-0.932726 # DEPENDENCYPART_ARC
(8,12),-0.541841 # DEPENDENCYPART_ARC
(9,1),-1.92271 # DEPENDENCYPART_ARC
(9,6),-1.29478 # DEPENDENCYPART_ARC
(9,7),-0.991686 # DEPENDENCYPART_ARC
(9,8),-0.169696 # DEPENDENCYPART_ARC
(9,11),-0.886411 # DEPENDENCYPART_ARC
(9,15),-1.26568 # DEPENDENCYPART_ARC
(10,9),-0.746709 # DEPENDENCYPART_ARC
(11,1),-1.36308 # DEPENDENCYPART_ARC
(11,4),-1.18835 # DEPENDENCYPART_ARC
(11,5),-0.910683 # DEPENDENCYPART_ARC
(11,6),-0.815115 # DEPENDENCYPART_ARC
(11,7),-0.410435 # DEPENDENCYPART_ARC
(11,8),-0.526952 # DEPENDENCYPART_ARC
(11,9),0.470183 # DEPENDENCYPART_ARC
(11,10),1.19581 # DEPENDENCYPART_ARC
(11,12),-1.07054 # DEPENDENCYPART_ARC
(11,13),-1.12979 # DEPENDENCYPART_ARC
(11,14),-1.38834 # DEPENDENCYPART_ARC
(11,15),-1.59947 # DEPENDENCYPART_ARC
(11,16),-1.80501 # DEPENDENCYPART_ARC
(11,19),-2.09539 # DEPENDENCYPART_ARC
(12,3),-1.63521 # DEPENDENCYPART_ARC
(12,4),-1.2895 # DEPENDENCYPART_ARC
(12,5),-0.866455 # DEPENDENCYPART_ARC
(12,6),-0.658846 # DEPENDENCYPART_ARC
(12,7),-0.392939 # DEPENDENCYPART_ARC
(12,9),-0.598415 # DEPENDENCYPART_ARC
(12,11),1.65004 # DEPENDENCYPART_ARC
(12,15),-1.32558 # DEPENDENCYPART_ARC
(13,1),-1.51697 # DEPENDENCYPART_ARC
(13,6),-0.918287 # DEPENDENCYPART_ARC
(13,7),-1.1645 # DEPENDENCYPART_ARC
(13,8),-1.065 # DEPENDENCYPART_ARC
(13,9),-1.03405 # DEPENDENCYPART_ARC
(13,10),-1.06265 # DEPENDENCYPART_ARC
(13,11),-0.708083 # DEPENDENCYPART_ARC
(13,12),-0.380637 # DEPENDENCYPART_ARC
(13,15),-1.16469 # DEPENDENCYPART_ARC
(13,16),-1.4293 # DEPENDENCYPART_ARC
(13,17),-1.42418 # DEPENDENCYPART_ARC
(13,19),-1.29169 # DEPENDENCYPART_ARC
(13,20),-1.57083 # DEPENDENCYPART_ARC
(14,13),-0.925441 # DEPENDENCYPART_ARC
(15,1),-1.40571 # DEPENDENCYPART_ARC
(15,4),-0.866028 # DEPENDENCYPART_ARC
(15,5),-0.868447 # DEPENDENCYPART_ARC
(15,8),-0.973349 # DEPENDENCYPART_ARC
(15,9),-0.745256 # DEPENDENCYPART_ARC
(15,10),-0.611746 # DEPENDENCYPART_ARC
(15,11),-1.48986 # DEPENDENCYPART_ARC
(15,12),-0.635232 # DEPENDENCYPART_ARC
(15,13),-0.533347 # DEPENDENCYPART_ARC
(15,14),1.37396 # DEPENDENCYPART_ARC
(15,16),-0.933586 # DEPENDENCYPART_ARC
(15,17),-1.41259 # DEPENDENCYPART_ARC
(16,3),-1.07623 # DEPENDENCYPART_ARC
(16,4),-1.18886 # DEPENDENCYPART_ARC
(16,8),-0.916216 # DEPENDENCYPART_ARC
(16,10),-1.6312 # DEPENDENCYPART_ARC
(16,11),-1.22269 # DEPENDENCYPART_ARC
(16,12),-0.805885 # DEPENDENCYPART_ARC
(16,13),-0.994955 # DEPENDENCYPART_ARC
(16,14),-0.840079 # DEPENDENCYPART_ARC
(16,15),0.362853 # DEPENDENCYPART_ARC
(16,17),-0.950079 # DEPENDENCYPART_ARC
(16,18),-0.608987 # DEPENDENCYPART_ARC
(16,19),-1.06402 # DEPENDENCYPART_ARC
(17,3),-0.887462 # DEPENDENCYPART_ARC
(17,4),-0.985169 # DEPENDENCYPART_ARC
(17,7),-1.14488 # DEPENDENCYPART_ARC
(17,8),-0.739557 # DEPENDENCYPART_ARC
(17,9),-1.6763 # DEPENDENCYPART_ARC
(17,10),-1.40071 # DEPENDENCYPART_ARC
(17,11),-0.744545 # DEPENDENCYPART_ARC
(17,12),-0.553476 # DEPENDENCYPART_ARC
(17,13),-0.707668 # DEPENDENCYPART_ARC
(17,14),-0.903938 # DEPENDENCYPART_ARC
(17,15),0.700815 # DEPENDENCYPART_ARC
(17,16),2.13896 # DEPENDENCYPART_ARC
(17,18),-0.452942 # DEPENDENCYPART_ARC
(17,19),-1.51412 # DEPENDENCYPART_ARC
(18,3),-0.159119 # DEPENDENCYPART_ARC
(18,4),-0.0618923 # DEPENDENCYPART_ARC
(18,5),-0.708325 # DEPENDENCYPART_ARC
(18,6),-0.9452 # DEPENDENCYPART_ARC
(18,7),-0.301503 # DEPENDENCYPART_ARC
(18,9),-1.00766 # DEPENDENCYPART_ARC
(18,11),-1.15076 # DEPENDENCYPART_ARC
(18,12),-0.780226 # DEPENDENCYPART_ARC
(18,13),-0.702683 # DEPENDENCYPART_ARC
(18,14),-0.195097 # DEPENDENCYPART_ARC
(18,15),1.37175 # DEPENDENCYPART_ARC
(18,16),-0.046512 # DEPENDENCYPART_ARC
(18,17),1.87889 # DEPENDENCYPART_ARC
(19,3),-0.491627 # DEPENDENCYPART_ARC
(19,4),-0.645321 # DEPENDENCYPART_ARC
(19,5),-0.900735 # DEPENDENCYPART_ARC
(19,6),-1.23367 # DEPENDENCYPART_ARC
(19,7),-0.582297 # DEPENDENCYPART_ARC
(19,8),-0.0820407 # DEPENDENCYPART_ARC
(19,9),-1.38127 # DEPENDENCYPART_ARC
(19,10),-1.14169 # DEPENDENCYPART_ARC
(19,11),-0.933505 # DEPENDENCYPART_ARC
(19,12),0.126111 # DEPENDENCYPART_ARC
(19,13),-0.603817 # DEPENDENCYPART_ARC
(19,14),-0.734446 # DEPENDENCYPART_ARC
(19,15),-0.553082 # DEPENDENCYPART_ARC
(19,16),-0.699006 # DEPENDENCYPART_ARC
(19,17),-0.45571 # DEPENDENCYPART_ARC
(19,18),2.09348 # DEPENDENCYPART_ARC
(19,20),-1.41229 # DEPENDENCYPART_ARC
(20,1),-1.02207 # DEPENDENCYPART_ARC
(20,3),-0.621269 # DEPENDENCYPART_ARC
(20,5),-1.49744 # DEPENDENCYPART_ARC
(20,8),-0.80002 # DEPENDENCYPART_ARC
(20,9),-1.34692 # DEPENDENCYPART_ARC
(20,10),-1.02824 # DEPENDENCYPART_ARC
(20,12),-1.00458 # DEPENDENCYPART_ARC
(20,13),-1.01 # DEPENDENCYPART_ARC
(20,14),-0.764091 # DEPENDENCYPART_ARC
(20,15),-0.71145 # DEPENDENCYPART_ARC
(20,16),-1.12485 # DEPENDENCYPART_ARC
(20,17),-0.583249 # DEPENDENCYPART_ARC
(20,18),-0.58489 # DEPENDENCYPART_ARC
(20,19),1.33367 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.306544 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.306544 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.110754 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.387535 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0509876 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0479043 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0479043 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0970743 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0151641 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00683033 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0797552 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0255987 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0108216 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.098143 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0165215 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0326077 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0322246 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0322246 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0416283 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0416283 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00730134 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.384857 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.257101 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0815802 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00279378 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0556129 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0414222 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0414222 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0320861 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0320861 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.000661737 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0817822 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0167684 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00540652 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0240866 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0046254 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0046254 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0395916 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0395916 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.00709704 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.102291 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0375948 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0560706 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0627182 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0627182 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0715634 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0715634 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0540118 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.057548 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0342491 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0337618 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0337618 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0486369 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0486369 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0409097 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00599846 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00554582 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00554582 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0226956 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0226956 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0125873 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0259507 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0259507 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.033926 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.033926 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0264342 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0169418 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0194515 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0194515 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0142738 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0194515 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0194515 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0142738 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.035505 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0294243 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0294243 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.158899 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0168013 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0618381 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0715671 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0069824 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00780618 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.000988464 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0405745 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0401431 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.259316 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.257032 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0153828 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0161949 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.020829 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0403093 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0421114 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.050866 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0527187 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0064052 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0443145 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.00463866 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0355586 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0628112 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00255274 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.045649 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00274273 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.033615 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00273447 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0230697 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0227569 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0200632 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.021991 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.00702889 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.032302 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0247468 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.025364 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.0343298 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0797586 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0692089 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0529791 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0125983 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0322246 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0165215 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0462011 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0322246 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0416283 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.00730134 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.253914 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.248761 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0388169 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0414223 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00279375 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0647106 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0414223 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0320861 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.000661737 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0245907 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0282249 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0164677 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0156638 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0308874 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0164677 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0234248 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.00234803 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0133544 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00033681 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0417249 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00632095 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.00033681 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0575409 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.000993277 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0273861 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.025882 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.026127 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0273861 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0306978 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0251113 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0111905 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0154913 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0169418 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0194515 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0142738 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00495391 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00554582 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0226956 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0125873 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0283823 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0363005 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0288087 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0194515 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0142738 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.0294243 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.18529 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.091924 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.119857 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.21147 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.010272 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0252183 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.113218 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.139839 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.2852 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00487867 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0252233 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0984071 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0158411 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0217107 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.00143668 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0207138 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0180324 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0124399 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00487089 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0252233 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.016284 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0145567 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00791324 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0864229 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0109808 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0109808 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0392968 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.168169 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00273632 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00273632 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.226938 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.057375 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.057375 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0166685 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0166685 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0237327 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0204952 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0692056 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0514014 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.000763398 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0310663 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0102426 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0881253 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0462011 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.098143 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0322246 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0165215 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0416283 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.00730134 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0524472 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0656379 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0410874 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.14868 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.034286 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0943035 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.025299 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0314854 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0106294 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0209518 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0536802 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.00699361 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.026165 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0164333 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0606791 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0265187 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0357093 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0308874 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0574478 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0164677 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0156638 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0234248 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.00234803 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0150305 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.115949 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0248237 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0803326 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00577339 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0185161 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.000884396 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0422724 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0569933 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.000445715 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.128927 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0044526 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0798264 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0255164 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0317049 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0108467 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.021178 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0538985 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.00721093 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0528016 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.250595 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0180047 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0441116 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.00315555 # DEPENDENCYPART_SIBL
