# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,4,19,0,12,6,13,10,12,12,13,14,19,19,15,18,19,20,0,
(13,7),-0.503575 # DEPENDENCYPART_ARC
(13,8),0.260399 # DEPENDENCYPART_ARC
(13,9),-0.0171969 # DEPENDENCYPART_ARC
(13,10),-0.527693 # DEPENDENCYPART_ARC
(13,11),-0.182446 # DEPENDENCYPART_ARC
(13,12),2.39782 # DEPENDENCYPART_ARC
(13,14),-1.33337 # DEPENDENCYPART_ARC
(13,15),-1.10577 # DEPENDENCYPART_ARC
(13,16),-1.16887 # DEPENDENCYPART_ARC
(13,18),-1.45145 # DEPENDENCYPART_ARC
(13,19),-2.9588 # DEPENDENCYPART_ARC
(13,20),-2.28754 # DEPENDENCYPART_ARC
(14,1),-0.836175 # DEPENDENCYPART_ARC
(14,2),-2.63923 # DEPENDENCYPART_ARC
(14,3),-1.8452 # DEPENDENCYPART_ARC
(14,4),-1.29326 # DEPENDENCYPART_ARC
(14,5),-0.664845 # DEPENDENCYPART_ARC
(14,6),-1.02015 # DEPENDENCYPART_ARC
(14,7),-0.754796 # DEPENDENCYPART_ARC
(14,8),-1.09766 # DEPENDENCYPART_ARC
(14,9),-1.07516 # DEPENDENCYPART_ARC
(14,10),-1.12358 # DEPENDENCYPART_ARC
(14,11),-1.09282 # DEPENDENCYPART_ARC
(14,12),-0.62592 # DEPENDENCYPART_ARC
(14,13),0.870105 # DEPENDENCYPART_ARC
(14,18),-0.903242 # DEPENDENCYPART_ARC
(14,19),-1.07841 # DEPENDENCYPART_ARC
(14,20),-1.11446 # DEPENDENCYPART_ARC
(15,12),-1.47175 # DEPENDENCYPART_ARC
(15,14),-0.677634 # DEPENDENCYPART_ARC
(15,16),1.01393 # DEPENDENCYPART_ARC
(16,9),-2.09119 # DEPENDENCYPART_ARC
(16,13),-1.64899 # DEPENDENCYPART_ARC
(16,15),-0.625868 # DEPENDENCYPART_ARC
(17,8),-1.26896 # DEPENDENCYPART_ARC
(17,11),-1.47544 # DEPENDENCYPART_ARC
(17,12),-1.21878 # DEPENDENCYPART_ARC
(17,13),-1.45583 # DEPENDENCYPART_ARC
(17,14),-1.0537 # DEPENDENCYPART_ARC
(17,15),-0.676317 # DEPENDENCYPART_ARC
(17,16),-0.351458 # DEPENDENCYPART_ARC
(18,3),-0.783671 # DEPENDENCYPART_ARC
(18,4),-0.668735 # DEPENDENCYPART_ARC
(18,5),-0.177019 # DEPENDENCYPART_ARC
(18,6),-0.30061 # DEPENDENCYPART_ARC
(18,7),-0.956702 # DEPENDENCYPART_ARC
(18,8),-1.49761 # DEPENDENCYPART_ARC
(18,9),-0.732524 # DEPENDENCYPART_ARC
(18,11),-0.692994 # DEPENDENCYPART_ARC
(18,12),-0.947249 # DEPENDENCYPART_ARC
(18,13),-1.60226 # DEPENDENCYPART_ARC
(18,14),-0.286252 # DEPENDENCYPART_ARC
(18,15),-0.277612 # DEPENDENCYPART_ARC
(18,16),-0.37369 # DEPENDENCYPART_ARC
(18,17),1.61976 # DEPENDENCYPART_ARC
(19,1),-0.467216 # DEPENDENCYPART_ARC
(19,2),-2.66461 # DEPENDENCYPART_ARC
(19,3),-0.826984 # DEPENDENCYPART_ARC
(19,4),-0.299619 # DEPENDENCYPART_ARC
(19,5),-0.873299 # DEPENDENCYPART_ARC
(19,6),-1.15116 # DEPENDENCYPART_ARC
(19,7),-0.765111 # DEPENDENCYPART_ARC
(19,8),-0.306274 # DEPENDENCYPART_ARC
(19,9),-0.498054 # DEPENDENCYPART_ARC
(19,10),-1.08817 # DEPENDENCYPART_ARC
(19,11),-1.0679 # DEPENDENCYPART_ARC
(19,12),0.24323 # DEPENDENCYPART_ARC
(19,13),0.97902 # DEPENDENCYPART_ARC
(19,14),0.0870601 # DEPENDENCYPART_ARC
(19,15),0.73097 # DEPENDENCYPART_ARC
(19,16),-0.463823 # DEPENDENCYPART_ARC
(19,17),-0.258575 # DEPENDENCYPART_ARC
(19,18),2.00986 # DEPENDENCYPART_ARC
(19,20),-1.38094 # DEPENDENCYPART_ARC
(20,1),-0.956002 # DEPENDENCYPART_ARC
(20,2),-2.66452 # DEPENDENCYPART_ARC
(20,3),-0.806405 # DEPENDENCYPART_ARC
(20,4),-0.64364 # DEPENDENCYPART_ARC
(20,7),-0.955247 # DEPENDENCYPART_ARC
(20,8),-0.711446 # DEPENDENCYPART_ARC
(20,9),-1.06079 # DEPENDENCYPART_ARC
(20,10),-1.26795 # DEPENDENCYPART_ARC
(20,11),-0.922168 # DEPENDENCYPART_ARC
(20,12),-0.860036 # DEPENDENCYPART_ARC
(20,13),-0.65524 # DEPENDENCYPART_ARC
(20,14),-0.533854 # DEPENDENCYPART_ARC
(20,15),-0.684153 # DEPENDENCYPART_ARC
(20,16),-0.417798 # DEPENDENCYPART_ARC
(20,17),-1.07456 # DEPENDENCYPART_ARC
(20,18),-0.496142 # DEPENDENCYPART_ARC
(20,19),1.3943 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.32015 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.120986 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.32015 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.123846 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.120986 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.441649 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0479043 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0509876 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.00447809 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0479043 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.185371 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0533171 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0659615 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.00447809 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0479043 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.127219 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.441587 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0675339 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00907755 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00795905 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0318571 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0335002 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0318368 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00645934 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0296197 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0593492 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0595302 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0285878 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.061756 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.048112 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0353191 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0244318 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.219592 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0895144 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00591247 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.015361 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0741462 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.119535 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0548688 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00803442 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00841447 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.017598 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0783013 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.075853 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.191776 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0837834 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.171164 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0622993 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.032033 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.032033 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.250641 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0814586 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0163406 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0163406 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0587792 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.139973 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.139973 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0223013 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0223013 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0255374 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0991096 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0129696 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00825269 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.000194561 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0931073 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00918163 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0823807 # DEPENDENCYPART_SIBL
(8,6),(8,7),3.03138e-05 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0246967 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00120362 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0454303 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0184011 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0231657 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0315606 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0254995 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0760863 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0121345 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0853454 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0143174 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.027176 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0774973 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0352509 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0460501 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0112172 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0281756 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0495316 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0263217 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.00568925 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0250289 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0104132 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.00503792 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.00896936 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0315612 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.108936 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.025848 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0488324 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.014073 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0107839 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.00240239 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0456254 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0194225 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0121123 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0227419 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.000134887 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0335195 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0123822 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.011675 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0174523 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00865782 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0153219 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0425126 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0729351 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0329874 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.201202 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.103184 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0558286 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.009744 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.114311 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0121121 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0120962 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0107007 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0566097 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.00091751 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0569507 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.00117586 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0235614 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0021496 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.00091751 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.205011 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.238975 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.117478 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.210289 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.130082 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.191413 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.33506 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.00539233 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0315398 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0910354 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0102012 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.224024 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0793643 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0315398 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.0182078 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.00302555 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.109665 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.000657473 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0176332 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.0366881 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0321536 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.00104016 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0579424 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.000268528 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0160898 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.00907875 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.00104016 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.132474 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0707074 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.109916 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0536735 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0377757 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0803326 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.000445715 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0185161 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0420421 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.019562 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0422724 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.000445715 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0389814 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0232542 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.00447688 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0639773 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0934697 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.00209718 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.070105 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.045946 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0114787 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.00711065 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.00209718 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.00428314 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.000721799 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0316481 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0538321 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00241859 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0597279 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.00309652 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.013054 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0128077 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.00241859 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0182162 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0681408 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0596866 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00512418 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0635564 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0259647 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.013426 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.00383279 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.00512418 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0332847 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0408157 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00715708 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0612978 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0953461 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0254188 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0357473 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.00715708 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.268873 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0434738 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0501665 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0241752 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.00256207 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0891121 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0434738 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0434723 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0739834 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.113528 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0269501 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0816647 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0434723 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0315776 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0290278 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0258976 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0232926 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0248625 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0399959 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0283606 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.057548 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0409097 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0104518 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.0380084 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.00183805 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0375948 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0540118 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0125873 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0660406 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0518659 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0975706 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0599559 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.00898753 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.109226 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0331189 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0546184 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.00364476 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0381664 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0153837 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0888954 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.045297 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0224303 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0300242 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0244318 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.110834 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.576977 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.353853 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.44274 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.31242 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.362061 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.297859 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.377703 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.435622 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.183771 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.600974 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.118857 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0169677 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.129311 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.000617533 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.015361 # DEPENDENCYPART_SIBL
(13,2),(13,20),-0.134127 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.057829 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.173474 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0184642 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0614833 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.00524843 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0073292 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0698468 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.013502 # DEPENDENCYPART_SIBL
