# _root_ ATO Başkanı Sinan_Aygün , Maliye Bakanı Kemal_Yazıcıoğlu ziyaretinden sonra da Bakan'ın " Vergi_Barışı_Projesi " konusunda , ocak ayının ilk haftasında _ mükelleflere müjde _ _ verebileceklerini _ söylediğini _ bildirdi .
#goldHeads=2,3,30,0,6,7,8,9,27,9,13,0,15,0,24,0,18,20,20,24,22,24,24,25,26,27,28,30,30,31,0,
#predictedHeads=2,3,30,0,6,7,8,9,25,9,13,0,15,0,25,0,18,20,20,25,22,24,25,25,26,27,28,30,30,31,0,
(24,26),-0.701935 # DEPENDENCYPART_ARC
(24,28),-0.961439 # DEPENDENCYPART_ARC
(24,29),-1.49281 # DEPENDENCYPART_ARC
(25,1),-0.758482 # DEPENDENCYPART_ARC
(25,2),-0.795408 # DEPENDENCYPART_ARC
(25,3),-0.610327 # DEPENDENCYPART_ARC
(25,5),-0.8595 # DEPENDENCYPART_ARC
(25,6),-0.893712 # DEPENDENCYPART_ARC
(25,7),-0.775485 # DEPENDENCYPART_ARC
(25,8),-0.688845 # DEPENDENCYPART_ARC
(25,9),-0.723478 # DEPENDENCYPART_ARC
(25,11),-0.936727 # DEPENDENCYPART_ARC
(25,13),-0.929908 # DEPENDENCYPART_ARC
(25,15),-0.970421 # DEPENDENCYPART_ARC
(25,17),-0.44072 # DEPENDENCYPART_ARC
(25,18),-0.225181 # DEPENDENCYPART_ARC
(25,19),-1.47656 # DEPENDENCYPART_ARC
(25,20),-0.00428094 # DEPENDENCYPART_ARC
(25,21),-2.17896 # DEPENDENCYPART_ARC
(25,22),0.0306236 # DEPENDENCYPART_ARC
(25,23),0.207965 # DEPENDENCYPART_ARC
(25,24),2.13152 # DEPENDENCYPART_ARC
(25,26),-0.874949 # DEPENDENCYPART_ARC
(25,27),-1.57685 # DEPENDENCYPART_ARC
(25,28),-1.27809 # DEPENDENCYPART_ARC
(25,29),-1.63994 # DEPENDENCYPART_ARC
(26,8),-1.42983 # DEPENDENCYPART_ARC
(26,13),-0.858045 # DEPENDENCYPART_ARC
(26,15),-1.13024 # DEPENDENCYPART_ARC
(26,16),-0.933533 # DEPENDENCYPART_ARC
(26,17),-0.228404 # DEPENDENCYPART_ARC
(26,18),0.905901 # DEPENDENCYPART_ARC
(26,20),-0.404754 # DEPENDENCYPART_ARC
(26,22),-0.349086 # DEPENDENCYPART_ARC
(26,23),0.563936 # DEPENDENCYPART_ARC
(26,25),1.80863 # DEPENDENCYPART_ARC
(27,1),-0.773884 # DEPENDENCYPART_ARC
(27,2),-1.01945 # DEPENDENCYPART_ARC
(27,3),-0.62399 # DEPENDENCYPART_ARC
(27,5),-1.01847 # DEPENDENCYPART_ARC
(27,6),-1.1306 # DEPENDENCYPART_ARC
(27,7),-0.906815 # DEPENDENCYPART_ARC
(27,8),-1.05987 # DEPENDENCYPART_ARC
(27,9),-0.704875 # DEPENDENCYPART_ARC
(27,11),-0.596027 # DEPENDENCYPART_ARC
(27,13),-0.992032 # DEPENDENCYPART_ARC
(27,15),-1.03475 # DEPENDENCYPART_ARC
(27,17),-0.598144 # DEPENDENCYPART_ARC
(27,18),-0.115189 # DEPENDENCYPART_ARC
(27,20),-0.188965 # DEPENDENCYPART_ARC
(27,21),-3.47673 # DEPENDENCYPART_ARC
(27,22),-0.0369061 # DEPENDENCYPART_ARC
(27,23),-0.555376 # DEPENDENCYPART_ARC
(27,24),-1.25245 # DEPENDENCYPART_ARC
(27,25),-0.430754 # DEPENDENCYPART_ARC
(27,26),1.22317 # DEPENDENCYPART_ARC
(27,28),-0.684832 # DEPENDENCYPART_ARC
(27,29),-1.42202 # DEPENDENCYPART_ARC
(28,5),-1.49801 # DEPENDENCYPART_ARC
(28,6),-1.34034 # DEPENDENCYPART_ARC
(28,8),-1.7007 # DEPENDENCYPART_ARC
(28,12),-0.885488 # DEPENDENCYPART_ARC
(28,13),-1.02588 # DEPENDENCYPART_ARC
(28,14),-0.937859 # DEPENDENCYPART_ARC
(28,15),-1.33275 # DEPENDENCYPART_ARC
(28,16),-1.06052 # DEPENDENCYPART_ARC
(28,17),-0.332983 # DEPENDENCYPART_ARC
(28,18),0.697344 # DEPENDENCYPART_ARC
(28,20),-0.661205 # DEPENDENCYPART_ARC
(28,22),-0.586617 # DEPENDENCYPART_ARC
(28,23),0.193186 # DEPENDENCYPART_ARC
(28,27),1.75351 # DEPENDENCYPART_ARC
(28,29),-1.13074 # DEPENDENCYPART_ARC
(29,9),-1.1106 # DEPENDENCYPART_ARC
(29,20),-0.751866 # DEPENDENCYPART_ARC
(29,22),-0.840605 # DEPENDENCYPART_ARC
(29,23),-1.08717 # DEPENDENCYPART_ARC
(29,24),-2.42713 # DEPENDENCYPART_ARC
(29,25),-2.29749 # DEPENDENCYPART_ARC
(29,26),-0.903618 # DEPENDENCYPART_ARC
(29,27),-0.70684 # DEPENDENCYPART_ARC
(29,28),0.210657 # DEPENDENCYPART_ARC
(29,30),-0.709084 # DEPENDENCYPART_ARC
(30,1),-0.947351 # DEPENDENCYPART_ARC
(30,2),-1.05032 # DEPENDENCYPART_ARC
(30,3),-0.620341 # DEPENDENCYPART_ARC
(30,4),-1.73812 # DEPENDENCYPART_ARC
(30,5),-1.0309 # DEPENDENCYPART_ARC
(30,6),-1.02128 # DEPENDENCYPART_ARC
(30,7),-0.954867 # DEPENDENCYPART_ARC
(30,8),-1.3458 # DEPENDENCYPART_ARC
(30,9),-0.406604 # DEPENDENCYPART_ARC
(30,10),-1.07926 # DEPENDENCYPART_ARC
(30,11),-1.73623 # DEPENDENCYPART_ARC
(30,12),-1.4839 # DEPENDENCYPART_ARC
(30,13),-0.612273 # DEPENDENCYPART_ARC
(30,14),-1.4436 # DEPENDENCYPART_ARC
(30,15),-1.20305 # DEPENDENCYPART_ARC
(30,16),-1.05749 # DEPENDENCYPART_ARC
(30,17),-0.207468 # DEPENDENCYPART_ARC
(30,18),-1.00331 # DEPENDENCYPART_ARC
(30,19),-1.42297 # DEPENDENCYPART_ARC
(30,20),0.0401714 # DEPENDENCYPART_ARC
(30,21),-3.40274 # DEPENDENCYPART_ARC
(30,22),-0.150207 # DEPENDENCYPART_ARC
(30,23),0.0609388 # DEPENDENCYPART_ARC
(30,24),-1.88895 # DEPENDENCYPART_ARC
(30,25),-1.47414 # DEPENDENCYPART_ARC
(30,26),0.498141 # DEPENDENCYPART_ARC
(30,27),-0.947663 # DEPENDENCYPART_ARC
(30,28),1.09245 # DEPENDENCYPART_ARC
(30,29),1.91722 # DEPENDENCYPART_ARC
(31,1),-0.89509 # DEPENDENCYPART_ARC
(31,2),-1.04027 # DEPENDENCYPART_ARC
(31,3),-0.953497 # DEPENDENCYPART_ARC
(31,9),0.484657 # DEPENDENCYPART_ARC
(31,10),-1.82654 # DEPENDENCYPART_ARC
(31,19),-0.798365 # DEPENDENCYPART_ARC
(31,21),-2.53915 # DEPENDENCYPART_ARC
(31,22),-0.319539 # DEPENDENCYPART_ARC
(31,24),-1.68372 # DEPENDENCYPART_ARC
(31,25),-1.32927 # DEPENDENCYPART_ARC
(31,27),-1.00335 # DEPENDENCYPART_ARC
(31,29),-0.223397 # DEPENDENCYPART_ARC
(31,30),1.5981 # DEPENDENCYPART_ARC
(0,4),(0,12),0.275946 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.275946 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0509876 # DEPENDENCYPART_SIBL
(0,4),(0,31),-0.0126125 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.486135 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.422009 # DEPENDENCYPART_SIBL
(0,12),(0,31),0.467632 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.422009 # DEPENDENCYPART_SIBL
(0,14),(0,31),0.467632 # DEPENDENCYPART_SIBL
(0,16),(0,31),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0222495 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0318508 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0345567 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00198698 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0209518 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0211863 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0669107 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0854116 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.105642 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0501655 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0851165 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0211863 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0677261 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0209518 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0422724 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00198715 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0071433 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0656379 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00701507 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0209518 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0250308 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0501656 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0851165 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0499092 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0211863 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0250063 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0677261 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00853422 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0209518 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0250308 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0064908 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0422724 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0195364 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0209518 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0250308 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00106142 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00649166 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00649157 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0195364 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0161186 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0250308 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0250308 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00649166 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00649157 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.00649166 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0195364 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0161186 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0158863 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0250308 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0115235 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0250308 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0250308 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.176047 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.128681 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.182696 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.182928 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.182696 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.182696 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0324531 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0102216 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.130051 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.201713 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.201946 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.201713 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.201713 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0324531 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0100361 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0143713 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0143713 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0143713 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0143713 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.060208 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.023237 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.186014 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.185781 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.185781 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0324531 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0102216 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.185963 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.185963 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0324531 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0101293 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.182696 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0324531 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0102216 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0324531 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0102216 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0343235 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.188211 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.188211 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0281075 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0168483 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.184943 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0281075 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.016756 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0281075 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.016756 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.000141636 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0161186 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0158863 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0559184 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0209518 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0115235 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0553476 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0210441 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0524472 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0209518 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0156638 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0298077 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0143825 # DEPENDENCYPART_SIBL
(12,10),(12,25),-0.0194676 # DEPENDENCYPART_SIBL
(12,10),(12,29),-0.0194676 # DEPENDENCYPART_SIBL
(12,10),(12,30),-0.0148129 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0164122 # DEPENDENCYPART_SIBL
(12,11),(12,25),-0.0428455 # DEPENDENCYPART_SIBL
(12,11),(12,29),-0.0428455 # DEPENDENCYPART_SIBL
(12,11),(12,30),-0.021526 # DEPENDENCYPART_SIBL
(12,14),(12,25),-0.0307963 # DEPENDENCYPART_SIBL
(12,14),(12,29),-0.0307963 # DEPENDENCYPART_SIBL
(12,14),(12,30),-0.0286166 # DEPENDENCYPART_SIBL
(12,25),(12,29),-0.0271832 # DEPENDENCYPART_SIBL
(12,25),(12,30),-0.0260774 # DEPENDENCYPART_SIBL
(12,29),(12,30),-0.0260774 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.00198698 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.00714313 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0656379 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0070149 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0070149 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.150013 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0524472 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0070149 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0642098 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0188957 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.020952 # DEPENDENCYPART_SIBL
(13,1),(13,30),-0.006996 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0501655 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0851165 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.049909 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.049909 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.133274 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0691855 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.049909 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0829432 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0189202 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0211866 # DEPENDENCYPART_SIBL
(13,2),(13,30),-0.00702053 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0677261 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.00853405 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.00853405 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.147924 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0545353 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.00853405 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.066298 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0188957 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.020952 # DEPENDENCYPART_SIBL
(13,3),(13,30),-0.006996 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.00649166 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.00649166 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.127829 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0659634 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.00649166 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.121176 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.02483 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0422724 # DEPENDENCYPART_SIBL
(13,4),(13,30),-0.000445715 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0070149 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.150013 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0524472 # DEPENDENCYPART_SIBL
