# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=3,3,4,5,0,7,0,16,0,16,0,13,16,16,16,17,21,0,0,21,22,0,
(12,15),-1.09517 # DEPENDENCYPART_ARC
(12,16),-0.650831 # DEPENDENCYPART_ARC
(12,17),-0.573492 # DEPENDENCYPART_ARC
(12,18),-1.12865 # DEPENDENCYPART_ARC
(12,19),-1.18166 # DEPENDENCYPART_ARC
(12,20),-0.488141 # DEPENDENCYPART_ARC
(12,21),-0.81247 # DEPENDENCYPART_ARC
(12,22),-1.41571 # DEPENDENCYPART_ARC
(13,1),-0.773772 # DEPENDENCYPART_ARC
(13,2),0.105596 # DEPENDENCYPART_ARC
(13,3),-2.92954 # DEPENDENCYPART_ARC
(13,4),-0.784837 # DEPENDENCYPART_ARC
(13,5),-1.12814 # DEPENDENCYPART_ARC
(13,6),-0.717067 # DEPENDENCYPART_ARC
(13,7),-0.887855 # DEPENDENCYPART_ARC
(13,8),-0.649382 # DEPENDENCYPART_ARC
(13,9),-0.951953 # DEPENDENCYPART_ARC
(13,10),-0.564502 # DEPENDENCYPART_ARC
(13,11),-0.0323971 # DEPENDENCYPART_ARC
(13,12),1.76232 # DEPENDENCYPART_ARC
(13,14),-0.849524 # DEPENDENCYPART_ARC
(13,15),-1.07874 # DEPENDENCYPART_ARC
(13,16),-1.04721 # DEPENDENCYPART_ARC
(13,17),-0.306485 # DEPENDENCYPART_ARC
(13,18),-1.5743 # DEPENDENCYPART_ARC
(13,19),-1.66516 # DEPENDENCYPART_ARC
(13,20),-0.856405 # DEPENDENCYPART_ARC
(13,21),-1.84888 # DEPENDENCYPART_ARC
(13,22),-1.80857 # DEPENDENCYPART_ARC
(14,2),-1.5981 # DEPENDENCYPART_ARC
(14,4),-2.80302 # DEPENDENCYPART_ARC
(14,10),-1.60387 # DEPENDENCYPART_ARC
(14,11),-1.1067 # DEPENDENCYPART_ARC
(14,12),-0.852566 # DEPENDENCYPART_ARC
(14,13),0.524473 # DEPENDENCYPART_ARC
(14,15),-0.724209 # DEPENDENCYPART_ARC
(14,16),-1.00341 # DEPENDENCYPART_ARC
(14,20),-1.06366 # DEPENDENCYPART_ARC
(15,10),-1.5434 # DEPENDENCYPART_ARC
(15,11),-0.964953 # DEPENDENCYPART_ARC
(15,12),-1.39259 # DEPENDENCYPART_ARC
(15,13),-0.873455 # DEPENDENCYPART_ARC
(15,14),0.409536 # DEPENDENCYPART_ARC
(15,17),-0.793975 # DEPENDENCYPART_ARC
(16,1),-0.462456 # DEPENDENCYPART_ARC
(16,2),-0.756138 # DEPENDENCYPART_ARC
(16,5),-0.913588 # DEPENDENCYPART_ARC
(16,6),-1.02828 # DEPENDENCYPART_ARC
(16,7),-0.845706 # DEPENDENCYPART_ARC
(16,8),-0.0438429 # DEPENDENCYPART_ARC
(16,9),-0.957784 # DEPENDENCYPART_ARC
(16,10),-0.213559 # DEPENDENCYPART_ARC
(16,11),-0.502049 # DEPENDENCYPART_ARC
(16,12),-1.5187 # DEPENDENCYPART_ARC
(16,13),0.0702546 # DEPENDENCYPART_ARC
(16,14),1.25575 # DEPENDENCYPART_ARC
(16,15),1.71303 # DEPENDENCYPART_ARC
(16,17),-1.3643 # DEPENDENCYPART_ARC
(17,2),-0.985869 # DEPENDENCYPART_ARC
(17,4),-1.7517 # DEPENDENCYPART_ARC
(17,5),-0.534745 # DEPENDENCYPART_ARC
(17,6),-1.32665 # DEPENDENCYPART_ARC
(17,7),-0.446798 # DEPENDENCYPART_ARC
(17,8),-0.785125 # DEPENDENCYPART_ARC
(17,9),-0.59519 # DEPENDENCYPART_ARC
(17,10),-0.940421 # DEPENDENCYPART_ARC
(17,11),-0.175889 # DEPENDENCYPART_ARC
(17,12),-1.86948 # DEPENDENCYPART_ARC
(17,13),-0.0336891 # DEPENDENCYPART_ARC
(17,14),0.088399 # DEPENDENCYPART_ARC
(17,15),0.0229592 # DEPENDENCYPART_ARC
(17,16),1.62746 # DEPENDENCYPART_ARC
(17,18),-0.887385 # DEPENDENCYPART_ARC
(17,19),-1.20149 # DEPENDENCYPART_ARC
(17,20),-1.31052 # DEPENDENCYPART_ARC
(17,21),-2.13555 # DEPENDENCYPART_ARC
(18,3),-2.80193 # DEPENDENCYPART_ARC
(18,11),-0.526748 # DEPENDENCYPART_ARC
(18,12),-1.34312 # DEPENDENCYPART_ARC
(18,13),0.412444 # DEPENDENCYPART_ARC
(18,14),-0.929468 # DEPENDENCYPART_ARC
(18,15),-1.08523 # DEPENDENCYPART_ARC
(18,16),-0.505534 # DEPENDENCYPART_ARC
(18,17),0.163814 # DEPENDENCYPART_ARC
(18,19),-0.868735 # DEPENDENCYPART_ARC
(18,20),-0.95802 # DEPENDENCYPART_ARC
(18,21),-1.19068 # DEPENDENCYPART_ARC
(18,22),-1.25257 # DEPENDENCYPART_ARC
(19,3),-3.42805 # DEPENDENCYPART_ARC
(19,12),-2.42788 # DEPENDENCYPART_ARC
(19,13),-0.868349 # DEPENDENCYPART_ARC
(19,14),-1.82817 # DEPENDENCYPART_ARC
(19,15),-2.17429 # DEPENDENCYPART_ARC
(19,16),-1.6506 # DEPENDENCYPART_ARC
(19,17),-1.43806 # DEPENDENCYPART_ARC
(19,18),-0.522368 # DEPENDENCYPART_ARC
(19,20),-0.864431 # DEPENDENCYPART_ARC
(19,21),-1.31336 # DEPENDENCYPART_ARC
(19,22),-1.40575 # DEPENDENCYPART_ARC
(20,14),-0.521071 # DEPENDENCYPART_ARC
(20,16),-0.181812 # DEPENDENCYPART_ARC
(20,17),-0.141695 # DEPENDENCYPART_ARC
(20,18),-0.0745084 # DEPENDENCYPART_ARC
(20,19),0.883855 # DEPENDENCYPART_ARC
(21,1),-0.394887 # DEPENDENCYPART_ARC
(21,2),-1.01091 # DEPENDENCYPART_ARC
(21,4),-0.644618 # DEPENDENCYPART_ARC
(21,5),-1.74797 # DEPENDENCYPART_ARC
(21,6),-0.890573 # DEPENDENCYPART_ARC
(21,7),-1.47461 # DEPENDENCYPART_ARC
(21,8),-0.398911 # DEPENDENCYPART_ARC
(21,9),-1.5391 # DEPENDENCYPART_ARC
(21,10),-0.392521 # DEPENDENCYPART_ARC
(21,11),-0.91794 # DEPENDENCYPART_ARC
(21,12),-2.45035 # DEPENDENCYPART_ARC
(21,13),-0.639451 # DEPENDENCYPART_ARC
(21,14),-0.203164 # DEPENDENCYPART_ARC
(21,15),-1.94424 # DEPENDENCYPART_ARC
(21,16),0.0926514 # DEPENDENCYPART_ARC
(21,17),0.210318 # DEPENDENCYPART_ARC
(21,18),-1.08794 # DEPENDENCYPART_ARC
(21,19),-0.379098 # DEPENDENCYPART_ARC
(21,20),1.30488 # DEPENDENCYPART_ARC
(21,22),-1.07572 # DEPENDENCYPART_ARC
(22,1),-1.22558 # DEPENDENCYPART_ARC
(22,3),-3.26781 # DEPENDENCYPART_ARC
(22,7),-0.850762 # DEPENDENCYPART_ARC
(22,12),-2.19052 # DEPENDENCYPART_ARC
(22,13),-0.303124 # DEPENDENCYPART_ARC
(22,14),-1.19848 # DEPENDENCYPART_ARC
(22,15),-1.97358 # DEPENDENCYPART_ARC
(22,16),-1.09877 # DEPENDENCYPART_ARC
(22,17),-1.06335 # DEPENDENCYPART_ARC
(22,18),-1.09305 # DEPENDENCYPART_ARC
(22,19),-0.664643 # DEPENDENCYPART_ARC
(22,20),-0.656009 # DEPENDENCYPART_ARC
(22,21),1.37633 # DEPENDENCYPART_ARC
(0,5),(0,7),0.275946 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0509876 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.157364 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.157364 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.275946 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0126125 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.422009 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.47879 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.47879 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.486135 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.467632 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.157364 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.157364 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.275946 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0126125 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.00987931 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0675751 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.227035 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0675751 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.227035 # DEPENDENCYPART_SIBL
(0,19),(0,22),0.467632 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0226958 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0226958 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0253263 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.110812 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0107765 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0379279 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0107765 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0107765 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0495625 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0863379 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0495625 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0495625 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0726346 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00121166 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00121166 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0728687 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0728687 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00121166 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0541733 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0306479 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00211819 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0929735 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0564508 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0891351 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.033615 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.000287442 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0767118 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0323399 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.408986 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.138055 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.033615 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.331033 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.227738 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0557839 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0257743 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.082585 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0257743 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0656379 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0188957 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0209518 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0314854 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0209518 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.02483 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0422724 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0185161 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0422724 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0417647 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.124664 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0417647 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0345567 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0253263 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.057548 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.159675 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.371674 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0203462 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0618065 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0203462 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0715478 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0614822 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0230675 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.021531 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0234294 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0519095 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00710505 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00724343 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00816343 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0215236 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0103976 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0431461 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0290484 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.043621 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0327732 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0302294 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0619807 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0107059 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0605526 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0217415 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.00649166 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.121176 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0422724 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0642098 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0209518 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0317214 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.408986 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.169379 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.408986 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0963304 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.138055 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0701288 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0847705 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00433854 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.033615 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0380501 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0343014 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0601496 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00433854 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.033615 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0292692 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.121176 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.00649166 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0839136 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0138527 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0249673 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0656379 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.145428 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.375104 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0963328 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.073568 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0261589 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0478709 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.073568 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0304642 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0862856 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0527208 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0265606 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.017283 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0527208 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0466672 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0253387 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0128011 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0105817 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0253387 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0260774 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0278894 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0491679 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0260774 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.020723 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0358612 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0231288 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.00355738 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.0290471 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.027907 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.110812 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.00511575 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.00511575 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.00511575 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0827238 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.00511575 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0670617 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.00602503 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0107765 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0988674 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0107765 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.00742037 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0241876 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.0235561 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.0224693 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.00602503 # DEPENDENCYPART_SIBL
(12,1),(12,22),-0.0511747 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0875858 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.0875858 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0875858 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.117718 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0875858 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0518599 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.00352789 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0495626 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0367892 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0495625 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0508019 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0738463 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0726745 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0390617 # DEPENDENCYPART_SIBL
(12,2),(12,21),0.00352789 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.102649 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.0108336 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0108336 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.081844 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0108336 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0661819 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.00662862 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0127734 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0982638 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0127734 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.00941732 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.023584 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0229525 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0230729 # DEPENDENCYPART_SIBL
(12,4),(12,21),0.00662862 # DEPENDENCYPART_SIBL
(12,4),(12,22),-0.0505711 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0108336 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.081844 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0108336 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0661819 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.00662862 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0127734 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0982638 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0127734 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.00941732 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.023584 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0229525 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.0230729 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.00662862 # DEPENDENCYPART_SIBL
(12,6),(12,22),-0.0505711 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.081844 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0108336 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0661819 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00662862 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0127734 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0982638 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0127734 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.00941732 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.023584 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0229525 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0230729 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.00662862 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.0505711 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0125111 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.190027 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0162046 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0108194 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.133554 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0108194 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.00885618 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0010554 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.00295826 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0180976 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0162046 # DEPENDENCYPART_SIBL
