# _root_ Ertesi gün hava _ kararırken , alçak bir sesle " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=2,4,4,5,24,0,9,9,24,0,12,13,16,0,16,23,19,19,20,16,0,0,24,25,0,
#predictedHeads=2,4,4,5,24,0,9,9,16,0,19,0,19,0,16,21,19,19,20,24,0,0,24,25,0,
(16,8),-1.06728 # DEPENDENCYPART_ARC
(16,9),-0.341368 # DEPENDENCYPART_ARC
(16,10),-0.887855 # DEPENDENCYPART_ARC
(16,11),-0.649382 # DEPENDENCYPART_ARC
(16,12),-0.951953 # DEPENDENCYPART_ARC
(16,13),-0.564502 # DEPENDENCYPART_ARC
(16,14),-0.0323971 # DEPENDENCYPART_ARC
(16,15),1.76232 # DEPENDENCYPART_ARC
(16,17),-0.849524 # DEPENDENCYPART_ARC
(16,18),-1.07874 # DEPENDENCYPART_ARC
(16,19),-1.04721 # DEPENDENCYPART_ARC
(16,20),-0.306485 # DEPENDENCYPART_ARC
(16,21),-1.5743 # DEPENDENCYPART_ARC
(16,22),-1.66516 # DEPENDENCYPART_ARC
(16,23),-0.856405 # DEPENDENCYPART_ARC
(16,24),-1.84888 # DEPENDENCYPART_ARC
(16,25),-1.80857 # DEPENDENCYPART_ARC
(17,7),-1.74743 # DEPENDENCYPART_ARC
(17,8),-1.57829 # DEPENDENCYPART_ARC
(17,11),-1.50277 # DEPENDENCYPART_ARC
(17,13),-1.60387 # DEPENDENCYPART_ARC
(17,14),-1.1067 # DEPENDENCYPART_ARC
(17,15),-0.852566 # DEPENDENCYPART_ARC
(17,16),0.524473 # DEPENDENCYPART_ARC
(17,18),-0.724209 # DEPENDENCYPART_ARC
(17,19),-1.00341 # DEPENDENCYPART_ARC
(17,23),-1.06366 # DEPENDENCYPART_ARC
(18,14),-0.964953 # DEPENDENCYPART_ARC
(18,15),-1.39259 # DEPENDENCYPART_ARC
(18,16),-0.873455 # DEPENDENCYPART_ARC
(18,17),0.409536 # DEPENDENCYPART_ARC
(18,20),-0.793975 # DEPENDENCYPART_ARC
(19,3),-0.15251 # DEPENDENCYPART_ARC
(19,6),-0.962265 # DEPENDENCYPART_ARC
(19,8),-0.819498 # DEPENDENCYPART_ARC
(19,9),-0.890528 # DEPENDENCYPART_ARC
(19,10),-0.845706 # DEPENDENCYPART_ARC
(19,11),-0.0438429 # DEPENDENCYPART_ARC
(19,12),-0.957784 # DEPENDENCYPART_ARC
(19,13),-0.213559 # DEPENDENCYPART_ARC
(19,14),-0.502049 # DEPENDENCYPART_ARC
(19,15),-1.5187 # DEPENDENCYPART_ARC
(19,16),0.0702546 # DEPENDENCYPART_ARC
(19,17),1.25575 # DEPENDENCYPART_ARC
(19,18),1.71303 # DEPENDENCYPART_ARC
(19,20),-1.3643 # DEPENDENCYPART_ARC
(20,1),-1.85188 # DEPENDENCYPART_ARC
(20,6),-0.839908 # DEPENDENCYPART_ARC
(20,7),-1.26683 # DEPENDENCYPART_ARC
(20,8),-1.138 # DEPENDENCYPART_ARC
(20,9),-1.19058 # DEPENDENCYPART_ARC
(20,10),-0.446798 # DEPENDENCYPART_ARC
(20,11),-0.785125 # DEPENDENCYPART_ARC
(20,12),-0.59519 # DEPENDENCYPART_ARC
(20,13),-0.940421 # DEPENDENCYPART_ARC
(20,14),-0.175889 # DEPENDENCYPART_ARC
(20,15),-1.86948 # DEPENDENCYPART_ARC
(20,16),-0.0336891 # DEPENDENCYPART_ARC
(20,17),0.088399 # DEPENDENCYPART_ARC
(20,18),0.0229592 # DEPENDENCYPART_ARC
(20,19),1.62746 # DEPENDENCYPART_ARC
(20,21),-0.887385 # DEPENDENCYPART_ARC
(20,22),-1.20149 # DEPENDENCYPART_ARC
(20,23),-1.31052 # DEPENDENCYPART_ARC
(20,24),-2.13555 # DEPENDENCYPART_ARC
(21,1),-0.659521 # DEPENDENCYPART_ARC
(21,4),-2.96235 # DEPENDENCYPART_ARC
(21,5),-0.620585 # DEPENDENCYPART_ARC
(21,14),-0.526748 # DEPENDENCYPART_ARC
(21,15),-1.34312 # DEPENDENCYPART_ARC
(21,16),0.412444 # DEPENDENCYPART_ARC
(21,17),-0.929468 # DEPENDENCYPART_ARC
(21,18),-1.08523 # DEPENDENCYPART_ARC
(21,19),-0.505534 # DEPENDENCYPART_ARC
(21,20),0.163814 # DEPENDENCYPART_ARC
(21,22),-0.868735 # DEPENDENCYPART_ARC
(21,23),-0.95802 # DEPENDENCYPART_ARC
(21,24),-1.19068 # DEPENDENCYPART_ARC
(21,25),-1.25257 # DEPENDENCYPART_ARC
(22,4),-3.63439 # DEPENDENCYPART_ARC
(22,5),-1.29752 # DEPENDENCYPART_ARC
(22,8),-1.48637 # DEPENDENCYPART_ARC
(22,15),-2.42788 # DEPENDENCYPART_ARC
(22,16),-0.868349 # DEPENDENCYPART_ARC
(22,17),-1.82817 # DEPENDENCYPART_ARC
(22,18),-2.17429 # DEPENDENCYPART_ARC
(22,19),-1.6506 # DEPENDENCYPART_ARC
(22,20),-1.43806 # DEPENDENCYPART_ARC
(22,21),-0.522368 # DEPENDENCYPART_ARC
(22,23),-0.864431 # DEPENDENCYPART_ARC
(22,24),-1.31336 # DEPENDENCYPART_ARC
(22,25),-1.40575 # DEPENDENCYPART_ARC
(23,17),-0.521071 # DEPENDENCYPART_ARC
(23,19),-0.181812 # DEPENDENCYPART_ARC
(23,20),-0.141695 # DEPENDENCYPART_ARC
(23,21),-0.0745084 # DEPENDENCYPART_ARC
(23,22),0.883855 # DEPENDENCYPART_ARC
(24,2),-0.466342 # DEPENDENCYPART_ARC
(24,3),-0.859897 # DEPENDENCYPART_ARC
(24,5),-0.466317 # DEPENDENCYPART_ARC
(24,6),-1.67325 # DEPENDENCYPART_ARC
(24,9),-0.591964 # DEPENDENCYPART_ARC
(24,10),-1.47461 # DEPENDENCYPART_ARC
(24,11),-0.398911 # DEPENDENCYPART_ARC
(24,12),-1.5391 # DEPENDENCYPART_ARC
(24,13),-0.392521 # DEPENDENCYPART_ARC
(24,14),-0.91794 # DEPENDENCYPART_ARC
(24,15),-2.45035 # DEPENDENCYPART_ARC
(24,16),-0.639451 # DEPENDENCYPART_ARC
(24,17),-0.203164 # DEPENDENCYPART_ARC
(24,18),-1.94424 # DEPENDENCYPART_ARC
(24,19),0.0926514 # DEPENDENCYPART_ARC
(24,20),0.210318 # DEPENDENCYPART_ARC
(24,21),-1.08794 # DEPENDENCYPART_ARC
(24,22),-0.379098 # DEPENDENCYPART_ARC
(24,23),1.30488 # DEPENDENCYPART_ARC
(24,25),-1.07572 # DEPENDENCYPART_ARC
(25,1),-1.37967 # DEPENDENCYPART_ARC
(25,2),-1.31962 # DEPENDENCYPART_ARC
(25,4),-3.53425 # DEPENDENCYPART_ARC
(25,5),-1.3172 # DEPENDENCYPART_ARC
(25,9),-1.1616 # DEPENDENCYPART_ARC
(25,10),-0.850762 # DEPENDENCYPART_ARC
(25,15),-2.19052 # DEPENDENCYPART_ARC
(25,16),-0.303124 # DEPENDENCYPART_ARC
(25,17),-1.19848 # DEPENDENCYPART_ARC
(25,18),-1.97358 # DEPENDENCYPART_ARC
(25,19),-1.09877 # DEPENDENCYPART_ARC
(25,20),-1.06335 # DEPENDENCYPART_ARC
(25,21),-1.09305 # DEPENDENCYPART_ARC
(25,22),-0.664643 # DEPENDENCYPART_ARC
(25,23),-0.656009 # DEPENDENCYPART_ARC
(25,24),1.37633 # DEPENDENCYPART_ARC
(0,6),(0,10),0.275946 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.157364 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.157364 # DEPENDENCYPART_SIBL
(0,6),(0,22),0.275946 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.422009 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.47879 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.47879 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.486135 # DEPENDENCYPART_SIBL
(0,10),(0,25),0.467632 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.157364 # DEPENDENCYPART_SIBL
(0,12),(0,21),0.157364 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.275946 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.00987931 # DEPENDENCYPART_SIBL
(0,14),(0,22),0.0675751 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.227035 # DEPENDENCYPART_SIBL
(0,21),(0,22),0.0675751 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.227035 # DEPENDENCYPART_SIBL
(0,22),(0,25),0.467632 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0166484 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0928497 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00650572 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00554582 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0419177 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0398342 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00645537 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00227265 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0120479 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0273861 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0560111 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0478067 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0227973 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0802305 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0345898 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00326497 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0549339 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00019776 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0297973 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0143532 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0377798 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00277389 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0373243 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0217318 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0122194 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00105554 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0141183 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0223325 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0414895 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0713868 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0250139 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0548383 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.118819 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.147772 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.147229 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.121971 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0490471 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0232407 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0182542 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0786077 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0846526 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0257226 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0337305 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0653548 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0262977 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.033615 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.144268 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.138055 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.062359 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.03516 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.0288845 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0030967 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0358271 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.11756 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0192151 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0572196 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0361246 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0717396 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.296667 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0311316 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0944938 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0468077 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0944938 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0170345 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.038359 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.12667 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0694114 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0821452 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0862846 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0203143 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0134686 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.032904 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0134686 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.00652292 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.108624 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.073 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0765783 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.085432 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0188957 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0209518 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0314854 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0209518 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.168064 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.227738 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.357007 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.139938 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0557839 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0257743 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.082585 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0257743 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.044443 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0154675 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0788536 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0372675 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0390386 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0557498 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0390386 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.010864 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0818422 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.02483 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0422724 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0185161 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0422724 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.299992 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0313586 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0947404 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0470347 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0947404 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0326879 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0816647 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0739834 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0816647 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0417647 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.124664 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0417647 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0345567 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0253263 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.057548 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.159675 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.323205 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.178942 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.371674 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0203462 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0618065 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0715478 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0100535 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.052225 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0614822 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0230675 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.021531 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.0519095 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0621365 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0747179 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0170609 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0134348 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.00422019 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0411047 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.000135911 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0429906 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0233445 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00710505 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00724343 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.0215236 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0103976 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.0290484 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0327732 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.073 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0785681 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0291132 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0715719 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0209518 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0128538 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.00649166 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.121176 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0422724 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0926344 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0415904 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0947404 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0642098 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0209518 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0317214 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.408986 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.169379 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.408986 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0668854 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0963304 # DEPENDENCYPART_SIBL
(12,4),(12,24),-0.138055 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0701288 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0847705 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.00262664 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.00433854 # DEPENDENCYPART_SIBL
(12,9),(12,24),-0.033615 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0380501 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0196039 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0343014 # DEPENDENCYPART_SIBL
(12,10),(12,24),-0.0601496 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.00262664 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.00433854 # DEPENDENCYPART_SIBL
(12,11),(12,24),-0.033615 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.00676851 # DEPENDENCYPART_SIBL
(12,13),(12,24),-0.032302 # DEPENDENCYPART_SIBL
(12,14),(12,24),-0.0292692 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0138527 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0249673 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0656379 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0643363 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.0449063 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0854093 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0407856 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.071587 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0255699 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.00505726 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.013301 # DEPENDENCYPART_SIBL
