# _root_ Ormanda atını oradan oraya sürmüş ve kuleye varmış sonunda . Fakat sağa bakmış , sola bakmış , ne merdiven görmüş ne de yukarıya _ _ çıkılacak başka bir şey .
#goldHeads=5,5,5,5,6,8,8,10,8,13,13,13,14,16,16,17,20,19,20,30,29,21,24,25,26,29,29,29,18,0,
#predictedHeads=2,5,5,5,6,8,8,10,8,0,30,13,14,16,16,17,20,29,20,21,26,21,25,25,26,29,29,29,30,0,
(17,16),0.748215 # DEPENDENCYPART_ARC
(17,18),-0.711742 # DEPENDENCYPART_ARC
(17,24),-1.20901 # DEPENDENCYPART_ARC
(17,25),-1.09395 # DEPENDENCYPART_ARC
(17,29),-1.26428 # DEPENDENCYPART_ARC
(18,13),-1.12324 # DEPENDENCYPART_ARC
(18,15),-1.43048 # DEPENDENCYPART_ARC
(18,16),-0.717631 # DEPENDENCYPART_ARC
(18,17),-0.69421 # DEPENDENCYPART_ARC
(18,19),-0.790099 # DEPENDENCYPART_ARC
(19,15),-1.86102 # DEPENDENCYPART_ARC
(19,16),-1.53054 # DEPENDENCYPART_ARC
(19,17),-0.814858 # DEPENDENCYPART_ARC
(19,18),-0.36808 # DEPENDENCYPART_ARC
(19,21),-0.604822 # DEPENDENCYPART_ARC
(19,22),-0.837648 # DEPENDENCYPART_ARC
(19,28),-0.958547 # DEPENDENCYPART_ARC
(20,1),-0.573024 # DEPENDENCYPART_ARC
(20,2),-0.398561 # DEPENDENCYPART_ARC
(20,3),-0.705023 # DEPENDENCYPART_ARC
(20,4),-0.39768 # DEPENDENCYPART_ARC
(20,5),-1.28041 # DEPENDENCYPART_ARC
(20,6),-0.728517 # DEPENDENCYPART_ARC
(20,7),-0.565816 # DEPENDENCYPART_ARC
(20,8),-1.25633 # DEPENDENCYPART_ARC
(20,9),-0.601553 # DEPENDENCYPART_ARC
(20,10),-0.811012 # DEPENDENCYPART_ARC
(20,11),-0.53865 # DEPENDENCYPART_ARC
(20,12),-0.451112 # DEPENDENCYPART_ARC
(20,13),-1.13804 # DEPENDENCYPART_ARC
(20,14),-0.657448 # DEPENDENCYPART_ARC
(20,15),-0.296702 # DEPENDENCYPART_ARC
(20,16),-0.898785 # DEPENDENCYPART_ARC
(20,17),-0.0121261 # DEPENDENCYPART_ARC
(20,18),-0.347254 # DEPENDENCYPART_ARC
(20,19),1.6967 # DEPENDENCYPART_ARC
(20,21),-0.0393931 # DEPENDENCYPART_ARC
(20,22),-0.531552 # DEPENDENCYPART_ARC
(20,23),-0.629854 # DEPENDENCYPART_ARC
(20,24),-1.43232 # DEPENDENCYPART_ARC
(20,25),-1.82956 # DEPENDENCYPART_ARC
(20,29),-0.699185 # DEPENDENCYPART_ARC
(21,16),-0.941199 # DEPENDENCYPART_ARC
(21,18),-0.621297 # DEPENDENCYPART_ARC
(21,19),-0.413477 # DEPENDENCYPART_ARC
(21,20),0.687632 # DEPENDENCYPART_ARC
(21,22),0.965973 # DEPENDENCYPART_ARC
(21,23),-0.236912 # DEPENDENCYPART_ARC
(22,18),-1.27384 # DEPENDENCYPART_ARC
(22,19),-1.49875 # DEPENDENCYPART_ARC
(22,20),-0.780568 # DEPENDENCYPART_ARC
(22,21),-0.369144 # DEPENDENCYPART_ARC
(22,23),-0.837771 # DEPENDENCYPART_ARC
(23,19),-1.10676 # DEPENDENCYPART_ARC
(23,20),-2.01304 # DEPENDENCYPART_ARC
(23,21),-1.08807 # DEPENDENCYPART_ARC
(23,22),-0.724654 # DEPENDENCYPART_ARC
(23,24),-0.839248 # DEPENDENCYPART_ARC
(23,25),-1.40798 # DEPENDENCYPART_ARC
(23,26),-0.832158 # DEPENDENCYPART_ARC
(23,27),-0.919291 # DEPENDENCYPART_ARC
(23,28),-1.02003 # DEPENDENCYPART_ARC
(23,29),-1.07673 # DEPENDENCYPART_ARC
(24,9),-0.648329 # DEPENDENCYPART_ARC
(24,17),-0.586147 # DEPENDENCYPART_ARC
(24,19),-0.68444 # DEPENDENCYPART_ARC
(24,20),-0.623226 # DEPENDENCYPART_ARC
(24,21),-0.797166 # DEPENDENCYPART_ARC
(24,22),-0.741383 # DEPENDENCYPART_ARC
(24,23),0.401531 # DEPENDENCYPART_ARC
(24,27),-1.04125 # DEPENDENCYPART_ARC
(24,29),-0.652653 # DEPENDENCYPART_ARC
(25,3),-0.00144975 # DEPENDENCYPART_ARC
(25,4),0.235413 # DEPENDENCYPART_ARC
(25,6),-0.753587 # DEPENDENCYPART_ARC
(25,7),-0.449483 # DEPENDENCYPART_ARC
(25,9),-0.324938 # DEPENDENCYPART_ARC
(25,10),-0.77698 # DEPENDENCYPART_ARC
(25,12),-0.502169 # DEPENDENCYPART_ARC
(25,14),-1.02861 # DEPENDENCYPART_ARC
(25,15),-0.57308 # DEPENDENCYPART_ARC
(25,16),-1.3232 # DEPENDENCYPART_ARC
(25,17),-0.463999 # DEPENDENCYPART_ARC
(25,18),-1.01897 # DEPENDENCYPART_ARC
(25,19),-0.358276 # DEPENDENCYPART_ARC
(25,20),-0.719954 # DEPENDENCYPART_ARC
(25,21),-0.733521 # DEPENDENCYPART_ARC
(25,22),-0.770237 # DEPENDENCYPART_ARC
(25,23),0.465858 # DEPENDENCYPART_ARC
(25,24),2.0711 # DEPENDENCYPART_ARC
(25,27),-1.0026 # DEPENDENCYPART_ARC
(25,29),-1.10604 # DEPENDENCYPART_ARC
(26,14),-0.684716 # DEPENDENCYPART_ARC
(26,17),-0.411277 # DEPENDENCYPART_ARC
(26,19),-0.0123913 # DEPENDENCYPART_ARC
(26,21),-0.172113 # DEPENDENCYPART_ARC
(26,22),-0.384301 # DEPENDENCYPART_ARC
(26,23),0.259427 # DEPENDENCYPART_ARC
(26,24),0.0894325 # DEPENDENCYPART_ARC
(26,25),1.5904 # DEPENDENCYPART_ARC
(27,21),-1.08529 # DEPENDENCYPART_ARC
(27,22),-1.39127 # DEPENDENCYPART_ARC
(27,23),-1.15821 # DEPENDENCYPART_ARC
(27,24),-1.4201 # DEPENDENCYPART_ARC
(27,25),-0.68095 # DEPENDENCYPART_ARC
(27,26),-0.26353 # DEPENDENCYPART_ARC
(27,29),-1.06154 # DEPENDENCYPART_ARC
(28,27),-0.640985 # DEPENDENCYPART_ARC
(29,10),-0.419495 # DEPENDENCYPART_ARC
(29,12),-1.30804 # DEPENDENCYPART_ARC
(29,14),-0.727841 # DEPENDENCYPART_ARC
(29,15),-1.4689 # DEPENDENCYPART_ARC
(29,17),-0.468624 # DEPENDENCYPART_ARC
(29,18),-0.501644 # DEPENDENCYPART_ARC
(29,19),-0.466583 # DEPENDENCYPART_ARC
(29,21),-0.523019 # DEPENDENCYPART_ARC
(29,22),-0.931664 # DEPENDENCYPART_ARC
(29,23),-0.777225 # DEPENDENCYPART_ARC
(29,24),-1.44012 # DEPENDENCYPART_ARC
(29,25),-0.993296 # DEPENDENCYPART_ARC
(29,26),0.274715 # DEPENDENCYPART_ARC
(29,27),0.759208 # DEPENDENCYPART_ARC
(29,28),1.39093 # DEPENDENCYPART_ARC
(29,30),-0.80076 # DEPENDENCYPART_ARC
(30,5),-0.816009 # DEPENDENCYPART_ARC
(30,8),-0.720819 # DEPENDENCYPART_ARC
(30,9),-0.912946 # DEPENDENCYPART_ARC
(30,11),-0.0490086 # DEPENDENCYPART_ARC
(30,13),-0.646025 # DEPENDENCYPART_ARC
(30,16),-0.593676 # DEPENDENCYPART_ARC
(30,17),-0.998975 # DEPENDENCYPART_ARC
(30,18),-0.660499 # DEPENDENCYPART_ARC
(30,20),-0.353256 # DEPENDENCYPART_ARC
(30,21),-0.842215 # DEPENDENCYPART_ARC
(30,22),-0.659985 # DEPENDENCYPART_ARC
(30,23),-0.684262 # DEPENDENCYPART_ARC
(30,24),-1.16879 # DEPENDENCYPART_ARC
(30,25),-0.576373 # DEPENDENCYPART_ARC
(30,27),-0.598797 # DEPENDENCYPART_ARC
(30,28),-0.656371 # DEPENDENCYPART_ARC
(30,29),-0.0625393 # DEPENDENCYPART_ARC
(0,10),(0,14),-0.151696 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.151696 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.0360379 # DEPENDENCYPART_SIBL
(0,10),(0,30),-0.195234 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0509876 # DEPENDENCYPART_SIBL
(0,14),(0,29),-0.0627048 # DEPENDENCYPART_SIBL
(0,14),(0,30),-0.0126125 # DEPENDENCYPART_SIBL
(0,17),(0,29),-0.0627048 # DEPENDENCYPART_SIBL
(0,17),(0,30),-0.0126125 # DEPENDENCYPART_SIBL
(0,29),(0,30),-0.0937316 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00562863 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0237521 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0237515 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00482883 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00105955 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.123427 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00143876 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.123427 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.123427 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0627643 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0414784 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0170305 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.14124 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00183808 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00711395 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0300416 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0714721 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00183808 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.00711395 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00711395 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0493559 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0249081 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.14124 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00183869 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0071139 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0300416 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.071472 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00183869 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0071139 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0071139 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0147557 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.141902 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.000876679 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00777896 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0293788 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0721339 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.000876679 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00777896 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00777896 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.14212 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.000240133 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00799325 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0291596 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0723514 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.000240133 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00799325 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.00799325 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0925765 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0467248 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0640439 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.143516 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0925765 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0467248 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0467248 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0123033 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0113068 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00773257 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0572542 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0123033 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0123033 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0309497 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0599024 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0500265 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0279786 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0279786 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0257081 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00128152 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.00499737 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.00499737 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0609721 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.037513 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.037513 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0123033 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0123033 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0279786 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.355314 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.349426 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.344332 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.033926 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0280543 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.351924 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.346831 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0331583 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0280538 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.335462 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.032963 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.028354 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0306057 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0286535 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.016635 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00112653 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00395619 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.187315 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0358976 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0550055 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0153243 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.187511 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0358976 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0550055 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.185333 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.038165 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0550055 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0762812 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0290953 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.045292 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.112722 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0914361 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0669882 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.00368385 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.103366 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.112722 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0300416 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0714721 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0774125 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.00183808 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.00711395 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00183808 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.00711395 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.00711395 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.00183808 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0993136 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0748658 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.00182052 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.105997 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.1206 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0300416 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.071472 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0774124 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.00183869 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0071139 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.00183869 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0071139 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0071139 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.00183869 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.035202 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0159044 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0954044 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0938051 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0293788 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0721339 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0780743 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.000876679 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.00777896 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.000876679 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00777896 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.00777896 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.000876679 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0284734 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0897385 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.110401 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0291596 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0723514 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0782918 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.000240133 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00799325 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.000240133 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00799325 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00799325 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.000240133 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0450641 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0332321 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0509028 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0907017 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.057603 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0037541 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0330524 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0037541 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0330524 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0330524 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0037541 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0321198 # DEPENDENCYPART_SIBL
