# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,22,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
(8,12),-1.16349 # DEPENDENCYPART_ARC
(9,2),-1.56236 # DEPENDENCYPART_ARC
(9,3),-0.0501001 # DEPENDENCYPART_ARC
(9,4),-0.174906 # DEPENDENCYPART_ARC
(9,5),-1.1215 # DEPENDENCYPART_ARC
(9,6),-0.706589 # DEPENDENCYPART_ARC
(9,7),0.729687 # DEPENDENCYPART_ARC
(9,8),1.64505 # DEPENDENCYPART_ARC
(10,5),-1.80839 # DEPENDENCYPART_ARC
(10,6),-1.32307 # DEPENDENCYPART_ARC
(10,7),-0.976877 # DEPENDENCYPART_ARC
(10,8),-1.32683 # DEPENDENCYPART_ARC
(10,9),-0.0696223 # DEPENDENCYPART_ARC
(10,12),-1.16478 # DEPENDENCYPART_ARC
(10,13),-1.03332 # DEPENDENCYPART_ARC
(10,15),-1.55176 # DEPENDENCYPART_ARC
(10,16),-1.46313 # DEPENDENCYPART_ARC
(10,17),-1.49355 # DEPENDENCYPART_ARC
(10,19),-1.3178 # DEPENDENCYPART_ARC
(10,22),-1.50265 # DEPENDENCYPART_ARC
(11,10),-0.778578 # DEPENDENCYPART_ARC
(12,6),-1.78189 # DEPENDENCYPART_ARC
(12,7),-1.12213 # DEPENDENCYPART_ARC
(12,8),-1.43244 # DEPENDENCYPART_ARC
(12,9),-1.53044 # DEPENDENCYPART_ARC
(12,10),-0.671407 # DEPENDENCYPART_ARC
(12,11),0.980205 # DEPENDENCYPART_ARC
(12,13),-1.0316 # DEPENDENCYPART_ARC
(12,14),-1.41938 # DEPENDENCYPART_ARC
(12,18),-1.49631 # DEPENDENCYPART_ARC
(12,22),-2.08751 # DEPENDENCYPART_ARC
(13,9),-0.843039 # DEPENDENCYPART_ARC
(13,10),-0.652867 # DEPENDENCYPART_ARC
(13,12),1.85545 # DEPENDENCYPART_ARC
(13,14),-0.735927 # DEPENDENCYPART_ARC
(14,7),-2.27175 # DEPENDENCYPART_ARC
(14,9),-1.94493 # DEPENDENCYPART_ARC
(14,10),-1.28664 # DEPENDENCYPART_ARC
(14,11),-1.0355 # DEPENDENCYPART_ARC
(14,12),-0.3455 # DEPENDENCYPART_ARC
(14,13),-0.172891 # DEPENDENCYPART_ARC
(14,15),-0.930012 # DEPENDENCYPART_ARC
(14,17),-0.594252 # DEPENDENCYPART_ARC
(14,18),-0.728916 # DEPENDENCYPART_ARC
(14,22),-1.53195 # DEPENDENCYPART_ARC
(15,2),-0.722376 # DEPENDENCYPART_ARC
(15,3),-0.680397 # DEPENDENCYPART_ARC
(15,4),-0.995509 # DEPENDENCYPART_ARC
(15,5),-3.6986 # DEPENDENCYPART_ARC
(15,6),-3.13104 # DEPENDENCYPART_ARC
(15,7),-1.45211 # DEPENDENCYPART_ARC
(15,8),-2.86388 # DEPENDENCYPART_ARC
(15,9),-0.460671 # DEPENDENCYPART_ARC
(15,10),-0.838903 # DEPENDENCYPART_ARC
(15,11),-0.887924 # DEPENDENCYPART_ARC
(15,12),0.0286609 # DEPENDENCYPART_ARC
(15,13),0.194177 # DEPENDENCYPART_ARC
(15,14),1.03217 # DEPENDENCYPART_ARC
(15,17),-1.37037 # DEPENDENCYPART_ARC
(15,18),-1.49234 # DEPENDENCYPART_ARC
(15,19),-1.64085 # DEPENDENCYPART_ARC
(15,21),-1.88089 # DEPENDENCYPART_ARC
(15,22),-1.65132 # DEPENDENCYPART_ARC
(15,23),-2.20425 # DEPENDENCYPART_ARC
(16,2),0.194066 # DEPENDENCYPART_ARC
(16,3),-0.480376 # DEPENDENCYPART_ARC
(16,4),-0.0616198 # DEPENDENCYPART_ARC
(16,5),-2.35303 # DEPENDENCYPART_ARC
(16,6),-2.36777 # DEPENDENCYPART_ARC
(16,7),-0.893387 # DEPENDENCYPART_ARC
(16,8),-2.08112 # DEPENDENCYPART_ARC
(16,9),-0.179154 # DEPENDENCYPART_ARC
(16,10),-0.315046 # DEPENDENCYPART_ARC
(16,11),-0.230592 # DEPENDENCYPART_ARC
(16,12),0.448595 # DEPENDENCYPART_ARC
(16,13),0.618671 # DEPENDENCYPART_ARC
(16,14),0.826917 # DEPENDENCYPART_ARC
(16,15),1.83771 # DEPENDENCYPART_ARC
(16,17),-1.54279 # DEPENDENCYPART_ARC
(16,18),-1.58029 # DEPENDENCYPART_ARC
(16,19),-1.94165 # DEPENDENCYPART_ARC
(16,20),-1.55173 # DEPENDENCYPART_ARC
(16,21),-2.15615 # DEPENDENCYPART_ARC
(16,22),-1.96375 # DEPENDENCYPART_ARC
(16,23),-2.43647 # DEPENDENCYPART_ARC
(17,9),-1.0458 # DEPENDENCYPART_ARC
(17,10),-0.91613 # DEPENDENCYPART_ARC
(17,11),-1.29896 # DEPENDENCYPART_ARC
(17,12),-0.885665 # DEPENDENCYPART_ARC
(17,13),-0.9252 # DEPENDENCYPART_ARC
(17,14),-1.03818 # DEPENDENCYPART_ARC
(17,15),-1.03498 # DEPENDENCYPART_ARC
(17,16),1.13804 # DEPENDENCYPART_ARC
(17,18),-0.621182 # DEPENDENCYPART_ARC
(17,19),-1.12329 # DEPENDENCYPART_ARC
(17,21),-1.08134 # DEPENDENCYPART_ARC
(17,22),-1.31633 # DEPENDENCYPART_ARC
(17,23),-1.43359 # DEPENDENCYPART_ARC
(18,7),-2.01231 # DEPENDENCYPART_ARC
(18,11),-1.72686 # DEPENDENCYPART_ARC
(18,14),-2.36865 # DEPENDENCYPART_ARC
(18,15),-1.8647 # DEPENDENCYPART_ARC
(18,16),-2.26655 # DEPENDENCYPART_ARC
(18,17),-0.807511 # DEPENDENCYPART_ARC
(18,19),-0.820232 # DEPENDENCYPART_ARC
(18,20),-0.687892 # DEPENDENCYPART_ARC
(18,21),-1.34621 # DEPENDENCYPART_ARC
(18,22),-1.59181 # DEPENDENCYPART_ARC
(19,2),0.204101 # DEPENDENCYPART_ARC
(19,3),-0.563028 # DEPENDENCYPART_ARC
(19,4),-0.280533 # DEPENDENCYPART_ARC
(19,5),-3.60885 # DEPENDENCYPART_ARC
(19,6),-3.37661 # DEPENDENCYPART_ARC
(19,8),-3.16729 # DEPENDENCYPART_ARC
(19,9),-0.594814 # DEPENDENCYPART_ARC
(19,10),-1.23402 # DEPENDENCYPART_ARC
(19,11),-1.12648 # DEPENDENCYPART_ARC
(19,12),-0.559787 # DEPENDENCYPART_ARC
(19,13),-0.280747 # DEPENDENCYPART_ARC
(19,14),-1.23678 # DEPENDENCYPART_ARC
(19,15),-1.5344 # DEPENDENCYPART_ARC
(19,16),-0.374091 # DEPENDENCYPART_ARC
(19,17),0.104676 # DEPENDENCYPART_ARC
(19,18),1.7557 # DEPENDENCYPART_ARC
(19,20),-0.265638 # DEPENDENCYPART_ARC
(19,21),-1.36676 # DEPENDENCYPART_ARC
(19,22),-1.56824 # DEPENDENCYPART_ARC
(20,12),-1.25719 # DEPENDENCYPART_ARC
(20,14),-1.29742 # DEPENDENCYPART_ARC
(20,15),-0.986134 # DEPENDENCYPART_ARC
(20,16),-0.675083 # DEPENDENCYPART_ARC
(20,18),0.166536 # DEPENDENCYPART_ARC
(20,19),1.06418 # DEPENDENCYPART_ARC
(20,21),-0.768488 # DEPENDENCYPART_ARC
(21,7),-2.02615 # DEPENDENCYPART_ARC
(21,11),-1.68132 # DEPENDENCYPART_ARC
(21,15),-1.95676 # DEPENDENCYPART_ARC
(21,16),-2.12943 # DEPENDENCYPART_ARC
(21,17),-1.2398 # DEPENDENCYPART_ARC
(21,18),-1.18007 # DEPENDENCYPART_ARC
(21,19),-1.57415 # DEPENDENCYPART_ARC
(21,20),-0.271272 # DEPENDENCYPART_ARC
(22,2),0.0943241 # DEPENDENCYPART_ARC
(22,3),-0.706633 # DEPENDENCYPART_ARC
(22,4),-0.597567 # DEPENDENCYPART_ARC
(22,5),-4.11944 # DEPENDENCYPART_ARC
(22,6),-3.82013 # DEPENDENCYPART_ARC
(22,8),-3.52875 # DEPENDENCYPART_ARC
(22,9),-0.177909 # DEPENDENCYPART_ARC
(22,10),-1.09118 # DEPENDENCYPART_ARC
(22,11),-0.912537 # DEPENDENCYPART_ARC
(22,12),-0.599869 # DEPENDENCYPART_ARC
(22,13),-0.121198 # DEPENDENCYPART_ARC
(22,14),-2.0274 # DEPENDENCYPART_ARC
(22,15),-1.9621 # DEPENDENCYPART_ARC
(22,16),-0.316605 # DEPENDENCYPART_ARC
(22,17),0.163824 # DEPENDENCYPART_ARC
(22,18),0.443571 # DEPENDENCYPART_ARC
(22,19),0.437548 # DEPENDENCYPART_ARC
(22,20),0.41855 # DEPENDENCYPART_ARC
(22,21),1.95363 # DEPENDENCYPART_ARC
(22,23),-1.27822 # DEPENDENCYPART_ARC
(23,6),-3.22178 # DEPENDENCYPART_ARC
(23,7),-1.17359 # DEPENDENCYPART_ARC
(23,9),-0.658403 # DEPENDENCYPART_ARC
(23,14),-1.94617 # DEPENDENCYPART_ARC
(23,15),-2.04442 # DEPENDENCYPART_ARC
(23,16),-0.498893 # DEPENDENCYPART_ARC
(23,17),-0.768164 # DEPENDENCYPART_ARC
(23,18),-0.679796 # DEPENDENCYPART_ARC
(23,19),-0.117567 # DEPENDENCYPART_ARC
(23,20),-0.196137 # DEPENDENCYPART_ARC
(23,21),-0.469544 # DEPENDENCYPART_ARC
(23,22),1.37258 # DEPENDENCYPART_ARC
(0,1),(0,10),-0.24376 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.24376 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0706475 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.318766 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0509876 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.00250033 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0126125 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.00250033 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0126125 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.437137 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0041752 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.01431 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0125813 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0209521 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.01431 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0242657 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0123168 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.000382092 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0148511 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00388533 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0536805 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0429463 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.00699392 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0557613 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0450271 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00907473 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0241368 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0294243 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0296731 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0084598 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.000237689 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.000237689 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0373434 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0156491 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0224915 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0224915 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0431735 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0431735 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0982638 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0332753 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00662862 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00662862 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0108336 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0982638 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0332753 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00662862 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00662862 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0982638 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0332753 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00662862 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.00662862 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0576802 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.051175 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.051175 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0218268 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0218268 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0308301 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0084598 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.000237689 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.000237689 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.127987 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0373434 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0156491 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0224915 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0431735 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0431735 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0610456 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0982638 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0332753 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00662862 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0108336 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0982638 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0332753 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00662862 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0982638 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0332753 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00662862 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0631166 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0580533 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0433137 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0576802 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.051175 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0218268 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0316042 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0316042 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0332843 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0332843 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.022692 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0383734 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0383734 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0383734 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0383734 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.876266 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0951929 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0969413 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0969413 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.190399 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0683269 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0969413 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0969413 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.190399 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0683269 # DEPENDENCYPART_SIBL
(8,5),(8,6),-1.06075 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.250889 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.041491 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.250889 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.041491 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0106949 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.00388533 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.00388533 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0188005 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0188005 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0926451 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0719015 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0070149 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0269906 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0269906 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0906571 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0688005 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0269906 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0269906 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0906571 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0688005 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.847465 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.346902 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.834172 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.346902 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.834172 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0440521 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.788511 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.380117 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.712658 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.408986 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0668862 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0689288 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.166193 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.138055 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.112016 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.138055 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.138055 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.380117 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.712658 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.408986 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0668862 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0689288 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.166193 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.138055 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.112016 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.138055 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.138055 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.150897 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.112245 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0236974 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0343737 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0423426 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0182542 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0190349 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0182542 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0182542 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.351056 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0213409 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0227523 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.044978 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0163406 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0362173 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0163406 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0163406 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00262616 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.032026 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0586021 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.033615 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.00274273 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.033615 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.033615 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0208059 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0374247 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.032302 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.00674434 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.032302 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.032302 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0281494 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0252967 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0247366 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0252967 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0252967 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0286604 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0578665 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0286604 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.0286604 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0411706 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0255374 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.0255374 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0343298 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0343298 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0255374 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.340659 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.828003 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.331233 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.227738 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.139544 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.041838 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0198373 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.025205 # DEPENDENCYPART_SIBL
(12,6),(12,22),-0.00200102 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0409468 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.111406 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0293376 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.207114 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00812216 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0406436 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0925824 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0441407 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.346501 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.242038 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0550552 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0453586 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0196877 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0772064 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0299511 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0517285 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0679647 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00833765 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0682076 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.021521 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.00699361 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0113703 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.00677383 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0149921 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0415555 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.000519563 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0207777 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.00668205 # DEPENDENCYPART_SIBL
