# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,6,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(12,10),-0.337606 # DEPENDENCYPART_ARC
(12,11),2.04032 # DEPENDENCYPART_ARC
(12,13),-0.833751 # DEPENDENCYPART_ARC
(12,15),-1.2468 # DEPENDENCYPART_ARC
(12,16),-1.18408 # DEPENDENCYPART_ARC
(13,7),-1.90573 # DEPENDENCYPART_ARC
(13,9),-1.60024 # DEPENDENCYPART_ARC
(13,10),-0.879245 # DEPENDENCYPART_ARC
(13,11),-0.521661 # DEPENDENCYPART_ARC
(13,12),-0.328942 # DEPENDENCYPART_ARC
(13,14),-0.824426 # DEPENDENCYPART_ARC
(13,15),-0.951716 # DEPENDENCYPART_ARC
(13,21),-1.57808 # DEPENDENCYPART_ARC
(14,3),-1.24186 # DEPENDENCYPART_ARC
(14,5),-2.14138 # DEPENDENCYPART_ARC
(14,6),-1.6851 # DEPENDENCYPART_ARC
(14,8),-0.4125 # DEPENDENCYPART_ARC
(14,9),-0.540707 # DEPENDENCYPART_ARC
(14,10),-0.826744 # DEPENDENCYPART_ARC
(14,11),0.00667235 # DEPENDENCYPART_ARC
(14,12),-0.198744 # DEPENDENCYPART_ARC
(14,13),1.76473 # DEPENDENCYPART_ARC
(14,15),-1.405 # DEPENDENCYPART_ARC
(14,19),-1.43235 # DEPENDENCYPART_ARC
(14,20),-1.93412 # DEPENDENCYPART_ARC
(14,23),-1.76515 # DEPENDENCYPART_ARC
(15,7),-1.33203 # DEPENDENCYPART_ARC
(15,8),-1.32746 # DEPENDENCYPART_ARC
(15,9),-1.24925 # DEPENDENCYPART_ARC
(15,10),-1.73482 # DEPENDENCYPART_ARC
(15,11),-0.803866 # DEPENDENCYPART_ARC
(15,12),-0.766028 # DEPENDENCYPART_ARC
(15,13),-0.189724 # DEPENDENCYPART_ARC
(15,14),0.748791 # DEPENDENCYPART_ARC
(15,20),-1.15703 # DEPENDENCYPART_ARC
(15,24),-1.88985 # DEPENDENCYPART_ARC
(16,2),-0.534695 # DEPENDENCYPART_ARC
(16,3),-3.31766 # DEPENDENCYPART_ARC
(16,4),-1.0664 # DEPENDENCYPART_ARC
(16,7),-1.04976 # DEPENDENCYPART_ARC
(16,8),-0.13668 # DEPENDENCYPART_ARC
(16,9),-1.61792 # DEPENDENCYPART_ARC
(16,10),-1.65019 # DEPENDENCYPART_ARC
(16,11),-0.287089 # DEPENDENCYPART_ARC
(16,12),-0.368057 # DEPENDENCYPART_ARC
(16,13),-0.369127 # DEPENDENCYPART_ARC
(16,14),0.329587 # DEPENDENCYPART_ARC
(16,15),1.85066 # DEPENDENCYPART_ARC
(16,18),-1.05134 # DEPENDENCYPART_ARC
(16,19),-1.8671 # DEPENDENCYPART_ARC
(16,20),-1.70861 # DEPENDENCYPART_ARC
(16,21),-1.85225 # DEPENDENCYPART_ARC
(16,24),-1.93165 # DEPENDENCYPART_ARC
(17,1),0.81951 # DEPENDENCYPART_ARC
(17,2),-0.131832 # DEPENDENCYPART_ARC
(17,3),-2.888 # DEPENDENCYPART_ARC
(17,4),-0.416381 # DEPENDENCYPART_ARC
(17,5),-3.45065 # DEPENDENCYPART_ARC
(17,6),-3.34549 # DEPENDENCYPART_ARC
(17,8),-0.121909 # DEPENDENCYPART_ARC
(17,9),0.580117 # DEPENDENCYPART_ARC
(17,10),-2.11936 # DEPENDENCYPART_ARC
(17,11),0.438512 # DEPENDENCYPART_ARC
(17,12),0.706969 # DEPENDENCYPART_ARC
(17,13),0.11776 # DEPENDENCYPART_ARC
(17,14),-0.0054639 # DEPENDENCYPART_ARC
(17,15),1.0847 # DEPENDENCYPART_ARC
(17,16),2.41189 # DEPENDENCYPART_ARC
(17,18),-1.42552 # DEPENDENCYPART_ARC
(17,19),-0.63155 # DEPENDENCYPART_ARC
(17,20),-1.18634 # DEPENDENCYPART_ARC
(17,21),-1.98188 # DEPENDENCYPART_ARC
(17,22),-1.95908 # DEPENDENCYPART_ARC
(17,23),-1.12772 # DEPENDENCYPART_ARC
(17,24),-1.53256 # DEPENDENCYPART_ARC
(17,25),-2.20261 # DEPENDENCYPART_ARC
(18,6),-3.6458 # DEPENDENCYPART_ARC
(18,7),-1.80916 # DEPENDENCYPART_ARC
(18,10),-2.76094 # DEPENDENCYPART_ARC
(18,11),-1.24914 # DEPENDENCYPART_ARC
(18,12),-0.923463 # DEPENDENCYPART_ARC
(18,13),-2.12047 # DEPENDENCYPART_ARC
(18,14),-1.18978 # DEPENDENCYPART_ARC
(18,15),-1.54245 # DEPENDENCYPART_ARC
(18,16),-0.675149 # DEPENDENCYPART_ARC
(18,17),0.809315 # DEPENDENCYPART_ARC
(18,20),-0.65426 # DEPENDENCYPART_ARC
(18,21),-0.941188 # DEPENDENCYPART_ARC
(18,22),-1.02323 # DEPENDENCYPART_ARC
(18,23),-0.875108 # DEPENDENCYPART_ARC
(18,24),-1.05033 # DEPENDENCYPART_ARC
(18,25),-1.23038 # DEPENDENCYPART_ARC
(19,18),-0.930876 # DEPENDENCYPART_ARC
(20,7),-2.32079 # DEPENDENCYPART_ARC
(20,12),-1.33146 # DEPENDENCYPART_ARC
(20,14),-1.87145 # DEPENDENCYPART_ARC
(20,15),-2.20073 # DEPENDENCYPART_ARC
(20,16),-1.33734 # DEPENDENCYPART_ARC
(20,17),-1.80771 # DEPENDENCYPART_ARC
(20,18),-0.79391 # DEPENDENCYPART_ARC
(20,19),-0.0118416 # DEPENDENCYPART_ARC
(20,21),-1.00853 # DEPENDENCYPART_ARC
(20,22),-0.540902 # DEPENDENCYPART_ARC
(20,23),-1.57291 # DEPENDENCYPART_ARC
(20,24),-1.83535 # DEPENDENCYPART_ARC
(21,1),-0.150376 # DEPENDENCYPART_ARC
(21,5),-4.61925 # DEPENDENCYPART_ARC
(21,6),-4.53346 # DEPENDENCYPART_ARC
(21,8),-1.1443 # DEPENDENCYPART_ARC
(21,9),-0.436593 # DEPENDENCYPART_ARC
(21,10),-3.53411 # DEPENDENCYPART_ARC
(21,11),-0.450074 # DEPENDENCYPART_ARC
(21,12),-0.0731805 # DEPENDENCYPART_ARC
(21,13),-1.47368 # DEPENDENCYPART_ARC
(21,14),-0.764715 # DEPENDENCYPART_ARC
(21,15),-0.967237 # DEPENDENCYPART_ARC
(21,16),0.15378 # DEPENDENCYPART_ARC
(21,17),-0.803865 # DEPENDENCYPART_ARC
(21,18),0.236976 # DEPENDENCYPART_ARC
(21,19),1.28022 # DEPENDENCYPART_ARC
(21,20),2.21403 # DEPENDENCYPART_ARC
(21,22),-1.37518 # DEPENDENCYPART_ARC
(21,23),-0.547856 # DEPENDENCYPART_ARC
(21,24),-1.52708 # DEPENDENCYPART_ARC
(21,25),-2.07815 # DEPENDENCYPART_ARC
(22,16),-1.18859 # DEPENDENCYPART_ARC
(22,17),-1.26605 # DEPENDENCYPART_ARC
(22,18),-0.86118 # DEPENDENCYPART_ARC
(22,19),-1.05004 # DEPENDENCYPART_ARC
(22,20),-0.558194 # DEPENDENCYPART_ARC
(22,21),0.841446 # DEPENDENCYPART_ARC
(22,23),-0.583838 # DEPENDENCYPART_ARC
(22,24),-1.05743 # DEPENDENCYPART_ARC
(22,25),-1.26989 # DEPENDENCYPART_ARC
(23,7),-2.39074 # DEPENDENCYPART_ARC
(23,14),-1.48133 # DEPENDENCYPART_ARC
(23,16),-0.500556 # DEPENDENCYPART_ARC
(23,17),-2.07996 # DEPENDENCYPART_ARC
(23,18),-1.66129 # DEPENDENCYPART_ARC
(23,19),-1.3371 # DEPENDENCYPART_ARC
(23,20),-0.775349 # DEPENDENCYPART_ARC
(23,21),-1.64928 # DEPENDENCYPART_ARC
(23,22),-0.638705 # DEPENDENCYPART_ARC
(23,25),-0.715702 # DEPENDENCYPART_ARC
(24,5),-5.60866 # DEPENDENCYPART_ARC
(24,6),-5.58802 # DEPENDENCYPART_ARC
(24,8),-1.63278 # DEPENDENCYPART_ARC
(24,9),-0.726939 # DEPENDENCYPART_ARC
(24,11),-0.674234 # DEPENDENCYPART_ARC
(24,12),-0.386616 # DEPENDENCYPART_ARC
(24,13),-2.37478 # DEPENDENCYPART_ARC
(24,14),-1.11597 # DEPENDENCYPART_ARC
(24,15),-1.83786 # DEPENDENCYPART_ARC
(24,16),-0.186125 # DEPENDENCYPART_ARC
(24,17),-1.46009 # DEPENDENCYPART_ARC
(24,18),-0.621673 # DEPENDENCYPART_ARC
(24,19),-0.0140564 # DEPENDENCYPART_ARC
(24,20),-0.111852 # DEPENDENCYPART_ARC
(24,21),-1.05195 # DEPENDENCYPART_ARC
(24,22),0.0345142 # DEPENDENCYPART_ARC
(24,23),1.99561 # DEPENDENCYPART_ARC
(24,25),-1.37309 # DEPENDENCYPART_ARC
(25,2),-0.613098 # DEPENDENCYPART_ARC
(25,5),-4.23397 # DEPENDENCYPART_ARC
(25,6),-3.9583 # DEPENDENCYPART_ARC
(25,10),-3.23964 # DEPENDENCYPART_ARC
(25,12),-0.68685 # DEPENDENCYPART_ARC
(25,13),-2.63187 # DEPENDENCYPART_ARC
(25,14),-1.08008 # DEPENDENCYPART_ARC
(25,16),-1.04831 # DEPENDENCYPART_ARC
(25,17),-0.608879 # DEPENDENCYPART_ARC
(25,18),-1.0758 # DEPENDENCYPART_ARC
(25,19),-0.831649 # DEPENDENCYPART_ARC
(25,20),-1.05685 # DEPENDENCYPART_ARC
(25,21),-0.351587 # DEPENDENCYPART_ARC
(25,22),-0.667168 # DEPENDENCYPART_ARC
(25,23),-0.487264 # DEPENDENCYPART_ARC
(25,24),1.33363 # DEPENDENCYPART_ARC
(0,18),(0,22),-0.0509876 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0249946 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.211227 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0860854 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.183861 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.069352 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0296701 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.033732 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0342508 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0738227 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.210289 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.116803 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.00662862 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0993798 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0422652 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0233 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.397645 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0176964 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0132942 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0738227 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.210289 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.116803 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00662862 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0993798 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0422652 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.250282 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0233 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.397645 # DEPENDENCYPART_SIBL
(6,3),(6,5),-1.07945 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0176964 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0101726 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0132942 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0433137 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0920842 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.181383 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0974831 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00495798 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00495798 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0275378 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0254685 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.133998 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.133998 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.161114 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.720031 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.720031 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0118735 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0118735 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.893201 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.300239 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.783676 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.783676 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.327106 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.00770974 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00770974 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.091055 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.847465 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.346606 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.346606 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.00770974 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00770974 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.091055 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.112689 # DEPENDENCYPART_SIBL
(9,4),(9,24),0.0457292 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.847465 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.346606 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.331033 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.00200102 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.346606 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.331033 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.00200102 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.088962 # DEPENDENCYPART_SIBL
(9,7),(9,24),0.0457294 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.00699361 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0738227 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.210289 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.116803 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.07014 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.07014 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0841319 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0108336 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0108336 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0127734 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0637585 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0637585 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0127734 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.00662862 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.00661119 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.00662862 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0993798 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0422652 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.250282 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.250282 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0158258 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.108496 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.108496 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0383695 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0237773 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0237773 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0383696 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0233 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0233 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.0233 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.397645 # DEPENDENCYPART_SIBL
(10,3),(10,5),-1.07945 # DEPENDENCYPART_SIBL
(10,3),(10,6),-1.07945 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.430316 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.636019 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.636019 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.000642053 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0836556 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0836556 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.000642045 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0176964 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0177138 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.0176964 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0101726 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0101726 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0861943 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0844409 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0844409 # DEPENDENCYPART_SIBL
(10,4),(10,11),-8.73577e-05 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0682131 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0682131 # DEPENDENCYPART_SIBL
(10,4),(10,16),-8.73577e-05 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0132942 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.0132942 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0132942 # DEPENDENCYPART_SIBL
(10,5),(10,6),-1.19892 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.525061 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.563221 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.563221 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.000490233 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0724113 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0724113 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.000490241 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0433137 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0433137 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.0433137 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.525061 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.563221 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.563221 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.000490233 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0724113 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0724113 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.000490241 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0433137 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0433137 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.0433137 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0447493 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0447493 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00317052 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0649552 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0649552 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.00317052 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0100539 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0100539 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.0100539 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0108336 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0127734 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0637585 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0637585 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0127734 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.00662862 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.00661119 # DEPENDENCYPART_SIBL
(10,8),(10,24),0.00662862 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0127734 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0637585 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0637585 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0127734 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00662862 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.00661119 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.00662862 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0209004 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0209004 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.00121166 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00562024 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.00562024 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.00562024 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0513821 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0309561 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0266694 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0266694 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.0266694 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0309561 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0266694 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0266694 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.0266694 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.00562024 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.00562024 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.00562024 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0308301 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0308301 # DEPENDENCYPART_SIBL
(10,21),(10,24),-0.0308301 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.145747 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.127078 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.10021 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.000647351 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.000647351 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0641137 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.291553 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.318421 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.431364 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.431364 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.746553 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0890166 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.109627 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.109627 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.00276003 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0858999 # DEPENDENCYPART_SIBL
