# _root_ Annem , telefonda dedeme bir doğum günü partisi _ düzenlediklerini söyledi , yarın dönsem iyi olurmuş ...
#goldHeads=11,0,11,9,8,7,8,9,10,11,12,16,14,16,16,17,0,
#predictedHeads=11,0,11,11,6,7,8,9,10,11,12,16,14,16,16,17,0,
(14,12),-0.148108 # DEPENDENCYPART_ARC
(14,13),1.15417 # DEPENDENCYPART_ARC
(14,15),-0.530415 # DEPENDENCYPART_ARC
(14,16),-1.16622 # DEPENDENCYPART_ARC
(15,8),-1.65244 # DEPENDENCYPART_ARC
(15,9),-2.17951 # DEPENDENCYPART_ARC
(15,11),-1.66077 # DEPENDENCYPART_ARC
(15,12),-1.0995 # DEPENDENCYPART_ARC
(15,13),-0.498884 # DEPENDENCYPART_ARC
(15,14),0.331188 # DEPENDENCYPART_ARC
(16,1),0.13897 # DEPENDENCYPART_ARC
(16,3),-0.715085 # DEPENDENCYPART_ARC
(16,4),-0.514926 # DEPENDENCYPART_ARC
(16,6),-0.495034 # DEPENDENCYPART_ARC
(16,7),-0.417913 # DEPENDENCYPART_ARC
(16,8),-0.275663 # DEPENDENCYPART_ARC
(16,9),-3.16912 # DEPENDENCYPART_ARC
(16,10),-0.408389 # DEPENDENCYPART_ARC
(16,11),-1.71942 # DEPENDENCYPART_ARC
(16,12),-0.253891 # DEPENDENCYPART_ARC
(16,13),0.596532 # DEPENDENCYPART_ARC
(16,14),1.25859 # DEPENDENCYPART_ARC
(16,15),1.14923 # DEPENDENCYPART_ARC
(16,17),-1.22386 # DEPENDENCYPART_ARC
(17,9),-1.99356 # DEPENDENCYPART_ARC
(17,11),-0.927048 # DEPENDENCYPART_ARC
(17,12),-0.95864 # DEPENDENCYPART_ARC
(17,13),-0.793925 # DEPENDENCYPART_ARC
(17,14),-0.053287 # DEPENDENCYPART_ARC
(17,15),-0.608524 # DEPENDENCYPART_ARC
(17,16),1.184 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0554345 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0554345 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0858916 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.00483108 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.00483108 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.057548 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0337618 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0409097 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00554582 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0125875 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0142738 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0346503 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.034496 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0347657 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0255374 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0255374 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0255374 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0740513 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0239869 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0106294 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0265326 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0239872 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0422724 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.000884396 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0422724 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0422721 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00554582 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0253263 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0253263 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0111905 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0111905 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0277421 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0740513 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0273544 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0106294 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0265326 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0239872 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00786926 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00649166 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.000884396 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0422724 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0422721 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.000445715 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0106294 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0234975 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0209521 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00699361 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0111905 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0111905 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0142738 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0277421 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0125873 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0125873 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0740513 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0273544 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0273544 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0740132 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0239872 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0239889 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00813895 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00649166 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00649166 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0939731 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0422721 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0422704 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.000445715 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.000681537 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.080663 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0209521 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0209538 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0072633 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.080663 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0209521 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0209538 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0072633 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0816643 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0816615 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0434723 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0253263 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0125873 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0125873 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00370186 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00370186 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0669236 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0234694 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0422371 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0569933 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0422391 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.000445715 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0234643 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0966628 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00532251 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0200045 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0526792 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0200025 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00626229 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0966628 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.013019 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0200045 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0526792 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0200025 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00626229 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.216897 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0816281 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00425294 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0816313 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0434723 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0200045 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0526792 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0200025 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00626229 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0226956 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0253263 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0125873 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0322674 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0294243 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0125873 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0245505 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0245505 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0550713 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0344343 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0333668 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.056995 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0422724 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0422724 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.000447392 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.000447392 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0179829 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.118635 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0279003 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0509306 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0536819 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0209518 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0209518 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00699528 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00726498 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.118635 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0202039 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0432342 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0536819 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0209518 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0209518 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.00699528 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00726498 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.23142 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.206175 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00424902 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0816635 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0816635 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0434684 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0434684 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0240669 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0536819 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0209518 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0209518 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.00699528 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00726498 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0540819 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.022138 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.022138 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00739536 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00766506 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0322674 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0322674 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0294243 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0294243 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0253263 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0125873 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0125873 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0125873 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0125873 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0248625 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.109291 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0440688 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0440688 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0121853 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0535393 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0384959 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0507519 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.000647808 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00245457 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0451916 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.000646126 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00220374 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.00301286 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0414746 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0125111 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0125111 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.110549 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.00185919 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0477237 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.00892851 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0108194 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0163178 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0908939 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0108177 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0162046 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0164744 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0126317 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0416194 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0264571 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0321489 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.124184 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0349363 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0127734 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.00637779 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0373243 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0127717 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.00662862 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0058195 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0340007 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0110643 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.00136316 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0933983 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.00415055 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0127734 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00637779 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0373243 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0127717 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.00662862 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0058195 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0340007 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0323815 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0711423 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0257001 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0135646 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0265592 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0991103 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0135629 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0264468 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0267165 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0832429 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0668969 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0218275 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0127734 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00637779 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0373243 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0127717 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00662862 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0058195 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0340007 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0339128 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0123628 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00636652 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0373325 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0123611 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.00661864 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00580952 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0340089 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0127734 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00637773 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0373244 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0127717 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.00662856 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.00581944 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0340007 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.00562104 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0726346 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00121166 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.00562024 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.00562024 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.00505118 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0324766 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.024303 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0308301 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0308301 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0578849 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0728687 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0540562 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0540562 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0406032 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.00562024 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.00562024 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.00505118 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0308301 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0578849 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0578849 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0740513 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0273544 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0273544 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0174369 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00559343 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0289046 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.00743873 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00803184 # DEPENDENCYPART_SIBL
