# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,24,19,18,19,24,21,24,0,24,25,0,
(15,20),-1.10164 # DEPENDENCYPART_ARC
(15,21),-1.1097 # DEPENDENCYPART_ARC
(15,22),-1.28608 # DEPENDENCYPART_ARC
(15,23),-1.25407 # DEPENDENCYPART_ARC
(15,24),-1.28381 # DEPENDENCYPART_ARC
(16,15),-0.791973 # DEPENDENCYPART_ARC
(17,15),-0.969439 # DEPENDENCYPART_ARC
(17,16),-0.333922 # DEPENDENCYPART_ARC
(18,8),-1.6354 # DEPENDENCYPART_ARC
(18,11),-1.53396 # DEPENDENCYPART_ARC
(18,13),-1.82897 # DEPENDENCYPART_ARC
(18,14),-2.26945 # DEPENDENCYPART_ARC
(18,15),-1.35186 # DEPENDENCYPART_ARC
(18,16),-0.265168 # DEPENDENCYPART_ARC
(18,17),0.648644 # DEPENDENCYPART_ARC
(18,19),-0.868122 # DEPENDENCYPART_ARC
(18,20),-1.0921 # DEPENDENCYPART_ARC
(18,21),-1.75321 # DEPENDENCYPART_ARC
(18,23),-1.83478 # DEPENDENCYPART_ARC
(19,8),-1.35352 # DEPENDENCYPART_ARC
(19,11),-1.16304 # DEPENDENCYPART_ARC
(19,12),-1.33612 # DEPENDENCYPART_ARC
(19,13),-1.85515 # DEPENDENCYPART_ARC
(19,14),-1.57721 # DEPENDENCYPART_ARC
(19,15),-1.01946 # DEPENDENCYPART_ARC
(19,16),-0.43644 # DEPENDENCYPART_ARC
(19,17),-0.16776 # DEPENDENCYPART_ARC
(19,18),1.96824 # DEPENDENCYPART_ARC
(19,20),-0.776522 # DEPENDENCYPART_ARC
(19,21),-1.30588 # DEPENDENCYPART_ARC
(19,22),-1.15274 # DEPENDENCYPART_ARC
(19,23),-1.43793 # DEPENDENCYPART_ARC
(20,14),-2.42602 # DEPENDENCYPART_ARC
(20,15),-1.41121 # DEPENDENCYPART_ARC
(20,16),-1.11149 # DEPENDENCYPART_ARC
(20,17),-0.976969 # DEPENDENCYPART_ARC
(20,18),-0.38312 # DEPENDENCYPART_ARC
(20,19),0.730582 # DEPENDENCYPART_ARC
(20,21),-1.65543 # DEPENDENCYPART_ARC
(20,22),-1.01791 # DEPENDENCYPART_ARC
(20,23),-1.95483 # DEPENDENCYPART_ARC
(20,24),-2.29549 # DEPENDENCYPART_ARC
(21,12),-1.31297 # DEPENDENCYPART_ARC
(21,14),-1.56295 # DEPENDENCYPART_ARC
(21,15),-1.00687 # DEPENDENCYPART_ARC
(21,16),-0.96198 # DEPENDENCYPART_ARC
(21,17),-0.777167 # DEPENDENCYPART_ARC
(21,18),-0.952383 # DEPENDENCYPART_ARC
(21,19),-0.272074 # DEPENDENCYPART_ARC
(21,20),0.87301 # DEPENDENCYPART_ARC
(21,22),-0.836408 # DEPENDENCYPART_ARC
(21,23),-1.68312 # DEPENDENCYPART_ARC
(21,24),-2.19287 # DEPENDENCYPART_ARC
(22,1),-0.682551 # DEPENDENCYPART_ARC
(22,11),-1.24314 # DEPENDENCYPART_ARC
(22,12),-1.1918 # DEPENDENCYPART_ARC
(22,13),-3.01554 # DEPENDENCYPART_ARC
(22,14),-0.811397 # DEPENDENCYPART_ARC
(22,15),-1.04422 # DEPENDENCYPART_ARC
(22,16),-1.55716 # DEPENDENCYPART_ARC
(22,18),-1.39474 # DEPENDENCYPART_ARC
(22,19),-1.1991 # DEPENDENCYPART_ARC
(22,20),-0.933719 # DEPENDENCYPART_ARC
(22,21),0.280343 # DEPENDENCYPART_ARC
(22,23),-0.591872 # DEPENDENCYPART_ARC
(22,24),-1.13787 # DEPENDENCYPART_ARC
(22,25),-1.39792 # DEPENDENCYPART_ARC
(23,17),-1.47719 # DEPENDENCYPART_ARC
(23,18),-2.02391 # DEPENDENCYPART_ARC
(23,19),-1.77534 # DEPENDENCYPART_ARC
(23,20),-1.52583 # DEPENDENCYPART_ARC
(23,21),-1.92186 # DEPENDENCYPART_ARC
(23,22),-0.341971 # DEPENDENCYPART_ARC
(23,25),-0.699928 # DEPENDENCYPART_ARC
(24,1),-0.578029 # DEPENDENCYPART_ARC
(24,2),-0.979984 # DEPENDENCYPART_ARC
(24,3),-0.646536 # DEPENDENCYPART_ARC
(24,4),-0.777419 # DEPENDENCYPART_ARC
(24,5),-0.576419 # DEPENDENCYPART_ARC
(24,6),-0.511803 # DEPENDENCYPART_ARC
(24,7),-0.14168 # DEPENDENCYPART_ARC
(24,9),-0.526857 # DEPENDENCYPART_ARC
(24,10),-1.30971 # DEPENDENCYPART_ARC
(24,12),-0.839609 # DEPENDENCYPART_ARC
(24,13),-2.88602 # DEPENDENCYPART_ARC
(24,14),-0.555622 # DEPENDENCYPART_ARC
(24,15),-0.928721 # DEPENDENCYPART_ARC
(24,16),-1.02797 # DEPENDENCYPART_ARC
(24,17),-1.12541 # DEPENDENCYPART_ARC
(24,18),-0.168915 # DEPENDENCYPART_ARC
(24,19),0.0709922 # DEPENDENCYPART_ARC
(24,20),-0.0737227 # DEPENDENCYPART_ARC
(24,21),0.345469 # DEPENDENCYPART_ARC
(24,22),-0.386608 # DEPENDENCYPART_ARC
(24,23),2.10134 # DEPENDENCYPART_ARC
(24,25),-1.30579 # DEPENDENCYPART_ARC
(25,1),0.404936 # DEPENDENCYPART_ARC
(25,2),-0.894871 # DEPENDENCYPART_ARC
(25,5),-0.861376 # DEPENDENCYPART_ARC
(25,7),-0.923937 # DEPENDENCYPART_ARC
(25,9),-0.94123 # DEPENDENCYPART_ARC
(25,10),-1.06289 # DEPENDENCYPART_ARC
(25,11),-0.80657 # DEPENDENCYPART_ARC
(25,12),-0.169775 # DEPENDENCYPART_ARC
(25,13),-2.76786 # DEPENDENCYPART_ARC
(25,14),-0.529808 # DEPENDENCYPART_ARC
(25,15),-1.30676 # DEPENDENCYPART_ARC
(25,18),-1.06279 # DEPENDENCYPART_ARC
(25,19),-1.05156 # DEPENDENCYPART_ARC
(25,20),-1.02956 # DEPENDENCYPART_ARC
(25,21),-0.964579 # DEPENDENCYPART_ARC
(25,22),-0.827063 # DEPENDENCYPART_ARC
(25,23),-0.494445 # DEPENDENCYPART_ARC
(25,24),1.32645 # DEPENDENCYPART_ARC
(0,1),(0,15),-0.314302 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.10692 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.314302 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.433463 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0515139 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0509876 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.253302 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.332097 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0126125 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00333451 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00139211 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0763545 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00485737 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0101666 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00485737 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0235904 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0101666 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.00218243 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0863479 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0390209 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00864644 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0390209 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0368691 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00864644 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.00499969 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0423235 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0596079 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0423235 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0584283 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0596079 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0456072 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.013003 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0253263 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0226956 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.013003 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0125873 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0132885 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00816922 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0071266 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0027364 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0226956 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.013003 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0125873 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0299344 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0294243 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.0027364 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0265758 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.104009 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0244753 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0960959 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00936788 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0280538 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0358976 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0209518 # DEPENDENCYPART_SIBL
(5,3),(5,8),-1.17683e-05 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0019562 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0115288 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.013003 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.118125 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0516827 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.118125 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0446655 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00864644 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0390209 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0518181 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0358976 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0070149 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0182531 # DEPENDENCYPART_SIBL
(6,3),(6,8),-1.17683e-05 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0209518 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0452123 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0636399 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00197788 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0115288 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0019562 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0523056 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0182531 # DEPENDENCYPART_SIBL
(6,5),(6,8),-1.17683e-05 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0209518 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0452123 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.013003 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0253263 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.000710083 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0132885 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0138862 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.000710083 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0358976 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00739345 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00739345 # DEPENDENCYPART_SIBL
(7,3),(7,8),-9.92006e-05 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0210594 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0452997 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0537676 # DEPENDENCYPART_SIBL
(7,3),(7,16),-9.92006e-05 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.00708104 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0631909 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0631909 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0115288 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00197642 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0523056 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0268717 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0115288 # DEPENDENCYPART_SIBL
(7,4),(7,24),-0.000900558 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00739345 # DEPENDENCYPART_SIBL
(7,5),(7,8),-9.92006e-05 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0210594 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0452997 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0537676 # DEPENDENCYPART_SIBL
(7,5),(7,16),-9.92006e-05 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.00708104 # DEPENDENCYPART_SIBL
(7,6),(7,8),-9.92006e-05 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0210594 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0452997 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0537676 # DEPENDENCYPART_SIBL
(7,6),(7,16),-9.92006e-05 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.00708104 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0132784 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0138862 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00816922 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0071266 # DEPENDENCYPART_SIBL
(7,8),(7,24),-0.0027364 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.000710083 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0226956 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.013003 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.0125873 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0588442 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0597604 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.0462028 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0299344 # DEPENDENCYPART_SIBL
(7,13),(7,24),-0.0294243 # DEPENDENCYPART_SIBL
(7,16),(7,24),-0.0027364 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.000449382 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.118125 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0516827 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.118125 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.118125 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.115873 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00351641 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0518181 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0291654 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0368691 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00499969 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.00864644 # DEPENDENCYPART_SIBL
(9,2),(9,24),-0.00499969 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0358976 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0070149 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0070149 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.00633993 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0494898 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0452123 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.116537 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0536802 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00699361 # DEPENDENCYPART_SIBL
(9,3),(9,16),-1.17683e-05 # DEPENDENCYPART_SIBL
(9,3),(9,24),-0.00699361 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0636399 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0636399 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0586173 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0616787 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0523056 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0173885 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0268717 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.000900558 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0115288 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.000900558 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0070149 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00633993 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0494898 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0452123 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.116537 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0536802 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00699361 # DEPENDENCYPART_SIBL
(9,5),(9,16),-1.17683e-05 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.00699361 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.00633993 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0494898 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0452123 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.116537 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0536802 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00699361 # DEPENDENCYPART_SIBL
(9,6),(9,16),-1.17683e-05 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.00699361 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0423488 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0457777 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.115972 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0560047 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.00931817 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.00227961 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.00931817 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0403773 # DEPENDENCYPART_SIBL
(9,8),(9,12),-8.0486e-05 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0476615 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0101508 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0013416 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.0101508 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0626388 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0588442 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0462028 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0597604 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.0462028 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0548722 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0422327 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0542189 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.0422327 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0294243 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0299344 # DEPENDENCYPART_SIBL
(9,13),(9,24),-0.0294243 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0282225 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.0248625 # DEPENDENCYPART_SIBL
(9,16),(9,24),-0.0027364 # DEPENDENCYPART_SIBL
