# _root_ Sen donunu taşı , dedi Recep oğlana , kayığın üstünde _ unuttuğu donu _ gösterip .
#goldHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
#predictedHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
(3,2),(3,10),0.000922084 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0764637 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00144968 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0764637 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0201284 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0497688 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.094873 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0957602 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0957602 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0957602 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0632698 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0957602 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0632698 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0437099 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0497305 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0506177 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0506177 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0506177 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.038329 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0506177 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.038329 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0309498 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0573773 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0573773 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0573773 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0311497 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0573773 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0311497 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0164477 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0572542 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0572542 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0310266 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0572542 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0310266 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0113068 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0572542 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0310266 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0572542 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0310266 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0113068 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0310266 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0572542 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0310266 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0113068 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0793073 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0598273 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0513618 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0310266 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0113068 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0513618 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0588928 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0176419 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0395834 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0426693 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0438409 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0426693 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0438409 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0284316 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0458247 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00152082 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0586021 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00262664 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0586021 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.152454 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0572913 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.163558 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0645292 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.163558 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0126469 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0277436 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0126469 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0277436 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0374247 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0337201 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0374247 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0169632 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0301275 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0374247 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.08404 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0429568 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.180256 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0630911 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0699034 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0734792 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.071287 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0718146 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0763198 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.071287 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0763198 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.105314 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.119171 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00500902 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0859289 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00853634 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00393574 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0479118 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00255212 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00202451 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.105331 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00255212 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.105331 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00576531 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.082153 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0989184 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.139729 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.118443 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00870239 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.11706 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.115823 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0609602 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.11706 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0609602 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0850946 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0400647 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.148149 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.117643 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.289666 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.116259 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.115732 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0672069 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.11626 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0672069 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.227608 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.067809 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0792899 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.156221 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0792899 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0792899 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0136178 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0792899 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0136178 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0318605 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0255934 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.16505 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0791643 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0791643 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0134922 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0791643 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0134922 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0267221 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0308164 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.119266 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.119266 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0519781 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.119266 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0519781 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0311601 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.00862559 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0791643 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0134922 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0791643 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0134922 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0267221 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0308164 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0134922 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0791643 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0134922 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0267221 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0308164 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.110886 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0615635 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0591356 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0840886 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0134922 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0267221 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0308164 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0591356 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0840886 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.00775711 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0190006 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0974306 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0411485 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.114722 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0422696 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0335711 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0501931 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0772635 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0298728 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0740638 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0501882 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0597528 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00835976 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00835466 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0202763 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.183226 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.066432 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.168657 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00106531 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0314854 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0209569 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0209518 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0536802 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0190006 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0979483 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0997903 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0385844 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0411452 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0411503 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0272739 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.135192 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0206746 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0185161 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0422666 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0422724 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0569933 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.102282 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0401378 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0335678 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0335729 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0314046 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0314854 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0209571 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.020952 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0536893 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.057548 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.057548 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0486369 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0253263 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0226956 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0226956 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.128918 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.256858 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.188468 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.186812 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0648838 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.163558 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0645292 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.163558 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.114621 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0329367 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0267099 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0279063 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.111055 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0279063 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.111055 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.240352 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.238696 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0767311 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.167942 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0763765 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.167942 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.079828 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00262572 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0586116 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.00262572 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0586116 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00265949 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0586021 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00265949 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0586021 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0374247 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0337201 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0374247 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0169632 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0301275 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0374247 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0740659 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0501519 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0298728 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0086593 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0202763 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0664324 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.00835466 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.103429 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0102027 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0329136 # DEPENDENCYPART_SIBL
