# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,16,14,14,13,14,15,9,0,
(13,12),0.726979 # DEPENDENCYPART_ARC
(14,1),-0.857827 # DEPENDENCYPART_ARC
(14,2),-0.699518 # DEPENDENCYPART_ARC
(14,4),-0.923321 # DEPENDENCYPART_ARC
(14,5),-1.32471 # DEPENDENCYPART_ARC
(14,6),-0.731458 # DEPENDENCYPART_ARC
(14,7),-0.915162 # DEPENDENCYPART_ARC
(14,8),-1.37797 # DEPENDENCYPART_ARC
(14,9),-1.10951 # DEPENDENCYPART_ARC
(14,10),-0.344337 # DEPENDENCYPART_ARC
(14,11),-0.0301353 # DEPENDENCYPART_ARC
(14,12),-0.381678 # DEPENDENCYPART_ARC
(14,13),0.751495 # DEPENDENCYPART_ARC
(14,15),-0.179402 # DEPENDENCYPART_ARC
(14,16),-1.45911 # DEPENDENCYPART_ARC
(15,1),-0.883253 # DEPENDENCYPART_ARC
(15,2),-0.757316 # DEPENDENCYPART_ARC
(15,4),-0.648511 # DEPENDENCYPART_ARC
(15,7),-0.699146 # DEPENDENCYPART_ARC
(15,10),-0.560142 # DEPENDENCYPART_ARC
(15,11),-0.19924 # DEPENDENCYPART_ARC
(15,12),-0.400514 # DEPENDENCYPART_ARC
(15,13),-0.12696 # DEPENDENCYPART_ARC
(15,14),1.48004 # DEPENDENCYPART_ARC
(16,1),-0.626424 # DEPENDENCYPART_ARC
(16,2),-0.732483 # DEPENDENCYPART_ARC
(16,3),-2.31571 # DEPENDENCYPART_ARC
(16,5),-0.295377 # DEPENDENCYPART_ARC
(16,6),-1.34956 # DEPENDENCYPART_ARC
(16,7),-0.78074 # DEPENDENCYPART_ARC
(16,8),-1.10272 # DEPENDENCYPART_ARC
(16,9),-0.16954 # DEPENDENCYPART_ARC
(16,10),-0.989513 # DEPENDENCYPART_ARC
(16,11),-0.629873 # DEPENDENCYPART_ARC
(16,12),-0.954359 # DEPENDENCYPART_ARC
(16,13),-0.54588 # DEPENDENCYPART_ARC
(16,14),0.316139 # DEPENDENCYPART_ARC
(16,15),-0.0266124 # DEPENDENCYPART_ARC
(0,5),(0,6),-0.185371 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0499542 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0659615 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.185371 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.22556 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.00822809 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0479043 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0509876 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0126125 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.127797 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.342668 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.46889 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.185371 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.22556 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0126125 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0226956 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0253263 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0125873 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0226956 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0322674 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0294243 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.035505 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0125873 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0226956 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0304975 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0536802 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00543856 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0127734 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00662862 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0373243 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0127734 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00662862 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0127734 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00312396 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0699033 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00312377 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0127734 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00662862 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0373243 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0127734 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00662862 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0127734 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00277382 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0699033 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00277362 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00562024 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0726346 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00121166 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00562024 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00121166 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0133232 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0253089 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0133232 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0324766 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.024303 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0308301 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.024303 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0359792 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0420653 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0359792 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0728687 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0540562 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0728687 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0501895 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0683883 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0501895 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00562024 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00121166 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0133232 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0253089 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0133232 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.024303 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0359792 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0420653 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0359792 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0133232 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0253089 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0133232 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0222972 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0127374 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0566717 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0217378 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0246687 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0269906 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0803084 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0527743 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0803084 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0647261 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00183869 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0261804 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0071139 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0647261 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00183869 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0222823 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0760747 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0222823 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.071472 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0317593 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0706418 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0647261 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00183869 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0261804 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0071139 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0647261 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00183869 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0226325 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0760747 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0226325 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.071472 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.553839 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.122943 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00335948 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.160814 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0410904 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.122943 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00335948 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0108285 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.107125 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0108285 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.123219 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0647261 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00183869 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0261804 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0071139 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0647261 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00183869 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0226325 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0760747 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0226325 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.071472 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0957602 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0617427 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0497678 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0183824 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0957602 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0437099 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0632698 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0437099 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0276293 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0382475 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0123033 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0708375 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0572542 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0113068 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0310266 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0113068 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00773257 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0644024 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.110425 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.128781 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0885224 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0815255 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0885224 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.176155 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0267926 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0500265 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0309497 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0383289 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0309497 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0599024 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0957602 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0437099 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0632698 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0437099 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0276293 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0113068 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0310266 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0113068 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.00773257 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0160023 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.00516514 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0257081 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0513618 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0957621 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0257081 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0915653 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0499204 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0915653 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0356454 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00262664 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.033615 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00274273 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00262664 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0586021 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.056173 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0847705 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0325191 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00262664 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.033615 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00274273 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00262664 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0586021 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.408986 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.455969 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0668854 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.138055 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.112016 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0668854 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.166193 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0325191 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00262664 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.033615 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00274273 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00262664 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0586021 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0645292 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.139969 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0948339 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0645292 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.163558 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.032302 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00702889 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0337201 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0374247 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0411706 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00969202 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0265617 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0319635 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0372135 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0374247 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.359898 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.227738 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.223299 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0190006 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00571022 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.000195359 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.251155 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.265869 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0741846 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0777876 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0527743 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0777876 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0263884 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.154708 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0777876 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0881115 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00183869 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.103584 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0222823 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0760747 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0222823 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.071472 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0317593 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.068121 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0143212 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.157828 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.068121 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.091231 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.00183869 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.103584 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0226325 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0760747 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0226325 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.071472 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.551318 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.641515 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.444497 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.551318 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.335699 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.122943 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.00335948 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0575514 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0108285 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.107125 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0108285 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.123219 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0143212 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.157828 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.068121 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.091231 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00183869 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.103584 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0226325 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0760747 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0226325 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.071472 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.170371 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00102895 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0583692 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0881951 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0037541 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0644904 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0408207 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0926049 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0408207 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0907017 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0239486 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0995396 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0899436 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00827072 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.134413 # DEPENDENCYPART_SIBL
