# _root_ Fabrikayı yapacak _ olan , ekonomik faaliyetleri _ _ gerçekleştirecek _ olan , üretim _ yapacak _ olan _ firmalardır .
#goldHeads=2,3,4,5,12,7,9,9,10,11,12,13,18,15,16,17,18,19,20,21,0,
#predictedHeads=2,3,4,5,12,7,9,9,10,11,12,13,16,15,16,19,18,19,20,21,0,
(14,16),-0.713133 # DEPENDENCYPART_ARC
(14,17),-1.53948 # DEPENDENCYPART_ARC
(14,19),-1.26259 # DEPENDENCYPART_ARC
(15,1),-0.819417 # DEPENDENCYPART_ARC
(15,6),-1.81818 # DEPENDENCYPART_ARC
(15,7),-0.684979 # DEPENDENCYPART_ARC
(15,8),-2.88691 # DEPENDENCYPART_ARC
(15,9),-2.85743 # DEPENDENCYPART_ARC
(15,11),-1.88773 # DEPENDENCYPART_ARC
(15,12),-1.27034 # DEPENDENCYPART_ARC
(15,13),-0.489102 # DEPENDENCYPART_ARC
(15,14),0.933259 # DEPENDENCYPART_ARC
(15,17),-1.38729 # DEPENDENCYPART_ARC
(15,19),-1.29183 # DEPENDENCYPART_ARC
(15,20),-1.49083 # DEPENDENCYPART_ARC
(16,5),-0.41511 # DEPENDENCYPART_ARC
(16,7),-0.545434 # DEPENDENCYPART_ARC
(16,13),-0.177069 # DEPENDENCYPART_ARC
(16,14),0.471046 # DEPENDENCYPART_ARC
(16,15),1.59444 # DEPENDENCYPART_ARC
(17,7),-0.757931 # DEPENDENCYPART_ARC
(17,11),-3.07313 # DEPENDENCYPART_ARC
(17,12),-1.38597 # DEPENDENCYPART_ARC
(17,13),-0.646553 # DEPENDENCYPART_ARC
(17,14),-0.425054 # DEPENDENCYPART_ARC
(17,15),-0.650882 # DEPENDENCYPART_ARC
(17,16),0.168423 # DEPENDENCYPART_ARC
(17,19),-1.1059 # DEPENDENCYPART_ARC
(17,20),-1.55001 # DEPENDENCYPART_ARC
(18,13),-0.418777 # DEPENDENCYPART_ARC
(18,14),-0.465706 # DEPENDENCYPART_ARC
(18,16),-0.273279 # DEPENDENCYPART_ARC
(18,17),1.22986 # DEPENDENCYPART_ARC
(19,4),-1.24331 # DEPENDENCYPART_ARC
(19,6),-1.72055 # DEPENDENCYPART_ARC
(19,10),-1.23165 # DEPENDENCYPART_ARC
(19,12),-1.44492 # DEPENDENCYPART_ARC
(19,13),-0.756615 # DEPENDENCYPART_ARC
(19,14),-0.119781 # DEPENDENCYPART_ARC
(19,15),-1.76334 # DEPENDENCYPART_ARC
(19,16),-0.0865414 # DEPENDENCYPART_ARC
(19,17),-0.404719 # DEPENDENCYPART_ARC
(19,18),0.942679 # DEPENDENCYPART_ARC
(20,1),-0.37396 # DEPENDENCYPART_ARC
(20,2),-1.36077 # DEPENDENCYPART_ARC
(20,3),-4.97215 # DEPENDENCYPART_ARC
(20,4),-0.714653 # DEPENDENCYPART_ARC
(20,5),-0.994188 # DEPENDENCYPART_ARC
(20,7),-0.575833 # DEPENDENCYPART_ARC
(20,8),-3.53215 # DEPENDENCYPART_ARC
(20,9),-3.58325 # DEPENDENCYPART_ARC
(20,11),-2.92377 # DEPENDENCYPART_ARC
(20,12),-0.750908 # DEPENDENCYPART_ARC
(20,13),-0.410822 # DEPENDENCYPART_ARC
(20,14),0.0913744 # DEPENDENCYPART_ARC
(20,15),-1.47191 # DEPENDENCYPART_ARC
(20,17),-0.561181 # DEPENDENCYPART_ARC
(20,18),0.253714 # DEPENDENCYPART_ARC
(20,19),1.78843 # DEPENDENCYPART_ARC
(21,2),-1.35881 # DEPENDENCYPART_ARC
(21,3),-3.54057 # DEPENDENCYPART_ARC
(21,6),-1.2953 # DEPENDENCYPART_ARC
(21,8),-2.90109 # DEPENDENCYPART_ARC
(21,9),-2.54458 # DEPENDENCYPART_ARC
(21,11),-2.29908 # DEPENDENCYPART_ARC
(21,12),-1.19242 # DEPENDENCYPART_ARC
(21,13),-0.827747 # DEPENDENCYPART_ARC
(21,14),-0.402921 # DEPENDENCYPART_ARC
(21,15),-1.33469 # DEPENDENCYPART_ARC
(21,17),-0.593858 # DEPENDENCYPART_ARC
(21,18),-0.35362 # DEPENDENCYPART_ARC
(21,19),-0.89238 # DEPENDENCYPART_ARC
(21,20),1.50279 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.185371 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.185371 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.22556 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0509876 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0126125 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0304975 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0760747 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00183869 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0760747 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0760747 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0760747 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00183616 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0760747 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0793073 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0598273 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0598273 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0598273 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0793073 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0598273 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0310266 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0310266 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0310266 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0572542 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0310266 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0598273 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0598273 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0793073 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0598273 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0598273 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0793073 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0598273 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0793073 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0598273 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0310266 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.157461 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0217318 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0699033 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0699033 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0134778 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0854085 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0854085 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0417258 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0417258 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0638517 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.218838 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0111268 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.114393 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.039035 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.056173 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.108222 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0586021 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0586021 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.033615 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.261721 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.207189 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.163558 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.163558 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.139969 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.382516 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.166193 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.166193 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.138055 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0352657 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0352657 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0110551 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0301275 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0286604 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0286604 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.227279 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.171623 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0670519 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00450919 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0115401 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0361888 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.341709 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.227738 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.338679 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0470434 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0470434 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0928987 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0156935 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.185506 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00641042 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00641042 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.033857 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0238059 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0569933 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0569933 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0199186 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0053671 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0053671 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0404526 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.035505 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0180561 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0180561 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.17884 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.028011 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.1158 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00886898 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.082875 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0854085 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0854085 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0854085 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.547568 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.459699 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.525327 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.563222 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.116215 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.116215 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.116215 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0656604 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.168263 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.13697 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0754487 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0754487 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0754487 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0230384 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0125101 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.120576 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.120576 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.120576 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0427542 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0781812 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0781812 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0781812 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0699033 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0699033 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0699033 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0638517 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0638517 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0638517 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.157461 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.07014 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0532948 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.081844 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0875236 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0100792 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.07014 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0699033 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.17884 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.028011 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.1158 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.00886898 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.082875 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.17884 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0854085 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.547568 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.459699 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.525327 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.563222 # DEPENDENCYPART_SIBL
(9,3),(9,8),-1.19892 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.116215 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0656604 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.168263 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.13697 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0212908 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0754487 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0230384 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0125101 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.428719 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.120576 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0427542 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.00589101 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0781812 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0622767 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0699033 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.116215 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0146074 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0147082 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0136743 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0136743 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0399399 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.219204 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.219204 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0215425 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0215425 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.894418 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0532948 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.081844 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0875236 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0100792 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.07014 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.07014 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0841319 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0373243 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0127684 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0699033 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0699033 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0505711 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0656604 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.168263 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.13697 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0212908 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0212908 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.169088 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0849388 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.00988369 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0754487 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0754487 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.102506 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0230384 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0125101 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.428719 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.428719 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0262514 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0908939 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0108028 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.120576 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.120576 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0642176 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0427542 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.00589101 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.00589101 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0687924 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0801922 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00315357 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0781812 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0781812 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0977768 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0622767 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0622767 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0841286 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0373243 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0127684 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0699033 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0699033 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0505711 # DEPENDENCYPART_SIBL
(11,8),(11,9),-1.19892 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.525085 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.118712 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.000483866 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.116215 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.116215 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.119174 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.525085 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.118712 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.000483866 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.116215 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.116215 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.119174 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0801922 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00316467 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0781796 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0781796 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0977768 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0728687 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0683883 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0683883 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0341533 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0253089 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0253089 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0049745 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0638517 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.101043 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.101043 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.023099 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.00594748 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0860684 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0111268 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.036188 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0793526 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.169702 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0860684 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.00325856 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0143121 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.207189 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.207905 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.261721 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.261721 # DEPENDENCYPART_SIBL
