# _root_ Değişik yasalarda _ _ yapılacak _ değişiklikler ile askeri , ticari , _ _ bankacılık ve benzeri _ alanlardaki " sırların " kapsamı yeniden _ belirlenecek .
#goldHeads=2,5,4,5,7,7,8,23,21,0,21,0,14,15,16,17,19,19,21,0,23,0,26,26,26,27,0,
#predictedHeads=2,4,4,5,7,7,8,9,10,11,15,0,14,15,16,18,18,19,21,0,26,0,26,26,26,27,0,
(19,7),-0.290459 # DEPENDENCYPART_ARC
(19,10),-0.484421 # DEPENDENCYPART_ARC
(19,12),-0.221362 # DEPENDENCYPART_ARC
(19,13),-0.211429 # DEPENDENCYPART_ARC
(19,14),0.11097 # DEPENDENCYPART_ARC
(19,15),0.182807 # DEPENDENCYPART_ARC
(19,16),-0.400679 # DEPENDENCYPART_ARC
(19,17),-0.0743714 # DEPENDENCYPART_ARC
(19,18),2.12409 # DEPENDENCYPART_ARC
(19,21),-1.20337 # DEPENDENCYPART_ARC
(19,23),-1.33346 # DEPENDENCYPART_ARC
(20,4),-3.10616 # DEPENDENCYPART_ARC
(20,14),-2.21203 # DEPENDENCYPART_ARC
(20,15),-1.40845 # DEPENDENCYPART_ARC
(20,16),-0.976404 # DEPENDENCYPART_ARC
(20,17),-1.13418 # DEPENDENCYPART_ARC
(20,18),-1.49387 # DEPENDENCYPART_ARC
(20,19),0.138218 # DEPENDENCYPART_ARC
(20,21),-0.798735 # DEPENDENCYPART_ARC
(20,22),-1.12704 # DEPENDENCYPART_ARC
(20,23),-1.2472 # DEPENDENCYPART_ARC
(20,25),-1.48196 # DEPENDENCYPART_ARC
(20,26),-1.45441 # DEPENDENCYPART_ARC
(20,27),-1.31512 # DEPENDENCYPART_ARC
(21,1),-1.89923 # DEPENDENCYPART_ARC
(21,6),-3.95242 # DEPENDENCYPART_ARC
(21,8),-0.202782 # DEPENDENCYPART_ARC
(21,9),-1.33578 # DEPENDENCYPART_ARC
(21,10),-0.485642 # DEPENDENCYPART_ARC
(21,11),-1.28961 # DEPENDENCYPART_ARC
(21,12),-0.671506 # DEPENDENCYPART_ARC
(21,15),-1.21194 # DEPENDENCYPART_ARC
(21,16),-0.160015 # DEPENDENCYPART_ARC
(21,17),-0.64055 # DEPENDENCYPART_ARC
(21,18),-2.70098 # DEPENDENCYPART_ARC
(21,19),1.09239 # DEPENDENCYPART_ARC
(21,20),0.497717 # DEPENDENCYPART_ARC
(21,22),-0.450131 # DEPENDENCYPART_ARC
(21,23),-1.10928 # DEPENDENCYPART_ARC
(21,25),-1.39542 # DEPENDENCYPART_ARC
(21,26),-1.68359 # DEPENDENCYPART_ARC
(22,4),-3.33511 # DEPENDENCYPART_ARC
(22,11),-1.75396 # DEPENDENCYPART_ARC
(22,17),-1.75602 # DEPENDENCYPART_ARC
(22,19),-1.43798 # DEPENDENCYPART_ARC
(22,20),-1.38049 # DEPENDENCYPART_ARC
(22,21),0.251354 # DEPENDENCYPART_ARC
(22,23),-0.75765 # DEPENDENCYPART_ARC
(22,24),-1.00775 # DEPENDENCYPART_ARC
(22,25),-1.31184 # DEPENDENCYPART_ARC
(22,26),-1.27214 # DEPENDENCYPART_ARC
(22,27),-1.26354 # DEPENDENCYPART_ARC
(23,6),-4.69288 # DEPENDENCYPART_ARC
(23,8),-0.642378 # DEPENDENCYPART_ARC
(23,9),-1.82764 # DEPENDENCYPART_ARC
(23,10),-0.777943 # DEPENDENCYPART_ARC
(23,11),-1.74493 # DEPENDENCYPART_ARC
(23,12),-1.01162 # DEPENDENCYPART_ARC
(23,13),-3.43144 # DEPENDENCYPART_ARC
(23,14),-3.04451 # DEPENDENCYPART_ARC
(23,15),-1.22685 # DEPENDENCYPART_ARC
(23,16),-0.619222 # DEPENDENCYPART_ARC
(23,17),-1.0725 # DEPENDENCYPART_ARC
(23,18),-2.41422 # DEPENDENCYPART_ARC
(23,19),-0.111463 # DEPENDENCYPART_ARC
(23,20),-1.08754 # DEPENDENCYPART_ARC
(23,21),-1.06044 # DEPENDENCYPART_ARC
(23,22),0.0765179 # DEPENDENCYPART_ARC
(23,24),-0.659112 # DEPENDENCYPART_ARC
(23,25),-1.36109 # DEPENDENCYPART_ARC
(24,18),-1.82047 # DEPENDENCYPART_ARC
(24,20),-1.49111 # DEPENDENCYPART_ARC
(24,21),-1.84748 # DEPENDENCYPART_ARC
(24,22),-1.04972 # DEPENDENCYPART_ARC
(24,23),-0.242456 # DEPENDENCYPART_ARC
(25,7),-0.820066 # DEPENDENCYPART_ARC
(25,13),-4.31831 # DEPENDENCYPART_ARC
(25,14),-3.7358 # DEPENDENCYPART_ARC
(25,15),-1.09099 # DEPENDENCYPART_ARC
(25,16),-1.23474 # DEPENDENCYPART_ARC
(25,18),-2.32059 # DEPENDENCYPART_ARC
(25,19),-1.92151 # DEPENDENCYPART_ARC
(25,20),-1.29847 # DEPENDENCYPART_ARC
(25,21),-1.13954 # DEPENDENCYPART_ARC
(25,22),-0.873812 # DEPENDENCYPART_ARC
(25,23),-0.105039 # DEPENDENCYPART_ARC
(25,24),-0.00422331 # DEPENDENCYPART_ARC
(25,26),-0.636717 # DEPENDENCYPART_ARC
(26,2),-0.166284 # DEPENDENCYPART_ARC
(26,3),-4.92317 # DEPENDENCYPART_ARC
(26,4),-5.47427 # DEPENDENCYPART_ARC
(26,7),0.179551 # DEPENDENCYPART_ARC
(26,8),-0.755058 # DEPENDENCYPART_ARC
(26,9),-0.866138 # DEPENDENCYPART_ARC
(26,10),-0.752124 # DEPENDENCYPART_ARC
(26,11),-0.878716 # DEPENDENCYPART_ARC
(26,12),-0.81029 # DEPENDENCYPART_ARC
(26,13),-2.97572 # DEPENDENCYPART_ARC
(26,14),-2.42823 # DEPENDENCYPART_ARC
(26,15),-0.309284 # DEPENDENCYPART_ARC
(26,16),-0.533766 # DEPENDENCYPART_ARC
(26,17),-0.857553 # DEPENDENCYPART_ARC
(26,18),-1.06076 # DEPENDENCYPART_ARC
(26,19),-1.12811 # DEPENDENCYPART_ARC
(26,20),-0.614 # DEPENDENCYPART_ARC
(26,21),-0.686924 # DEPENDENCYPART_ARC
(26,22),-0.324159 # DEPENDENCYPART_ARC
(26,23),0.470042 # DEPENDENCYPART_ARC
(26,24),0.795035 # DEPENDENCYPART_ARC
(26,25),1.98598 # DEPENDENCYPART_ARC
(26,27),-1.4697 # DEPENDENCYPART_ARC
(27,1),-0.958752 # DEPENDENCYPART_ARC
(27,3),-4.2916 # DEPENDENCYPART_ARC
(27,4),-3.99185 # DEPENDENCYPART_ARC
(27,7),-0.918036 # DEPENDENCYPART_ARC
(27,8),-1.18975 # DEPENDENCYPART_ARC
(27,9),-0.938221 # DEPENDENCYPART_ARC
(27,11),-0.927104 # DEPENDENCYPART_ARC
(27,15),-0.785964 # DEPENDENCYPART_ARC
(27,16),-0.572139 # DEPENDENCYPART_ARC
(27,17),-0.999915 # DEPENDENCYPART_ARC
(27,18),-2.06585 # DEPENDENCYPART_ARC
(27,19),-0.872768 # DEPENDENCYPART_ARC
(27,20),-0.850801 # DEPENDENCYPART_ARC
(27,21),-0.653816 # DEPENDENCYPART_ARC
(27,22),-0.698304 # DEPENDENCYPART_ARC
(27,23),-0.44977 # DEPENDENCYPART_ARC
(27,24),-0.507898 # DEPENDENCYPART_ARC
(27,25),-0.154836 # DEPENDENCYPART_ARC
(27,26),1.60165 # DEPENDENCYPART_ARC
(0,10),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.275946 # DEPENDENCYPART_SIBL
(0,10),(0,22),0.275946 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.0126125 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.275946 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.275946 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.0126125 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.486135 # DEPENDENCYPART_SIBL
(0,20),(0,27),0.467632 # DEPENDENCYPART_SIBL
(0,22),(0,27),0.467632 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00620933 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0396069 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0180561 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0447431 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.102677 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0982638 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0447431 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0079443 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.102677 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.07014 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0982638 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0631166 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00421645 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00421645 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.885324 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0969413 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0969413 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.181162 # DEPENDENCYPART_SIBL
(6,3),(6,4),-1.06075 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.254515 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.254515 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0890722 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0132161 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0132161 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0812131 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.068464 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.120716 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0396072 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0470347 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0396072 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0457294 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0269906 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0269906 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0726719 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0688005 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.120585 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00374062 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0314854 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00374064 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.00699361 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.847465 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.360847 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.834172 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.241341 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0928984 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.082585 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0928987 # DEPENDENCYPART_SIBL
(7,3),(7,26),-0.00200102 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.360847 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.834172 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.241341 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0928984 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.082585 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0928987 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.00200102 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0102603 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.128503 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0368781 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0495679 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0368781 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.0430814 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.296907 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.052247 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0910354 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.052247 # DEPENDENCYPART_SIBL
(7,6),(7,26),0.0315399 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0427215 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0928948 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0427215 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.0492389 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0204264 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0172379 # DEPENDENCYPART_SIBL
(7,9),(7,26),-0.0251115 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0259771 # DEPENDENCYPART_SIBL
(7,10),(7,26),-0.0409097 # DEPENDENCYPART_SIBL
(7,11),(7,26),-0.0251113 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0079458 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0079458 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.116554 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.222037 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.55807 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.478452 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.278446 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.478452 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.278446 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.275911 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.00487297 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.00487297 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.115449 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0120085 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00108007 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.893201 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.699435 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.292075 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.113431 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.699435 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.292075 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.113431 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.262981 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.113217 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.00108007 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.128884 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0490471 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0490471 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.166915 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.128884 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0329035 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.114375 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.0423426 # DEPENDENCYPART_SIBL
(10,1),(10,26),-0.0182542 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.056173 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.056173 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.196137 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0847705 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0188198 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.108649 # DEPENDENCYPART_SIBL
(10,2),(10,25),-0.0586021 # DEPENDENCYPART_SIBL
(10,2),(10,26),-0.033615 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.788511 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.712658 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.408986 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0566496 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.380136 # DEPENDENCYPART_SIBL
(10,3),(10,25),-0.166193 # DEPENDENCYPART_SIBL
(10,3),(10,26),-0.138055 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.712658 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.408986 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0566496 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.380136 # DEPENDENCYPART_SIBL
(10,4),(10,25),-0.166193 # DEPENDENCYPART_SIBL
(10,4),(10,26),-0.138055 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.351056 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0664245 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.284593 # DEPENDENCYPART_SIBL
(10,6),(10,25),-0.044978 # DEPENDENCYPART_SIBL
(10,6),(10,26),-0.0163406 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0188198 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.108649 # DEPENDENCYPART_SIBL
(10,7),(10,25),-0.0586021 # DEPENDENCYPART_SIBL
(10,7),(10,26),-0.033615 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.004805 # DEPENDENCYPART_SIBL
(10,8),(10,25),-0.0261298 # DEPENDENCYPART_SIBL
(10,8),(10,26),-0.0178113 # DEPENDENCYPART_SIBL
(10,9),(10,25),-0.0427166 # DEPENDENCYPART_SIBL
(10,9),(10,26),-0.0185145 # DEPENDENCYPART_SIBL
(10,25),(10,26),-0.0286604 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.00675617 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00598274 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00598274 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.0139223 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.0139223 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0361888 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0361888 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.00273477 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.00273477 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0359525 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0307996 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.0307996 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0307996 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0307996 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.0237327 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.114375 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0788776 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.11795 # DEPENDENCYPART_SIBL
(12,1),(12,26),-0.0182542 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0791485 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.119107 # DEPENDENCYPART_SIBL
(12,9),(12,26),-0.0185145 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0379268 # DEPENDENCYPART_SIBL
(12,10),(12,26),-0.0740256 # DEPENDENCYPART_SIBL
(12,11),(12,26),-0.0182542 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.164909 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0365609 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0413078 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.025323 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0412544 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0263225 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.141893 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.112137 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.181706 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0330458 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.171346 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.030956 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.147411 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.030956 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0891497 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0554472 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.17542 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.036418 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.188844 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.0365609 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.164909 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.0365609 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0562434 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.346977 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.248615 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.328637 # DEPENDENCYPART_SIBL
