# _root_ Ancak , o bahçeye _ girmek büyük cesaret istiyormuş , çünkü orası _ güçlü bir cadıya _ aitmiş .
#goldHeads=5,0,4,5,6,9,8,9,10,18,18,18,14,16,16,17,18,19,0,
#predictedHeads=19,0,4,5,6,9,8,9,10,18,19,13,14,16,16,17,18,19,0,
(12,7),-1.56359 # DEPENDENCYPART_ARC
(12,8),-0.716428 # DEPENDENCYPART_ARC
(12,9),-2.13798 # DEPENDENCYPART_ARC
(12,10),-0.971689 # DEPENDENCYPART_ARC
(12,11),-0.519799 # DEPENDENCYPART_ARC
(12,13),-0.912429 # DEPENDENCYPART_ARC
(12,14),-1.50744 # DEPENDENCYPART_ARC
(12,15),-1.34682 # DEPENDENCYPART_ARC
(12,16),-1.16115 # DEPENDENCYPART_ARC
(12,17),-1.62325 # DEPENDENCYPART_ARC
(13,6),-1.53475 # DEPENDENCYPART_ARC
(13,7),-2.108 # DEPENDENCYPART_ARC
(13,8),-1.47375 # DEPENDENCYPART_ARC
(13,9),-2.57517 # DEPENDENCYPART_ARC
(13,10),-0.882585 # DEPENDENCYPART_ARC
(13,11),-0.92632 # DEPENDENCYPART_ARC
(13,12),0.650475 # DEPENDENCYPART_ARC
(13,14),-1.07823 # DEPENDENCYPART_ARC
(13,15),-0.87163 # DEPENDENCYPART_ARC
(13,17),-1.24363 # DEPENDENCYPART_ARC
(14,3),-1.21664 # DEPENDENCYPART_ARC
(14,5),-2.17515 # DEPENDENCYPART_ARC
(14,6),-1.003 # DEPENDENCYPART_ARC
(14,8),-0.95327 # DEPENDENCYPART_ARC
(14,9),-1.03654 # DEPENDENCYPART_ARC
(14,10),-0.768754 # DEPENDENCYPART_ARC
(14,11),-0.75966 # DEPENDENCYPART_ARC
(14,12),-0.106445 # DEPENDENCYPART_ARC
(14,13),1.49574 # DEPENDENCYPART_ARC
(14,16),-1.55136 # DEPENDENCYPART_ARC
(15,12),-1.54785 # DEPENDENCYPART_ARC
(15,13),-1.24127 # DEPENDENCYPART_ARC
(15,14),-0.558629 # DEPENDENCYPART_ARC
(16,1),-0.951138 # DEPENDENCYPART_ARC
(16,3),-1.31467 # DEPENDENCYPART_ARC
(16,4),-1.85825 # DEPENDENCYPART_ARC
(16,6),-1.56828 # DEPENDENCYPART_ARC
(16,7),-1.74524 # DEPENDENCYPART_ARC
(16,8),-1.42392 # DEPENDENCYPART_ARC
(16,9),-2.77028 # DEPENDENCYPART_ARC
(16,10),-0.750373 # DEPENDENCYPART_ARC
(16,11),-0.858259 # DEPENDENCYPART_ARC
(16,12),-0.80011 # DEPENDENCYPART_ARC
(16,13),-0.721502 # DEPENDENCYPART_ARC
(16,14),0.629222 # DEPENDENCYPART_ARC
(16,15),1.12565 # DEPENDENCYPART_ARC
(16,17),-1.05825 # DEPENDENCYPART_ARC
(17,10),-0.874131 # DEPENDENCYPART_ARC
(17,11),-0.457016 # DEPENDENCYPART_ARC
(17,12),-0.903127 # DEPENDENCYPART_ARC
(17,13),-0.892384 # DEPENDENCYPART_ARC
(17,14),-0.888324 # DEPENDENCYPART_ARC
(17,16),2.04573 # DEPENDENCYPART_ARC
(18,2),-0.945888 # DEPENDENCYPART_ARC
(18,3),-0.951559 # DEPENDENCYPART_ARC
(18,4),-1.15815 # DEPENDENCYPART_ARC
(18,5),-3.57565 # DEPENDENCYPART_ARC
(18,6),-0.770564 # DEPENDENCYPART_ARC
(18,8),-0.695256 # DEPENDENCYPART_ARC
(18,9),-1.16084 # DEPENDENCYPART_ARC
(18,10),0.0973747 # DEPENDENCYPART_ARC
(18,11),-0.121025 # DEPENDENCYPART_ARC
(18,12),0.122121 # DEPENDENCYPART_ARC
(18,13),-0.554826 # DEPENDENCYPART_ARC
(18,14),-0.243673 # DEPENDENCYPART_ARC
(18,15),-0.286154 # DEPENDENCYPART_ARC
(18,16),0.216655 # DEPENDENCYPART_ARC
(18,17),1.51924 # DEPENDENCYPART_ARC
(19,1),0.240924 # DEPENDENCYPART_ARC
(19,4),-0.879005 # DEPENDENCYPART_ARC
(19,5),-3.07106 # DEPENDENCYPART_ARC
(19,7),-0.980075 # DEPENDENCYPART_ARC
(19,8),-0.892339 # DEPENDENCYPART_ARC
(19,9),-0.559868 # DEPENDENCYPART_ARC
(19,10),-0.836254 # DEPENDENCYPART_ARC
(19,11),0.256667 # DEPENDENCYPART_ARC
(19,12),-0.671622 # DEPENDENCYPART_ARC
(19,13),-1.52026 # DEPENDENCYPART_ARC
(19,14),-0.581354 # DEPENDENCYPART_ARC
(19,15),-0.754319 # DEPENDENCYPART_ARC
(19,16),-0.65083 # DEPENDENCYPART_ARC
(19,17),-0.953098 # DEPENDENCYPART_ARC
(19,18),1.53651 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.314302 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.118647 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.314302 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.433463 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0479043 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0509876 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.185371 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.22556 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0142735 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0175597 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0175597 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.032302 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.032302 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0255374 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0475143 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0595301 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0235904 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00485737 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0276129 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0167686 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0682209 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0569933 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0422724 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0178144 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.000884396 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0411687 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00817239 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00874012 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0366992 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0322674 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0180561 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0283391 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00301631 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00554582 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0273861 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00926926 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0531254 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0553979 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0582882 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0475366 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0582804 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0898146 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0262929 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0125111 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0108116 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0317703 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0108194 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0905063 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.053932 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0418743 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0395677 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0418665 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0912997 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0127568 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0222318 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0127734 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0432566 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00306302 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00121166 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.022099 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0269707 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.053565 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.022099 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0475143 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0595301 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0502103 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.101039 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0276129 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0682209 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00647449 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.23126 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0178144 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.016813 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0596738 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00874012 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0192152 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0028375 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0919076 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0330874 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0506544 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.224161 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0506544 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.014073 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0682336 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0763311 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0682336 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00034652 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00985308 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0412972 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.108142 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.27991 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0296658 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.108142 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0475143 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0595301 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0502275 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0979358 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0502275 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0319261 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0425604 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0167686 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0682209 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.00649166 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.228157 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.00649166 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0377757 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0485693 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.000884396 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0168302 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0565705 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0168302 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0776071 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0593042 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0366992 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0269906 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00703944 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.116844 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0543876 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0106294 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.331033 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.352828 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.206716 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.021566 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.116844 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0543876 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0106294 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0685608 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00910334 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0550057 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0927778 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00835229 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.00253925 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0476556 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.00253925 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.000542755 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.00253925 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0889328 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0565529 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0411457 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0840761 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0411457 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0542465 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.11087 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0171391 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0214278 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.13294 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0214278 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0213449 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0214278 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0899436 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0321958 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00827072 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.107092 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.00827072 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0740269 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0680033 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00918491 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0102269 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00918491 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0415286 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.00918491 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0788701 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0524369 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0197389 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0673385 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0197389 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0477829 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0905167 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0317593 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0706664 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0257232 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0706418 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0782576 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00183869 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0671221 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.00183869 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.00885936 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.071472 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.553839 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.498384 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.553839 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.122943 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.168632 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00335948 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0693936 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.00335948 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.105164 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.123219 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.025728 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0706514 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0782576 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.00183869 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0671221 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.00183869 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.00885936 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.071472 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0615412 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0857601 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0836559 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00305813 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0594171 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00305813 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0687291 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.103024 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0647261 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0782576 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00183869 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0671221 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.00183869 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00885936 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.071472 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0509873 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0957602 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.109262 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0957602 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0659029 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0276293 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0898106 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.10515 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0898106 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0803364 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.139802 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0759775 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0572542 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0287707 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.00773257 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.086535 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0454128 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0435922 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0287707 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.00773257 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0681551 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0395898 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.00995155 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0100078 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0205593 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0100078 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.00374377 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0100078 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.133408 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.00181023 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0142735 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00597141 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0142735 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0175597 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0475242 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0370901 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.103363 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0370901 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0692566 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0370901 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0885901 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0614615 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0279063 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0649361 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0279063 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0740256 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0506973 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0267664 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0506973 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0189828 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0506973 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0213158 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0212109 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0132693 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0257171 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0132693 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.034664 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.056173 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.084795 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0978573 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0847705 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0325191 # DEPENDENCYPART_SIBL
