# _root_ Hannes_Alfven : Big_bang bir _ söylencedir , _ _ haksızlık etmeyelim , belki de iyi bir söylence .
#goldHeads=5,0,6,5,6,7,17,9,10,11,17,0,17,13,17,17,2,0,
#predictedHeads=6,0,5,5,6,7,11,9,10,11,12,17,17,13,17,17,18,0,
(6,5),(6,11),-0.0151519 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0140035 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00527488 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.086535 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0330645 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0136574 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.086535 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0123033 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00675471 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0572542 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0343834 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0500265 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.00509356 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0316492 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0340094 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.162215 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0958699 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0361876 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0624161 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0292962 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0136714 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0804858 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.153425 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0380256 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0223605 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.033615 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00274273 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.00262664 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0219116 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00840351 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0166876 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0415705 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.054732 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00206105 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.221142 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0292656 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0317015 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0199251 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.000270415 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0881183 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.139969 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0948339 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0645292 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.035425 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00966704 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0409912 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0411706 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00969202 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0319635 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0516281 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0200669 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0285216 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.00205161 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0355708 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0523451 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0245391 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0357706 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00781024 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0295043 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0222288 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.338468 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.33672 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0596329 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.338468 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0683269 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.113557 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00894894 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0275383 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.113557 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.00237326 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.140287 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.132234 # DEPENDENCYPART_SIBL
(9,5),(9,8),-1.12859 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0269239 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.00504023 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.14594 # DEPENDENCYPART_SIBL
(9,6),(9,17),-8.76564e-05 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.392235 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0163553 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0269239 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0654147 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0289055 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0943036 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.169407 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.187315 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0656379 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.169407 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0708727 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0314854 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.062287 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0106294 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0279525 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.00509058 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.25358 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0787859 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0084838 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.25358 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.223927 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0505452 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0115167 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00630211 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.078614 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.172786 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.177132 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0813275 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.172786 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0739986 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0314854 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0622849 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0106294 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.081087 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0100773 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0330808 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.081087 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.00272705 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0739834 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0412948 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0107783 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.287783 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.274376 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.936987 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.825072 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0754861 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.155302 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0407999 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0190006 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0530877 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0820455 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0385844 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00571022 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.00860455 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.321194 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.306425 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0185161 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.000195359 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.000884396 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.825072 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0754861 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.155302 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0407999 # DEPENDENCYPART_SIBL
