# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,10,10,11,13,13,14,15,20,17,20,20,20,21,0,
(10,16),-1.75742 # DEPENDENCYPART_ARC
(10,17),-1.32464 # DEPENDENCYPART_ARC
(10,18),-1.65451 # DEPENDENCYPART_ARC
(10,20),-1.349 # DEPENDENCYPART_ARC
(10,21),-1.87874 # DEPENDENCYPART_ARC
(11,2),-0.594646 # DEPENDENCYPART_ARC
(11,3),-0.611953 # DEPENDENCYPART_ARC
(11,7),-0.371941 # DEPENDENCYPART_ARC
(11,8),-0.278018 # DEPENDENCYPART_ARC
(11,9),-0.325155 # DEPENDENCYPART_ARC
(11,10),1.20348 # DEPENDENCYPART_ARC
(13,1),-0.797582 # DEPENDENCYPART_ARC
(13,2),-1.05816 # DEPENDENCYPART_ARC
(13,3),-0.573325 # DEPENDENCYPART_ARC
(13,6),-1.18547 # DEPENDENCYPART_ARC
(13,7),-0.48306 # DEPENDENCYPART_ARC
(13,8),-0.717527 # DEPENDENCYPART_ARC
(13,9),-0.499154 # DEPENDENCYPART_ARC
(13,10),-0.600953 # DEPENDENCYPART_ARC
(13,11),0.382076 # DEPENDENCYPART_ARC
(13,12),1.14812 # DEPENDENCYPART_ARC
(13,14),-1.03971 # DEPENDENCYPART_ARC
(13,15),-0.707229 # DEPENDENCYPART_ARC
(13,16),-1.64734 # DEPENDENCYPART_ARC
(13,18),-1.00861 # DEPENDENCYPART_ARC
(13,20),-1.83648 # DEPENDENCYPART_ARC
(14,1),-0.546374 # DEPENDENCYPART_ARC
(14,2),-0.896275 # DEPENDENCYPART_ARC
(14,3),-0.0935386 # DEPENDENCYPART_ARC
(14,4),-2.92889 # DEPENDENCYPART_ARC
(14,5),-3.29193 # DEPENDENCYPART_ARC
(14,6),-1.01263 # DEPENDENCYPART_ARC
(14,7),0.333855 # DEPENDENCYPART_ARC
(14,8),0.658283 # DEPENDENCYPART_ARC
(14,9),-0.550239 # DEPENDENCYPART_ARC
(14,10),-1.16099 # DEPENDENCYPART_ARC
(14,11),-0.566392 # DEPENDENCYPART_ARC
(14,12),-0.192183 # DEPENDENCYPART_ARC
(14,13),1.87177 # DEPENDENCYPART_ARC
(14,15),-1.28438 # DEPENDENCYPART_ARC
(14,16),-1.64657 # DEPENDENCYPART_ARC
(14,17),-1.44422 # DEPENDENCYPART_ARC
(14,18),-0.99971 # DEPENDENCYPART_ARC
(14,20),-1.65677 # DEPENDENCYPART_ARC
(14,21),-2.15995 # DEPENDENCYPART_ARC
(15,4),-3.37327 # DEPENDENCYPART_ARC
(15,5),-3.1366 # DEPENDENCYPART_ARC
(15,6),-1.68275 # DEPENDENCYPART_ARC
(15,8),-0.988216 # DEPENDENCYPART_ARC
(15,9),-1.45478 # DEPENDENCYPART_ARC
(15,10),-1.8883 # DEPENDENCYPART_ARC
(15,11),-1.20813 # DEPENDENCYPART_ARC
(15,12),-1.14033 # DEPENDENCYPART_ARC
(15,13),-0.756205 # DEPENDENCYPART_ARC
(15,14),0.939708 # DEPENDENCYPART_ARC
(15,16),-0.774203 # DEPENDENCYPART_ARC
(15,17),-0.766095 # DEPENDENCYPART_ARC
(15,18),-0.973073 # DEPENDENCYPART_ARC
(15,20),-1.11631 # DEPENDENCYPART_ARC
(15,21),-1.33329 # DEPENDENCYPART_ARC
(16,7),-1.66081 # DEPENDENCYPART_ARC
(16,8),-1.57913 # DEPENDENCYPART_ARC
(16,11),-2.04334 # DEPENDENCYPART_ARC
(16,12),-2.05398 # DEPENDENCYPART_ARC
(16,13),-1.36031 # DEPENDENCYPART_ARC
(16,14),-1.11497 # DEPENDENCYPART_ARC
(16,15),0.096143 # DEPENDENCYPART_ARC
(16,17),-0.555602 # DEPENDENCYPART_ARC
(16,18),-0.779277 # DEPENDENCYPART_ARC
(16,19),-0.64308 # DEPENDENCYPART_ARC
(16,20),-1.3039 # DEPENDENCYPART_ARC
(16,21),-1.72155 # DEPENDENCYPART_ARC
(17,7),-1.18119 # DEPENDENCYPART_ARC
(17,8),-1.18382 # DEPENDENCYPART_ARC
(17,13),-0.74079 # DEPENDENCYPART_ARC
(17,15),-0.498233 # DEPENDENCYPART_ARC
(17,16),1.49644 # DEPENDENCYPART_ARC
(17,19),-1.16878 # DEPENDENCYPART_ARC
(18,6),-2.22304 # DEPENDENCYPART_ARC
(18,9),-2.09286 # DEPENDENCYPART_ARC
(18,11),-1.81845 # DEPENDENCYPART_ARC
(18,12),-1.48576 # DEPENDENCYPART_ARC
(18,13),-1.64528 # DEPENDENCYPART_ARC
(18,14),-2.26924 # DEPENDENCYPART_ARC
(18,15),-1.17396 # DEPENDENCYPART_ARC
(18,16),-0.416811 # DEPENDENCYPART_ARC
(18,17),-0.71601 # DEPENDENCYPART_ARC
(18,19),-0.801766 # DEPENDENCYPART_ARC
(19,15),-0.965295 # DEPENDENCYPART_ARC
(19,17),-1.13074 # DEPENDENCYPART_ARC
(19,18),-1.05181 # DEPENDENCYPART_ARC
(20,1),-0.728422 # DEPENDENCYPART_ARC
(20,2),-1.50177 # DEPENDENCYPART_ARC
(20,5),-4.65957 # DEPENDENCYPART_ARC
(20,7),-1.10736 # DEPENDENCYPART_ARC
(20,8),-0.870766 # DEPENDENCYPART_ARC
(20,9),-1.24378 # DEPENDENCYPART_ARC
(20,10),-3.02217 # DEPENDENCYPART_ARC
(20,11),-1.45526 # DEPENDENCYPART_ARC
(20,12),-1.39936 # DEPENDENCYPART_ARC
(20,13),-0.993128 # DEPENDENCYPART_ARC
(20,14),-1.09273 # DEPENDENCYPART_ARC
(20,15),-0.163808 # DEPENDENCYPART_ARC
(20,16),-0.924373 # DEPENDENCYPART_ARC
(20,17),0.401483 # DEPENDENCYPART_ARC
(20,18),0.561222 # DEPENDENCYPART_ARC
(20,19),1.72048 # DEPENDENCYPART_ARC
(20,21),-1.15376 # DEPENDENCYPART_ARC
(21,5),-3.39293 # DEPENDENCYPART_ARC
(21,6),-1.38328 # DEPENDENCYPART_ARC
(21,9),-1.35791 # DEPENDENCYPART_ARC
(21,10),-2.37021 # DEPENDENCYPART_ARC
(21,11),-1.39253 # DEPENDENCYPART_ARC
(21,12),-0.973343 # DEPENDENCYPART_ARC
(21,13),-0.976113 # DEPENDENCYPART_ARC
(21,14),-0.519031 # DEPENDENCYPART_ARC
(21,15),-0.877115 # DEPENDENCYPART_ARC
(21,16),-1.00014 # DEPENDENCYPART_ARC
(21,17),-0.575518 # DEPENDENCYPART_ARC
(21,18),-0.663766 # DEPENDENCYPART_ARC
(21,19),-0.522797 # DEPENDENCYPART_ARC
(21,20),1.28733 # DEPENDENCYPART_ARC
(0,2),(0,14),-0.0479043 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0509876 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0126125 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.185371 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.22556 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0126125 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0494643 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0468694 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0468694 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0348128 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0468694 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0337441 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0301275 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0286604 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0301275 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0286604 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0286604 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0301275 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0286604 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0265623 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.025538 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0286604 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0517963 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0385538 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0385538 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0438004 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.00550986 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0569933 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0569933 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.000884396 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.000445715 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.035505 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0283391 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0294243 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0283391 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0294243 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0142738 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.149684 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0776389 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0756924 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.083959 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0191395 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0756924 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.122396 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0839612 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0125111 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.120576 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0108194 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.016535 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.120576 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.13611 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0108171 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0699033 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0127734 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00662836 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0699033 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00280372 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0111177 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0540475 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0518794 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0638517 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0566718 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0540475 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00562082 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0253089 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0133227 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.00121166 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.042066 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0359796 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0243032 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0566718 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0540475 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0208482 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.149684 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0776389 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0742537 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0756924 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.122396 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0125111 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.428719 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.120576 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.13611 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.07014 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0699033 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.00280372 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.116215 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0189457 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0566718 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0399399 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.223153 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.223153 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0038007 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0038007 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.893664 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0127293 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.121486 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.121486 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0818059 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0175397 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0480152 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0438004 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.00550986 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0269906 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0269906 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0915241 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0209518 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00374064 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0106294 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.00699361 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.847465 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.346606 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0257743 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0928987 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.021566 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.00200102 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.346606 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0257743 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0928987 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.021566 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.00200102 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0947404 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0396072 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00668235 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0457294 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00301631 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00554582 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0125873 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0273861 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0251113 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0142738 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0519813 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0160951 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.121672 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.121672 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0816208 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0160951 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0480152 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0385538 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0438006 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0175397 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.00550986 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0068742 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.229834 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.229834 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0195889 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0068742 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0199183 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0569937 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.000883488 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0422721 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.000446078 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0269906 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0269906 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0915241 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.00327906 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00374064 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0536802 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0106296 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0209518 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.00699361 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.847465 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.346606 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.327298 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0928987 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0470434 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0215661 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0257743 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00200102 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.346606 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.327298 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0928987 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0470434 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0215661 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0257743 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.00200102 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.097673 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0396072 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00620933 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.00668253 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0947404 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0457294 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00374064 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0536802 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0106296 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0209518 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.00699361 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0306978 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0273861 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0232643 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0251113 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0283391 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0322674 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0294243 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0111905 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0142738 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0125873 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.893201 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.226063 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.29125 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.29125 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0453404 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.226063 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.29125 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.29125 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0453404 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0910565 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0910564 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0140186 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0136888 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0557409 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0557409 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0776389 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0742537 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0742537 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0526923 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0776389 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0776105 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0526923 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.083959 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0191395 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.108238 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0756924 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.122396 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0839612 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0191392 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.124266 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.07014 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.07014 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0841319 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0108336 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0107485 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0841319 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0127734 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.00662836 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0373243 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0699033 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.00280372 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.0111177 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.00662862 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0505711 # DEPENDENCYPART_SIBL
(10,4),(10,5),-1.19892 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.525061 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.563221 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.56325 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.525061 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.000490241 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0434785 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.118712 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.116215 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0189457 # DEPENDENCYPART_SIBL
