# _root_ Ilık et suyunun yanında _ _ haşlanmış geyik eti , _ kızarmış ekmek , bir de ılık çay vardı masada .
#goldHeads=3,3,4,19,6,7,9,9,10,13,12,13,14,18,18,15,18,19,21,19,0,
#predictedHeads=2,3,4,6,6,7,9,9,19,0,12,13,19,0,18,15,18,19,21,19,0,
(12,18),-1.76984 # DEPENDENCYPART_ARC
(12,19),-1.49058 # DEPENDENCYPART_ARC
(12,20),-1.70557 # DEPENDENCYPART_ARC
(13,1),-1.70251 # DEPENDENCYPART_ARC
(13,6),-2.83826 # DEPENDENCYPART_ARC
(13,7),-1.03459 # DEPENDENCYPART_ARC
(13,8),-0.958071 # DEPENDENCYPART_ARC
(13,9),-1.167 # DEPENDENCYPART_ARC
(13,10),-0.324136 # DEPENDENCYPART_ARC
(13,11),-0.705131 # DEPENDENCYPART_ARC
(13,12),1.3469 # DEPENDENCYPART_ARC
(13,14),-0.991673 # DEPENDENCYPART_ARC
(13,15),-1.29283 # DEPENDENCYPART_ARC
(13,16),-1.22344 # DEPENDENCYPART_ARC
(13,17),-1.61453 # DEPENDENCYPART_ARC
(13,18),-1.71248 # DEPENDENCYPART_ARC
(13,19),-2.2247 # DEPENDENCYPART_ARC
(14,5),-3.16488 # DEPENDENCYPART_ARC
(14,6),-2.81017 # DEPENDENCYPART_ARC
(14,7),-1.75565 # DEPENDENCYPART_ARC
(14,10),-0.992995 # DEPENDENCYPART_ARC
(14,11),-1.07284 # DEPENDENCYPART_ARC
(14,12),-0.708953 # DEPENDENCYPART_ARC
(14,13),-0.105755 # DEPENDENCYPART_ARC
(14,18),-1.40937 # DEPENDENCYPART_ARC
(14,19),-1.56692 # DEPENDENCYPART_ARC
(14,20),-1.49513 # DEPENDENCYPART_ARC
(14,21),-1.57982 # DEPENDENCYPART_ARC
(15,13),-1.87913 # DEPENDENCYPART_ARC
(15,14),-0.789636 # DEPENDENCYPART_ARC
(15,16),0.827342 # DEPENDENCYPART_ARC
(16,9),-1.96322 # DEPENDENCYPART_ARC
(16,11),-1.55597 # DEPENDENCYPART_ARC
(16,12),-1.59389 # DEPENDENCYPART_ARC
(16,13),-1.78464 # DEPENDENCYPART_ARC
(16,15),-0.184408 # DEPENDENCYPART_ARC
(16,18),-0.949158 # DEPENDENCYPART_ARC
(17,11),-1.48757 # DEPENDENCYPART_ARC
(17,13),-1.75002 # DEPENDENCYPART_ARC
(17,14),-1.19126 # DEPENDENCYPART_ARC
(17,15),-0.876585 # DEPENDENCYPART_ARC
(17,16),-0.357514 # DEPENDENCYPART_ARC
(17,18),-0.620429 # DEPENDENCYPART_ARC
(17,20),-0.949645 # DEPENDENCYPART_ARC
(18,4),-1.68808 # DEPENDENCYPART_ARC
(18,8),-0.875177 # DEPENDENCYPART_ARC
(18,9),-0.846532 # DEPENDENCYPART_ARC
(18,10),-0.779613 # DEPENDENCYPART_ARC
(18,11),-2.09678 # DEPENDENCYPART_ARC
(18,12),-1.03038 # DEPENDENCYPART_ARC
(18,13),-1.10305 # DEPENDENCYPART_ARC
(18,14),-0.505689 # DEPENDENCYPART_ARC
(18,15),-0.278903 # DEPENDENCYPART_ARC
(18,16),-0.688608 # DEPENDENCYPART_ARC
(18,17),1.36008 # DEPENDENCYPART_ARC
(18,20),-1.20716 # DEPENDENCYPART_ARC
(19,2),-0.519387 # DEPENDENCYPART_ARC
(19,3),-1.37169 # DEPENDENCYPART_ARC
(19,4),-0.595281 # DEPENDENCYPART_ARC
(19,5),-3.66373 # DEPENDENCYPART_ARC
(19,6),-4.04567 # DEPENDENCYPART_ARC
(19,7),-1.30156 # DEPENDENCYPART_ARC
(19,8),-0.23191 # DEPENDENCYPART_ARC
(19,9),-0.320472 # DEPENDENCYPART_ARC
(19,10),-0.984406 # DEPENDENCYPART_ARC
(19,11),-2.05211 # DEPENDENCYPART_ARC
(19,12),-1.23029 # DEPENDENCYPART_ARC
(19,13),-0.396297 # DEPENDENCYPART_ARC
(19,14),-0.635741 # DEPENDENCYPART_ARC
(19,15),-0.83204 # DEPENDENCYPART_ARC
(19,16),-0.682279 # DEPENDENCYPART_ARC
(19,17),-0.220402 # DEPENDENCYPART_ARC
(19,18),1.69058 # DEPENDENCYPART_ARC
(19,20),0.80494 # DEPENDENCYPART_ARC
(19,21),-1.24625 # DEPENDENCYPART_ARC
(20,8),-1.54092 # DEPENDENCYPART_ARC
(20,9),-1.58778 # DEPENDENCYPART_ARC
(20,10),-1.06779 # DEPENDENCYPART_ARC
(20,13),-2.03707 # DEPENDENCYPART_ARC
(20,14),-0.82386 # DEPENDENCYPART_ARC
(20,15),-1.09411 # DEPENDENCYPART_ARC
(20,16),-1.40202 # DEPENDENCYPART_ARC
(20,17),-0.849089 # DEPENDENCYPART_ARC
(20,18),-0.380363 # DEPENDENCYPART_ARC
(20,19),-0.0144738 # DEPENDENCYPART_ARC
(20,21),-0.643039 # DEPENDENCYPART_ARC
(21,1),-1.10337 # DEPENDENCYPART_ARC
(21,5),-3.17606 # DEPENDENCYPART_ARC
(21,6),-2.92144 # DEPENDENCYPART_ARC
(21,7),-1.08279 # DEPENDENCYPART_ARC
(21,9),-0.990134 # DEPENDENCYPART_ARC
(21,11),-2.09572 # DEPENDENCYPART_ARC
(21,12),-1.0599 # DEPENDENCYPART_ARC
(21,13),-0.997469 # DEPENDENCYPART_ARC
(21,14),-0.868302 # DEPENDENCYPART_ARC
(21,15),-0.778634 # DEPENDENCYPART_ARC
(21,16),-0.521471 # DEPENDENCYPART_ARC
(21,17),-0.645783 # DEPENDENCYPART_ARC
(21,18),-0.761578 # DEPENDENCYPART_ARC
(21,19),1.13625 # DEPENDENCYPART_ARC
(21,20),-0.0559272 # DEPENDENCYPART_ARC
(0,10),(0,14),-0.0509876 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.00822809 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0126125 # DEPENDENCYPART_SIBL
(0,14),(0,16),0.00822809 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0126125 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.46889 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0237327 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0241488 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0237327 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0241488 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0237327 # DEPENDENCYPART_SIBL
(1,18),(1,20),-0.0237327 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0947404 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00668235 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00554582 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.088962 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.079629 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.079629 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00626866 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00674166 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00971207 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.04525 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00219922 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.04525 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00219922 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0283391 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0108336 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0100988 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0217318 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.00500475 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0100988 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0217318 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00500475 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0309793 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.00426026 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0302142 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0447493 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0447493 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0309893 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00794182 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0345515 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00279087 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0345515 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0112386 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0108336 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0100988 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0217318 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0121474 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0217318 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00500475 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0100988 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.07014 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0217318 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0121474 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0217318 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00500475 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.134638 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0309793 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00325484 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0309793 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.00426026 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00978489 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.000243259 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00978489 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0446824 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0264958 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0276351 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0302142 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00313338 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.00586876 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.0302142 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.091085 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.091085 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0874121 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00885574 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00885574 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0140007 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0139981 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00763817 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0116805 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0134992 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0134992 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0571954 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0669006 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0116805 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0134992 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0134992 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0571954 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0669006 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0720407 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0720407 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0698077 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0795129 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.900243 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0455425 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0364816 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0455425 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0364816 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0237327 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0901798 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0901798 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.102252 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0113474 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0113474 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.102642 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0931782 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0471038 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.00668668 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00811405 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.020712 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0262639 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0262639 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.10786 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0225213 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0315582 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0106375 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.020712 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0262639 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0262639 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.10786 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0225213 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0315582 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0106375 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.000727342 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.000727342 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.10267 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0251394 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0315892 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0106466 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.847494 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.341082 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0242037 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0826583 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0215745 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.341082 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0242037 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0826583 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0215745 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0931782 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0471038 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00668668 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0343702 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.00558313 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0337618 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.116629 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.116629 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.128701 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.00774376 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00774376 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.118424 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.184464 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0470347 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00620933 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0947126 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0455916 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0226233 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0514494 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0365014 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0365014 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.142221 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0715912 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0338918 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0560865 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0233674 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0096766 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0514494 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0365014 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0365014 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.142221 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0715912 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0338918 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0560865 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0233674 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0096766 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0109649 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0109649 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.137031 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0683638 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0339227 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0561062 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0259854 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.00969963 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.847465 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.328958 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.277432 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.082585 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0470434 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.025765 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.00226706 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.328958 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.277432 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.082585 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0470434 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.025765 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.00226706 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.22355 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0470347 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00620933 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0947126 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0455916 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0345541 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.056749 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0205455 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.010339 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0486369 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0428123 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0409097 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0175317 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0294243 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0126431 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.129985 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0490471 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0490471 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.114683 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.119482 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.128882 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0423426 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0140316 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0190349 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0185595 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.0236983 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0878579 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0878579 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.107617 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.088123 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0886643 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0586153 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00373135 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.00276897 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0340862 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.00956706 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.788511 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.380117 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.41302 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.410148 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.166193 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0175238 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.112016 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.13879 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0580038 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.380117 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.41302 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.410148 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.166193 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0175238 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.112016 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.13879 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0580038 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.108452 # DEPENDENCYPART_SIBL
