# _root_ Çam fidanı , _ süslü eşyalarla dolu _ olan bu salonda doğadan , topraktan _ iyice _ uzaklaşmıştı .
#goldHeads=2,18,0,5,6,7,8,9,11,11,18,13,14,18,16,18,18,19,0,
#predictedHeads=2,18,0,5,6,8,8,9,11,11,12,18,0,18,16,18,18,19,0,
(8,16),-1.41295 # DEPENDENCYPART_ARC
(8,18),-1.57279 # DEPENDENCYPART_ARC
(8,19),-1.91666 # DEPENDENCYPART_ARC
(9,1),-0.987588 # DEPENDENCYPART_ARC
(9,2),-1.23497 # DEPENDENCYPART_ARC
(9,3),-0.601894 # DEPENDENCYPART_ARC
(9,4),-0.762153 # DEPENDENCYPART_ARC
(9,5),-0.770624 # DEPENDENCYPART_ARC
(9,6),-0.462425 # DEPENDENCYPART_ARC
(9,7),-0.356491 # DEPENDENCYPART_ARC
(9,8),1.2194 # DEPENDENCYPART_ARC
(11,3),-1.15045 # DEPENDENCYPART_ARC
(11,4),-2.24009 # DEPENDENCYPART_ARC
(11,5),-1.00313 # DEPENDENCYPART_ARC
(11,6),-1.38205 # DEPENDENCYPART_ARC
(11,7),-0.756738 # DEPENDENCYPART_ARC
(11,8),-1.07107 # DEPENDENCYPART_ARC
(11,9),0.0765311 # DEPENDENCYPART_ARC
(11,10),0.868754 # DEPENDENCYPART_ARC
(11,12),-1.52792 # DEPENDENCYPART_ARC
(11,13),-1.05161 # DEPENDENCYPART_ARC
(11,14),-1.96347 # DEPENDENCYPART_ARC
(11,15),-1.60542 # DEPENDENCYPART_ARC
(11,18),-1.80097 # DEPENDENCYPART_ARC
(12,1),-1.7378 # DEPENDENCYPART_ARC
(12,3),-0.551168 # DEPENDENCYPART_ARC
(12,4),-2.73781 # DEPENDENCYPART_ARC
(12,5),-0.788334 # DEPENDENCYPART_ARC
(12,6),-1.65768 # DEPENDENCYPART_ARC
(12,7),-0.814839 # DEPENDENCYPART_ARC
(12,8),-1.51105 # DEPENDENCYPART_ARC
(12,9),-0.169152 # DEPENDENCYPART_ARC
(12,10),-0.169485 # DEPENDENCYPART_ARC
(12,11),0.218219 # DEPENDENCYPART_ARC
(12,13),-0.810274 # DEPENDENCYPART_ARC
(12,14),-1.86654 # DEPENDENCYPART_ARC
(12,15),-1.58135 # DEPENDENCYPART_ARC
(12,18),-2.11212 # DEPENDENCYPART_ARC
(13,5),-1.46337 # DEPENDENCYPART_ARC
(13,6),-1.02526 # DEPENDENCYPART_ARC
(13,7),-1.34959 # DEPENDENCYPART_ARC
(13,8),-1.46524 # DEPENDENCYPART_ARC
(13,9),-1.19881 # DEPENDENCYPART_ARC
(13,10),-1.20054 # DEPENDENCYPART_ARC
(13,11),-0.836377 # DEPENDENCYPART_ARC
(13,12),0.388865 # DEPENDENCYPART_ARC
(13,14),-0.729155 # DEPENDENCYPART_ARC
(13,16),-1.11623 # DEPENDENCYPART_ARC
(13,18),-1.42582 # DEPENDENCYPART_ARC
(13,19),-1.41529 # DEPENDENCYPART_ARC
(14,7),-1.93461 # DEPENDENCYPART_ARC
(14,8),-2.29326 # DEPENDENCYPART_ARC
(14,9),-1.34966 # DEPENDENCYPART_ARC
(14,10),-1.48911 # DEPENDENCYPART_ARC
(14,11),-2.21886 # DEPENDENCYPART_ARC
(14,12),-1.65169 # DEPENDENCYPART_ARC
(14,13),-0.409617 # DEPENDENCYPART_ARC
(14,15),-0.98189 # DEPENDENCYPART_ARC
(14,16),-0.934721 # DEPENDENCYPART_ARC
(14,17),-1.43452 # DEPENDENCYPART_ARC
(15,8),-2.45918 # DEPENDENCYPART_ARC
(15,11),-1.53965 # DEPENDENCYPART_ARC
(15,12),-1.51575 # DEPENDENCYPART_ARC
(15,13),-0.92202 # DEPENDENCYPART_ARC
(15,14),0.176988 # DEPENDENCYPART_ARC
(15,16),-0.310864 # DEPENDENCYPART_ARC
(16,1),-1.54372 # DEPENDENCYPART_ARC
(16,2),-1.47513 # DEPENDENCYPART_ARC
(16,6),-1.44387 # DEPENDENCYPART_ARC
(16,11),-1.37133 # DEPENDENCYPART_ARC
(16,12),-1.48227 # DEPENDENCYPART_ARC
(16,13),-0.492998 # DEPENDENCYPART_ARC
(16,14),-0.521607 # DEPENDENCYPART_ARC
(16,15),0.535157 # DEPENDENCYPART_ARC
(17,4),-3.05988 # DEPENDENCYPART_ARC
(17,8),-2.6233 # DEPENDENCYPART_ARC
(17,10),-1.22661 # DEPENDENCYPART_ARC
(17,11),-0.934359 # DEPENDENCYPART_ARC
(17,12),-1.07474 # DEPENDENCYPART_ARC
(17,13),-0.739485 # DEPENDENCYPART_ARC
(17,14),-0.470877 # DEPENDENCYPART_ARC
(17,15),-0.242015 # DEPENDENCYPART_ARC
(17,16),0.526428 # DEPENDENCYPART_ARC
(18,1),-0.0635676 # DEPENDENCYPART_ARC
(18,2),0.034788 # DEPENDENCYPART_ARC
(18,3),-1.30604 # DEPENDENCYPART_ARC
(18,4),-2.9587 # DEPENDENCYPART_ARC
(18,5),-0.602284 # DEPENDENCYPART_ARC
(18,6),0.365929 # DEPENDENCYPART_ARC
(18,7),-0.886889 # DEPENDENCYPART_ARC
(18,8),-3.31958 # DEPENDENCYPART_ARC
(18,9),-0.891869 # DEPENDENCYPART_ARC
(18,10),-1.17496 # DEPENDENCYPART_ARC
(18,11),-0.315126 # DEPENDENCYPART_ARC
(18,12),-0.288656 # DEPENDENCYPART_ARC
(18,13),-0.556618 # DEPENDENCYPART_ARC
(18,14),0.560565 # DEPENDENCYPART_ARC
(18,15),-0.550183 # DEPENDENCYPART_ARC
(18,16),0.776003 # DEPENDENCYPART_ARC
(18,17),1.41735 # DEPENDENCYPART_ARC
(18,19),-1.60554 # DEPENDENCYPART_ARC
(19,1),-0.688817 # DEPENDENCYPART_ARC
(19,2),-0.747579 # DEPENDENCYPART_ARC
(19,5),-1.10013 # DEPENDENCYPART_ARC
(19,6),-0.781068 # DEPENDENCYPART_ARC
(19,7),-1.20332 # DEPENDENCYPART_ARC
(19,8),-2.53532 # DEPENDENCYPART_ARC
(19,9),-1.29711 # DEPENDENCYPART_ARC
(19,11),-0.914146 # DEPENDENCYPART_ARC
(19,12),-0.833374 # DEPENDENCYPART_ARC
(19,13),-0.913906 # DEPENDENCYPART_ARC
(19,14),-0.59659 # DEPENDENCYPART_ARC
(19,15),-1.08546 # DEPENDENCYPART_ARC
(19,16),-0.371106 # DEPENDENCYPART_ARC
(19,17),-0.790072 # DEPENDENCYPART_ARC
(19,18),1.40528 # DEPENDENCYPART_ARC
(0,3),(0,13),-0.0509876 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0126125 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00301631 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0253263 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.013003 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0125873 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0232643 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0289825 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0251113 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.013003 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0125873 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0027364 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0676383 # DEPENDENCYPART_SIBL
(2,1),(2,10),-1.17683e-05 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00699361 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0147148 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0171491 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0027364 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0847705 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.033615 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.033615 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0103456 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0147661 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0128986 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0240434 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.030108 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0293698 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0137174 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0163507 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.181383 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0163507 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.181383 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.179845 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0070149 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0656379 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.16734 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0915241 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00187493 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0536802 # DEPENDENCYPART_SIBL
(6,1),(6,10),-1.17683e-05 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.00699361 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0656379 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.16734 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0915241 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00187493 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0536802 # DEPENDENCYPART_SIBL
(6,2),(6,10),-1.17683e-05 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.00699361 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.319127 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0212658 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0176347 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0569933 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0347988 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.000445715 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.327106 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0145148 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0734496 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0172224 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0211832 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0376142 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00620933 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.000396011 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0457294 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0309566 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0292413 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0253702 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0299344 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0294243 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0027364 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0590041 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.10378 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.160781 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.00304639 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00304639 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00304639 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.159664 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.262757 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0216376 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0216376 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0216376 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.131161 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0137897 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0137897 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0137897 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0567387 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0567387 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0567387 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0237529 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0237529 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0237529 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0108336 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.081844 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.210289 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0841319 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0108336 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0671091 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0127734 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0127734 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0373243 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0127734 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.00277508 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.00662862 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0505711 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.081844 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.210289 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0841319 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0108336 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0671091 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0127734 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0127734 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0373243 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0127734 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.00277508 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.00662862 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0505711 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.430132 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0262514 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0125111 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0204024 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0108194 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0108194 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0908939 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0108194 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.136123 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0162046 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0642176 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.430316 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.636019 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.447339 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.000642045 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.000642045 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0883332 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.000642045 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0603442 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0176964 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0993489 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0447493 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0590784 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.00317052 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.00317052 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0801922 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.00317052 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0227595 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0100539 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0977768 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0671091 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0127734 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0127734 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0373243 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0127734 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00277508 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.00662862 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0505711 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00204259 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.00204259 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0801922 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.00204259 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0227595 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0100539 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0977768 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.00121166 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0726346 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.00121166 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0133232 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.00562024 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0049745 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0726346 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.00121166 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0133232 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.00562024 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0049745 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0728687 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0501895 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0540562 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0341533 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.0133232 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.00562024 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0049745 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0105343 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0334094 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0648523 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.00519504 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.023099 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.202708 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0860684 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00519504 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0738332 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0111268 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.023099 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.202708 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0860684 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.00519504 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0738332 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0111268 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.167855 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0793526 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.036188 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0782953 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.169702 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.17265 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.359406 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.184885 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.736357 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0841797 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.152207 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0143121 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0738332 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0111268 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0115356 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.319234 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0204565 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.00638472 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0116091 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.228157 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.060426 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0298608 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0422724 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0185161 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0422724 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.036629 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.000445715 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.327986 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.439168 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.35606 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.783711 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.314156 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.309548 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0363278 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0754861 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0363278 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.035886 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0211832 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0879833 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0764592 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0141294 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0672742 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.1452 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0947402 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0470348 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0947402 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0123316 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0457294 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0625708 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0269557 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.1052 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0495967 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0209518 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0314854 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0209518 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0429459 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.00699361 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0240872 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.062328 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.140237 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0927066 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0474876 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0927066 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0127845 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0452765 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.341618 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.184871 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0257742 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.082585 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0257742 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0478564 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00200102 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.174662 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0844771 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.049706 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0844771 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0182018 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0584921 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.00336271 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.094499 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00336271 # DEPENDENCYPART_SIBL
