# _root_ Ana'nın _ orada_olmadığını _ söyledikten sonra ben , buna ne inanırmış , ne de inanmazmış gibi bir tavır takındım .
#goldHeads=2,3,4,5,6,19,15,0,15,11,18,0,15,13,16,18,18,19,20,0,
#predictedHeads=3,3,4,5,6,11,11,0,11,11,12,19,15,13,16,19,18,19,20,0,
(7,14),-0.295512 # DEPENDENCYPART_ARC
(8,1),-1.07218 # DEPENDENCYPART_ARC
(8,2),-1.8121 # DEPENDENCYPART_ARC
(8,4),-1.11531 # DEPENDENCYPART_ARC
(8,6),-1.15066 # DEPENDENCYPART_ARC
(8,7),-0.471646 # DEPENDENCYPART_ARC
(8,10),-0.620425 # DEPENDENCYPART_ARC
(8,11),-0.93461 # DEPENDENCYPART_ARC
(8,12),-1.01439 # DEPENDENCYPART_ARC
(8,15),-1.04772 # DEPENDENCYPART_ARC
(8,18),-0.96157 # DEPENDENCYPART_ARC
(8,19),-1.03597 # DEPENDENCYPART_ARC
(9,8),-0.701335 # DEPENDENCYPART_ARC
(10,5),-1.90877 # DEPENDENCYPART_ARC
(10,6),-1.45606 # DEPENDENCYPART_ARC
(10,7),-1.37498 # DEPENDENCYPART_ARC
(10,8),-1.05088 # DEPENDENCYPART_ARC
(11,1),-1.40336 # DEPENDENCYPART_ARC
(11,2),-2.5316 # DEPENDENCYPART_ARC
(11,3),-0.213128 # DEPENDENCYPART_ARC
(11,4),-1.74264 # DEPENDENCYPART_ARC
(11,5),-0.621559 # DEPENDENCYPART_ARC
(11,6),0.395559 # DEPENDENCYPART_ARC
(11,7),0.469778 # DEPENDENCYPART_ARC
(11,8),-0.115738 # DEPENDENCYPART_ARC
(11,9),1.27313 # DEPENDENCYPART_ARC
(11,10),1.03975 # DEPENDENCYPART_ARC
(11,12),-1.20671 # DEPENDENCYPART_ARC
(11,13),-0.946567 # DEPENDENCYPART_ARC
(11,14),-1.08816 # DEPENDENCYPART_ARC
(11,15),-1.70447 # DEPENDENCYPART_ARC
(11,16),-1.1769 # DEPENDENCYPART_ARC
(11,18),-1.45885 # DEPENDENCYPART_ARC
(11,19),-2.38873 # DEPENDENCYPART_ARC
(11,20),-2.06287 # DEPENDENCYPART_ARC
(12,2),-3.0076 # DEPENDENCYPART_ARC
(12,4),-2.503 # DEPENDENCYPART_ARC
(12,6),-1.30344 # DEPENDENCYPART_ARC
(12,7),-1.49803 # DEPENDENCYPART_ARC
(12,8),-0.984618 # DEPENDENCYPART_ARC
(12,10),-0.907324 # DEPENDENCYPART_ARC
(12,11),0.837522 # DEPENDENCYPART_ARC
(12,13),-0.704472 # DEPENDENCYPART_ARC
(12,15),-1.15101 # DEPENDENCYPART_ARC
(12,16),-0.89568 # DEPENDENCYPART_ARC
(12,18),-1.18092 # DEPENDENCYPART_ARC
(12,19),-1.28473 # DEPENDENCYPART_ARC
(13,7),-1.73552 # DEPENDENCYPART_ARC
(13,12),-0.727484 # DEPENDENCYPART_ARC
(13,14),1.11602 # DEPENDENCYPART_ARC
(14,11),-1.26823 # DEPENDENCYPART_ARC
(14,13),-0.397056 # DEPENDENCYPART_ARC
(15,1),-2.09066 # DEPENDENCYPART_ARC
(15,2),-3.20733 # DEPENDENCYPART_ARC
(15,3),-0.446241 # DEPENDENCYPART_ARC
(15,4),-2.32814 # DEPENDENCYPART_ARC
(15,5),-0.878251 # DEPENDENCYPART_ARC
(15,6),-0.328163 # DEPENDENCYPART_ARC
(15,7),-0.126892 # DEPENDENCYPART_ARC
(15,8),-0.893555 # DEPENDENCYPART_ARC
(15,9),-0.102785 # DEPENDENCYPART_ARC
(15,10),-0.73671 # DEPENDENCYPART_ARC
(15,11),-0.448401 # DEPENDENCYPART_ARC
(15,12),-0.154525 # DEPENDENCYPART_ARC
(15,13),0.144692 # DEPENDENCYPART_ARC
(15,14),-0.00795227 # DEPENDENCYPART_ARC
(15,16),-0.700845 # DEPENDENCYPART_ARC
(15,18),-0.940066 # DEPENDENCYPART_ARC
(15,19),-1.65534 # DEPENDENCYPART_ARC
(15,20),-1.72119 # DEPENDENCYPART_ARC
(16,8),-1.06853 # DEPENDENCYPART_ARC
(16,10),-1.16938 # DEPENDENCYPART_ARC
(16,12),-0.809696 # DEPENDENCYPART_ARC
(16,13),-0.655976 # DEPENDENCYPART_ARC
(16,14),-0.500332 # DEPENDENCYPART_ARC
(16,15),1.27172 # DEPENDENCYPART_ARC
(16,18),-0.963252 # DEPENDENCYPART_ARC
(17,14),-1.17243 # DEPENDENCYPART_ARC
(18,5),-1.55632 # DEPENDENCYPART_ARC
(18,6),-0.984175 # DEPENDENCYPART_ARC
(18,7),-0.851196 # DEPENDENCYPART_ARC
(18,8),-0.780338 # DEPENDENCYPART_ARC
(18,9),-1.53087 # DEPENDENCYPART_ARC
(18,10),-0.943328 # DEPENDENCYPART_ARC
(18,11),-2.11068 # DEPENDENCYPART_ARC
(18,12),-0.644749 # DEPENDENCYPART_ARC
(18,13),-0.612819 # DEPENDENCYPART_ARC
(18,14),-1.13971 # DEPENDENCYPART_ARC
(18,15),-1.76833 # DEPENDENCYPART_ARC
(18,16),-0.0908206 # DEPENDENCYPART_ARC
(18,17),1.16304 # DEPENDENCYPART_ARC
(19,1),-1.65159 # DEPENDENCYPART_ARC
(19,2),-3.68193 # DEPENDENCYPART_ARC
(19,3),-1.27063 # DEPENDENCYPART_ARC
(19,4),-3.02487 # DEPENDENCYPART_ARC
(19,5),-1.46845 # DEPENDENCYPART_ARC
(19,6),-0.205536 # DEPENDENCYPART_ARC
(19,7),-0.057068 # DEPENDENCYPART_ARC
(19,8),-0.855984 # DEPENDENCYPART_ARC
(19,9),-0.520712 # DEPENDENCYPART_ARC
(19,10),-0.944422 # DEPENDENCYPART_ARC
(19,11),-0.668189 # DEPENDENCYPART_ARC
(19,12),0.0578876 # DEPENDENCYPART_ARC
(19,13),-0.20151 # DEPENDENCYPART_ARC
(19,14),-0.632564 # DEPENDENCYPART_ARC
(19,15),0.254433 # DEPENDENCYPART_ARC
(19,16),0.484562 # DEPENDENCYPART_ARC
(19,17),-0.223761 # DEPENDENCYPART_ARC
(19,18),1.42584 # DEPENDENCYPART_ARC
(19,20),-1.22918 # DEPENDENCYPART_ARC
(20,1),-0.632521 # DEPENDENCYPART_ARC
(20,2),-2.86506 # DEPENDENCYPART_ARC
(20,4),-2.39138 # DEPENDENCYPART_ARC
(20,6),-0.324429 # DEPENDENCYPART_ARC
(20,7),-0.686232 # DEPENDENCYPART_ARC
(20,10),-1.1229 # DEPENDENCYPART_ARC
(20,11),-0.692296 # DEPENDENCYPART_ARC
(20,12),-0.831482 # DEPENDENCYPART_ARC
(20,13),-0.626624 # DEPENDENCYPART_ARC
(20,14),-0.411256 # DEPENDENCYPART_ARC
(20,15),-0.0151983 # DEPENDENCYPART_ARC
(20,16),-0.527436 # DEPENDENCYPART_ARC
(20,17),-0.640534 # DEPENDENCYPART_ARC
(20,18),-0.568723 # DEPENDENCYPART_ARC
(20,19),1.33366 # DEPENDENCYPART_ARC
(0,1),(0,8),-0.031247 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0444907 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.031247 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0198233 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0444907 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0444907 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0937316 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0479043 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0509876 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.00822809 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0479043 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0479043 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.185371 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0499542 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0659615 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0659615 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.00822809 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0479043 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0479043 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0126125 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.127797 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.127797 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.46889 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0659615 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.22556 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0127734 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0699033 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0127732 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0598571 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0209847 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00662862 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0209847 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00662862 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0253089 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00121166 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00791703 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0238063 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00562024 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0238063 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00562024 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0540475 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0598494 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.046151 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0518793 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.046151 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0518793 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00791716 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.023806 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00562037 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.023806 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00562037 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00624776 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0102378 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00624776 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0102378 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0036461 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00511931 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0036461 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0254477 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0308301 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0036461 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0269906 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0536802 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0470434 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.07014 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0108336 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0127732 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0598571 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0164484 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0373243 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0209847 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00662862 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0373243 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0209847 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00662862 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00157141 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.563221 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.000490032 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0800304 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.107151 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.118712 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0366004 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0433137 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.118712 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0366004 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0433137 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0893374 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0127732 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0598571 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0164484 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0373243 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0209847 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00662862 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0373243 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0209847 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00662862 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00157141 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00791716 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0160294 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0726344 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.023806 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00562037 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0726344 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.023806 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00562037 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0113869 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0250747 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0064857 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00624776 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0102378 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0064857 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00624776 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0102378 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0277331 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00955127 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00298679 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0131084 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00955127 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00298679 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0131084 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0325806 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.039683 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0540562 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0110627 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.039683 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0540562 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0657292 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0036461 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.00398095 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00511931 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0036461 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0496713 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0324766 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0254477 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0308301 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0505184 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.039683 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0540562 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0657292 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0036461 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0496713 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0505184 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0070149 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0215216 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0215216 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.634268 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.320089 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.320089 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.056173 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.056173 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00631923 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0816847 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0359436 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.033615 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.00274273 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.033615 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.00262664 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.033615 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.788511 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.152491 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.208198 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0531161 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.138055 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.112016 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.138055 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0668854 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.138055 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.152491 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.208198 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0531161 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.138055 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.112016 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.138055 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0668854 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.138055 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.017455 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0194336 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0439219 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0349989 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0439219 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0115979 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0439219 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0185851 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0340463 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0373513 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0340463 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0192864 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0340463 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00729709 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0111108 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.00729709 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0575186 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.00729709 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0411706 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0255374 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.00969202 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0255374 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0343298 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0319635 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0343298 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.00969202 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0255374 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.032302 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.134643 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0697793 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0113681 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0793149 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.00502988 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0130396 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0317593 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0706418 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0317593 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0706418 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0177786 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0216375 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.157828 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0179066 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0243812 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0647261 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0502055 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0261804 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0071139 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0384124 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00183869 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0071139 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.071472 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.553839 # DEPENDENCYPART_SIBL
(11,2),(11,4),-1.03137 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.553839 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.300789 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.346991 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.444497 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.307938 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.345977 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.122943 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.00425084 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.160814 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0410904 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0630966 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.00335948 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0410904 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.123219 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0317593 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0706418 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0177786 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0216375 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.157828 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0179066 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0243812 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0647261 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0502055 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0261804 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0071139 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0384124 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00183869 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0071139 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.071472 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.553839 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.300789 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.346991 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.444497 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.307938 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.345977 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.122943 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00425084 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.160814 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0410904 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0630966 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.00335948 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0410904 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.123219 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0177786 # DEPENDENCYPART_SIBL
