# _root_ Ben bir hizmet _ insanıyım , söylerim , _ söylediğimin arkasından giderim ve bana neye mal olursa_olsun ben bununla iftihar ederim .
#goldHeads=4,3,4,5,6,22,8,22,10,11,12,13,21,15,17,17,21,19,20,21,22,0,
#predictedHeads=5,3,4,5,6,7,8,21,10,11,12,13,21,17,17,17,21,21,20,21,22,0,
(11,4),-1.60193 # DEPENDENCYPART_ARC
(11,5),-1.63003 # DEPENDENCYPART_ARC
(11,6),-1.19089 # DEPENDENCYPART_ARC
(11,7),-1.92756 # DEPENDENCYPART_ARC
(11,8),-0.789136 # DEPENDENCYPART_ARC
(11,9),-0.392063 # DEPENDENCYPART_ARC
(11,10),1.76161 # DEPENDENCYPART_ARC
(11,13),-0.917719 # DEPENDENCYPART_ARC
(11,14),-1.90957 # DEPENDENCYPART_ARC
(11,17),-1.90161 # DEPENDENCYPART_ARC
(11,21),-1.86545 # DEPENDENCYPART_ARC
(12,1),0.252064 # DEPENDENCYPART_ARC
(12,2),-1.27166 # DEPENDENCYPART_ARC
(12,3),-0.732274 # DEPENDENCYPART_ARC
(12,4),-2.20741 # DEPENDENCYPART_ARC
(12,5),-0.874316 # DEPENDENCYPART_ARC
(12,6),-0.830257 # DEPENDENCYPART_ARC
(12,7),-0.346698 # DEPENDENCYPART_ARC
(12,8),-0.288553 # DEPENDENCYPART_ARC
(12,9),-0.979587 # DEPENDENCYPART_ARC
(12,10),0.0416613 # DEPENDENCYPART_ARC
(12,11),1.44301 # DEPENDENCYPART_ARC
(12,13),-0.454853 # DEPENDENCYPART_ARC
(12,14),-0.184657 # DEPENDENCYPART_ARC
(12,15),-0.560711 # DEPENDENCYPART_ARC
(12,16),-1.21898 # DEPENDENCYPART_ARC
(12,17),-1.70378 # DEPENDENCYPART_ARC
(12,20),-1.55552 # DEPENDENCYPART_ARC
(12,21),-1.85479 # DEPENDENCYPART_ARC
(13,7),-0.858732 # DEPENDENCYPART_ARC
(13,9),-0.965461 # DEPENDENCYPART_ARC
(13,11),0.0847186 # DEPENDENCYPART_ARC
(13,12),1.07278 # DEPENDENCYPART_ARC
(14,11),-1.26085 # DEPENDENCYPART_ARC
(14,13),-0.475012 # DEPENDENCYPART_ARC
(15,14),-0.765935 # DEPENDENCYPART_ARC
(15,16),-0.537578 # DEPENDENCYPART_ARC
(16,2),-1.63064 # DEPENDENCYPART_ARC
(16,8),-1.05581 # DEPENDENCYPART_ARC
(16,9),-1.26634 # DEPENDENCYPART_ARC
(16,10),-1.77124 # DEPENDENCYPART_ARC
(16,11),-1.37922 # DEPENDENCYPART_ARC
(16,12),-1.71306 # DEPENDENCYPART_ARC
(16,13),-0.767312 # DEPENDENCYPART_ARC
(16,14),-0.960207 # DEPENDENCYPART_ARC
(16,15),0.0783859 # DEPENDENCYPART_ARC
(16,17),-0.942129 # DEPENDENCYPART_ARC
(16,18),-0.272491 # DEPENDENCYPART_ARC
(16,20),-0.938696 # DEPENDENCYPART_ARC
(16,21),-1.50627 # DEPENDENCYPART_ARC
(17,1),-0.63401 # DEPENDENCYPART_ARC
(17,3),-0.578668 # DEPENDENCYPART_ARC
(17,4),-2.66809 # DEPENDENCYPART_ARC
(17,5),-1.4021 # DEPENDENCYPART_ARC
(17,6),-1.03651 # DEPENDENCYPART_ARC
(17,7),-1.34494 # DEPENDENCYPART_ARC
(17,8),-0.527746 # DEPENDENCYPART_ARC
(17,9),-2.41856 # DEPENDENCYPART_ARC
(17,10),-0.274895 # DEPENDENCYPART_ARC
(17,11),0.270766 # DEPENDENCYPART_ARC
(17,12),-0.340872 # DEPENDENCYPART_ARC
(17,13),-0.198223 # DEPENDENCYPART_ARC
(17,14),0.681587 # DEPENDENCYPART_ARC
(17,15),0.715784 # DEPENDENCYPART_ARC
(17,16),1.84532 # DEPENDENCYPART_ARC
(17,18),-0.011722 # DEPENDENCYPART_ARC
(17,19),-0.623231 # DEPENDENCYPART_ARC
(17,20),-0.418182 # DEPENDENCYPART_ARC
(17,21),-1.55829 # DEPENDENCYPART_ARC
(17,22),-1.64744 # DEPENDENCYPART_ARC
(18,16),-1.51538 # DEPENDENCYPART_ARC
(19,16),-1.82868 # DEPENDENCYPART_ARC
(19,18),-0.857185 # DEPENDENCYPART_ARC
(19,20),-0.573961 # DEPENDENCYPART_ARC
(20,10),-2.07743 # DEPENDENCYPART_ARC
(20,11),-1.74527 # DEPENDENCYPART_ARC
(20,13),-1.01494 # DEPENDENCYPART_ARC
(20,14),-1.60535 # DEPENDENCYPART_ARC
(20,16),-0.863516 # DEPENDENCYPART_ARC
(20,17),-1.65799 # DEPENDENCYPART_ARC
(20,18),-0.474369 # DEPENDENCYPART_ARC
(20,19),0.193518 # DEPENDENCYPART_ARC
(21,1),0.134147 # DEPENDENCYPART_ARC
(21,3),-1.05446 # DEPENDENCYPART_ARC
(21,4),-4.07508 # DEPENDENCYPART_ARC
(21,5),-1.07912 # DEPENDENCYPART_ARC
(21,6),-0.660081 # DEPENDENCYPART_ARC
(21,7),-0.546527 # DEPENDENCYPART_ARC
(21,8),-0.219213 # DEPENDENCYPART_ARC
(21,9),-2.82757 # DEPENDENCYPART_ARC
(21,10),-0.950846 # DEPENDENCYPART_ARC
(21,11),-0.615859 # DEPENDENCYPART_ARC
(21,12),0.110703 # DEPENDENCYPART_ARC
(21,13),0.315264 # DEPENDENCYPART_ARC
(21,14),0.94866 # DEPENDENCYPART_ARC
(21,15),0.15156 # DEPENDENCYPART_ARC
(21,16),-0.00606746 # DEPENDENCYPART_ARC
(21,17),-0.197011 # DEPENDENCYPART_ARC
(21,18),1.46635 # DEPENDENCYPART_ARC
(21,19),0.337396 # DEPENDENCYPART_ARC
(21,20),1.67677 # DEPENDENCYPART_ARC
(21,22),-1.32411 # DEPENDENCYPART_ARC
(22,2),-0.916034 # DEPENDENCYPART_ARC
(22,5),-1.23164 # DEPENDENCYPART_ARC
(22,6),-1.10811 # DEPENDENCYPART_ARC
(22,7),-0.950905 # DEPENDENCYPART_ARC
(22,8),-0.805384 # DEPENDENCYPART_ARC
(22,9),-2.34012 # DEPENDENCYPART_ARC
(22,11),-0.824598 # DEPENDENCYPART_ARC
(22,12),-0.689835 # DEPENDENCYPART_ARC
(22,13),-0.438587 # DEPENDENCYPART_ARC
(22,14),-0.546475 # DEPENDENCYPART_ARC
(22,16),-0.957834 # DEPENDENCYPART_ARC
(22,17),-0.13845 # DEPENDENCYPART_ARC
(22,18),-0.777545 # DEPENDENCYPART_ARC
(22,20),-0.617488 # DEPENDENCYPART_ARC
(22,21),1.26982 # DEPENDENCYPART_ARC
(0,6),(0,8),-0.0509876 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.00250033 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.0126125 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.00250033 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0126125 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.437137 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.122906 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00754073 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0424453 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.179774 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.221076 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0283158 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.186596 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0323742 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00674647 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0657691 # DEPENDENCYPART_SIBL
(5,1),(5,3),-8.52316e-05 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0299567 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0207796 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0207796 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.048782 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0102724 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.130342 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0153487 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0153487 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.00539094 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0412931 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00711636 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00711636 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.00183617 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0151519 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0151519 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00527488 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0279786 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0500265 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0500265 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0181734 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0219116 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00840351 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0415705 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0415705 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0415705 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0415705 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.170418 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0357401 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0336156 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0336156 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0336156 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0336156 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.221142 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0317015 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0317015 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0317015 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0317015 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.139969 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.139969 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.139969 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.139969 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0255374 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0255374 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0255374 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0255374 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0255374 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0255374 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0657691 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00101682 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0308882 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.010416 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.166642 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.118691 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0706554 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.048782 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.048782 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0207796 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.048782 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0207796 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.048782 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0207796 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0130672 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.127547 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.188704 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.185817 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0932746 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0650633 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00539094 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00539094 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0153487 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00539094 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0153487 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00539094 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0153487 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0422246 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0265839 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.153395 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0647274 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0760771 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00183617 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.00183617 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00711636 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00183488 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00711636 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.00183617 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.00711636 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.549412 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.431953 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0994745 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0905943 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00527488 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00527488 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0151519 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00527618 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0151519 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.00527488 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0151519 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.170371 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0881951 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0926049 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0037541 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0037541 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0330524 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0037541 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0330524 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.0037541 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0330524 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0899436 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.117494 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00827072 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00827072 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0186727 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00827072 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0186727 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.00827072 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0186727 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0632698 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0957602 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0957602 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0497678 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0957602 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0497678 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0957602 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0497678 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0793073 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0793073 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0487399 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0793073 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0487399 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0793073 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0487399 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0572542 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0123033 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0572542 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0123033 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0572542 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0123033 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0123033 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0572542 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0123033 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0572542 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0123033 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0500265 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0279786 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0500265 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0279786 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0123033 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.0572542 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.0123033 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.0500265 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0279786 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.0123033 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00840351 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0255198 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00840351 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0561971 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0415705 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0415705 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.0415705 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.128918 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.202308 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.163558 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.139969 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.139969 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.139969 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0885901 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.111055 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0740256 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0740256 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0740256 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.163558 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.139969 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.139969 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.139969 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0286604 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0286604 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0286604 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0255374 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0255374 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0255374 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.160283 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0361313 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.084389 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0747037 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.084389 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0747037 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0429481 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0429481 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.00733464 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0302114 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0429481 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00733464 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0429481 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.00733464 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.198378 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.163245 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0774111 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.163245 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0774111 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.012769 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.012769 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00662432 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.104193 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0127677 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.00662432 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.012769 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.00662432 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.504241 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.425743 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.504241 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.425743 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.000642045 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.000642045 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0176964 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.227294 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.000643342 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0176964 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.000642045 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0176964 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.1158 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.00822211 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.1158 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0139057 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0139057 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0189887 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0262631 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0139057 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0189887 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0139057 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.0189887 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0139238 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.227892 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0108194 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0108194 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0162046 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0279362 # DEPENDENCYPART_SIBL
