# _root_ ROMA ­ " Se il ministro dell' Interno si è deciso a lanciare l' allarme , dopo pochi mesi dal suo insediamento al Viminale , vuol dire che il problema dei pentiti è serio .
#goldHeads=0,1,4,27,6,11,6,7,11,11,4,11,12,15,13,15,13,19,17,19,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
#predictedHeads=0,1,4,33,6,11,6,7,11,11,4,11,12,15,13,15,27,19,17,13,22,20,22,23,24,27,0,27,30,33,30,31,28,33,34,
(0,30),-0.900753 # DEPENDENCYPART_ARC
(0,31),-1.60736 # DEPENDENCYPART_ARC
(0,32),-1.57884 # DEPENDENCYPART_ARC
(0,33),1.22609 # DEPENDENCYPART_ARC
(0,34),-0.973384 # DEPENDENCYPART_ARC
(0,35),-2.02228 # DEPENDENCYPART_ARC
(1,2),2.15301 # DEPENDENCYPART_ARC
(1,3),-0.350722 # DEPENDENCYPART_ARC
(1,4),-0.0374555 # DEPENDENCYPART_ARC
(1,5),-0.456412 # DEPENDENCYPART_ARC
(1,6),0.269361 # DEPENDENCYPART_ARC
(1,7),0.0869294 # DEPENDENCYPART_ARC
(1,8),0.134226 # DEPENDENCYPART_ARC
(1,9),-1.3402 # DEPENDENCYPART_ARC
(1,10),0.178334 # DEPENDENCYPART_ARC
(1,11),-0.15809 # DEPENDENCYPART_ARC
(1,12),-1.52724 # DEPENDENCYPART_ARC
(1,13),-1.2948 # DEPENDENCYPART_ARC
(1,14),-0.833348 # DEPENDENCYPART_ARC
(1,15),-1.30545 # DEPENDENCYPART_ARC
(1,16),-0.385492 # DEPENDENCYPART_ARC
(1,17),-1.3023 # DEPENDENCYPART_ARC
(1,18),-1.30914 # DEPENDENCYPART_ARC
(1,19),-1.74129 # DEPENDENCYPART_ARC
(1,20),-2.69187 # DEPENDENCYPART_ARC
(1,21),-3.00098 # DEPENDENCYPART_ARC
(1,22),-1.77097 # DEPENDENCYPART_ARC
(1,23),-2.43555 # DEPENDENCYPART_ARC
(1,24),-1.7072 # DEPENDENCYPART_ARC
(1,25),-1.29308 # DEPENDENCYPART_ARC
(1,26),-2.85088 # DEPENDENCYPART_ARC
(1,27),-3.20449 # DEPENDENCYPART_ARC
(1,28),-4.49175 # DEPENDENCYPART_ARC
(1,29),-2.03015 # DEPENDENCYPART_ARC
(1,30),-3.11331 # DEPENDENCYPART_ARC
(1,31),-3.99868 # DEPENDENCYPART_ARC
(1,32),-3.06305 # DEPENDENCYPART_ARC
(1,33),-2.92138 # DEPENDENCYPART_ARC
(1,34),-3.98243 # DEPENDENCYPART_ARC
(1,35),-6.60116 # DEPENDENCYPART_ARC
(2,1),-0.177009 # DEPENDENCYPART_ARC
(2,3),0.236251 # DEPENDENCYPART_ARC
(2,4),-1.13512 # DEPENDENCYPART_ARC
(2,5),-1.10633 # DEPENDENCYPART_ARC
(2,6),-1.31596 # DEPENDENCYPART_ARC
(2,7),-1.48463 # DEPENDENCYPART_ARC
(2,8),-1.49722 # DEPENDENCYPART_ARC
(2,9),-1.54555 # DEPENDENCYPART_ARC
(2,10),-1.32634 # DEPENDENCYPART_ARC
(2,11),-1.57213 # DEPENDENCYPART_ARC
(2,12),-1.86936 # DEPENDENCYPART_ARC
(2,13),-1.76709 # DEPENDENCYPART_ARC
(2,14),-1.92025 # DEPENDENCYPART_ARC
(2,15),-2.09454 # DEPENDENCYPART_ARC
(2,16),-0.920537 # DEPENDENCYPART_ARC
(2,17),-2.25066 # DEPENDENCYPART_ARC
(2,18),-1.78512 # DEPENDENCYPART_ARC
(2,19),-2.12704 # DEPENDENCYPART_ARC
(2,20),-2.19185 # DEPENDENCYPART_ARC
(2,21),-2.40483 # DEPENDENCYPART_ARC
(2,22),-2.22443 # DEPENDENCYPART_ARC
(2,23),-2.40047 # DEPENDENCYPART_ARC
(2,24),-2.32803 # DEPENDENCYPART_ARC
(2,25),-1.32786 # DEPENDENCYPART_ARC
(2,26),-2.26178 # DEPENDENCYPART_ARC
(2,27),-2.11211 # DEPENDENCYPART_ARC
(2,28),-2.18207 # DEPENDENCYPART_ARC
(2,29),-2.33789 # DEPENDENCYPART_ARC
(2,30),-2.53986 # DEPENDENCYPART_ARC
(2,31),-2.55988 # DEPENDENCYPART_ARC
(2,32),-2.45439 # DEPENDENCYPART_ARC
(2,33),-2.38996 # DEPENDENCYPART_ARC
(2,34),-2.84169 # DEPENDENCYPART_ARC
(2,35),-2.076 # DEPENDENCYPART_ARC
(3,1),-1.2644 # DEPENDENCYPART_ARC
(3,2),0.364754 # DEPENDENCYPART_ARC
(3,4),-0.946995 # DEPENDENCYPART_ARC
(3,5),-1.49413 # DEPENDENCYPART_ARC
(3,6),-1.64727 # DEPENDENCYPART_ARC
(3,7),-1.95443 # DEPENDENCYPART_ARC
(3,8),-1.89324 # DEPENDENCYPART_ARC
(3,9),-1.98213 # DEPENDENCYPART_ARC
(3,10),-1.81496 # DEPENDENCYPART_ARC
(3,11),-2.04188 # DEPENDENCYPART_ARC
(3,12),-2.46256 # DEPENDENCYPART_ARC
(3,13),-2.15302 # DEPENDENCYPART_ARC
(3,14),-2.38063 # DEPENDENCYPART_ARC
(3,15),-2.56244 # DEPENDENCYPART_ARC
(3,16),-1.09114 # DEPENDENCYPART_ARC
(3,17),-2.6891 # DEPENDENCYPART_ARC
(3,18),-2.34573 # DEPENDENCYPART_ARC
(3,19),-2.5818 # DEPENDENCYPART_ARC
(3,20),-2.74504 # DEPENDENCYPART_ARC
(3,21),-2.79997 # DEPENDENCYPART_ARC
(3,22),-2.7805 # DEPENDENCYPART_ARC
(3,23),-2.84205 # DEPENDENCYPART_ARC
(3,24),-2.83028 # DEPENDENCYPART_ARC
(3,25),-1.71868 # DEPENDENCYPART_ARC
(3,26),-2.6018 # DEPENDENCYPART_ARC
(3,27),-2.69684 # DEPENDENCYPART_ARC
(3,28),-2.78198 # DEPENDENCYPART_ARC
(3,29),-2.77461 # DEPENDENCYPART_ARC
(3,30),-2.97464 # DEPENDENCYPART_ARC
(3,31),-3.16467 # DEPENDENCYPART_ARC
(3,32),-2.98214 # DEPENDENCYPART_ARC
(3,33),-2.75391 # DEPENDENCYPART_ARC
(3,34),-3.2848 # DEPENDENCYPART_ARC
(3,35),-2.73099 # DEPENDENCYPART_ARC
(4,1),-0.359002 # DEPENDENCYPART_ARC
(4,2),0.357342 # DEPENDENCYPART_ARC
(4,3),1.59971 # DEPENDENCYPART_ARC
(4,5),1.13763 # DEPENDENCYPART_ARC
(4,6),0.781353 # DEPENDENCYPART_ARC
(4,7),0.47743 # DEPENDENCYPART_ARC
(4,8),0.240022 # DEPENDENCYPART_ARC
(4,9),-0.0244104 # DEPENDENCYPART_ARC
(4,10),2.90545 # DEPENDENCYPART_ARC
(4,11),2.07815 # DEPENDENCYPART_ARC
(4,12),-0.16358 # DEPENDENCYPART_ARC
(4,13),0.800483 # DEPENDENCYPART_ARC
(4,14),-0.308519 # DEPENDENCYPART_ARC
(4,15),-0.464101 # DEPENDENCYPART_ARC
(4,16),0.230335 # DEPENDENCYPART_ARC
(4,17),-0.420819 # DEPENDENCYPART_ARC
(4,18),-0.0225484 # DEPENDENCYPART_ARC
(4,19),-0.583857 # DEPENDENCYPART_ARC
(4,20),-0.426433 # DEPENDENCYPART_ARC
(4,21),-0.157176 # DEPENDENCYPART_ARC
(4,22),-0.644723 # DEPENDENCYPART_ARC
(4,23),-0.760783 # DEPENDENCYPART_ARC
(4,24),-0.662905 # DEPENDENCYPART_ARC
(4,25),-0.930435 # DEPENDENCYPART_ARC
(4,26),-0.558133 # DEPENDENCYPART_ARC
(4,27),0.166158 # DEPENDENCYPART_ARC
(4,28),-0.419756 # DEPENDENCYPART_ARC
(4,29),-0.869373 # DEPENDENCYPART_ARC
(4,30),-1.15711 # DEPENDENCYPART_ARC
(4,31),-1.09796 # DEPENDENCYPART_ARC
(4,32),-1.10443 # DEPENDENCYPART_ARC
(4,33),-1.26423 # DEPENDENCYPART_ARC
(4,34),-0.472523 # DEPENDENCYPART_ARC
(4,35),-1.82357 # DEPENDENCYPART_ARC
(5,1),-3.02417 # DEPENDENCYPART_ARC
(5,2),-1.80135 # DEPENDENCYPART_ARC
(5,3),-0.995673 # DEPENDENCYPART_ARC
(5,4),-1.38447 # DEPENDENCYPART_ARC
(5,6),0.988884 # DEPENDENCYPART_ARC
(5,7),-0.2968 # DEPENDENCYPART_ARC
(5,8),-0.484849 # DEPENDENCYPART_ARC
(5,9),-1.74648 # DEPENDENCYPART_ARC
(5,10),-0.801409 # DEPENDENCYPART_ARC
(5,11),-1.20899 # DEPENDENCYPART_ARC
(5,12),-0.977764 # DEPENDENCYPART_ARC
(5,13),-1.3145 # DEPENDENCYPART_ARC
(5,14),-2.06757 # DEPENDENCYPART_ARC
(5,15),-1.12413 # DEPENDENCYPART_ARC
(5,16),-1.25901 # DEPENDENCYPART_ARC
(5,17),-1.38159 # DEPENDENCYPART_ARC
(5,18),-1.82751 # DEPENDENCYPART_ARC
(5,19),-1.35414 # DEPENDENCYPART_ARC
(5,20),-1.7721 # DEPENDENCYPART_ARC
(5,21),-2.35635 # DEPENDENCYPART_ARC
(5,22),-1.34066 # DEPENDENCYPART_ARC
(5,23),-1.56115 # DEPENDENCYPART_ARC
(5,24),-1.10355 # DEPENDENCYPART_ARC
(5,25),-1.56467 # DEPENDENCYPART_ARC
(5,26),-1.82863 # DEPENDENCYPART_ARC
(5,27),-2.03455 # DEPENDENCYPART_ARC
(5,28),-1.50483 # DEPENDENCYPART_ARC
(5,29),-2.55632 # DEPENDENCYPART_ARC
(5,30),-1.51965 # DEPENDENCYPART_ARC
(5,31),-1.7071 # DEPENDENCYPART_ARC
(5,32),-1.78312 # DEPENDENCYPART_ARC
(5,33),-2.05189 # DEPENDENCYPART_ARC
(5,34),-2.72082 # DEPENDENCYPART_ARC
(5,35),-2.00253 # DEPENDENCYPART_ARC
(6,1),-1.60535 # DEPENDENCYPART_ARC
(6,2),-1.49725 # DEPENDENCYPART_ARC
(6,3),-0.257493 # DEPENDENCYPART_ARC
(6,4),0.774658 # DEPENDENCYPART_ARC
(6,5),3.41004 # DEPENDENCYPART_ARC
(6,7),2.88885 # DEPENDENCYPART_ARC
(6,8),1.36797 # DEPENDENCYPART_ARC
(6,9),-1.09979 # DEPENDENCYPART_ARC
(6,10),1.12778 # DEPENDENCYPART_ARC
(6,11),0.771039 # DEPENDENCYPART_ARC
(6,12),-0.489258 # DEPENDENCYPART_ARC
(6,13),-0.550213 # DEPENDENCYPART_ARC
(6,14),-0.696699 # DEPENDENCYPART_ARC
(6,15),-0.513912 # DEPENDENCYPART_ARC
(6,16),-0.534744 # DEPENDENCYPART_ARC
(6,17),-0.730919 # DEPENDENCYPART_ARC
(6,18),-0.660825 # DEPENDENCYPART_ARC
(6,19),-1.02556 # DEPENDENCYPART_ARC
(6,20),-0.801246 # DEPENDENCYPART_ARC
(6,21),-1.71028 # DEPENDENCYPART_ARC
(6,22),-1.07453 # DEPENDENCYPART_ARC
(6,23),-0.681846 # DEPENDENCYPART_ARC
(6,24),-1.12625 # DEPENDENCYPART_ARC
(6,25),-1.80036 # DEPENDENCYPART_ARC
(6,26),-2.41175 # DEPENDENCYPART_ARC
(6,27),-3.02913 # DEPENDENCYPART_ARC
(6,28),-2.61168 # DEPENDENCYPART_ARC
(6,29),-1.48157 # DEPENDENCYPART_ARC
(6,30),-2.05517 # DEPENDENCYPART_ARC
(6,31),-2.3092 # DEPENDENCYPART_ARC
(6,32),-1.90391 # DEPENDENCYPART_ARC
(6,33),-3.10308 # DEPENDENCYPART_ARC
(6,34),-2.4443 # DEPENDENCYPART_ARC
(6,35),-5.73852 # DEPENDENCYPART_ARC
(7,1),-2.5692 # DEPENDENCYPART_ARC
(7,2),-1.5797 # DEPENDENCYPART_ARC
(7,3),-1.37241 # DEPENDENCYPART_ARC
(7,4),-0.681711 # DEPENDENCYPART_ARC
(7,5),-0.255642 # DEPENDENCYPART_ARC
(7,6),-0.770384 # DEPENDENCYPART_ARC
(7,8),3.89921 # DEPENDENCYPART_ARC
(7,9),0.21371 # DEPENDENCYPART_ARC
(7,10),-1.26368 # DEPENDENCYPART_ARC
(7,11),-0.819234 # DEPENDENCYPART_ARC
(7,12),-0.806842 # DEPENDENCYPART_ARC
(7,13),-1.3489 # DEPENDENCYPART_ARC
(7,14),-1.74651 # DEPENDENCYPART_ARC
(7,15),-2.36715 # DEPENDENCYPART_ARC
(7,16),-0.256326 # DEPENDENCYPART_ARC
(7,17),-1.82503 # DEPENDENCYPART_ARC
(7,18),-1.37035 # DEPENDENCYPART_ARC
(7,19),-3.98179 # DEPENDENCYPART_ARC
(7,20),-2.07487 # DEPENDENCYPART_ARC
(7,21),-2.00738 # DEPENDENCYPART_ARC
(7,22),-4.5357 # DEPENDENCYPART_ARC
(7,23),-1.9231 # DEPENDENCYPART_ARC
(7,24),-4.43073 # DEPENDENCYPART_ARC
(7,25),-1.2141 # DEPENDENCYPART_ARC
(7,26),-3.729 # DEPENDENCYPART_ARC
(7,27),-3.35681 # DEPENDENCYPART_ARC
(7,28),-3.59672 # DEPENDENCYPART_ARC
(7,29),-2.43811 # DEPENDENCYPART_ARC
(7,30),-7.5918 # DEPENDENCYPART_ARC
(7,31),-3.63425 # DEPENDENCYPART_ARC
(7,32),-7.73717 # DEPENDENCYPART_ARC
(7,33),-5.47884 # DEPENDENCYPART_ARC
(7,34),-2.51756 # DEPENDENCYPART_ARC
(7,35),-3.03235 # DEPENDENCYPART_ARC
(8,1),-3.1415 # DEPENDENCYPART_ARC
(8,2),-2.97205 # DEPENDENCYPART_ARC
(8,3),-1.85802 # DEPENDENCYPART_ARC
(8,4),-1.24985 # DEPENDENCYPART_ARC
(8,5),0.0960891 # DEPENDENCYPART_ARC
(8,6),-1.58903 # DEPENDENCYPART_ARC
(8,7),0.608513 # DEPENDENCYPART_ARC
(8,9),-1.48152 # DEPENDENCYPART_ARC
(8,10),0.474793 # DEPENDENCYPART_ARC
(8,11),0.571398 # DEPENDENCYPART_ARC
(8,12),-1.74541 # DEPENDENCYPART_ARC
(8,13),-1.05841 # DEPENDENCYPART_ARC
(8,14),-1.70438 # DEPENDENCYPART_ARC
(8,15),-1.95853 # DEPENDENCYPART_ARC
(8,16),-1.0256 # DEPENDENCYPART_ARC
(8,17),-1.88769 # DEPENDENCYPART_ARC
(8,18),-1.50375 # DEPENDENCYPART_ARC
(8,19),-2.54561 # DEPENDENCYPART_ARC
(8,20),-2.24747 # DEPENDENCYPART_ARC
(8,21),-2.31076 # DEPENDENCYPART_ARC
(8,22),-2.51282 # DEPENDENCYPART_ARC
(8,23),-2.07016 # DEPENDENCYPART_ARC
(8,24),-2.1717 # DEPENDENCYPART_ARC
(8,25),-1.74382 # DEPENDENCYPART_ARC
(8,26),-2.89614 # DEPENDENCYPART_ARC
(8,27),-3.29402 # DEPENDENCYPART_ARC
(8,28),-3.5405 # DEPENDENCYPART_ARC
(8,29),-2.59012 # DEPENDENCYPART_ARC
(8,30),-3.75554 # DEPENDENCYPART_ARC
(8,31),-3.34259 # DEPENDENCYPART_ARC
(8,32),-3.35731 # DEPENDENCYPART_ARC
(8,33),-3.19456 # DEPENDENCYPART_ARC
(8,34),-3.3641 # DEPENDENCYPART_ARC
(8,35),-5.89532 # DEPENDENCYPART_ARC
(9,1),-2.12748 # DEPENDENCYPART_ARC
(9,2),-2.1466 # DEPENDENCYPART_ARC
(9,3),-1.57466 # DEPENDENCYPART_ARC
(9,4),-1.54306 # DEPENDENCYPART_ARC
(9,5),-1.41716 # DEPENDENCYPART_ARC
(9,6),-2.20269 # DEPENDENCYPART_ARC
(9,7),-1.5365 # DEPENDENCYPART_ARC
(9,8),-1.23738 # DEPENDENCYPART_ARC
(9,10),-0.841016 # DEPENDENCYPART_ARC
(9,11),-2.48866 # DEPENDENCYPART_ARC
(9,12),-2.09364 # DEPENDENCYPART_ARC
(9,13),-2.00813 # DEPENDENCYPART_ARC
(9,14),-2.58816 # DEPENDENCYPART_ARC
(9,15),-2.33172 # DEPENDENCYPART_ARC
(9,16),-1.61 # DEPENDENCYPART_ARC
(9,17),-2.88137 # DEPENDENCYPART_ARC
(9,18),-2.01397 # DEPENDENCYPART_ARC
(9,19),-2.23812 # DEPENDENCYPART_ARC
(9,20),-4.13209 # DEPENDENCYPART_ARC
(9,21),-2.32326 # DEPENDENCYPART_ARC
(9,22),-2.72721 # DEPENDENCYPART_ARC
(9,23),-4.35742 # DEPENDENCYPART_ARC
(9,24),-2.56666 # DEPENDENCYPART_ARC
(9,25),-1.79583 # DEPENDENCYPART_ARC
(9,26),-4.54087 # DEPENDENCYPART_ARC
(9,27),-4.18043 # DEPENDENCYPART_ARC
(9,28),-2.48209 # DEPENDENCYPART_ARC
(9,29),-3.04353 # DEPENDENCYPART_ARC
(9,30),-3.07793 # DEPENDENCYPART_ARC
(9,31),-4.70716 # DEPENDENCYPART_ARC
(9,32),-2.6898 # DEPENDENCYPART_ARC
(9,33),-5.53424 # DEPENDENCYPART_ARC
(9,34),-2.75815 # DEPENDENCYPART_ARC
(9,35),-3.17351 # DEPENDENCYPART_ARC
(10,1),-1.09263 # DEPENDENCYPART_ARC
(10,2),-2.21873 # DEPENDENCYPART_ARC
(10,3),-1.26913 # DEPENDENCYPART_ARC
(10,4),0.21058 # DEPENDENCYPART_ARC
(10,5),-1.45728 # DEPENDENCYPART_ARC
(10,6),0.353866 # DEPENDENCYPART_ARC
(10,7),-0.344947 # DEPENDENCYPART_ARC
(10,8),0.0424004 # DEPENDENCYPART_ARC
(10,9),2.6603 # DEPENDENCYPART_ARC
(10,11),1.05645 # DEPENDENCYPART_ARC
(10,12),1.17744 # DEPENDENCYPART_ARC
(10,13),0.292493 # DEPENDENCYPART_ARC
(10,14),-2.03154 # DEPENDENCYPART_ARC
(10,15),-0.15628 # DEPENDENCYPART_ARC
(10,16),-0.129665 # DEPENDENCYPART_ARC
(10,17),-0.650812 # DEPENDENCYPART_ARC
(10,18),-0.973109 # DEPENDENCYPART_ARC
(10,19),-1.2792 # DEPENDENCYPART_ARC
(10,20),-0.763948 # DEPENDENCYPART_ARC
(10,21),-2.22958 # DEPENDENCYPART_ARC
(10,22),-1.50619 # DEPENDENCYPART_ARC
(10,23),-1.45128 # DEPENDENCYPART_ARC
(10,24),-2.10046 # DEPENDENCYPART_ARC
(10,25),-0.426939 # DEPENDENCYPART_ARC
(10,26),-0.861947 # DEPENDENCYPART_ARC
(10,27),-1.09283 # DEPENDENCYPART_ARC
(10,28),-1.88579 # DEPENDENCYPART_ARC
(10,29),-2.80491 # DEPENDENCYPART_ARC
(10,30),-3.11762 # DEPENDENCYPART_ARC
(10,31),-3.93362 # DEPENDENCYPART_ARC
(10,32),-3.97519 # DEPENDENCYPART_ARC
(10,33),0.559864 # DEPENDENCYPART_ARC
(10,34),-3.77637 # DEPENDENCYPART_ARC
(10,35),-4.28804 # DEPENDENCYPART_ARC
(11,1),0.297004 # DEPENDENCYPART_ARC
(11,2),-1.4419 # DEPENDENCYPART_ARC
(11,3),-0.61326 # DEPENDENCYPART_ARC
(11,4),1.3364 # DEPENDENCYPART_ARC
(11,5),0.160405 # DEPENDENCYPART_ARC
(11,6),1.58358 # DEPENDENCYPART_ARC
(11,7),0.356958 # DEPENDENCYPART_ARC
(11,8),1.25468 # DEPENDENCYPART_ARC
(11,9),4.12844 # DEPENDENCYPART_ARC
(11,10),4.93561 # DEPENDENCYPART_ARC
(11,12),2.8849 # DEPENDENCYPART_ARC
(11,13),0.77966 # DEPENDENCYPART_ARC
(11,14),-1.52109 # DEPENDENCYPART_ARC
(11,15),0.484852 # DEPENDENCYPART_ARC
(11,16),0.245723 # DEPENDENCYPART_ARC
(11,17),0.171471 # DEPENDENCYPART_ARC
(11,18),-1.30802 # DEPENDENCYPART_ARC
(11,19),-0.694614 # DEPENDENCYPART_ARC
(11,20),0.0185188 # DEPENDENCYPART_ARC
(11,21),-1.99713 # DEPENDENCYPART_ARC
(11,22),-0.996071 # DEPENDENCYPART_ARC
(11,23),-0.186897 # DEPENDENCYPART_ARC
(11,24),-1.63155 # DEPENDENCYPART_ARC
(11,25),0.321348 # DEPENDENCYPART_ARC
(11,26),-0.417357 # DEPENDENCYPART_ARC
(11,27),-0.482387 # DEPENDENCYPART_ARC
(11,28),-2.05805 # DEPENDENCYPART_ARC
(11,29),-2.61288 # DEPENDENCYPART_ARC
(11,30),-2.13054 # DEPENDENCYPART_ARC
(11,31),-2.51133 # DEPENDENCYPART_ARC
(11,32),-3.33321 # DEPENDENCYPART_ARC
(11,33),0.00128291 # DEPENDENCYPART_ARC
(11,34),-2.88673 # DEPENDENCYPART_ARC
(11,35),-3.10194 # DEPENDENCYPART_ARC
(12,1),-2.12415 # DEPENDENCYPART_ARC
(12,2),-1.75271 # DEPENDENCYPART_ARC
(12,3),-1.68695 # DEPENDENCYPART_ARC
(12,4),-1.32556 # DEPENDENCYPART_ARC
(12,5),-1.54728 # DEPENDENCYPART_ARC
(12,6),-1.86521 # DEPENDENCYPART_ARC
(12,7),-1.04569 # DEPENDENCYPART_ARC
(12,8),-1.54207 # DEPENDENCYPART_ARC
(12,9),-0.954062 # DEPENDENCYPART_ARC
(12,10),-1.0492 # DEPENDENCYPART_ARC
(12,11),-0.12009 # DEPENDENCYPART_ARC
(12,13),3.69003 # DEPENDENCYPART_ARC
(12,14),0.324126 # DEPENDENCYPART_ARC
(12,15),0.692285 # DEPENDENCYPART_ARC
(12,16),0.826838 # DEPENDENCYPART_ARC
(12,17),0.104947 # DEPENDENCYPART_ARC
(12,18),-0.00400786 # DEPENDENCYPART_ARC
(12,19),-1.30642 # DEPENDENCYPART_ARC
(12,20),-0.586217 # DEPENDENCYPART_ARC
(12,21),-0.169519 # DEPENDENCYPART_ARC
(12,22),-2.43886 # DEPENDENCYPART_ARC
(12,23),-0.802399 # DEPENDENCYPART_ARC
(12,24),-3.2616 # DEPENDENCYPART_ARC
(12,25),-0.259121 # DEPENDENCYPART_ARC
(12,26),-0.962082 # DEPENDENCYPART_ARC
(12,27),-1.59363 # DEPENDENCYPART_ARC
(12,28),-1.74948 # DEPENDENCYPART_ARC
(12,29),-0.914841 # DEPENDENCYPART_ARC
(12,30),-6.32558 # DEPENDENCYPART_ARC
(12,31),-2.17728 # DEPENDENCYPART_ARC
(12,32),-6.89237 # DEPENDENCYPART_ARC
(12,33),-3.27366 # DEPENDENCYPART_ARC
(12,34),-0.921516 # DEPENDENCYPART_ARC
(12,35),-2.12015 # DEPENDENCYPART_ARC
(13,1),-1.68351 # DEPENDENCYPART_ARC
(13,2),-3.27222 # DEPENDENCYPART_ARC
(13,3),-2.30918 # DEPENDENCYPART_ARC
(13,4),-0.0689799 # DEPENDENCYPART_ARC
(13,5),-1.52282 # DEPENDENCYPART_ARC
(13,6),-0.447756 # DEPENDENCYPART_ARC
(13,7),-1.2417 # DEPENDENCYPART_ARC
(13,8),-1.15586 # DEPENDENCYPART_ARC
(13,9),0.00642948 # DEPENDENCYPART_ARC
(13,10),-0.626832 # DEPENDENCYPART_ARC
(13,11),0.0283544 # DEPENDENCYPART_ARC
(13,12),1.13312 # DEPENDENCYPART_ARC
(13,14),0.939604 # DEPENDENCYPART_ARC
(13,15),2.92053 # DEPENDENCYPART_ARC
(13,16),0.607827 # DEPENDENCYPART_ARC
(13,17),1.20484 # DEPENDENCYPART_ARC
(13,18),-0.15946 # DEPENDENCYPART_ARC
(13,19),0.908795 # DEPENDENCYPART_ARC
(13,20),1.31198 # DEPENDENCYPART_ARC
(13,21),-1.01691 # DEPENDENCYPART_ARC
(13,22),0.662876 # DEPENDENCYPART_ARC
(13,23),1.16987 # DEPENDENCYPART_ARC
(13,24),-0.112082 # DEPENDENCYPART_ARC
(13,25),0.089204 # DEPENDENCYPART_ARC
(13,26),-0.157431 # DEPENDENCYPART_ARC
(13,27),0.179685 # DEPENDENCYPART_ARC
(13,28),-1.44325 # DEPENDENCYPART_ARC
(13,29),-0.938707 # DEPENDENCYPART_ARC
(13,30),-0.742119 # DEPENDENCYPART_ARC
(13,31),-1.56449 # DEPENDENCYPART_ARC
(13,32),-1.59219 # DEPENDENCYPART_ARC
(13,33),0.118057 # DEPENDENCYPART_ARC
(13,34),-2.32367 # DEPENDENCYPART_ARC
(13,35),-2.78333 # DEPENDENCYPART_ARC
(14,1),-2.46327 # DEPENDENCYPART_ARC
(14,2),-1.83015 # DEPENDENCYPART_ARC
(14,3),-1.48495 # DEPENDENCYPART_ARC
(14,4),-2.25611 # DEPENDENCYPART_ARC
(14,5),-1.76486 # DEPENDENCYPART_ARC
(14,6),-2.7654 # DEPENDENCYPART_ARC
(14,7),-2.42112 # DEPENDENCYPART_ARC
(14,8),-2.6491 # DEPENDENCYPART_ARC
(14,9),-1.98633 # DEPENDENCYPART_ARC
(14,10),-3.25783 # DEPENDENCYPART_ARC
(14,11),-3.05881 # DEPENDENCYPART_ARC
(14,12),-0.979924 # DEPENDENCYPART_ARC
(14,13),-0.690054 # DEPENDENCYPART_ARC
(14,15),0.997208 # DEPENDENCYPART_ARC
(14,16),-0.321113 # DEPENDENCYPART_ARC
(14,17),-0.333413 # DEPENDENCYPART_ARC
(14,18),-1.10483 # DEPENDENCYPART_ARC
(14,19),-0.898092 # DEPENDENCYPART_ARC
(14,20),-1.17739 # DEPENDENCYPART_ARC
(14,21),-1.75423 # DEPENDENCYPART_ARC
(14,22),-0.877522 # DEPENDENCYPART_ARC
(14,23),-1.27718 # DEPENDENCYPART_ARC
(14,24),-0.679726 # DEPENDENCYPART_ARC
(14,25),-0.823522 # DEPENDENCYPART_ARC
(14,26),-1.25133 # DEPENDENCYPART_ARC
(14,27),-1.65108 # DEPENDENCYPART_ARC
