# _root_ Magari , su alcuni temi , sono d' accordo e il contraddittorio si perde " .
#goldHeads=7,1,7,5,3,5,0,7,8,7,12,14,14,7,14,15,
#predictedHeads=7,1,7,5,3,5,0,7,8,7,12,14,14,7,14,15,
(5,3),1.05094 # DEPENDENCYPART_ARC
(5,4),3.92155 # DEPENDENCYPART_ARC
(5,6),2.0261 # DEPENDENCYPART_ARC
(5,7),-0.287535 # DEPENDENCYPART_ARC
(5,8),0.141333 # DEPENDENCYPART_ARC
(5,9),-0.322936 # DEPENDENCYPART_ARC
(5,10),0.151324 # DEPENDENCYPART_ARC
(5,11),-1.0294 # DEPENDENCYPART_ARC
(5,12),-0.918123 # DEPENDENCYPART_ARC
(5,13),-1.79916 # DEPENDENCYPART_ARC
(5,14),-1.51156 # DEPENDENCYPART_ARC
(5,15),-1.62741 # DEPENDENCYPART_ARC
(5,16),-2.00212 # DEPENDENCYPART_ARC
(6,1),-2.26943 # DEPENDENCYPART_ARC
(6,2),-2.10246 # DEPENDENCYPART_ARC
(6,3),-1.45591 # DEPENDENCYPART_ARC
(6,4),-1.2855 # DEPENDENCYPART_ARC
(6,5),-1.01732 # DEPENDENCYPART_ARC
(6,7),-1.26423 # DEPENDENCYPART_ARC
(6,8),-2.57906 # DEPENDENCYPART_ARC
(6,9),-2.54613 # DEPENDENCYPART_ARC
(6,10),-2.71391 # DEPENDENCYPART_ARC
(6,11),-2.79642 # DEPENDENCYPART_ARC
(6,12),-2.94416 # DEPENDENCYPART_ARC
(6,13),-2.97877 # DEPENDENCYPART_ARC
(6,14),-2.78256 # DEPENDENCYPART_ARC
(6,15),-2.54413 # DEPENDENCYPART_ARC
(6,16),-1.86881 # DEPENDENCYPART_ARC
(7,1),0.353636 # DEPENDENCYPART_ARC
(7,2),-1.66999 # DEPENDENCYPART_ARC
(7,3),1.03371 # DEPENDENCYPART_ARC
(7,4),0.0980487 # DEPENDENCYPART_ARC
(7,5),-0.574362 # DEPENDENCYPART_ARC
(7,6),0.0482612 # DEPENDENCYPART_ARC
(7,8),3.33171 # DEPENDENCYPART_ARC
(7,9),1.95892 # DEPENDENCYPART_ARC
(7,10),1.77141 # DEPENDENCYPART_ARC
(7,11),-0.783617 # DEPENDENCYPART_ARC
(7,12),0.931352 # DEPENDENCYPART_ARC
(7,13),0.844471 # DEPENDENCYPART_ARC
(7,14),0.736523 # DEPENDENCYPART_ARC
(7,15),-0.157236 # DEPENDENCYPART_ARC
(7,16),0.0925916 # DEPENDENCYPART_ARC
(8,1),-0.515309 # DEPENDENCYPART_ARC
(8,2),-1.12291 # DEPENDENCYPART_ARC
(8,3),-0.502467 # DEPENDENCYPART_ARC
(8,4),-0.589991 # DEPENDENCYPART_ARC
(8,5),-0.585341 # DEPENDENCYPART_ARC
(8,6),-0.283978 # DEPENDENCYPART_ARC
(8,7),0.43085 # DEPENDENCYPART_ARC
(8,9),4.27209 # DEPENDENCYPART_ARC
(8,10),0.567286 # DEPENDENCYPART_ARC
(8,11),-0.598774 # DEPENDENCYPART_ARC
(8,12),0.011279 # DEPENDENCYPART_ARC
(8,13),-0.466835 # DEPENDENCYPART_ARC
(8,14),-0.795026 # DEPENDENCYPART_ARC
(8,15),-1.0186 # DEPENDENCYPART_ARC
(8,16),-0.874752 # DEPENDENCYPART_ARC
(9,1),-2.15104 # DEPENDENCYPART_ARC
(9,2),-3.28355 # DEPENDENCYPART_ARC
(9,3),-1.62435 # DEPENDENCYPART_ARC
(9,4),-0.608547 # DEPENDENCYPART_ARC
(9,5),-2.34992 # DEPENDENCYPART_ARC
(9,6),-2.4157 # DEPENDENCYPART_ARC
(9,7),-1.10318 # DEPENDENCYPART_ARC
(9,8),0.60619 # DEPENDENCYPART_ARC
(9,10),0.865017 # DEPENDENCYPART_ARC
(9,11),-0.560351 # DEPENDENCYPART_ARC
(9,12),0.418005 # DEPENDENCYPART_ARC
(9,13),-1.78402 # DEPENDENCYPART_ARC
(9,14),-0.00797035 # DEPENDENCYPART_ARC
(9,15),-0.917645 # DEPENDENCYPART_ARC
(9,16),-1.12258 # DEPENDENCYPART_ARC
(10,1),-1.78541 # DEPENDENCYPART_ARC
(10,2),-1.99603 # DEPENDENCYPART_ARC
(10,3),-1.73467 # DEPENDENCYPART_ARC
(10,4),-1.73891 # DEPENDENCYPART_ARC
(10,5),-2.25305 # DEPENDENCYPART_ARC
(10,6),-1.66833 # DEPENDENCYPART_ARC
(10,7),-1.90419 # DEPENDENCYPART_ARC
(10,8),-0.850324 # DEPENDENCYPART_ARC
(10,9),-0.532136 # DEPENDENCYPART_ARC
(10,11),-0.633276 # DEPENDENCYPART_ARC
(10,12),-0.579464 # DEPENDENCYPART_ARC
(10,13),-1.43152 # DEPENDENCYPART_ARC
(10,14),-0.381119 # DEPENDENCYPART_ARC
(10,15),-1.47628 # DEPENDENCYPART_ARC
(10,16),-1.1125 # DEPENDENCYPART_ARC
(11,1),-3.15001 # DEPENDENCYPART_ARC
(11,2),-2.92111 # DEPENDENCYPART_ARC
(11,3),-3.1484 # DEPENDENCYPART_ARC
(11,4),-2.89472 # DEPENDENCYPART_ARC
(11,5),-3.43122 # DEPENDENCYPART_ARC
(11,6),-2.77485 # DEPENDENCYPART_ARC
(11,7),-3.80706 # DEPENDENCYPART_ARC
(11,8),-2.25507 # DEPENDENCYPART_ARC
(11,9),-2.50707 # DEPENDENCYPART_ARC
(11,10),-1.54296 # DEPENDENCYPART_ARC
(11,12),0.776647 # DEPENDENCYPART_ARC
(11,13),-1.27852 # DEPENDENCYPART_ARC
(11,14),-0.51324 # DEPENDENCYPART_ARC
(11,15),-0.948033 # DEPENDENCYPART_ARC
(11,16),-1.00495 # DEPENDENCYPART_ARC
(12,1),-1.6021 # DEPENDENCYPART_ARC
(12,2),-2.83692 # DEPENDENCYPART_ARC
(12,3),-0.841615 # DEPENDENCYPART_ARC
(12,4),-0.194145 # DEPENDENCYPART_ARC
(12,5),-1.96257 # DEPENDENCYPART_ARC
(12,6),-2.53889 # DEPENDENCYPART_ARC
(12,7),-1.55223 # DEPENDENCYPART_ARC
(12,8),-0.0649464 # DEPENDENCYPART_ARC
(12,9),-0.853996 # DEPENDENCYPART_ARC
(12,10),0.117838 # DEPENDENCYPART_ARC
(12,11),3.30597 # DEPENDENCYPART_ARC
(12,13),-1.0968 # DEPENDENCYPART_ARC
(12,14),0.995696 # DEPENDENCYPART_ARC
(12,15),-0.821123 # DEPENDENCYPART_ARC
(12,16),-1.07328 # DEPENDENCYPART_ARC
(13,1),-2.08161 # DEPENDENCYPART_ARC
(13,2),-2.33198 # DEPENDENCYPART_ARC
(13,3),-1.94781 # DEPENDENCYPART_ARC
(13,4),-2.48322 # DEPENDENCYPART_ARC
(13,5),-3.43439 # DEPENDENCYPART_ARC
(13,6),-2.12735 # DEPENDENCYPART_ARC
(13,7),-3.12873 # DEPENDENCYPART_ARC
(13,8),-1.47946 # DEPENDENCYPART_ARC
(13,9),-2.56261 # DEPENDENCYPART_ARC
(13,10),-1.05266 # DEPENDENCYPART_ARC
(13,11),-0.523093 # DEPENDENCYPART_ARC
(13,12),-1.24112 # DEPENDENCYPART_ARC
(13,14),-0.500863 # DEPENDENCYPART_ARC
(13,15),-0.970261 # DEPENDENCYPART_ARC
(13,16),-1.08779 # DEPENDENCYPART_ARC
(14,1),0.164083 # DEPENDENCYPART_ARC
(14,2),-1.62293 # DEPENDENCYPART_ARC
(14,3),0.382061 # DEPENDENCYPART_ARC
(14,4),0.00215492 # DEPENDENCYPART_ARC
(14,5),-0.461168 # DEPENDENCYPART_ARC
(14,6),-1.23214 # DEPENDENCYPART_ARC
(14,7),0.937279 # DEPENDENCYPART_ARC
(14,8),0.43985 # DEPENDENCYPART_ARC
(14,9),0.359129 # DEPENDENCYPART_ARC
(14,10),0.294084 # DEPENDENCYPART_ARC
(14,11),0.0425776 # DEPENDENCYPART_ARC
(14,12),1.88338 # DEPENDENCYPART_ARC
(14,13),4.56067 # DEPENDENCYPART_ARC
(14,15),1.79816 # DEPENDENCYPART_ARC
(14,16),0.423334 # DEPENDENCYPART_ARC
(15,1),-2.24663 # DEPENDENCYPART_ARC
(15,2),-1.88687 # DEPENDENCYPART_ARC
(15,3),-1.81724 # DEPENDENCYPART_ARC
(15,4),-1.98204 # DEPENDENCYPART_ARC
(15,5),-2.3114 # DEPENDENCYPART_ARC
(15,6),-1.83522 # DEPENDENCYPART_ARC
(15,7),-2.60241 # DEPENDENCYPART_ARC
(15,8),-1.61361 # DEPENDENCYPART_ARC
(15,9),-2.12938 # DEPENDENCYPART_ARC
(15,10),-1.68835 # DEPENDENCYPART_ARC
(15,11),-1.20674 # DEPENDENCYPART_ARC
(15,12),-1.55508 # DEPENDENCYPART_ARC
(15,13),-0.997873 # DEPENDENCYPART_ARC
(15,14),-0.464486 # DEPENDENCYPART_ARC
(15,16),2.71803 # DEPENDENCYPART_ARC
(16,1),-1.79049 # DEPENDENCYPART_ARC
(16,2),-1.66007 # DEPENDENCYPART_ARC
(16,3),-1.32306 # DEPENDENCYPART_ARC
(16,4),-1.44197 # DEPENDENCYPART_ARC
(16,5),-1.93671 # DEPENDENCYPART_ARC
(16,6),-1.46966 # DEPENDENCYPART_ARC
(16,7),-2.11037 # DEPENDENCYPART_ARC
(16,8),-1.23795 # DEPENDENCYPART_ARC
(16,9),-1.66466 # DEPENDENCYPART_ARC
(16,10),-1.19406 # DEPENDENCYPART_ARC
(16,11),-0.960493 # DEPENDENCYPART_ARC
(16,12),-1.41508 # DEPENDENCYPART_ARC
(16,13),-0.809071 # DEPENDENCYPART_ARC
(16,14),-0.818396 # DEPENDENCYPART_ARC
(16,15),0.490765 # DEPENDENCYPART_ARC
