# _root_ I due hanno la stessa passione di tanti ragazzi della loro età : la discoteca , la musica a tutto volume , le serate di divertimento che proseguono fino_all' alba .
#goldHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,15,6,15,18,15,18,21,19,15,24,15,24,25,28,24,28,29,30,
#predictedHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,15,10,15,18,15,18,21,19,21,24,19,24,25,28,24,28,29,30,
(3,25),-2.14285 # DEPENDENCYPART_ARC
(3,26),-1.95385 # DEPENDENCYPART_ARC
(3,27),-3.46567 # DEPENDENCYPART_ARC
(3,28),-0.354961 # DEPENDENCYPART_ARC
(3,29),-2.35279 # DEPENDENCYPART_ARC
(3,30),-2.6968 # DEPENDENCYPART_ARC
(3,31),-3.60239 # DEPENDENCYPART_ARC
(4,1),-0.967243 # DEPENDENCYPART_ARC
(4,2),-0.448178 # DEPENDENCYPART_ARC
(4,3),-0.399252 # DEPENDENCYPART_ARC
(4,5),0.52971 # DEPENDENCYPART_ARC
(4,6),0.54512 # DEPENDENCYPART_ARC
(4,7),0.241446 # DEPENDENCYPART_ARC
(4,8),-0.563835 # DEPENDENCYPART_ARC
(4,9),-0.49612 # DEPENDENCYPART_ARC
(4,10),-0.0392205 # DEPENDENCYPART_ARC
(4,11),-1.49908 # DEPENDENCYPART_ARC
(4,12),0.217523 # DEPENDENCYPART_ARC
(4,13),-0.244419 # DEPENDENCYPART_ARC
(4,14),-0.87693 # DEPENDENCYPART_ARC
(4,15),-0.377873 # DEPENDENCYPART_ARC
(4,16),-0.356738 # DEPENDENCYPART_ARC
(4,17),-0.988872 # DEPENDENCYPART_ARC
(4,18),-0.455112 # DEPENDENCYPART_ARC
(4,19),-0.717133 # DEPENDENCYPART_ARC
(4,20),-0.931109 # DEPENDENCYPART_ARC
(4,21),-0.884859 # DEPENDENCYPART_ARC
(4,22),-0.568259 # DEPENDENCYPART_ARC
(4,23),-1.1143 # DEPENDENCYPART_ARC
(4,24),-0.693983 # DEPENDENCYPART_ARC
(4,25),-0.926251 # DEPENDENCYPART_ARC
(4,26),-1.15595 # DEPENDENCYPART_ARC
(4,27),-1.4962 # DEPENDENCYPART_ARC
(4,28),-1.02988 # DEPENDENCYPART_ARC
(4,29),-1.72083 # DEPENDENCYPART_ARC
(4,30),-0.942736 # DEPENDENCYPART_ARC
(4,31),-1.33945 # DEPENDENCYPART_ARC
(5,1),-1.28615 # DEPENDENCYPART_ARC
(5,2),-0.458437 # DEPENDENCYPART_ARC
(5,3),-1.2011 # DEPENDENCYPART_ARC
(5,4),1.21128 # DEPENDENCYPART_ARC
(5,6),0.55765 # DEPENDENCYPART_ARC
(5,7),0.0681349 # DEPENDENCYPART_ARC
(5,8),-0.0721442 # DEPENDENCYPART_ARC
(5,9),-0.535636 # DEPENDENCYPART_ARC
(5,10),-0.285436 # DEPENDENCYPART_ARC
(5,11),-0.365 # DEPENDENCYPART_ARC
(5,12),-0.53905 # DEPENDENCYPART_ARC
(5,13),-0.717143 # DEPENDENCYPART_ARC
(5,14),-1.01699 # DEPENDENCYPART_ARC
(5,15),-0.947279 # DEPENDENCYPART_ARC
(5,16),-0.926275 # DEPENDENCYPART_ARC
(5,17),-1.06105 # DEPENDENCYPART_ARC
(5,18),-1.31001 # DEPENDENCYPART_ARC
(5,19),-0.929318 # DEPENDENCYPART_ARC
(5,20),-0.237497 # DEPENDENCYPART_ARC
(5,21),-1.03171 # DEPENDENCYPART_ARC
(5,22),-1.33624 # DEPENDENCYPART_ARC
(5,23),-1.23028 # DEPENDENCYPART_ARC
(5,24),-1.37159 # DEPENDENCYPART_ARC
(5,25),-1.43652 # DEPENDENCYPART_ARC
(5,26),-1.47275 # DEPENDENCYPART_ARC
(5,27),-2.42195 # DEPENDENCYPART_ARC
(5,28),-1.55567 # DEPENDENCYPART_ARC
(5,29),-2.29377 # DEPENDENCYPART_ARC
(5,30),-1.80669 # DEPENDENCYPART_ARC
(5,31),-3.00016 # DEPENDENCYPART_ARC
(6,1),0.360768 # DEPENDENCYPART_ARC
(6,2),0.317397 # DEPENDENCYPART_ARC
(6,3),-1.01216 # DEPENDENCYPART_ARC
(6,4),3.04593 # DEPENDENCYPART_ARC
(6,5),4.33916 # DEPENDENCYPART_ARC
(6,7),2.18055 # DEPENDENCYPART_ARC
(6,8),0.601972 # DEPENDENCYPART_ARC
(6,9),0.915113 # DEPENDENCYPART_ARC
(6,10),1.30383 # DEPENDENCYPART_ARC
(6,11),-0.0941179 # DEPENDENCYPART_ARC
(6,12),0.652141 # DEPENDENCYPART_ARC
(6,13),-0.259535 # DEPENDENCYPART_ARC
(6,14),0.268708 # DEPENDENCYPART_ARC
(6,15),0.307105 # DEPENDENCYPART_ARC
(6,16),0.93109 # DEPENDENCYPART_ARC
(6,17),0.286462 # DEPENDENCYPART_ARC
(6,18),0.390424 # DEPENDENCYPART_ARC
(6,19),0.0221402 # DEPENDENCYPART_ARC
(6,20),0.23658 # DEPENDENCYPART_ARC
(6,21),-0.0182737 # DEPENDENCYPART_ARC
(6,22),0.576409 # DEPENDENCYPART_ARC
(6,23),-0.314634 # DEPENDENCYPART_ARC
(6,24),-0.281137 # DEPENDENCYPART_ARC
(6,25),-0.795352 # DEPENDENCYPART_ARC
(6,26),-0.158136 # DEPENDENCYPART_ARC
(6,27),-2.45355 # DEPENDENCYPART_ARC
(6,28),0.199429 # DEPENDENCYPART_ARC
(6,29),-1.66894 # DEPENDENCYPART_ARC
(6,30),-0.910012 # DEPENDENCYPART_ARC
(6,31),-4.21698 # DEPENDENCYPART_ARC
(7,1),-1.44589 # DEPENDENCYPART_ARC
(7,2),-1.42349 # DEPENDENCYPART_ARC
(7,3),-1.78301 # DEPENDENCYPART_ARC
(7,4),-0.737479 # DEPENDENCYPART_ARC
(7,5),-0.785956 # DEPENDENCYPART_ARC
(7,6),0.00533958 # DEPENDENCYPART_ARC
(7,8),1.3871 # DEPENDENCYPART_ARC
(7,9),3.25204 # DEPENDENCYPART_ARC
(7,10),-0.0792422 # DEPENDENCYPART_ARC
(7,11),0.211761 # DEPENDENCYPART_ARC
(7,12),1.14648 # DEPENDENCYPART_ARC
(7,13),-0.534682 # DEPENDENCYPART_ARC
(7,14),-0.636823 # DEPENDENCYPART_ARC
(7,15),-0.671488 # DEPENDENCYPART_ARC
(7,16),-0.168608 # DEPENDENCYPART_ARC
(7,17),-0.696442 # DEPENDENCYPART_ARC
(7,18),-2.43381 # DEPENDENCYPART_ARC
(7,19),-1.93617 # DEPENDENCYPART_ARC
(7,20),-0.570522 # DEPENDENCYPART_ARC
(7,21),-2.94842 # DEPENDENCYPART_ARC
(7,22),-0.692493 # DEPENDENCYPART_ARC
(7,23),-1.00731 # DEPENDENCYPART_ARC
(7,24),-4.65917 # DEPENDENCYPART_ARC
(7,25),-0.863851 # DEPENDENCYPART_ARC
(7,26),-5.1149 # DEPENDENCYPART_ARC
(7,27),-3.82114 # DEPENDENCYPART_ARC
(7,28),-3.08636 # DEPENDENCYPART_ARC
(7,29),-2.58168 # DEPENDENCYPART_ARC
(7,30),-7.46234 # DEPENDENCYPART_ARC
(7,31),-2.52431 # DEPENDENCYPART_ARC
(8,1),-1.29127 # DEPENDENCYPART_ARC
(8,2),-1.97733 # DEPENDENCYPART_ARC
(8,3),-2.95154 # DEPENDENCYPART_ARC
(8,4),-1.88713 # DEPENDENCYPART_ARC
(8,5),-2.08693 # DEPENDENCYPART_ARC
(8,6),-2.33261 # DEPENDENCYPART_ARC
(8,7),-0.0961213 # DEPENDENCYPART_ARC
(8,9),0.624982 # DEPENDENCYPART_ARC
(8,10),-0.178313 # DEPENDENCYPART_ARC
(8,11),-0.172946 # DEPENDENCYPART_ARC
(8,12),-0.872212 # DEPENDENCYPART_ARC
(8,13),-0.704413 # DEPENDENCYPART_ARC
(8,14),-1.2166 # DEPENDENCYPART_ARC
(8,15),-1.27149 # DEPENDENCYPART_ARC
(8,16),-0.762329 # DEPENDENCYPART_ARC
(8,17),-1.35129 # DEPENDENCYPART_ARC
(8,18),-1.41445 # DEPENDENCYPART_ARC
(8,19),-0.961586 # DEPENDENCYPART_ARC
(8,20),-0.943831 # DEPENDENCYPART_ARC
(8,21),-1.10784 # DEPENDENCYPART_ARC
(8,22),-1.03393 # DEPENDENCYPART_ARC
(8,23),-1.39905 # DEPENDENCYPART_ARC
(8,24),-1.52991 # DEPENDENCYPART_ARC
(8,25),-0.926998 # DEPENDENCYPART_ARC
(8,26),-1.22156 # DEPENDENCYPART_ARC
(8,27),-1.37949 # DEPENDENCYPART_ARC
(8,28),-1.14038 # DEPENDENCYPART_ARC
(8,29),-0.982706 # DEPENDENCYPART_ARC
(8,30),-1.86593 # DEPENDENCYPART_ARC
(8,31),-1.62791 # DEPENDENCYPART_ARC
(9,1),0.541537 # DEPENDENCYPART_ARC
(9,2),-0.723888 # DEPENDENCYPART_ARC
(9,3),-2.49114 # DEPENDENCYPART_ARC
(9,4),-0.288212 # DEPENDENCYPART_ARC
(9,5),-0.146658 # DEPENDENCYPART_ARC
(9,6),-1.30283 # DEPENDENCYPART_ARC
(9,7),0.842765 # DEPENDENCYPART_ARC
(9,8),3.93453 # DEPENDENCYPART_ARC
(9,10),2.77995 # DEPENDENCYPART_ARC
(9,11),1.68744 # DEPENDENCYPART_ARC
(9,12),0.889518 # DEPENDENCYPART_ARC
(9,13),0.390371 # DEPENDENCYPART_ARC
(9,14),0.204731 # DEPENDENCYPART_ARC
(9,15),0.304133 # DEPENDENCYPART_ARC
(9,16),1.24005 # DEPENDENCYPART_ARC
(9,17),0.25386 # DEPENDENCYPART_ARC
(9,18),0.446154 # DEPENDENCYPART_ARC
(9,19),0.619442 # DEPENDENCYPART_ARC
(9,20),0.538537 # DEPENDENCYPART_ARC
(9,21),0.0100638 # DEPENDENCYPART_ARC
(9,22),0.830381 # DEPENDENCYPART_ARC
(9,23),0.491634 # DEPENDENCYPART_ARC
(9,24),0.384884 # DEPENDENCYPART_ARC
(9,25),0.234698 # DEPENDENCYPART_ARC
(9,26),-0.240262 # DEPENDENCYPART_ARC
(9,27),-1.75379 # DEPENDENCYPART_ARC
(9,28),0.53602 # DEPENDENCYPART_ARC
(9,29),-0.335099 # DEPENDENCYPART_ARC
(9,30),-1.13129 # DEPENDENCYPART_ARC
(9,31),-3.51811 # DEPENDENCYPART_ARC
(10,1),-2.25549 # DEPENDENCYPART_ARC
(10,2),-2.04251 # DEPENDENCYPART_ARC
(10,3),-2.89789 # DEPENDENCYPART_ARC
(10,4),-1.60306 # DEPENDENCYPART_ARC
(10,5),-1.74999 # DEPENDENCYPART_ARC
(10,6),-2.09623 # DEPENDENCYPART_ARC
(10,7),-0.645882 # DEPENDENCYPART_ARC
(10,8),-0.554897 # DEPENDENCYPART_ARC
(10,9),-0.877797 # DEPENDENCYPART_ARC
(10,11),1.14271 # DEPENDENCYPART_ARC
(10,12),4.02048 # DEPENDENCYPART_ARC
(10,13),0.0929692 # DEPENDENCYPART_ARC
(10,14),-0.422833 # DEPENDENCYPART_ARC
(10,15),0.639779 # DEPENDENCYPART_ARC
(10,16),0.536596 # DEPENDENCYPART_ARC
(10,17),-0.630473 # DEPENDENCYPART_ARC
(10,18),-1.279 # DEPENDENCYPART_ARC
(10,19),-1.01154 # DEPENDENCYPART_ARC
(10,20),-0.159181 # DEPENDENCYPART_ARC
(10,21),-2.77506 # DEPENDENCYPART_ARC
(10,22),0.12108 # DEPENDENCYPART_ARC
(10,23),-1.18361 # DEPENDENCYPART_ARC
(10,24),-4.01253 # DEPENDENCYPART_ARC
(10,25),-1.74818 # DEPENDENCYPART_ARC
(10,26),-4.84309 # DEPENDENCYPART_ARC
(10,27),-2.95021 # DEPENDENCYPART_ARC
(10,28),-3.75344 # DEPENDENCYPART_ARC
(10,29),-1.5788 # DEPENDENCYPART_ARC
(10,30),-6.54074 # DEPENDENCYPART_ARC
(10,31),-1.66951 # DEPENDENCYPART_ARC
(11,1),-2.38084 # DEPENDENCYPART_ARC
(11,2),-2.1432 # DEPENDENCYPART_ARC
(11,3),-4.15322 # DEPENDENCYPART_ARC
(11,4),-2.38687 # DEPENDENCYPART_ARC
(11,5),-2.44269 # DEPENDENCYPART_ARC
(11,6),-2.97305 # DEPENDENCYPART_ARC
(11,7),-1.28084 # DEPENDENCYPART_ARC
(11,8),-1.41136 # DEPENDENCYPART_ARC
(11,9),-1.7601 # DEPENDENCYPART_ARC
(11,10),-0.499863 # DEPENDENCYPART_ARC
(11,12),1.32982 # DEPENDENCYPART_ARC
(11,13),0.00984139 # DEPENDENCYPART_ARC
(11,14),-0.828877 # DEPENDENCYPART_ARC
(11,15),-0.625482 # DEPENDENCYPART_ARC
(11,16),-0.715788 # DEPENDENCYPART_ARC
(11,17),-1.12273 # DEPENDENCYPART_ARC
(11,18),-1.01172 # DEPENDENCYPART_ARC
(11,19),-0.894154 # DEPENDENCYPART_ARC
(11,20),-0.483061 # DEPENDENCYPART_ARC
(11,21),-0.321784 # DEPENDENCYPART_ARC
(11,22),-1.07552 # DEPENDENCYPART_ARC
(11,23),-0.998306 # DEPENDENCYPART_ARC
(11,24),-0.726783 # DEPENDENCYPART_ARC
(11,25),-1.27993 # DEPENDENCYPART_ARC
(11,26),-0.546708 # DEPENDENCYPART_ARC
(11,27),-2.08199 # DEPENDENCYPART_ARC
(11,28),-1.39024 # DEPENDENCYPART_ARC
(11,29),-1.76414 # DEPENDENCYPART_ARC
(11,30),-1.12584 # DEPENDENCYPART_ARC
(11,31),-2.43763 # DEPENDENCYPART_ARC
(12,1),-1.83565 # DEPENDENCYPART_ARC
(12,2),-1.11062 # DEPENDENCYPART_ARC
(12,3),-1.90844 # DEPENDENCYPART_ARC
(12,4),0.0908065 # DEPENDENCYPART_ARC
(12,5),0.700537 # DEPENDENCYPART_ARC
(12,6),-2.05859 # DEPENDENCYPART_ARC
(12,7),-0.537388 # DEPENDENCYPART_ARC
(12,8),0.724385 # DEPENDENCYPART_ARC
(12,9),-1.1692 # DEPENDENCYPART_ARC
(12,10),0.694588 # DEPENDENCYPART_ARC
(12,11),3.52463 # DEPENDENCYPART_ARC
(12,13),1.49394 # DEPENDENCYPART_ARC
(12,14),0.0154762 # DEPENDENCYPART_ARC
(12,15),0.558886 # DEPENDENCYPART_ARC
(12,16),0.832398 # DEPENDENCYPART_ARC
(12,17),-0.149051 # DEPENDENCYPART_ARC
(12,18),0.184604 # DEPENDENCYPART_ARC
(12,19),-0.547677 # DEPENDENCYPART_ARC
(12,20),-0.384368 # DEPENDENCYPART_ARC
(12,21),-0.209699 # DEPENDENCYPART_ARC
(12,22),0.697343 # DEPENDENCYPART_ARC
(12,23),-0.532184 # DEPENDENCYPART_ARC
(12,24),-0.337996 # DEPENDENCYPART_ARC
(12,25),-0.670302 # DEPENDENCYPART_ARC
(12,26),-0.687464 # DEPENDENCYPART_ARC
(12,27),-2.284 # DEPENDENCYPART_ARC
(12,28),-0.118487 # DEPENDENCYPART_ARC
(12,29),-1.84139 # DEPENDENCYPART_ARC
(12,30),-0.874334 # DEPENDENCYPART_ARC
(12,31),-3.06203 # DEPENDENCYPART_ARC
(13,1),-2.02397 # DEPENDENCYPART_ARC
(13,2),-2.27455 # DEPENDENCYPART_ARC
(13,3),-2.74418 # DEPENDENCYPART_ARC
(13,4),-1.81555 # DEPENDENCYPART_ARC
(13,5),-2.30078 # DEPENDENCYPART_ARC
(13,6),-2.26981 # DEPENDENCYPART_ARC
(13,7),-1.6784 # DEPENDENCYPART_ARC
(13,8),-1.72971 # DEPENDENCYPART_ARC
(13,9),-2.00554 # DEPENDENCYPART_ARC
(13,10),-1.09126 # DEPENDENCYPART_ARC
(13,11),-1.26638 # DEPENDENCYPART_ARC
(13,12),-0.643728 # DEPENDENCYPART_ARC
(13,14),-0.818463 # DEPENDENCYPART_ARC
(13,15),-1.35533 # DEPENDENCYPART_ARC
(13,16),-0.710792 # DEPENDENCYPART_ARC
(13,17),-1.8984 # DEPENDENCYPART_ARC
(13,18),-2.053 # DEPENDENCYPART_ARC
(13,19),-2.13104 # DEPENDENCYPART_ARC
(13,20),-1.8488 # DEPENDENCYPART_ARC
(13,21),-2.22355 # DEPENDENCYPART_ARC
(13,22),-1.10831 # DEPENDENCYPART_ARC
(13,23),-2.10734 # DEPENDENCYPART_ARC
(13,24),-2.31795 # DEPENDENCYPART_ARC
(13,25),-2.38893 # DEPENDENCYPART_ARC
(13,26),-2.33738 # DEPENDENCYPART_ARC
(13,27),-2.33104 # DEPENDENCYPART_ARC
(13,28),-2.23735 # DEPENDENCYPART_ARC
(13,29),-2.57762 # DEPENDENCYPART_ARC
(13,30),-2.59149 # DEPENDENCYPART_ARC
(13,31),-1.88698 # DEPENDENCYPART_ARC
(14,1),-3.16762 # DEPENDENCYPART_ARC
(14,2),-2.91066 # DEPENDENCYPART_ARC
(14,3),-4.06004 # DEPENDENCYPART_ARC
(14,4),-2.56412 # DEPENDENCYPART_ARC
(14,5),-2.78079 # DEPENDENCYPART_ARC
(14,6),-3.12564 # DEPENDENCYPART_ARC
(14,7),-2.71181 # DEPENDENCYPART_ARC
(14,8),-2.88191 # DEPENDENCYPART_ARC
(14,9),-3.30429 # DEPENDENCYPART_ARC
(14,10),-2.62747 # DEPENDENCYPART_ARC
(14,11),-2.29221 # DEPENDENCYPART_ARC
(14,12),-2.40994 # DEPENDENCYPART_ARC
(14,13),-0.237301 # DEPENDENCYPART_ARC
(14,15),1.32991 # DEPENDENCYPART_ARC
(14,16),0.149393 # DEPENDENCYPART_ARC
(14,17),-0.624303 # DEPENDENCYPART_ARC
(14,18),-0.128491 # DEPENDENCYPART_ARC
(14,19),-0.249261 # DEPENDENCYPART_ARC
(14,20),-0.837077 # DEPENDENCYPART_ARC
(14,21),-0.75112 # DEPENDENCYPART_ARC
(14,22),-0.267784 # DEPENDENCYPART_ARC
(14,23),-0.956044 # DEPENDENCYPART_ARC
(14,24),-0.480572 # DEPENDENCYPART_ARC
(14,25),-0.571116 # DEPENDENCYPART_ARC
(14,26),-0.976975 # DEPENDENCYPART_ARC
(14,27),-1.41834 # DEPENDENCYPART_ARC
(14,28),-0.689865 # DEPENDENCYPART_ARC
(14,29),-1.4331 # DEPENDENCYPART_ARC
(14,30),-0.746644 # DEPENDENCYPART_ARC
(14,31),-0.914334 # DEPENDENCYPART_ARC
(15,1),-2.65221 # DEPENDENCYPART_ARC
(15,2),-1.71793 # DEPENDENCYPART_ARC
(15,3),-2.36686 # DEPENDENCYPART_ARC
(15,4),-1.06991 # DEPENDENCYPART_ARC
(15,5),0.0207 # DEPENDENCYPART_ARC
(15,6),-2.34186 # DEPENDENCYPART_ARC
(15,7),-1.18267 # DEPENDENCYPART_ARC
(15,8),-0.269202 # DEPENDENCYPART_ARC
(15,9),-2.03681 # DEPENDENCYPART_ARC
(15,10),-0.395023 # DEPENDENCYPART_ARC
(15,11),0.714492 # DEPENDENCYPART_ARC
(15,12),-1.24992 # DEPENDENCYPART_ARC
(15,13),-0.603452 # DEPENDENCYPART_ARC
(15,14),3.36261 # DEPENDENCYPART_ARC
(15,16),1.75762 # DEPENDENCYPART_ARC
(15,17),0.229639 # DEPENDENCYPART_ARC
(15,18),1.10112 # DEPENDENCYPART_ARC
(15,19),0.293509 # DEPENDENCYPART_ARC
(15,20),0.30062 # DEPENDENCYPART_ARC
(15,21),0.42745 # DEPENDENCYPART_ARC
(15,22),0.955265 # DEPENDENCYPART_ARC
(15,23),-0.434898 # DEPENDENCYPART_ARC
(15,24),0.0489299 # DEPENDENCYPART_ARC
(15,25),0.130211 # DEPENDENCYPART_ARC
(15,26),-0.140898 # DEPENDENCYPART_ARC
(15,27),-1.88563 # DEPENDENCYPART_ARC
(15,28),-0.00886118 # DEPENDENCYPART_ARC
(15,29),-1.31367 # DEPENDENCYPART_ARC
(15,30),-0.525356 # DEPENDENCYPART_ARC
(15,31),-2.20817 # DEPENDENCYPART_ARC
(16,1),-2.337 # DEPENDENCYPART_ARC
(16,2),-2.52512 # DEPENDENCYPART_ARC
(16,3),-2.90896 # DEPENDENCYPART_ARC
(16,4),-2.0816 # DEPENDENCYPART_ARC
(16,5),-2.6365 # DEPENDENCYPART_ARC
(16,6),-2.62653 # DEPENDENCYPART_ARC
(16,7),-1.99775 # DEPENDENCYPART_ARC
(16,8),-2.13916 # DEPENDENCYPART_ARC
(16,9),-2.47615 # DEPENDENCYPART_ARC
(16,10),-1.87115 # DEPENDENCYPART_ARC
(16,11),-2.28661 # DEPENDENCYPART_ARC
(16,12),-2.27213 # DEPENDENCYPART_ARC
(16,13),-1.60596 # DEPENDENCYPART_ARC
(16,14),-0.870366 # DEPENDENCYPART_ARC
(16,15),-0.871742 # DEPENDENCYPART_ARC
(16,17),-0.858493 # DEPENDENCYPART_ARC
(16,18),-1.44067 # DEPENDENCYPART_ARC
(16,19),-1.86984 # DEPENDENCYPART_ARC
(16,20),-1.72559 # DEPENDENCYPART_ARC
(16,21),-2.09271 # DEPENDENCYPART_ARC
(16,22),-0.792431 # DEPENDENCYPART_ARC
(16,23),-2.0944 # DEPENDENCYPART_ARC
(16,24),-2.3347 # DEPENDENCYPART_ARC
(16,25),-2.35681 # DEPENDENCYPART_ARC
(16,26),-2.30358 # DEPENDENCYPART_ARC
