# _root_ Un mestiere duro , dice , che non ha senso se non si è motivati .
#goldHeads=2,5,2,3,0,5,9,9,2,9,9,15,15,15,11,15,
#predictedHeads=2,5,2,3,0,5,9,9,0,9,9,15,15,15,11,15,
(3,2),0.413583 # DEPENDENCYPART_ARC
(3,4),2.05536 # DEPENDENCYPART_ARC
(3,5),-0.90109 # DEPENDENCYPART_ARC
(3,6),0.129596 # DEPENDENCYPART_ARC
(3,7),-2.19179 # DEPENDENCYPART_ARC
(3,8),-1.13621 # DEPENDENCYPART_ARC
(3,9),-1.52385 # DEPENDENCYPART_ARC
(3,10),-0.770976 # DEPENDENCYPART_ARC
(3,11),-0.375494 # DEPENDENCYPART_ARC
(3,12),-1.48462 # DEPENDENCYPART_ARC
(3,13),-2.74636 # DEPENDENCYPART_ARC
(3,14),-1.9725 # DEPENDENCYPART_ARC
(3,15),-1.63046 # DEPENDENCYPART_ARC
(3,16),-1.22197 # DEPENDENCYPART_ARC
(4,1),-0.868862 # DEPENDENCYPART_ARC
(4,6),-0.583032 # DEPENDENCYPART_ARC
(4,16),-1.45271 # DEPENDENCYPART_ARC
(5,1),-0.703394 # DEPENDENCYPART_ARC
(5,2),0.937515 # DEPENDENCYPART_ARC
(5,3),0.120585 # DEPENDENCYPART_ARC
(5,4),0.582579 # DEPENDENCYPART_ARC
(5,6),2.34323 # DEPENDENCYPART_ARC
(5,7),0.902565 # DEPENDENCYPART_ARC
(5,8),0.296007 # DEPENDENCYPART_ARC
(5,9),0.810735 # DEPENDENCYPART_ARC
(5,10),0.0808958 # DEPENDENCYPART_ARC
(5,11),-0.030831 # DEPENDENCYPART_ARC
(5,12),-1.05132 # DEPENDENCYPART_ARC
(5,13),-0.875251 # DEPENDENCYPART_ARC
(5,14),0.885309 # DEPENDENCYPART_ARC
(5,15),0.353434 # DEPENDENCYPART_ARC
(5,16),-0.487287 # DEPENDENCYPART_ARC
(6,1),-1.50602 # DEPENDENCYPART_ARC
(6,4),-0.946219 # DEPENDENCYPART_ARC
(6,16),-0.540759 # DEPENDENCYPART_ARC
(7,2),-2.69172 # DEPENDENCYPART_ARC
(7,4),-0.980238 # DEPENDENCYPART_ARC
(7,5),-1.93018 # DEPENDENCYPART_ARC
(7,6),0.444768 # DEPENDENCYPART_ARC
(7,8),0.169027 # DEPENDENCYPART_ARC
(7,9),0.352388 # DEPENDENCYPART_ARC
(7,10),-0.497939 # DEPENDENCYPART_ARC
(7,11),-0.449571 # DEPENDENCYPART_ARC
(7,12),-1.41042 # DEPENDENCYPART_ARC
(7,14),-0.824651 # DEPENDENCYPART_ARC
(7,15),-1.2892 # DEPENDENCYPART_ARC
(7,16),-1.02585 # DEPENDENCYPART_ARC
(8,1),-2.54642 # DEPENDENCYPART_ARC
(8,2),-3.45499 # DEPENDENCYPART_ARC
(8,3),-2.96709 # DEPENDENCYPART_ARC
(8,4),-2.75125 # DEPENDENCYPART_ARC
(8,5),-3.05786 # DEPENDENCYPART_ARC
(8,6),-1.82746 # DEPENDENCYPART_ARC
(8,9),-0.0360391 # DEPENDENCYPART_ARC
(8,10),-0.850012 # DEPENDENCYPART_ARC
(8,11),-0.993166 # DEPENDENCYPART_ARC
(8,12),-1.34582 # DEPENDENCYPART_ARC
(8,13),-1.78408 # DEPENDENCYPART_ARC
(8,14),-1.25504 # DEPENDENCYPART_ARC
(8,15),-1.37003 # DEPENDENCYPART_ARC
(8,16),-1.65814 # DEPENDENCYPART_ARC
(9,1),-1.41334 # DEPENDENCYPART_ARC
(9,2),0.23371 # DEPENDENCYPART_ARC
(9,3),-0.714475 # DEPENDENCYPART_ARC
(9,4),-2.1062 # DEPENDENCYPART_ARC
(9,5),-0.212197 # DEPENDENCYPART_ARC
(9,6),-1.38554 # DEPENDENCYPART_ARC
(9,7),2.41019 # DEPENDENCYPART_ARC
(9,8),2.69653 # DEPENDENCYPART_ARC
(9,10),2.34909 # DEPENDENCYPART_ARC
(9,11),0.88371 # DEPENDENCYPART_ARC
(9,12),-0.437977 # DEPENDENCYPART_ARC
(9,13),-0.724838 # DEPENDENCYPART_ARC
(9,14),0.581785 # DEPENDENCYPART_ARC
(9,15),-0.0902223 # DEPENDENCYPART_ARC
(9,16),-0.597202 # DEPENDENCYPART_ARC
(10,1),-0.211774 # DEPENDENCYPART_ARC
(10,2),-2.01523 # DEPENDENCYPART_ARC
(10,3),-0.627465 # DEPENDENCYPART_ARC
(10,4),-1.89855 # DEPENDENCYPART_ARC
(10,5),-1.17596 # DEPENDENCYPART_ARC
(10,6),-1.42607 # DEPENDENCYPART_ARC
(10,7),0.00745168 # DEPENDENCYPART_ARC
(10,8),0.847413 # DEPENDENCYPART_ARC
(10,9),0.922129 # DEPENDENCYPART_ARC
(10,11),0.40194 # DEPENDENCYPART_ARC
(10,12),-0.610997 # DEPENDENCYPART_ARC
(10,13),-2.0273 # DEPENDENCYPART_ARC
(10,14),0.0329252 # DEPENDENCYPART_ARC
(10,15),-0.773046 # DEPENDENCYPART_ARC
(10,16),-0.678201 # DEPENDENCYPART_ARC
(11,2),-2.22641 # DEPENDENCYPART_ARC
(11,3),-2.02621 # DEPENDENCYPART_ARC
(11,4),-1.59356 # DEPENDENCYPART_ARC
(11,5),-2.40362 # DEPENDENCYPART_ARC
(11,6),-1.46455 # DEPENDENCYPART_ARC
(11,7),-1.13368 # DEPENDENCYPART_ARC
(11,8),-0.662934 # DEPENDENCYPART_ARC
(11,9),-1.1155 # DEPENDENCYPART_ARC
(11,10),-0.242501 # DEPENDENCYPART_ARC
(11,12),0.473118 # DEPENDENCYPART_ARC
(11,13),0.266331 # DEPENDENCYPART_ARC
(11,14),2.36076 # DEPENDENCYPART_ARC
(11,15),1.88617 # DEPENDENCYPART_ARC
(11,16),0.172711 # DEPENDENCYPART_ARC
(12,1),-2.7413 # DEPENDENCYPART_ARC
(12,2),-3.58297 # DEPENDENCYPART_ARC
(12,3),-3.16624 # DEPENDENCYPART_ARC
(12,4),-3.04169 # DEPENDENCYPART_ARC
(12,5),-3.69471 # DEPENDENCYPART_ARC
(12,6),-2.95073 # DEPENDENCYPART_ARC
(12,8),-2.26884 # DEPENDENCYPART_ARC
(12,9),-3.02116 # DEPENDENCYPART_ARC
(12,10),-2.43614 # DEPENDENCYPART_ARC
(12,11),-0.617795 # DEPENDENCYPART_ARC
(12,13),-0.756503 # DEPENDENCYPART_ARC
(12,14),-0.924701 # DEPENDENCYPART_ARC
(12,15),-0.903041 # DEPENDENCYPART_ARC
(12,16),-1.57954 # DEPENDENCYPART_ARC
(13,2),-3.22019 # DEPENDENCYPART_ARC
(13,3),-2.57467 # DEPENDENCYPART_ARC
(13,4),-1.87084 # DEPENDENCYPART_ARC
(13,5),-3.71218 # DEPENDENCYPART_ARC
(13,6),-1.84812 # DEPENDENCYPART_ARC
(13,8),-1.57105 # DEPENDENCYPART_ARC
(13,9),-3.27679 # DEPENDENCYPART_ARC
(13,10),-2.23581 # DEPENDENCYPART_ARC
(13,11),-0.72349 # DEPENDENCYPART_ARC
(13,12),0.152785 # DEPENDENCYPART_ARC
(13,14),-1.26903 # DEPENDENCYPART_ARC
(13,15),-2.46101 # DEPENDENCYPART_ARC
(13,16),-1.61725 # DEPENDENCYPART_ARC
(14,1),-1.73093 # DEPENDENCYPART_ARC
(14,2),-1.2993 # DEPENDENCYPART_ARC
(14,3),-1.38363 # DEPENDENCYPART_ARC
(14,4),-2.37059 # DEPENDENCYPART_ARC
(14,5),-2.10601 # DEPENDENCYPART_ARC
(14,6),-2.50409 # DEPENDENCYPART_ARC
(14,7),0.231965 # DEPENDENCYPART_ARC
(14,8),0.00796176 # DEPENDENCYPART_ARC
(14,9),-0.835955 # DEPENDENCYPART_ARC
(14,10),-0.570244 # DEPENDENCYPART_ARC
(14,11),0.307583 # DEPENDENCYPART_ARC
(14,12),1.08711 # DEPENDENCYPART_ARC
(14,13),2.60215 # DEPENDENCYPART_ARC
(14,15),1.61449 # DEPENDENCYPART_ARC
(14,16),-0.11086 # DEPENDENCYPART_ARC
(15,1),-0.65697 # DEPENDENCYPART_ARC
(15,2),-0.882078 # DEPENDENCYPART_ARC
(15,3),-0.973312 # DEPENDENCYPART_ARC
(15,4),-1.77189 # DEPENDENCYPART_ARC
(15,5),-1.25813 # DEPENDENCYPART_ARC
(15,6),-1.49737 # DEPENDENCYPART_ARC
(15,7),1.29035 # DEPENDENCYPART_ARC
(15,8),1.80202 # DEPENDENCYPART_ARC
(15,9),-0.426711 # DEPENDENCYPART_ARC
(15,10),-0.340608 # DEPENDENCYPART_ARC
(15,11),0.798526 # DEPENDENCYPART_ARC
(15,12),2.51212 # DEPENDENCYPART_ARC
(15,13),3.2087 # DEPENDENCYPART_ARC
(15,14),3.51754 # DEPENDENCYPART_ARC
(15,16),2.48973 # DEPENDENCYPART_ARC
(16,1),-2.01987 # DEPENDENCYPART_ARC
(16,4),-2.04203 # DEPENDENCYPART_ARC
(16,6),-2.02879 # DEPENDENCYPART_ARC
