# _root_ Cento alabardieri , sottufficiali , sono dal 1982 agli ordini del col. Roland Buchs Binz .
#goldHeads=2,6,2,2,4,0,6,7,6,9,10,11,14,12,14,15,
#predictedHeads=2,0,2,2,4,0,6,7,6,9,10,11,11,13,14,15,
(10,1),-1.90458 # DEPENDENCYPART_ARC
(10,2),-2.44051 # DEPENDENCYPART_ARC
(10,3),-2.89678 # DEPENDENCYPART_ARC
(10,4),-2.25196 # DEPENDENCYPART_ARC
(10,5),-2.64604 # DEPENDENCYPART_ARC
(10,6),-3.59057 # DEPENDENCYPART_ARC
(10,7),-0.820591 # DEPENDENCYPART_ARC
(10,8),0.130982 # DEPENDENCYPART_ARC
(10,9),0.742091 # DEPENDENCYPART_ARC
(10,11),1.88643 # DEPENDENCYPART_ARC
(10,12),0.762645 # DEPENDENCYPART_ARC
(10,13),0.178612 # DEPENDENCYPART_ARC
(10,14),0.453143 # DEPENDENCYPART_ARC
(10,15),0.633814 # DEPENDENCYPART_ARC
(10,16),-0.524796 # DEPENDENCYPART_ARC
(11,1),-2.28438 # DEPENDENCYPART_ARC
(11,2),-2.77069 # DEPENDENCYPART_ARC
(11,3),-2.16961 # DEPENDENCYPART_ARC
(11,4),-2.68111 # DEPENDENCYPART_ARC
(11,5),-2.06877 # DEPENDENCYPART_ARC
(11,6),-2.95722 # DEPENDENCYPART_ARC
(11,7),-1.44638 # DEPENDENCYPART_ARC
(11,8),-1.43387 # DEPENDENCYPART_ARC
(11,9),-0.874091 # DEPENDENCYPART_ARC
(11,10),-1.02442 # DEPENDENCYPART_ARC
(11,12),2.09317 # DEPENDENCYPART_ARC
(11,13),2.39586 # DEPENDENCYPART_ARC
(11,14),0.272297 # DEPENDENCYPART_ARC
(11,15),-0.478492 # DEPENDENCYPART_ARC
(11,16),-0.644347 # DEPENDENCYPART_ARC
(12,1),-1.76844 # DEPENDENCYPART_ARC
(12,2),-3.01099 # DEPENDENCYPART_ARC
(12,3),-1.98443 # DEPENDENCYPART_ARC
(12,4),-2.91577 # DEPENDENCYPART_ARC
(12,5),-1.90115 # DEPENDENCYPART_ARC
(12,7),-1.78134 # DEPENDENCYPART_ARC
(12,8),-0.929506 # DEPENDENCYPART_ARC
(12,9),-1.69698 # DEPENDENCYPART_ARC
(12,10),-1.64799 # DEPENDENCYPART_ARC
(12,11),-0.107175 # DEPENDENCYPART_ARC
(12,13),1.22888 # DEPENDENCYPART_ARC
(12,14),0.380749 # DEPENDENCYPART_ARC
(12,15),-0.0516181 # DEPENDENCYPART_ARC
(12,16),0.169287 # DEPENDENCYPART_ARC
(13,1),-2.02796 # DEPENDENCYPART_ARC
(13,2),-3.75311 # DEPENDENCYPART_ARC
(13,3),-2.59667 # DEPENDENCYPART_ARC
(13,4),-3.56535 # DEPENDENCYPART_ARC
(13,5),-2.65282 # DEPENDENCYPART_ARC
(13,6),-2.65894 # DEPENDENCYPART_ARC
(13,7),-1.25495 # DEPENDENCYPART_ARC
(13,8),-0.813307 # DEPENDENCYPART_ARC
(13,9),-0.94912 # DEPENDENCYPART_ARC
(13,10),-0.566895 # DEPENDENCYPART_ARC
(13,11),-0.11127 # DEPENDENCYPART_ARC
(13,12),1.53282 # DEPENDENCYPART_ARC
(13,14),1.86841 # DEPENDENCYPART_ARC
(13,15),1.42334 # DEPENDENCYPART_ARC
(13,16),-0.236517 # DEPENDENCYPART_ARC
(14,1),-1.53136 # DEPENDENCYPART_ARC
(14,2),-3.02825 # DEPENDENCYPART_ARC
(14,3),-2.21661 # DEPENDENCYPART_ARC
(14,4),-3.0243 # DEPENDENCYPART_ARC
(14,5),-2.16231 # DEPENDENCYPART_ARC
(14,6),-2.14866 # DEPENDENCYPART_ARC
(14,7),-0.816769 # DEPENDENCYPART_ARC
(14,8),-0.740076 # DEPENDENCYPART_ARC
(14,9),-0.568705 # DEPENDENCYPART_ARC
(14,10),-0.0732542 # DEPENDENCYPART_ARC
(14,11),0.154608 # DEPENDENCYPART_ARC
(14,12),1.13752 # DEPENDENCYPART_ARC
(14,13),2.59927 # DEPENDENCYPART_ARC
(14,15),2.93976 # DEPENDENCYPART_ARC
(14,16),-0.0052697 # DEPENDENCYPART_ARC
(15,1),-1.89942 # DEPENDENCYPART_ARC
(15,2),-3.3127 # DEPENDENCYPART_ARC
(15,3),-2.52397 # DEPENDENCYPART_ARC
(15,4),-3.40546 # DEPENDENCYPART_ARC
(15,5),-2.58243 # DEPENDENCYPART_ARC
(15,6),-2.45614 # DEPENDENCYPART_ARC
(15,7),-1.27894 # DEPENDENCYPART_ARC
(15,8),-0.908455 # DEPENDENCYPART_ARC
(15,9),-1.17845 # DEPENDENCYPART_ARC
(15,10),-0.307871 # DEPENDENCYPART_ARC
(15,11),-0.514515 # DEPENDENCYPART_ARC
(15,12),0.334806 # DEPENDENCYPART_ARC
(15,13),1.85805 # DEPENDENCYPART_ARC
(15,14),2.53705 # DEPENDENCYPART_ARC
(15,16),2.57951 # DEPENDENCYPART_ARC
(16,3),-1.58385 # DEPENDENCYPART_ARC
(16,5),-1.67141 # DEPENDENCYPART_ARC
