# _root_ La Sidoti non sembra aver paura : " Mi auguro che la gara sia subito veloce , seguirò il treno giusto , anche_se ho un po' paura del gioco di squadra delle cinesi .
#goldHeads=2,4,4,0,4,5,6,9,10,0,10,13,14,11,16,14,16,10,20,18,20,21,18,23,27,27,24,27,28,29,30,29,32,33,
#predictedHeads=2,4,4,0,4,5,6,9,10,4,10,13,14,11,16,14,16,11,20,18,20,21,18,23,27,27,24,27,28,29,30,31,32,33,
(7,29),-2.6715 # DEPENDENCYPART_ARC
(7,30),-2.70905 # DEPENDENCYPART_ARC
(7,31),-2.80602 # DEPENDENCYPART_ARC
(7,32),-2.82706 # DEPENDENCYPART_ARC
(7,33),-2.70886 # DEPENDENCYPART_ARC
(7,34),-2.11725 # DEPENDENCYPART_ARC
(8,1),-2.33855 # DEPENDENCYPART_ARC
(8,2),-2.82138 # DEPENDENCYPART_ARC
(8,3),-2.39217 # DEPENDENCYPART_ARC
(8,4),-2.96986 # DEPENDENCYPART_ARC
(8,5),-2.56977 # DEPENDENCYPART_ARC
(8,6),-2.03502 # DEPENDENCYPART_ARC
(8,7),-0.301686 # DEPENDENCYPART_ARC
(8,9),-0.27637 # DEPENDENCYPART_ARC
(8,10),-0.808133 # DEPENDENCYPART_ARC
(8,11),-1.29244 # DEPENDENCYPART_ARC
(8,12),-1.52672 # DEPENDENCYPART_ARC
(8,13),-1.63952 # DEPENDENCYPART_ARC
(8,14),-1.50857 # DEPENDENCYPART_ARC
(8,15),-1.97354 # DEPENDENCYPART_ARC
(8,16),-2.07864 # DEPENDENCYPART_ARC
(8,17),-0.158157 # DEPENDENCYPART_ARC
(8,18),-1.74987 # DEPENDENCYPART_ARC
(8,19),-1.94751 # DEPENDENCYPART_ARC
(8,20),-2.10665 # DEPENDENCYPART_ARC
(8,21),-2.31825 # DEPENDENCYPART_ARC
(8,22),-0.695876 # DEPENDENCYPART_ARC
(8,23),-1.8947 # DEPENDENCYPART_ARC
(8,24),-1.99951 # DEPENDENCYPART_ARC
(8,25),-1.99741 # DEPENDENCYPART_ARC
(8,26),-2.21512 # DEPENDENCYPART_ARC
(8,27),-2.28901 # DEPENDENCYPART_ARC
(8,28),-2.36312 # DEPENDENCYPART_ARC
(8,29),-2.33512 # DEPENDENCYPART_ARC
(8,30),-2.50726 # DEPENDENCYPART_ARC
(8,31),-2.28566 # DEPENDENCYPART_ARC
(8,32),-2.62479 # DEPENDENCYPART_ARC
(8,33),-2.41584 # DEPENDENCYPART_ARC
(8,34),-1.51594 # DEPENDENCYPART_ARC
(9,1),0.617167 # DEPENDENCYPART_ARC
(9,2),-0.845905 # DEPENDENCYPART_ARC
(9,3),-0.479319 # DEPENDENCYPART_ARC
(9,4),-1.98315 # DEPENDENCYPART_ARC
(9,5),-1.02449 # DEPENDENCYPART_ARC
(9,6),-0.0883201 # DEPENDENCYPART_ARC
(9,7),0.403068 # DEPENDENCYPART_ARC
(9,8),2.25442 # DEPENDENCYPART_ARC
(9,10),0.564113 # DEPENDENCYPART_ARC
(9,11),-0.223727 # DEPENDENCYPART_ARC
(9,12),-1.49594 # DEPENDENCYPART_ARC
(9,13),-0.40565 # DEPENDENCYPART_ARC
(9,14),-0.788175 # DEPENDENCYPART_ARC
(9,15),-1.4392 # DEPENDENCYPART_ARC
(9,16),-0.7987 # DEPENDENCYPART_ARC
(9,17),-0.986895 # DEPENDENCYPART_ARC
(9,18),-2.37709 # DEPENDENCYPART_ARC
(9,19),-1.68677 # DEPENDENCYPART_ARC
(9,20),-0.895134 # DEPENDENCYPART_ARC
(9,21),-0.855189 # DEPENDENCYPART_ARC
(9,22),-1.33328 # DEPENDENCYPART_ARC
(9,23),-0.897844 # DEPENDENCYPART_ARC
(9,24),-2.34656 # DEPENDENCYPART_ARC
(9,25),-1.77959 # DEPENDENCYPART_ARC
(9,26),-1.82231 # DEPENDENCYPART_ARC
(9,27),-1.22198 # DEPENDENCYPART_ARC
(9,28),-2.66287 # DEPENDENCYPART_ARC
(9,29),-1.13594 # DEPENDENCYPART_ARC
(9,30),-2.44925 # DEPENDENCYPART_ARC
(9,31),-1.47431 # DEPENDENCYPART_ARC
(9,32),-3.15193 # DEPENDENCYPART_ARC
(9,33),-0.973473 # DEPENDENCYPART_ARC
(9,34),-2.14083 # DEPENDENCYPART_ARC
(10,1),-0.801169 # DEPENDENCYPART_ARC
(10,2),-0.0502508 # DEPENDENCYPART_ARC
(10,3),0.969511 # DEPENDENCYPART_ARC
(10,4),-2.50921 # DEPENDENCYPART_ARC
(10,5),0.175747 # DEPENDENCYPART_ARC
(10,6),-0.453845 # DEPENDENCYPART_ARC
(10,7),-0.487955 # DEPENDENCYPART_ARC
(10,8),0.544512 # DEPENDENCYPART_ARC
(10,9),3.4869 # DEPENDENCYPART_ARC
(10,11),2.19742 # DEPENDENCYPART_ARC
(10,12),-0.95494 # DEPENDENCYPART_ARC
(10,13),0.981605 # DEPENDENCYPART_ARC
(10,14),-0.00672223 # DEPENDENCYPART_ARC
(10,15),-0.164929 # DEPENDENCYPART_ARC
(10,16),-0.281771 # DEPENDENCYPART_ARC
(10,17),0.962664 # DEPENDENCYPART_ARC
(10,18),0.793112 # DEPENDENCYPART_ARC
(10,19),-2.01105 # DEPENDENCYPART_ARC
(10,20),-0.837582 # DEPENDENCYPART_ARC
(10,21),-1.33464 # DEPENDENCYPART_ARC
(10,22),0.847939 # DEPENDENCYPART_ARC
(10,23),0.862015 # DEPENDENCYPART_ARC
(10,24),0.667022 # DEPENDENCYPART_ARC
(10,25),-2.25577 # DEPENDENCYPART_ARC
(10,26),-0.550676 # DEPENDENCYPART_ARC
(10,27),-2.06844 # DEPENDENCYPART_ARC
(10,28),-3.31221 # DEPENDENCYPART_ARC
(10,29),-2.84688 # DEPENDENCYPART_ARC
(10,30),-1.95514 # DEPENDENCYPART_ARC
(10,31),-2.92066 # DEPENDENCYPART_ARC
(10,32),-3.68545 # DEPENDENCYPART_ARC
(10,33),-3.1934 # DEPENDENCYPART_ARC
(10,34),-2.7889 # DEPENDENCYPART_ARC
(11,1),-1.8568 # DEPENDENCYPART_ARC
(11,2),-2.39482 # DEPENDENCYPART_ARC
(11,3),-1.68551 # DEPENDENCYPART_ARC
(11,4),-2.51587 # DEPENDENCYPART_ARC
(11,5),-2.48643 # DEPENDENCYPART_ARC
(11,6),-1.97558 # DEPENDENCYPART_ARC
(11,7),-1.44892 # DEPENDENCYPART_ARC
(11,8),-0.999337 # DEPENDENCYPART_ARC
(11,9),-0.618207 # DEPENDENCYPART_ARC
(11,10),-0.496293 # DEPENDENCYPART_ARC
(11,12),0.764697 # DEPENDENCYPART_ARC
(11,13),0.577402 # DEPENDENCYPART_ARC
(11,14),2.98345 # DEPENDENCYPART_ARC
(11,15),-0.482687 # DEPENDENCYPART_ARC
(11,16),-0.0417888 # DEPENDENCYPART_ARC
(11,17),0.878641 # DEPENDENCYPART_ARC
(11,18),1.20594 # DEPENDENCYPART_ARC
(11,19),-0.678634 # DEPENDENCYPART_ARC
(11,20),-0.663379 # DEPENDENCYPART_ARC
(11,21),-0.463123 # DEPENDENCYPART_ARC
(11,22),0.811777 # DEPENDENCYPART_ARC
(11,23),0.435259 # DEPENDENCYPART_ARC
(11,24),-0.411522 # DEPENDENCYPART_ARC
(11,25),-0.737887 # DEPENDENCYPART_ARC
(11,26),-1.00495 # DEPENDENCYPART_ARC
(11,27),-0.922533 # DEPENDENCYPART_ARC
(11,28),-0.893538 # DEPENDENCYPART_ARC
(11,29),-1.0057 # DEPENDENCYPART_ARC
(11,30),-1.07769 # DEPENDENCYPART_ARC
(11,31),-1.12304 # DEPENDENCYPART_ARC
(11,32),-1.16558 # DEPENDENCYPART_ARC
(11,33),-1.27696 # DEPENDENCYPART_ARC
(11,34),-1.70334 # DEPENDENCYPART_ARC
(12,1),-2.95749 # DEPENDENCYPART_ARC
(12,2),-3.7221 # DEPENDENCYPART_ARC
(12,3),-3.1215 # DEPENDENCYPART_ARC
(12,4),-3.77501 # DEPENDENCYPART_ARC
(12,5),-3.57369 # DEPENDENCYPART_ARC
(12,6),-3.23841 # DEPENDENCYPART_ARC
(12,7),-2.54194 # DEPENDENCYPART_ARC
(12,8),-1.92475 # DEPENDENCYPART_ARC
(12,9),-2.20323 # DEPENDENCYPART_ARC
(12,10),-2.55666 # DEPENDENCYPART_ARC
(12,11),-1.46226 # DEPENDENCYPART_ARC
(12,13),1.29848 # DEPENDENCYPART_ARC
(12,14),0.0308989 # DEPENDENCYPART_ARC
(12,15),-0.667948 # DEPENDENCYPART_ARC
(12,16),-1.36043 # DEPENDENCYPART_ARC
(12,17),-0.403961 # DEPENDENCYPART_ARC
(12,18),-0.7059 # DEPENDENCYPART_ARC
(12,19),-1.60874 # DEPENDENCYPART_ARC
(12,20),-0.930773 # DEPENDENCYPART_ARC
(12,21),-2.24365 # DEPENDENCYPART_ARC
(12,22),-0.517875 # DEPENDENCYPART_ARC
(12,23),-0.636143 # DEPENDENCYPART_ARC
(12,24),-0.808507 # DEPENDENCYPART_ARC
(12,25),-1.85647 # DEPENDENCYPART_ARC
(12,26),-1.30495 # DEPENDENCYPART_ARC
(12,27),-0.817257 # DEPENDENCYPART_ARC
(12,28),-1.21094 # DEPENDENCYPART_ARC
(12,29),-1.12499 # DEPENDENCYPART_ARC
(12,30),-1.04487 # DEPENDENCYPART_ARC
(12,31),-0.938977 # DEPENDENCYPART_ARC
(12,32),-0.66486 # DEPENDENCYPART_ARC
(12,33),-1.4149 # DEPENDENCYPART_ARC
(12,34),-1.3677 # DEPENDENCYPART_ARC
(13,1),-1.41828 # DEPENDENCYPART_ARC
(13,2),-2.60627 # DEPENDENCYPART_ARC
(13,3),-1.46181 # DEPENDENCYPART_ARC
(13,4),-1.84259 # DEPENDENCYPART_ARC
(13,5),-2.15204 # DEPENDENCYPART_ARC
(13,6),-2.70977 # DEPENDENCYPART_ARC
(13,7),-2.20627 # DEPENDENCYPART_ARC
(13,8),-0.981728 # DEPENDENCYPART_ARC
(13,9),-0.440561 # DEPENDENCYPART_ARC
(13,10),-0.781281 # DEPENDENCYPART_ARC
(13,11),0.317749 # DEPENDENCYPART_ARC
(13,12),3.44645 # DEPENDENCYPART_ARC
(13,14),-0.0916108 # DEPENDENCYPART_ARC
(13,15),-0.699692 # DEPENDENCYPART_ARC
(13,16),0.26383 # DEPENDENCYPART_ARC
(13,17),-0.652967 # DEPENDENCYPART_ARC
(13,18),-2.06326 # DEPENDENCYPART_ARC
(13,19),-1.50259 # DEPENDENCYPART_ARC
(13,20),-0.861275 # DEPENDENCYPART_ARC
(13,21),-1.47667 # DEPENDENCYPART_ARC
(13,22),-0.542037 # DEPENDENCYPART_ARC
(13,23),-1.1911 # DEPENDENCYPART_ARC
(13,24),-3.01537 # DEPENDENCYPART_ARC
(13,25),-1.78931 # DEPENDENCYPART_ARC
(13,26),-1.51701 # DEPENDENCYPART_ARC
(13,27),-1.52053 # DEPENDENCYPART_ARC
(13,28),-1.06489 # DEPENDENCYPART_ARC
(13,29),-1.55122 # DEPENDENCYPART_ARC
(13,30),-1.52248 # DEPENDENCYPART_ARC
(13,31),-1.62583 # DEPENDENCYPART_ARC
(13,32),-1.97368 # DEPENDENCYPART_ARC
(13,33),-2.24146 # DEPENDENCYPART_ARC
(13,34),-3.98114 # DEPENDENCYPART_ARC
(14,1),-1.62943 # DEPENDENCYPART_ARC
(14,2),-0.0146997 # DEPENDENCYPART_ARC
(14,3),-0.486906 # DEPENDENCYPART_ARC
(14,4),-3.0062 # DEPENDENCYPART_ARC
(14,5),-1.4557 # DEPENDENCYPART_ARC
(14,6),-0.695736 # DEPENDENCYPART_ARC
(14,7),-1.69738 # DEPENDENCYPART_ARC
(14,8),-1.14551 # DEPENDENCYPART_ARC
(14,9),0.393589 # DEPENDENCYPART_ARC
(14,10),-0.989259 # DEPENDENCYPART_ARC
(14,11),0.799387 # DEPENDENCYPART_ARC
(14,12),0.165802 # DEPENDENCYPART_ARC
(14,13),2.42585 # DEPENDENCYPART_ARC
(14,15),1.46093 # DEPENDENCYPART_ARC
(14,16),2.1164 # DEPENDENCYPART_ARC
(14,17),0.669116 # DEPENDENCYPART_ARC
(14,18),1.05471 # DEPENDENCYPART_ARC
(14,19),-1.83485 # DEPENDENCYPART_ARC
(14,20),0.2311 # DEPENDENCYPART_ARC
(14,21),-0.25191 # DEPENDENCYPART_ARC
(14,22),0.629079 # DEPENDENCYPART_ARC
(14,23),0.554619 # DEPENDENCYPART_ARC
(14,24),0.687759 # DEPENDENCYPART_ARC
(14,25),-2.17132 # DEPENDENCYPART_ARC
(14,26),-0.59281 # DEPENDENCYPART_ARC
(14,27),-0.688335 # DEPENDENCYPART_ARC
(14,28),-2.47412 # DEPENDENCYPART_ARC
(14,29),-1.42984 # DEPENDENCYPART_ARC
(14,30),-1.89803 # DEPENDENCYPART_ARC
(14,31),-1.27406 # DEPENDENCYPART_ARC
(14,32),-2.71363 # DEPENDENCYPART_ARC
(14,33),-1.65564 # DEPENDENCYPART_ARC
(14,34),-2.35864 # DEPENDENCYPART_ARC
(15,1),-1.07903 # DEPENDENCYPART_ARC
(15,2),-2.07484 # DEPENDENCYPART_ARC
(15,3),-0.709284 # DEPENDENCYPART_ARC
(15,4),-2.24908 # DEPENDENCYPART_ARC
(15,5),-2.10561 # DEPENDENCYPART_ARC
(15,6),-1.83546 # DEPENDENCYPART_ARC
(15,7),-1.1723 # DEPENDENCYPART_ARC
