# _root_ È necessario , certo , ma per conto mio questa è l' ultima volta che sto insieme_ai musulmani .
#goldHeads=0,1,2,1,4,2,11,7,8,11,2,14,14,11,14,15,16,17,18,
#predictedHeads=0,1,2,1,4,1,11,7,8,11,1,14,14,11,11,15,16,17,18,
(8,3),-3.05896 # DEPENDENCYPART_ARC
(8,4),-1.78231 # DEPENDENCYPART_ARC
(8,5),-2.49128 # DEPENDENCYPART_ARC
(8,6),-1.21934 # DEPENDENCYPART_ARC
(8,7),0.301563 # DEPENDENCYPART_ARC
(8,9),3.09155 # DEPENDENCYPART_ARC
(8,10),-0.161197 # DEPENDENCYPART_ARC
(8,11),1.15021 # DEPENDENCYPART_ARC
(8,12),-0.617536 # DEPENDENCYPART_ARC
(8,13),-0.587476 # DEPENDENCYPART_ARC
(8,14),-1.07146 # DEPENDENCYPART_ARC
(8,15),-0.706298 # DEPENDENCYPART_ARC
(8,16),-1.34751 # DEPENDENCYPART_ARC
(8,17),-0.501886 # DEPENDENCYPART_ARC
(8,18),-0.856976 # DEPENDENCYPART_ARC
(8,19),-1.21849 # DEPENDENCYPART_ARC
(9,1),-1.81968 # DEPENDENCYPART_ARC
(9,3),-1.47585 # DEPENDENCYPART_ARC
(9,5),-1.0634 # DEPENDENCYPART_ARC
(9,6),-0.44269 # DEPENDENCYPART_ARC
(9,11),-1.13764 # DEPENDENCYPART_ARC
(9,12),-1.25681 # DEPENDENCYPART_ARC
(9,15),-0.674249 # DEPENDENCYPART_ARC
(9,16),-2.14967 # DEPENDENCYPART_ARC
(9,19),-1.39748 # DEPENDENCYPART_ARC
(10,1),-2.25543 # DEPENDENCYPART_ARC
(10,2),-1.36769 # DEPENDENCYPART_ARC
(10,3),-1.21985 # DEPENDENCYPART_ARC
(10,4),-1.07777 # DEPENDENCYPART_ARC
(10,5),-1.11138 # DEPENDENCYPART_ARC
(10,6),-0.766513 # DEPENDENCYPART_ARC
(10,7),-0.358588 # DEPENDENCYPART_ARC
(10,8),-0.260307 # DEPENDENCYPART_ARC
(10,11),1.19777 # DEPENDENCYPART_ARC
(10,12),-1.47817 # DEPENDENCYPART_ARC
(10,13),-0.495052 # DEPENDENCYPART_ARC
(10,14),-1.42742 # DEPENDENCYPART_ARC
(10,15),-1.19063 # DEPENDENCYPART_ARC
(10,16),-0.905055 # DEPENDENCYPART_ARC
(10,17),-0.72473 # DEPENDENCYPART_ARC
(10,18),-1.88161 # DEPENDENCYPART_ARC
(10,19),-1.41747 # DEPENDENCYPART_ARC
(11,1),-0.625257 # DEPENDENCYPART_ARC
(11,2),-0.928283 # DEPENDENCYPART_ARC
(11,3),-2.19902 # DEPENDENCYPART_ARC
(11,4),-0.479343 # DEPENDENCYPART_ARC
(11,5),-1.99812 # DEPENDENCYPART_ARC
(11,6),-0.0715544 # DEPENDENCYPART_ARC
(11,7),0.987623 # DEPENDENCYPART_ARC
(11,8),0.406206 # DEPENDENCYPART_ARC
(11,9),0.242398 # DEPENDENCYPART_ARC
(11,10),2.1759 # DEPENDENCYPART_ARC
(11,12),0.219118 # DEPENDENCYPART_ARC
(11,13),1.06205 # DEPENDENCYPART_ARC
(11,14),1.79625 # DEPENDENCYPART_ARC
(11,15),1.90064 # DEPENDENCYPART_ARC
(11,16),1.85607 # DEPENDENCYPART_ARC
(11,17),-0.0379552 # DEPENDENCYPART_ARC
(11,18),-0.868101 # DEPENDENCYPART_ARC
(11,19),-0.157075 # DEPENDENCYPART_ARC
(12,1),-3.14177 # DEPENDENCYPART_ARC
(12,3),-1.23023 # DEPENDENCYPART_ARC
(12,5),-1.14226 # DEPENDENCYPART_ARC
(12,7),-0.985112 # DEPENDENCYPART_ARC
(12,8),-1.75197 # DEPENDENCYPART_ARC
(12,11),-0.715378 # DEPENDENCYPART_ARC
(12,14),0.0897269 # DEPENDENCYPART_ARC
(12,16),-0.705761 # DEPENDENCYPART_ARC
(12,17),-0.993754 # DEPENDENCYPART_ARC
(12,18),-1.2203 # DEPENDENCYPART_ARC
(12,19),-0.670896 # DEPENDENCYPART_ARC
(13,1),-2.39418 # DEPENDENCYPART_ARC
(13,2),-2.24794 # DEPENDENCYPART_ARC
(13,3),-1.86177 # DEPENDENCYPART_ARC
(13,4),-1.78629 # DEPENDENCYPART_ARC
(13,5),-1.6798 # DEPENDENCYPART_ARC
(13,6),-1.45741 # DEPENDENCYPART_ARC
(13,7),-0.99047 # DEPENDENCYPART_ARC
(13,8),-1.37098 # DEPENDENCYPART_ARC
(13,9),-1.55153 # DEPENDENCYPART_ARC
(13,10),-0.0435698 # DEPENDENCYPART_ARC
(13,11),-0.635836 # DEPENDENCYPART_ARC
(13,12),1.32871 # DEPENDENCYPART_ARC
(13,14),0.698816 # DEPENDENCYPART_ARC
(13,15),-0.154221 # DEPENDENCYPART_ARC
(13,16),-0.683529 # DEPENDENCYPART_ARC
(13,17),-0.344346 # DEPENDENCYPART_ARC
(13,18),-0.944292 # DEPENDENCYPART_ARC
(13,19),-1.04137 # DEPENDENCYPART_ARC
(14,1),-1.2619 # DEPENDENCYPART_ARC
(14,2),-0.67188 # DEPENDENCYPART_ARC
(14,3),-2.18395 # DEPENDENCYPART_ARC
(14,4),-0.752494 # DEPENDENCYPART_ARC
(14,5),-1.92691 # DEPENDENCYPART_ARC
(14,6),-1.0535 # DEPENDENCYPART_ARC
(14,7),-0.272122 # DEPENDENCYPART_ARC
(14,8),-1.68924 # DEPENDENCYPART_ARC
(14,9),-0.0208778 # DEPENDENCYPART_ARC
(14,10),0.232359 # DEPENDENCYPART_ARC
(14,11),-0.497963 # DEPENDENCYPART_ARC
(14,12),3.4193 # DEPENDENCYPART_ARC
(14,13),4.18539 # DEPENDENCYPART_ARC
(14,15),0.410877 # DEPENDENCYPART_ARC
(14,16),-0.50843 # DEPENDENCYPART_ARC
(14,17),-0.0610841 # DEPENDENCYPART_ARC
(14,18),-0.333564 # DEPENDENCYPART_ARC
(14,19),-0.860004 # DEPENDENCYPART_ARC
(15,1),-2.79484 # DEPENDENCYPART_ARC
(15,2),-2.27195 # DEPENDENCYPART_ARC
(15,3),-1.84548 # DEPENDENCYPART_ARC
(15,4),-2.0402 # DEPENDENCYPART_ARC
(15,5),-1.82134 # DEPENDENCYPART_ARC
(15,6),-1.52956 # DEPENDENCYPART_ARC
(15,7),-1.84649 # DEPENDENCYPART_ARC
(15,8),-2.24198 # DEPENDENCYPART_ARC
(15,10),-1.36782 # DEPENDENCYPART_ARC
(15,11),-2.19591 # DEPENDENCYPART_ARC
(15,13),-1.0704 # DEPENDENCYPART_ARC
(15,14),-0.403946 # DEPENDENCYPART_ARC
(15,16),2.54735 # DEPENDENCYPART_ARC
(15,17),-0.545466 # DEPENDENCYPART_ARC
(15,18),-0.163554 # DEPENDENCYPART_ARC
(15,19),-0.10861 # DEPENDENCYPART_ARC
(16,1),-5.13786 # DEPENDENCYPART_ARC
(16,2),-2.98078 # DEPENDENCYPART_ARC
(16,3),-3.74162 # DEPENDENCYPART_ARC
(16,4),-2.09942 # DEPENDENCYPART_ARC
(16,5),-3.73883 # DEPENDENCYPART_ARC
(16,6),-1.76087 # DEPENDENCYPART_ARC
(16,7),-0.85886 # DEPENDENCYPART_ARC
(16,8),-2.63915 # DEPENDENCYPART_ARC
(16,9),-2.56652 # DEPENDENCYPART_ARC
(16,10),-1.19653 # DEPENDENCYPART_ARC
(16,11),-4.22342 # DEPENDENCYPART_ARC
(16,12),-2.28381 # DEPENDENCYPART_ARC
(16,13),-1.5528 # DEPENDENCYPART_ARC
(16,14),-1.28004 # DEPENDENCYPART_ARC
(16,15),0.0184488 # DEPENDENCYPART_ARC
(16,17),1.88976 # DEPENDENCYPART_ARC
(16,18),1.3291 # DEPENDENCYPART_ARC
(16,19),0.144779 # DEPENDENCYPART_ARC
(17,1),-3.43367 # DEPENDENCYPART_ARC
(17,2),-2.41526 # DEPENDENCYPART_ARC
(17,3),-1.85846 # DEPENDENCYPART_ARC
(17,4),-1.28707 # DEPENDENCYPART_ARC
(17,5),-1.65924 # DEPENDENCYPART_ARC
(17,6),-1.42072 # DEPENDENCYPART_ARC
(17,7),-1.48639 # DEPENDENCYPART_ARC
(17,8),-2.48202 # DEPENDENCYPART_ARC
(17,9),-2.2169 # DEPENDENCYPART_ARC
(17,10),-2.25487 # DEPENDENCYPART_ARC
(17,11),-3.11954 # DEPENDENCYPART_ARC
(17,12),-1.5243 # DEPENDENCYPART_ARC
(17,13),-2.21517 # DEPENDENCYPART_ARC
(17,14),-2.19924 # DEPENDENCYPART_ARC
(17,15),-0.215494 # DEPENDENCYPART_ARC
(17,16),-0.940112 # DEPENDENCYPART_ARC
(17,18),4.6189 # DEPENDENCYPART_ARC
(17,19),-0.0752884 # DEPENDENCYPART_ARC
(18,1),-4.14897 # DEPENDENCYPART_ARC
(18,2),-2.59493 # DEPENDENCYPART_ARC
(18,3),-3.39248 # DEPENDENCYPART_ARC
(18,4),-2.31396 # DEPENDENCYPART_ARC
(18,5),-3.22499 # DEPENDENCYPART_ARC
(18,6),-2.57304 # DEPENDENCYPART_ARC
(18,7),-1.96311 # DEPENDENCYPART_ARC
(18,8),-2.55245 # DEPENDENCYPART_ARC
(18,9),-2.29499 # DEPENDENCYPART_ARC
(18,10),-2.77727 # DEPENDENCYPART_ARC
(18,11),-3.82826 # DEPENDENCYPART_ARC
(18,12),-1.5789 # DEPENDENCYPART_ARC
(18,13),-1.63197 # DEPENDENCYPART_ARC
(18,14),-2.89451 # DEPENDENCYPART_ARC
(18,15),-1.24786 # DEPENDENCYPART_ARC
(18,16),-2.07254 # DEPENDENCYPART_ARC
(18,17),1.08063 # DEPENDENCYPART_ARC
(18,19),2.6373 # DEPENDENCYPART_ARC
(19,3),-1.96908 # DEPENDENCYPART_ARC
(19,5),-1.92345 # DEPENDENCYPART_ARC
(19,12),-1.45845 # DEPENDENCYPART_ARC
