# _root_ Arrivare con le nostre truppe a Roma e conquistar- vi , ah , ah ah " .
#goldHeads=0,1,5,5,2,1,6,1,1,9,10,9,12,9,9,15,16,
#predictedHeads=0,1,5,5,2,5,6,1,1,9,10,9,12,9,9,15,16,
(7,11),-0.949551 # DEPENDENCYPART_ARC
(7,13),-0.87372 # DEPENDENCYPART_ARC
(7,16),-1.79933 # DEPENDENCYPART_ARC
(7,17),-1.92597 # DEPENDENCYPART_ARC
(8,1),-2.43719 # DEPENDENCYPART_ARC
(8,2),-1.62888 # DEPENDENCYPART_ARC
(8,5),-1.56157 # DEPENDENCYPART_ARC
(8,6),-0.762838 # DEPENDENCYPART_ARC
(8,7),-0.377344 # DEPENDENCYPART_ARC
(8,9),0.0442891 # DEPENDENCYPART_ARC
(8,10),-1.20181 # DEPENDENCYPART_ARC
(8,11),-0.256616 # DEPENDENCYPART_ARC
(8,13),-0.676072 # DEPENDENCYPART_ARC
(8,16),-1.47875 # DEPENDENCYPART_ARC
(8,17),-1.33298 # DEPENDENCYPART_ARC
(9,1),-1.87181 # DEPENDENCYPART_ARC
(9,2),-1.28744 # DEPENDENCYPART_ARC
(9,3),-1.61667 # DEPENDENCYPART_ARC
(9,4),-1.78336 # DEPENDENCYPART_ARC
(9,5),-1.63073 # DEPENDENCYPART_ARC
(9,6),-0.921643 # DEPENDENCYPART_ARC
(9,7),-1.02376 # DEPENDENCYPART_ARC
(9,8),-0.139896 # DEPENDENCYPART_ARC
(9,10),2.8848 # DEPENDENCYPART_ARC
(9,11),0.591403 # DEPENDENCYPART_ARC
(9,12),0.396446 # DEPENDENCYPART_ARC
(9,13),0.341791 # DEPENDENCYPART_ARC
(9,14),0.103154 # DEPENDENCYPART_ARC
(9,15),-0.00242147 # DEPENDENCYPART_ARC
(9,16),-0.832657 # DEPENDENCYPART_ARC
(9,17),-0.509913 # DEPENDENCYPART_ARC
(10,1),-2.44513 # DEPENDENCYPART_ARC
(10,2),-1.14828 # DEPENDENCYPART_ARC
(10,5),-1.89805 # DEPENDENCYPART_ARC
(10,6),-0.688159 # DEPENDENCYPART_ARC
(10,7),-1.1787 # DEPENDENCYPART_ARC
(10,8),-0.248368 # DEPENDENCYPART_ARC
(10,9),-0.173156 # DEPENDENCYPART_ARC
(10,11),1.96493 # DEPENDENCYPART_ARC
(10,13),0.440707 # DEPENDENCYPART_ARC
(10,16),-0.00892254 # DEPENDENCYPART_ARC
(10,17),-0.0927072 # DEPENDENCYPART_ARC
(11,3),-1.33183 # DEPENDENCYPART_ARC
(11,13),-0.0139724 # DEPENDENCYPART_ARC
(11,16),-1.05604 # DEPENDENCYPART_ARC
(11,17),-0.283111 # DEPENDENCYPART_ARC
(12,2),-1.2891 # DEPENDENCYPART_ARC
(12,5),-1.48872 # DEPENDENCYPART_ARC
(12,6),-1.12934 # DEPENDENCYPART_ARC
(12,7),-1.33172 # DEPENDENCYPART_ARC
(12,8),-0.923966 # DEPENDENCYPART_ARC
(12,11),0.399732 # DEPENDENCYPART_ARC
(12,13),1.8186 # DEPENDENCYPART_ARC
(12,16),0.384067 # DEPENDENCYPART_ARC
(12,17),0.0501597 # DEPENDENCYPART_ARC
(13,3),-1.67741 # DEPENDENCYPART_ARC
(13,11),-0.720021 # DEPENDENCYPART_ARC
(13,16),-0.74852 # DEPENDENCYPART_ARC
(13,17),-0.304164 # DEPENDENCYPART_ARC
(14,2),-1.43834 # DEPENDENCYPART_ARC
(14,5),-1.67336 # DEPENDENCYPART_ARC
(14,6),-1.32243 # DEPENDENCYPART_ARC
(14,7),-1.59008 # DEPENDENCYPART_ARC
(14,8),-1.15108 # DEPENDENCYPART_ARC
(14,11),-0.952133 # DEPENDENCYPART_ARC
(14,13),0.333343 # DEPENDENCYPART_ARC
(14,16),0.700283 # DEPENDENCYPART_ARC
(14,17),0.409397 # DEPENDENCYPART_ARC
(15,2),-1.24229 # DEPENDENCYPART_ARC
(15,5),-1.5312 # DEPENDENCYPART_ARC
(15,6),-1.12885 # DEPENDENCYPART_ARC
(15,7),-1.46617 # DEPENDENCYPART_ARC
(15,8),-0.968941 # DEPENDENCYPART_ARC
(15,11),-1.08438 # DEPENDENCYPART_ARC
(15,13),-0.380534 # DEPENDENCYPART_ARC
(15,16),1.54745 # DEPENDENCYPART_ARC
(15,17),0.562829 # DEPENDENCYPART_ARC
(16,3),-1.42898 # DEPENDENCYPART_ARC
(16,11),-1.17315 # DEPENDENCYPART_ARC
(16,13),-0.691119 # DEPENDENCYPART_ARC
(16,17),2.78777 # DEPENDENCYPART_ARC
(17,3),-1.13512 # DEPENDENCYPART_ARC
(17,11),-0.985293 # DEPENDENCYPART_ARC
(17,13),-0.730454 # DEPENDENCYPART_ARC
(17,16),0.667739 # DEPENDENCYPART_ARC
