# _root_ Il vero nome della " Payita " è , come si sa , Miriam Contreras .
#goldHeads=3,3,8,3,6,4,6,0,8,8,12,10,12,15,8,15,
#predictedHeads=3,3,8,3,6,4,8,0,8,8,12,10,12,15,12,15,
(2,12),-1.98404 # DEPENDENCYPART_ARC
(2,13),-1.32118 # DEPENDENCYPART_ARC
(2,14),-1.46017 # DEPENDENCYPART_ARC
(2,15),-1.34479 # DEPENDENCYPART_ARC
(2,16),-2.19083 # DEPENDENCYPART_ARC
(3,1),2.95706 # DEPENDENCYPART_ARC
(3,2),3.76956 # DEPENDENCYPART_ARC
(3,4),2.47329 # DEPENDENCYPART_ARC
(3,5),0.68204 # DEPENDENCYPART_ARC
(3,6),1.38468 # DEPENDENCYPART_ARC
(3,7),-0.342173 # DEPENDENCYPART_ARC
(3,8),0.193231 # DEPENDENCYPART_ARC
(3,9),0.832929 # DEPENDENCYPART_ARC
(3,10),0.254971 # DEPENDENCYPART_ARC
(3,11),-1.82435 # DEPENDENCYPART_ARC
(3,12),-0.860871 # DEPENDENCYPART_ARC
(3,13),0.682105 # DEPENDENCYPART_ARC
(3,14),-0.255691 # DEPENDENCYPART_ARC
(3,15),-0.0083504 # DEPENDENCYPART_ARC
(3,16),-1.72226 # DEPENDENCYPART_ARC
(4,1),-1.03639 # DEPENDENCYPART_ARC
(4,2),-1.39318 # DEPENDENCYPART_ARC
(4,3),-0.811886 # DEPENDENCYPART_ARC
(4,5),0.942095 # DEPENDENCYPART_ARC
(4,6),2.94904 # DEPENDENCYPART_ARC
(4,7),-0.138217 # DEPENDENCYPART_ARC
(4,8),-0.451513 # DEPENDENCYPART_ARC
(4,9),0.355011 # DEPENDENCYPART_ARC
(4,10),-0.716938 # DEPENDENCYPART_ARC
(4,11),-1.35586 # DEPENDENCYPART_ARC
(4,12),-1.47406 # DEPENDENCYPART_ARC
(4,13),0.289004 # DEPENDENCYPART_ARC
(4,14),-1.89024 # DEPENDENCYPART_ARC
(4,15),-2.7137 # DEPENDENCYPART_ARC
(4,16),-0.790458 # DEPENDENCYPART_ARC
(5,1),-1.68854 # DEPENDENCYPART_ARC
(5,7),-0.173064 # DEPENDENCYPART_ARC
(5,9),-0.390268 # DEPENDENCYPART_ARC
(5,13),-0.651837 # DEPENDENCYPART_ARC
(5,16),-0.969984 # DEPENDENCYPART_ARC
(6,1),0.834836 # DEPENDENCYPART_ARC
(6,2),-0.0537539 # DEPENDENCYPART_ARC
(6,3),-1.7688 # DEPENDENCYPART_ARC
(6,4),0.828467 # DEPENDENCYPART_ARC
(6,5),2.40619 # DEPENDENCYPART_ARC
(6,7),2.49392 # DEPENDENCYPART_ARC
(6,8),0.417122 # DEPENDENCYPART_ARC
(6,9),0.746827 # DEPENDENCYPART_ARC
(6,10),0.298529 # DEPENDENCYPART_ARC
(6,11),-0.815544 # DEPENDENCYPART_ARC
(6,12),-0.924624 # DEPENDENCYPART_ARC
(6,13),0.640018 # DEPENDENCYPART_ARC
(6,14),-0.0476811 # DEPENDENCYPART_ARC
(6,15),0.0137204 # DEPENDENCYPART_ARC
(6,16),-0.363566 # DEPENDENCYPART_ARC
(7,1),-0.882147 # DEPENDENCYPART_ARC
(7,5),-0.28988 # DEPENDENCYPART_ARC
(7,9),-0.368458 # DEPENDENCYPART_ARC
(7,13),-0.856344 # DEPENDENCYPART_ARC
(7,16),-1.22306 # DEPENDENCYPART_ARC
(8,1),-0.490777 # DEPENDENCYPART_ARC
(8,2),0.148466 # DEPENDENCYPART_ARC
(8,3),1.47764 # DEPENDENCYPART_ARC
(8,4),0.289818 # DEPENDENCYPART_ARC
(8,5),0.759897 # DEPENDENCYPART_ARC
(8,6),1.96286 # DEPENDENCYPART_ARC
(8,7),2.53045 # DEPENDENCYPART_ARC
(8,9),2.90343 # DEPENDENCYPART_ARC
(8,10),1.64881 # DEPENDENCYPART_ARC
(8,11),0.472618 # DEPENDENCYPART_ARC
(8,12),1.31768 # DEPENDENCYPART_ARC
(8,13),1.00121 # DEPENDENCYPART_ARC
(8,14),-0.874679 # DEPENDENCYPART_ARC
(8,15),-0.706966 # DEPENDENCYPART_ARC
(8,16),-0.333446 # DEPENDENCYPART_ARC
(9,1),-1.12677 # DEPENDENCYPART_ARC
(9,5),-1.27462 # DEPENDENCYPART_ARC
(9,7),-0.553936 # DEPENDENCYPART_ARC
(9,13),-0.867367 # DEPENDENCYPART_ARC
(9,16),-0.935897 # DEPENDENCYPART_ARC
(10,2),-2.55238 # DEPENDENCYPART_ARC
(10,3),-2.66147 # DEPENDENCYPART_ARC
(10,4),-2.11021 # DEPENDENCYPART_ARC
(10,5),-1.89558 # DEPENDENCYPART_ARC
(10,6),-2.26665 # DEPENDENCYPART_ARC
(10,7),-1.52233 # DEPENDENCYPART_ARC
(10,8),-1.6197 # DEPENDENCYPART_ARC
(10,9),0.00946286 # DEPENDENCYPART_ARC
(10,11),0.508969 # DEPENDENCYPART_ARC
(10,12),2.19973 # DEPENDENCYPART_ARC
(10,13),0.702121 # DEPENDENCYPART_ARC
(10,14),-0.413015 # DEPENDENCYPART_ARC
(10,15),-0.460479 # DEPENDENCYPART_ARC
(10,16),-0.0238237 # DEPENDENCYPART_ARC
(11,2),-3.02593 # DEPENDENCYPART_ARC
(11,3),-3.49637 # DEPENDENCYPART_ARC
(11,4),-2.26913 # DEPENDENCYPART_ARC
(11,5),-2.04109 # DEPENDENCYPART_ARC
(11,6),-2.27824 # DEPENDENCYPART_ARC
(11,7),-1.84484 # DEPENDENCYPART_ARC
(11,8),-3.43859 # DEPENDENCYPART_ARC
(11,9),-1.27885 # DEPENDENCYPART_ARC
(11,10),-0.0908761 # DEPENDENCYPART_ARC
(11,12),-1.0892 # DEPENDENCYPART_ARC
(11,13),-0.975549 # DEPENDENCYPART_ARC
(11,14),-1.31123 # DEPENDENCYPART_ARC
(11,15),-1.36388 # DEPENDENCYPART_ARC
(11,16),-1.62545 # DEPENDENCYPART_ARC
(12,1),-1.70824 # DEPENDENCYPART_ARC
(12,2),-0.880684 # DEPENDENCYPART_ARC
(12,3),-0.235127 # DEPENDENCYPART_ARC
(12,4),-1.1635 # DEPENDENCYPART_ARC
(12,5),-0.961902 # DEPENDENCYPART_ARC
(12,6),0.0329889 # DEPENDENCYPART_ARC
(12,7),-0.688514 # DEPENDENCYPART_ARC
(12,8),-0.365984 # DEPENDENCYPART_ARC
(12,9),-0.95279 # DEPENDENCYPART_ARC
(12,10),0.529705 # DEPENDENCYPART_ARC
(12,11),4.30802 # DEPENDENCYPART_ARC
(12,13),1.63379 # DEPENDENCYPART_ARC
(12,14),1.58458 # DEPENDENCYPART_ARC
(12,15),0.775726 # DEPENDENCYPART_ARC
(12,16),-0.393329 # DEPENDENCYPART_ARC
(13,1),-2.15062 # DEPENDENCYPART_ARC
(13,5),-2.52733 # DEPENDENCYPART_ARC
(13,7),-2.41718 # DEPENDENCYPART_ARC
(13,9),-2.03166 # DEPENDENCYPART_ARC
(13,16),-0.557117 # DEPENDENCYPART_ARC
(14,1),-2.47729 # DEPENDENCYPART_ARC
(14,2),-2.62364 # DEPENDENCYPART_ARC
(14,3),-5.01125 # DEPENDENCYPART_ARC
(14,4),-1.98479 # DEPENDENCYPART_ARC
(14,5),-1.52222 # DEPENDENCYPART_ARC
(14,6),-2.38141 # DEPENDENCYPART_ARC
(14,7),-1.46766 # DEPENDENCYPART_ARC
(14,8),-3.44462 # DEPENDENCYPART_ARC
(14,9),-2.49953 # DEPENDENCYPART_ARC
(14,10),-1.29355 # DEPENDENCYPART_ARC
(14,11),-0.510377 # DEPENDENCYPART_ARC
(14,12),-2.00685 # DEPENDENCYPART_ARC
(14,13),0.0915357 # DEPENDENCYPART_ARC
(14,15),2.06002 # DEPENDENCYPART_ARC
(14,16),-0.142159 # DEPENDENCYPART_ARC
(15,1),-2.08129 # DEPENDENCYPART_ARC
(15,2),-1.22012 # DEPENDENCYPART_ARC
(15,3),-3.4839 # DEPENDENCYPART_ARC
(15,4),-0.991518 # DEPENDENCYPART_ARC
(15,5),-0.979835 # DEPENDENCYPART_ARC
(15,6),-1.09624 # DEPENDENCYPART_ARC
(15,7),-0.895454 # DEPENDENCYPART_ARC
(15,8),-2.4639 # DEPENDENCYPART_ARC
(15,9),-2.00936 # DEPENDENCYPART_ARC
(15,10),-0.698489 # DEPENDENCYPART_ARC
(15,11),0.191683 # DEPENDENCYPART_ARC
(15,12),-1.90904 # DEPENDENCYPART_ARC
(15,13),-0.313295 # DEPENDENCYPART_ARC
(15,14),3.17179 # DEPENDENCYPART_ARC
(15,16),2.71361 # DEPENDENCYPART_ARC
(16,1),-1.47582 # DEPENDENCYPART_ARC
(16,5),-1.81267 # DEPENDENCYPART_ARC
(16,7),-1.65964 # DEPENDENCYPART_ARC
(16,9),-1.45489 # DEPENDENCYPART_ARC
(16,13),-0.792339 # DEPENDENCYPART_ARC
