# _root_ I rappresentanti della minoranza , pur preoccupati , ridimensionano le notizie sui rastrellamenti .
#goldHeads=2,9,2,3,4,7,2,7,0,11,9,11,12,13,
#predictedHeads=2,9,2,3,4,7,2,7,0,11,9,11,12,13,
(10,14),-0.647725 # DEPENDENCYPART_ARC
(11,1),-1.33054 # DEPENDENCYPART_ARC
(11,2),-1.79637 # DEPENDENCYPART_ARC
(11,3),-1.11615 # DEPENDENCYPART_ARC
(11,4),-2.36978 # DEPENDENCYPART_ARC
(11,5),-2.27248 # DEPENDENCYPART_ARC
(11,6),-0.699524 # DEPENDENCYPART_ARC
(11,7),-0.391503 # DEPENDENCYPART_ARC
(11,8),-1.51395 # DEPENDENCYPART_ARC
(11,9),-0.919965 # DEPENDENCYPART_ARC
(11,10),3.51144 # DEPENDENCYPART_ARC
(11,12),2.00746 # DEPENDENCYPART_ARC
(11,13),1.10647 # DEPENDENCYPART_ARC
(11,14),-0.292386 # DEPENDENCYPART_ARC
(12,1),-1.30583 # DEPENDENCYPART_ARC
(12,2),-2.57698 # DEPENDENCYPART_ARC
(12,3),-1.90327 # DEPENDENCYPART_ARC
(12,4),-3.07882 # DEPENDENCYPART_ARC
(12,5),-1.77641 # DEPENDENCYPART_ARC
(12,6),-1.13039 # DEPENDENCYPART_ARC
(12,7),-2.55335 # DEPENDENCYPART_ARC
(12,8),-1.49185 # DEPENDENCYPART_ARC
(12,9),-2.35566 # DEPENDENCYPART_ARC
(12,10),-0.247832 # DEPENDENCYPART_ARC
(12,11),-0.697896 # DEPENDENCYPART_ARC
(12,13),4.43264 # DEPENDENCYPART_ARC
(12,14),-0.450604 # DEPENDENCYPART_ARC
(13,1),-1.87448 # DEPENDENCYPART_ARC
(13,2),-2.43704 # DEPENDENCYPART_ARC
(13,3),-2.41117 # DEPENDENCYPART_ARC
(13,4),-3.66857 # DEPENDENCYPART_ARC
(13,5),-3.07367 # DEPENDENCYPART_ARC
(13,6),-1.82759 # DEPENDENCYPART_ARC
(13,7),-1.17848 # DEPENDENCYPART_ARC
(13,8),-2.73558 # DEPENDENCYPART_ARC
(13,9),-3.04327 # DEPENDENCYPART_ARC
(13,10),0.483011 # DEPENDENCYPART_ARC
(13,11),-0.53225 # DEPENDENCYPART_ARC
(13,12),1.00318 # DEPENDENCYPART_ARC
(13,14),2.75493 # DEPENDENCYPART_ARC
(14,1),-1.6932 # DEPENDENCYPART_ARC
(14,5),-1.80986 # DEPENDENCYPART_ARC
(14,8),-1.74656 # DEPENDENCYPART_ARC
(14,10),-1.0853 # DEPENDENCYPART_ARC
