# _root_ Paolo Borroni , agente di cambio alla Borsa valori di Milano , ritratto nel suo studio davanti_alla stampante .
#goldHeads=2,0,2,2,4,5,4,7,8,8,10,11,2,13,16,14,13,17,18,
#predictedHeads=2,0,2,2,4,5,6,7,8,9,10,11,1,13,16,14,16,17,18,
(2,4),1.75093 # DEPENDENCYPART_ARC
(2,5),0.918874 # DEPENDENCYPART_ARC
(2,6),0.97327 # DEPENDENCYPART_ARC
(2,7),-0.23203 # DEPENDENCYPART_ARC
(2,8),0.455626 # DEPENDENCYPART_ARC
(2,9),0.49306 # DEPENDENCYPART_ARC
(2,10),-0.190686 # DEPENDENCYPART_ARC
(2,11),0.827898 # DEPENDENCYPART_ARC
(2,12),0.76147 # DEPENDENCYPART_ARC
(2,13),0.735928 # DEPENDENCYPART_ARC
(2,14),-0.570555 # DEPENDENCYPART_ARC
(2,15),-1.58971 # DEPENDENCYPART_ARC
(2,16),-0.210522 # DEPENDENCYPART_ARC
(2,17),-1.20372 # DEPENDENCYPART_ARC
(2,18),-0.297158 # DEPENDENCYPART_ARC
(2,19),-2.74641 # DEPENDENCYPART_ARC
(3,12),-1.17896 # DEPENDENCYPART_ARC
(3,19),-1.77261 # DEPENDENCYPART_ARC
(4,1),-0.538416 # DEPENDENCYPART_ARC
(4,2),-0.699691 # DEPENDENCYPART_ARC
(4,3),0.407103 # DEPENDENCYPART_ARC
(4,5),2.89573 # DEPENDENCYPART_ARC
(4,6),1.59633 # DEPENDENCYPART_ARC
(4,7),1.00666 # DEPENDENCYPART_ARC
(4,8),0.712646 # DEPENDENCYPART_ARC
(4,9),0.494188 # DEPENDENCYPART_ARC
(4,10),0.597415 # DEPENDENCYPART_ARC
(4,11),0.212321 # DEPENDENCYPART_ARC
(4,12),0.432008 # DEPENDENCYPART_ARC
(4,13),1.28707 # DEPENDENCYPART_ARC
(4,14),-0.211331 # DEPENDENCYPART_ARC
(4,15),-1.22548 # DEPENDENCYPART_ARC
(4,16),-0.369756 # DEPENDENCYPART_ARC
(4,17),-0.260074 # DEPENDENCYPART_ARC
(4,18),-0.852576 # DEPENDENCYPART_ARC
(4,19),-2.84873 # DEPENDENCYPART_ARC
(5,1),-1.76669 # DEPENDENCYPART_ARC
(5,2),-1.39202 # DEPENDENCYPART_ARC
(5,3),-0.957828 # DEPENDENCYPART_ARC
(5,4),-0.444183 # DEPENDENCYPART_ARC
(5,6),3.71898 # DEPENDENCYPART_ARC
(5,7),-0.461331 # DEPENDENCYPART_ARC
(5,8),0.402736 # DEPENDENCYPART_ARC
(5,9),-0.966766 # DEPENDENCYPART_ARC
(5,10),-0.421743 # DEPENDENCYPART_ARC
(5,11),-1.23442 # DEPENDENCYPART_ARC
(5,12),-0.382753 # DEPENDENCYPART_ARC
(5,13),-1.47597 # DEPENDENCYPART_ARC
(5,14),-1.52726 # DEPENDENCYPART_ARC
(5,15),-1.44383 # DEPENDENCYPART_ARC
(5,16),-4.60442 # DEPENDENCYPART_ARC
(5,17),-2.06558 # DEPENDENCYPART_ARC
(5,18),-4.59987 # DEPENDENCYPART_ARC
(5,19),-1.90363 # DEPENDENCYPART_ARC
(6,1),-2.44283 # DEPENDENCYPART_ARC
(6,2),-2.91624 # DEPENDENCYPART_ARC
(6,3),-2.24007 # DEPENDENCYPART_ARC
(6,4),-1.83877 # DEPENDENCYPART_ARC
(6,5),0.447043 # DEPENDENCYPART_ARC
(6,7),1.57314 # DEPENDENCYPART_ARC
(6,8),0.175166 # DEPENDENCYPART_ARC
(6,9),0.355697 # DEPENDENCYPART_ARC
(6,10),0.632724 # DEPENDENCYPART_ARC
(6,11),0.234186 # DEPENDENCYPART_ARC
(6,12),0.434889 # DEPENDENCYPART_ARC
(6,13),0.91409 # DEPENDENCYPART_ARC
(6,14),-0.517372 # DEPENDENCYPART_ARC
(6,15),-1.2828 # DEPENDENCYPART_ARC
(6,16),-1.1428 # DEPENDENCYPART_ARC
(6,17),-0.414687 # DEPENDENCYPART_ARC
(6,18),-1.37407 # DEPENDENCYPART_ARC
(6,19),-2.55356 # DEPENDENCYPART_ARC
(7,1),-2.77342 # DEPENDENCYPART_ARC
(7,2),-2.57884 # DEPENDENCYPART_ARC
(7,3),-1.51637 # DEPENDENCYPART_ARC
(7,4),-2.02093 # DEPENDENCYPART_ARC
(7,5),-0.484306 # DEPENDENCYPART_ARC
(7,6),-0.832313 # DEPENDENCYPART_ARC
(7,8),3.70979 # DEPENDENCYPART_ARC
(7,9),0.634884 # DEPENDENCYPART_ARC
(7,10),-0.408013 # DEPENDENCYPART_ARC
(7,11),-0.40553 # DEPENDENCYPART_ARC
(7,12),-0.270071 # DEPENDENCYPART_ARC
(7,13),-1.78337 # DEPENDENCYPART_ARC
(7,14),-0.461973 # DEPENDENCYPART_ARC
(7,15),-2.44603 # DEPENDENCYPART_ARC
(7,16),-3.91707 # DEPENDENCYPART_ARC
(7,17),-0.60214 # DEPENDENCYPART_ARC
(7,18),-3.38764 # DEPENDENCYPART_ARC
(7,19),-1.54466 # DEPENDENCYPART_ARC
(8,1),-3.15735 # DEPENDENCYPART_ARC
(8,2),-3.6337 # DEPENDENCYPART_ARC
(8,3),-2.47624 # DEPENDENCYPART_ARC
(8,4),-2.93756 # DEPENDENCYPART_ARC
(8,5),-0.987734 # DEPENDENCYPART_ARC
(8,6),-1.77956 # DEPENDENCYPART_ARC
(8,7),0.378754 # DEPENDENCYPART_ARC
(8,9),2.03079 # DEPENDENCYPART_ARC
(8,10),1.321 # DEPENDENCYPART_ARC
(8,11),0.857381 # DEPENDENCYPART_ARC
(8,12),0.182454 # DEPENDENCYPART_ARC
(8,13),0.4256 # DEPENDENCYPART_ARC
(8,14),-0.237726 # DEPENDENCYPART_ARC
(8,15),-1.56569 # DEPENDENCYPART_ARC
(8,16),-0.832845 # DEPENDENCYPART_ARC
(8,17),0.0545757 # DEPENDENCYPART_ARC
(8,18),-0.362839 # DEPENDENCYPART_ARC
(8,19),-2.20107 # DEPENDENCYPART_ARC
(9,1),-1.32076 # DEPENDENCYPART_ARC
(9,2),-2.2222 # DEPENDENCYPART_ARC
(9,3),-2.12702 # DEPENDENCYPART_ARC
(9,4),-1.93262 # DEPENDENCYPART_ARC
(9,5),-0.311917 # DEPENDENCYPART_ARC
(9,6),-0.606219 # DEPENDENCYPART_ARC
(9,7),0.0342384 # DEPENDENCYPART_ARC
(9,8),0.803673 # DEPENDENCYPART_ARC
(9,10),1.49293 # DEPENDENCYPART_ARC
(9,11),0.827985 # DEPENDENCYPART_ARC
(9,12),0.392258 # DEPENDENCYPART_ARC
(9,13),0.628689 # DEPENDENCYPART_ARC
(9,14),-0.573108 # DEPENDENCYPART_ARC
(9,15),-1.91717 # DEPENDENCYPART_ARC
(9,16),-0.612309 # DEPENDENCYPART_ARC
(9,17),-0.467473 # DEPENDENCYPART_ARC
(9,18),-0.756964 # DEPENDENCYPART_ARC
(9,19),-1.7122 # DEPENDENCYPART_ARC
(10,1),-2.35789 # DEPENDENCYPART_ARC
(10,2),-2.31277 # DEPENDENCYPART_ARC
(10,3),-2.08661 # DEPENDENCYPART_ARC
(10,4),-2.34646 # DEPENDENCYPART_ARC
(10,5),-1.43901 # DEPENDENCYPART_ARC
(10,6),-2.00436 # DEPENDENCYPART_ARC
(10,7),-0.903986 # DEPENDENCYPART_ARC
(10,8),-1.36468 # DEPENDENCYPART_ARC
(10,9),-0.558153 # DEPENDENCYPART_ARC
(10,11),4.47641 # DEPENDENCYPART_ARC
(10,12),0.351765 # DEPENDENCYPART_ARC
(10,13),0.0697834 # DEPENDENCYPART_ARC
(10,14),-0.945608 # DEPENDENCYPART_ARC
(10,15),-0.760315 # DEPENDENCYPART_ARC
(10,16),-1.4507 # DEPENDENCYPART_ARC
(10,17),-1.20305 # DEPENDENCYPART_ARC
(10,18),-1.49688 # DEPENDENCYPART_ARC
(10,19),-0.981197 # DEPENDENCYPART_ARC
(11,1),-1.64892 # DEPENDENCYPART_ARC
(11,2),-2.59017 # DEPENDENCYPART_ARC
(11,3),-3.51624 # DEPENDENCYPART_ARC
(11,4),-3.5397 # DEPENDENCYPART_ARC
(11,5),-2.56231 # DEPENDENCYPART_ARC
(11,6),-3.56504 # DEPENDENCYPART_ARC
(11,7),-1.66003 # DEPENDENCYPART_ARC
(11,8),-2.42006 # DEPENDENCYPART_ARC
(11,9),-2.35172 # DEPENDENCYPART_ARC
(11,10),0.0724188 # DEPENDENCYPART_ARC
(11,12),1.7182 # DEPENDENCYPART_ARC
(11,13),0.342028 # DEPENDENCYPART_ARC
(11,14),-1.30044 # DEPENDENCYPART_ARC
(11,15),-1.54434 # DEPENDENCYPART_ARC
(11,16),-1.29887 # DEPENDENCYPART_ARC
(11,17),-1.04574 # DEPENDENCYPART_ARC
(11,18),-1.22405 # DEPENDENCYPART_ARC
(11,19),-1.41508 # DEPENDENCYPART_ARC
(12,3),-1.63725 # DEPENDENCYPART_ARC
(12,19),-1.17932 # DEPENDENCYPART_ARC
(13,1),-0.527771 # DEPENDENCYPART_ARC
(13,2),-0.592294 # DEPENDENCYPART_ARC
(13,3),-2.54731 # DEPENDENCYPART_ARC
(13,4),-0.360953 # DEPENDENCYPART_ARC
(13,5),-1.66721 # DEPENDENCYPART_ARC
(13,6),-0.88214 # DEPENDENCYPART_ARC
(13,7),-0.790128 # DEPENDENCYPART_ARC
(13,8),-1.0567 # DEPENDENCYPART_ARC
(13,9),-0.378192 # DEPENDENCYPART_ARC
(13,10),-0.657645 # DEPENDENCYPART_ARC
(13,11),-0.105428 # DEPENDENCYPART_ARC
(13,12),-0.319688 # DEPENDENCYPART_ARC
(13,14),2.7506 # DEPENDENCYPART_ARC
(13,15),0.276276 # DEPENDENCYPART_ARC
(13,16),0.514047 # DEPENDENCYPART_ARC
(13,17),1.38734 # DEPENDENCYPART_ARC
(13,18),-0.383257 # DEPENDENCYPART_ARC
(13,19),-0.643726 # DEPENDENCYPART_ARC
(14,1),-3.1326 # DEPENDENCYPART_ARC
(14,2),-3.10852 # DEPENDENCYPART_ARC
(14,3),-2.04515 # DEPENDENCYPART_ARC
(14,4),-2.94554 # DEPENDENCYPART_ARC
(14,5),-1.72863 # DEPENDENCYPART_ARC
(14,6),-2.64551 # DEPENDENCYPART_ARC
(14,7),-1.93521 # DEPENDENCYPART_ARC
(14,8),-2.88158 # DEPENDENCYPART_ARC
(14,9),-2.30956 # DEPENDENCYPART_ARC
(14,10),-1.21304 # DEPENDENCYPART_ARC
(14,11),-2.21804 # DEPENDENCYPART_ARC
(14,12),-0.814244 # DEPENDENCYPART_ARC
(14,13),-1.24191 # DEPENDENCYPART_ARC
(14,15),1.54651 # DEPENDENCYPART_ARC
(14,16),2.85958 # DEPENDENCYPART_ARC
(14,17),0.6868 # DEPENDENCYPART_ARC
(14,18),0.765688 # DEPENDENCYPART_ARC
(14,19),0.210592 # DEPENDENCYPART_ARC
(15,3),-2.85314 # DEPENDENCYPART_ARC
(15,12),-1.99264 # DEPENDENCYPART_ARC
(15,13),-2.44823 # DEPENDENCYPART_ARC
(15,19),-0.794488 # DEPENDENCYPART_ARC
(16,1),-2.54076 # DEPENDENCYPART_ARC
(16,2),-3.1359 # DEPENDENCYPART_ARC
(16,3),-2.36982 # DEPENDENCYPART_ARC
(16,4),-2.75199 # DEPENDENCYPART_ARC
(16,5),-2.01648 # DEPENDENCYPART_ARC
(16,6),-2.24132 # DEPENDENCYPART_ARC
(16,7),-1.53981 # DEPENDENCYPART_ARC
(16,8),-2.50869 # DEPENDENCYPART_ARC
(16,9),-1.96972 # DEPENDENCYPART_ARC
(16,10),-1.12871 # DEPENDENCYPART_ARC
(16,11),-1.45197 # DEPENDENCYPART_ARC
(16,12),-1.61127 # DEPENDENCYPART_ARC
(16,13),-0.0962781 # DEPENDENCYPART_ARC
(16,14),0.680591 # DEPENDENCYPART_ARC
(16,15),3.68687 # DEPENDENCYPART_ARC
(16,17),2.12758 # DEPENDENCYPART_ARC
(16,18),0.932665 # DEPENDENCYPART_ARC
(16,19),0.0117036 # DEPENDENCYPART_ARC
(17,1),-3.26153 # DEPENDENCYPART_ARC
(17,2),-3.19305 # DEPENDENCYPART_ARC
(17,3),-2.1779 # DEPENDENCYPART_ARC
(17,4),-2.9865 # DEPENDENCYPART_ARC
(17,5),-1.82541 # DEPENDENCYPART_ARC
(17,6),-2.97251 # DEPENDENCYPART_ARC
(17,7),-2.01435 # DEPENDENCYPART_ARC
(17,8),-2.52993 # DEPENDENCYPART_ARC
(17,9),-2.95943 # DEPENDENCYPART_ARC
(17,10),-1.54775 # DEPENDENCYPART_ARC
(17,11),-2.8029 # DEPENDENCYPART_ARC
(17,12),-1.76192 # DEPENDENCYPART_ARC
(17,13),-3.05401 # DEPENDENCYPART_ARC
(17,14),-0.886494 # DEPENDENCYPART_ARC
(17,15),-1.36177 # DEPENDENCYPART_ARC
(17,16),-0.893571 # DEPENDENCYPART_ARC
(17,18),4.46052 # DEPENDENCYPART_ARC
(17,19),-0.25208 # DEPENDENCYPART_ARC
(18,1),-3.46355 # DEPENDENCYPART_ARC
(18,2),-4.5014 # DEPENDENCYPART_ARC
(18,3),-3.49056 # DEPENDENCYPART_ARC
(18,4),-4.04787 # DEPENDENCYPART_ARC
(18,5),-3.19144 # DEPENDENCYPART_ARC
(18,6),-3.566 # DEPENDENCYPART_ARC
(18,7),-2.89348 # DEPENDENCYPART_ARC
(18,8),-2.67814 # DEPENDENCYPART_ARC
(18,9),-3.62373 # DEPENDENCYPART_ARC
(18,10),-2.48597 # DEPENDENCYPART_ARC
(18,11),-3.05794 # DEPENDENCYPART_ARC
(18,12),-3.06457 # DEPENDENCYPART_ARC
(18,13),-1.7632 # DEPENDENCYPART_ARC
(18,14),-1.20975 # DEPENDENCYPART_ARC
(18,15),-0.0990891 # DEPENDENCYPART_ARC
(18,16),-1.75506 # DEPENDENCYPART_ARC
(18,17),0.607574 # DEPENDENCYPART_ARC
(18,19),2.85606 # DEPENDENCYPART_ARC
(19,3),-2.05169 # DEPENDENCYPART_ARC
(19,12),-1.76419 # DEPENDENCYPART_ARC
