# _root_ A Capri i dipinti dell' originale artista austriaco , naturista e teosofo , che scelse l' isola come suo rifugio .
#goldHeads=4,1,4,0,4,7,5,7,8,8,8,8,12,15,7,17,15,15,20,18,20,
#predictedHeads=4,1,4,0,4,7,5,7,8,8,10,10,12,15,0,17,15,17,20,18,20,
(3,13),-0.645029 # DEPENDENCYPART_ARC
(3,14),-1.48065 # DEPENDENCYPART_ARC
(3,15),-1.4051 # DEPENDENCYPART_ARC
(3,16),-1.80719 # DEPENDENCYPART_ARC
(3,17),-1.67359 # DEPENDENCYPART_ARC
(3,18),-1.29992 # DEPENDENCYPART_ARC
(3,19),-2.4236 # DEPENDENCYPART_ARC
(3,20),-1.66739 # DEPENDENCYPART_ARC
(3,21),-1.25212 # DEPENDENCYPART_ARC
(4,1),0.702564 # DEPENDENCYPART_ARC
(4,2),0.379648 # DEPENDENCYPART_ARC
(4,3),4.32172 # DEPENDENCYPART_ARC
(4,5),2.69446 # DEPENDENCYPART_ARC
(4,6),0.223241 # DEPENDENCYPART_ARC
(4,7),0.389228 # DEPENDENCYPART_ARC
(4,8),0.585784 # DEPENDENCYPART_ARC
(4,9),0.261153 # DEPENDENCYPART_ARC
(4,10),-0.306371 # DEPENDENCYPART_ARC
(4,11),0.482336 # DEPENDENCYPART_ARC
(4,12),-0.564022 # DEPENDENCYPART_ARC
(4,13),0.0500594 # DEPENDENCYPART_ARC
(4,14),-1.24648 # DEPENDENCYPART_ARC
(4,15),-0.0569794 # DEPENDENCYPART_ARC
(4,16),-0.782937 # DEPENDENCYPART_ARC
(4,17),-0.735343 # DEPENDENCYPART_ARC
(4,18),0.326643 # DEPENDENCYPART_ARC
(4,19),-2.26366 # DEPENDENCYPART_ARC
(4,20),-1.47134 # DEPENDENCYPART_ARC
(4,21),-2.2808 # DEPENDENCYPART_ARC
(5,1),-0.838015 # DEPENDENCYPART_ARC
(5,2),-1.90387 # DEPENDENCYPART_ARC
(5,3),-0.241216 # DEPENDENCYPART_ARC
(5,4),-0.645087 # DEPENDENCYPART_ARC
(5,6),1.56455 # DEPENDENCYPART_ARC
(5,7),2.78207 # DEPENDENCYPART_ARC
(5,8),0.0333346 # DEPENDENCYPART_ARC
(5,9),-0.0182509 # DEPENDENCYPART_ARC
(5,10),-0.196349 # DEPENDENCYPART_ARC
(5,11),0.0607099 # DEPENDENCYPART_ARC
(5,12),-0.522295 # DEPENDENCYPART_ARC
(5,13),-0.130679 # DEPENDENCYPART_ARC
(5,14),-0.972927 # DEPENDENCYPART_ARC
(5,15),-1.86293 # DEPENDENCYPART_ARC
(5,16),-1.46712 # DEPENDENCYPART_ARC
(5,17),-2.32427 # DEPENDENCYPART_ARC
(5,18),-2.04429 # DEPENDENCYPART_ARC
(5,19),-1.29333 # DEPENDENCYPART_ARC
(5,20),-2.50052 # DEPENDENCYPART_ARC
(5,21),-1.31643 # DEPENDENCYPART_ARC
(6,1),-1.32285 # DEPENDENCYPART_ARC
(6,2),-1.87981 # DEPENDENCYPART_ARC
(6,3),-1.5396 # DEPENDENCYPART_ARC
(6,4),-1.90249 # DEPENDENCYPART_ARC
(6,5),-0.19583 # DEPENDENCYPART_ARC
(6,7),1.45522 # DEPENDENCYPART_ARC
(6,8),0.469178 # DEPENDENCYPART_ARC
(6,9),0.299856 # DEPENDENCYPART_ARC
(6,10),0.0180217 # DEPENDENCYPART_ARC
(6,11),0.417859 # DEPENDENCYPART_ARC
(6,12),0.29133 # DEPENDENCYPART_ARC
(6,13),0.116395 # DEPENDENCYPART_ARC
(6,14),-1.94565 # DEPENDENCYPART_ARC
(6,15),-0.832288 # DEPENDENCYPART_ARC
(6,16),-1.27053 # DEPENDENCYPART_ARC
(6,17),-1.20967 # DEPENDENCYPART_ARC
(6,18),-0.811763 # DEPENDENCYPART_ARC
(6,19),-0.573042 # DEPENDENCYPART_ARC
(6,20),-0.515431 # DEPENDENCYPART_ARC
(6,21),-1.79625 # DEPENDENCYPART_ARC
(7,1),-0.501756 # DEPENDENCYPART_ARC
(7,2),-0.163927 # DEPENDENCYPART_ARC
(7,3),0.792248 # DEPENDENCYPART_ARC
(7,4),-1.00924 # DEPENDENCYPART_ARC
(7,5),0.199769 # DEPENDENCYPART_ARC
(7,6),3.33269 # DEPENDENCYPART_ARC
(7,8),2.33098 # DEPENDENCYPART_ARC
(7,9),0.45794 # DEPENDENCYPART_ARC
(7,10),1.10224 # DEPENDENCYPART_ARC
(7,11),0.478622 # DEPENDENCYPART_ARC
(7,12),-0.116747 # DEPENDENCYPART_ARC
(7,13),0.0130772 # DEPENDENCYPART_ARC
(7,14),-1.44887 # DEPENDENCYPART_ARC
(7,15),0.359948 # DEPENDENCYPART_ARC
(7,16),-0.692381 # DEPENDENCYPART_ARC
(7,17),-0.772063 # DEPENDENCYPART_ARC
(7,18),-0.537595 # DEPENDENCYPART_ARC
(7,19),-1.74447 # DEPENDENCYPART_ARC
(7,20),-0.850027 # DEPENDENCYPART_ARC
(7,21),-1.83841 # DEPENDENCYPART_ARC
(8,1),-0.450022 # DEPENDENCYPART_ARC
(8,2),-1.46645 # DEPENDENCYPART_ARC
(8,3),-0.467777 # DEPENDENCYPART_ARC
(8,4),-1.22694 # DEPENDENCYPART_ARC
(8,5),0.203826 # DEPENDENCYPART_ARC
(8,6),0.315873 # DEPENDENCYPART_ARC
(8,7),0.516486 # DEPENDENCYPART_ARC
(8,9),2.1072 # DEPENDENCYPART_ARC
(8,10),1.26402 # DEPENDENCYPART_ARC
(8,11),1.23167 # DEPENDENCYPART_ARC
(8,12),1.75443 # DEPENDENCYPART_ARC
(8,13),1.0158 # DEPENDENCYPART_ARC
(8,14),-1.50554 # DEPENDENCYPART_ARC
(8,15),-0.989729 # DEPENDENCYPART_ARC
(8,16),-0.852298 # DEPENDENCYPART_ARC
(8,17),-1.00681 # DEPENDENCYPART_ARC
(8,18),-0.3481 # DEPENDENCYPART_ARC
(8,19),0.403295 # DEPENDENCYPART_ARC
(8,20),-0.614863 # DEPENDENCYPART_ARC
(8,21),-0.918242 # DEPENDENCYPART_ARC
(9,1),-1.82291 # DEPENDENCYPART_ARC
(9,2),-2.28186 # DEPENDENCYPART_ARC
(9,3),-1.77064 # DEPENDENCYPART_ARC
(9,4),-2.14292 # DEPENDENCYPART_ARC
(9,5),-1.45966 # DEPENDENCYPART_ARC
(9,6),-1.69647 # DEPENDENCYPART_ARC
(9,7),-1.51247 # DEPENDENCYPART_ARC
(9,8),-0.494796 # DEPENDENCYPART_ARC
(9,10),-0.616693 # DEPENDENCYPART_ARC
(9,11),-1.61247 # DEPENDENCYPART_ARC
(9,12),-1.73577 # DEPENDENCYPART_ARC
(9,13),-0.628941 # DEPENDENCYPART_ARC
(9,14),-2.00901 # DEPENDENCYPART_ARC
(9,15),-1.72974 # DEPENDENCYPART_ARC
(9,16),-2.09234 # DEPENDENCYPART_ARC
(9,17),-2.27287 # DEPENDENCYPART_ARC
(9,18),-2.31449 # DEPENDENCYPART_ARC
(9,19),-2.43554 # DEPENDENCYPART_ARC
(9,20),-2.32489 # DEPENDENCYPART_ARC
(9,21),-1.35768 # DEPENDENCYPART_ARC
(10,1),-1.0147 # DEPENDENCYPART_ARC
(10,2),-1.64578 # DEPENDENCYPART_ARC
(10,3),-1.46553 # DEPENDENCYPART_ARC
(10,4),-2.22013 # DEPENDENCYPART_ARC
(10,5),-1.12324 # DEPENDENCYPART_ARC
(10,6),-0.783115 # DEPENDENCYPART_ARC
(10,7),-0.915698 # DEPENDENCYPART_ARC
(10,8),-0.599247 # DEPENDENCYPART_ARC
(10,9),0.72622 # DEPENDENCYPART_ARC
(10,11),1.95237 # DEPENDENCYPART_ARC
(10,12),2.06173 # DEPENDENCYPART_ARC
(10,13),0.721676 # DEPENDENCYPART_ARC
(10,14),-1.26874 # DEPENDENCYPART_ARC
(10,15),-0.139542 # DEPENDENCYPART_ARC
(10,16),-0.739391 # DEPENDENCYPART_ARC
(10,17),-0.881399 # DEPENDENCYPART_ARC
(10,18),-0.0391176 # DEPENDENCYPART_ARC
(10,19),0.349278 # DEPENDENCYPART_ARC
(10,20),-0.532704 # DEPENDENCYPART_ARC
(10,21),-0.778175 # DEPENDENCYPART_ARC
(11,1),-1.75206 # DEPENDENCYPART_ARC
(11,2),-2.45541 # DEPENDENCYPART_ARC
(11,3),-1.64796 # DEPENDENCYPART_ARC
(11,4),-2.2897 # DEPENDENCYPART_ARC
(11,5),-1.53729 # DEPENDENCYPART_ARC
(11,6),-1.91961 # DEPENDENCYPART_ARC
(11,7),-1.84432 # DEPENDENCYPART_ARC
(11,8),-1.47521 # DEPENDENCYPART_ARC
(11,9),-0.733644 # DEPENDENCYPART_ARC
(11,10),-0.253444 # DEPENDENCYPART_ARC
(11,12),0.00428881 # DEPENDENCYPART_ARC
(11,13),-0.124197 # DEPENDENCYPART_ARC
(11,14),-1.43917 # DEPENDENCYPART_ARC
(11,15),-0.767004 # DEPENDENCYPART_ARC
(11,16),-1.88289 # DEPENDENCYPART_ARC
(11,17),-1.65482 # DEPENDENCYPART_ARC
(11,18),-1.87058 # DEPENDENCYPART_ARC
(11,19),-1.88776 # DEPENDENCYPART_ARC
(11,20),-1.76293 # DEPENDENCYPART_ARC
(11,21),-1.58877 # DEPENDENCYPART_ARC
(12,1),-1.98043 # DEPENDENCYPART_ARC
(12,2),-2.76841 # DEPENDENCYPART_ARC
(12,3),-1.93837 # DEPENDENCYPART_ARC
(12,4),-2.78418 # DEPENDENCYPART_ARC
(12,5),-1.7918 # DEPENDENCYPART_ARC
(12,6),-1.89452 # DEPENDENCYPART_ARC
(12,7),-2.30648 # DEPENDENCYPART_ARC
(12,8),-2.09023 # DEPENDENCYPART_ARC
(12,9),-1.50612 # DEPENDENCYPART_ARC
(12,10),-0.762719 # DEPENDENCYPART_ARC
(12,11),0.201176 # DEPENDENCYPART_ARC
(12,13),2.09463 # DEPENDENCYPART_ARC
(12,14),-0.90901 # DEPENDENCYPART_ARC
(12,15),-0.581024 # DEPENDENCYPART_ARC
(12,16),-0.696251 # DEPENDENCYPART_ARC
(12,17),-0.720798 # DEPENDENCYPART_ARC
(12,18),-0.331635 # DEPENDENCYPART_ARC
(12,19),0.146466 # DEPENDENCYPART_ARC
(12,20),-0.617488 # DEPENDENCYPART_ARC
(12,21),-0.577361 # DEPENDENCYPART_ARC
(13,1),-1.83624 # DEPENDENCYPART_ARC
(13,2),-2.42923 # DEPENDENCYPART_ARC
(13,3),-1.82973 # DEPENDENCYPART_ARC
(13,4),-2.29216 # DEPENDENCYPART_ARC
(13,5),-1.71572 # DEPENDENCYPART_ARC
(13,6),-2.17962 # DEPENDENCYPART_ARC
(13,7),-2.15902 # DEPENDENCYPART_ARC
(13,8),-2.11466 # DEPENDENCYPART_ARC
(13,9),-1.6482 # DEPENDENCYPART_ARC
(13,10),-1.58485 # DEPENDENCYPART_ARC
(13,11),-1.08207 # DEPENDENCYPART_ARC
(13,12),-0.369971 # DEPENDENCYPART_ARC
(13,14),0.00896944 # DEPENDENCYPART_ARC
(13,15),-0.484647 # DEPENDENCYPART_ARC
(13,16),-1.03435 # DEPENDENCYPART_ARC
(13,17),-1.24313 # DEPENDENCYPART_ARC
(13,18),-1.38619 # DEPENDENCYPART_ARC
(13,19),-1.56634 # DEPENDENCYPART_ARC
(13,20),-1.49657 # DEPENDENCYPART_ARC
(13,21),-0.371044 # DEPENDENCYPART_ARC
(14,1),-1.75427 # DEPENDENCYPART_ARC
(14,2),-2.09741 # DEPENDENCYPART_ARC
(14,3),-2.1097 # DEPENDENCYPART_ARC
(14,4),-3.15561 # DEPENDENCYPART_ARC
(14,5),-2.22394 # DEPENDENCYPART_ARC
(14,6),-2.02796 # DEPENDENCYPART_ARC
(14,7),-2.28005 # DEPENDENCYPART_ARC
(14,8),-2.5176 # DEPENDENCYPART_ARC
(14,9),-1.66496 # DEPENDENCYPART_ARC
(14,10),-1.66739 # DEPENDENCYPART_ARC
(14,11),-0.905117 # DEPENDENCYPART_ARC
(14,12),-1.54356 # DEPENDENCYPART_ARC
(14,13),0.272143 # DEPENDENCYPART_ARC
(14,15),0.411611 # DEPENDENCYPART_ARC
(14,16),-0.955117 # DEPENDENCYPART_ARC
(14,17),-0.851343 # DEPENDENCYPART_ARC
(14,18),-1.40995 # DEPENDENCYPART_ARC
(14,19),-0.227049 # DEPENDENCYPART_ARC
(14,20),-1.18125 # DEPENDENCYPART_ARC
(14,21),-1.09074 # DEPENDENCYPART_ARC
(15,1),-1.14496 # DEPENDENCYPART_ARC
(15,2),-0.818478 # DEPENDENCYPART_ARC
(15,3),-1.87848 # DEPENDENCYPART_ARC
(15,4),-1.64112 # DEPENDENCYPART_ARC
(15,5),-0.925067 # DEPENDENCYPART_ARC
(15,6),-1.27423 # DEPENDENCYPART_ARC
(15,7),-0.692773 # DEPENDENCYPART_ARC
(15,8),-1.28832 # DEPENDENCYPART_ARC
(15,9),-2.68834 # DEPENDENCYPART_ARC
(15,10),-1.13898 # DEPENDENCYPART_ARC
(15,11),-1.16479 # DEPENDENCYPART_ARC
(15,12),-0.735574 # DEPENDENCYPART_ARC
(15,13),-1.70239 # DEPENDENCYPART_ARC
(15,14),3.62815 # DEPENDENCYPART_ARC
(15,16),0.366003 # DEPENDENCYPART_ARC
(15,17),2.83995 # DEPENDENCYPART_ARC
(15,18),1.50969 # DEPENDENCYPART_ARC
(15,19),-0.152816 # DEPENDENCYPART_ARC
(15,20),1.36683 # DEPENDENCYPART_ARC
(15,21),-0.080202 # DEPENDENCYPART_ARC
(16,1),-2.37525 # DEPENDENCYPART_ARC
(16,2),-2.61678 # DEPENDENCYPART_ARC
(16,3),-2.10106 # DEPENDENCYPART_ARC
(16,4),-3.06806 # DEPENDENCYPART_ARC
(16,5),-2.71057 # DEPENDENCYPART_ARC
(16,6),-2.22637 # DEPENDENCYPART_ARC
(16,7),-2.55699 # DEPENDENCYPART_ARC
(16,8),-2.34615 # DEPENDENCYPART_ARC
(16,9),-1.82344 # DEPENDENCYPART_ARC
(16,10),-2.06089 # DEPENDENCYPART_ARC
(16,11),-2.01902 # DEPENDENCYPART_ARC
(16,12),-1.99626 # DEPENDENCYPART_ARC
(16,13),-1.25111 # DEPENDENCYPART_ARC
(16,14),-1.24505 # DEPENDENCYPART_ARC
(16,15),-1.41181 # DEPENDENCYPART_ARC
(16,17),0.971131 # DEPENDENCYPART_ARC
(16,18),-0.0587714 # DEPENDENCYPART_ARC
(16,19),-1.241 # DEPENDENCYPART_ARC
(16,20),-0.489964 # DEPENDENCYPART_ARC
(16,21),-0.697442 # DEPENDENCYPART_ARC
(17,1),-1.38533 # DEPENDENCYPART_ARC
(17,2),-2.51918 # DEPENDENCYPART_ARC
(17,3),-2.4314 # DEPENDENCYPART_ARC
(17,4),-2.82712 # DEPENDENCYPART_ARC
(17,5),-1.6744 # DEPENDENCYPART_ARC
(17,6),-0.473293 # DEPENDENCYPART_ARC
(17,7),-2.75767 # DEPENDENCYPART_ARC
(17,8),-1.40413 # DEPENDENCYPART_ARC
(17,9),-2.73314 # DEPENDENCYPART_ARC
(17,10),-0.546795 # DEPENDENCYPART_ARC
(17,11),-1.10446 # DEPENDENCYPART_ARC
(17,12),-1.16346 # DEPENDENCYPART_ARC
(17,13),-2.08163 # DEPENDENCYPART_ARC
(17,14),-0.358363 # DEPENDENCYPART_ARC
(17,15),-0.165231 # DEPENDENCYPART_ARC
(17,16),3.14514 # DEPENDENCYPART_ARC
(17,18),2.27668 # DEPENDENCYPART_ARC
(17,19),0.224157 # DEPENDENCYPART_ARC
(17,20),0.589742 # DEPENDENCYPART_ARC
(17,21),-0.183118 # DEPENDENCYPART_ARC
(18,1),-1.78295 # DEPENDENCYPART_ARC
(18,2),-2.33052 # DEPENDENCYPART_ARC
(18,3),-2.01573 # DEPENDENCYPART_ARC
(18,4),-2.43605 # DEPENDENCYPART_ARC
(18,5),-1.78149 # DEPENDENCYPART_ARC
(18,6),-2.24978 # DEPENDENCYPART_ARC
(18,7),-2.31854 # DEPENDENCYPART_ARC
(18,8),-2.22342 # DEPENDENCYPART_ARC
(18,9),-2.00617 # DEPENDENCYPART_ARC
(18,10),-2.18698 # DEPENDENCYPART_ARC
(18,11),-1.15707 # DEPENDENCYPART_ARC
(18,12),-2.05794 # DEPENDENCYPART_ARC
(18,13),-1.75388 # DEPENDENCYPART_ARC
(18,14),-1.49708 # DEPENDENCYPART_ARC
(18,15),-1.70113 # DEPENDENCYPART_ARC
(18,16),-0.545212 # DEPENDENCYPART_ARC
(18,17),-0.301339 # DEPENDENCYPART_ARC
(18,19),2.30684 # DEPENDENCYPART_ARC
(18,20),3.6409 # DEPENDENCYPART_ARC
(18,21),0.242904 # DEPENDENCYPART_ARC
(19,1),-2.43816 # DEPENDENCYPART_ARC
(19,2),-3.24112 # DEPENDENCYPART_ARC
(19,3),-2.31633 # DEPENDENCYPART_ARC
(19,4),-3.31189 # DEPENDENCYPART_ARC
(19,5),-2.72321 # DEPENDENCYPART_ARC
(19,6),-2.36653 # DEPENDENCYPART_ARC
(19,7),-3.06356 # DEPENDENCYPART_ARC
(19,8),-2.90498 # DEPENDENCYPART_ARC
(19,9),-2.54809 # DEPENDENCYPART_ARC
(19,10),-2.27925 # DEPENDENCYPART_ARC
(19,11),-2.25015 # DEPENDENCYPART_ARC
(19,12),-2.61028 # DEPENDENCYPART_ARC
(19,13),-2.44634 # DEPENDENCYPART_ARC
(19,14),-1.1397 # DEPENDENCYPART_ARC
(19,15),-2.33668 # DEPENDENCYPART_ARC
(19,16),-0.919187 # DEPENDENCYPART_ARC
(19,17),-2.0046 # DEPENDENCYPART_ARC
(19,18),0.392434 # DEPENDENCYPART_ARC
(19,20),1.10563 # DEPENDENCYPART_ARC
(19,21),-0.681588 # DEPENDENCYPART_ARC
(20,1),-1.65876 # DEPENDENCYPART_ARC
(20,2),-1.87742 # DEPENDENCYPART_ARC
(20,3),-1.8435 # DEPENDENCYPART_ARC
(20,4),-2.09561 # DEPENDENCYPART_ARC
(20,5),-1.95267 # DEPENDENCYPART_ARC
(20,6),0.147021 # DEPENDENCYPART_ARC
(20,7),-2.41746 # DEPENDENCYPART_ARC
(20,8),-0.518861 # DEPENDENCYPART_ARC
(20,9),-2.65284 # DEPENDENCYPART_ARC
(20,10),-0.374164 # DEPENDENCYPART_ARC
(20,11),-1.21389 # DEPENDENCYPART_ARC
(20,12),-0.686908 # DEPENDENCYPART_ARC
(20,13),-2.24453 # DEPENDENCYPART_ARC
(20,14),-0.816382 # DEPENDENCYPART_ARC
(20,15),-1.52813 # DEPENDENCYPART_ARC
(20,16),0.963316 # DEPENDENCYPART_ARC
(20,17),-1.4715 # DEPENDENCYPART_ARC
(20,18),0.281566 # DEPENDENCYPART_ARC
(20,19),3.93569 # DEPENDENCYPART_ARC
(20,21),2.61077 # DEPENDENCYPART_ARC
(21,1),-2.28085 # DEPENDENCYPART_ARC
(21,2),-2.73955 # DEPENDENCYPART_ARC
(21,3),-2.30239 # DEPENDENCYPART_ARC
(21,4),-2.80338 # DEPENDENCYPART_ARC
(21,5),-2.277 # DEPENDENCYPART_ARC
(21,6),-2.70684 # DEPENDENCYPART_ARC
(21,7),-2.82999 # DEPENDENCYPART_ARC
(21,8),-2.60555 # DEPENDENCYPART_ARC
(21,9),-2.36813 # DEPENDENCYPART_ARC
(21,10),-2.66156 # DEPENDENCYPART_ARC
(21,11),-2.17536 # DEPENDENCYPART_ARC
(21,12),-2.57196 # DEPENDENCYPART_ARC
(21,13),-2.30573 # DEPENDENCYPART_ARC
(21,14),-2.18611 # DEPENDENCYPART_ARC
(21,15),-2.74039 # DEPENDENCYPART_ARC
(21,16),-1.6817 # DEPENDENCYPART_ARC
(21,17),-2.2004 # DEPENDENCYPART_ARC
(21,18),-1.25906 # DEPENDENCYPART_ARC
(21,19),-1.43418 # DEPENDENCYPART_ARC
(21,20),-0.824938 # DEPENDENCYPART_ARC
