# _root_ Il parco nazionale dei laghi di Plitvice , uno dei " monumenti " mondiali protetti dall' Unesco , è tornato in mani croate .
#goldHeads=2,20,2,2,4,5,6,7,2,9,12,10,12,12,12,15,16,17,20,0,20,21,22,23,
#predictedHeads=2,20,2,2,4,5,6,7,2,9,12,10,12,12,12,15,16,17,20,0,20,21,22,23,
(4,21),-2.74755 # DEPENDENCYPART_ARC
(4,22),-5.03732 # DEPENDENCYPART_ARC
(4,23),-2.11695 # DEPENDENCYPART_ARC
(4,24),-1.61581 # DEPENDENCYPART_ARC
(5,1),-0.396192 # DEPENDENCYPART_ARC
(5,2),-1.72556 # DEPENDENCYPART_ARC
(5,3),-0.944021 # DEPENDENCYPART_ARC
(5,4),0.963512 # DEPENDENCYPART_ARC
(5,6),2.64692 # DEPENDENCYPART_ARC
(5,7),1.23637 # DEPENDENCYPART_ARC
(5,8),0.751904 # DEPENDENCYPART_ARC
(5,9),0.393271 # DEPENDENCYPART_ARC
(5,10),0.0846553 # DEPENDENCYPART_ARC
(5,11),-0.550452 # DEPENDENCYPART_ARC
(5,12),1.10387 # DEPENDENCYPART_ARC
(5,13),-1.09708 # DEPENDENCYPART_ARC
(5,14),0.763451 # DEPENDENCYPART_ARC
(5,15),2.64166 # DEPENDENCYPART_ARC
(5,16),-0.766887 # DEPENDENCYPART_ARC
(5,17),-0.596575 # DEPENDENCYPART_ARC
(5,18),-0.201693 # DEPENDENCYPART_ARC
(5,19),-0.648953 # DEPENDENCYPART_ARC
(5,20),-0.729186 # DEPENDENCYPART_ARC
(5,21),-0.949152 # DEPENDENCYPART_ARC
(5,22),-0.56858 # DEPENDENCYPART_ARC
(5,23),-0.729489 # DEPENDENCYPART_ARC
(5,24),-3.64348 # DEPENDENCYPART_ARC
(6,1),-1.51135 # DEPENDENCYPART_ARC
(6,2),-1.7363 # DEPENDENCYPART_ARC
(6,3),-1.57195 # DEPENDENCYPART_ARC
(6,4),-0.565555 # DEPENDENCYPART_ARC
(6,5),-0.361211 # DEPENDENCYPART_ARC
(6,7),4.43525 # DEPENDENCYPART_ARC
(6,8),0.274381 # DEPENDENCYPART_ARC
(6,9),-0.415843 # DEPENDENCYPART_ARC
(6,10),-0.418184 # DEPENDENCYPART_ARC
(6,11),-0.890728 # DEPENDENCYPART_ARC
(6,12),-0.412658 # DEPENDENCYPART_ARC
(6,13),-0.842537 # DEPENDENCYPART_ARC
(6,14),-0.873876 # DEPENDENCYPART_ARC
(6,15),-1.34079 # DEPENDENCYPART_ARC
(6,16),-1.1982 # DEPENDENCYPART_ARC
(6,17),-2.23325 # DEPENDENCYPART_ARC
(6,18),-0.0567635 # DEPENDENCYPART_ARC
(6,19),-2.41507 # DEPENDENCYPART_ARC
(6,20),-2.54461 # DEPENDENCYPART_ARC
(6,21),-3.01388 # DEPENDENCYPART_ARC
(6,22),-4.229 # DEPENDENCYPART_ARC
(6,23),-1.69528 # DEPENDENCYPART_ARC
(6,24),-1.65937 # DEPENDENCYPART_ARC
(7,1),-1.46254 # DEPENDENCYPART_ARC
(7,2),-3.27529 # DEPENDENCYPART_ARC
(7,3),-1.85154 # DEPENDENCYPART_ARC
(7,4),-1.12471 # DEPENDENCYPART_ARC
(7,5),-1.2314 # DEPENDENCYPART_ARC
(7,6),0.631046 # DEPENDENCYPART_ARC
(7,8),2.10815 # DEPENDENCYPART_ARC
(7,9),0.606687 # DEPENDENCYPART_ARC
(7,10),-0.570373 # DEPENDENCYPART_ARC
(7,11),-0.645202 # DEPENDENCYPART_ARC
(7,12),0.293229 # DEPENDENCYPART_ARC
(7,13),-0.607079 # DEPENDENCYPART_ARC
(7,14),-0.203584 # DEPENDENCYPART_ARC
(7,15),0.979142 # DEPENDENCYPART_ARC
(7,16),-1.11987 # DEPENDENCYPART_ARC
(7,17),-0.465301 # DEPENDENCYPART_ARC
(7,18),-0.0193777 # DEPENDENCYPART_ARC
(7,19),-1.12286 # DEPENDENCYPART_ARC
(7,20),-0.911306 # DEPENDENCYPART_ARC
(7,21),-1.48107 # DEPENDENCYPART_ARC
(7,22),-1.51651 # DEPENDENCYPART_ARC
(7,23),-1.56059 # DEPENDENCYPART_ARC
(7,24),-3.4492 # DEPENDENCYPART_ARC
(8,1),-1.47189 # DEPENDENCYPART_ARC
(8,2),-2.05855 # DEPENDENCYPART_ARC
(8,3),-1.88618 # DEPENDENCYPART_ARC
(8,4),-1.20979 # DEPENDENCYPART_ARC
(8,5),-1.46019 # DEPENDENCYPART_ARC
(8,6),-0.712683 # DEPENDENCYPART_ARC
(8,7),-0.432035 # DEPENDENCYPART_ARC
(8,9),-0.998093 # DEPENDENCYPART_ARC
(8,10),-1.90416 # DEPENDENCYPART_ARC
(8,11),-1.48724 # DEPENDENCYPART_ARC
(8,12),-2.10146 # DEPENDENCYPART_ARC
(8,13),-1.75829 # DEPENDENCYPART_ARC
(8,14),-2.41913 # DEPENDENCYPART_ARC
(8,15),-2.03305 # DEPENDENCYPART_ARC
(8,16),-2.54917 # DEPENDENCYPART_ARC
(8,17),-2.5932 # DEPENDENCYPART_ARC
(8,18),-1.44119 # DEPENDENCYPART_ARC
(8,19),-2.44497 # DEPENDENCYPART_ARC
(8,20),-2.53094 # DEPENDENCYPART_ARC
(8,21),-2.91361 # DEPENDENCYPART_ARC
(8,22),-2.76688 # DEPENDENCYPART_ARC
(8,23),-3.05515 # DEPENDENCYPART_ARC
(8,24),-2.02116 # DEPENDENCYPART_ARC
(9,1),-0.626277 # DEPENDENCYPART_ARC
(9,2),-1.12313 # DEPENDENCYPART_ARC
(9,3),-1.19561 # DEPENDENCYPART_ARC
(9,4),-1.31384 # DEPENDENCYPART_ARC
(9,5),-1.19156 # DEPENDENCYPART_ARC
(9,6),-0.360853 # DEPENDENCYPART_ARC
(9,7),-0.935361 # DEPENDENCYPART_ARC
(9,8),0.635944 # DEPENDENCYPART_ARC
(9,10),2.97606 # DEPENDENCYPART_ARC
(9,11),1.01927 # DEPENDENCYPART_ARC
(9,12),0.937831 # DEPENDENCYPART_ARC
(9,13),0.618499 # DEPENDENCYPART_ARC
(9,14),0.238266 # DEPENDENCYPART_ARC
(9,15),0.778917 # DEPENDENCYPART_ARC
(9,16),0.321867 # DEPENDENCYPART_ARC
(9,17),0.139399 # DEPENDENCYPART_ARC
(9,18),0.375422 # DEPENDENCYPART_ARC
(9,19),-0.315518 # DEPENDENCYPART_ARC
(9,20),-0.158886 # DEPENDENCYPART_ARC
(9,21),-1.05042 # DEPENDENCYPART_ARC
(9,22),-0.489213 # DEPENDENCYPART_ARC
(9,23),-0.7563 # DEPENDENCYPART_ARC
(9,24),-0.618332 # DEPENDENCYPART_ARC
(10,1),-1.56565 # DEPENDENCYPART_ARC
(10,2),-2.40779 # DEPENDENCYPART_ARC
(10,3),-2.33198 # DEPENDENCYPART_ARC
(10,4),-1.01482 # DEPENDENCYPART_ARC
(10,5),-1.54272 # DEPENDENCYPART_ARC
(10,6),-0.684802 # DEPENDENCYPART_ARC
(10,7),-1.79624 # DEPENDENCYPART_ARC
(10,8),-0.649205 # DEPENDENCYPART_ARC
(10,9),-0.0922771 # DEPENDENCYPART_ARC
(10,11),1.05355 # DEPENDENCYPART_ARC
(10,12),3.62697 # DEPENDENCYPART_ARC
(10,13),-0.0318154 # DEPENDENCYPART_ARC
(10,14),0.5816 # DEPENDENCYPART_ARC
(10,15),0.909099 # DEPENDENCYPART_ARC
(10,16),-0.0758265 # DEPENDENCYPART_ARC
(10,17),-0.738241 # DEPENDENCYPART_ARC
(10,18),0.254456 # DEPENDENCYPART_ARC
(10,19),-1.25355 # DEPENDENCYPART_ARC
(10,20),-1.22457 # DEPENDENCYPART_ARC
(10,21),-2.06866 # DEPENDENCYPART_ARC
(10,22),-2.32029 # DEPENDENCYPART_ARC
(10,23),-1.31559 # DEPENDENCYPART_ARC
(10,24),-1.01866 # DEPENDENCYPART_ARC
(11,1),-2.14423 # DEPENDENCYPART_ARC
(11,2),-2.77388 # DEPENDENCYPART_ARC
(11,3),-2.73234 # DEPENDENCYPART_ARC
(11,4),-2.10103 # DEPENDENCYPART_ARC
(11,5),-2.63809 # DEPENDENCYPART_ARC
(11,6),-1.94917 # DEPENDENCYPART_ARC
(11,7),-2.42328 # DEPENDENCYPART_ARC
(11,8),-1.65066 # DEPENDENCYPART_ARC
(11,9),-1.499 # DEPENDENCYPART_ARC
(11,10),-0.424447 # DEPENDENCYPART_ARC
(11,12),-0.388913 # DEPENDENCYPART_ARC
(11,13),-0.390298 # DEPENDENCYPART_ARC
(11,14),-1.56004 # DEPENDENCYPART_ARC
(11,15),-1.42362 # DEPENDENCYPART_ARC
(11,16),-2.04529 # DEPENDENCYPART_ARC
(11,17),-2.08969 # DEPENDENCYPART_ARC
(11,18),-0.40674 # DEPENDENCYPART_ARC
(11,19),-1.89933 # DEPENDENCYPART_ARC
(11,20),-1.99881 # DEPENDENCYPART_ARC
(11,21),-2.40295 # DEPENDENCYPART_ARC
(11,22),-2.37402 # DEPENDENCYPART_ARC
(11,23),-2.55155 # DEPENDENCYPART_ARC
(11,24),-1.21454 # DEPENDENCYPART_ARC
(12,1),-1.02248 # DEPENDENCYPART_ARC
(12,2),-1.70922 # DEPENDENCYPART_ARC
(12,3),-1.67826 # DEPENDENCYPART_ARC
(12,4),-0.276363 # DEPENDENCYPART_ARC
(12,5),0.262583 # DEPENDENCYPART_ARC
(12,6),-0.434288 # DEPENDENCYPART_ARC
(12,7),-0.496845 # DEPENDENCYPART_ARC
(12,8),-0.775981 # DEPENDENCYPART_ARC
(12,9),0.390331 # DEPENDENCYPART_ARC
(12,10),1.3772 # DEPENDENCYPART_ARC
(12,11),2.67862 # DEPENDENCYPART_ARC
(12,13),2.81826 # DEPENDENCYPART_ARC
(12,14),2.28005 # DEPENDENCYPART_ARC
(12,15),2.84655 # DEPENDENCYPART_ARC
(12,16),0.557915 # DEPENDENCYPART_ARC
(12,17),0.194745 # DEPENDENCYPART_ARC
(12,18),1.46736 # DEPENDENCYPART_ARC
(12,19),-0.870351 # DEPENDENCYPART_ARC
(12,20),-0.617144 # DEPENDENCYPART_ARC
(12,21),-0.00532409 # DEPENDENCYPART_ARC
(12,22),0.366792 # DEPENDENCYPART_ARC
(12,23),-0.210839 # DEPENDENCYPART_ARC
(12,24),-1.31883 # DEPENDENCYPART_ARC
(13,1),-1.54098 # DEPENDENCYPART_ARC
(13,2),-2.32411 # DEPENDENCYPART_ARC
(13,3),-2.14034 # DEPENDENCYPART_ARC
(13,4),-1.57911 # DEPENDENCYPART_ARC
(13,5),-2.15171 # DEPENDENCYPART_ARC
(13,6),-1.4707 # DEPENDENCYPART_ARC
(13,7),-2.08935 # DEPENDENCYPART_ARC
(13,8),-1.47381 # DEPENDENCYPART_ARC
(13,9),-1.48913 # DEPENDENCYPART_ARC
(13,10),-0.865363 # DEPENDENCYPART_ARC
(13,11),-0.758315 # DEPENDENCYPART_ARC
(13,12),-0.429852 # DEPENDENCYPART_ARC
(13,14),-0.487173 # DEPENDENCYPART_ARC
(13,15),-1.09935 # DEPENDENCYPART_ARC
(13,16),-1.79797 # DEPENDENCYPART_ARC
(13,17),-1.85846 # DEPENDENCYPART_ARC
(13,18),-0.34227 # DEPENDENCYPART_ARC
(13,19),-1.83115 # DEPENDENCYPART_ARC
(13,20),-1.92927 # DEPENDENCYPART_ARC
(13,21),-2.40045 # DEPENDENCYPART_ARC
(13,22),-2.3495 # DEPENDENCYPART_ARC
(13,23),-2.52498 # DEPENDENCYPART_ARC
(13,24),-1.03231 # DEPENDENCYPART_ARC
(14,1),-1.09158 # DEPENDENCYPART_ARC
(14,2),-1.75552 # DEPENDENCYPART_ARC
(14,3),-0.998484 # DEPENDENCYPART_ARC
(14,4),-1.50298 # DEPENDENCYPART_ARC
(14,5),-1.36956 # DEPENDENCYPART_ARC
(14,6),-0.681288 # DEPENDENCYPART_ARC
(14,7),-0.945722 # DEPENDENCYPART_ARC
(14,8),-0.825457 # DEPENDENCYPART_ARC
(14,9),-1.09454 # DEPENDENCYPART_ARC
(14,10),-0.68167 # DEPENDENCYPART_ARC
(14,11),0.608867 # DEPENDENCYPART_ARC
(14,12),-0.0652904 # DEPENDENCYPART_ARC
(14,13),2.08689 # DEPENDENCYPART_ARC
(14,15),1.4736 # DEPENDENCYPART_ARC
(14,16),0.0468758 # DEPENDENCYPART_ARC
(14,17),-0.239279 # DEPENDENCYPART_ARC
(14,18),-0.369471 # DEPENDENCYPART_ARC
(14,19),-1.19116 # DEPENDENCYPART_ARC
(14,20),-0.971114 # DEPENDENCYPART_ARC
(14,21),-0.77262 # DEPENDENCYPART_ARC
(14,22),-1.14758 # DEPENDENCYPART_ARC
(14,23),-1.05582 # DEPENDENCYPART_ARC
(14,24),-0.905513 # DEPENDENCYPART_ARC
(15,1),-1.21488 # DEPENDENCYPART_ARC
(15,2),-0.628419 # DEPENDENCYPART_ARC
(15,3),-1.76326 # DEPENDENCYPART_ARC
(15,4),-1.37208 # DEPENDENCYPART_ARC
(15,5),-0.635965 # DEPENDENCYPART_ARC
(15,6),-1.12871 # DEPENDENCYPART_ARC
(15,7),-1.37952 # DEPENDENCYPART_ARC
(15,8),-1.86879 # DEPENDENCYPART_ARC
(15,9),-0.308144 # DEPENDENCYPART_ARC
(15,10),0.325985 # DEPENDENCYPART_ARC
(15,11),-0.447434 # DEPENDENCYPART_ARC
(15,12),0.854134 # DEPENDENCYPART_ARC
(15,13),0.297988 # DEPENDENCYPART_ARC
(15,14),1.16532 # DEPENDENCYPART_ARC
(15,16),3.74188 # DEPENDENCYPART_ARC
(15,17),0.78838 # DEPENDENCYPART_ARC
(15,18),1.12223 # DEPENDENCYPART_ARC
(15,19),0.435492 # DEPENDENCYPART_ARC
(15,20),0.371961 # DEPENDENCYPART_ARC
(15,21),0.459907 # DEPENDENCYPART_ARC
(15,22),-0.975305 # DEPENDENCYPART_ARC
(15,23),-0.728145 # DEPENDENCYPART_ARC
(15,24),-0.711529 # DEPENDENCYPART_ARC
(16,1),-2.14075 # DEPENDENCYPART_ARC
(16,2),-3.37808 # DEPENDENCYPART_ARC
(16,3),-2.70932 # DEPENDENCYPART_ARC
(16,4),-2.83009 # DEPENDENCYPART_ARC
(16,5),-3.53488 # DEPENDENCYPART_ARC
(16,6),-2.10647 # DEPENDENCYPART_ARC
(16,7),-2.77809 # DEPENDENCYPART_ARC
(16,8),-2.47938 # DEPENDENCYPART_ARC
(16,9),-2.51848 # DEPENDENCYPART_ARC
(16,10),-2.52843 # DEPENDENCYPART_ARC
(16,11),-2.13163 # DEPENDENCYPART_ARC
(16,12),-2.88433 # DEPENDENCYPART_ARC
(16,13),-1.74433 # DEPENDENCYPART_ARC
(16,14),-1.81872 # DEPENDENCYPART_ARC
(16,15),-1.90529 # DEPENDENCYPART_ARC
(16,17),4.36601 # DEPENDENCYPART_ARC
(16,18),0.582726 # DEPENDENCYPART_ARC
(16,19),-0.487534 # DEPENDENCYPART_ARC
(16,20),-0.179549 # DEPENDENCYPART_ARC
(16,21),-1.06681 # DEPENDENCYPART_ARC
(16,22),-1.07002 # DEPENDENCYPART_ARC
(16,23),-1.93341 # DEPENDENCYPART_ARC
(16,24),-0.627754 # DEPENDENCYPART_ARC
(17,1),-3.68246 # DEPENDENCYPART_ARC
(17,2),-4.91208 # DEPENDENCYPART_ARC
(17,3),-3.76579 # DEPENDENCYPART_ARC
(17,4),-3.28253 # DEPENDENCYPART_ARC
(17,5),-3.71853 # DEPENDENCYPART_ARC
(17,6),-3.03239 # DEPENDENCYPART_ARC
(17,7),-1.92375 # DEPENDENCYPART_ARC
(17,8),-3.39716 # DEPENDENCYPART_ARC
(17,9),-2.27218 # DEPENDENCYPART_ARC
(17,10),-2.60503 # DEPENDENCYPART_ARC
(17,11),-1.94753 # DEPENDENCYPART_ARC
(17,12),-3.39288 # DEPENDENCYPART_ARC
(17,13),-1.54855 # DEPENDENCYPART_ARC
(17,14),-1.56257 # DEPENDENCYPART_ARC
(17,15),-0.196704 # DEPENDENCYPART_ARC
(17,16),0.806648 # DEPENDENCYPART_ARC
(17,18),2.29933 # DEPENDENCYPART_ARC
(17,19),-0.0702922 # DEPENDENCYPART_ARC
(17,20),0.122754 # DEPENDENCYPART_ARC
(17,21),-0.300611 # DEPENDENCYPART_ARC
(17,22),-0.44202 # DEPENDENCYPART_ARC
(17,23),-0.674598 # DEPENDENCYPART_ARC
(17,24),-1.20351 # DEPENDENCYPART_ARC
(18,1),-2.05342 # DEPENDENCYPART_ARC
(18,2),-2.64212 # DEPENDENCYPART_ARC
(18,3),-2.55122 # DEPENDENCYPART_ARC
(18,4),-2.12536 # DEPENDENCYPART_ARC
(18,5),-2.502 # DEPENDENCYPART_ARC
(18,6),-1.99383 # DEPENDENCYPART_ARC
(18,7),-2.64356 # DEPENDENCYPART_ARC
(18,8),-2.16658 # DEPENDENCYPART_ARC
(18,9),-2.12265 # DEPENDENCYPART_ARC
(18,10),-1.87331 # DEPENDENCYPART_ARC
(18,11),-2.16345 # DEPENDENCYPART_ARC
(18,12),-2.37414 # DEPENDENCYPART_ARC
(18,13),-2.02756 # DEPENDENCYPART_ARC
(18,14),-2.03221 # DEPENDENCYPART_ARC
(18,15),-2.03952 # DEPENDENCYPART_ARC
(18,16),-0.920791 # DEPENDENCYPART_ARC
(18,17),-0.640143 # DEPENDENCYPART_ARC
(18,19),-1.18342 # DEPENDENCYPART_ARC
(18,20),-2.11573 # DEPENDENCYPART_ARC
(18,21),-2.6718 # DEPENDENCYPART_ARC
(18,22),-2.73175 # DEPENDENCYPART_ARC
(18,23),-2.9023 # DEPENDENCYPART_ARC
(18,24),-1.78195 # DEPENDENCYPART_ARC
(19,1),-2.6626 # DEPENDENCYPART_ARC
(19,2),0.897391 # DEPENDENCYPART_ARC
(19,3),-1.75014 # DEPENDENCYPART_ARC
(19,4),-3.11036 # DEPENDENCYPART_ARC
(19,5),-1.92831 # DEPENDENCYPART_ARC
(19,6),-2.46666 # DEPENDENCYPART_ARC
(19,7),-0.900183 # DEPENDENCYPART_ARC
(19,8),-3.27242 # DEPENDENCYPART_ARC
(19,9),-1.61009 # DEPENDENCYPART_ARC
(19,10),-1.8149 # DEPENDENCYPART_ARC
(19,11),-1.83609 # DEPENDENCYPART_ARC
(19,12),-1.08803 # DEPENDENCYPART_ARC
(19,13),-1.86244 # DEPENDENCYPART_ARC
(19,14),-1.83337 # DEPENDENCYPART_ARC
(19,15),-1.13857 # DEPENDENCYPART_ARC
(19,16),-0.433709 # DEPENDENCYPART_ARC
(19,17),0.0253327 # DEPENDENCYPART_ARC
(19,18),-0.136387 # DEPENDENCYPART_ARC
(19,20),1.50847 # DEPENDENCYPART_ARC
(19,21),1.21321 # DEPENDENCYPART_ARC
(19,22),0.16378 # DEPENDENCYPART_ARC
(19,23),0.167625 # DEPENDENCYPART_ARC
(19,24),-0.761425 # DEPENDENCYPART_ARC
(20,1),-0.243843 # DEPENDENCYPART_ARC
(20,2),1.60418 # DEPENDENCYPART_ARC
(20,3),-0.501235 # DEPENDENCYPART_ARC
(20,4),-1.80251 # DEPENDENCYPART_ARC
(20,5),-0.123256 # DEPENDENCYPART_ARC
(20,6),-1.41047 # DEPENDENCYPART_ARC
(20,7),0.265509 # DEPENDENCYPART_ARC
(20,8),-1.83025 # DEPENDENCYPART_ARC
(20,9),0.510515 # DEPENDENCYPART_ARC
(20,10),-0.150919 # DEPENDENCYPART_ARC
(20,11),-0.603889 # DEPENDENCYPART_ARC
(20,12),1.00077 # DEPENDENCYPART_ARC
(20,13),-0.5485 # DEPENDENCYPART_ARC
(20,14),-0.00405461 # DEPENDENCYPART_ARC
(20,15),0.130311 # DEPENDENCYPART_ARC
(20,16),0.637214 # DEPENDENCYPART_ARC
(20,17),1.75216 # DEPENDENCYPART_ARC
(20,18),-0.22865 # DEPENDENCYPART_ARC
(20,19),4.62367 # DEPENDENCYPART_ARC
(20,21),2.92842 # DEPENDENCYPART_ARC
(20,22),1.94563 # DEPENDENCYPART_ARC
(20,23),-0.399674 # DEPENDENCYPART_ARC
(20,24),0.0665006 # DEPENDENCYPART_ARC
(21,1),-2.01569 # DEPENDENCYPART_ARC
(21,2),-2.34023 # DEPENDENCYPART_ARC
(21,3),-2.42407 # DEPENDENCYPART_ARC
(21,4),-2.05286 # DEPENDENCYPART_ARC
(21,5),-2.4364 # DEPENDENCYPART_ARC
(21,6),-2.05325 # DEPENDENCYPART_ARC
(21,7),-2.36338 # DEPENDENCYPART_ARC
(21,8),-2.16658 # DEPENDENCYPART_ARC
(21,9),-2.08076 # DEPENDENCYPART_ARC
(21,10),-1.95733 # DEPENDENCYPART_ARC
(21,11),-2.02543 # DEPENDENCYPART_ARC
(21,12),-2.13162 # DEPENDENCYPART_ARC
(21,13),-2.03972 # DEPENDENCYPART_ARC
(21,14),-2.10973 # DEPENDENCYPART_ARC
(21,15),-2.33897 # DEPENDENCYPART_ARC
(21,16),-1.26624 # DEPENDENCYPART_ARC
(21,17),-1.6235 # DEPENDENCYPART_ARC
(21,18),-1.31922 # DEPENDENCYPART_ARC
(21,19),-1.14191 # DEPENDENCYPART_ARC
(21,20),-0.25612 # DEPENDENCYPART_ARC
(21,22),4.12604 # DEPENDENCYPART_ARC
(21,23),0.834333 # DEPENDENCYPART_ARC
(21,24),-0.261023 # DEPENDENCYPART_ARC
(22,1),-5.20207 # DEPENDENCYPART_ARC
(22,2),-4.75101 # DEPENDENCYPART_ARC
