# _root_ " Una disgrazia in Africa , vi devo dare brutte notizie " aveva detto verso le 18 al telefono Domenico Colombo , il presidente di Mondo Giusto .
#goldHeads=2,3,11,3,4,5,9,9,14,11,9,11,14,0,14,17,15,14,18,21,14,21,24,21,24,25,26,27,
#predictedHeads=2,3,9,3,4,5,9,9,14,11,9,11,14,0,14,17,15,17,18,21,19,21,24,21,24,25,26,27,
(6,21),-2.85947 # DEPENDENCYPART_ARC
(6,22),-1.78672 # DEPENDENCYPART_ARC
(6,23),-2.69861 # DEPENDENCYPART_ARC
(6,24),-2.88046 # DEPENDENCYPART_ARC
(6,25),-3.03366 # DEPENDENCYPART_ARC
(6,26),-2.93061 # DEPENDENCYPART_ARC
(6,27),-3.166 # DEPENDENCYPART_ARC
(6,28),-2.34523 # DEPENDENCYPART_ARC
(7,1),-1.32298 # DEPENDENCYPART_ARC
(7,2),-0.325775 # DEPENDENCYPART_ARC
(7,3),-1.72196 # DEPENDENCYPART_ARC
(7,4),-0.468562 # DEPENDENCYPART_ARC
(7,5),-1.21601 # DEPENDENCYPART_ARC
(7,6),0.302364 # DEPENDENCYPART_ARC
(7,8),1.19784 # DEPENDENCYPART_ARC
(7,9),-0.237223 # DEPENDENCYPART_ARC
(7,10),0.0505351 # DEPENDENCYPART_ARC
(7,11),-0.868521 # DEPENDENCYPART_ARC
(7,12),-1.21338 # DEPENDENCYPART_ARC
(7,13),-2.51668 # DEPENDENCYPART_ARC
(7,14),-2.00576 # DEPENDENCYPART_ARC
(7,15),-1.65167 # DEPENDENCYPART_ARC
(7,16),-1.50383 # DEPENDENCYPART_ARC
(7,17),-1.27327 # DEPENDENCYPART_ARC
(7,18),-2.00937 # DEPENDENCYPART_ARC
(7,19),-1.73914 # DEPENDENCYPART_ARC
(7,20),-1.55298 # DEPENDENCYPART_ARC
(7,21),-1.40596 # DEPENDENCYPART_ARC
(7,22),-1.25344 # DEPENDENCYPART_ARC
(7,23),-1.85665 # DEPENDENCYPART_ARC
(7,24),-1.69466 # DEPENDENCYPART_ARC
(7,25),-2.24985 # DEPENDENCYPART_ARC
(7,26),-1.80444 # DEPENDENCYPART_ARC
(7,27),-1.65386 # DEPENDENCYPART_ARC
(7,28),-2.1691 # DEPENDENCYPART_ARC
(8,1),-1.40969 # DEPENDENCYPART_ARC
(8,2),-1.35958 # DEPENDENCYPART_ARC
(8,3),-1.02169 # DEPENDENCYPART_ARC
(8,4),-0.375054 # DEPENDENCYPART_ARC
(8,5),-1.39015 # DEPENDENCYPART_ARC
(8,6),-1.17482 # DEPENDENCYPART_ARC
(8,7),1.50558 # DEPENDENCYPART_ARC
(8,9),1.19762 # DEPENDENCYPART_ARC
(8,10),-0.0107282 # DEPENDENCYPART_ARC
(8,11),-0.0215908 # DEPENDENCYPART_ARC
(8,12),-0.997034 # DEPENDENCYPART_ARC
(8,13),-1.64609 # DEPENDENCYPART_ARC
(8,14),-1.83257 # DEPENDENCYPART_ARC
(8,15),-0.78924 # DEPENDENCYPART_ARC
(8,16),-2.76503 # DEPENDENCYPART_ARC
(8,17),-1.5616 # DEPENDENCYPART_ARC
(8,18),-1.48702 # DEPENDENCYPART_ARC
(8,19),-2.23065 # DEPENDENCYPART_ARC
(8,20),-2.01361 # DEPENDENCYPART_ARC
(8,21),-2.00233 # DEPENDENCYPART_ARC
(8,22),-0.581318 # DEPENDENCYPART_ARC
(8,23),-3.2017 # DEPENDENCYPART_ARC
(8,24),-2.7035 # DEPENDENCYPART_ARC
(8,25),-2.77307 # DEPENDENCYPART_ARC
(8,26),-3.17803 # DEPENDENCYPART_ARC
(8,27),-3.98861 # DEPENDENCYPART_ARC
(8,28),-3.26174 # DEPENDENCYPART_ARC
(9,1),-0.887513 # DEPENDENCYPART_ARC
(9,2),0.159234 # DEPENDENCYPART_ARC
(9,3),1.07455 # DEPENDENCYPART_ARC
(9,4),0.342032 # DEPENDENCYPART_ARC
(9,5),0.928742 # DEPENDENCYPART_ARC
(9,6),-0.92896 # DEPENDENCYPART_ARC
(9,7),3.04138 # DEPENDENCYPART_ARC
(9,8),3.77667 # DEPENDENCYPART_ARC
(9,10),2.34084 # DEPENDENCYPART_ARC
(9,11),3.11641 # DEPENDENCYPART_ARC
(9,12),0.349046 # DEPENDENCYPART_ARC
(9,13),0.589358 # DEPENDENCYPART_ARC
(9,14),0.196117 # DEPENDENCYPART_ARC
(9,15),0.689149 # DEPENDENCYPART_ARC
(9,16),-0.468648 # DEPENDENCYPART_ARC
(9,17),-0.0986281 # DEPENDENCYPART_ARC
(9,18),0.94672 # DEPENDENCYPART_ARC
(9,19),-0.5419 # DEPENDENCYPART_ARC
(9,20),-0.347634 # DEPENDENCYPART_ARC
(9,21),-0.172862 # DEPENDENCYPART_ARC
(9,22),0.264221 # DEPENDENCYPART_ARC
(9,23),-0.679847 # DEPENDENCYPART_ARC
(9,24),-0.864633 # DEPENDENCYPART_ARC
(9,25),-1.2503 # DEPENDENCYPART_ARC
(9,26),-1.42521 # DEPENDENCYPART_ARC
(9,27),-1.78589 # DEPENDENCYPART_ARC
(9,28),-2.09522 # DEPENDENCYPART_ARC
(10,1),-1.27436 # DEPENDENCYPART_ARC
(10,2),-1.64892 # DEPENDENCYPART_ARC
(10,3),-1.99525 # DEPENDENCYPART_ARC
(10,4),-0.74846 # DEPENDENCYPART_ARC
(10,5),-1.7542 # DEPENDENCYPART_ARC
(10,6),-1.48101 # DEPENDENCYPART_ARC
(10,7),-0.568463 # DEPENDENCYPART_ARC
(10,8),-1.43664 # DEPENDENCYPART_ARC
(10,9),0.220341 # DEPENDENCYPART_ARC
(10,11),1.22658 # DEPENDENCYPART_ARC
(10,12),-0.0493448 # DEPENDENCYPART_ARC
(10,13),-0.992406 # DEPENDENCYPART_ARC
(10,14),-0.78177 # DEPENDENCYPART_ARC
(10,15),-0.510288 # DEPENDENCYPART_ARC
(10,16),-0.774269 # DEPENDENCYPART_ARC
(10,17),-1.13339 # DEPENDENCYPART_ARC
(10,18),-0.597096 # DEPENDENCYPART_ARC
(10,19),-1.58412 # DEPENDENCYPART_ARC
(10,20),-1.02296 # DEPENDENCYPART_ARC
(10,21),-0.956781 # DEPENDENCYPART_ARC
(10,22),-1.43916 # DEPENDENCYPART_ARC
(10,23),-1.7102 # DEPENDENCYPART_ARC
(10,24),-1.76063 # DEPENDENCYPART_ARC
(10,25),-1.62707 # DEPENDENCYPART_ARC
(10,26),-1.63068 # DEPENDENCYPART_ARC
(10,27),-2.96362 # DEPENDENCYPART_ARC
(10,28),-1.98853 # DEPENDENCYPART_ARC
(11,1),-1.27746 # DEPENDENCYPART_ARC
(11,2),-1.14632 # DEPENDENCYPART_ARC
(11,3),-1.95044 # DEPENDENCYPART_ARC
(11,4),-0.949182 # DEPENDENCYPART_ARC
(11,5),-1.19365 # DEPENDENCYPART_ARC
(11,6),-1.53237 # DEPENDENCYPART_ARC
(11,7),-0.238964 # DEPENDENCYPART_ARC
(11,8),-1.19851 # DEPENDENCYPART_ARC
(11,9),-0.575257 # DEPENDENCYPART_ARC
(11,10),4.15957 # DEPENDENCYPART_ARC
(11,12),1.96212 # DEPENDENCYPART_ARC
(11,13),-0.139872 # DEPENDENCYPART_ARC
(11,14),-0.574937 # DEPENDENCYPART_ARC
(11,15),0.146356 # DEPENDENCYPART_ARC
(11,16),0.32335 # DEPENDENCYPART_ARC
(11,17),-0.258754 # DEPENDENCYPART_ARC
(11,18),-0.186573 # DEPENDENCYPART_ARC
(11,19),-1.02558 # DEPENDENCYPART_ARC
(11,20),-1.25113 # DEPENDENCYPART_ARC
(11,21),-0.722114 # DEPENDENCYPART_ARC
(11,22),0.469201 # DEPENDENCYPART_ARC
(11,23),-1.15172 # DEPENDENCYPART_ARC
(11,24),-1.07323 # DEPENDENCYPART_ARC
(11,25),-0.467322 # DEPENDENCYPART_ARC
(11,26),-1.10602 # DEPENDENCYPART_ARC
(11,27),-2.43452 # DEPENDENCYPART_ARC
(11,28),-2.64739 # DEPENDENCYPART_ARC
(12,1),-2.00126 # DEPENDENCYPART_ARC
(12,2),-1.66552 # DEPENDENCYPART_ARC
(12,3),-2.22768 # DEPENDENCYPART_ARC
(12,4),-1.64465 # DEPENDENCYPART_ARC
(12,5),-2.15622 # DEPENDENCYPART_ARC
(12,6),-1.63781 # DEPENDENCYPART_ARC
(12,7),-1.66356 # DEPENDENCYPART_ARC
(12,8),-2.22254 # DEPENDENCYPART_ARC
(12,9),-1.81864 # DEPENDENCYPART_ARC
(12,10),-1.04079 # DEPENDENCYPART_ARC
(12,11),-0.426999 # DEPENDENCYPART_ARC
(12,13),-0.683637 # DEPENDENCYPART_ARC
(12,14),-1.61595 # DEPENDENCYPART_ARC
(12,15),-2.14257 # DEPENDENCYPART_ARC
(12,16),-2.17849 # DEPENDENCYPART_ARC
(12,17),-2.09658 # DEPENDENCYPART_ARC
(12,18),-2.4881 # DEPENDENCYPART_ARC
(12,19),-2.4736 # DEPENDENCYPART_ARC
(12,20),-2.50864 # DEPENDENCYPART_ARC
(12,21),-2.57894 # DEPENDENCYPART_ARC
(12,22),-0.885558 # DEPENDENCYPART_ARC
(12,23),-2.44921 # DEPENDENCYPART_ARC
(12,24),-2.64047 # DEPENDENCYPART_ARC
(12,25),-2.76396 # DEPENDENCYPART_ARC
(12,26),-2.59817 # DEPENDENCYPART_ARC
(12,27),-2.88946 # DEPENDENCYPART_ARC
(12,28),-1.46896 # DEPENDENCYPART_ARC
(13,1),-1.83392 # DEPENDENCYPART_ARC
(13,2),-1.72644 # DEPENDENCYPART_ARC
(13,3),0.0352184 # DEPENDENCYPART_ARC
(13,4),-1.32199 # DEPENDENCYPART_ARC
(13,5),0.214996 # DEPENDENCYPART_ARC
(13,6),-2.32866 # DEPENDENCYPART_ARC
(13,7),-0.580204 # DEPENDENCYPART_ARC
(13,8),-0.277266 # DEPENDENCYPART_ARC
(13,9),-0.298627 # DEPENDENCYPART_ARC
(13,10),-0.845575 # DEPENDENCYPART_ARC
(13,11),-0.542854 # DEPENDENCYPART_ARC
(13,12),1.20717 # DEPENDENCYPART_ARC
(13,14),1.76326 # DEPENDENCYPART_ARC
(13,15),0.9728 # DEPENDENCYPART_ARC
(13,16),-1.57534 # DEPENDENCYPART_ARC
(13,17),-0.417522 # DEPENDENCYPART_ARC
(13,18),0.740554 # DEPENDENCYPART_ARC
(13,19),-0.731065 # DEPENDENCYPART_ARC
(13,20),-0.685035 # DEPENDENCYPART_ARC
(13,21),-0.551735 # DEPENDENCYPART_ARC
(13,22),0.259897 # DEPENDENCYPART_ARC
(13,23),-2.05883 # DEPENDENCYPART_ARC
(13,24),-1.00177 # DEPENDENCYPART_ARC
(13,25),-1.7126 # DEPENDENCYPART_ARC
(13,26),-1.58778 # DEPENDENCYPART_ARC
(13,27),-1.87747 # DEPENDENCYPART_ARC
(13,28),-2.06145 # DEPENDENCYPART_ARC
(14,1),-1.75318 # DEPENDENCYPART_ARC
(14,2),-1.17174 # DEPENDENCYPART_ARC
(14,3),-0.0171034 # DEPENDENCYPART_ARC
(14,4),-0.649407 # DEPENDENCYPART_ARC
(14,5),0.305854 # DEPENDENCYPART_ARC
(14,6),-2.19016 # DEPENDENCYPART_ARC
(14,7),0.960897 # DEPENDENCYPART_ARC
(14,8),1.39555 # DEPENDENCYPART_ARC
(14,9),0.633285 # DEPENDENCYPART_ARC
(14,10),-0.176566 # DEPENDENCYPART_ARC
(14,11),1.00035 # DEPENDENCYPART_ARC
(14,12),0.0794377 # DEPENDENCYPART_ARC
(14,13),3.87606 # DEPENDENCYPART_ARC
(14,15),2.50083 # DEPENDENCYPART_ARC
(14,16),-0.952858 # DEPENDENCYPART_ARC
(14,17),0.303167 # DEPENDENCYPART_ARC
(14,18),1.38617 # DEPENDENCYPART_ARC
(14,19),0.0506803 # DEPENDENCYPART_ARC
(14,20),0.435428 # DEPENDENCYPART_ARC
(14,21),0.548065 # DEPENDENCYPART_ARC
(14,22),0.588024 # DEPENDENCYPART_ARC
(14,23),-1.93911 # DEPENDENCYPART_ARC
(14,24),-0.244103 # DEPENDENCYPART_ARC
(14,25),-0.835556 # DEPENDENCYPART_ARC
(14,26),-1.04558 # DEPENDENCYPART_ARC
(14,27),-1.81524 # DEPENDENCYPART_ARC
(14,28),-1.42164 # DEPENDENCYPART_ARC
(15,1),-2.23672 # DEPENDENCYPART_ARC
(15,2),-2.00887 # DEPENDENCYPART_ARC
(15,3),-2.29816 # DEPENDENCYPART_ARC
(15,4),-2.02828 # DEPENDENCYPART_ARC
(15,5),-2.19184 # DEPENDENCYPART_ARC
(15,6),-2.1685 # DEPENDENCYPART_ARC
(15,7),-1.94079 # DEPENDENCYPART_ARC
(15,8),-2.43442 # DEPENDENCYPART_ARC
(15,9),-2.35974 # DEPENDENCYPART_ARC
(15,10),-1.94542 # DEPENDENCYPART_ARC
(15,11),-1.69717 # DEPENDENCYPART_ARC
(15,12),-1.34145 # DEPENDENCYPART_ARC
(15,13),-1.19229 # DEPENDENCYPART_ARC
(15,14),-0.284522 # DEPENDENCYPART_ARC
(15,16),0.844318 # DEPENDENCYPART_ARC
(15,17),1.22434 # DEPENDENCYPART_ARC
(15,18),0.483309 # DEPENDENCYPART_ARC
(15,19),2.11385 # DEPENDENCYPART_ARC
(15,20),0.748557 # DEPENDENCYPART_ARC
(15,21),-0.134559 # DEPENDENCYPART_ARC
(15,22),0.361661 # DEPENDENCYPART_ARC
(15,23),-0.452231 # DEPENDENCYPART_ARC
(15,24),-1.59338 # DEPENDENCYPART_ARC
(15,25),-0.742656 # DEPENDENCYPART_ARC
(15,26),-2.13626 # DEPENDENCYPART_ARC
(15,27),-0.284 # DEPENDENCYPART_ARC
(15,28),-0.742734 # DEPENDENCYPART_ARC
(16,1),-2.22661 # DEPENDENCYPART_ARC
(16,2),-2.96436 # DEPENDENCYPART_ARC
(16,3),-3.33729 # DEPENDENCYPART_ARC
(16,4),-2.70136 # DEPENDENCYPART_ARC
(16,5),-3.5819 # DEPENDENCYPART_ARC
(16,6),-2.62543 # DEPENDENCYPART_ARC
(16,7),-2.87065 # DEPENDENCYPART_ARC
(16,8),-3.74349 # DEPENDENCYPART_ARC
(16,9),-3.21795 # DEPENDENCYPART_ARC
(16,10),-2.41591 # DEPENDENCYPART_ARC
(16,11),-2.63416 # DEPENDENCYPART_ARC
(16,12),-1.73997 # DEPENDENCYPART_ARC
(16,13),-3.09308 # DEPENDENCYPART_ARC
(16,14),-2.39465 # DEPENDENCYPART_ARC
(16,15),-0.480094 # DEPENDENCYPART_ARC
(16,17),0.583866 # DEPENDENCYPART_ARC
(16,18),-0.00958482 # DEPENDENCYPART_ARC
(16,19),-0.65938 # DEPENDENCYPART_ARC
(16,20),-0.378703 # DEPENDENCYPART_ARC
(16,21),-0.4184 # DEPENDENCYPART_ARC
(16,22),-0.165295 # DEPENDENCYPART_ARC
(16,23),-1.24943 # DEPENDENCYPART_ARC
(16,24),-1.02044 # DEPENDENCYPART_ARC
(16,25),-0.530841 # DEPENDENCYPART_ARC
(16,26),-1.13654 # DEPENDENCYPART_ARC
(16,27),-2.31738 # DEPENDENCYPART_ARC
(16,28),-0.550038 # DEPENDENCYPART_ARC
(17,1),-0.874929 # DEPENDENCYPART_ARC
(17,2),-0.200969 # DEPENDENCYPART_ARC
(17,3),-1.61064 # DEPENDENCYPART_ARC
(17,4),-0.864472 # DEPENDENCYPART_ARC
(17,5),-1.44915 # DEPENDENCYPART_ARC
(17,6),-0.960108 # DEPENDENCYPART_ARC
(17,7),-0.743227 # DEPENDENCYPART_ARC
(17,8),-1.34871 # DEPENDENCYPART_ARC
(17,9),-1.26313 # DEPENDENCYPART_ARC
(17,10),-0.526859 # DEPENDENCYPART_ARC
(17,11),-1.08318 # DEPENDENCYPART_ARC
(17,12),-0.309067 # DEPENDENCYPART_ARC
(17,13),-0.939053 # DEPENDENCYPART_ARC
(17,14),-0.533998 # DEPENDENCYPART_ARC
(17,15),0.667239 # DEPENDENCYPART_ARC
(17,16),2.88976 # DEPENDENCYPART_ARC
(17,18),1.77027 # DEPENDENCYPART_ARC
(17,19),0.872144 # DEPENDENCYPART_ARC
(17,20),0.479652 # DEPENDENCYPART_ARC
(17,21),0.377595 # DEPENDENCYPART_ARC
(17,22),0.29135 # DEPENDENCYPART_ARC
(17,23),0.0137556 # DEPENDENCYPART_ARC
(17,24),0.169586 # DEPENDENCYPART_ARC
(17,25),0.108059 # DEPENDENCYPART_ARC
(17,26),0.0397503 # DEPENDENCYPART_ARC
(17,27),0.0347833 # DEPENDENCYPART_ARC
(17,28),-0.147095 # DEPENDENCYPART_ARC
(18,1),-1.73277 # DEPENDENCYPART_ARC
(18,2),-1.70297 # DEPENDENCYPART_ARC
(18,3),-2.80179 # DEPENDENCYPART_ARC
(18,4),-1.7362 # DEPENDENCYPART_ARC
(18,5),-2.49902 # DEPENDENCYPART_ARC
(18,6),-1.83071 # DEPENDENCYPART_ARC
(18,7),-1.74079 # DEPENDENCYPART_ARC
(18,8),-2.54697 # DEPENDENCYPART_ARC
(18,9),-2.13014 # DEPENDENCYPART_ARC
(18,10),-1.96666 # DEPENDENCYPART_ARC
(18,11),-2.33586 # DEPENDENCYPART_ARC
(18,12),-1.45758 # DEPENDENCYPART_ARC
(18,13),-2.06586 # DEPENDENCYPART_ARC
(18,14),-2.24142 # DEPENDENCYPART_ARC
(18,15),-0.303401 # DEPENDENCYPART_ARC
(18,16),-0.189656 # DEPENDENCYPART_ARC
(18,17),0.242316 # DEPENDENCYPART_ARC
(18,19),2.9203 # DEPENDENCYPART_ARC
(18,20),1.20513 # DEPENDENCYPART_ARC
