# _root_ Un rumore infernale , simile al passaggio di un treno , risuona nei corridoi sotterranei che solcano Rochester .
#goldHeads=2,12,2,3,2,5,6,7,10,8,10,0,12,13,14,17,14,17,18,
#predictedHeads=2,12,2,3,2,5,6,7,10,8,10,0,12,13,14,17,14,17,18,
(6,15),-2.39097 # DEPENDENCYPART_ARC
(6,16),-2.407 # DEPENDENCYPART_ARC
(6,17),-3.2633 # DEPENDENCYPART_ARC
(6,18),-4.43479 # DEPENDENCYPART_ARC
(6,19),-1.22288 # DEPENDENCYPART_ARC
(7,1),-0.900923 # DEPENDENCYPART_ARC
(7,2),-2.77783 # DEPENDENCYPART_ARC
(7,3),-1.21056 # DEPENDENCYPART_ARC
(7,4),-2.38896 # DEPENDENCYPART_ARC
(7,5),-0.175184 # DEPENDENCYPART_ARC
(7,6),0.615514 # DEPENDENCYPART_ARC
(7,8),1.91343 # DEPENDENCYPART_ARC
(7,9),-0.0132027 # DEPENDENCYPART_ARC
(7,10),0.475046 # DEPENDENCYPART_ARC
(7,11),0.587432 # DEPENDENCYPART_ARC
(7,12),0.0667352 # DEPENDENCYPART_ARC
(7,13),-0.379725 # DEPENDENCYPART_ARC
(7,14),-0.588006 # DEPENDENCYPART_ARC
(7,15),-0.811263 # DEPENDENCYPART_ARC
(7,16),-2.10291 # DEPENDENCYPART_ARC
(7,17),-0.991352 # DEPENDENCYPART_ARC
(7,18),-0.792339 # DEPENDENCYPART_ARC
(7,19),-1.65005 # DEPENDENCYPART_ARC
(8,1),-1.80489 # DEPENDENCYPART_ARC
(8,2),-1.99835 # DEPENDENCYPART_ARC
(8,3),-2.08492 # DEPENDENCYPART_ARC
(8,4),-1.66652 # DEPENDENCYPART_ARC
(8,5),-1.7099 # DEPENDENCYPART_ARC
(8,6),-0.578585 # DEPENDENCYPART_ARC
(8,7),-0.178675 # DEPENDENCYPART_ARC
(8,9),0.448259 # DEPENDENCYPART_ARC
(8,10),3.22483 # DEPENDENCYPART_ARC
(8,11),0.102498 # DEPENDENCYPART_ARC
(8,12),0.238218 # DEPENDENCYPART_ARC
(8,13),-0.664527 # DEPENDENCYPART_ARC
(8,14),-0.345628 # DEPENDENCYPART_ARC
(8,15),-0.614912 # DEPENDENCYPART_ARC
(8,16),-1.52706 # DEPENDENCYPART_ARC
(8,17),-1.06282 # DEPENDENCYPART_ARC
(8,18),-2.26518 # DEPENDENCYPART_ARC
(8,19),-1.24819 # DEPENDENCYPART_ARC
(9,4),-2.34644 # DEPENDENCYPART_ARC
(9,6),-2.21702 # DEPENDENCYPART_ARC
(9,8),-0.722853 # DEPENDENCYPART_ARC
(9,11),0.0553822 # DEPENDENCYPART_ARC
(9,13),-0.714381 # DEPENDENCYPART_ARC
(9,19),-0.755674 # DEPENDENCYPART_ARC
(10,1),-0.721527 # DEPENDENCYPART_ARC
(10,2),-2.36262 # DEPENDENCYPART_ARC
(10,3),-1.25023 # DEPENDENCYPART_ARC
(10,4),-2.3981 # DEPENDENCYPART_ARC
(10,5),-0.834189 # DEPENDENCYPART_ARC
(10,6),0.0151341 # DEPENDENCYPART_ARC
(10,7),-0.723274 # DEPENDENCYPART_ARC
(10,8),0.334777 # DEPENDENCYPART_ARC
(10,9),3.25876 # DEPENDENCYPART_ARC
(10,11),2.19378 # DEPENDENCYPART_ARC
(10,12),0.643356 # DEPENDENCYPART_ARC
(10,13),-0.139566 # DEPENDENCYPART_ARC
(10,14),0.0619864 # DEPENDENCYPART_ARC
(10,15),-0.297194 # DEPENDENCYPART_ARC
(10,16),-1.66713 # DEPENDENCYPART_ARC
(10,17),-0.964741 # DEPENDENCYPART_ARC
(10,18),-0.320096 # DEPENDENCYPART_ARC
(10,19),-0.616688 # DEPENDENCYPART_ARC
(11,1),-1.77824 # DEPENDENCYPART_ARC
(11,4),-1.84389 # DEPENDENCYPART_ARC
(11,9),-0.559916 # DEPENDENCYPART_ARC
(11,19),-1.43032 # DEPENDENCYPART_ARC
(12,1),-1.12158 # DEPENDENCYPART_ARC
(12,2),0.18605 # DEPENDENCYPART_ARC
(12,3),-0.949147 # DEPENDENCYPART_ARC
(12,4),-1.83918 # DEPENDENCYPART_ARC
(12,5),-0.92153 # DEPENDENCYPART_ARC
(12,6),-0.385245 # DEPENDENCYPART_ARC
(12,7),0.0169847 # DEPENDENCYPART_ARC
(12,8),-0.485723 # DEPENDENCYPART_ARC
(12,9),-0.135409 # DEPENDENCYPART_ARC
(12,10),1.08445 # DEPENDENCYPART_ARC
(12,11),0.111303 # DEPENDENCYPART_ARC
(12,13),2.5149 # DEPENDENCYPART_ARC
(12,14),1.55946 # DEPENDENCYPART_ARC
(12,15),0.127918 # DEPENDENCYPART_ARC
(12,16),-0.321079 # DEPENDENCYPART_ARC
(12,17),0.121866 # DEPENDENCYPART_ARC
(12,18),-0.193571 # DEPENDENCYPART_ARC
(12,19),-0.38527 # DEPENDENCYPART_ARC
(13,1),-2.03161 # DEPENDENCYPART_ARC
(13,2),-3.0773 # DEPENDENCYPART_ARC
(13,3),-2.90238 # DEPENDENCYPART_ARC
(13,4),-2.03575 # DEPENDENCYPART_ARC
(13,5),-2.92188 # DEPENDENCYPART_ARC
(13,6),-1.81007 # DEPENDENCYPART_ARC
(13,7),-2.82749 # DEPENDENCYPART_ARC
(13,8),-1.37559 # DEPENDENCYPART_ARC
(13,9),-1.49724 # DEPENDENCYPART_ARC
(13,10),-2.11751 # DEPENDENCYPART_ARC
(13,11),-0.945335 # DEPENDENCYPART_ARC
(13,12),-1.34647 # DEPENDENCYPART_ARC
(13,14),4.58884 # DEPENDENCYPART_ARC
(13,15),0.843476 # DEPENDENCYPART_ARC
(13,16),0.0725278 # DEPENDENCYPART_ARC
(13,17),-0.93812 # DEPENDENCYPART_ARC
(13,18),-1.0311 # DEPENDENCYPART_ARC
(13,19),-0.0534833 # DEPENDENCYPART_ARC
(14,1),-3.23032 # DEPENDENCYPART_ARC
(14,2),-3.69208 # DEPENDENCYPART_ARC
(14,3),-3.81977 # DEPENDENCYPART_ARC
(14,4),-3.50158 # DEPENDENCYPART_ARC
(14,5),-3.65957 # DEPENDENCYPART_ARC
(14,6),-2.15763 # DEPENDENCYPART_ARC
(14,7),-3.08532 # DEPENDENCYPART_ARC
(14,8),-2.11213 # DEPENDENCYPART_ARC
(14,9),-1.24018 # DEPENDENCYPART_ARC
(14,10),-2.83928 # DEPENDENCYPART_ARC
(14,11),-2.24062 # DEPENDENCYPART_ARC
(14,12),-2.15406 # DEPENDENCYPART_ARC
(14,13),0.935998 # DEPENDENCYPART_ARC
(14,15),3.6092 # DEPENDENCYPART_ARC
(14,16),-0.700322 # DEPENDENCYPART_ARC
(14,17),1.11006 # DEPENDENCYPART_ARC
(14,18),-0.00805512 # DEPENDENCYPART_ARC
(14,19),-0.314211 # DEPENDENCYPART_ARC
(15,1),-1.5776 # DEPENDENCYPART_ARC
(15,2),-2.21163 # DEPENDENCYPART_ARC
(15,3),-1.8679 # DEPENDENCYPART_ARC
(15,4),-1.69235 # DEPENDENCYPART_ARC
(15,5),-1.7549 # DEPENDENCYPART_ARC
(15,6),-1.1921 # DEPENDENCYPART_ARC
(15,7),-2.00373 # DEPENDENCYPART_ARC
(15,8),-0.816517 # DEPENDENCYPART_ARC
(15,9),-1.18428 # DEPENDENCYPART_ARC
(15,10),-1.67708 # DEPENDENCYPART_ARC
(15,11),-1.13643 # DEPENDENCYPART_ARC
(15,12),-1.72636 # DEPENDENCYPART_ARC
(15,13),0.333335 # DEPENDENCYPART_ARC
(15,14),0.735722 # DEPENDENCYPART_ARC
(15,16),-0.37567 # DEPENDENCYPART_ARC
(15,17),-0.250131 # DEPENDENCYPART_ARC
(15,18),0.199666 # DEPENDENCYPART_ARC
(15,19),-0.247192 # DEPENDENCYPART_ARC
(16,2),-2.96201 # DEPENDENCYPART_ARC
(16,4),-1.71661 # DEPENDENCYPART_ARC
(16,6),-2.14724 # DEPENDENCYPART_ARC
(16,7),-2.73483 # DEPENDENCYPART_ARC
(16,8),-1.72815 # DEPENDENCYPART_ARC
(16,10),-2.73327 # DEPENDENCYPART_ARC
(16,11),-1.51136 # DEPENDENCYPART_ARC
(16,12),-2.8382 # DEPENDENCYPART_ARC
(16,13),-1.29264 # DEPENDENCYPART_ARC
(16,14),-2.00081 # DEPENDENCYPART_ARC
(16,17),0.464065 # DEPENDENCYPART_ARC
(16,19),-0.48406 # DEPENDENCYPART_ARC
(17,1),-2.49229 # DEPENDENCYPART_ARC
(17,2),-1.43466 # DEPENDENCYPART_ARC
(17,3),-2.40303 # DEPENDENCYPART_ARC
(17,4),-3.31752 # DEPENDENCYPART_ARC
(17,5),-2.28703 # DEPENDENCYPART_ARC
(17,6),-2.13551 # DEPENDENCYPART_ARC
(17,7),-1.53718 # DEPENDENCYPART_ARC
(17,8),-1.90474 # DEPENDENCYPART_ARC
(17,9),-2.19772 # DEPENDENCYPART_ARC
(17,10),-0.983348 # DEPENDENCYPART_ARC
(17,11),-3.04244 # DEPENDENCYPART_ARC
(17,12),-0.800686 # DEPENDENCYPART_ARC
(17,13),-0.755443 # DEPENDENCYPART_ARC
(17,14),-0.192163 # DEPENDENCYPART_ARC
(17,15),-0.314115 # DEPENDENCYPART_ARC
(17,16),2.70492 # DEPENDENCYPART_ARC
(17,18),2.41708 # DEPENDENCYPART_ARC
(17,19),0.322067 # DEPENDENCYPART_ARC
(18,1),-3.28198 # DEPENDENCYPART_ARC
(18,2),-4.23627 # DEPENDENCYPART_ARC
(18,3),-2.56781 # DEPENDENCYPART_ARC
(18,4),-3.07385 # DEPENDENCYPART_ARC
(18,5),-2.48899 # DEPENDENCYPART_ARC
(18,6),-1.95774 # DEPENDENCYPART_ARC
(18,7),-3.48033 # DEPENDENCYPART_ARC
(18,8),-1.95003 # DEPENDENCYPART_ARC
(18,9),-1.80865 # DEPENDENCYPART_ARC
(18,10),-3.96871 # DEPENDENCYPART_ARC
(18,11),-2.52503 # DEPENDENCYPART_ARC
(18,12),-3.02431 # DEPENDENCYPART_ARC
(18,13),-1.13313 # DEPENDENCYPART_ARC
(18,14),-1.80016 # DEPENDENCYPART_ARC
(18,15),-1.37972 # DEPENDENCYPART_ARC
(18,17),-0.553913 # DEPENDENCYPART_ARC
(18,19),2.92238 # DEPENDENCYPART_ARC
(19,1),-1.52831 # DEPENDENCYPART_ARC
(19,4),-1.67266 # DEPENDENCYPART_ARC
(19,9),-1.43024 # DEPENDENCYPART_ARC
(19,11),-1.4717 # DEPENDENCYPART_ARC
