# _root_ La volpe di Zagabria , così , potrà sopravvivere più a lungo del lupo solitario di Belgrado .
#goldHeads=2,9,2,3,4,2,6,9,0,11,9,11,12,13,14,14,16,17,
#predictedHeads=2,9,2,3,4,9,6,9,0,9,9,11,12,13,14,14,16,17,
(2,15),-0.837115 # DEPENDENCYPART_ARC
(2,16),-0.686888 # DEPENDENCYPART_ARC
(2,17),-1.01172 # DEPENDENCYPART_ARC
(2,18),-2.28057 # DEPENDENCYPART_ARC
(3,1),-0.669581 # DEPENDENCYPART_ARC
(3,2),-0.478719 # DEPENDENCYPART_ARC
(3,4),4.5072 # DEPENDENCYPART_ARC
(3,5),0.387845 # DEPENDENCYPART_ARC
(3,6),-0.290393 # DEPENDENCYPART_ARC
(3,7),-0.0452209 # DEPENDENCYPART_ARC
(3,8),-0.138672 # DEPENDENCYPART_ARC
(3,9),-0.769036 # DEPENDENCYPART_ARC
(3,10),-1.19045 # DEPENDENCYPART_ARC
(3,11),-1.21777 # DEPENDENCYPART_ARC
(3,12),-0.906936 # DEPENDENCYPART_ARC
(3,13),-1.51089 # DEPENDENCYPART_ARC
(3,14),-1.97793 # DEPENDENCYPART_ARC
(3,15),-1.25807 # DEPENDENCYPART_ARC
(3,16),-1.14829 # DEPENDENCYPART_ARC
(3,17),-2.6827 # DEPENDENCYPART_ARC
(3,18),-1.45531 # DEPENDENCYPART_ARC
(4,1),0.290634 # DEPENDENCYPART_ARC
(4,2),-2.11106 # DEPENDENCYPART_ARC
(4,3),0.596552 # DEPENDENCYPART_ARC
(4,5),1.82526 # DEPENDENCYPART_ARC
(4,6),-0.368145 # DEPENDENCYPART_ARC
(4,7),-0.0771463 # DEPENDENCYPART_ARC
(4,8),-1.21531 # DEPENDENCYPART_ARC
(4,9),-1.09932 # DEPENDENCYPART_ARC
(4,10),-1.25943 # DEPENDENCYPART_ARC
(4,11),-1.38528 # DEPENDENCYPART_ARC
(4,12),-1.58422 # DEPENDENCYPART_ARC
(4,13),-0.880365 # DEPENDENCYPART_ARC
(4,14),-1.24018 # DEPENDENCYPART_ARC
(4,15),-1.33858 # DEPENDENCYPART_ARC
(4,16),-1.34589 # DEPENDENCYPART_ARC
(4,17),-1.6233 # DEPENDENCYPART_ARC
(4,18),-2.06346 # DEPENDENCYPART_ARC
(5,1),-1.27754 # DEPENDENCYPART_ARC
(5,2),-1.52802 # DEPENDENCYPART_ARC
(5,3),-0.753454 # DEPENDENCYPART_ARC
(5,4),-0.495534 # DEPENDENCYPART_ARC
(5,6),-0.934491 # DEPENDENCYPART_ARC
(5,7),-0.280126 # DEPENDENCYPART_ARC
(5,8),-1.4453 # DEPENDENCYPART_ARC
(5,9),-1.76483 # DEPENDENCYPART_ARC
(5,10),-2.39351 # DEPENDENCYPART_ARC
(5,11),-2.31851 # DEPENDENCYPART_ARC
(5,12),-2.48633 # DEPENDENCYPART_ARC
(5,13),-2.42182 # DEPENDENCYPART_ARC
(5,14),-2.43131 # DEPENDENCYPART_ARC
(5,15),-2.53931 # DEPENDENCYPART_ARC
(5,16),-2.5365 # DEPENDENCYPART_ARC
(5,17),-2.492 # DEPENDENCYPART_ARC
(5,18),-1.57895 # DEPENDENCYPART_ARC
(6,1),-0.923899 # DEPENDENCYPART_ARC
(6,2),-1.94958 # DEPENDENCYPART_ARC
(6,3),-0.432411 # DEPENDENCYPART_ARC
(6,4),-1.35788 # DEPENDENCYPART_ARC
(6,5),0.453083 # DEPENDENCYPART_ARC
(6,7),2.3567 # DEPENDENCYPART_ARC
(6,8),0.402703 # DEPENDENCYPART_ARC
(6,9),0.298989 # DEPENDENCYPART_ARC
(6,10),-0.350707 # DEPENDENCYPART_ARC
(6,11),-0.6649 # DEPENDENCYPART_ARC
(6,12),-0.791087 # DEPENDENCYPART_ARC
(6,13),-0.90133 # DEPENDENCYPART_ARC
(6,14),-0.911389 # DEPENDENCYPART_ARC
(6,15),-0.953953 # DEPENDENCYPART_ARC
(6,16),-0.910751 # DEPENDENCYPART_ARC
(6,17),-0.960438 # DEPENDENCYPART_ARC
(6,18),-1.10703 # DEPENDENCYPART_ARC
(7,1),-1.96043 # DEPENDENCYPART_ARC
(7,2),-2.34018 # DEPENDENCYPART_ARC
(7,3),-1.65589 # DEPENDENCYPART_ARC
(7,4),-1.90569 # DEPENDENCYPART_ARC
(7,5),-1.22011 # DEPENDENCYPART_ARC
(7,6),-0.618972 # DEPENDENCYPART_ARC
(7,8),-0.75858 # DEPENDENCYPART_ARC
(7,9),-1.68591 # DEPENDENCYPART_ARC
(7,10),-2.33586 # DEPENDENCYPART_ARC
(7,11),-2.37792 # DEPENDENCYPART_ARC
(7,12),-2.47693 # DEPENDENCYPART_ARC
(7,13),-2.55417 # DEPENDENCYPART_ARC
(7,14),-2.56189 # DEPENDENCYPART_ARC
(7,15),-2.75287 # DEPENDENCYPART_ARC
(7,16),-2.69736 # DEPENDENCYPART_ARC
(7,17),-2.62459 # DEPENDENCYPART_ARC
(7,18),-1.67054 # DEPENDENCYPART_ARC
(8,1),-1.56293 # DEPENDENCYPART_ARC
(8,2),-0.562622 # DEPENDENCYPART_ARC
(8,3),-2.11697 # DEPENDENCYPART_ARC
(8,4),-1.02037 # DEPENDENCYPART_ARC
(8,5),-2.11727 # DEPENDENCYPART_ARC
(8,6),0.0954664 # DEPENDENCYPART_ARC
(8,7),-0.139571 # DEPENDENCYPART_ARC
(8,9),1.39156 # DEPENDENCYPART_ARC
(8,10),-0.569509 # DEPENDENCYPART_ARC
(8,11),0.332151 # DEPENDENCYPART_ARC
(8,12),-0.603593 # DEPENDENCYPART_ARC
(8,13),-0.99711 # DEPENDENCYPART_ARC
(8,14),-1.38821 # DEPENDENCYPART_ARC
(8,15),-1.28119 # DEPENDENCYPART_ARC
(8,16),-1.50118 # DEPENDENCYPART_ARC
(8,17),-1.85505 # DEPENDENCYPART_ARC
(8,18),-1.54058 # DEPENDENCYPART_ARC
(9,1),0.0768365 # DEPENDENCYPART_ARC
(9,2),0.92192 # DEPENDENCYPART_ARC
(9,3),-0.607438 # DEPENDENCYPART_ARC
(9,4),0.46123 # DEPENDENCYPART_ARC
(9,5),-1.28292 # DEPENDENCYPART_ARC
(9,6),1.37186 # DEPENDENCYPART_ARC
(9,7),-0.277712 # DEPENDENCYPART_ARC
(9,8),3.27235 # DEPENDENCYPART_ARC
(9,10),1.68669 # DEPENDENCYPART_ARC
(9,11),2.48468 # DEPENDENCYPART_ARC
(9,12),1.31586 # DEPENDENCYPART_ARC
(9,13),0.980105 # DEPENDENCYPART_ARC
(9,14),1.0887 # DEPENDENCYPART_ARC
(9,15),0.594295 # DEPENDENCYPART_ARC
(9,16),0.107147 # DEPENDENCYPART_ARC
(9,17),0.42072 # DEPENDENCYPART_ARC
(9,18),-0.475533 # DEPENDENCYPART_ARC
(10,1),-1.35784 # DEPENDENCYPART_ARC
(10,2),-2.37722 # DEPENDENCYPART_ARC
(10,3),-1.26778 # DEPENDENCYPART_ARC
(10,4),-2.21826 # DEPENDENCYPART_ARC
(10,5),-1.73625 # DEPENDENCYPART_ARC
(10,6),-0.887919 # DEPENDENCYPART_ARC
(10,7),-1.22053 # DEPENDENCYPART_ARC
(10,8),-1.22675 # DEPENDENCYPART_ARC
(10,9),-0.406635 # DEPENDENCYPART_ARC
(10,11),1.09662 # DEPENDENCYPART_ARC
(10,12),0.465663 # DEPENDENCYPART_ARC
(10,13),0.175907 # DEPENDENCYPART_ARC
(10,14),0.194448 # DEPENDENCYPART_ARC
(10,15),-0.206795 # DEPENDENCYPART_ARC
(10,16),0.0454264 # DEPENDENCYPART_ARC
(10,17),-0.124455 # DEPENDENCYPART_ARC
(10,18),-0.402778 # DEPENDENCYPART_ARC
(11,1),-1.14054 # DEPENDENCYPART_ARC
(11,2),-1.41941 # DEPENDENCYPART_ARC
(11,3),-0.893223 # DEPENDENCYPART_ARC
(11,4),-1.2404 # DEPENDENCYPART_ARC
(11,5),-1.13058 # DEPENDENCYPART_ARC
(11,6),-0.400048 # DEPENDENCYPART_ARC
(11,7),-0.869532 # DEPENDENCYPART_ARC
(11,8),-1.06096 # DEPENDENCYPART_ARC
(11,9),-0.390975 # DEPENDENCYPART_ARC
(11,10),1.04844 # DEPENDENCYPART_ARC
(11,12),2.67807 # DEPENDENCYPART_ARC
(11,13),0.50929 # DEPENDENCYPART_ARC
(11,14),1.88312 # DEPENDENCYPART_ARC
(11,15),0.637572 # DEPENDENCYPART_ARC
(11,16),-0.264979 # DEPENDENCYPART_ARC
(11,17),0.228179 # DEPENDENCYPART_ARC
(11,18),-0.399415 # DEPENDENCYPART_ARC
(12,1),-2.17929 # DEPENDENCYPART_ARC
(12,2),-3.12732 # DEPENDENCYPART_ARC
(12,3),-1.57196 # DEPENDENCYPART_ARC
(12,4),-2.52956 # DEPENDENCYPART_ARC
(12,5),-2.37218 # DEPENDENCYPART_ARC
(12,6),-1.57724 # DEPENDENCYPART_ARC
(12,7),-2.06429 # DEPENDENCYPART_ARC
(12,8),-2.0992 # DEPENDENCYPART_ARC
(12,9),-1.60591 # DEPENDENCYPART_ARC
(12,10),0.30876 # DEPENDENCYPART_ARC
(12,11),0.757953 # DEPENDENCYPART_ARC
(12,13),1.64921 # DEPENDENCYPART_ARC
(12,14),1.02338 # DEPENDENCYPART_ARC
(12,15),1.12062 # DEPENDENCYPART_ARC
(12,16),0.307446 # DEPENDENCYPART_ARC
(12,17),0.663618 # DEPENDENCYPART_ARC
(12,18),0.0217328 # DEPENDENCYPART_ARC
(13,1),-1.68428 # DEPENDENCYPART_ARC
(13,2),-2.81195 # DEPENDENCYPART_ARC
(13,3),-1.44618 # DEPENDENCYPART_ARC
(13,4),-2.47348 # DEPENDENCYPART_ARC
(13,5),-1.81428 # DEPENDENCYPART_ARC
(13,6),-1.156 # DEPENDENCYPART_ARC
(13,7),-1.62149 # DEPENDENCYPART_ARC
(13,8),-2.28897 # DEPENDENCYPART_ARC
(13,9),-1.91303 # DEPENDENCYPART_ARC
(13,10),-0.432281 # DEPENDENCYPART_ARC
(13,11),-0.25001 # DEPENDENCYPART_ARC
(13,12),-0.0439602 # DEPENDENCYPART_ARC
(13,14),3.94278 # DEPENDENCYPART_ARC
(13,15),0.526042 # DEPENDENCYPART_ARC
(13,16),0.58492 # DEPENDENCYPART_ARC
(13,17),0.946191 # DEPENDENCYPART_ARC
(13,18),-0.0658925 # DEPENDENCYPART_ARC
(14,1),-2.89228 # DEPENDENCYPART_ARC
(14,2),-4.08826 # DEPENDENCYPART_ARC
(14,3),-2.71428 # DEPENDENCYPART_ARC
(14,4),-2.94244 # DEPENDENCYPART_ARC
(14,5),-3.39052 # DEPENDENCYPART_ARC
(14,6),-2.21745 # DEPENDENCYPART_ARC
(14,7),-3.26352 # DEPENDENCYPART_ARC
(14,8),-2.69338 # DEPENDENCYPART_ARC
(14,9),-2.79224 # DEPENDENCYPART_ARC
(14,10),-0.985703 # DEPENDENCYPART_ARC
(14,11),-1.06673 # DEPENDENCYPART_ARC
(14,12),0.392343 # DEPENDENCYPART_ARC
(14,13),0.603326 # DEPENDENCYPART_ARC
(14,15),3.27695 # DEPENDENCYPART_ARC
(14,16),2.23126 # DEPENDENCYPART_ARC
(14,17),1.36659 # DEPENDENCYPART_ARC
(14,18),0.263518 # DEPENDENCYPART_ARC
(15,1),-1.62977 # DEPENDENCYPART_ARC
(15,2),-2.61834 # DEPENDENCYPART_ARC
(15,3),-0.975442 # DEPENDENCYPART_ARC
(15,4),-2.14322 # DEPENDENCYPART_ARC
(15,5),-1.87091 # DEPENDENCYPART_ARC
(15,6),-1.27084 # DEPENDENCYPART_ARC
(15,7),-1.69333 # DEPENDENCYPART_ARC
(15,8),-1.7304 # DEPENDENCYPART_ARC
(15,9),-1.5582 # DEPENDENCYPART_ARC
(15,10),-0.149653 # DEPENDENCYPART_ARC
(15,11),0.087333 # DEPENDENCYPART_ARC
(15,12),-0.856584 # DEPENDENCYPART_ARC
(15,13),0.318247 # DEPENDENCYPART_ARC
(15,14),0.442098 # DEPENDENCYPART_ARC
(15,16),0.852475 # DEPENDENCYPART_ARC
(15,17),0.946176 # DEPENDENCYPART_ARC
(15,18),0.192627 # DEPENDENCYPART_ARC
(16,1),-1.98103 # DEPENDENCYPART_ARC
(16,2),-2.28484 # DEPENDENCYPART_ARC
(16,3),-1.83042 # DEPENDENCYPART_ARC
(16,4),-2.04974 # DEPENDENCYPART_ARC
(16,5),-2.26079 # DEPENDENCYPART_ARC
(16,6),-1.61738 # DEPENDENCYPART_ARC
(16,7),-2.04504 # DEPENDENCYPART_ARC
(16,8),-2.42735 # DEPENDENCYPART_ARC
(16,9),-2.28151 # DEPENDENCYPART_ARC
(16,10),-1.53527 # DEPENDENCYPART_ARC
(16,11),-1.12682 # DEPENDENCYPART_ARC
(16,12),-1.87243 # DEPENDENCYPART_ARC
(16,13),-0.699736 # DEPENDENCYPART_ARC
(16,14),-1.0261 # DEPENDENCYPART_ARC
(16,15),-0.270047 # DEPENDENCYPART_ARC
(16,17),4.2153 # DEPENDENCYPART_ARC
(16,18),0.0384523 # DEPENDENCYPART_ARC
(17,1),-3.12512 # DEPENDENCYPART_ARC
(17,2),-4.25027 # DEPENDENCYPART_ARC
(17,3),-3.12186 # DEPENDENCYPART_ARC
(17,4),-1.51743 # DEPENDENCYPART_ARC
(17,5),-3.53576 # DEPENDENCYPART_ARC
(17,6),-2.22378 # DEPENDENCYPART_ARC
(17,7),-3.48 # DEPENDENCYPART_ARC
(17,8),-3.38209 # DEPENDENCYPART_ARC
(17,9),-3.31738 # DEPENDENCYPART_ARC
(17,10),-1.36197 # DEPENDENCYPART_ARC
(17,11),-1.99783 # DEPENDENCYPART_ARC
(17,12),-2.00219 # DEPENDENCYPART_ARC
(17,13),-1.45176 # DEPENDENCYPART_ARC
(17,14),-2.46078 # DEPENDENCYPART_ARC
(17,15),-1.24287 # DEPENDENCYPART_ARC
(17,16),0.399989 # DEPENDENCYPART_ARC
(17,18),2.96889 # DEPENDENCYPART_ARC
(18,1),-1.98037 # DEPENDENCYPART_ARC
(18,2),-2.5085 # DEPENDENCYPART_ARC
(18,3),-1.97337 # DEPENDENCYPART_ARC
(18,4),-2.57427 # DEPENDENCYPART_ARC
(18,5),-2.01422 # DEPENDENCYPART_ARC
(18,6),-2.21329 # DEPENDENCYPART_ARC
(18,7),-2.12602 # DEPENDENCYPART_ARC
(18,8),-2.66985 # DEPENDENCYPART_ARC
(18,9),-2.58001 # DEPENDENCYPART_ARC
(18,10),-2.00088 # DEPENDENCYPART_ARC
(18,11),-1.56918 # DEPENDENCYPART_ARC
(18,12),-2.06207 # DEPENDENCYPART_ARC
(18,13),-1.41732 # DEPENDENCYPART_ARC
(18,14),-1.88555 # DEPENDENCYPART_ARC
(18,15),-1.49923 # DEPENDENCYPART_ARC
(18,16),-0.806031 # DEPENDENCYPART_ARC
(18,17),-0.525217 # DEPENDENCYPART_ARC
