# _root_ Se strofini a lungo la pelle , per_esempio , puoi incrementare l' acne .
#goldHeads=11,1,2,3,6,2,6,2,8,11,0,13,11,13,
#predictedHeads=11,1,2,3,6,3,6,11,8,11,0,13,11,13,
(4,2),-0.980041 # DEPENDENCYPART_ARC
(4,3),0.568227 # DEPENDENCYPART_ARC
(4,5),0.195313 # DEPENDENCYPART_ARC
(4,6),0.406455 # DEPENDENCYPART_ARC
(4,7),0.0306062 # DEPENDENCYPART_ARC
(4,8),-0.608253 # DEPENDENCYPART_ARC
(4,9),-0.0627892 # DEPENDENCYPART_ARC
(4,10),-1.00057 # DEPENDENCYPART_ARC
(4,11),-1.7151 # DEPENDENCYPART_ARC
(4,12),-1.22448 # DEPENDENCYPART_ARC
(4,13),-0.90992 # DEPENDENCYPART_ARC
(4,14),-1.00803 # DEPENDENCYPART_ARC
(5,1),-1.58397 # DEPENDENCYPART_ARC
(5,2),-1.88321 # DEPENDENCYPART_ARC
(5,3),-0.607768 # DEPENDENCYPART_ARC
(5,4),0.0191223 # DEPENDENCYPART_ARC
(5,6),1.10566 # DEPENDENCYPART_ARC
(5,7),-0.0678601 # DEPENDENCYPART_ARC
(5,8),-0.647482 # DEPENDENCYPART_ARC
(5,9),-0.337782 # DEPENDENCYPART_ARC
(5,10),-0.00149607 # DEPENDENCYPART_ARC
(5,11),-0.723942 # DEPENDENCYPART_ARC
(5,12),-1.76294 # DEPENDENCYPART_ARC
(5,13),-0.833614 # DEPENDENCYPART_ARC
(5,14),-0.86728 # DEPENDENCYPART_ARC
(6,1),-0.580898 # DEPENDENCYPART_ARC
(6,2),-1.14326 # DEPENDENCYPART_ARC
(6,3),0.369896 # DEPENDENCYPART_ARC
(6,4),1.34658 # DEPENDENCYPART_ARC
(6,5),3.51682 # DEPENDENCYPART_ARC
(6,7),2.29053 # DEPENDENCYPART_ARC
(6,8),0.417933 # DEPENDENCYPART_ARC
(6,9),0.718552 # DEPENDENCYPART_ARC
(6,10),1.18349 # DEPENDENCYPART_ARC
(6,11),-0.571754 # DEPENDENCYPART_ARC
(6,12),-0.602669 # DEPENDENCYPART_ARC
(6,13),-0.050857 # DEPENDENCYPART_ARC
(6,14),-0.0817502 # DEPENDENCYPART_ARC
(7,1),-2.05886 # DEPENDENCYPART_ARC
(7,2),-2.67905 # DEPENDENCYPART_ARC
(7,3),-1.6088 # DEPENDENCYPART_ARC
(7,4),-1.81864 # DEPENDENCYPART_ARC
(7,5),-0.847259 # DEPENDENCYPART_ARC
(7,6),-0.888125 # DEPENDENCYPART_ARC
(7,8),-1.00557 # DEPENDENCYPART_ARC
(7,9),-0.351205 # DEPENDENCYPART_ARC
(7,10),-1.51637 # DEPENDENCYPART_ARC
(7,11),-1.85193 # DEPENDENCYPART_ARC
(7,12),-2.22856 # DEPENDENCYPART_ARC
(7,13),-2.40904 # DEPENDENCYPART_ARC
(7,14),-1.27665 # DEPENDENCYPART_ARC
(8,1),-1.10282 # DEPENDENCYPART_ARC
(8,2),-2.13899 # DEPENDENCYPART_ARC
(8,3),-0.794689 # DEPENDENCYPART_ARC
(8,4),-1.29147 # DEPENDENCYPART_ARC
(8,5),-0.318415 # DEPENDENCYPART_ARC
(8,6),-1.25062 # DEPENDENCYPART_ARC
(8,7),0.594702 # DEPENDENCYPART_ARC
(8,9),2.49521 # DEPENDENCYPART_ARC
(8,10),0.577116 # DEPENDENCYPART_ARC
(8,11),0.519795 # DEPENDENCYPART_ARC
(8,12),-0.13795 # DEPENDENCYPART_ARC
(8,13),-0.718382 # DEPENDENCYPART_ARC
(8,14),-0.318387 # DEPENDENCYPART_ARC
(9,1),-2.14796 # DEPENDENCYPART_ARC
(9,2),-2.75216 # DEPENDENCYPART_ARC
(9,3),-1.83276 # DEPENDENCYPART_ARC
(9,4),-2.24822 # DEPENDENCYPART_ARC
(9,5),-1.60491 # DEPENDENCYPART_ARC
(9,6),-1.84275 # DEPENDENCYPART_ARC
(9,7),-1.14913 # DEPENDENCYPART_ARC
(9,8),-0.547988 # DEPENDENCYPART_ARC
(9,10),-0.689731 # DEPENDENCYPART_ARC
(9,11),-1.64798 # DEPENDENCYPART_ARC
(9,12),-2.05734 # DEPENDENCYPART_ARC
(9,13),-2.26203 # DEPENDENCYPART_ARC
(9,14),-1.38266 # DEPENDENCYPART_ARC
(10,1),0.36697 # DEPENDENCYPART_ARC
(10,2),-1.99678 # DEPENDENCYPART_ARC
(10,3),-0.893402 # DEPENDENCYPART_ARC
(10,4),-1.71418 # DEPENDENCYPART_ARC
(10,5),-1.41871 # DEPENDENCYPART_ARC
(10,6),-1.304 # DEPENDENCYPART_ARC
(10,7),-1.84666 # DEPENDENCYPART_ARC
(10,8),0.416934 # DEPENDENCYPART_ARC
(10,9),0.131036 # DEPENDENCYPART_ARC
(10,11),1.26005 # DEPENDENCYPART_ARC
(10,12),-2.06224 # DEPENDENCYPART_ARC
(10,13),-0.351968 # DEPENDENCYPART_ARC
(10,14),-0.878588 # DEPENDENCYPART_ARC
(11,1),1.3214 # DEPENDENCYPART_ARC
(11,2),-0.408212 # DEPENDENCYPART_ARC
(11,3),0.488657 # DEPENDENCYPART_ARC
(11,4),0.0414652 # DEPENDENCYPART_ARC
(11,5),0.0408785 # DEPENDENCYPART_ARC
(11,6),0.582062 # DEPENDENCYPART_ARC
(11,7),-1.55789 # DEPENDENCYPART_ARC
(11,8),1.08973 # DEPENDENCYPART_ARC
(11,9),-0.543312 # DEPENDENCYPART_ARC
(11,10),3.3011 # DEPENDENCYPART_ARC
(11,12),1.20099 # DEPENDENCYPART_ARC
(11,13),3.26141 # DEPENDENCYPART_ARC
(11,14),0.551948 # DEPENDENCYPART_ARC
(12,1),-2.28839 # DEPENDENCYPART_ARC
(12,2),-3.57809 # DEPENDENCYPART_ARC
(12,3),-1.92117 # DEPENDENCYPART_ARC
(12,4),-2.28442 # DEPENDENCYPART_ARC
(12,5),-1.56498 # DEPENDENCYPART_ARC
(12,6),-2.64559 # DEPENDENCYPART_ARC
(12,7),-1.6643 # DEPENDENCYPART_ARC
(12,8),-1.70385 # DEPENDENCYPART_ARC
(12,9),-1.16531 # DEPENDENCYPART_ARC
(12,10),-2.27456 # DEPENDENCYPART_ARC
(12,11),-0.632147 # DEPENDENCYPART_ARC
(12,13),0.933264 # DEPENDENCYPART_ARC
(12,14),-0.3937 # DEPENDENCYPART_ARC
(13,1),-1.13066 # DEPENDENCYPART_ARC
(13,2),-1.95954 # DEPENDENCYPART_ARC
(13,3),-0.987805 # DEPENDENCYPART_ARC
(13,4),-1.22937 # DEPENDENCYPART_ARC
(13,5),-0.807012 # DEPENDENCYPART_ARC
(13,6),-2.63492 # DEPENDENCYPART_ARC
(13,7),-2.41164 # DEPENDENCYPART_ARC
(13,8),-0.259079 # DEPENDENCYPART_ARC
(13,9),-1.97748 # DEPENDENCYPART_ARC
(13,10),-0.579148 # DEPENDENCYPART_ARC
(13,11),-0.638802 # DEPENDENCYPART_ARC
(13,12),3.28042 # DEPENDENCYPART_ARC
(13,14),2.61125 # DEPENDENCYPART_ARC
(14,1),-2.21891 # DEPENDENCYPART_ARC
(14,2),-2.94627 # DEPENDENCYPART_ARC
(14,3),-2.23394 # DEPENDENCYPART_ARC
(14,4),-2.5845 # DEPENDENCYPART_ARC
(14,5),-2.12653 # DEPENDENCYPART_ARC
(14,6),-2.67858 # DEPENDENCYPART_ARC
(14,7),-2.17769 # DEPENDENCYPART_ARC
(14,8),-2.27416 # DEPENDENCYPART_ARC
(14,9),-2.09398 # DEPENDENCYPART_ARC
(14,10),-2.61797 # DEPENDENCYPART_ARC
(14,11),-2.22772 # DEPENDENCYPART_ARC
(14,12),-0.785522 # DEPENDENCYPART_ARC
(14,13),-0.861767 # DEPENDENCYPART_ARC
