# _root_ Ma poi , visto che per l' uomo non c' era più nulla da fare , è stato dato il contrordine .
#goldHeads=19,1,2,19,4,11,8,6,11,11,5,11,11,13,14,15,19,19,0,21,19,21,
#predictedHeads=4,4,2,0,4,11,8,6,11,11,5,11,11,11,14,15,18,19,11,21,19,21,
(20,17),-2.54412 # DEPENDENCYPART_ARC
(20,18),-2.13696 # DEPENDENCYPART_ARC
(20,19),-1.19314 # DEPENDENCYPART_ARC
(20,21),0.806907 # DEPENDENCYPART_ARC
(20,22),-0.640521 # DEPENDENCYPART_ARC
(21,1),-2.6903 # DEPENDENCYPART_ARC
(21,2),-1.19789 # DEPENDENCYPART_ARC
(21,3),-3.05842 # DEPENDENCYPART_ARC
(21,4),-0.966638 # DEPENDENCYPART_ARC
(21,5),-1.87953 # DEPENDENCYPART_ARC
(21,6),-0.938951 # DEPENDENCYPART_ARC
(21,7),-1.57066 # DEPENDENCYPART_ARC
(21,8),-1.90069 # DEPENDENCYPART_ARC
(21,9),-1.31737 # DEPENDENCYPART_ARC
(21,10),-1.18412 # DEPENDENCYPART_ARC
(21,11),-2.28471 # DEPENDENCYPART_ARC
(21,12),-0.620274 # DEPENDENCYPART_ARC
(21,13),-0.999772 # DEPENDENCYPART_ARC
(21,14),-1.10429 # DEPENDENCYPART_ARC
(21,15),-1.90543 # DEPENDENCYPART_ARC
(21,16),-2.21835 # DEPENDENCYPART_ARC
(21,17),-1.38133 # DEPENDENCYPART_ARC
(21,18),-0.642143 # DEPENDENCYPART_ARC
(21,19),0.180761 # DEPENDENCYPART_ARC
(21,20),3.29554 # DEPENDENCYPART_ARC
(21,22),2.62792 # DEPENDENCYPART_ARC
(22,1),-2.45202 # DEPENDENCYPART_ARC
(22,2),-2.67859 # DEPENDENCYPART_ARC
(22,3),-2.45565 # DEPENDENCYPART_ARC
(22,4),-3.08217 # DEPENDENCYPART_ARC
(22,5),-2.28364 # DEPENDENCYPART_ARC
(22,6),-2.29999 # DEPENDENCYPART_ARC
(22,7),-2.34778 # DEPENDENCYPART_ARC
(22,8),-2.86858 # DEPENDENCYPART_ARC
(22,9),-2.48592 # DEPENDENCYPART_ARC
(22,10),-2.51163 # DEPENDENCYPART_ARC
(22,11),-3.10991 # DEPENDENCYPART_ARC
(22,12),-2.47848 # DEPENDENCYPART_ARC
(22,13),-2.37812 # DEPENDENCYPART_ARC
(22,14),-2.13456 # DEPENDENCYPART_ARC
(22,15),-2.916 # DEPENDENCYPART_ARC
(22,16),-2.26039 # DEPENDENCYPART_ARC
(22,17),-2.71806 # DEPENDENCYPART_ARC
(22,18),-2.63057 # DEPENDENCYPART_ARC
(22,19),-2.22772 # DEPENDENCYPART_ARC
(22,20),-0.717696 # DEPENDENCYPART_ARC
(22,21),-0.861767 # DEPENDENCYPART_ARC
