# _root_ Inoltre , c' erano altre proprietà , come le ville a Livorno e Ponte a Moriano .
#goldHeads=4,1,4,0,6,4,6,6,10,8,10,11,12,12,14,15,16,
#predictedHeads=4,1,4,0,6,4,6,6,10,8,10,11,12,12,14,15,16,
(1,17),-1.44736 # DEPENDENCYPART_ARC
(2,1),-0.60036 # DEPENDENCYPART_ARC
(2,3),-0.840454 # DEPENDENCYPART_ARC
(2,4),-1.16643 # DEPENDENCYPART_ARC
(2,5),-1.57471 # DEPENDENCYPART_ARC
(2,6),-1.93607 # DEPENDENCYPART_ARC
(2,7),-1.01775 # DEPENDENCYPART_ARC
(2,8),-2.21954 # DEPENDENCYPART_ARC
(2,9),-2.07413 # DEPENDENCYPART_ARC
(2,10),-2.24691 # DEPENDENCYPART_ARC
(2,11),-2.32293 # DEPENDENCYPART_ARC
(2,12),-2.25114 # DEPENDENCYPART_ARC
(2,13),-2.02419 # DEPENDENCYPART_ARC
(2,14),-2.3258 # DEPENDENCYPART_ARC
(2,15),-2.3573 # DEPENDENCYPART_ARC
(2,16),-2.32292 # DEPENDENCYPART_ARC
(2,17),-1.4634 # DEPENDENCYPART_ARC
(3,1),-0.66632 # DEPENDENCYPART_ARC
(3,2),0.276197 # DEPENDENCYPART_ARC
(3,4),0.390186 # DEPENDENCYPART_ARC
(3,5),-0.855446 # DEPENDENCYPART_ARC
(3,6),-1.08548 # DEPENDENCYPART_ARC
(3,7),-0.534022 # DEPENDENCYPART_ARC
(3,8),-1.32759 # DEPENDENCYPART_ARC
(3,9),-1.14575 # DEPENDENCYPART_ARC
(3,10),-1.84503 # DEPENDENCYPART_ARC
(3,11),-1.74846 # DEPENDENCYPART_ARC
(3,12),-1.90039 # DEPENDENCYPART_ARC
(3,13),-1.20002 # DEPENDENCYPART_ARC
(3,14),-2.01674 # DEPENDENCYPART_ARC
(3,15),-2.1786 # DEPENDENCYPART_ARC
(3,16),-2.322 # DEPENDENCYPART_ARC
(3,17),-2.0163 # DEPENDENCYPART_ARC
(4,1),1.1456 # DEPENDENCYPART_ARC
(4,2),-0.593896 # DEPENDENCYPART_ARC
(4,3),2.58261 # DEPENDENCYPART_ARC
(4,5),1.9193 # DEPENDENCYPART_ARC
(4,6),2.206 # DEPENDENCYPART_ARC
(4,7),0.478706 # DEPENDENCYPART_ARC
(4,8),0.393462 # DEPENDENCYPART_ARC
(4,9),-1.06836 # DEPENDENCYPART_ARC
(4,10),1.03214 # DEPENDENCYPART_ARC
(4,11),1.05128 # DEPENDENCYPART_ARC
(4,12),-0.749215 # DEPENDENCYPART_ARC
(4,13),0.367273 # DEPENDENCYPART_ARC
(4,14),-1.27966 # DEPENDENCYPART_ARC
(4,15),-0.649279 # DEPENDENCYPART_ARC
(4,16),-1.24233 # DEPENDENCYPART_ARC
(4,17),-1.73124 # DEPENDENCYPART_ARC
(5,1),-0.758282 # DEPENDENCYPART_ARC
(5,2),-0.663368 # DEPENDENCYPART_ARC
(5,3),-0.156381 # DEPENDENCYPART_ARC
(5,4),-0.26977 # DEPENDENCYPART_ARC
(5,6),0.882409 # DEPENDENCYPART_ARC
(5,7),0.141068 # DEPENDENCYPART_ARC
(5,8),-0.0519044 # DEPENDENCYPART_ARC
(5,9),-0.270137 # DEPENDENCYPART_ARC
(5,10),-0.666343 # DEPENDENCYPART_ARC
(5,11),-0.252109 # DEPENDENCYPART_ARC
(5,12),-0.545929 # DEPENDENCYPART_ARC
(5,13),-0.289652 # DEPENDENCYPART_ARC
(5,14),-0.590208 # DEPENDENCYPART_ARC
(5,15),-0.58898 # DEPENDENCYPART_ARC
(5,16),-0.563047 # DEPENDENCYPART_ARC
(5,17),-0.486621 # DEPENDENCYPART_ARC
(6,1),0.0486327 # DEPENDENCYPART_ARC
(6,2),-1.55142 # DEPENDENCYPART_ARC
(6,3),0.594533 # DEPENDENCYPART_ARC
(6,4),-0.163169 # DEPENDENCYPART_ARC
(6,5),3.97453 # DEPENDENCYPART_ARC
(6,7),2.32611 # DEPENDENCYPART_ARC
(6,8),0.909888 # DEPENDENCYPART_ARC
(6,9),0.328761 # DEPENDENCYPART_ARC
(6,10),0.471409 # DEPENDENCYPART_ARC
(6,11),0.164028 # DEPENDENCYPART_ARC
(6,12),0.315957 # DEPENDENCYPART_ARC
(6,13),0.971734 # DEPENDENCYPART_ARC
(6,14),0.431507 # DEPENDENCYPART_ARC
(6,15),0.357156 # DEPENDENCYPART_ARC
(6,16),0.479812 # DEPENDENCYPART_ARC
(6,17),-1.3024 # DEPENDENCYPART_ARC
(7,1),-2.36812 # DEPENDENCYPART_ARC
(7,2),-2.20765 # DEPENDENCYPART_ARC
(7,3),-2.05297 # DEPENDENCYPART_ARC
(7,4),-2.29194 # DEPENDENCYPART_ARC
(7,5),-1.15739 # DEPENDENCYPART_ARC
(7,6),-0.900158 # DEPENDENCYPART_ARC
(7,8),-1.00153 # DEPENDENCYPART_ARC
(7,9),-1.43418 # DEPENDENCYPART_ARC
(7,10),-1.6343 # DEPENDENCYPART_ARC
(7,11),-1.93378 # DEPENDENCYPART_ARC
(7,12),-1.87352 # DEPENDENCYPART_ARC
(7,13),-1.73576 # DEPENDENCYPART_ARC
(7,14),-2.03213 # DEPENDENCYPART_ARC
(7,15),-2.06717 # DEPENDENCYPART_ARC
(7,16),-2.13747 # DEPENDENCYPART_ARC
(7,17),-0.855959 # DEPENDENCYPART_ARC
(8,1),-1.36094 # DEPENDENCYPART_ARC
(8,2),-1.72649 # DEPENDENCYPART_ARC
(8,3),-1.00034 # DEPENDENCYPART_ARC
(8,4),-1.91623 # DEPENDENCYPART_ARC
(8,5),-0.764657 # DEPENDENCYPART_ARC
(8,6),-0.797073 # DEPENDENCYPART_ARC
(8,7),0.104863 # DEPENDENCYPART_ARC
(8,9),0.962718 # DEPENDENCYPART_ARC
(8,10),3.33431 # DEPENDENCYPART_ARC
(8,11),0.262501 # DEPENDENCYPART_ARC
(8,12),1.18475 # DEPENDENCYPART_ARC
(8,13),0.581822 # DEPENDENCYPART_ARC
(8,14),-0.455962 # DEPENDENCYPART_ARC
(8,15),-1.21184 # DEPENDENCYPART_ARC
(8,16),-1.76649 # DEPENDENCYPART_ARC
(8,17),-0.823627 # DEPENDENCYPART_ARC
(9,1),-2.49806 # DEPENDENCYPART_ARC
(9,2),-2.21797 # DEPENDENCYPART_ARC
(9,3),-2.40007 # DEPENDENCYPART_ARC
(9,4),-3.30391 # DEPENDENCYPART_ARC
(9,5),-1.89586 # DEPENDENCYPART_ARC
(9,6),-2.26309 # DEPENDENCYPART_ARC
(9,7),-1.15609 # DEPENDENCYPART_ARC
(9,8),-0.422436 # DEPENDENCYPART_ARC
(9,10),1.03984 # DEPENDENCYPART_ARC
(9,11),-0.316 # DEPENDENCYPART_ARC
(9,12),-0.69603 # DEPENDENCYPART_ARC
(9,13),-0.651462 # DEPENDENCYPART_ARC
(9,14),-0.982211 # DEPENDENCYPART_ARC
(9,15),-1.09919 # DEPENDENCYPART_ARC
(9,16),-1.05104 # DEPENDENCYPART_ARC
(9,17),-0.919106 # DEPENDENCYPART_ARC
(10,1),-1.15757 # DEPENDENCYPART_ARC
(10,2),-2.74779 # DEPENDENCYPART_ARC
(10,3),-0.740726 # DEPENDENCYPART_ARC
(10,4),-2.87521 # DEPENDENCYPART_ARC
(10,5),1.29013 # DEPENDENCYPART_ARC
(10,6),-1.1934 # DEPENDENCYPART_ARC
(10,7),-1.71994 # DEPENDENCYPART_ARC
(10,8),0.827676 # DEPENDENCYPART_ARC
(10,9),3.32861 # DEPENDENCYPART_ARC
(10,11),2.04905 # DEPENDENCYPART_ARC
(10,12),0.923606 # DEPENDENCYPART_ARC
(10,13),1.01865 # DEPENDENCYPART_ARC
(10,14),0.598933 # DEPENDENCYPART_ARC
(10,15),0.807328 # DEPENDENCYPART_ARC
(10,16),0.730859 # DEPENDENCYPART_ARC
(10,17),-1.0428 # DEPENDENCYPART_ARC
(11,1),-1.41562 # DEPENDENCYPART_ARC
(11,2),-1.86768 # DEPENDENCYPART_ARC
(11,3),-1.19824 # DEPENDENCYPART_ARC
(11,4),-2.17872 # DEPENDENCYPART_ARC
(11,5),-1.36406 # DEPENDENCYPART_ARC
(11,6),-1.57974 # DEPENDENCYPART_ARC
(11,7),-1.4304 # DEPENDENCYPART_ARC
(11,8),-0.471541 # DEPENDENCYPART_ARC
(11,9),-0.420121 # DEPENDENCYPART_ARC
(11,10),-0.292779 # DEPENDENCYPART_ARC
(11,12),4.14436 # DEPENDENCYPART_ARC
(11,13),0.8951 # DEPENDENCYPART_ARC
(11,14),0.0334405 # DEPENDENCYPART_ARC
(11,15),-0.644634 # DEPENDENCYPART_ARC
(11,16),-1.78818 # DEPENDENCYPART_ARC
(11,17),-1.26475 # DEPENDENCYPART_ARC
(12,1),-2.29842 # DEPENDENCYPART_ARC
(12,2),-3.40748 # DEPENDENCYPART_ARC
(12,3),-1.79651 # DEPENDENCYPART_ARC
(12,4),-3.42448 # DEPENDENCYPART_ARC
(12,5),-0.455397 # DEPENDENCYPART_ARC
(12,6),-2.20025 # DEPENDENCYPART_ARC
(12,7),-2.7691 # DEPENDENCYPART_ARC
(12,8),-0.819792 # DEPENDENCYPART_ARC
(12,9),0.368503 # DEPENDENCYPART_ARC
(12,10),-1.62108 # DEPENDENCYPART_ARC
(12,11),0.638886 # DEPENDENCYPART_ARC
(12,13),2.14841 # DEPENDENCYPART_ARC
(12,14),1.57513 # DEPENDENCYPART_ARC
(12,15),0.904188 # DEPENDENCYPART_ARC
(12,16),1.2206 # DEPENDENCYPART_ARC
(12,17),-0.864449 # DEPENDENCYPART_ARC
(13,1),-1.9129 # DEPENDENCYPART_ARC
(13,2),-2.18634 # DEPENDENCYPART_ARC
(13,3),-1.76949 # DEPENDENCYPART_ARC
(13,4),-2.59974 # DEPENDENCYPART_ARC
(13,5),-1.79271 # DEPENDENCYPART_ARC
(13,6),-2.49859 # DEPENDENCYPART_ARC
(13,7),-1.82368 # DEPENDENCYPART_ARC
(13,8),-1.49836 # DEPENDENCYPART_ARC
(13,9),-1.34866 # DEPENDENCYPART_ARC
(13,10),-1.7451 # DEPENDENCYPART_ARC
(13,11),-0.880887 # DEPENDENCYPART_ARC
(13,12),-0.533633 # DEPENDENCYPART_ARC
(13,14),0.333157 # DEPENDENCYPART_ARC
(13,15),-0.463026 # DEPENDENCYPART_ARC
(13,16),-0.79487 # DEPENDENCYPART_ARC
(13,17),-0.895624 # DEPENDENCYPART_ARC
(14,1),-2.80176 # DEPENDENCYPART_ARC
(14,2),-3.79362 # DEPENDENCYPART_ARC
(14,3),-2.62488 # DEPENDENCYPART_ARC
(14,4),-3.85386 # DEPENDENCYPART_ARC
(14,5),-1.05351 # DEPENDENCYPART_ARC
(14,6),-2.99014 # DEPENDENCYPART_ARC
(14,7),-3.33886 # DEPENDENCYPART_ARC
(14,8),-1.6771 # DEPENDENCYPART_ARC
(14,9),-0.863637 # DEPENDENCYPART_ARC
(14,10),-3.1742 # DEPENDENCYPART_ARC
(14,11),-1.15922 # DEPENDENCYPART_ARC
(14,12),-0.0587242 # DEPENDENCYPART_ARC
(14,13),-0.212897 # DEPENDENCYPART_ARC
(14,15),1.74891 # DEPENDENCYPART_ARC
(14,16),1.64484 # DEPENDENCYPART_ARC
(14,17),-0.221965 # DEPENDENCYPART_ARC
(15,1),-1.93972 # DEPENDENCYPART_ARC
(15,2),-2.66099 # DEPENDENCYPART_ARC
(15,3),-1.47091 # DEPENDENCYPART_ARC
(15,4),-2.71292 # DEPENDENCYPART_ARC
(15,5),0.0370612 # DEPENDENCYPART_ARC
(15,6),-1.84505 # DEPENDENCYPART_ARC
(15,7),-2.33911 # DEPENDENCYPART_ARC
(15,8),-0.566104 # DEPENDENCYPART_ARC
(15,9),-0.564487 # DEPENDENCYPART_ARC
(15,10),-2.25241 # DEPENDENCYPART_ARC
(15,11),-0.442486 # DEPENDENCYPART_ARC
(15,12),0.82472 # DEPENDENCYPART_ARC
(15,13),0.0306795 # DEPENDENCYPART_ARC
(15,14),2.33117 # DEPENDENCYPART_ARC
(15,16),3.40347 # DEPENDENCYPART_ARC
(15,17),0.0642122 # DEPENDENCYPART_ARC
(16,1),-1.70311 # DEPENDENCYPART_ARC
(16,2),-2.93668 # DEPENDENCYPART_ARC
(16,3),-1.37062 # DEPENDENCYPART_ARC
(16,4),-2.71561 # DEPENDENCYPART_ARC
(16,5),-0.238976 # DEPENDENCYPART_ARC
(16,6),-1.85603 # DEPENDENCYPART_ARC
(16,7),-2.54329 # DEPENDENCYPART_ARC
(16,8),-0.845302 # DEPENDENCYPART_ARC
(16,9),-1.09056 # DEPENDENCYPART_ARC
(16,10),-2.38467 # DEPENDENCYPART_ARC
(16,11),-0.607371 # DEPENDENCYPART_ARC
(16,12),0.661049 # DEPENDENCYPART_ARC
(16,13),-0.48157 # DEPENDENCYPART_ARC
(16,14),2.03263 # DEPENDENCYPART_ARC
(16,15),2.58015 # DEPENDENCYPART_ARC
(16,17),2.61971 # DEPENDENCYPART_ARC
(17,1),-2.30021 # DEPENDENCYPART_ARC
(17,2),-2.15499 # DEPENDENCYPART_ARC
(17,3),-2.28042 # DEPENDENCYPART_ARC
(17,4),-2.5555 # DEPENDENCYPART_ARC
(17,5),-1.85819 # DEPENDENCYPART_ARC
(17,6),-2.43148 # DEPENDENCYPART_ARC
(17,7),-1.90917 # DEPENDENCYPART_ARC
(17,8),-1.65128 # DEPENDENCYPART_ARC
(17,9),-1.71571 # DEPENDENCYPART_ARC
(17,10),-2.14005 # DEPENDENCYPART_ARC
(17,11),-1.52467 # DEPENDENCYPART_ARC
(17,12),-1.97342 # DEPENDENCYPART_ARC
(17,13),-1.51996 # DEPENDENCYPART_ARC
(17,14),-1.51461 # DEPENDENCYPART_ARC
(17,15),-1.34419 # DEPENDENCYPART_ARC
(17,16),-0.490899 # DEPENDENCYPART_ARC
