# _root_ Il film non era certo un granché , ma ricordo che insistetti con Guglielmi perché RaiTre lo producesse , cosa che poi non avvenne .
#goldHeads=2,4,4,0,4,7,4,4,4,4,10,11,12,13,12,18,18,15,18,18,24,24,24,20,24,
#predictedHeads=2,4,4,0,4,7,4,7,4,4,10,11,12,13,14,18,18,15,18,18,24,24,24,20,24,
(14,12),-1.26167 # DEPENDENCYPART_ARC
(14,13),0.841762 # DEPENDENCYPART_ARC
(14,15),1.26683 # DEPENDENCYPART_ARC
(14,16),1.41181 # DEPENDENCYPART_ARC
(14,18),-0.662657 # DEPENDENCYPART_ARC
(14,19),-0.63771 # DEPENDENCYPART_ARC
(14,20),-0.47616 # DEPENDENCYPART_ARC
(14,22),-1.44145 # DEPENDENCYPART_ARC
(14,23),-1.59277 # DEPENDENCYPART_ARC
(14,24),-0.80747 # DEPENDENCYPART_ARC
(14,25),-1.99709 # DEPENDENCYPART_ARC
(15,2),-2.5914 # DEPENDENCYPART_ARC
(15,3),-1.87596 # DEPENDENCYPART_ARC
(15,4),-2.798 # DEPENDENCYPART_ARC
(15,5),-1.77299 # DEPENDENCYPART_ARC
(15,8),-1.76537 # DEPENDENCYPART_ARC
(15,9),-1.52377 # DEPENDENCYPART_ARC
(15,10),-2.4986 # DEPENDENCYPART_ARC
(15,11),-1.46274 # DEPENDENCYPART_ARC
(15,12),-1.93959 # DEPENDENCYPART_ARC
(15,13),-0.89051 # DEPENDENCYPART_ARC
(15,14),-0.462904 # DEPENDENCYPART_ARC
(15,16),1.19472 # DEPENDENCYPART_ARC
(15,17),0.021118 # DEPENDENCYPART_ARC
(15,18),2.13648 # DEPENDENCYPART_ARC
(15,19),0.570387 # DEPENDENCYPART_ARC
(15,20),-0.572941 # DEPENDENCYPART_ARC
(15,21),-0.389154 # DEPENDENCYPART_ARC
(15,22),-1.05702 # DEPENDENCYPART_ARC
(15,23),-0.974015 # DEPENDENCYPART_ARC
(15,24),0.925634 # DEPENDENCYPART_ARC
(15,25),-0.186662 # DEPENDENCYPART_ARC
(16,1),-3.44248 # DEPENDENCYPART_ARC
(16,2),-2.77343 # DEPENDENCYPART_ARC
(16,3),-2.64644 # DEPENDENCYPART_ARC
(16,4),-3.88125 # DEPENDENCYPART_ARC
(16,5),-2.55561 # DEPENDENCYPART_ARC
(16,6),-2.46888 # DEPENDENCYPART_ARC
(16,7),-1.56933 # DEPENDENCYPART_ARC
(16,8),-3.1637 # DEPENDENCYPART_ARC
(16,9),-2.25276 # DEPENDENCYPART_ARC
(16,10),-3.17712 # DEPENDENCYPART_ARC
(16,11),-1.62944 # DEPENDENCYPART_ARC
(16,12),-2.60929 # DEPENDENCYPART_ARC
(16,13),-0.499226 # DEPENDENCYPART_ARC
(16,14),0.454857 # DEPENDENCYPART_ARC
(16,15),0.196104 # DEPENDENCYPART_ARC
(16,18),0.0551092 # DEPENDENCYPART_ARC
(16,19),-0.238444 # DEPENDENCYPART_ARC
(16,20),-0.652166 # DEPENDENCYPART_ARC
(16,22),-1.51072 # DEPENDENCYPART_ARC
(16,23),-1.67883 # DEPENDENCYPART_ARC
(16,24),-0.307043 # DEPENDENCYPART_ARC
(16,25),-1.52805 # DEPENDENCYPART_ARC
(17,1),-0.786771 # DEPENDENCYPART_ARC
(17,2),-1.86348 # DEPENDENCYPART_ARC
(17,3),-1.6795 # DEPENDENCYPART_ARC
(17,4),-2.62352 # DEPENDENCYPART_ARC
(17,5),-1.31818 # DEPENDENCYPART_ARC
(17,7),-1.085 # DEPENDENCYPART_ARC
(17,8),-1.32293 # DEPENDENCYPART_ARC
(17,9),-1.06804 # DEPENDENCYPART_ARC
(17,10),-2.57793 # DEPENDENCYPART_ARC
(17,11),-0.844044 # DEPENDENCYPART_ARC
(17,12),-2.48236 # DEPENDENCYPART_ARC
(17,13),-0.688869 # DEPENDENCYPART_ARC
(17,15),-0.0911013 # DEPENDENCYPART_ARC
(17,18),0.831328 # DEPENDENCYPART_ARC
(17,19),-0.123714 # DEPENDENCYPART_ARC
(17,20),-0.455473 # DEPENDENCYPART_ARC
(17,21),-2.17675 # DEPENDENCYPART_ARC
(17,22),-1.41253 # DEPENDENCYPART_ARC
(17,23),-1.51558 # DEPENDENCYPART_ARC
(17,24),-1.14766 # DEPENDENCYPART_ARC
(17,25),-0.97596 # DEPENDENCYPART_ARC
(18,1),-1.62944 # DEPENDENCYPART_ARC
(18,2),-0.239135 # DEPENDENCYPART_ARC
(18,3),-0.623846 # DEPENDENCYPART_ARC
(18,4),-4.58232 # DEPENDENCYPART_ARC
(18,5),-1.01215 # DEPENDENCYPART_ARC
(18,6),-0.936784 # DEPENDENCYPART_ARC
(18,7),-0.345984 # DEPENDENCYPART_ARC
(18,8),-2.04195 # DEPENDENCYPART_ARC
(18,9),-0.602982 # DEPENDENCYPART_ARC
(18,10),-2.56048 # DEPENDENCYPART_ARC
(18,11),-0.230361 # DEPENDENCYPART_ARC
(18,12),-1.87903 # DEPENDENCYPART_ARC
(18,13),-0.12547 # DEPENDENCYPART_ARC
(18,14),0.758686 # DEPENDENCYPART_ARC
(18,15),0.33601 # DEPENDENCYPART_ARC
(18,16),1.60243 # DEPENDENCYPART_ARC
(18,17),2.93518 # DEPENDENCYPART_ARC
(18,19),1.41373 # DEPENDENCYPART_ARC
(18,20),1.45484 # DEPENDENCYPART_ARC
(18,21),-0.512126 # DEPENDENCYPART_ARC
(18,22),-0.138847 # DEPENDENCYPART_ARC
(18,23),-0.504837 # DEPENDENCYPART_ARC
(18,24),0.145229 # DEPENDENCYPART_ARC
(18,25),-0.409646 # DEPENDENCYPART_ARC
(19,1),-1.95568 # DEPENDENCYPART_ARC
(19,6),-1.9152 # DEPENDENCYPART_ARC
(19,8),-2.18061 # DEPENDENCYPART_ARC
(19,25),-1.05248 # DEPENDENCYPART_ARC
(20,1),-3.10745 # DEPENDENCYPART_ARC
(20,2),-3.36737 # DEPENDENCYPART_ARC
(20,3),-2.39846 # DEPENDENCYPART_ARC
(20,4),-2.66492 # DEPENDENCYPART_ARC
(20,5),-2.31508 # DEPENDENCYPART_ARC
(20,6),-2.45131 # DEPENDENCYPART_ARC
(20,7),-1.41592 # DEPENDENCYPART_ARC
(20,8),-2.72432 # DEPENDENCYPART_ARC
(20,9),-1.88281 # DEPENDENCYPART_ARC
(20,10),-2.15873 # DEPENDENCYPART_ARC
(20,11),-1.33589 # DEPENDENCYPART_ARC
(20,12),-2.06179 # DEPENDENCYPART_ARC
(20,13),-1.25534 # DEPENDENCYPART_ARC
(20,14),-2.39093 # DEPENDENCYPART_ARC
(20,15),-1.04073 # DEPENDENCYPART_ARC
(20,16),-1.96926 # DEPENDENCYPART_ARC
(20,17),-0.714679 # DEPENDENCYPART_ARC
(20,18),-0.574568 # DEPENDENCYPART_ARC
(20,19),0.332585 # DEPENDENCYPART_ARC
(20,21),-0.00256034 # DEPENDENCYPART_ARC
(20,22),0.439272 # DEPENDENCYPART_ARC
(20,23),0.12393 # DEPENDENCYPART_ARC
(20,24),1.61279 # DEPENDENCYPART_ARC
(20,25),0.107108 # DEPENDENCYPART_ARC
(21,1),-1.44966 # DEPENDENCYPART_ARC
(21,2),-2.38314 # DEPENDENCYPART_ARC
(21,3),-2.02219 # DEPENDENCYPART_ARC
(21,4),-3.43785 # DEPENDENCYPART_ARC
(21,5),-1.92576 # DEPENDENCYPART_ARC
(21,8),-1.72395 # DEPENDENCYPART_ARC
(21,9),-1.49617 # DEPENDENCYPART_ARC
(21,10),-3.18134 # DEPENDENCYPART_ARC
(21,11),-1.29154 # DEPENDENCYPART_ARC
(21,12),-2.99412 # DEPENDENCYPART_ARC
(21,13),-1.68734 # DEPENDENCYPART_ARC
(21,15),-1.22 # DEPENDENCYPART_ARC
(21,18),-2.31379 # DEPENDENCYPART_ARC
(21,19),-0.458272 # DEPENDENCYPART_ARC
(21,20),-0.941069 # DEPENDENCYPART_ARC
(21,22),0.118546 # DEPENDENCYPART_ARC
(21,23),-0.641822 # DEPENDENCYPART_ARC
(21,24),-0.257018 # DEPENDENCYPART_ARC
(21,25),-0.53119 # DEPENDENCYPART_ARC
(22,1),-2.76235 # DEPENDENCYPART_ARC
(22,2),-3.77964 # DEPENDENCYPART_ARC
(22,3),-2.5726 # DEPENDENCYPART_ARC
(22,4),-3.91823 # DEPENDENCYPART_ARC
(22,5),-2.89256 # DEPENDENCYPART_ARC
(22,6),-2.74168 # DEPENDENCYPART_ARC
(22,7),-3.14767 # DEPENDENCYPART_ARC
(22,8),-3.16076 # DEPENDENCYPART_ARC
(22,9),-2.62645 # DEPENDENCYPART_ARC
(22,10),-3.66862 # DEPENDENCYPART_ARC
(22,11),-2.72633 # DEPENDENCYPART_ARC
(22,12),-3.71533 # DEPENDENCYPART_ARC
(22,13),-2.49584 # DEPENDENCYPART_ARC
(22,14),-3.37665 # DEPENDENCYPART_ARC
(22,15),-2.52144 # DEPENDENCYPART_ARC
(22,16),-3.26183 # DEPENDENCYPART_ARC
(22,18),-3.23939 # DEPENDENCYPART_ARC
(22,19),-2.0707 # DEPENDENCYPART_ARC
(22,20),-2.30124 # DEPENDENCYPART_ARC
(22,23),0.549869 # DEPENDENCYPART_ARC
(22,24),0.345598 # DEPENDENCYPART_ARC
(22,25),-0.284368 # DEPENDENCYPART_ARC
(23,1),-1.99782 # DEPENDENCYPART_ARC
(23,2),-3.00047 # DEPENDENCYPART_ARC
(23,3),-1.91 # DEPENDENCYPART_ARC
(23,4),-3.04512 # DEPENDENCYPART_ARC
(23,5),-2.10171 # DEPENDENCYPART_ARC
(23,6),-1.88339 # DEPENDENCYPART_ARC
(23,7),-2.35147 # DEPENDENCYPART_ARC
(23,8),-2.31916 # DEPENDENCYPART_ARC
(23,9),-1.71328 # DEPENDENCYPART_ARC
(23,10),-2.85277 # DEPENDENCYPART_ARC
(23,11),-1.70166 # DEPENDENCYPART_ARC
(23,12),-2.9659 # DEPENDENCYPART_ARC
(23,13),-1.75245 # DEPENDENCYPART_ARC
(23,14),-2.55912 # DEPENDENCYPART_ARC
(23,15),-1.65981 # DEPENDENCYPART_ARC
(23,16),-2.45893 # DEPENDENCYPART_ARC
(23,18),-2.55664 # DEPENDENCYPART_ARC
(23,19),-1.57971 # DEPENDENCYPART_ARC
(23,20),-1.70921 # DEPENDENCYPART_ARC
(23,22),0.312886 # DEPENDENCYPART_ARC
(23,24),0.107829 # DEPENDENCYPART_ARC
(23,25),-0.66363 # DEPENDENCYPART_ARC
(24,1),-1.40798 # DEPENDENCYPART_ARC
(24,2),-1.10124 # DEPENDENCYPART_ARC
(24,3),-0.624509 # DEPENDENCYPART_ARC
(24,4),-2.08804 # DEPENDENCYPART_ARC
(24,5),-0.943317 # DEPENDENCYPART_ARC
(24,6),-0.577391 # DEPENDENCYPART_ARC
(24,7),-0.0618705 # DEPENDENCYPART_ARC
(24,8),-2.23108 # DEPENDENCYPART_ARC
(24,9),-1.13621 # DEPENDENCYPART_ARC
(24,10),-0.801563 # DEPENDENCYPART_ARC
(24,11),-0.536926 # DEPENDENCYPART_ARC
(24,12),-0.622192 # DEPENDENCYPART_ARC
(24,13),-0.592009 # DEPENDENCYPART_ARC
(24,14),0.631534 # DEPENDENCYPART_ARC
(24,15),0.117815 # DEPENDENCYPART_ARC
(24,16),1.31416 # DEPENDENCYPART_ARC
(24,17),1.42334 # DEPENDENCYPART_ARC
(24,18),-0.0591461 # DEPENDENCYPART_ARC
(24,19),-1.21991 # DEPENDENCYPART_ARC
(24,20),1.42525 # DEPENDENCYPART_ARC
(24,21),3.14904 # DEPENDENCYPART_ARC
(24,22),1.7822 # DEPENDENCYPART_ARC
(24,23),3.38362 # DEPENDENCYPART_ARC
(24,25),2.60731 # DEPENDENCYPART_ARC
(25,1),-1.96463 # DEPENDENCYPART_ARC
(25,6),-1.93784 # DEPENDENCYPART_ARC
(25,8),-2.15097 # DEPENDENCYPART_ARC
(25,19),-1.83095 # DEPENDENCYPART_ARC
