# _root_ Senza mai l' ausilio di fotografie , attraverso un contatto diretto con la realtà , Podrecea si è prefisso di sfatare i luoghi comuni sul Biedermeier .
#goldHeads=19,1,4,1,4,5,6,19,10,8,10,10,14,12,14,19,19,19,0,19,20,23,21,23,23,25,26,
#predictedHeads=4,1,4,0,4,5,6,4,10,8,10,10,14,12,14,19,19,19,10,19,20,23,21,23,23,25,26,
(4,11),1.0398 # DEPENDENCYPART_ARC
(4,12),0.92302 # DEPENDENCYPART_ARC
(4,13),-0.209877 # DEPENDENCYPART_ARC
(4,14),0.130532 # DEPENDENCYPART_ARC
(4,15),0.603288 # DEPENDENCYPART_ARC
(4,16),0.303531 # DEPENDENCYPART_ARC
(4,17),-1.50073 # DEPENDENCYPART_ARC
(4,18),1.48603 # DEPENDENCYPART_ARC
(4,19),0.470558 # DEPENDENCYPART_ARC
(4,20),-1.38906 # DEPENDENCYPART_ARC
(4,21),-0.69101 # DEPENDENCYPART_ARC
(4,22),-0.968602 # DEPENDENCYPART_ARC
(4,23),-1.47004 # DEPENDENCYPART_ARC
(4,24),-1.72701 # DEPENDENCYPART_ARC
(4,25),-1.66537 # DEPENDENCYPART_ARC
(4,26),-1.53001 # DEPENDENCYPART_ARC
(4,27),-3.84515 # DEPENDENCYPART_ARC
(5,1),-1.04091 # DEPENDENCYPART_ARC
(5,2),-0.599074 # DEPENDENCYPART_ARC
(5,3),-0.484855 # DEPENDENCYPART_ARC
(5,4),-0.293994 # DEPENDENCYPART_ARC
(5,6),4.45331 # DEPENDENCYPART_ARC
(5,7),0.771864 # DEPENDENCYPART_ARC
(5,8),-0.401745 # DEPENDENCYPART_ARC
(5,9),-1.22571 # DEPENDENCYPART_ARC
(5,10),-0.669426 # DEPENDENCYPART_ARC
(5,11),-0.436491 # DEPENDENCYPART_ARC
(5,12),-1.11159 # DEPENDENCYPART_ARC
(5,13),-1.22828 # DEPENDENCYPART_ARC
(5,14),-2.16227 # DEPENDENCYPART_ARC
(5,15),-0.238352 # DEPENDENCYPART_ARC
(5,16),-3.09462 # DEPENDENCYPART_ARC
(5,17),-1.96179 # DEPENDENCYPART_ARC
(5,18),-2.63841 # DEPENDENCYPART_ARC
(5,19),-2.3201 # DEPENDENCYPART_ARC
(5,20),-1.45057 # DEPENDENCYPART_ARC
(5,21),-2.75219 # DEPENDENCYPART_ARC
(5,22),-1.85343 # DEPENDENCYPART_ARC
(5,23),-6.74442 # DEPENDENCYPART_ARC
(5,24),-1.64793 # DEPENDENCYPART_ARC
(5,25),-3.35405 # DEPENDENCYPART_ARC
(5,26),-6.94391 # DEPENDENCYPART_ARC
(5,27),-2.70531 # DEPENDENCYPART_ARC
(6,1),-0.920589 # DEPENDENCYPART_ARC
(6,2),-0.689214 # DEPENDENCYPART_ARC
(6,3),-0.413255 # DEPENDENCYPART_ARC
(6,4),-1.57872 # DEPENDENCYPART_ARC
(6,5),0.720444 # DEPENDENCYPART_ARC
(6,7),2.0381 # DEPENDENCYPART_ARC
(6,8),-0.0354226 # DEPENDENCYPART_ARC
(6,9),-0.859454 # DEPENDENCYPART_ARC
(6,10),-0.45401 # DEPENDENCYPART_ARC
(6,11),-1.36255 # DEPENDENCYPART_ARC
(6,12),-0.0186279 # DEPENDENCYPART_ARC
(6,13),-0.543148 # DEPENDENCYPART_ARC
(6,14),-0.484259 # DEPENDENCYPART_ARC
(6,15),0.585979 # DEPENDENCYPART_ARC
(6,16),-0.759216 # DEPENDENCYPART_ARC
(6,17),-1.95599 # DEPENDENCYPART_ARC
(6,18),-0.37865 # DEPENDENCYPART_ARC
(6,19),-1.3677 # DEPENDENCYPART_ARC
(6,20),-2.10684 # DEPENDENCYPART_ARC
(6,21),-1.4754 # DEPENDENCYPART_ARC
(6,22),-1.24047 # DEPENDENCYPART_ARC
(6,23),-2.01497 # DEPENDENCYPART_ARC
(6,24),-1.72637 # DEPENDENCYPART_ARC
(6,25),-2.02134 # DEPENDENCYPART_ARC
(6,26),-2.39753 # DEPENDENCYPART_ARC
(6,27),-3.65522 # DEPENDENCYPART_ARC
(7,1),-1.82615 # DEPENDENCYPART_ARC
(7,2),-2.01601 # DEPENDENCYPART_ARC
(7,3),-1.56149 # DEPENDENCYPART_ARC
(7,4),-1.84843 # DEPENDENCYPART_ARC
(7,5),-1.08119 # DEPENDENCYPART_ARC
(7,6),-0.811487 # DEPENDENCYPART_ARC
(7,8),-1.15226 # DEPENDENCYPART_ARC
(7,9),-1.59397 # DEPENDENCYPART_ARC
(7,10),-1.78157 # DEPENDENCYPART_ARC
(7,11),-1.98273 # DEPENDENCYPART_ARC
(7,12),-2.15727 # DEPENDENCYPART_ARC
(7,13),-1.97777 # DEPENDENCYPART_ARC
(7,14),-2.23753 # DEPENDENCYPART_ARC
(7,15),-1.02834 # DEPENDENCYPART_ARC
(7,16),-2.33016 # DEPENDENCYPART_ARC
(7,17),-2.23267 # DEPENDENCYPART_ARC
(7,18),-2.09647 # DEPENDENCYPART_ARC
(7,19),-2.32875 # DEPENDENCYPART_ARC
(7,20),-2.72141 # DEPENDENCYPART_ARC
(7,21),-2.39839 # DEPENDENCYPART_ARC
(7,22),-2.63396 # DEPENDENCYPART_ARC
(7,23),-2.74191 # DEPENDENCYPART_ARC
(7,24),-2.89776 # DEPENDENCYPART_ARC
(7,25),-2.90561 # DEPENDENCYPART_ARC
(7,26),-2.94323 # DEPENDENCYPART_ARC
(7,27),-2.05564 # DEPENDENCYPART_ARC
(8,1),-1.37474 # DEPENDENCYPART_ARC
(8,2),-1.26093 # DEPENDENCYPART_ARC
(8,3),-1.40391 # DEPENDENCYPART_ARC
(8,4),-1.54488 # DEPENDENCYPART_ARC
(8,5),-0.633481 # DEPENDENCYPART_ARC
(8,6),-0.971077 # DEPENDENCYPART_ARC
(8,7),0.0134423 # DEPENDENCYPART_ARC
(8,9),0.689461 # DEPENDENCYPART_ARC
(8,10),3.2895 # DEPENDENCYPART_ARC
(8,11),0.637038 # DEPENDENCYPART_ARC
(8,12),0.0668092 # DEPENDENCYPART_ARC
(8,13),-0.662792 # DEPENDENCYPART_ARC
(8,14),0.215845 # DEPENDENCYPART_ARC
(8,15),0.213934 # DEPENDENCYPART_ARC
(8,16),-0.931225 # DEPENDENCYPART_ARC
(8,17),-0.195339 # DEPENDENCYPART_ARC
(8,18),-1.07729 # DEPENDENCYPART_ARC
(8,19),-1.36977 # DEPENDENCYPART_ARC
(8,20),-1.21984 # DEPENDENCYPART_ARC
(8,21),-1.66086 # DEPENDENCYPART_ARC
(8,22),-1.24013 # DEPENDENCYPART_ARC
(8,23),-3.84961 # DEPENDENCYPART_ARC
(8,24),-0.783032 # DEPENDENCYPART_ARC
(8,25),-2.15921 # DEPENDENCYPART_ARC
(8,26),-4.80941 # DEPENDENCYPART_ARC
(8,27),-1.70463 # DEPENDENCYPART_ARC
(9,1),-2.58053 # DEPENDENCYPART_ARC
(9,2),-2.63678 # DEPENDENCYPART_ARC
(9,3),-2.11756 # DEPENDENCYPART_ARC
(9,4),-2.74873 # DEPENDENCYPART_ARC
(9,5),-2.16332 # DEPENDENCYPART_ARC
(9,6),-2.73074 # DEPENDENCYPART_ARC
(9,7),-1.40935 # DEPENDENCYPART_ARC
(9,8),-0.62754 # DEPENDENCYPART_ARC
(9,10),1.10796 # DEPENDENCYPART_ARC
(9,11),-0.700993 # DEPENDENCYPART_ARC
(9,12),-0.060038 # DEPENDENCYPART_ARC
(9,13),-1.19625 # DEPENDENCYPART_ARC
(9,14),-0.000253015 # DEPENDENCYPART_ARC
(9,15),-0.207884 # DEPENDENCYPART_ARC
(9,16),-0.328304 # DEPENDENCYPART_ARC
(9,17),-1.68323 # DEPENDENCYPART_ARC
(9,18),-0.759282 # DEPENDENCYPART_ARC
(9,19),-1.07521 # DEPENDENCYPART_ARC
(9,20),-0.896249 # DEPENDENCYPART_ARC
(9,21),-1.28306 # DEPENDENCYPART_ARC
(9,22),-1.935 # DEPENDENCYPART_ARC
(9,23),-1.16029 # DEPENDENCYPART_ARC
(9,24),-2.67997 # DEPENDENCYPART_ARC
(9,25),-1.46469 # DEPENDENCYPART_ARC
(9,26),-0.748646 # DEPENDENCYPART_ARC
(9,27),-1.09754 # DEPENDENCYPART_ARC
(10,1),-0.815597 # DEPENDENCYPART_ARC
(10,2),-0.918371 # DEPENDENCYPART_ARC
(10,3),-0.585077 # DEPENDENCYPART_ARC
(10,4),-2.26069 # DEPENDENCYPART_ARC
(10,5),-0.515898 # DEPENDENCYPART_ARC
(10,6),-1.75636 # DEPENDENCYPART_ARC
(10,7),-1.54798 # DEPENDENCYPART_ARC
(10,8),0.770138 # DEPENDENCYPART_ARC
(10,9),3.41272 # DEPENDENCYPART_ARC
(10,11),3.57346 # DEPENDENCYPART_ARC
(10,12),1.97173 # DEPENDENCYPART_ARC
(10,13),0.174668 # DEPENDENCYPART_ARC
(10,14),0.93809 # DEPENDENCYPART_ARC
(10,15),1.02813 # DEPENDENCYPART_ARC
(10,16),0.991183 # DEPENDENCYPART_ARC
(10,17),-1.00055 # DEPENDENCYPART_ARC
(10,18),1.58461 # DEPENDENCYPART_ARC
(10,19),1.01049 # DEPENDENCYPART_ARC
(10,20),-0.221496 # DEPENDENCYPART_ARC
(10,21),-0.271491 # DEPENDENCYPART_ARC
(10,22),-0.765848 # DEPENDENCYPART_ARC
(10,23),-0.766267 # DEPENDENCYPART_ARC
(10,24),-0.844345 # DEPENDENCYPART_ARC
(10,25),-0.284056 # DEPENDENCYPART_ARC
(10,26),-0.763158 # DEPENDENCYPART_ARC
(10,27),-2.21843 # DEPENDENCYPART_ARC
(11,1),-0.969779 # DEPENDENCYPART_ARC
(11,2),-1.27072 # DEPENDENCYPART_ARC
(11,3),-0.806825 # DEPENDENCYPART_ARC
(11,4),-1.74911 # DEPENDENCYPART_ARC
(11,5),-0.613582 # DEPENDENCYPART_ARC
(11,6),-1.97073 # DEPENDENCYPART_ARC
(11,7),-1.13155 # DEPENDENCYPART_ARC
(11,8),0.271517 # DEPENDENCYPART_ARC
(11,9),0.416143 # DEPENDENCYPART_ARC
(11,10),0.386695 # DEPENDENCYPART_ARC
(11,12),1.00424 # DEPENDENCYPART_ARC
(11,13),-0.299661 # DEPENDENCYPART_ARC
(11,14),0.161222 # DEPENDENCYPART_ARC
(11,15),0.105711 # DEPENDENCYPART_ARC
(11,16),0.256431 # DEPENDENCYPART_ARC
(11,17),-1.76468 # DEPENDENCYPART_ARC
(11,18),-1.22258 # DEPENDENCYPART_ARC
(11,19),-0.553416 # DEPENDENCYPART_ARC
(11,20),-0.572945 # DEPENDENCYPART_ARC
(11,21),-1.62011 # DEPENDENCYPART_ARC
(11,22),-1.37529 # DEPENDENCYPART_ARC
(11,23),-0.735584 # DEPENDENCYPART_ARC
(11,24),-1.5825 # DEPENDENCYPART_ARC
(11,25),-0.911739 # DEPENDENCYPART_ARC
(11,26),-0.411683 # DEPENDENCYPART_ARC
(11,27),-1.43131 # DEPENDENCYPART_ARC
(12,1),-1.7307 # DEPENDENCYPART_ARC
(12,2),-1.29639 # DEPENDENCYPART_ARC
(12,3),-1.61408 # DEPENDENCYPART_ARC
(12,4),-1.85868 # DEPENDENCYPART_ARC
(12,5),-1.27874 # DEPENDENCYPART_ARC
(12,6),-1.69628 # DEPENDENCYPART_ARC
(12,7),-1.53695 # DEPENDENCYPART_ARC
(12,8),-0.870598 # DEPENDENCYPART_ARC
(12,9),-0.850102 # DEPENDENCYPART_ARC
(12,10),-0.926046 # DEPENDENCYPART_ARC
(12,11),-0.154209 # DEPENDENCYPART_ARC
(12,13),1.07663 # DEPENDENCYPART_ARC
(12,14),3.46308 # DEPENDENCYPART_ARC
(12,15),0.658051 # DEPENDENCYPART_ARC
(12,16),1.17502 # DEPENDENCYPART_ARC
(12,17),0.459592 # DEPENDENCYPART_ARC
(12,18),-0.76996 # DEPENDENCYPART_ARC
(12,19),-0.764616 # DEPENDENCYPART_ARC
(12,20),-0.520236 # DEPENDENCYPART_ARC
(12,21),-1.18679 # DEPENDENCYPART_ARC
(12,22),-0.973296 # DEPENDENCYPART_ARC
(12,23),-2.16309 # DEPENDENCYPART_ARC
(12,24),-0.64561 # DEPENDENCYPART_ARC
(12,25),-1.69377 # DEPENDENCYPART_ARC
(12,26),-3.10592 # DEPENDENCYPART_ARC
(12,27),-1.18259 # DEPENDENCYPART_ARC
(13,1),-2.62064 # DEPENDENCYPART_ARC
(13,2),-2.74901 # DEPENDENCYPART_ARC
(13,3),-2.18497 # DEPENDENCYPART_ARC
(13,4),-2.90702 # DEPENDENCYPART_ARC
(13,5),-2.47488 # DEPENDENCYPART_ARC
(13,6),-2.94848 # DEPENDENCYPART_ARC
(13,7),-2.11914 # DEPENDENCYPART_ARC
(13,8),-2.07022 # DEPENDENCYPART_ARC
(13,9),-1.95135 # DEPENDENCYPART_ARC
(13,10),-2.19093 # DEPENDENCYPART_ARC
(13,11),-1.63452 # DEPENDENCYPART_ARC
(13,12),-0.459233 # DEPENDENCYPART_ARC
(13,14),2.02795 # DEPENDENCYPART_ARC
(13,15),0.111846 # DEPENDENCYPART_ARC
(13,16),0.0492209 # DEPENDENCYPART_ARC
(13,17),-1.28 # DEPENDENCYPART_ARC
(13,18),0.00126424 # DEPENDENCYPART_ARC
(13,19),-0.837024 # DEPENDENCYPART_ARC
(13,20),-0.730042 # DEPENDENCYPART_ARC
(13,21),-0.748659 # DEPENDENCYPART_ARC
(13,22),-1.74585 # DEPENDENCYPART_ARC
(13,23),-0.925155 # DEPENDENCYPART_ARC
(13,24),-2.12009 # DEPENDENCYPART_ARC
(13,25),-1.29046 # DEPENDENCYPART_ARC
(13,26),-0.553645 # DEPENDENCYPART_ARC
(13,27),-0.911678 # DEPENDENCYPART_ARC
(14,1),-1.26678 # DEPENDENCYPART_ARC
(14,2),-1.10206 # DEPENDENCYPART_ARC
(14,3),-1.89204 # DEPENDENCYPART_ARC
(14,4),-3.45028 # DEPENDENCYPART_ARC
(14,5),-1.28969 # DEPENDENCYPART_ARC
(14,6),-1.94438 # DEPENDENCYPART_ARC
(14,7),-2.57184 # DEPENDENCYPART_ARC
(14,8),-0.53585 # DEPENDENCYPART_ARC
(14,9),-0.589293 # DEPENDENCYPART_ARC
(14,10),-2.48016 # DEPENDENCYPART_ARC
(14,11),-1.35973 # DEPENDENCYPART_ARC
(14,12),0.461849 # DEPENDENCYPART_ARC
(14,13),3.18892 # DEPENDENCYPART_ARC
(14,15),1.99936 # DEPENDENCYPART_ARC
(14,16),1.32187 # DEPENDENCYPART_ARC
(14,17),-0.307548 # DEPENDENCYPART_ARC
(14,18),0.986561 # DEPENDENCYPART_ARC
(14,19),0.131267 # DEPENDENCYPART_ARC
(14,20),-0.0504136 # DEPENDENCYPART_ARC
(14,21),-0.346151 # DEPENDENCYPART_ARC
(14,22),-0.781972 # DEPENDENCYPART_ARC
(14,23),-0.562756 # DEPENDENCYPART_ARC
(14,24),-0.411491 # DEPENDENCYPART_ARC
(14,25),-0.53249 # DEPENDENCYPART_ARC
(14,26),-0.743901 # DEPENDENCYPART_ARC
(14,27),-1.42438 # DEPENDENCYPART_ARC
(15,1),-2.43363 # DEPENDENCYPART_ARC
(15,2),-2.61303 # DEPENDENCYPART_ARC
(15,3),-2.29851 # DEPENDENCYPART_ARC
(15,4),-2.94213 # DEPENDENCYPART_ARC
(15,5),-2.23166 # DEPENDENCYPART_ARC
(15,6),-2.83398 # DEPENDENCYPART_ARC
(15,7),-2.4263 # DEPENDENCYPART_ARC
(15,8),-2.08437 # DEPENDENCYPART_ARC
(15,9),-2.20452 # DEPENDENCYPART_ARC
(15,10),-2.54059 # DEPENDENCYPART_ARC
(15,11),-2.38475 # DEPENDENCYPART_ARC
(15,12),-1.47903 # DEPENDENCYPART_ARC
(15,13),-1.08689 # DEPENDENCYPART_ARC
(15,14),-1.07159 # DEPENDENCYPART_ARC
(15,16),-0.856824 # DEPENDENCYPART_ARC
(15,17),-1.7589 # DEPENDENCYPART_ARC
(15,18),-1.73086 # DEPENDENCYPART_ARC
(15,19),-2.09358 # DEPENDENCYPART_ARC
(15,20),-2.56594 # DEPENDENCYPART_ARC
(15,21),-2.35369 # DEPENDENCYPART_ARC
(15,22),-2.62097 # DEPENDENCYPART_ARC
(15,23),-2.84467 # DEPENDENCYPART_ARC
(15,24),-2.97473 # DEPENDENCYPART_ARC
(15,25),-2.82358 # DEPENDENCYPART_ARC
(15,26),-2.91568 # DEPENDENCYPART_ARC
(15,27),-1.87913 # DEPENDENCYPART_ARC
(16,1),-2.23912 # DEPENDENCYPART_ARC
(16,2),-1.97001 # DEPENDENCYPART_ARC
(16,3),-2.46631 # DEPENDENCYPART_ARC
(16,4),-4.04822 # DEPENDENCYPART_ARC
(16,5),-2.32919 # DEPENDENCYPART_ARC
(16,6),-3.03848 # DEPENDENCYPART_ARC
(16,7),-2.91246 # DEPENDENCYPART_ARC
(16,8),-1.27883 # DEPENDENCYPART_ARC
(16,9),-1.39486 # DEPENDENCYPART_ARC
(16,10),-3.4827 # DEPENDENCYPART_ARC
(16,11),-2.19655 # DEPENDENCYPART_ARC
(16,12),-0.733988 # DEPENDENCYPART_ARC
(16,13),0.551663 # DEPENDENCYPART_ARC
(16,14),-0.58775 # DEPENDENCYPART_ARC
(16,15),0.195016 # DEPENDENCYPART_ARC
(16,17),-0.797756 # DEPENDENCYPART_ARC
(16,18),0.593493 # DEPENDENCYPART_ARC
(16,19),0.560882 # DEPENDENCYPART_ARC
(16,20),-0.809262 # DEPENDENCYPART_ARC
(16,21),-0.763598 # DEPENDENCYPART_ARC
(16,22),-1.60223 # DEPENDENCYPART_ARC
(16,23),-1.84852 # DEPENDENCYPART_ARC
(16,24),-1.88269 # DEPENDENCYPART_ARC
(16,25),-1.59298 # DEPENDENCYPART_ARC
(16,26),-1.95875 # DEPENDENCYPART_ARC
(16,27),-2.29217 # DEPENDENCYPART_ARC
(17,1),-1.70758 # DEPENDENCYPART_ARC
(17,2),-1.73656 # DEPENDENCYPART_ARC
(17,3),-1.21989 # DEPENDENCYPART_ARC
(17,4),-2.59226 # DEPENDENCYPART_ARC
(17,5),-1.71125 # DEPENDENCYPART_ARC
(17,6),-2.79536 # DEPENDENCYPART_ARC
(17,7),-1.89777 # DEPENDENCYPART_ARC
(17,8),-1.44336 # DEPENDENCYPART_ARC
(17,9),-1.5043 # DEPENDENCYPART_ARC
(17,10),-2.54628 # DEPENDENCYPART_ARC
(17,11),-2.47528 # DEPENDENCYPART_ARC
(17,12),-1.1419 # DEPENDENCYPART_ARC
(17,13),-0.0696402 # DEPENDENCYPART_ARC
(17,14),-1.364 # DEPENDENCYPART_ARC
(17,15),-0.737208 # DEPENDENCYPART_ARC
(17,16),-0.132577 # DEPENDENCYPART_ARC
(17,18),-0.72013 # DEPENDENCYPART_ARC
(17,19),-2.36777 # DEPENDENCYPART_ARC
(17,20),-1.68507 # DEPENDENCYPART_ARC
(17,21),-1.88725 # DEPENDENCYPART_ARC
(17,22),-1.95972 # DEPENDENCYPART_ARC
(17,23),-1.93162 # DEPENDENCYPART_ARC
(17,24),-2.00617 # DEPENDENCYPART_ARC
(17,25),-3.53902 # DEPENDENCYPART_ARC
(17,26),-2.2429 # DEPENDENCYPART_ARC
(17,27),-1.93409 # DEPENDENCYPART_ARC
(18,1),-1.07247 # DEPENDENCYPART_ARC
(18,2),-0.637017 # DEPENDENCYPART_ARC
(18,3),-1.65961 # DEPENDENCYPART_ARC
(18,4),-0.674878 # DEPENDENCYPART_ARC
(18,5),-1.74102 # DEPENDENCYPART_ARC
(18,6),-1.83824 # DEPENDENCYPART_ARC
(18,7),-2.59206 # DEPENDENCYPART_ARC
(18,8),0.148562 # DEPENDENCYPART_ARC
(18,9),-1.51584 # DEPENDENCYPART_ARC
(18,10),-0.432631 # DEPENDENCYPART_ARC
(18,11),-0.975863 # DEPENDENCYPART_ARC
(18,12),-0.326554 # DEPENDENCYPART_ARC
(18,13),-1.02388 # DEPENDENCYPART_ARC
(18,14),0.381462 # DEPENDENCYPART_ARC
(18,15),-1.56024 # DEPENDENCYPART_ARC
(18,16),0.695329 # DEPENDENCYPART_ARC
(18,17),2.70675 # DEPENDENCYPART_ARC
(18,19),1.08805 # DEPENDENCYPART_ARC
(18,20),0.253063 # DEPENDENCYPART_ARC
(18,21),0.267753 # DEPENDENCYPART_ARC
(18,22),-1.82381 # DEPENDENCYPART_ARC
(18,23),0.0685865 # DEPENDENCYPART_ARC
(18,24),-1.11434 # DEPENDENCYPART_ARC
(18,25),-0.565613 # DEPENDENCYPART_ARC
(18,26),-1.26724 # DEPENDENCYPART_ARC
(18,27),-1.25505 # DEPENDENCYPART_ARC
(19,1),-0.153358 # DEPENDENCYPART_ARC
(19,2),0.255016 # DEPENDENCYPART_ARC
(19,3),-0.29177 # DEPENDENCYPART_ARC
(19,4),0.448018 # DEPENDENCYPART_ARC
(19,5),-1.22957 # DEPENDENCYPART_ARC
(19,6),-0.578156 # DEPENDENCYPART_ARC
(19,7),-1.80803 # DEPENDENCYPART_ARC
(19,8),0.810118 # DEPENDENCYPART_ARC
(19,9),0.0468144 # DEPENDENCYPART_ARC
(19,10),0.990623 # DEPENDENCYPART_ARC
(19,11),-0.248034 # DEPENDENCYPART_ARC
(19,12),0.722382 # DEPENDENCYPART_ARC
