# _root_ Domate temporaneamente le fan , Dillon elude il muro umano di vestitini a fiori , magliette attillate e Wonderbra .
#goldHeads=0,1,4,1,4,7,0,9,7,9,9,11,12,13,14,9,16,16,16,19,
#predictedHeads=4,1,4,7,4,7,0,9,7,9,9,11,12,13,14,14,16,16,14,19,
(13,19),-1.39891 # DEPENDENCYPART_ARC
(13,20),-1.28919 # DEPENDENCYPART_ARC
(14,1),-1.46045 # DEPENDENCYPART_ARC
(14,2),-1.82653 # DEPENDENCYPART_ARC
(14,3),-2.57636 # DEPENDENCYPART_ARC
(14,4),-2.99207 # DEPENDENCYPART_ARC
(14,5),-3.07697 # DEPENDENCYPART_ARC
(14,6),-2.48572 # DEPENDENCYPART_ARC
(14,7),-3.67008 # DEPENDENCYPART_ARC
(14,8),-1.39245 # DEPENDENCYPART_ARC
(14,9),-2.16144 # DEPENDENCYPART_ARC
(14,10),-1.74917 # DEPENDENCYPART_ARC
(14,11),-0.679969 # DEPENDENCYPART_ARC
(14,12),0.58364 # DEPENDENCYPART_ARC
(14,13),0.600598 # DEPENDENCYPART_ARC
(14,15),2.12049 # DEPENDENCYPART_ARC
(14,16),1.56655 # DEPENDENCYPART_ARC
(14,17),1.44011 # DEPENDENCYPART_ARC
(14,18),1.16406 # DEPENDENCYPART_ARC
(14,19),1.19995 # DEPENDENCYPART_ARC
(14,20),-0.0160597 # DEPENDENCYPART_ARC
(15,1),-3.18006 # DEPENDENCYPART_ARC
(15,2),-2.53321 # DEPENDENCYPART_ARC
(15,3),-2.27255 # DEPENDENCYPART_ARC
(15,4),-2.92812 # DEPENDENCYPART_ARC
(15,5),-2.44375 # DEPENDENCYPART_ARC
(15,6),-2.71378 # DEPENDENCYPART_ARC
(15,7),-2.94345 # DEPENDENCYPART_ARC
(15,8),-1.90889 # DEPENDENCYPART_ARC
(15,9),-2.53491 # DEPENDENCYPART_ARC
(15,10),-2.36447 # DEPENDENCYPART_ARC
(15,11),-1.68385 # DEPENDENCYPART_ARC
(15,12),-1.9354 # DEPENDENCYPART_ARC
(15,13),-1.18674 # DEPENDENCYPART_ARC
(15,14),-0.909544 # DEPENDENCYPART_ARC
(15,16),-0.922157 # DEPENDENCYPART_ARC
(15,17),-1.72509 # DEPENDENCYPART_ARC
(15,18),-2.02619 # DEPENDENCYPART_ARC
(15,19),-2.25466 # DEPENDENCYPART_ARC
(15,20),-1.19959 # DEPENDENCYPART_ARC
(16,1),-0.609594 # DEPENDENCYPART_ARC
(16,2),-1.86532 # DEPENDENCYPART_ARC
(16,3),-2.28414 # DEPENDENCYPART_ARC
(16,4),-3.09637 # DEPENDENCYPART_ARC
(16,5),-2.50231 # DEPENDENCYPART_ARC
(16,6),-2.70131 # DEPENDENCYPART_ARC
(16,7),-3.03181 # DEPENDENCYPART_ARC
(16,8),-2.15457 # DEPENDENCYPART_ARC
(16,9),-2.96882 # DEPENDENCYPART_ARC
(16,10),-2.37311 # DEPENDENCYPART_ARC
(16,11),-1.05165 # DEPENDENCYPART_ARC
(16,12),-0.958098 # DEPENDENCYPART_ARC
(16,13),-0.494635 # DEPENDENCYPART_ARC
(16,14),-0.18016 # DEPENDENCYPART_ARC
(16,15),0.643503 # DEPENDENCYPART_ARC
(16,17),3.66459 # DEPENDENCYPART_ARC
(16,18),1.31907 # DEPENDENCYPART_ARC
(16,19),0.740359 # DEPENDENCYPART_ARC
(16,20),0.0559405 # DEPENDENCYPART_ARC
(17,1),-2.61601 # DEPENDENCYPART_ARC
(17,2),-1.89081 # DEPENDENCYPART_ARC
(17,3),-1.11255 # DEPENDENCYPART_ARC
(17,4),-2.10748 # DEPENDENCYPART_ARC
(17,5),-1.61817 # DEPENDENCYPART_ARC
(17,6),-2.03031 # DEPENDENCYPART_ARC
(17,7),-2.63181 # DEPENDENCYPART_ARC
(17,8),-1.52371 # DEPENDENCYPART_ARC
(17,9),-1.6541 # DEPENDENCYPART_ARC
(17,10),-1.50654 # DEPENDENCYPART_ARC
(17,11),-0.651256 # DEPENDENCYPART_ARC
(17,12),-1.15928 # DEPENDENCYPART_ARC
(17,13),0.174207 # DEPENDENCYPART_ARC
(17,14),-0.653887 # DEPENDENCYPART_ARC
(17,15),-0.00918658 # DEPENDENCYPART_ARC
(17,16),0.818856 # DEPENDENCYPART_ARC
(17,18),1.11881 # DEPENDENCYPART_ARC
(17,19),0.657557 # DEPENDENCYPART_ARC
(17,20),0.254289 # DEPENDENCYPART_ARC
(18,1),-2.91635 # DEPENDENCYPART_ARC
(18,2),-2.08753 # DEPENDENCYPART_ARC
(18,3),-2.17464 # DEPENDENCYPART_ARC
(18,4),-3.36935 # DEPENDENCYPART_ARC
(18,5),-2.25611 # DEPENDENCYPART_ARC
(18,6),-3.07435 # DEPENDENCYPART_ARC
(18,7),-2.83485 # DEPENDENCYPART_ARC
(18,8),-1.94713 # DEPENDENCYPART_ARC
(18,9),-2.86287 # DEPENDENCYPART_ARC
(18,10),-2.40548 # DEPENDENCYPART_ARC
(18,11),-1.83822 # DEPENDENCYPART_ARC
(18,12),-2.55917 # DEPENDENCYPART_ARC
(18,13),-1.65572 # DEPENDENCYPART_ARC
(18,14),-2.16348 # DEPENDENCYPART_ARC
(18,15),-1.41555 # DEPENDENCYPART_ARC
(18,16),-1.53761 # DEPENDENCYPART_ARC
(18,17),-0.497546 # DEPENDENCYPART_ARC
(18,19),0.0705738 # DEPENDENCYPART_ARC
(18,20),-0.674861 # DEPENDENCYPART_ARC
(19,1),-1.8487 # DEPENDENCYPART_ARC
(19,2),-2.59761 # DEPENDENCYPART_ARC
(19,3),-4.05009 # DEPENDENCYPART_ARC
(19,4),-2.74034 # DEPENDENCYPART_ARC
(19,5),-3.82607 # DEPENDENCYPART_ARC
(19,6),-2.19042 # DEPENDENCYPART_ARC
(19,7),-3.95733 # DEPENDENCYPART_ARC
(19,8),-2.95577 # DEPENDENCYPART_ARC
(19,9),-4.38133 # DEPENDENCYPART_ARC
(19,10),-2.96131 # DEPENDENCYPART_ARC
(19,11),-2.30426 # DEPENDENCYPART_ARC
(19,12),-3.1377 # DEPENDENCYPART_ARC
(19,13),-2.02973 # DEPENDENCYPART_ARC
(19,14),-2.96183 # DEPENDENCYPART_ARC
(19,15),-2.67093 # DEPENDENCYPART_ARC
(19,16),-2.38335 # DEPENDENCYPART_ARC
(19,17),0.0621762 # DEPENDENCYPART_ARC
(19,18),0.0030549 # DEPENDENCYPART_ARC
(19,20),2.55916 # DEPENDENCYPART_ARC
(20,1),-2.67639 # DEPENDENCYPART_ARC
(20,2),-2.24724 # DEPENDENCYPART_ARC
(20,3),-1.94234 # DEPENDENCYPART_ARC
(20,4),-2.55643 # DEPENDENCYPART_ARC
(20,5),-2.13171 # DEPENDENCYPART_ARC
(20,6),-2.5088 # DEPENDENCYPART_ARC
(20,7),-2.54742 # DEPENDENCYPART_ARC
(20,8),-1.66055 # DEPENDENCYPART_ARC
(20,9),-2.39461 # DEPENDENCYPART_ARC
(20,10),-2.20679 # DEPENDENCYPART_ARC
(20,11),-1.65128 # DEPENDENCYPART_ARC
(20,12),-2.21865 # DEPENDENCYPART_ARC
(20,13),-1.54287 # DEPENDENCYPART_ARC
(20,14),-2.15985 # DEPENDENCYPART_ARC
(20,15),-1.65488 # DEPENDENCYPART_ARC
(20,16),-1.86361 # DEPENDENCYPART_ARC
(20,17),-1.47292 # DEPENDENCYPART_ARC
(20,18),-0.970279 # DEPENDENCYPART_ARC
(20,19),-0.490899 # DEPENDENCYPART_ARC
