# _root_ Max Sciandri , nato a Derby 28 anni or sono da genitori toscani che gestivano un ristorante , ha sempre mantenuto il doppio passaporto .
#goldHeads=2,21,2,2,4,5,8,4,10,8,4,11,12,15,12,17,15,17,21,21,0,24,24,21,24,
#predictedHeads=2,10,2,1,4,5,8,10,10,0,10,11,12,15,12,17,15,17,21,21,17,24,24,21,24,
(2,5),-0.235635 # DEPENDENCYPART_ARC
(2,6),-0.166071 # DEPENDENCYPART_ARC
(2,7),-0.502465 # DEPENDENCYPART_ARC
(2,8),-0.489577 # DEPENDENCYPART_ARC
(2,9),-1.16477 # DEPENDENCYPART_ARC
(2,10),-1.35151 # DEPENDENCYPART_ARC
(2,11),-0.681224 # DEPENDENCYPART_ARC
(2,12),-0.673438 # DEPENDENCYPART_ARC
(2,13),-1.28804 # DEPENDENCYPART_ARC
(2,15),-1.9915 # DEPENDENCYPART_ARC
(2,16),-0.98624 # DEPENDENCYPART_ARC
(2,17),-1.37727 # DEPENDENCYPART_ARC
(2,18),-0.38926 # DEPENDENCYPART_ARC
(2,19),-2.4865 # DEPENDENCYPART_ARC
(2,20),-1.80219 # DEPENDENCYPART_ARC
(2,21),-1.54873 # DEPENDENCYPART_ARC
(2,22),-1.34402 # DEPENDENCYPART_ARC
(2,23),-2.82212 # DEPENDENCYPART_ARC
(2,24),-1.74159 # DEPENDENCYPART_ARC
(2,25),-3.05403 # DEPENDENCYPART_ARC
(3,16),-1.79697 # DEPENDENCYPART_ARC
(3,18),-1.8569 # DEPENDENCYPART_ARC
(3,22),-2.0988 # DEPENDENCYPART_ARC
(3,25),-2.25529 # DEPENDENCYPART_ARC
(4,1),0.233349 # DEPENDENCYPART_ARC
(4,2),0.220421 # DEPENDENCYPART_ARC
(4,3),-0.435867 # DEPENDENCYPART_ARC
(4,5),3.18292 # DEPENDENCYPART_ARC
(4,6),1.30337 # DEPENDENCYPART_ARC
(4,7),0.371489 # DEPENDENCYPART_ARC
(4,8),1.17792 # DEPENDENCYPART_ARC
(4,9),0.339893 # DEPENDENCYPART_ARC
(4,10),0.254633 # DEPENDENCYPART_ARC
(4,11),0.669694 # DEPENDENCYPART_ARC
(4,12),-0.818433 # DEPENDENCYPART_ARC
(4,13),-1.60208 # DEPENDENCYPART_ARC
(4,14),-2.20202 # DEPENDENCYPART_ARC
(4,15),-1.01253 # DEPENDENCYPART_ARC
(4,16),-2.28821 # DEPENDENCYPART_ARC
(4,17),-0.381156 # DEPENDENCYPART_ARC
(4,18),0.981108 # DEPENDENCYPART_ARC
(4,19),-1.22601 # DEPENDENCYPART_ARC
(4,20),-0.800075 # DEPENDENCYPART_ARC
(4,21),-0.375434 # DEPENDENCYPART_ARC
(4,22),-2.50844 # DEPENDENCYPART_ARC
(4,23),-1.82631 # DEPENDENCYPART_ARC
(4,24),-1.53454 # DEPENDENCYPART_ARC
(4,25),-2.16717 # DEPENDENCYPART_ARC
(5,1),-1.79888 # DEPENDENCYPART_ARC
(5,2),-1.42587 # DEPENDENCYPART_ARC
(5,3),-0.910048 # DEPENDENCYPART_ARC
(5,4),-0.379394 # DEPENDENCYPART_ARC
(5,6),3.80034 # DEPENDENCYPART_ARC
(5,7),-0.0684981 # DEPENDENCYPART_ARC
(5,8),-0.0393624 # DEPENDENCYPART_ARC
(5,9),-0.9957 # DEPENDENCYPART_ARC
(5,10),-0.670299 # DEPENDENCYPART_ARC
(5,11),-0.968404 # DEPENDENCYPART_ARC
(5,12),-2.43226 # DEPENDENCYPART_ARC
(5,13),-1.07778 # DEPENDENCYPART_ARC
(5,14),-2.21977 # DEPENDENCYPART_ARC
(5,15),-1.95556 # DEPENDENCYPART_ARC
(5,16),-1.87661 # DEPENDENCYPART_ARC
(5,17),-5.10401 # DEPENDENCYPART_ARC
(5,18),-1.39569 # DEPENDENCYPART_ARC
(5,19),-3.19767 # DEPENDENCYPART_ARC
(5,20),-2.10878 # DEPENDENCYPART_ARC
(5,21),-3.43235 # DEPENDENCYPART_ARC
(5,22),-2.06028 # DEPENDENCYPART_ARC
(5,23),-1.94059 # DEPENDENCYPART_ARC
(5,24),-7.45183 # DEPENDENCYPART_ARC
(5,25),-2.43086 # DEPENDENCYPART_ARC
(6,1),-2.29549 # DEPENDENCYPART_ARC
(6,2),-2.59998 # DEPENDENCYPART_ARC
(6,3),-2.6427 # DEPENDENCYPART_ARC
(6,4),-0.193229 # DEPENDENCYPART_ARC
(6,5),0.144279 # DEPENDENCYPART_ARC
(6,7),1.19496 # DEPENDENCYPART_ARC
(6,8),0.477091 # DEPENDENCYPART_ARC
(6,9),-0.569791 # DEPENDENCYPART_ARC
(6,10),-0.134531 # DEPENDENCYPART_ARC
(6,11),-0.0371931 # DEPENDENCYPART_ARC
(6,12),-0.691004 # DEPENDENCYPART_ARC
(6,13),-0.0386364 # DEPENDENCYPART_ARC
(6,14),-1.81711 # DEPENDENCYPART_ARC
(6,15),-1.17844 # DEPENDENCYPART_ARC
(6,16),-0.910641 # DEPENDENCYPART_ARC
(6,17),-1.92125 # DEPENDENCYPART_ARC
(6,18),-0.652405 # DEPENDENCYPART_ARC
(6,19),-1.73346 # DEPENDENCYPART_ARC
(6,20),-1.60107 # DEPENDENCYPART_ARC
(6,21),-1.27044 # DEPENDENCYPART_ARC
(6,22),-1.21461 # DEPENDENCYPART_ARC
(6,23),-1.62473 # DEPENDENCYPART_ARC
(6,24),-2.33961 # DEPENDENCYPART_ARC
(6,25),-2.79218 # DEPENDENCYPART_ARC
(7,3),-1.19861 # DEPENDENCYPART_ARC
(7,4),-1.4354 # DEPENDENCYPART_ARC
(7,5),-0.269871 # DEPENDENCYPART_ARC
(7,6),0.0608773 # DEPENDENCYPART_ARC
(7,8),0.28819 # DEPENDENCYPART_ARC
(7,9),-0.383513 # DEPENDENCYPART_ARC
(7,10),-0.864372 # DEPENDENCYPART_ARC
(7,11),-1.18162 # DEPENDENCYPART_ARC
(7,12),-1.07905 # DEPENDENCYPART_ARC
(7,13),-1.44676 # DEPENDENCYPART_ARC
(7,15),-1.6165 # DEPENDENCYPART_ARC
(7,16),-1.57237 # DEPENDENCYPART_ARC
(7,17),-1.4309 # DEPENDENCYPART_ARC
(7,18),-1.3807 # DEPENDENCYPART_ARC
(7,19),-2.14525 # DEPENDENCYPART_ARC
(7,20),-1.64202 # DEPENDENCYPART_ARC
(7,21),-2.18032 # DEPENDENCYPART_ARC
(7,22),-1.81672 # DEPENDENCYPART_ARC
(7,23),-1.89767 # DEPENDENCYPART_ARC
(7,24),-1.70163 # DEPENDENCYPART_ARC
(7,25),-1.7684 # DEPENDENCYPART_ARC
(8,1),-1.41269 # DEPENDENCYPART_ARC
(8,2),-1.90953 # DEPENDENCYPART_ARC
(8,3),-1.94684 # DEPENDENCYPART_ARC
(8,4),-0.7667 # DEPENDENCYPART_ARC
(8,5),0.013499 # DEPENDENCYPART_ARC
(8,6),0.604446 # DEPENDENCYPART_ARC
(8,7),2.59873 # DEPENDENCYPART_ARC
(8,9),1.33778 # DEPENDENCYPART_ARC
(8,10),-0.0531244 # DEPENDENCYPART_ARC
(8,11),-0.163526 # DEPENDENCYPART_ARC
(8,12),-0.256109 # DEPENDENCYPART_ARC
(8,13),0.521592 # DEPENDENCYPART_ARC
(8,14),-2.17801 # DEPENDENCYPART_ARC
(8,15),-1.19092 # DEPENDENCYPART_ARC
(8,16),-1.19562 # DEPENDENCYPART_ARC
(8,17),-2.09778 # DEPENDENCYPART_ARC
(8,18),-0.305194 # DEPENDENCYPART_ARC
(8,19),-2.54115 # DEPENDENCYPART_ARC
(8,20),-1.10569 # DEPENDENCYPART_ARC
(8,21),-2.00095 # DEPENDENCYPART_ARC
(8,22),-1.43713 # DEPENDENCYPART_ARC
(8,23),-2.61771 # DEPENDENCYPART_ARC
(8,24),-2.83076 # DEPENDENCYPART_ARC
(8,25),-2.39597 # DEPENDENCYPART_ARC
(9,1),-2.48846 # DEPENDENCYPART_ARC
(9,2),-2.36297 # DEPENDENCYPART_ARC
(9,3),-1.8021 # DEPENDENCYPART_ARC
(9,4),-2.38668 # DEPENDENCYPART_ARC
(9,5),-0.999695 # DEPENDENCYPART_ARC
(9,6),-1.6183 # DEPENDENCYPART_ARC
(9,7),-0.732575 # DEPENDENCYPART_ARC
(9,8),-0.558945 # DEPENDENCYPART_ARC
(9,10),-0.0907408 # DEPENDENCYPART_ARC
(9,11),-1.10787 # DEPENDENCYPART_ARC
(9,12),-1.19152 # DEPENDENCYPART_ARC
(9,13),-1.47322 # DEPENDENCYPART_ARC
(9,15),-1.35609 # DEPENDENCYPART_ARC
(9,16),-1.64829 # DEPENDENCYPART_ARC
(9,17),-1.9812 # DEPENDENCYPART_ARC
(9,18),-1.25605 # DEPENDENCYPART_ARC
(9,19),-1.97897 # DEPENDENCYPART_ARC
(9,20),-1.90357 # DEPENDENCYPART_ARC
(9,21),-2.16384 # DEPENDENCYPART_ARC
(9,22),-1.70515 # DEPENDENCYPART_ARC
(9,23),-2.18823 # DEPENDENCYPART_ARC
(9,24),-2.42373 # DEPENDENCYPART_ARC
(9,25),-2.1477 # DEPENDENCYPART_ARC
(10,1),0.516017 # DEPENDENCYPART_ARC
(10,2),0.288998 # DEPENDENCYPART_ARC
(10,3),-2.3469 # DEPENDENCYPART_ARC
(10,4),-1.96092 # DEPENDENCYPART_ARC
(10,5),0.213447 # DEPENDENCYPART_ARC
(10,6),0.296314 # DEPENDENCYPART_ARC
(10,7),-0.046454 # DEPENDENCYPART_ARC
(10,8),1.2294 # DEPENDENCYPART_ARC
(10,9),2.06062 # DEPENDENCYPART_ARC
(10,11),2.27209 # DEPENDENCYPART_ARC
(10,12),1.75852 # DEPENDENCYPART_ARC
(10,13),0.589153 # DEPENDENCYPART_ARC
(10,14),-0.303577 # DEPENDENCYPART_ARC
(10,15),0.398042 # DEPENDENCYPART_ARC
(10,16),-2.11005 # DEPENDENCYPART_ARC
(10,17),-0.482995 # DEPENDENCYPART_ARC
(10,18),1.17483 # DEPENDENCYPART_ARC
(10,19),-0.529935 # DEPENDENCYPART_ARC
(10,20),-0.912273 # DEPENDENCYPART_ARC
(10,21),-1.20224 # DEPENDENCYPART_ARC
(10,22),-2.41651 # DEPENDENCYPART_ARC
(10,23),-1.82986 # DEPENDENCYPART_ARC
(10,24),-1.58508 # DEPENDENCYPART_ARC
(10,25),-1.38223 # DEPENDENCYPART_ARC
(11,1),-1.93197 # DEPENDENCYPART_ARC
(11,2),-1.83763 # DEPENDENCYPART_ARC
(11,3),-1.61767 # DEPENDENCYPART_ARC
(11,4),-2.30359 # DEPENDENCYPART_ARC
(11,5),-1.05159 # DEPENDENCYPART_ARC
(11,6),-1.58868 # DEPENDENCYPART_ARC
(11,7),-1.27374 # DEPENDENCYPART_ARC
(11,8),-1.11481 # DEPENDENCYPART_ARC
(11,9),0.0570327 # DEPENDENCYPART_ARC
(11,10),-0.0634527 # DEPENDENCYPART_ARC
(11,12),3.91501 # DEPENDENCYPART_ARC
(11,13),0.776545 # DEPENDENCYPART_ARC
(11,14),-0.198504 # DEPENDENCYPART_ARC
(11,15),-0.585795 # DEPENDENCYPART_ARC
(11,16),-1.26957 # DEPENDENCYPART_ARC
(11,17),-1.84358 # DEPENDENCYPART_ARC
(11,18),-0.327391 # DEPENDENCYPART_ARC
(11,19),-1.54736 # DEPENDENCYPART_ARC
(11,20),-0.948168 # DEPENDENCYPART_ARC
(11,21),-1.99643 # DEPENDENCYPART_ARC
(11,22),-1.70854 # DEPENDENCYPART_ARC
(11,23),-1.48092 # DEPENDENCYPART_ARC
(11,24),-3.93486 # DEPENDENCYPART_ARC
(11,25),-1.41409 # DEPENDENCYPART_ARC
(12,1),-3.0469 # DEPENDENCYPART_ARC
(12,2),-3.36644 # DEPENDENCYPART_ARC
(12,3),-3.47811 # DEPENDENCYPART_ARC
(12,4),-2.44121 # DEPENDENCYPART_ARC
(12,5),-2.09218 # DEPENDENCYPART_ARC
(12,6),-2.27266 # DEPENDENCYPART_ARC
(12,7),-1.75905 # DEPENDENCYPART_ARC
(12,8),-1.01253 # DEPENDENCYPART_ARC
(12,9),-1.35309 # DEPENDENCYPART_ARC
(12,10),-2.32823 # DEPENDENCYPART_ARC
(12,11),0.3507 # DEPENDENCYPART_ARC
(12,13),3.6778 # DEPENDENCYPART_ARC
(12,14),-0.63172 # DEPENDENCYPART_ARC
(12,15),1.01348 # DEPENDENCYPART_ARC
(12,16),-0.420845 # DEPENDENCYPART_ARC
(12,17),-0.39695 # DEPENDENCYPART_ARC
(12,18),0.475386 # DEPENDENCYPART_ARC
(12,19),-0.977853 # DEPENDENCYPART_ARC
(12,20),-0.795306 # DEPENDENCYPART_ARC
(12,21),-0.2494 # DEPENDENCYPART_ARC
(12,22),-0.842477 # DEPENDENCYPART_ARC
(12,23),-1.60889 # DEPENDENCYPART_ARC
(12,24),-1.08733 # DEPENDENCYPART_ARC
(12,25),-1.27156 # DEPENDENCYPART_ARC
(13,1),-2.18745 # DEPENDENCYPART_ARC
(13,2),-2.26171 # DEPENDENCYPART_ARC
(13,3),-1.57334 # DEPENDENCYPART_ARC
(13,4),-2.99485 # DEPENDENCYPART_ARC
(13,5),-0.504293 # DEPENDENCYPART_ARC
(13,6),-1.67478 # DEPENDENCYPART_ARC
(13,7),-0.952057 # DEPENDENCYPART_ARC
(13,8),-1.11517 # DEPENDENCYPART_ARC
(13,9),-0.327191 # DEPENDENCYPART_ARC
(13,10),-1.53074 # DEPENDENCYPART_ARC
(13,11),0.572276 # DEPENDENCYPART_ARC
(13,12),0.763937 # DEPENDENCYPART_ARC
(13,14),-0.369721 # DEPENDENCYPART_ARC
(13,15),-0.367834 # DEPENDENCYPART_ARC
(13,16),-0.500207 # DEPENDENCYPART_ARC
(13,17),-0.454419 # DEPENDENCYPART_ARC
(13,18),-0.342497 # DEPENDENCYPART_ARC
(13,19),-1.65243 # DEPENDENCYPART_ARC
(13,20),-0.993621 # DEPENDENCYPART_ARC
(13,21),-0.183174 # DEPENDENCYPART_ARC
(13,22),-1.13333 # DEPENDENCYPART_ARC
(13,23),-0.987408 # DEPENDENCYPART_ARC
(13,24),-1.0383 # DEPENDENCYPART_ARC
(13,25),-1.09207 # DEPENDENCYPART_ARC
(14,3),-1.8964 # DEPENDENCYPART_ARC
(14,4),-2.96215 # DEPENDENCYPART_ARC
(14,5),-1.68783 # DEPENDENCYPART_ARC
(14,6),-2.25844 # DEPENDENCYPART_ARC
(14,8),-2.88711 # DEPENDENCYPART_ARC
(14,9),-1.35556 # DEPENDENCYPART_ARC
(14,10),-2.80776 # DEPENDENCYPART_ARC
(14,11),-0.670685 # DEPENDENCYPART_ARC
(14,12),-2.04045 # DEPENDENCYPART_ARC
(14,15),0.173232 # DEPENDENCYPART_ARC
(14,17),-0.633498 # DEPENDENCYPART_ARC
(14,18),-0.21305 # DEPENDENCYPART_ARC
(14,19),-1.05858 # DEPENDENCYPART_ARC
(14,20),-1.53302 # DEPENDENCYPART_ARC
(14,21),-1.36579 # DEPENDENCYPART_ARC
(14,22),-1.62796 # DEPENDENCYPART_ARC
(14,24),-1.44754 # DEPENDENCYPART_ARC
(14,25),-1.33896 # DEPENDENCYPART_ARC
(15,1),-0.360414 # DEPENDENCYPART_ARC
(15,2),-0.850948 # DEPENDENCYPART_ARC
(15,3),-3.43522 # DEPENDENCYPART_ARC
(15,4),-3.02168 # DEPENDENCYPART_ARC
(15,5),-1.03584 # DEPENDENCYPART_ARC
(15,6),-0.135651 # DEPENDENCYPART_ARC
(15,7),-1.40002 # DEPENDENCYPART_ARC
(15,8),0.513249 # DEPENDENCYPART_ARC
(15,9),-0.79397 # DEPENDENCYPART_ARC
(15,10),-1.21454 # DEPENDENCYPART_ARC
(15,11),-0.228632 # DEPENDENCYPART_ARC
(15,12),0.399298 # DEPENDENCYPART_ARC
(15,13),-0.139452 # DEPENDENCYPART_ARC
(15,14),2.77541 # DEPENDENCYPART_ARC
(15,16),0.00532139 # DEPENDENCYPART_ARC
(15,17),2.44185 # DEPENDENCYPART_ARC
(15,18),1.22066 # DEPENDENCYPART_ARC
(15,19),0.532044 # DEPENDENCYPART_ARC
(15,20),-0.234547 # DEPENDENCYPART_ARC
(15,21),-0.211176 # DEPENDENCYPART_ARC
(15,22),-1.93291 # DEPENDENCYPART_ARC
(15,23),-1.06653 # DEPENDENCYPART_ARC
(15,24),-0.284784 # DEPENDENCYPART_ARC
(15,25),-0.435894 # DEPENDENCYPART_ARC
(16,3),-2.33199 # DEPENDENCYPART_ARC
(16,5),-2.49319 # DEPENDENCYPART_ARC
(16,11),-1.88679 # DEPENDENCYPART_ARC
(16,18),0.136915 # DEPENDENCYPART_ARC
(16,25),-0.656879 # DEPENDENCYPART_ARC
(17,1),-1.9938 # DEPENDENCYPART_ARC
(17,2),-2.88638 # DEPENDENCYPART_ARC
(17,3),-2.81551 # DEPENDENCYPART_ARC
(17,4),-0.986085 # DEPENDENCYPART_ARC
(17,5),-0.95558 # DEPENDENCYPART_ARC
(17,6),-1.47054 # DEPENDENCYPART_ARC
(17,7),-1.32778 # DEPENDENCYPART_ARC
(17,8),-1.02582 # DEPENDENCYPART_ARC
(17,9),-1.00532 # DEPENDENCYPART_ARC
(17,10),-2.34091 # DEPENDENCYPART_ARC
(17,11),-0.609799 # DEPENDENCYPART_ARC
(17,12),-0.833635 # DEPENDENCYPART_ARC
(17,13),-0.341619 # DEPENDENCYPART_ARC
(17,14),-0.30167 # DEPENDENCYPART_ARC
(17,15),-0.744734 # DEPENDENCYPART_ARC
(17,16),3.4629 # DEPENDENCYPART_ARC
(17,18),2.11839 # DEPENDENCYPART_ARC
(17,19),0.463115 # DEPENDENCYPART_ARC
(17,20),-0.311496 # DEPENDENCYPART_ARC
(17,21),0.682408 # DEPENDENCYPART_ARC
(17,22),-0.69183 # DEPENDENCYPART_ARC
(17,23),-0.543417 # DEPENDENCYPART_ARC
(17,24),0.0525577 # DEPENDENCYPART_ARC
(17,25),-0.0566941 # DEPENDENCYPART_ARC
(18,3),-2.08416 # DEPENDENCYPART_ARC
(18,16),-0.358108 # DEPENDENCYPART_ARC
(18,22),-1.73324 # DEPENDENCYPART_ARC
(18,25),-1.37847 # DEPENDENCYPART_ARC
(19,1),-0.661511 # DEPENDENCYPART_ARC
(19,2),-1.0185 # DEPENDENCYPART_ARC
(19,3),-3.72791 # DEPENDENCYPART_ARC
(19,4),-2.25543 # DEPENDENCYPART_ARC
(19,5),-1.18773 # DEPENDENCYPART_ARC
(19,6),-1.17649 # DEPENDENCYPART_ARC
(19,7),-1.9165 # DEPENDENCYPART_ARC
(19,8),-2.2557 # DEPENDENCYPART_ARC
(19,9),-1.62542 # DEPENDENCYPART_ARC
(19,10),-2.25904 # DEPENDENCYPART_ARC
(19,11),-0.879856 # DEPENDENCYPART_ARC
(19,12),-2.09662 # DEPENDENCYPART_ARC
(19,13),-2.37626 # DEPENDENCYPART_ARC
(19,14),0.184038 # DEPENDENCYPART_ARC
(19,15),-1.92754 # DEPENDENCYPART_ARC
(19,16),-1.48255 # DEPENDENCYPART_ARC
(19,17),-0.239789 # DEPENDENCYPART_ARC
(19,18),-0.793375 # DEPENDENCYPART_ARC
(19,20),1.00869 # DEPENDENCYPART_ARC
(19,21),0.132616 # DEPENDENCYPART_ARC
(19,22),-1.86855 # DEPENDENCYPART_ARC
(19,23),-0.579381 # DEPENDENCYPART_ARC
(19,24),0.469888 # DEPENDENCYPART_ARC
(19,25),-0.0415277 # DEPENDENCYPART_ARC
(20,1),-2.32348 # DEPENDENCYPART_ARC
(20,2),-2.33204 # DEPENDENCYPART_ARC
(20,3),-1.76994 # DEPENDENCYPART_ARC
(20,4),-2.58254 # DEPENDENCYPART_ARC
(20,5),-1.51276 # DEPENDENCYPART_ARC
(20,6),-2.2688 # DEPENDENCYPART_ARC
(20,7),-1.56766 # DEPENDENCYPART_ARC
(20,8),-2.19458 # DEPENDENCYPART_ARC
(20,9),-1.37287 # DEPENDENCYPART_ARC
(20,10),-2.40299 # DEPENDENCYPART_ARC
(20,11),-1.11775 # DEPENDENCYPART_ARC
(20,12),-1.94457 # DEPENDENCYPART_ARC
(20,13),-1.57998 # DEPENDENCYPART_ARC
(20,15),-2.10664 # DEPENDENCYPART_ARC
(20,16),-0.655126 # DEPENDENCYPART_ARC
(20,17),-1.24998 # DEPENDENCYPART_ARC
(20,18),-0.425454 # DEPENDENCYPART_ARC
(20,19),-0.0770821 # DEPENDENCYPART_ARC
(20,21),0.411654 # DEPENDENCYPART_ARC
(20,22),-0.576747 # DEPENDENCYPART_ARC
(20,23),-0.791354 # DEPENDENCYPART_ARC
(20,24),-0.878651 # DEPENDENCYPART_ARC
(20,25),-0.658772 # DEPENDENCYPART_ARC
(21,1),0.578387 # DEPENDENCYPART_ARC
(21,2),0.0121534 # DEPENDENCYPART_ARC
(21,3),-2.37596 # DEPENDENCYPART_ARC
(21,4),-0.655023 # DEPENDENCYPART_ARC
(21,5),0.0698044 # DEPENDENCYPART_ARC
(21,6),-0.237095 # DEPENDENCYPART_ARC
(21,7),-0.305887 # DEPENDENCYPART_ARC
(21,8),-0.0825138 # DEPENDENCYPART_ARC
(21,9),-0.0696672 # DEPENDENCYPART_ARC
(21,10),0.368106 # DEPENDENCYPART_ARC
(21,11),0.643405 # DEPENDENCYPART_ARC
(21,12),-0.219741 # DEPENDENCYPART_ARC
(21,13),-0.293809 # DEPENDENCYPART_ARC
(21,14),1.58456 # DEPENDENCYPART_ARC
(21,15),0.130611 # DEPENDENCYPART_ARC
(21,16),0.575404 # DEPENDENCYPART_ARC
(21,17),1.03012 # DEPENDENCYPART_ARC
(21,18),-0.929529 # DEPENDENCYPART_ARC
(21,19),4.03245 # DEPENDENCYPART_ARC
(21,20),2.86787 # DEPENDENCYPART_ARC
(21,22),-0.382463 # DEPENDENCYPART_ARC
(21,23),0.735861 # DEPENDENCYPART_ARC
(21,24),1.58073 # DEPENDENCYPART_ARC
(21,25),0.501259 # DEPENDENCYPART_ARC
(22,3),-2.18752 # DEPENDENCYPART_ARC
(22,4),-3.57707 # DEPENDENCYPART_ARC
(22,5),-2.63476 # DEPENDENCYPART_ARC
(22,6),-2.87691 # DEPENDENCYPART_ARC
(22,7),-2.2587 # DEPENDENCYPART_ARC
(22,8),-2.77263 # DEPENDENCYPART_ARC
(22,10),-3.53187 # DEPENDENCYPART_ARC
(22,11),-2.42244 # DEPENDENCYPART_ARC
(22,12),-2.6267 # DEPENDENCYPART_ARC
(22,15),-3.3247 # DEPENDENCYPART_ARC
(22,17),-2.39247 # DEPENDENCYPART_ARC
(22,18),-1.65066 # DEPENDENCYPART_ARC
(22,19),-2.61536 # DEPENDENCYPART_ARC
(22,21),-1.09532 # DEPENDENCYPART_ARC
(22,24),0.111814 # DEPENDENCYPART_ARC
(22,25),-0.505698 # DEPENDENCYPART_ARC
(23,1),-2.67357 # DEPENDENCYPART_ARC
(23,2),-2.60384 # DEPENDENCYPART_ARC
(23,3),-2.14122 # DEPENDENCYPART_ARC
(23,4),-3.54898 # DEPENDENCYPART_ARC
(23,5),-1.29795 # DEPENDENCYPART_ARC
(23,6),-2.32696 # DEPENDENCYPART_ARC
(23,7),-1.64648 # DEPENDENCYPART_ARC
(23,8),-2.3624 # DEPENDENCYPART_ARC
(23,9),-2.0185 # DEPENDENCYPART_ARC
(23,10),-2.48623 # DEPENDENCYPART_ARC
(23,11),-1.44036 # DEPENDENCYPART_ARC
(23,12),-2.26261 # DEPENDENCYPART_ARC
(23,13),-1.98939 # DEPENDENCYPART_ARC
(23,14),-0.780293 # DEPENDENCYPART_ARC
(23,15),-2.36533 # DEPENDENCYPART_ARC
(23,16),-1.10109 # DEPENDENCYPART_ARC
(23,17),-1.84389 # DEPENDENCYPART_ARC
(23,18),-1.43184 # DEPENDENCYPART_ARC
(23,19),-1.36568 # DEPENDENCYPART_ARC
(23,20),-0.349953 # DEPENDENCYPART_ARC
(23,21),-1.40537 # DEPENDENCYPART_ARC
(23,22),1.12252 # DEPENDENCYPART_ARC
(23,24),1.24107 # DEPENDENCYPART_ARC
(23,25),0.0663791 # DEPENDENCYPART_ARC
(24,1),-2.01129 # DEPENDENCYPART_ARC
(24,2),-2.89579 # DEPENDENCYPART_ARC
(24,3),-2.86666 # DEPENDENCYPART_ARC
(24,4),-1.22975 # DEPENDENCYPART_ARC
(24,5),-1.17388 # DEPENDENCYPART_ARC
(24,6),-1.48199 # DEPENDENCYPART_ARC
(24,7),-1.47213 # DEPENDENCYPART_ARC
(24,8),-1.26529 # DEPENDENCYPART_ARC
(24,9),-1.33989 # DEPENDENCYPART_ARC
(24,10),-2.71293 # DEPENDENCYPART_ARC
(24,11),-1.16619 # DEPENDENCYPART_ARC
(24,12),-1.28535 # DEPENDENCYPART_ARC
(24,13),-1.04508 # DEPENDENCYPART_ARC
