# _root_ Sarà lui che , alla fine degli esami , commenterà e analizzerà per un' ora i risultati e formulerà la diagnosi .
#goldHeads=0,1,10,3,10,5,6,7,8,2,10,10,12,15,13,17,12,10,10,21,19,21,
#predictedHeads=0,1,1,3,1,5,6,7,8,1,10,10,12,15,13,17,12,12,12,21,19,21,
(2,13),-1.1887 # DEPENDENCYPART_ARC
(2,14),-1.06884 # DEPENDENCYPART_ARC
(2,15),-0.430912 # DEPENDENCYPART_ARC
(2,16),-0.365756 # DEPENDENCYPART_ARC
(2,17),-0.238391 # DEPENDENCYPART_ARC
(2,18),0.320542 # DEPENDENCYPART_ARC
(2,19),-0.90948 # DEPENDENCYPART_ARC
(2,20),-1.29054 # DEPENDENCYPART_ARC
(2,21),-0.663023 # DEPENDENCYPART_ARC
(2,22),-0.764216 # DEPENDENCYPART_ARC
(3,1),-1.03266 # DEPENDENCYPART_ARC
(3,2),0.41766 # DEPENDENCYPART_ARC
(3,4),2.49707 # DEPENDENCYPART_ARC
(3,5),-0.970306 # DEPENDENCYPART_ARC
(3,6),0.39786 # DEPENDENCYPART_ARC
(3,7),-0.83873 # DEPENDENCYPART_ARC
(3,8),0.350804 # DEPENDENCYPART_ARC
(3,9),0.590583 # DEPENDENCYPART_ARC
(3,10),-0.722075 # DEPENDENCYPART_ARC
(3,11),0.0178318 # DEPENDENCYPART_ARC
(3,12),-1.36331 # DEPENDENCYPART_ARC
(3,13),-1.51586 # DEPENDENCYPART_ARC
(3,14),-1.12809 # DEPENDENCYPART_ARC
(3,15),-0.749205 # DEPENDENCYPART_ARC
(3,16),-0.818469 # DEPENDENCYPART_ARC
(3,17),-0.643347 # DEPENDENCYPART_ARC
(3,18),0.0412888 # DEPENDENCYPART_ARC
(3,19),-1.4893 # DEPENDENCYPART_ARC
(3,20),-1.36777 # DEPENDENCYPART_ARC
(3,21),-1.03641 # DEPENDENCYPART_ARC
(3,22),-1.27615 # DEPENDENCYPART_ARC
(4,1),-3.13683 # DEPENDENCYPART_ARC
(4,2),-2.20254 # DEPENDENCYPART_ARC
(4,3),-1.30467 # DEPENDENCYPART_ARC
(4,5),-0.996497 # DEPENDENCYPART_ARC
(4,6),-1.13399 # DEPENDENCYPART_ARC
(4,7),-1.72104 # DEPENDENCYPART_ARC
(4,8),-1.72857 # DEPENDENCYPART_ARC
(4,9),-0.653495 # DEPENDENCYPART_ARC
(4,10),-1.68213 # DEPENDENCYPART_ARC
(4,11),-1.91312 # DEPENDENCYPART_ARC
(4,12),-1.92602 # DEPENDENCYPART_ARC
(4,13),-2.39562 # DEPENDENCYPART_ARC
(4,14),-2.17372 # DEPENDENCYPART_ARC
(4,15),-2.35248 # DEPENDENCYPART_ARC
(4,16),-2.24872 # DEPENDENCYPART_ARC
(4,17),-2.4313 # DEPENDENCYPART_ARC
(4,18),-2.09769 # DEPENDENCYPART_ARC
(4,19),-2.31544 # DEPENDENCYPART_ARC
(4,20),-2.36102 # DEPENDENCYPART_ARC
(4,21),-2.5913 # DEPENDENCYPART_ARC
(4,22),-1.65627 # DEPENDENCYPART_ARC
(5,1),-2.36389 # DEPENDENCYPART_ARC
(5,2),-0.979111 # DEPENDENCYPART_ARC
(5,3),-0.953433 # DEPENDENCYPART_ARC
(5,4),0.0387065 # DEPENDENCYPART_ARC
(5,6),4.09146 # DEPENDENCYPART_ARC
(5,7),0.29261 # DEPENDENCYPART_ARC
(5,8),0.22927 # DEPENDENCYPART_ARC
(5,9),-0.0717753 # DEPENDENCYPART_ARC
(5,10),-1.56856 # DEPENDENCYPART_ARC
(5,11),0.300197 # DEPENDENCYPART_ARC
(5,12),-2.08439 # DEPENDENCYPART_ARC
(5,13),-0.88746 # DEPENDENCYPART_ARC
(5,14),-1.57124 # DEPENDENCYPART_ARC
(5,15),-2.99929 # DEPENDENCYPART_ARC
(5,16),-2.23496 # DEPENDENCYPART_ARC
(5,17),-5.42651 # DEPENDENCYPART_ARC
(5,18),-0.230492 # DEPENDENCYPART_ARC
(5,19),-3.41733 # DEPENDENCYPART_ARC
(5,20),-1.76563 # DEPENDENCYPART_ARC
(5,21),-5.7063 # DEPENDENCYPART_ARC
(5,22),-2.12321 # DEPENDENCYPART_ARC
(6,1),-2.23322 # DEPENDENCYPART_ARC
(6,2),-0.982508 # DEPENDENCYPART_ARC
(6,3),-0.880396 # DEPENDENCYPART_ARC
(6,4),-1.67813 # DEPENDENCYPART_ARC
(6,5),0.697817 # DEPENDENCYPART_ARC
(6,7),2.50054 # DEPENDENCYPART_ARC
(6,8),1.30809 # DEPENDENCYPART_ARC
(6,9),0.936821 # DEPENDENCYPART_ARC
(6,10),-0.301963 # DEPENDENCYPART_ARC
(6,11),0.391198 # DEPENDENCYPART_ARC
(6,12),-1.67662 # DEPENDENCYPART_ARC
(6,13),0.0173439 # DEPENDENCYPART_ARC
(6,14),-0.131448 # DEPENDENCYPART_ARC
(6,15),-0.247809 # DEPENDENCYPART_ARC
(6,16),-0.794128 # DEPENDENCYPART_ARC
(6,17),-0.904547 # DEPENDENCYPART_ARC
(6,18),-0.108274 # DEPENDENCYPART_ARC
(6,19),-3.06188 # DEPENDENCYPART_ARC
(6,20),-0.285072 # DEPENDENCYPART_ARC
(6,21),-0.613717 # DEPENDENCYPART_ARC
(6,22),-1.85033 # DEPENDENCYPART_ARC
(7,1),-2.8016 # DEPENDENCYPART_ARC
(7,2),-1.82002 # DEPENDENCYPART_ARC
(7,3),-1.47598 # DEPENDENCYPART_ARC
(7,4),-0.984811 # DEPENDENCYPART_ARC
(7,5),-0.552908 # DEPENDENCYPART_ARC
(7,6),-1.08173 # DEPENDENCYPART_ARC
(7,8),4.8426 # DEPENDENCYPART_ARC
(7,9),0.243267 # DEPENDENCYPART_ARC
(7,10),-0.647923 # DEPENDENCYPART_ARC
(7,11),-0.184115 # DEPENDENCYPART_ARC
(7,12),-1.10341 # DEPENDENCYPART_ARC
(7,13),-1.1025 # DEPENDENCYPART_ARC
(7,14),-2.14946 # DEPENDENCYPART_ARC
(7,15),-3.176 # DEPENDENCYPART_ARC
(7,16),-1.35004 # DEPENDENCYPART_ARC
(7,17),-2.99585 # DEPENDENCYPART_ARC
(7,18),-0.979579 # DEPENDENCYPART_ARC
(7,19),-2.78917 # DEPENDENCYPART_ARC
(7,20),-2.34109 # DEPENDENCYPART_ARC
(7,21),-5.78229 # DEPENDENCYPART_ARC
(7,22),-1.89025 # DEPENDENCYPART_ARC
(8,1),-3.36121 # DEPENDENCYPART_ARC
(8,2),-1.89506 # DEPENDENCYPART_ARC
(8,3),-1.47887 # DEPENDENCYPART_ARC
(8,4),-2.49611 # DEPENDENCYPART_ARC
(8,5),-0.862157 # DEPENDENCYPART_ARC
(8,6),-1.30921 # DEPENDENCYPART_ARC
(8,7),0.966781 # DEPENDENCYPART_ARC
(8,9),2.02849 # DEPENDENCYPART_ARC
(8,10),-1.03841 # DEPENDENCYPART_ARC
(8,11),-0.140123 # DEPENDENCYPART_ARC
(8,12),-2.54465 # DEPENDENCYPART_ARC
(8,13),-0.67785 # DEPENDENCYPART_ARC
(8,14),-1.26057 # DEPENDENCYPART_ARC
(8,15),-1.41667 # DEPENDENCYPART_ARC
(8,16),-0.743355 # DEPENDENCYPART_ARC
(8,17),-0.852883 # DEPENDENCYPART_ARC
(8,18),-0.700767 # DEPENDENCYPART_ARC
(8,19),-3.86621 # DEPENDENCYPART_ARC
(8,20),-1.55009 # DEPENDENCYPART_ARC
(8,21),-1.58507 # DEPENDENCYPART_ARC
(8,22),-1.71809 # DEPENDENCYPART_ARC
(9,1),-2.96283 # DEPENDENCYPART_ARC
(9,2),-2.2117 # DEPENDENCYPART_ARC
(9,3),-2.19752 # DEPENDENCYPART_ARC
(9,4),-2.12673 # DEPENDENCYPART_ARC
(9,5),-1.69836 # DEPENDENCYPART_ARC
(9,6),-1.94877 # DEPENDENCYPART_ARC
(9,7),-1.20126 # DEPENDENCYPART_ARC
(9,8),-0.920614 # DEPENDENCYPART_ARC
(9,10),-0.900786 # DEPENDENCYPART_ARC
(9,11),-2.2137 # DEPENDENCYPART_ARC
(9,12),-2.00595 # DEPENDENCYPART_ARC
(9,13),-2.51909 # DEPENDENCYPART_ARC
(9,14),-2.52093 # DEPENDENCYPART_ARC
(9,15),-2.68729 # DEPENDENCYPART_ARC
(9,16),-2.58157 # DEPENDENCYPART_ARC
(9,17),-2.78488 # DEPENDENCYPART_ARC
(9,18),-2.54916 # DEPENDENCYPART_ARC
(9,19),-2.54631 # DEPENDENCYPART_ARC
(9,20),-2.75536 # DEPENDENCYPART_ARC
(9,21),-2.98991 # DEPENDENCYPART_ARC
(9,22),-1.90898 # DEPENDENCYPART_ARC
(10,1),-0.839604 # DEPENDENCYPART_ARC
(10,2),-0.13483 # DEPENDENCYPART_ARC
(10,3),1.28169 # DEPENDENCYPART_ARC
(10,4),-1.90379 # DEPENDENCYPART_ARC
(10,5),0.614331 # DEPENDENCYPART_ARC
(10,6),0.479612 # DEPENDENCYPART_ARC
(10,7),-0.0758153 # DEPENDENCYPART_ARC
(10,8),-0.529377 # DEPENDENCYPART_ARC
(10,9),-0.105198 # DEPENDENCYPART_ARC
(10,11),2.43072 # DEPENDENCYPART_ARC
(10,12),2.30304 # DEPENDENCYPART_ARC
(10,13),1.38819 # DEPENDENCYPART_ARC
(10,14),-1.31115 # DEPENDENCYPART_ARC
(10,15),0.783087 # DEPENDENCYPART_ARC
(10,16),-1.13958 # DEPENDENCYPART_ARC
(10,17),-0.0145234 # DEPENDENCYPART_ARC
(10,18),1.37902 # DEPENDENCYPART_ARC
(10,19),1.14141 # DEPENDENCYPART_ARC
(10,20),-1.77999 # DEPENDENCYPART_ARC
(10,21),-0.298801 # DEPENDENCYPART_ARC
(10,22),-0.619371 # DEPENDENCYPART_ARC
(11,1),-2.92624 # DEPENDENCYPART_ARC
(11,2),-1.4127 # DEPENDENCYPART_ARC
(11,3),-1.65433 # DEPENDENCYPART_ARC
(11,4),-2.12422 # DEPENDENCYPART_ARC
(11,5),-1.9223 # DEPENDENCYPART_ARC
(11,6),-2.42074 # DEPENDENCYPART_ARC
(11,7),-1.6438 # DEPENDENCYPART_ARC
(11,8),-1.83119 # DEPENDENCYPART_ARC
(11,9),-1.22073 # DEPENDENCYPART_ARC
(11,10),-0.713536 # DEPENDENCYPART_ARC
(11,12),0.258385 # DEPENDENCYPART_ARC
(11,13),-1.59534 # DEPENDENCYPART_ARC
(11,14),-1.62989 # DEPENDENCYPART_ARC
(11,15),-1.45563 # DEPENDENCYPART_ARC
(11,16),-1.89264 # DEPENDENCYPART_ARC
(11,17),-1.50613 # DEPENDENCYPART_ARC
(11,18),-0.976866 # DEPENDENCYPART_ARC
(11,19),-1.95721 # DEPENDENCYPART_ARC
(11,20),-2.1364 # DEPENDENCYPART_ARC
(11,21),-1.58718 # DEPENDENCYPART_ARC
(11,22),-1.50487 # DEPENDENCYPART_ARC
(12,1),-2.42706 # DEPENDENCYPART_ARC
(12,2),-0.320734 # DEPENDENCYPART_ARC
(12,3),0.736444 # DEPENDENCYPART_ARC
(12,4),-2.70152 # DEPENDENCYPART_ARC
(12,5),-0.290414 # DEPENDENCYPART_ARC
(12,6),-0.186909 # DEPENDENCYPART_ARC
(12,7),-1.1237 # DEPENDENCYPART_ARC
(12,8),-1.10666 # DEPENDENCYPART_ARC
(12,9),-2.04271 # DEPENDENCYPART_ARC
(12,10),0.168679 # DEPENDENCYPART_ARC
(12,11),0.834011 # DEPENDENCYPART_ARC
(12,13),2.70617 # DEPENDENCYPART_ARC
(12,14),-0.744175 # DEPENDENCYPART_ARC
(12,15),1.72706 # DEPENDENCYPART_ARC
(12,16),-0.907324 # DEPENDENCYPART_ARC
(12,17),1.15423 # DEPENDENCYPART_ARC
(12,18),1.4828 # DEPENDENCYPART_ARC
(12,19),1.41972 # DEPENDENCYPART_ARC
(12,20),-1.77513 # DEPENDENCYPART_ARC
(12,21),-0.311188 # DEPENDENCYPART_ARC
(12,22),-0.625743 # DEPENDENCYPART_ARC
(13,1),-2.48378 # DEPENDENCYPART_ARC
(13,2),-2 # DEPENDENCYPART_ARC
(13,3),-1.85698 # DEPENDENCYPART_ARC
(13,4),-2.10315 # DEPENDENCYPART_ARC
(13,5),-1.34715 # DEPENDENCYPART_ARC
(13,6),-1.96614 # DEPENDENCYPART_ARC
(13,7),-1.31333 # DEPENDENCYPART_ARC
(13,8),-1.76097 # DEPENDENCYPART_ARC
(13,9),-1.79303 # DEPENDENCYPART_ARC
(13,10),-1.78485 # DEPENDENCYPART_ARC
(13,11),-0.540045 # DEPENDENCYPART_ARC
(13,12),-0.229158 # DEPENDENCYPART_ARC
(13,14),1.20908 # DEPENDENCYPART_ARC
(13,15),3.58483 # DEPENDENCYPART_ARC
(13,16),0.0955877 # DEPENDENCYPART_ARC
(13,17),0.926841 # DEPENDENCYPART_ARC
(13,18),0.739803 # DEPENDENCYPART_ARC
(13,19),0.288503 # DEPENDENCYPART_ARC
(13,20),-0.244365 # DEPENDENCYPART_ARC
(13,21),-1.69179 # DEPENDENCYPART_ARC
(13,22),-0.379332 # DEPENDENCYPART_ARC
(14,1),-3.78942 # DEPENDENCYPART_ARC
(14,2),-2.83258 # DEPENDENCYPART_ARC
(14,3),-3.04623 # DEPENDENCYPART_ARC
(14,4),-2.86021 # DEPENDENCYPART_ARC
(14,5),-3.24339 # DEPENDENCYPART_ARC
(14,6),-3.29088 # DEPENDENCYPART_ARC
(14,7),-3.05853 # DEPENDENCYPART_ARC
(14,8),-3.59989 # DEPENDENCYPART_ARC
(14,9),-2.66832 # DEPENDENCYPART_ARC
(14,10),-3.47207 # DEPENDENCYPART_ARC
(14,11),-2.42458 # DEPENDENCYPART_ARC
(14,12),-2.43024 # DEPENDENCYPART_ARC
(14,13),-0.894938 # DEPENDENCYPART_ARC
(14,15),0.994159 # DEPENDENCYPART_ARC
(14,16),-1.11467 # DEPENDENCYPART_ARC
(14,17),-0.609868 # DEPENDENCYPART_ARC
(14,18),-0.476853 # DEPENDENCYPART_ARC
(14,19),-0.782893 # DEPENDENCYPART_ARC
(14,20),-1.44539 # DEPENDENCYPART_ARC
(14,21),-0.742726 # DEPENDENCYPART_ARC
(14,22),-0.851821 # DEPENDENCYPART_ARC
(15,1),-1.83996 # DEPENDENCYPART_ARC
(15,2),-0.942605 # DEPENDENCYPART_ARC
(15,3),-1.46924 # DEPENDENCYPART_ARC
(15,4),-2.92381 # DEPENDENCYPART_ARC
(15,5),-1.17075 # DEPENDENCYPART_ARC
(15,6),-2.59356 # DEPENDENCYPART_ARC
(15,7),-1.19579 # DEPENDENCYPART_ARC
(15,8),-2.42658 # DEPENDENCYPART_ARC
(15,9),-2.46297 # DEPENDENCYPART_ARC
(15,10),-1.13381 # DEPENDENCYPART_ARC
(15,11),-0.646751 # DEPENDENCYPART_ARC
(15,12),-1.02786 # DEPENDENCYPART_ARC
(15,13),0.676974 # DEPENDENCYPART_ARC
(15,14),3.32547 # DEPENDENCYPART_ARC
(15,16),0.186611 # DEPENDENCYPART_ARC
(15,17),0.548074 # DEPENDENCYPART_ARC
(15,18),0.500709 # DEPENDENCYPART_ARC
(15,19),-0.693242 # DEPENDENCYPART_ARC
(15,20),-0.498738 # DEPENDENCYPART_ARC
(15,21),0.0447811 # DEPENDENCYPART_ARC
(15,22),-0.396871 # DEPENDENCYPART_ARC
(16,1),-3.67809 # DEPENDENCYPART_ARC
(16,2),-2.87217 # DEPENDENCYPART_ARC
(16,3),-2.36315 # DEPENDENCYPART_ARC
(16,4),-2.08246 # DEPENDENCYPART_ARC
(16,5),-2.79199 # DEPENDENCYPART_ARC
(16,6),-3.27911 # DEPENDENCYPART_ARC
(16,7),-2.29282 # DEPENDENCYPART_ARC
(16,8),-2.32161 # DEPENDENCYPART_ARC
(16,9),-1.98552 # DEPENDENCYPART_ARC
(16,10),-3.42459 # DEPENDENCYPART_ARC
(16,11),-2.09866 # DEPENDENCYPART_ARC
(16,12),-3.15232 # DEPENDENCYPART_ARC
(16,13),-1.25994 # DEPENDENCYPART_ARC
(16,14),-1.20203 # DEPENDENCYPART_ARC
(16,15),-1.39279 # DEPENDENCYPART_ARC
(16,17),0.519866 # DEPENDENCYPART_ARC
(16,18),-0.687765 # DEPENDENCYPART_ARC
(16,19),-0.941315 # DEPENDENCYPART_ARC
(16,20),-1.91679 # DEPENDENCYPART_ARC
(16,21),-1.61011 # DEPENDENCYPART_ARC
(16,22),-1.13099 # DEPENDENCYPART_ARC
(17,1),-2.43213 # DEPENDENCYPART_ARC
(17,2),-1.54876 # DEPENDENCYPART_ARC
(17,3),-1.70895 # DEPENDENCYPART_ARC
(17,4),-2.54195 # DEPENDENCYPART_ARC
(17,5),-1.17556 # DEPENDENCYPART_ARC
(17,6),-2.56215 # DEPENDENCYPART_ARC
(17,7),-0.361003 # DEPENDENCYPART_ARC
(17,8),-0.585097 # DEPENDENCYPART_ARC
(17,9),-2.31442 # DEPENDENCYPART_ARC
(17,10),-2.00222 # DEPENDENCYPART_ARC
(17,11),-0.529527 # DEPENDENCYPART_ARC
(17,12),-2.13566 # DEPENDENCYPART_ARC
(17,13),0.701866 # DEPENDENCYPART_ARC
(17,14),0.3296 # DEPENDENCYPART_ARC
(17,15),-0.736766 # DEPENDENCYPART_ARC
(17,16),4.56686 # DEPENDENCYPART_ARC
(17,18),0.94205 # DEPENDENCYPART_ARC
(17,19),-0.361981 # DEPENDENCYPART_ARC
(17,20),-0.294183 # DEPENDENCYPART_ARC
(17,21),0.537474 # DEPENDENCYPART_ARC
(17,22),-0.28843 # DEPENDENCYPART_ARC
(18,1),-2.89836 # DEPENDENCYPART_ARC
(18,2),-1.5824 # DEPENDENCYPART_ARC
(18,3),-1.79785 # DEPENDENCYPART_ARC
(18,4),-2.35802 # DEPENDENCYPART_ARC
(18,5),-2.12086 # DEPENDENCYPART_ARC
(18,6),-2.96668 # DEPENDENCYPART_ARC
(18,7),-2.1906 # DEPENDENCYPART_ARC
(18,8),-2.77866 # DEPENDENCYPART_ARC
(18,9),-2.1906 # DEPENDENCYPART_ARC
(18,10),-2.79171 # DEPENDENCYPART_ARC
(18,11),-1.58294 # DEPENDENCYPART_ARC
(18,12),-2.5915 # DEPENDENCYPART_ARC
(18,13),-1.63753 # DEPENDENCYPART_ARC
(18,14),-1.48354 # DEPENDENCYPART_ARC
(18,15),-1.80652 # DEPENDENCYPART_ARC
(18,16),-0.718214 # DEPENDENCYPART_ARC
(18,17),-0.718075 # DEPENDENCYPART_ARC
(18,19),0.259359 # DEPENDENCYPART_ARC
(18,20),-1.5572 # DEPENDENCYPART_ARC
(18,21),-1.10041 # DEPENDENCYPART_ARC
(18,22),-1.07679 # DEPENDENCYPART_ARC
(19,1),-3.26924 # DEPENDENCYPART_ARC
(19,2),-1.87788 # DEPENDENCYPART_ARC
(19,3),-0.80031 # DEPENDENCYPART_ARC
(19,4),-3.40164 # DEPENDENCYPART_ARC
(19,5),-1.31904 # DEPENDENCYPART_ARC
(19,6),-1.36411 # DEPENDENCYPART_ARC
(19,7),-2.22503 # DEPENDENCYPART_ARC
(19,8),-2.82563 # DEPENDENCYPART_ARC
(19,9),-3.24395 # DEPENDENCYPART_ARC
(19,10),-2.77759 # DEPENDENCYPART_ARC
(19,11),-1.26594 # DEPENDENCYPART_ARC
(19,12),-1.69924 # DEPENDENCYPART_ARC
(19,13),-0.482623 # DEPENDENCYPART_ARC
(19,14),-1.43379 # DEPENDENCYPART_ARC
(19,15),0.0165032 # DEPENDENCYPART_ARC
(19,16),-1.02362 # DEPENDENCYPART_ARC
(19,17),-0.737062 # DEPENDENCYPART_ARC
(19,18),0.284764 # DEPENDENCYPART_ARC
(19,20),-0.0212516 # DEPENDENCYPART_ARC
(19,21),2.72852 # DEPENDENCYPART_ARC
(19,22),0.102118 # DEPENDENCYPART_ARC
(20,1),-3.14369 # DEPENDENCYPART_ARC
(20,2),-2.21663 # DEPENDENCYPART_ARC
(20,3),-2.34865 # DEPENDENCYPART_ARC
(20,4),-2.25409 # DEPENDENCYPART_ARC
(20,5),-2.8996 # DEPENDENCYPART_ARC
(20,6),-2.77561 # DEPENDENCYPART_ARC
(20,7),-2.68571 # DEPENDENCYPART_ARC
(20,8),-3.0685 # DEPENDENCYPART_ARC
(20,9),-2.29433 # DEPENDENCYPART_ARC
(20,10),-3.0318 # DEPENDENCYPART_ARC
(20,11),-2.19027 # DEPENDENCYPART_ARC
(20,12),-2.99129 # DEPENDENCYPART_ARC
(20,13),-2.01864 # DEPENDENCYPART_ARC
(20,14),-1.77325 # DEPENDENCYPART_ARC
(20,15),-2.25436 # DEPENDENCYPART_ARC
(20,16),-1.99028 # DEPENDENCYPART_ARC
(20,17),-2.20806 # DEPENDENCYPART_ARC
(20,18),-1.41164 # DEPENDENCYPART_ARC
(20,19),-0.775402 # DEPENDENCYPART_ARC
(20,21),1.31636 # DEPENDENCYPART_ARC
(20,22),-0.149186 # DEPENDENCYPART_ARC
(21,1),-2.04189 # DEPENDENCYPART_ARC
(21,2),-1.13588 # DEPENDENCYPART_ARC
(21,3),-1.92791 # DEPENDENCYPART_ARC
(21,4),-3.39337 # DEPENDENCYPART_ARC
(21,5),-1.72927 # DEPENDENCYPART_ARC
(21,6),-2.89524 # DEPENDENCYPART_ARC
(21,7),-1.7533 # DEPENDENCYPART_ARC
(21,8),-2.88374 # DEPENDENCYPART_ARC
(21,9),-3.09486 # DEPENDENCYPART_ARC
(21,10),-1.82662 # DEPENDENCYPART_ARC
(21,11),-1.20915 # DEPENDENCYPART_ARC
(21,12),-1.92334 # DEPENDENCYPART_ARC
(21,13),-0.852848 # DEPENDENCYPART_ARC
(21,14),-0.999808 # DEPENDENCYPART_ARC
(21,15),-2.50829 # DEPENDENCYPART_ARC
(21,16),-0.8759 # DEPENDENCYPART_ARC
(21,17),-2.00234 # DEPENDENCYPART_ARC
(21,18),-0.765313 # DEPENDENCYPART_ARC
(21,19),-0.345569 # DEPENDENCYPART_ARC
(21,20),3.08997 # DEPENDENCYPART_ARC
(21,22),2.54413 # DEPENDENCYPART_ARC
(22,1),-3.1843 # DEPENDENCYPART_ARC
(22,2),-2.56525 # DEPENDENCYPART_ARC
(22,3),-2.50303 # DEPENDENCYPART_ARC
(22,4),-2.5456 # DEPENDENCYPART_ARC
(22,5),-2.33043 # DEPENDENCYPART_ARC
(22,6),-2.86499 # DEPENDENCYPART_ARC
(22,7),-2.35054 # DEPENDENCYPART_ARC
(22,8),-2.9504 # DEPENDENCYPART_ARC
(22,9),-2.39139 # DEPENDENCYPART_ARC
(22,10),-2.94893 # DEPENDENCYPART_ARC
(22,11),-2.23202 # DEPENDENCYPART_ARC
(22,12),-2.96894 # DEPENDENCYPART_ARC
(22,13),-2.07151 # DEPENDENCYPART_ARC
(22,14),-2.14935 # DEPENDENCYPART_ARC
(22,15),-2.53458 # DEPENDENCYPART_ARC
(22,16),-2.01231 # DEPENDENCYPART_ARC
(22,17),-2.38626 # DEPENDENCYPART_ARC
(22,18),-1.92059 # DEPENDENCYPART_ARC
(22,19),-2.21246 # DEPENDENCYPART_ARC
(22,20),-0.790222 # DEPENDENCYPART_ARC
(22,21),-0.861767 # DEPENDENCYPART_ARC
