# _root_ Ma la Rai , grazie_a una diretta telefonica , permette ai due coniugi di essere vicini nel momento più bello .
#goldHeads=10,3,10,3,10,7,5,7,8,0,10,13,11,10,14,15,15,17,20,18,20,
#predictedHeads=10,3,10,3,10,7,5,7,8,0,10,13,11,13,14,15,15,17,20,18,20,
(8,5),0.146308 # DEPENDENCYPART_ARC
(8,6),0.399718 # DEPENDENCYPART_ARC
(8,7),0.526628 # DEPENDENCYPART_ARC
(8,9),2.10461 # DEPENDENCYPART_ARC
(8,10),-0.621012 # DEPENDENCYPART_ARC
(8,11),-0.0450544 # DEPENDENCYPART_ARC
(8,12),-0.650662 # DEPENDENCYPART_ARC
(8,13),-0.63723 # DEPENDENCYPART_ARC
(8,14),-0.553725 # DEPENDENCYPART_ARC
(8,15),-1.92619 # DEPENDENCYPART_ARC
(8,16),-1.76327 # DEPENDENCYPART_ARC
(8,17),-1.0825 # DEPENDENCYPART_ARC
(8,18),-1.08877 # DEPENDENCYPART_ARC
(8,19),-1.14332 # DEPENDENCYPART_ARC
(8,20),-1.65062 # DEPENDENCYPART_ARC
(8,21),-0.588676 # DEPENDENCYPART_ARC
(9,2),-1.43968 # DEPENDENCYPART_ARC
(9,4),-1.51985 # DEPENDENCYPART_ARC
(9,6),-0.744048 # DEPENDENCYPART_ARC
(9,21),-1.41518 # DEPENDENCYPART_ARC
(10,1),0.554589 # DEPENDENCYPART_ARC
(10,2),-0.826568 # DEPENDENCYPART_ARC
(10,3),0.585998 # DEPENDENCYPART_ARC
(10,4),-1.79353 # DEPENDENCYPART_ARC
(10,5),0.603159 # DEPENDENCYPART_ARC
(10,6),-0.391303 # DEPENDENCYPART_ARC
(10,7),1.5199 # DEPENDENCYPART_ARC
(10,8),0.489693 # DEPENDENCYPART_ARC
(10,9),0.303829 # DEPENDENCYPART_ARC
(10,11),2.79725 # DEPENDENCYPART_ARC
(10,12),0.760651 # DEPENDENCYPART_ARC
(10,13),1.63556 # DEPENDENCYPART_ARC
(10,14),1.41374 # DEPENDENCYPART_ARC
(10,15),0.634693 # DEPENDENCYPART_ARC
(10,16),-0.00250362 # DEPENDENCYPART_ARC
(10,17),1.23816 # DEPENDENCYPART_ARC
(10,18),-0.329967 # DEPENDENCYPART_ARC
(10,19),-0.659344 # DEPENDENCYPART_ARC
(10,20),-0.279749 # DEPENDENCYPART_ARC
(10,21),-0.570751 # DEPENDENCYPART_ARC
(11,1),-1.45031 # DEPENDENCYPART_ARC
(11,2),-2.20238 # DEPENDENCYPART_ARC
(11,3),-2.93448 # DEPENDENCYPART_ARC
(11,4),-1.74054 # DEPENDENCYPART_ARC
(11,5),-1.39361 # DEPENDENCYPART_ARC
(11,6),-1.88985 # DEPENDENCYPART_ARC
(11,7),-2.69678 # DEPENDENCYPART_ARC
(11,8),-2.06921 # DEPENDENCYPART_ARC
(11,9),-0.787806 # DEPENDENCYPART_ARC
(11,10),-1.14879 # DEPENDENCYPART_ARC
(11,12),1.43816 # DEPENDENCYPART_ARC
(11,13),3.19653 # DEPENDENCYPART_ARC
(11,14),0.0760812 # DEPENDENCYPART_ARC
(11,15),0.698819 # DEPENDENCYPART_ARC
(11,16),-0.161878 # DEPENDENCYPART_ARC
(11,17),-0.0729283 # DEPENDENCYPART_ARC
(11,18),-1.39444 # DEPENDENCYPART_ARC
(11,19),-0.852131 # DEPENDENCYPART_ARC
(11,20),-1.47419 # DEPENDENCYPART_ARC
(11,21),-0.512486 # DEPENDENCYPART_ARC
(12,1),-2.29431 # DEPENDENCYPART_ARC
(12,2),-1.84343 # DEPENDENCYPART_ARC
(12,4),-2.27921 # DEPENDENCYPART_ARC
(12,5),-2.15121 # DEPENDENCYPART_ARC
(12,6),-1.68649 # DEPENDENCYPART_ARC
(12,7),-2.41237 # DEPENDENCYPART_ARC
(12,8),-1.82478 # DEPENDENCYPART_ARC
(12,9),-1.63124 # DEPENDENCYPART_ARC
(12,10),-1.46037 # DEPENDENCYPART_ARC
(12,11),-0.107849 # DEPENDENCYPART_ARC
(12,13),1.1286 # DEPENDENCYPART_ARC
(12,14),-0.105997 # DEPENDENCYPART_ARC
(12,15),-0.7889 # DEPENDENCYPART_ARC
(12,16),-1.04923 # DEPENDENCYPART_ARC
(12,17),-1.09357 # DEPENDENCYPART_ARC
(12,18),-1.06067 # DEPENDENCYPART_ARC
(12,19),-1.19002 # DEPENDENCYPART_ARC
(12,20),-1.31266 # DEPENDENCYPART_ARC
(12,21),-1.12992 # DEPENDENCYPART_ARC
(13,1),-1.36244 # DEPENDENCYPART_ARC
(13,2),-2.38039 # DEPENDENCYPART_ARC
(13,3),-1.11777 # DEPENDENCYPART_ARC
(13,4),-2.25438 # DEPENDENCYPART_ARC
(13,5),-0.630788 # DEPENDENCYPART_ARC
(13,6),-1.15567 # DEPENDENCYPART_ARC
(13,7),-2.29777 # DEPENDENCYPART_ARC
(13,8),-1.2191 # DEPENDENCYPART_ARC
(13,9),-1.52443 # DEPENDENCYPART_ARC
(13,10),-2.47275 # DEPENDENCYPART_ARC
(13,11),0.818302 # DEPENDENCYPART_ARC
(13,12),2.86082 # DEPENDENCYPART_ARC
(13,14),1.73999 # DEPENDENCYPART_ARC
(13,15),1.3823 # DEPENDENCYPART_ARC
(13,16),0.720398 # DEPENDENCYPART_ARC
(13,17),0.536079 # DEPENDENCYPART_ARC
(13,18),0.165692 # DEPENDENCYPART_ARC
(13,19),-0.409553 # DEPENDENCYPART_ARC
(13,20),-1.01235 # DEPENDENCYPART_ARC
(13,21),-0.549752 # DEPENDENCYPART_ARC
(14,1),-1.76779 # DEPENDENCYPART_ARC
(14,2),-2.33928 # DEPENDENCYPART_ARC
(14,3),-2.68991 # DEPENDENCYPART_ARC
(14,4),-2.43972 # DEPENDENCYPART_ARC
(14,5),-1.94523 # DEPENDENCYPART_ARC
(14,6),-2.25281 # DEPENDENCYPART_ARC
(14,7),-2.42667 # DEPENDENCYPART_ARC
(14,8),-2.56117 # DEPENDENCYPART_ARC
(14,9),-2.18979 # DEPENDENCYPART_ARC
(14,10),-2.56262 # DEPENDENCYPART_ARC
(14,11),-1.03028 # DEPENDENCYPART_ARC
(14,12),-1.31671 # DEPENDENCYPART_ARC
(14,13),-0.58618 # DEPENDENCYPART_ARC
(14,15),2.88526 # DEPENDENCYPART_ARC
(14,16),0.429695 # DEPENDENCYPART_ARC
(14,17),-0.565652 # DEPENDENCYPART_ARC
(14,18),-0.0283021 # DEPENDENCYPART_ARC
(14,19),-1.03021 # DEPENDENCYPART_ARC
(14,20),-0.843792 # DEPENDENCYPART_ARC
(14,21),-0.986005 # DEPENDENCYPART_ARC
(15,1),-1.15746 # DEPENDENCYPART_ARC
(15,2),-1.81635 # DEPENDENCYPART_ARC
(15,3),-1.10068 # DEPENDENCYPART_ARC
(15,4),-3.72287 # DEPENDENCYPART_ARC
(15,5),-1.26621 # DEPENDENCYPART_ARC
(15,6),-1.58749 # DEPENDENCYPART_ARC
(15,7),-1.24283 # DEPENDENCYPART_ARC
(15,8),-1.7277 # DEPENDENCYPART_ARC
(15,9),-3.19276 # DEPENDENCYPART_ARC
(15,10),-1.48829 # DEPENDENCYPART_ARC
(15,11),-0.549593 # DEPENDENCYPART_ARC
(15,12),-0.924573 # DEPENDENCYPART_ARC
(15,13),-0.561598 # DEPENDENCYPART_ARC
(15,14),-0.194861 # DEPENDENCYPART_ARC
(15,16),2.38872 # DEPENDENCYPART_ARC
(15,17),1.93124 # DEPENDENCYPART_ARC
(15,18),0.761853 # DEPENDENCYPART_ARC
(15,19),-0.0279067 # DEPENDENCYPART_ARC
(15,20),0.376371 # DEPENDENCYPART_ARC
(15,21),-0.805387 # DEPENDENCYPART_ARC
(16,1),-1.33835 # DEPENDENCYPART_ARC
(16,2),-1.37939 # DEPENDENCYPART_ARC
(16,3),-1.85662 # DEPENDENCYPART_ARC
(16,4),-1.28411 # DEPENDENCYPART_ARC
(16,5),-0.581113 # DEPENDENCYPART_ARC
(16,6),-1.15855 # DEPENDENCYPART_ARC
(16,7),-2.05571 # DEPENDENCYPART_ARC
(16,8),-1.53524 # DEPENDENCYPART_ARC
(16,9),-1.08735 # DEPENDENCYPART_ARC
(16,10),-2.1361 # DEPENDENCYPART_ARC
(16,11),0.0691832 # DEPENDENCYPART_ARC
(16,12),-0.175372 # DEPENDENCYPART_ARC
(16,13),-0.494809 # DEPENDENCYPART_ARC
(16,14),1.00827 # DEPENDENCYPART_ARC
(16,15),0.883336 # DEPENDENCYPART_ARC
(16,17),1.6778 # DEPENDENCYPART_ARC
(16,18),0.275639 # DEPENDENCYPART_ARC
(16,19),-0.325051 # DEPENDENCYPART_ARC
(16,20),-0.355025 # DEPENDENCYPART_ARC
(16,21),-0.194276 # DEPENDENCYPART_ARC
(17,1),-1.5234 # DEPENDENCYPART_ARC
(17,2),-1.78822 # DEPENDENCYPART_ARC
(17,3),-2.8607 # DEPENDENCYPART_ARC
(17,4),-1.64748 # DEPENDENCYPART_ARC
(17,5),-1.55745 # DEPENDENCYPART_ARC
(17,6),-1.77424 # DEPENDENCYPART_ARC
(17,7),-2.7268 # DEPENDENCYPART_ARC
(17,8),-2.25909 # DEPENDENCYPART_ARC
(17,9),-1.63071 # DEPENDENCYPART_ARC
(17,10),-2.56916 # DEPENDENCYPART_ARC
(17,11),-1.48942 # DEPENDENCYPART_ARC
(17,12),-1.48312 # DEPENDENCYPART_ARC
(17,13),-2.12363 # DEPENDENCYPART_ARC
(17,14),-0.570479 # DEPENDENCYPART_ARC
(17,15),-0.977407 # DEPENDENCYPART_ARC
(17,16),-0.0578568 # DEPENDENCYPART_ARC
(17,18),3.3978 # DEPENDENCYPART_ARC
(17,19),0.0513857 # DEPENDENCYPART_ARC
(17,20),-0.69687 # DEPENDENCYPART_ARC
(17,21),-0.318374 # DEPENDENCYPART_ARC
(18,1),-2.88666 # DEPENDENCYPART_ARC
(18,2),-3.52086 # DEPENDENCYPART_ARC
(18,3),-3.58756 # DEPENDENCYPART_ARC
(18,4),-3.55368 # DEPENDENCYPART_ARC
(18,5),-2.29744 # DEPENDENCYPART_ARC
(18,6),-2.48695 # DEPENDENCYPART_ARC
(18,7),-3.90742 # DEPENDENCYPART_ARC
(18,8),-2.38707 # DEPENDENCYPART_ARC
(18,9),-3.18868 # DEPENDENCYPART_ARC
(18,10),-2.54015 # DEPENDENCYPART_ARC
(18,11),-1.85571 # DEPENDENCYPART_ARC
(18,12),-1.51519 # DEPENDENCYPART_ARC
(18,13),-2.11995 # DEPENDENCYPART_ARC
(18,14),-1.30952 # DEPENDENCYPART_ARC
(18,15),-1.8184 # DEPENDENCYPART_ARC
(18,16),0.330321 # DEPENDENCYPART_ARC
(18,17),0.739225 # DEPENDENCYPART_ARC
(18,19),0.525642 # DEPENDENCYPART_ARC
(18,20),2.06339 # DEPENDENCYPART_ARC
(18,21),0.120738 # DEPENDENCYPART_ARC
(19,1),-1.63979 # DEPENDENCYPART_ARC
(19,2),-1.49031 # DEPENDENCYPART_ARC
(19,3),-2.71089 # DEPENDENCYPART_ARC
(19,4),-2.01328 # DEPENDENCYPART_ARC
(19,5),-1.6092 # DEPENDENCYPART_ARC
(19,6),-1.47333 # DEPENDENCYPART_ARC
(19,7),-2.48351 # DEPENDENCYPART_ARC
(19,8),-2.12474 # DEPENDENCYPART_ARC
(19,9),-1.8594 # DEPENDENCYPART_ARC
(19,10),-2.59873 # DEPENDENCYPART_ARC
(19,11),-1.45393 # DEPENDENCYPART_ARC
(19,12),-1.68856 # DEPENDENCYPART_ARC
(19,13),-2.26344 # DEPENDENCYPART_ARC
(19,14),-1.04806 # DEPENDENCYPART_ARC
(19,15),-2.16869 # DEPENDENCYPART_ARC
(19,16),-1.20915 # DEPENDENCYPART_ARC
(19,17),-0.369121 # DEPENDENCYPART_ARC
(19,18),-0.433026 # DEPENDENCYPART_ARC
(19,20),0.244278 # DEPENDENCYPART_ARC
(19,21),-0.185848 # DEPENDENCYPART_ARC
(20,1),-1.69969 # DEPENDENCYPART_ARC
(20,2),-1.35957 # DEPENDENCYPART_ARC
(20,3),-2.07158 # DEPENDENCYPART_ARC
(20,4),-1.56692 # DEPENDENCYPART_ARC
(20,5),-0.970466 # DEPENDENCYPART_ARC
(20,6),-1.25644 # DEPENDENCYPART_ARC
(20,7),-2.18645 # DEPENDENCYPART_ARC
(20,8),-1.55155 # DEPENDENCYPART_ARC
(20,9),-1.51241 # DEPENDENCYPART_ARC
(20,10),-1.72674 # DEPENDENCYPART_ARC
(20,11),-0.783768 # DEPENDENCYPART_ARC
(20,12),-0.888709 # DEPENDENCYPART_ARC
(20,13),-1.62899 # DEPENDENCYPART_ARC
(20,14),-0.351749 # DEPENDENCYPART_ARC
(20,15),-1.29778 # DEPENDENCYPART_ARC
(20,16),-0.745568 # DEPENDENCYPART_ARC
(20,17),0.0620501 # DEPENDENCYPART_ARC
(20,18),-0.260028 # DEPENDENCYPART_ARC
(20,19),3.14854 # DEPENDENCYPART_ARC
(20,21),2.73655 # DEPENDENCYPART_ARC
(21,2),-1.61161 # DEPENDENCYPART_ARC
(21,4),-1.80081 # DEPENDENCYPART_ARC
(21,6),-1.64449 # DEPENDENCYPART_ARC
(21,9),-1.71268 # DEPENDENCYPART_ARC
