# _root_ È l' euforia della presa di Knin , spiegherà dopo Ante , a far- lo parlare così .
#goldHeads=9,3,1,3,4,5,6,7,0,9,10,11,1,13,14,14,16,17,
#predictedHeads=0,3,1,3,4,5,6,7,1,9,10,11,9,13,14,14,16,17,
(3,5),1.43054 # DEPENDENCYPART_ARC
(3,6),1.21991 # DEPENDENCYPART_ARC
(3,7),0.632257 # DEPENDENCYPART_ARC
(3,8),0.17919 # DEPENDENCYPART_ARC
(3,9),-0.0108723 # DEPENDENCYPART_ARC
(3,10),0.104112 # DEPENDENCYPART_ARC
(3,11),-0.281105 # DEPENDENCYPART_ARC
(3,12),-0.102818 # DEPENDENCYPART_ARC
(3,13),-0.624018 # DEPENDENCYPART_ARC
(3,14),-1.24215 # DEPENDENCYPART_ARC
(3,15),-1.29302 # DEPENDENCYPART_ARC
(3,16),-0.892878 # DEPENDENCYPART_ARC
(3,17),-1.66809 # DEPENDENCYPART_ARC
(3,18),-2.6792 # DEPENDENCYPART_ARC
(4,1),-2.0245 # DEPENDENCYPART_ARC
(4,2),-0.601781 # DEPENDENCYPART_ARC
(4,3),-0.901532 # DEPENDENCYPART_ARC
(4,5),4.24135 # DEPENDENCYPART_ARC
(4,6),-0.138382 # DEPENDENCYPART_ARC
(4,7),0.714999 # DEPENDENCYPART_ARC
(4,8),0.123484 # DEPENDENCYPART_ARC
(4,9),-1.61631 # DEPENDENCYPART_ARC
(4,10),-0.77201 # DEPENDENCYPART_ARC
(4,11),-1.89238 # DEPENDENCYPART_ARC
(4,12),0.565463 # DEPENDENCYPART_ARC
(4,13),-1.23736 # DEPENDENCYPART_ARC
(4,14),-1.23097 # DEPENDENCYPART_ARC
(4,15),-2.31957 # DEPENDENCYPART_ARC
(4,16),-2.66274 # DEPENDENCYPART_ARC
(4,17),-1.81044 # DEPENDENCYPART_ARC
(4,18),-1.40215 # DEPENDENCYPART_ARC
(5,1),-2.03324 # DEPENDENCYPART_ARC
(5,2),0.482827 # DEPENDENCYPART_ARC
(5,3),-1.65553 # DEPENDENCYPART_ARC
(5,4),0.679633 # DEPENDENCYPART_ARC
(5,6),2.25016 # DEPENDENCYPART_ARC
(5,7),0.87579 # DEPENDENCYPART_ARC
(5,8),0.333159 # DEPENDENCYPART_ARC
(5,9),-0.455553 # DEPENDENCYPART_ARC
(5,10),0.0532968 # DEPENDENCYPART_ARC
(5,11),-0.386507 # DEPENDENCYPART_ARC
(5,12),-0.235228 # DEPENDENCYPART_ARC
(5,13),-1.12805 # DEPENDENCYPART_ARC
(5,14),-1.42062 # DEPENDENCYPART_ARC
(5,15),-1.47955 # DEPENDENCYPART_ARC
(5,16),-1.27286 # DEPENDENCYPART_ARC
(5,17),-1.69448 # DEPENDENCYPART_ARC
(5,18),-2.50029 # DEPENDENCYPART_ARC
(6,1),-2.57573 # DEPENDENCYPART_ARC
(6,2),-1.60309 # DEPENDENCYPART_ARC
(6,3),-1.72438 # DEPENDENCYPART_ARC
(6,4),-0.749307 # DEPENDENCYPART_ARC
(6,5),-0.570544 # DEPENDENCYPART_ARC
(6,7),4.42701 # DEPENDENCYPART_ARC
(6,8),0.302365 # DEPENDENCYPART_ARC
(6,9),0.0127357 # DEPENDENCYPART_ARC
(6,10),-0.748267 # DEPENDENCYPART_ARC
(6,11),-0.150207 # DEPENDENCYPART_ARC
(6,12),0.531968 # DEPENDENCYPART_ARC
(6,13),-1.42033 # DEPENDENCYPART_ARC
(6,14),-0.600108 # DEPENDENCYPART_ARC
(6,15),-1.59626 # DEPENDENCYPART_ARC
(6,16),-1.81189 # DEPENDENCYPART_ARC
(6,17),-1.70533 # DEPENDENCYPART_ARC
(6,18),-1.36343 # DEPENDENCYPART_ARC
(7,1),-3.84341 # DEPENDENCYPART_ARC
(7,2),-0.863978 # DEPENDENCYPART_ARC
(7,3),-3.49701 # DEPENDENCYPART_ARC
(7,4),-0.795331 # DEPENDENCYPART_ARC
(7,5),-2.08457 # DEPENDENCYPART_ARC
(7,6),0.3224 # DEPENDENCYPART_ARC
(7,8),2.33671 # DEPENDENCYPART_ARC
(7,9),-0.669174 # DEPENDENCYPART_ARC
(7,10),-0.00511571 # DEPENDENCYPART_ARC
(7,11),0.14795 # DEPENDENCYPART_ARC
(7,12),0.467292 # DEPENDENCYPART_ARC
(7,13),-1.09636 # DEPENDENCYPART_ARC
(7,14),-1.28765 # DEPENDENCYPART_ARC
(7,15),-0.649886 # DEPENDENCYPART_ARC
(7,16),-1.17623 # DEPENDENCYPART_ARC
(7,17),-1.62628 # DEPENDENCYPART_ARC
(7,18),-1.8273 # DEPENDENCYPART_ARC
(8,2),-1.20926 # DEPENDENCYPART_ARC
(8,12),-1.0533 # DEPENDENCYPART_ARC
(8,18),-1.33716 # DEPENDENCYPART_ARC
(9,1),-1.25615 # DEPENDENCYPART_ARC
(9,2),-0.512531 # DEPENDENCYPART_ARC
(9,3),0.732467 # DEPENDENCYPART_ARC
(9,4),-0.396079 # DEPENDENCYPART_ARC
(9,5),0.423282 # DEPENDENCYPART_ARC
(9,6),-0.412201 # DEPENDENCYPART_ARC
(9,7),0.535998 # DEPENDENCYPART_ARC
(9,8),-0.0742436 # DEPENDENCYPART_ARC
(9,10),3.04011 # DEPENDENCYPART_ARC
(9,11),1.30531 # DEPENDENCYPART_ARC
(9,12),0.888422 # DEPENDENCYPART_ARC
(9,13),1.51147 # DEPENDENCYPART_ARC
(9,14),0.679248 # DEPENDENCYPART_ARC
(9,15),0.141427 # DEPENDENCYPART_ARC
(9,16),0.0659396 # DEPENDENCYPART_ARC
(9,17),-0.54637 # DEPENDENCYPART_ARC
(9,18),-0.772782 # DEPENDENCYPART_ARC
(10,1),-2.6266 # DEPENDENCYPART_ARC
(10,2),-1.81082 # DEPENDENCYPART_ARC
(10,3),-2.05984 # DEPENDENCYPART_ARC
(10,4),-1.50155 # DEPENDENCYPART_ARC
(10,5),-1.85984 # DEPENDENCYPART_ARC
(10,6),-1.16033 # DEPENDENCYPART_ARC
(10,7),-1.30101 # DEPENDENCYPART_ARC
(10,8),-0.842224 # DEPENDENCYPART_ARC
(10,9),-0.362423 # DEPENDENCYPART_ARC
(10,11),4.37232 # DEPENDENCYPART_ARC
(10,12),1.00111 # DEPENDENCYPART_ARC
(10,13),-0.310776 # DEPENDENCYPART_ARC
(10,14),0.038327 # DEPENDENCYPART_ARC
(10,15),-0.911766 # DEPENDENCYPART_ARC
(10,16),-1.09642 # DEPENDENCYPART_ARC
(10,17),-1.3005 # DEPENDENCYPART_ARC
(10,18),-0.785411 # DEPENDENCYPART_ARC
(11,1),-3.79029 # DEPENDENCYPART_ARC
(11,2),-2.3246 # DEPENDENCYPART_ARC
(11,3),-4.38425 # DEPENDENCYPART_ARC
(11,4),-1.92924 # DEPENDENCYPART_ARC
(11,5),-3.71416 # DEPENDENCYPART_ARC
(11,6),-1.84347 # DEPENDENCYPART_ARC
(11,7),-0.914243 # DEPENDENCYPART_ARC
(11,8),-2.30498 # DEPENDENCYPART_ARC
(11,9),-2.00125 # DEPENDENCYPART_ARC
(11,10),0.490854 # DEPENDENCYPART_ARC
(11,12),2.15693 # DEPENDENCYPART_ARC
(11,13),-0.551935 # DEPENDENCYPART_ARC
(11,14),0.0285595 # DEPENDENCYPART_ARC
(11,15),-0.535925 # DEPENDENCYPART_ARC
(11,16),-0.64815 # DEPENDENCYPART_ARC
(11,17),-1.34351 # DEPENDENCYPART_ARC
(11,18),-1.02114 # DEPENDENCYPART_ARC
(12,2),-1.29689 # DEPENDENCYPART_ARC
(12,8),-1.21457 # DEPENDENCYPART_ARC
(12,18),-0.810582 # DEPENDENCYPART_ARC
(13,1),-2.55659 # DEPENDENCYPART_ARC
(13,2),-1.92409 # DEPENDENCYPART_ARC
(13,3),-2.13511 # DEPENDENCYPART_ARC
(13,4),-1.56325 # DEPENDENCYPART_ARC
(13,5),-2.05618 # DEPENDENCYPART_ARC
(13,6),-1.45787 # DEPENDENCYPART_ARC
(13,7),-1.89817 # DEPENDENCYPART_ARC
(13,8),-1.62981 # DEPENDENCYPART_ARC
(13,9),-2.06775 # DEPENDENCYPART_ARC
(13,10),-0.520414 # DEPENDENCYPART_ARC
(13,11),-0.958216 # DEPENDENCYPART_ARC
(13,12),0.282598 # DEPENDENCYPART_ARC
(13,14),3.28336 # DEPENDENCYPART_ARC
(13,15),0.932601 # DEPENDENCYPART_ARC
(13,16),0.353986 # DEPENDENCYPART_ARC
(13,17),-1.04242 # DEPENDENCYPART_ARC
(13,18),-0.654861 # DEPENDENCYPART_ARC
(14,1),-2.17023 # DEPENDENCYPART_ARC
(14,2),-1.2797 # DEPENDENCYPART_ARC
(14,3),-1.7022 # DEPENDENCYPART_ARC
(14,4),-2.54835 # DEPENDENCYPART_ARC
(14,5),-1.98622 # DEPENDENCYPART_ARC
(14,6),-2.75018 # DEPENDENCYPART_ARC
(14,7),-1.51056 # DEPENDENCYPART_ARC
(14,8),-3.30731 # DEPENDENCYPART_ARC
(14,9),-1.58647 # DEPENDENCYPART_ARC
(14,10),-1.06035 # DEPENDENCYPART_ARC
(14,11),-0.973513 # DEPENDENCYPART_ARC
(14,12),-2.08852 # DEPENDENCYPART_ARC
(14,13),0.49621 # DEPENDENCYPART_ARC
(14,15),3.14822 # DEPENDENCYPART_ARC
(14,16),2.04236 # DEPENDENCYPART_ARC
(14,17),0.771918 # DEPENDENCYPART_ARC
(14,18),0.107603 # DEPENDENCYPART_ARC
(15,1),-4.11814 # DEPENDENCYPART_ARC
(15,3),-3.01942 # DEPENDENCYPART_ARC
(15,4),-2.98139 # DEPENDENCYPART_ARC
(15,5),-3.03466 # DEPENDENCYPART_ARC
(15,6),-2.61195 # DEPENDENCYPART_ARC
(15,7),-2.90535 # DEPENDENCYPART_ARC
(15,8),-2.48556 # DEPENDENCYPART_ARC
(15,9),-3.86817 # DEPENDENCYPART_ARC
(15,10),-1.98815 # DEPENDENCYPART_ARC
(15,11),-2.59316 # DEPENDENCYPART_ARC
(15,12),-1.89503 # DEPENDENCYPART_ARC
(15,13),-1.3488 # DEPENDENCYPART_ARC
(15,14),-1.09044 # DEPENDENCYPART_ARC
(15,16),0.106967 # DEPENDENCYPART_ARC
(15,17),-1.20533 # DEPENDENCYPART_ARC
(15,18),-0.741004 # DEPENDENCYPART_ARC
(16,1),-1.1036 # DEPENDENCYPART_ARC
(16,2),-0.205779 # DEPENDENCYPART_ARC
(16,3),-0.83384 # DEPENDENCYPART_ARC
(16,4),-1.69833 # DEPENDENCYPART_ARC
(16,5),-1.59954 # DEPENDENCYPART_ARC
(16,6),-1.92798 # DEPENDENCYPART_ARC
(16,7),-1.0707 # DEPENDENCYPART_ARC
(16,8),-2.33666 # DEPENDENCYPART_ARC
(16,9),-1.18727 # DEPENDENCYPART_ARC
(16,10),-0.192418 # DEPENDENCYPART_ARC
(16,11),-0.505112 # DEPENDENCYPART_ARC
(16,12),-1.9896 # DEPENDENCYPART_ARC
(16,13),0.981442 # DEPENDENCYPART_ARC
(16,14),1.47006 # DEPENDENCYPART_ARC
(16,15),2.1088 # DEPENDENCYPART_ARC
(16,17),1.74951 # DEPENDENCYPART_ARC
(16,18),0.0316197 # DEPENDENCYPART_ARC
(17,1),-3.22357 # DEPENDENCYPART_ARC
(17,2),-2.04883 # DEPENDENCYPART_ARC
(17,3),-3.0301 # DEPENDENCYPART_ARC
(17,4),-1.9464 # DEPENDENCYPART_ARC
(17,5),-2.85523 # DEPENDENCYPART_ARC
(17,6),-1.93971 # DEPENDENCYPART_ARC
(17,7),-2.79552 # DEPENDENCYPART_ARC
(17,8),-2.19412 # DEPENDENCYPART_ARC
(17,9),-2.92034 # DEPENDENCYPART_ARC
(17,10),-1.624 # DEPENDENCYPART_ARC
(17,11),-2.5033 # DEPENDENCYPART_ARC
(17,12),-1.86668 # DEPENDENCYPART_ARC
(17,13),-1.10549 # DEPENDENCYPART_ARC
(17,14),-2.21359 # DEPENDENCYPART_ARC
(17,15),-1.13471 # DEPENDENCYPART_ARC
(17,16),-0.760685 # DEPENDENCYPART_ARC
(17,18),2.0656 # DEPENDENCYPART_ARC
(18,2),-1.8421 # DEPENDENCYPART_ARC
(18,8),-1.89968 # DEPENDENCYPART_ARC
(18,12),-1.67535 # DEPENDENCYPART_ARC
