# _root_ Francesco Storace , sanguigno portavoce di An , è pure lui uno che con le parole va giù duro .
#goldHeads=2,9,2,5,2,5,6,7,0,12,10,9,17,17,16,14,12,17,17,19,
#predictedHeads=2,9,2,5,2,5,6,7,0,9,9,11,17,17,16,14,12,19,17,19,
(2,3),2.51472 # DEPENDENCYPART_ARC
(2,4),1.0214 # DEPENDENCYPART_ARC
(2,5),0.879709 # DEPENDENCYPART_ARC
(2,6),0.543889 # DEPENDENCYPART_ARC
(2,7),0.954426 # DEPENDENCYPART_ARC
(2,8),0.93564 # DEPENDENCYPART_ARC
(2,9),0.0303803 # DEPENDENCYPART_ARC
(2,10),-0.347844 # DEPENDENCYPART_ARC
(2,11),-0.205016 # DEPENDENCYPART_ARC
(2,12),0.0869144 # DEPENDENCYPART_ARC
(2,13),-1.73832 # DEPENDENCYPART_ARC
(2,14),-1.31609 # DEPENDENCYPART_ARC
(2,15),-0.616859 # DEPENDENCYPART_ARC
(2,16),-1.13827 # DEPENDENCYPART_ARC
(2,17),-0.291386 # DEPENDENCYPART_ARC
(2,18),-1.27077 # DEPENDENCYPART_ARC
(2,19),-1.51148 # DEPENDENCYPART_ARC
(2,20),-2.37707 # DEPENDENCYPART_ARC
(3,1),-1.38492 # DEPENDENCYPART_ARC
(3,2),-0.524519 # DEPENDENCYPART_ARC
(3,4),-0.700613 # DEPENDENCYPART_ARC
(3,5),-1.29982 # DEPENDENCYPART_ARC
(3,6),-1.81116 # DEPENDENCYPART_ARC
(3,7),-1.88881 # DEPENDENCYPART_ARC
(3,8),-0.791455 # DEPENDENCYPART_ARC
(3,9),-1.83792 # DEPENDENCYPART_ARC
(3,10),-1.99336 # DEPENDENCYPART_ARC
(3,11),-2.34881 # DEPENDENCYPART_ARC
(3,12),-2.41418 # DEPENDENCYPART_ARC
(3,13),-2.42715 # DEPENDENCYPART_ARC
(3,14),-2.46989 # DEPENDENCYPART_ARC
(3,15),-2.31961 # DEPENDENCYPART_ARC
(3,16),-2.50304 # DEPENDENCYPART_ARC
(3,17),-2.25664 # DEPENDENCYPART_ARC
(3,18),-2.71465 # DEPENDENCYPART_ARC
(3,19),-2.77931 # DEPENDENCYPART_ARC
(3,20),-1.72041 # DEPENDENCYPART_ARC
(4,1),-1.48062 # DEPENDENCYPART_ARC
(4,2),-1.13388 # DEPENDENCYPART_ARC
(4,3),0.495026 # DEPENDENCYPART_ARC
(4,5),0.798294 # DEPENDENCYPART_ARC
(4,6),0.0458469 # DEPENDENCYPART_ARC
(4,7),0.0703366 # DEPENDENCYPART_ARC
(4,8),-0.438486 # DEPENDENCYPART_ARC
(4,9),-1.54917 # DEPENDENCYPART_ARC
(4,10),-0.581317 # DEPENDENCYPART_ARC
(4,11),-1.35094 # DEPENDENCYPART_ARC
(4,12),-1.08451 # DEPENDENCYPART_ARC
(4,13),-2.29015 # DEPENDENCYPART_ARC
(4,14),-1.06985 # DEPENDENCYPART_ARC
(4,15),-1.74706 # DEPENDENCYPART_ARC
(4,16),-1.50618 # DEPENDENCYPART_ARC
(4,17),-2.3746 # DEPENDENCYPART_ARC
(4,18),-1.35855 # DEPENDENCYPART_ARC
(4,19),-1.26501 # DEPENDENCYPART_ARC
(4,20),-1.46419 # DEPENDENCYPART_ARC
(5,1),-0.0827268 # DEPENDENCYPART_ARC
(5,2),-0.328126 # DEPENDENCYPART_ARC
(5,3),-0.444642 # DEPENDENCYPART_ARC
(5,4),2.67887 # DEPENDENCYPART_ARC
(5,6),3.02979 # DEPENDENCYPART_ARC
(5,7),1.84171 # DEPENDENCYPART_ARC
(5,8),1.00102 # DEPENDENCYPART_ARC
(5,9),0.571616 # DEPENDENCYPART_ARC
(5,10),0.281676 # DEPENDENCYPART_ARC
(5,11),0.522359 # DEPENDENCYPART_ARC
(5,12),0.744011 # DEPENDENCYPART_ARC
(5,13),-1.02347 # DEPENDENCYPART_ARC
(5,14),-0.326949 # DEPENDENCYPART_ARC
(5,15),-0.162 # DEPENDENCYPART_ARC
(5,16),-0.455182 # DEPENDENCYPART_ARC
(5,17),0.346188 # DEPENDENCYPART_ARC
(5,18),-0.656613 # DEPENDENCYPART_ARC
(5,19),-0.541917 # DEPENDENCYPART_ARC
(5,20),-1.39869 # DEPENDENCYPART_ARC
(6,1),-1.85259 # DEPENDENCYPART_ARC
(6,2),-1.69294 # DEPENDENCYPART_ARC
(6,3),-1.49295 # DEPENDENCYPART_ARC
(6,4),-1.21444 # DEPENDENCYPART_ARC
(6,5),-0.507378 # DEPENDENCYPART_ARC
(6,7),4.49335 # DEPENDENCYPART_ARC
(6,8),0.315223 # DEPENDENCYPART_ARC
(6,9),-0.157258 # DEPENDENCYPART_ARC
(6,10),-0.554934 # DEPENDENCYPART_ARC
(6,11),-0.933088 # DEPENDENCYPART_ARC
(6,12),-1.12493 # DEPENDENCYPART_ARC
(6,13),-1.82313 # DEPENDENCYPART_ARC
(6,14),-0.952142 # DEPENDENCYPART_ARC
(6,15),-1.47925 # DEPENDENCYPART_ARC
(6,16),-2.76273 # DEPENDENCYPART_ARC
(6,17),-2.32532 # DEPENDENCYPART_ARC
(6,18),-1.7491 # DEPENDENCYPART_ARC
(6,19),-1.36276 # DEPENDENCYPART_ARC
(6,20),-1.46544 # DEPENDENCYPART_ARC
(7,1),-0.7363 # DEPENDENCYPART_ARC
(7,2),-1.38051 # DEPENDENCYPART_ARC
(7,3),-2.62847 # DEPENDENCYPART_ARC
(7,4),-1.15006 # DEPENDENCYPART_ARC
(7,5),-0.642658 # DEPENDENCYPART_ARC
(7,6),0.554174 # DEPENDENCYPART_ARC
(7,8),1.90204 # DEPENDENCYPART_ARC
(7,9),-0.735105 # DEPENDENCYPART_ARC
(7,10),-0.596338 # DEPENDENCYPART_ARC
(7,11),-0.785122 # DEPENDENCYPART_ARC
(7,12),-0.563698 # DEPENDENCYPART_ARC
(7,13),-1.97468 # DEPENDENCYPART_ARC
(7,14),-1.57489 # DEPENDENCYPART_ARC
(7,15),-1.16293 # DEPENDENCYPART_ARC
(7,16),-1.99606 # DEPENDENCYPART_ARC
(7,17),-0.576606 # DEPENDENCYPART_ARC
(7,18),-1.65308 # DEPENDENCYPART_ARC
(7,19),-1.88425 # DEPENDENCYPART_ARC
(7,20),-2.15405 # DEPENDENCYPART_ARC
(8,1),-2.27203 # DEPENDENCYPART_ARC
(8,2),-2.30687 # DEPENDENCYPART_ARC
(8,3),-1.81802 # DEPENDENCYPART_ARC
(8,4),-1.97049 # DEPENDENCYPART_ARC
(8,5),-1.67887 # DEPENDENCYPART_ARC
(8,6),-0.928359 # DEPENDENCYPART_ARC
(8,7),-0.647711 # DEPENDENCYPART_ARC
(8,9),-1.23158 # DEPENDENCYPART_ARC
(8,10),-2.46417 # DEPENDENCYPART_ARC
(8,11),-2.60732 # DEPENDENCYPART_ARC
(8,12),-2.78961 # DEPENDENCYPART_ARC
(8,13),-2.93047 # DEPENDENCYPART_ARC
(8,14),-2.92216 # DEPENDENCYPART_ARC
(8,15),-2.83427 # DEPENDENCYPART_ARC
(8,16),-3.01851 # DEPENDENCYPART_ARC
(8,17),-2.80403 # DEPENDENCYPART_ARC
(8,18),-3.19778 # DEPENDENCYPART_ARC
(8,19),-3.30156 # DEPENDENCYPART_ARC
(8,20),-2.12461 # DEPENDENCYPART_ARC
(9,1),0.418551 # DEPENDENCYPART_ARC
(9,2),0.49398 # DEPENDENCYPART_ARC
(9,3),-2.13517 # DEPENDENCYPART_ARC
(9,4),-0.601411 # DEPENDENCYPART_ARC
(9,5),0.74592 # DEPENDENCYPART_ARC
(9,6),-0.201895 # DEPENDENCYPART_ARC
(9,7),0.797506 # DEPENDENCYPART_ARC
(9,8),-0.17098 # DEPENDENCYPART_ARC
(9,10),1.7715 # DEPENDENCYPART_ARC
(9,11),1.2484 # DEPENDENCYPART_ARC
(9,12),0.833194 # DEPENDENCYPART_ARC
(9,13),0.16157 # DEPENDENCYPART_ARC
(9,14),0.825418 # DEPENDENCYPART_ARC
(9,15),-1.60781 # DEPENDENCYPART_ARC
(9,16),-0.256921 # DEPENDENCYPART_ARC
(9,17),0.392091 # DEPENDENCYPART_ARC
(9,18),-0.710595 # DEPENDENCYPART_ARC
(9,19),-0.264536 # DEPENDENCYPART_ARC
(9,20),-1.13102 # DEPENDENCYPART_ARC
(10,1),-1.93712 # DEPENDENCYPART_ARC
(10,2),-1.87772 # DEPENDENCYPART_ARC
(10,3),-1.43351 # DEPENDENCYPART_ARC
(10,4),-1.57892 # DEPENDENCYPART_ARC
(10,5),-1.54579 # DEPENDENCYPART_ARC
(10,6),-0.89849 # DEPENDENCYPART_ARC
(10,7),-1.01816 # DEPENDENCYPART_ARC
(10,8),-0.497382 # DEPENDENCYPART_ARC
(10,9),-0.0098222 # DEPENDENCYPART_ARC
(10,11),-0.0141205 # DEPENDENCYPART_ARC
(10,12),-0.691921 # DEPENDENCYPART_ARC
(10,13),-0.586296 # DEPENDENCYPART_ARC
(10,14),-0.824924 # DEPENDENCYPART_ARC
(10,15),-1.02641 # DEPENDENCYPART_ARC
(10,16),-1.05155 # DEPENDENCYPART_ARC
(10,17),-0.026689 # DEPENDENCYPART_ARC
(10,18),-1.54964 # DEPENDENCYPART_ARC
(10,19),-1.21268 # DEPENDENCYPART_ARC
(10,20),-0.674366 # DEPENDENCYPART_ARC
(11,1),-1.60106 # DEPENDENCYPART_ARC
(11,2),-1.61731 # DEPENDENCYPART_ARC
(11,3),-1.26944 # DEPENDENCYPART_ARC
(11,4),-1.30672 # DEPENDENCYPART_ARC
(11,5),-1.46059 # DEPENDENCYPART_ARC
(11,6),-0.622435 # DEPENDENCYPART_ARC
(11,7),-1.27656 # DEPENDENCYPART_ARC
(11,8),-0.566346 # DEPENDENCYPART_ARC
(11,9),-0.726574 # DEPENDENCYPART_ARC
(11,10),1.46422 # DEPENDENCYPART_ARC
(11,12),1.10485 # DEPENDENCYPART_ARC
(11,13),-1.47475 # DEPENDENCYPART_ARC
(11,14),-0.48656 # DEPENDENCYPART_ARC
(11,15),-1.50245 # DEPENDENCYPART_ARC
(11,16),-0.880929 # DEPENDENCYPART_ARC
(11,17),0.462047 # DEPENDENCYPART_ARC
(11,18),-1.65906 # DEPENDENCYPART_ARC
(11,19),-1.22025 # DEPENDENCYPART_ARC
(11,20),-1.35462 # DEPENDENCYPART_ARC
(12,1),-1.69678 # DEPENDENCYPART_ARC
(12,2),-1.64081 # DEPENDENCYPART_ARC
(12,3),-1.33072 # DEPENDENCYPART_ARC
(12,4),-1.28231 # DEPENDENCYPART_ARC
(12,5),-1.39074 # DEPENDENCYPART_ARC
(12,6),-0.807698 # DEPENDENCYPART_ARC
(12,7),-1.37537 # DEPENDENCYPART_ARC
(12,8),-0.955713 # DEPENDENCYPART_ARC
(12,9),-1.31062 # DEPENDENCYPART_ARC
(12,10),0.272091 # DEPENDENCYPART_ARC
(12,11),0.691155 # DEPENDENCYPART_ARC
(12,13),1.20959 # DEPENDENCYPART_ARC
(12,14),1.67749 # DEPENDENCYPART_ARC
(12,15),0.551355 # DEPENDENCYPART_ARC
(12,16),0.993065 # DEPENDENCYPART_ARC
(12,17),2.59851 # DEPENDENCYPART_ARC
(12,18),0.262634 # DEPENDENCYPART_ARC
(12,19),1.18172 # DEPENDENCYPART_ARC
(12,20),0.638493 # DEPENDENCYPART_ARC
(13,1),-1.68755 # DEPENDENCYPART_ARC
(13,2),-1.83548 # DEPENDENCYPART_ARC
(13,3),-1.71241 # DEPENDENCYPART_ARC
(13,4),-2.32925 # DEPENDENCYPART_ARC
(13,5),-2.1208 # DEPENDENCYPART_ARC
(13,6),-1.28594 # DEPENDENCYPART_ARC
(13,7),-1.60532 # DEPENDENCYPART_ARC
(13,8),-1.41271 # DEPENDENCYPART_ARC
(13,9),-2.39704 # DEPENDENCYPART_ARC
(13,10),-0.386526 # DEPENDENCYPART_ARC
(13,11),-1.03082 # DEPENDENCYPART_ARC
(13,12),-0.200525 # DEPENDENCYPART_ARC
(13,14),0.794137 # DEPENDENCYPART_ARC
(13,15),-0.482819 # DEPENDENCYPART_ARC
(13,16),-0.193216 # DEPENDENCYPART_ARC
(13,17),0.365439 # DEPENDENCYPART_ARC
(13,18),-1.04924 # DEPENDENCYPART_ARC
(13,19),-0.144783 # DEPENDENCYPART_ARC
(13,20),-0.72918 # DEPENDENCYPART_ARC
(14,1),-3.0343 # DEPENDENCYPART_ARC
(14,2),-3.03238 # DEPENDENCYPART_ARC
(14,3),-3.06697 # DEPENDENCYPART_ARC
(14,4),-3.13579 # DEPENDENCYPART_ARC
(14,5),-2.96292 # DEPENDENCYPART_ARC
(14,6),-2.50758 # DEPENDENCYPART_ARC
(14,7),-2.79699 # DEPENDENCYPART_ARC
(14,8),-2.79444 # DEPENDENCYPART_ARC
(14,9),-3.05625 # DEPENDENCYPART_ARC
(14,10),-1.99546 # DEPENDENCYPART_ARC
(14,11),-1.98986 # DEPENDENCYPART_ARC
(14,12),-1.69989 # DEPENDENCYPART_ARC
(14,13),-0.80133 # DEPENDENCYPART_ARC
(14,15),0.868423 # DEPENDENCYPART_ARC
(14,16),3.59433 # DEPENDENCYPART_ARC
(14,17),0.413346 # DEPENDENCYPART_ARC
(14,18),-0.325525 # DEPENDENCYPART_ARC
(14,19),0.219802 # DEPENDENCYPART_ARC
(14,20),-0.212058 # DEPENDENCYPART_ARC
(15,1),-3.61049 # DEPENDENCYPART_ARC
(15,2),-3.46481 # DEPENDENCYPART_ARC
(15,3),-2.55199 # DEPENDENCYPART_ARC
(15,4),-3.29365 # DEPENDENCYPART_ARC
(15,5),-3.31657 # DEPENDENCYPART_ARC
(15,6),-2.56478 # DEPENDENCYPART_ARC
(15,7),-3.38472 # DEPENDENCYPART_ARC
(15,8),-2.39959 # DEPENDENCYPART_ARC
(15,9),-3.59222 # DEPENDENCYPART_ARC
(15,10),-2.43744 # DEPENDENCYPART_ARC
(15,11),-2.50102 # DEPENDENCYPART_ARC
(15,12),-2.16246 # DEPENDENCYPART_ARC
(15,13),-1.59715 # DEPENDENCYPART_ARC
(15,14),-0.523046 # DEPENDENCYPART_ARC
(15,16),1.4204 # DEPENDENCYPART_ARC
(15,17),0.0421638 # DEPENDENCYPART_ARC
(15,18),-0.647932 # DEPENDENCYPART_ARC
(15,19),-2.09383 # DEPENDENCYPART_ARC
(15,20),-0.534888 # DEPENDENCYPART_ARC
(16,1),-2.19873 # DEPENDENCYPART_ARC
(16,2),-2.91522 # DEPENDENCYPART_ARC
(16,3),-2.73487 # DEPENDENCYPART_ARC
(16,4),-2.38027 # DEPENDENCYPART_ARC
(16,5),-2.45835 # DEPENDENCYPART_ARC
(16,6),-0.925234 # DEPENDENCYPART_ARC
(16,7),-2.13532 # DEPENDENCYPART_ARC
(16,8),-2.49395 # DEPENDENCYPART_ARC
(16,9),-2.14998 # DEPENDENCYPART_ARC
(16,10),-0.396418 # DEPENDENCYPART_ARC
(16,11),-1.18811 # DEPENDENCYPART_ARC
(16,12),-1.08193 # DEPENDENCYPART_ARC
(16,13),-0.392109 # DEPENDENCYPART_ARC
(16,14),0.772799 # DEPENDENCYPART_ARC
(16,15),3.63042 # DEPENDENCYPART_ARC
(16,17),0.455302 # DEPENDENCYPART_ARC
(16,18),-0.484596 # DEPENDENCYPART_ARC
(16,19),-1.19616 # DEPENDENCYPART_ARC
(16,20),-0.633154 # DEPENDENCYPART_ARC
(17,1),-0.858088 # DEPENDENCYPART_ARC
(17,2),-1.44406 # DEPENDENCYPART_ARC
(17,3),-2.37353 # DEPENDENCYPART_ARC
(17,4),-0.716587 # DEPENDENCYPART_ARC
(17,5),-0.795303 # DEPENDENCYPART_ARC
(17,6),-1.73469 # DEPENDENCYPART_ARC
(17,7),-1.06418 # DEPENDENCYPART_ARC
(17,8),-1.97328 # DEPENDENCYPART_ARC
(17,9),-0.777538 # DEPENDENCYPART_ARC
(17,10),0.0385921 # DEPENDENCYPART_ARC
(17,11),0.329332 # DEPENDENCYPART_ARC
(17,12),0.240169 # DEPENDENCYPART_ARC
(17,13),1.71683 # DEPENDENCYPART_ARC
(17,14),1.68051 # DEPENDENCYPART_ARC
(17,15),0.663993 # DEPENDENCYPART_ARC
(17,16),1.81359 # DEPENDENCYPART_ARC
(17,18),1.82098 # DEPENDENCYPART_ARC
(17,19),2.33503 # DEPENDENCYPART_ARC
(17,20),0.418222 # DEPENDENCYPART_ARC
(18,1),-2.47917 # DEPENDENCYPART_ARC
(18,2),-2.47148 # DEPENDENCYPART_ARC
(18,3),-1.96719 # DEPENDENCYPART_ARC
(18,4),-1.98887 # DEPENDENCYPART_ARC
(18,5),-2.29278 # DEPENDENCYPART_ARC
(18,6),-1.24561 # DEPENDENCYPART_ARC
(18,7),-2.35705 # DEPENDENCYPART_ARC
(18,8),-1.82561 # DEPENDENCYPART_ARC
(18,9),-2.46784 # DEPENDENCYPART_ARC
(18,10),-1.3464 # DEPENDENCYPART_ARC
(18,11),-1.58472 # DEPENDENCYPART_ARC
(18,12),-1.56653 # DEPENDENCYPART_ARC
(18,13),-1.46997 # DEPENDENCYPART_ARC
(18,14),-0.852928 # DEPENDENCYPART_ARC
(18,15),-0.490043 # DEPENDENCYPART_ARC
(18,16),-1.22725 # DEPENDENCYPART_ARC
(18,17),-0.309635 # DEPENDENCYPART_ARC
(18,19),0.545116 # DEPENDENCYPART_ARC
(18,20),0.125228 # DEPENDENCYPART_ARC
(19,1),-2.17968 # DEPENDENCYPART_ARC
(19,2),-2.144 # DEPENDENCYPART_ARC
(19,3),-1.70828 # DEPENDENCYPART_ARC
(19,4),-1.7957 # DEPENDENCYPART_ARC
(19,5),-2.0369 # DEPENDENCYPART_ARC
(19,6),-1.02636 # DEPENDENCYPART_ARC
(19,7),-1.90488 # DEPENDENCYPART_ARC
(19,8),-1.78332 # DEPENDENCYPART_ARC
(19,9),-1.58857 # DEPENDENCYPART_ARC
(19,10),-0.621918 # DEPENDENCYPART_ARC
(19,11),-0.85421 # DEPENDENCYPART_ARC
(19,12),-1.03767 # DEPENDENCYPART_ARC
(19,13),-0.207545 # DEPENDENCYPART_ARC
(19,14),-0.438544 # DEPENDENCYPART_ARC
(19,15),-0.533043 # DEPENDENCYPART_ARC
(19,16),-1.45231 # DEPENDENCYPART_ARC
(19,17),0.0347596 # DEPENDENCYPART_ARC
(19,18),2.55261 # DEPENDENCYPART_ARC
(19,20),2.7885 # DEPENDENCYPART_ARC
(20,1),-2.52553 # DEPENDENCYPART_ARC
(20,2),-2.61473 # DEPENDENCYPART_ARC
(20,3),-2.25045 # DEPENDENCYPART_ARC
(20,4),-2.53726 # DEPENDENCYPART_ARC
(20,5),-2.59297 # DEPENDENCYPART_ARC
(20,6),-2.12314 # DEPENDENCYPART_ARC
(20,7),-2.49235 # DEPENDENCYPART_ARC
(20,8),-2.16216 # DEPENDENCYPART_ARC
(20,9),-2.85511 # DEPENDENCYPART_ARC
(20,10),-2.00677 # DEPENDENCYPART_ARC
(20,11),-2.14598 # DEPENDENCYPART_ARC
(20,12),-2.11969 # DEPENDENCYPART_ARC
(20,13),-2.01752 # DEPENDENCYPART_ARC
(20,14),-1.76978 # DEPENDENCYPART_ARC
(20,15),-1.68848 # DEPENDENCYPART_ARC
(20,16),-2.06024 # DEPENDENCYPART_ARC
(20,17),-2.03733 # DEPENDENCYPART_ARC
(20,18),-1.17344 # DEPENDENCYPART_ARC
(20,19),-0.435486 # DEPENDENCYPART_ARC
