# _root_ MONDIALI DI ATLETICA ­ PER LA BRITANNICA , MOGLIE DELL' ASTISTA IAPICHINO , TRIONFO A_SORPRESA .
#goldHeads=0,1,2,3,14,7,5,7,7,9,10,11,12,0,14,15,
#predictedHeads=0,1,2,3,1,7,5,7,7,9,10,11,12,9,14,15,
(3,14),-0.746276 # DEPENDENCYPART_ARC
(3,15),-1.94866 # DEPENDENCYPART_ARC
(3,16),-2.789 # DEPENDENCYPART_ARC
(4,6),-0.499552 # DEPENDENCYPART_ARC
(4,8),-0.570166 # DEPENDENCYPART_ARC
(4,13),-0.995235 # DEPENDENCYPART_ARC
(4,16),-0.813632 # DEPENDENCYPART_ARC
(5,1),-1.86872 # DEPENDENCYPART_ARC
(5,2),-0.806543 # DEPENDENCYPART_ARC
(5,3),-1.27488 # DEPENDENCYPART_ARC
(5,4),-0.0076413 # DEPENDENCYPART_ARC
(5,6),0.817255 # DEPENDENCYPART_ARC
(5,7),3.15469 # DEPENDENCYPART_ARC
(5,8),0.205713 # DEPENDENCYPART_ARC
(5,9),0.49722 # DEPENDENCYPART_ARC
(5,10),-0.647614 # DEPENDENCYPART_ARC
(5,11),-0.693352 # DEPENDENCYPART_ARC
(5,12),-1.54065 # DEPENDENCYPART_ARC
(5,13),0.0209516 # DEPENDENCYPART_ARC
(5,14),-2.86238 # DEPENDENCYPART_ARC
(5,15),-0.875562 # DEPENDENCYPART_ARC
(5,16),-1.13334 # DEPENDENCYPART_ARC
(6,1),-3.24639 # DEPENDENCYPART_ARC
(6,2),-2.50347 # DEPENDENCYPART_ARC
(6,3),-2.70963 # DEPENDENCYPART_ARC
(6,4),-1.37065 # DEPENDENCYPART_ARC
(6,5),-0.787632 # DEPENDENCYPART_ARC
(6,7),1.28547 # DEPENDENCYPART_ARC
(6,8),-0.147821 # DEPENDENCYPART_ARC
(6,9),-0.337008 # DEPENDENCYPART_ARC
(6,10),-0.861639 # DEPENDENCYPART_ARC
(6,11),-1.00357 # DEPENDENCYPART_ARC
(6,13),-0.584352 # DEPENDENCYPART_ARC
(6,14),-1.33773 # DEPENDENCYPART_ARC
(6,16),-0.717238 # DEPENDENCYPART_ARC
(7,1),-2.23036 # DEPENDENCYPART_ARC
(7,2),-0.750046 # DEPENDENCYPART_ARC
(7,3),-1.79126 # DEPENDENCYPART_ARC
(7,4),-1.35687 # DEPENDENCYPART_ARC
(7,5),0.470107 # DEPENDENCYPART_ARC
(7,6),3.04319 # DEPENDENCYPART_ARC
(7,8),1.98323 # DEPENDENCYPART_ARC
(7,9),1.4846 # DEPENDENCYPART_ARC
(7,10),1.37798 # DEPENDENCYPART_ARC
(7,11),0.596229 # DEPENDENCYPART_ARC
(7,12),1.0488 # DEPENDENCYPART_ARC
(7,13),1.25499 # DEPENDENCYPART_ARC
(7,14),0.577841 # DEPENDENCYPART_ARC
(7,15),-0.848682 # DEPENDENCYPART_ARC
(7,16),-1.16352 # DEPENDENCYPART_ARC
(8,4),-1.65002 # DEPENDENCYPART_ARC
(8,6),-0.600632 # DEPENDENCYPART_ARC
(8,13),-1.39119 # DEPENDENCYPART_ARC
(8,16),-1.20776 # DEPENDENCYPART_ARC
(9,1),-2.7662 # DEPENDENCYPART_ARC
(9,2),-1.7418 # DEPENDENCYPART_ARC
(9,3),-2.79841 # DEPENDENCYPART_ARC
(9,4),-1.7467 # DEPENDENCYPART_ARC
(9,5),-0.220558 # DEPENDENCYPART_ARC
(9,6),0.819274 # DEPENDENCYPART_ARC
(9,7),-1.54238 # DEPENDENCYPART_ARC
(9,8),0.469009 # DEPENDENCYPART_ARC
(9,10),2.9651 # DEPENDENCYPART_ARC
(9,11),1.10137 # DEPENDENCYPART_ARC
(9,12),0.946505 # DEPENDENCYPART_ARC
(9,13),1.1637 # DEPENDENCYPART_ARC
(9,14),0.899761 # DEPENDENCYPART_ARC
(9,15),-0.525641 # DEPENDENCYPART_ARC
(9,16),-0.445963 # DEPENDENCYPART_ARC
(10,1),-2.87492 # DEPENDENCYPART_ARC
(10,2),-1.60672 # DEPENDENCYPART_ARC
(10,3),-2.889 # DEPENDENCYPART_ARC
(10,4),-1.63329 # DEPENDENCYPART_ARC
(10,5),-1.23615 # DEPENDENCYPART_ARC
(10,6),-1.45176 # DEPENDENCYPART_ARC
(10,7),-2.26412 # DEPENDENCYPART_ARC
(10,8),-0.869384 # DEPENDENCYPART_ARC
(10,9),-1.26519 # DEPENDENCYPART_ARC
(10,11),3.07945 # DEPENDENCYPART_ARC
(10,12),1.51201 # DEPENDENCYPART_ARC
(10,13),-0.077448 # DEPENDENCYPART_ARC
(10,14),-1.27579 # DEPENDENCYPART_ARC
(10,15),-0.922828 # DEPENDENCYPART_ARC
(10,16),-1.0284 # DEPENDENCYPART_ARC
(11,1),-3.61399 # DEPENDENCYPART_ARC
(11,2),-2.79003 # DEPENDENCYPART_ARC
(11,3),-4.26226 # DEPENDENCYPART_ARC
(11,4),-3.03226 # DEPENDENCYPART_ARC
(11,5),-1.7364 # DEPENDENCYPART_ARC
(11,6),-1.3238 # DEPENDENCYPART_ARC
(11,7),-3.86085 # DEPENDENCYPART_ARC
(11,8),-2.23974 # DEPENDENCYPART_ARC
(11,9),-2.69876 # DEPENDENCYPART_ARC
(11,10),0.244955 # DEPENDENCYPART_ARC
(11,12),2.83281 # DEPENDENCYPART_ARC
(11,13),0.575148 # DEPENDENCYPART_ARC
(11,14),0.747761 # DEPENDENCYPART_ARC
(11,15),-0.847653 # DEPENDENCYPART_ARC
(11,16),-0.994538 # DEPENDENCYPART_ARC
(12,1),-1.73975 # DEPENDENCYPART_ARC
(12,2),-1.6519 # DEPENDENCYPART_ARC
(12,3),-2.90432 # DEPENDENCYPART_ARC
(12,4),-2.06012 # DEPENDENCYPART_ARC
(12,5),-0.556966 # DEPENDENCYPART_ARC
(12,6),-1.04658 # DEPENDENCYPART_ARC
(12,7),-3.00713 # DEPENDENCYPART_ARC
(12,8),-1.57687 # DEPENDENCYPART_ARC
(12,9),-2.00028 # DEPENDENCYPART_ARC
(12,10),0.244014 # DEPENDENCYPART_ARC
(12,11),1.39134 # DEPENDENCYPART_ARC
(12,13),1.78984 # DEPENDENCYPART_ARC
(12,14),0.767655 # DEPENDENCYPART_ARC
(12,15),-0.771337 # DEPENDENCYPART_ARC
(12,16),-0.52401 # DEPENDENCYPART_ARC
(13,4),-1.56457 # DEPENDENCYPART_ARC
(13,6),-1.31036 # DEPENDENCYPART_ARC
(13,8),-1.36242 # DEPENDENCYPART_ARC
(13,16),-0.529221 # DEPENDENCYPART_ARC
(14,1),-2.9876 # DEPENDENCYPART_ARC
(14,2),-2.67476 # DEPENDENCYPART_ARC
(14,3),-4.00575 # DEPENDENCYPART_ARC
(14,4),-2.45999 # DEPENDENCYPART_ARC
(14,5),-1.40365 # DEPENDENCYPART_ARC
(14,6),-2.07355 # DEPENDENCYPART_ARC
(14,7),-3.8119 # DEPENDENCYPART_ARC
(14,8),-2.24908 # DEPENDENCYPART_ARC
(14,9),-3.00805 # DEPENDENCYPART_ARC
(14,10),-0.949736 # DEPENDENCYPART_ARC
(14,11),-1.33316 # DEPENDENCYPART_ARC
(14,12),-1.40294 # DEPENDENCYPART_ARC
(14,13),0.335016 # DEPENDENCYPART_ARC
(14,15),1.09511 # DEPENDENCYPART_ARC
(14,16),0.430774 # DEPENDENCYPART_ARC
(15,1),-2.70177 # DEPENDENCYPART_ARC
(15,2),-1.51759 # DEPENDENCYPART_ARC
(15,3),-2.53475 # DEPENDENCYPART_ARC
(15,4),-1.54367 # DEPENDENCYPART_ARC
(15,5),-1.22083 # DEPENDENCYPART_ARC
(15,6),-1.26065 # DEPENDENCYPART_ARC
(15,7),-2.42638 # DEPENDENCYPART_ARC
(15,8),-1.54475 # DEPENDENCYPART_ARC
(15,9),-2.24272 # DEPENDENCYPART_ARC
(15,10),-0.965981 # DEPENDENCYPART_ARC
(15,11),-1.90267 # DEPENDENCYPART_ARC
(15,12),-1.53179 # DEPENDENCYPART_ARC
(15,13),-0.511509 # DEPENDENCYPART_ARC
(15,14),-0.420911 # DEPENDENCYPART_ARC
(15,16),2.03301 # DEPENDENCYPART_ARC
(16,4),-1.73406 # DEPENDENCYPART_ARC
(16,6),-1.57514 # DEPENDENCYPART_ARC
(16,8),-1.67285 # DEPENDENCYPART_ARC
(16,13),-1.012 # DEPENDENCYPART_ARC
