# _root_ Come in tutte le produzioni artigianali la fornitura avviene su ordinazione , attraverso distributori forniti di campionario , come la Tirone Edilizia di Milano che conta su un numero infinito di proposte .
#goldHeads=9,8,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,14,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
#predictedHeads=2,9,5,5,2,5,8,9,0,9,10,11,9,13,14,15,16,17,15,21,19,21,21,23,26,21,26,29,27,29,29,31,32,
(3,28),-1.80588 # DEPENDENCYPART_ARC
(3,29),-1.89325 # DEPENDENCYPART_ARC
(3,30),-1.8892 # DEPENDENCYPART_ARC
(3,31),-1.25345 # DEPENDENCYPART_ARC
(3,32),-1.82907 # DEPENDENCYPART_ARC
(3,33),-1.28038 # DEPENDENCYPART_ARC
(4,1),-0.970735 # DEPENDENCYPART_ARC
(4,2),-0.58654 # DEPENDENCYPART_ARC
(4,3),0.372038 # DEPENDENCYPART_ARC
(4,5),0.889573 # DEPENDENCYPART_ARC
(4,6),-0.281809 # DEPENDENCYPART_ARC
(4,7),-0.969788 # DEPENDENCYPART_ARC
(4,8),-0.946995 # DEPENDENCYPART_ARC
(4,9),-0.824691 # DEPENDENCYPART_ARC
(4,10),-0.922178 # DEPENDENCYPART_ARC
(4,11),-1.40604 # DEPENDENCYPART_ARC
(4,12),-0.906684 # DEPENDENCYPART_ARC
(4,13),-1.19754 # DEPENDENCYPART_ARC
(4,14),-1.25656 # DEPENDENCYPART_ARC
(4,15),-1.10059 # DEPENDENCYPART_ARC
(4,16),-1.35161 # DEPENDENCYPART_ARC
(4,17),-1.85117 # DEPENDENCYPART_ARC
(4,18),-1.20885 # DEPENDENCYPART_ARC
(4,19),-1.62353 # DEPENDENCYPART_ARC
(4,20),-1.75149 # DEPENDENCYPART_ARC
(4,21),-1.49737 # DEPENDENCYPART_ARC
(4,22),-1.49352 # DEPENDENCYPART_ARC
(4,23),-1.70067 # DEPENDENCYPART_ARC
(4,24),-1.64339 # DEPENDENCYPART_ARC
(4,25),-2.09384 # DEPENDENCYPART_ARC
(4,26),-1.75701 # DEPENDENCYPART_ARC
(4,27),-1.90401 # DEPENDENCYPART_ARC
(4,28),-2.54928 # DEPENDENCYPART_ARC
(4,29),-2.21654 # DEPENDENCYPART_ARC
(4,30),-3.38269 # DEPENDENCYPART_ARC
(4,31),-2.07247 # DEPENDENCYPART_ARC
(4,32),-1.60824 # DEPENDENCYPART_ARC
(4,33),-2.11238 # DEPENDENCYPART_ARC
(5,1),0.043745 # DEPENDENCYPART_ARC
(5,2),0.712052 # DEPENDENCYPART_ARC
(5,3),3.34851 # DEPENDENCYPART_ARC
(5,4),3.79959 # DEPENDENCYPART_ARC
(5,6),3.32028 # DEPENDENCYPART_ARC
(5,7),0.262667 # DEPENDENCYPART_ARC
(5,8),0.992185 # DEPENDENCYPART_ARC
(5,9),0.0100844 # DEPENDENCYPART_ARC
(5,10),0.234907 # DEPENDENCYPART_ARC
(5,11),-0.012905 # DEPENDENCYPART_ARC
(5,12),0.137359 # DEPENDENCYPART_ARC
(5,13),-0.425364 # DEPENDENCYPART_ARC
(5,14),-0.0176144 # DEPENDENCYPART_ARC
(5,15),0.397676 # DEPENDENCYPART_ARC
(5,16),-0.71363 # DEPENDENCYPART_ARC
(5,17),-0.917495 # DEPENDENCYPART_ARC
(5,18),-0.466377 # DEPENDENCYPART_ARC
(5,19),-0.324508 # DEPENDENCYPART_ARC
(5,20),-0.416978 # DEPENDENCYPART_ARC
(5,21),-1.28414 # DEPENDENCYPART_ARC
(5,22),-0.690428 # DEPENDENCYPART_ARC
(5,23),-1.56474 # DEPENDENCYPART_ARC
(5,24),-1.40664 # DEPENDENCYPART_ARC
(5,25),-2.9047 # DEPENDENCYPART_ARC
(5,26),-1.48343 # DEPENDENCYPART_ARC
(5,27),-1.48592 # DEPENDENCYPART_ARC
(5,28),-1.52029 # DEPENDENCYPART_ARC
(5,29),-2.15813 # DEPENDENCYPART_ARC
(5,30),-3.22784 # DEPENDENCYPART_ARC
(5,31),-2.46809 # DEPENDENCYPART_ARC
(5,32),-1.41101 # DEPENDENCYPART_ARC
(5,33),-5.61489 # DEPENDENCYPART_ARC
(6,1),-0.504047 # DEPENDENCYPART_ARC
(6,2),0.198236 # DEPENDENCYPART_ARC
(6,3),-0.392367 # DEPENDENCYPART_ARC
(6,4),0.388494 # DEPENDENCYPART_ARC
(6,5),0.123569 # DEPENDENCYPART_ARC
(6,7),0.130378 # DEPENDENCYPART_ARC
(6,8),-0.170196 # DEPENDENCYPART_ARC
(6,9),-0.608976 # DEPENDENCYPART_ARC
(6,10),-0.750098 # DEPENDENCYPART_ARC
(6,11),-1.07022 # DEPENDENCYPART_ARC
(6,12),-0.641458 # DEPENDENCYPART_ARC
(6,13),-1.17697 # DEPENDENCYPART_ARC
(6,14),-0.608619 # DEPENDENCYPART_ARC
(6,15),-0.620917 # DEPENDENCYPART_ARC
(6,16),-1.27007 # DEPENDENCYPART_ARC
(6,17),-1.04497 # DEPENDENCYPART_ARC
(6,18),-1.13207 # DEPENDENCYPART_ARC
(6,19),-1.28846 # DEPENDENCYPART_ARC
(6,20),-1.48842 # DEPENDENCYPART_ARC
(6,21),-1.2461 # DEPENDENCYPART_ARC
(6,22),-1.22556 # DEPENDENCYPART_ARC
(6,23),-1.9191 # DEPENDENCYPART_ARC
(6,24),-1.16311 # DEPENDENCYPART_ARC
(6,25),-2.52793 # DEPENDENCYPART_ARC
(6,26),-2.40684 # DEPENDENCYPART_ARC
(6,27),-2.33652 # DEPENDENCYPART_ARC
(6,28),-1.92923 # DEPENDENCYPART_ARC
(6,29),-1.62688 # DEPENDENCYPART_ARC
(6,30),-3.23617 # DEPENDENCYPART_ARC
(6,31),-2.85015 # DEPENDENCYPART_ARC
(6,32),-1.66592 # DEPENDENCYPART_ARC
(6,33),-3.13879 # DEPENDENCYPART_ARC
(7,1),-1.74461 # DEPENDENCYPART_ARC
(7,2),-1.42264 # DEPENDENCYPART_ARC
(7,3),-1.54469 # DEPENDENCYPART_ARC
(7,4),-1.07517 # DEPENDENCYPART_ARC
(7,5),-1.52624 # DEPENDENCYPART_ARC
(7,6),-0.0406128 # DEPENDENCYPART_ARC
(7,8),1.18318 # DEPENDENCYPART_ARC
(7,9),0.161265 # DEPENDENCYPART_ARC
(7,10),-0.271852 # DEPENDENCYPART_ARC
(7,11),-0.383767 # DEPENDENCYPART_ARC
(7,12),-0.607219 # DEPENDENCYPART_ARC
(7,13),-0.723732 # DEPENDENCYPART_ARC
(7,14),-1.05555 # DEPENDENCYPART_ARC
(7,15),-1.24863 # DEPENDENCYPART_ARC
(7,16),-0.874392 # DEPENDENCYPART_ARC
(7,17),-1.06829 # DEPENDENCYPART_ARC
(7,18),-0.850704 # DEPENDENCYPART_ARC
(7,19),-1.16037 # DEPENDENCYPART_ARC
(7,20),-1.51185 # DEPENDENCYPART_ARC
(7,21),-0.70772 # DEPENDENCYPART_ARC
(7,22),-0.803011 # DEPENDENCYPART_ARC
(7,23),-1.0742 # DEPENDENCYPART_ARC
(7,24),-0.854504 # DEPENDENCYPART_ARC
(7,25),-1.87882 # DEPENDENCYPART_ARC
(7,26),-0.99406 # DEPENDENCYPART_ARC
(7,27),-1.45501 # DEPENDENCYPART_ARC
(7,28),-2.18335 # DEPENDENCYPART_ARC
(7,29),-1.43756 # DEPENDENCYPART_ARC
(7,30),-2.68738 # DEPENDENCYPART_ARC
(7,31),-1.65804 # DEPENDENCYPART_ARC
(7,32),-1.15901 # DEPENDENCYPART_ARC
(7,33),-1.64316 # DEPENDENCYPART_ARC
(8,1),-0.368057 # DEPENDENCYPART_ARC
(8,2),-0.0758322 # DEPENDENCYPART_ARC
(8,3),1.4217 # DEPENDENCYPART_ARC
(8,4),0.852165 # DEPENDENCYPART_ARC
(8,5),-0.632748 # DEPENDENCYPART_ARC
(8,6),1.15474 # DEPENDENCYPART_ARC
(8,7),3.73454 # DEPENDENCYPART_ARC
(8,9),1.66578 # DEPENDENCYPART_ARC
(8,10),1.00338 # DEPENDENCYPART_ARC
(8,11),0.838157 # DEPENDENCYPART_ARC
(8,12),0.424583 # DEPENDENCYPART_ARC
(8,13),0.417218 # DEPENDENCYPART_ARC
(8,14),-0.0490327 # DEPENDENCYPART_ARC
(8,15),-0.648404 # DEPENDENCYPART_ARC
(8,16),0.070242 # DEPENDENCYPART_ARC
(8,17),-0.0720758 # DEPENDENCYPART_ARC
(8,18),0.0954648 # DEPENDENCYPART_ARC
(8,19),0.119087 # DEPENDENCYPART_ARC
(8,20),-0.145798 # DEPENDENCYPART_ARC
(8,21),-0.550774 # DEPENDENCYPART_ARC
(8,22),-0.0589439 # DEPENDENCYPART_ARC
(8,23),-0.793851 # DEPENDENCYPART_ARC
(8,24),-0.559975 # DEPENDENCYPART_ARC
(8,25),-2.52848 # DEPENDENCYPART_ARC
(8,26),-0.718394 # DEPENDENCYPART_ARC
(8,27),-1.02845 # DEPENDENCYPART_ARC
(8,28),-1.12347 # DEPENDENCYPART_ARC
(8,29),-1.41315 # DEPENDENCYPART_ARC
(8,30),-2.14427 # DEPENDENCYPART_ARC
(8,31),-2.07063 # DEPENDENCYPART_ARC
(8,32),-1.80858 # DEPENDENCYPART_ARC
(8,33),-4.86707 # DEPENDENCYPART_ARC
(9,1),0.598108 # DEPENDENCYPART_ARC
(9,2),1.11357 # DEPENDENCYPART_ARC
(9,3),-0.145263 # DEPENDENCYPART_ARC
(9,4),-0.390254 # DEPENDENCYPART_ARC
(9,5),0.556761 # DEPENDENCYPART_ARC
(9,6),-0.390171 # DEPENDENCYPART_ARC
(9,7),0.512243 # DEPENDENCYPART_ARC
(9,8),2.73721 # DEPENDENCYPART_ARC
(9,10),3.03806 # DEPENDENCYPART_ARC
(9,11),2.22687 # DEPENDENCYPART_ARC
(9,12),1.09751 # DEPENDENCYPART_ARC
(9,13),1.34483 # DEPENDENCYPART_ARC
(9,14),0.510508 # DEPENDENCYPART_ARC
(9,15),1.1211 # DEPENDENCYPART_ARC
(9,16),-0.09833 # DEPENDENCYPART_ARC
(9,17),-0.704654 # DEPENDENCYPART_ARC
(9,18),0.661993 # DEPENDENCYPART_ARC
(9,19),0.393572 # DEPENDENCYPART_ARC
(9,20),-1.62464 # DEPENDENCYPART_ARC
(9,21),-0.132828 # DEPENDENCYPART_ARC
(9,22),-0.568537 # DEPENDENCYPART_ARC
(9,23),-0.67714 # DEPENDENCYPART_ARC
(9,24),-1.61759 # DEPENDENCYPART_ARC
(9,25),-1.80157 # DEPENDENCYPART_ARC
(9,26),0.420625 # DEPENDENCYPART_ARC
(9,27),0.903786 # DEPENDENCYPART_ARC
(9,28),-1.82225 # DEPENDENCYPART_ARC
(9,29),-1.1229 # DEPENDENCYPART_ARC
(9,30),-2.10149 # DEPENDENCYPART_ARC
(9,31),-1.65687 # DEPENDENCYPART_ARC
(9,32),-2.10163 # DEPENDENCYPART_ARC
(9,33),-2.96526 # DEPENDENCYPART_ARC
(10,1),-1.18793 # DEPENDENCYPART_ARC
(10,2),-1.59262 # DEPENDENCYPART_ARC
(10,3),-1.5349 # DEPENDENCYPART_ARC
(10,4),-1.69479 # DEPENDENCYPART_ARC
(10,5),-1.8232 # DEPENDENCYPART_ARC
(10,6),-1.82085 # DEPENDENCYPART_ARC
(10,7),-1.05321 # DEPENDENCYPART_ARC
(10,8),-1.17217 # DEPENDENCYPART_ARC
(10,9),-0.272475 # DEPENDENCYPART_ARC
(10,11),4.65988 # DEPENDENCYPART_ARC
(10,12),1.0356 # DEPENDENCYPART_ARC
(10,13),0.111842 # DEPENDENCYPART_ARC
(10,14),0.873568 # DEPENDENCYPART_ARC
(10,15),-0.650373 # DEPENDENCYPART_ARC
(10,16),-0.384679 # DEPENDENCYPART_ARC
(10,17),-1.14042 # DEPENDENCYPART_ARC
(10,18),0.462118 # DEPENDENCYPART_ARC
(10,19),-1.18321 # DEPENDENCYPART_ARC
(10,20),-1.23124 # DEPENDENCYPART_ARC
(10,21),-4.1023 # DEPENDENCYPART_ARC
(10,22),-4.8084 # DEPENDENCYPART_ARC
(10,23),-1.3445 # DEPENDENCYPART_ARC
(10,24),-4.73424 # DEPENDENCYPART_ARC
(10,25),-2.85488 # DEPENDENCYPART_ARC
(10,26),-2.46596 # DEPENDENCYPART_ARC
(10,27),-1.58553 # DEPENDENCYPART_ARC
(10,28),-1.75647 # DEPENDENCYPART_ARC
(10,29),-7.81663 # DEPENDENCYPART_ARC
(10,30),-1.32279 # DEPENDENCYPART_ARC
(10,31),-1.94684 # DEPENDENCYPART_ARC
(10,32),-7.52087 # DEPENDENCYPART_ARC
(10,33),-2.29678 # DEPENDENCYPART_ARC
(11,1),-1.85164 # DEPENDENCYPART_ARC
(11,2),-1.85156 # DEPENDENCYPART_ARC
(11,3),-0.710118 # DEPENDENCYPART_ARC
(11,4),-1.73286 # DEPENDENCYPART_ARC
(11,5),-2.67938 # DEPENDENCYPART_ARC
(11,6),-1.55746 # DEPENDENCYPART_ARC
(11,7),-0.4244 # DEPENDENCYPART_ARC
(11,8),-2.20049 # DEPENDENCYPART_ARC
(11,9),-0.8672 # DEPENDENCYPART_ARC
(11,10),0.728814 # DEPENDENCYPART_ARC
(11,12),2.45706 # DEPENDENCYPART_ARC
(11,13),0.354703 # DEPENDENCYPART_ARC
(11,14),0.231797 # DEPENDENCYPART_ARC
(11,15),0.184948 # DEPENDENCYPART_ARC
(11,16),0.0401639 # DEPENDENCYPART_ARC
(11,17),-0.113413 # DEPENDENCYPART_ARC
(11,18),0.46697 # DEPENDENCYPART_ARC
(11,19),-0.163292 # DEPENDENCYPART_ARC
(11,20),-0.402739 # DEPENDENCYPART_ARC
(11,21),-1.28851 # DEPENDENCYPART_ARC
(11,22),-0.727002 # DEPENDENCYPART_ARC
(11,23),-0.961576 # DEPENDENCYPART_ARC
(11,24),-0.895304 # DEPENDENCYPART_ARC
(11,25),-2.68598 # DEPENDENCYPART_ARC
(11,26),-1.2374 # DEPENDENCYPART_ARC
(11,27),-1.19069 # DEPENDENCYPART_ARC
(11,28),-1.35825 # DEPENDENCYPART_ARC
(11,29),-1.84892 # DEPENDENCYPART_ARC
(11,30),-2.2808 # DEPENDENCYPART_ARC
(11,31),-2.0876 # DEPENDENCYPART_ARC
(11,32),-1.81225 # DEPENDENCYPART_ARC
(11,33),-3.97316 # DEPENDENCYPART_ARC
(12,1),-2.53153 # DEPENDENCYPART_ARC
(12,2),-2.08336 # DEPENDENCYPART_ARC
(12,3),-2.1971 # DEPENDENCYPART_ARC
(12,4),-2.0906 # DEPENDENCYPART_ARC
(12,5),-2.51359 # DEPENDENCYPART_ARC
(12,6),-2.43091 # DEPENDENCYPART_ARC
(12,7),-1.81055 # DEPENDENCYPART_ARC
(12,8),-2.25241 # DEPENDENCYPART_ARC
(12,9),-2.19463 # DEPENDENCYPART_ARC
(12,10),-1.08075 # DEPENDENCYPART_ARC
(12,11),-0.811048 # DEPENDENCYPART_ARC
(12,13),-1.23699 # DEPENDENCYPART_ARC
(12,14),-1.35583 # DEPENDENCYPART_ARC
(12,15),-1.54058 # DEPENDENCYPART_ARC
(12,16),-2.29268 # DEPENDENCYPART_ARC
(12,17),-2.24282 # DEPENDENCYPART_ARC
(12,18),-1.1715 # DEPENDENCYPART_ARC
(12,19),-2.56173 # DEPENDENCYPART_ARC
(12,20),-2.29947 # DEPENDENCYPART_ARC
(12,21),-2.49916 # DEPENDENCYPART_ARC
(12,22),-2.47047 # DEPENDENCYPART_ARC
(12,23),-2.63738 # DEPENDENCYPART_ARC
(12,24),-2.53143 # DEPENDENCYPART_ARC
(12,25),-2.65228 # DEPENDENCYPART_ARC
(12,26),-2.3359 # DEPENDENCYPART_ARC
(12,27),-2.80473 # DEPENDENCYPART_ARC
(12,28),-2.49997 # DEPENDENCYPART_ARC
(12,29),-2.71954 # DEPENDENCYPART_ARC
(12,30),-2.85967 # DEPENDENCYPART_ARC
(12,31),-2.98065 # DEPENDENCYPART_ARC
(12,32),-2.81953 # DEPENDENCYPART_ARC
(12,33),-2.23526 # DEPENDENCYPART_ARC
(13,1),-1.22101 # DEPENDENCYPART_ARC
(13,2),-1.71759 # DEPENDENCYPART_ARC
(13,3),-1.5715 # DEPENDENCYPART_ARC
(13,4),-1.70725 # DEPENDENCYPART_ARC
(13,5),-1.97223 # DEPENDENCYPART_ARC
(13,6),-1.97372 # DEPENDENCYPART_ARC
(13,7),-1.58064 # DEPENDENCYPART_ARC
(13,8),-1.69541 # DEPENDENCYPART_ARC
(13,9),-1.97126 # DEPENDENCYPART_ARC
(13,10),-0.57434 # DEPENDENCYPART_ARC
(13,11),-0.939675 # DEPENDENCYPART_ARC
(13,12),0.15272 # DEPENDENCYPART_ARC
(13,14),3.70518 # DEPENDENCYPART_ARC
(13,15),0.471313 # DEPENDENCYPART_ARC
(13,16),-0.346311 # DEPENDENCYPART_ARC
(13,17),-0.189565 # DEPENDENCYPART_ARC
(13,18),0.0470644 # DEPENDENCYPART_ARC
(13,19),-1.19384 # DEPENDENCYPART_ARC
(13,20),-1.35828 # DEPENDENCYPART_ARC
(13,21),-3.10028 # DEPENDENCYPART_ARC
(13,22),-3.74376 # DEPENDENCYPART_ARC
(13,23),-1.25223 # DEPENDENCYPART_ARC
(13,24),-4.02559 # DEPENDENCYPART_ARC
(13,25),-2.72792 # DEPENDENCYPART_ARC
(13,26),-2.33936 # DEPENDENCYPART_ARC
(13,27),-1.59118 # DEPENDENCYPART_ARC
(13,28),-1.94496 # DEPENDENCYPART_ARC
(13,29),-6.58439 # DEPENDENCYPART_ARC
(13,30),-1.42246 # DEPENDENCYPART_ARC
(13,31),-1.92132 # DEPENDENCYPART_ARC
(13,32),-6.75726 # DEPENDENCYPART_ARC
(13,33),-2.03392 # DEPENDENCYPART_ARC
(14,1),-2.09564 # DEPENDENCYPART_ARC
(14,2),-1.96548 # DEPENDENCYPART_ARC
(14,3),-0.455979 # DEPENDENCYPART_ARC
(14,4),-1.84906 # DEPENDENCYPART_ARC
(14,5),-2.18335 # DEPENDENCYPART_ARC
(14,6),-1.89771 # DEPENDENCYPART_ARC
(14,7),-2.48551 # DEPENDENCYPART_ARC
(14,8),-3.3073 # DEPENDENCYPART_ARC
(14,9),-2.95669 # DEPENDENCYPART_ARC
(14,10),-0.53998 # DEPENDENCYPART_ARC
(14,11),-2.16551 # DEPENDENCYPART_ARC
(14,12),-1.17105 # DEPENDENCYPART_ARC
(14,13),1.34819 # DEPENDENCYPART_ARC
(14,15),3.19393 # DEPENDENCYPART_ARC
(14,16),1.20667 # DEPENDENCYPART_ARC
(14,17),0.405965 # DEPENDENCYPART_ARC
(14,18),0.27885 # DEPENDENCYPART_ARC
(14,19),0.28654 # DEPENDENCYPART_ARC
(14,20),-0.435578 # DEPENDENCYPART_ARC
(14,21),-0.888194 # DEPENDENCYPART_ARC
(14,22),-0.193003 # DEPENDENCYPART_ARC
(14,23),0.0653247 # DEPENDENCYPART_ARC
(14,24),-0.326176 # DEPENDENCYPART_ARC
(14,25),-2.32567 # DEPENDENCYPART_ARC
(14,26),-1.03337 # DEPENDENCYPART_ARC
(14,27),-0.664013 # DEPENDENCYPART_ARC
(14,28),-0.893998 # DEPENDENCYPART_ARC
(14,29),-1.66415 # DEPENDENCYPART_ARC
(14,30),-1.63937 # DEPENDENCYPART_ARC
(14,31),-1.06557 # DEPENDENCYPART_ARC
(14,32),-0.696927 # DEPENDENCYPART_ARC
(14,33),-3.40795 # DEPENDENCYPART_ARC
(15,1),-0.236743 # DEPENDENCYPART_ARC
(15,2),-0.00643436 # DEPENDENCYPART_ARC
(15,3),-1.32163 # DEPENDENCYPART_ARC
(15,4),-1.00659 # DEPENDENCYPART_ARC
(15,5),-0.119237 # DEPENDENCYPART_ARC
(15,6),-0.916594 # DEPENDENCYPART_ARC
(15,7),-1.65937 # DEPENDENCYPART_ARC
(15,8),-0.972566 # DEPENDENCYPART_ARC
(15,9),-0.474264 # DEPENDENCYPART_ARC
(15,10),0.602204 # DEPENDENCYPART_ARC
(15,11),-1.92599 # DEPENDENCYPART_ARC
(15,12),-1.26687 # DEPENDENCYPART_ARC
(15,13),1.65276 # DEPENDENCYPART_ARC
(15,14),0.893563 # DEPENDENCYPART_ARC
(15,16),1.97386 # DEPENDENCYPART_ARC
(15,17),1.048 # DEPENDENCYPART_ARC
(15,18),0.782312 # DEPENDENCYPART_ARC
(15,19),0.991368 # DEPENDENCYPART_ARC
(15,20),-1.62424 # DEPENDENCYPART_ARC
(15,21),-0.290802 # DEPENDENCYPART_ARC
(15,22),-0.744163 # DEPENDENCYPART_ARC
(15,23),-0.490237 # DEPENDENCYPART_ARC
(15,24),-1.8067 # DEPENDENCYPART_ARC
