# _root_ È accaduto nei_pressi_della pizzeria " Don Ciccio " , in via Ramaglia , nel quartiere Marianella .
#goldHeads=2,0,2,3,6,4,6,7,8,4,10,11,12,11,14,15,16,
#predictedHeads=2,0,2,3,6,4,6,7,8,6,10,11,12,11,14,15,16,
(2,9),0.322257 # DEPENDENCYPART_ARC
(2,10),0.380705 # DEPENDENCYPART_ARC
(2,11),-1.05998 # DEPENDENCYPART_ARC
(2,12),-0.538975 # DEPENDENCYPART_ARC
(2,13),-0.149566 # DEPENDENCYPART_ARC
(2,14),0.349645 # DEPENDENCYPART_ARC
(2,15),-1.99182 # DEPENDENCYPART_ARC
(2,16),-1.06018 # DEPENDENCYPART_ARC
(2,17),-2.06217 # DEPENDENCYPART_ARC
(3,1),-1.43814 # DEPENDENCYPART_ARC
(3,2),-1.36594 # DEPENDENCYPART_ARC
(3,4),4.64209 # DEPENDENCYPART_ARC
(3,5),0.175566 # DEPENDENCYPART_ARC
(3,6),-0.414153 # DEPENDENCYPART_ARC
(3,7),-0.807864 # DEPENDENCYPART_ARC
(3,8),-0.742359 # DEPENDENCYPART_ARC
(3,9),0.602826 # DEPENDENCYPART_ARC
(3,10),-1.23501 # DEPENDENCYPART_ARC
(3,11),-1.75706 # DEPENDENCYPART_ARC
(3,12),-3.24773 # DEPENDENCYPART_ARC
(3,13),0.806016 # DEPENDENCYPART_ARC
(3,14),-0.572587 # DEPENDENCYPART_ARC
(3,15),-4.49227 # DEPENDENCYPART_ARC
(3,16),-5.2736 # DEPENDENCYPART_ARC
(3,17),-1.07756 # DEPENDENCYPART_ARC
(4,1),-1.63835 # DEPENDENCYPART_ARC
(4,2),-0.880167 # DEPENDENCYPART_ARC
(4,3),0.585905 # DEPENDENCYPART_ARC
(4,5),1.90629 # DEPENDENCYPART_ARC
(4,6),0.737276 # DEPENDENCYPART_ARC
(4,7),0.97436 # DEPENDENCYPART_ARC
(4,8),0.23978 # DEPENDENCYPART_ARC
(4,9),0.080919 # DEPENDENCYPART_ARC
(4,10),-0.26849 # DEPENDENCYPART_ARC
(4,11),-0.0257193 # DEPENDENCYPART_ARC
(4,12),0.528472 # DEPENDENCYPART_ARC
(4,13),0.948501 # DEPENDENCYPART_ARC
(4,14),-0.334279 # DEPENDENCYPART_ARC
(4,15),-0.190898 # DEPENDENCYPART_ARC
(4,16),0.313095 # DEPENDENCYPART_ARC
(4,17),-1.84741 # DEPENDENCYPART_ARC
(5,8),-0.596162 # DEPENDENCYPART_ARC
(5,9),-0.131266 # DEPENDENCYPART_ARC
(5,13),-0.796731 # DEPENDENCYPART_ARC
(5,17),-1.09108 # DEPENDENCYPART_ARC
(6,1),-1.89868 # DEPENDENCYPART_ARC
(6,2),-0.573532 # DEPENDENCYPART_ARC
(6,3),0.507951 # DEPENDENCYPART_ARC
(6,4),-1.29861 # DEPENDENCYPART_ARC
(6,5),2.80995 # DEPENDENCYPART_ARC
(6,7),2.8869 # DEPENDENCYPART_ARC
(6,8),0.221194 # DEPENDENCYPART_ARC
(6,9),0.292116 # DEPENDENCYPART_ARC
(6,10),0.815678 # DEPENDENCYPART_ARC
(6,11),0.786233 # DEPENDENCYPART_ARC
(6,12),1.14093 # DEPENDENCYPART_ARC
(6,13),0.355521 # DEPENDENCYPART_ARC
(6,14),0.201458 # DEPENDENCYPART_ARC
(6,15),0.78863 # DEPENDENCYPART_ARC
(6,16),1.17267 # DEPENDENCYPART_ARC
(6,17),-1.95763 # DEPENDENCYPART_ARC
(7,1),-2.71734 # DEPENDENCYPART_ARC
(7,2),-1.29215 # DEPENDENCYPART_ARC
(7,3),-0.129419 # DEPENDENCYPART_ARC
(7,4),-1.70306 # DEPENDENCYPART_ARC
(7,5),0.649569 # DEPENDENCYPART_ARC
(7,6),2.63848 # DEPENDENCYPART_ARC
(7,8),2.00328 # DEPENDENCYPART_ARC
(7,9),0.0398949 # DEPENDENCYPART_ARC
(7,10),0.0284685 # DEPENDENCYPART_ARC
(7,11),0.0246687 # DEPENDENCYPART_ARC
(7,12),0.625204 # DEPENDENCYPART_ARC
(7,13),0.628584 # DEPENDENCYPART_ARC
(7,14),-0.838076 # DEPENDENCYPART_ARC
(7,15),-0.16997 # DEPENDENCYPART_ARC
(7,16),0.349749 # DEPENDENCYPART_ARC
(7,17),-1.45903 # DEPENDENCYPART_ARC
(8,5),-0.409995 # DEPENDENCYPART_ARC
(8,9),2.17984 # DEPENDENCYPART_ARC
(8,13),0.148177 # DEPENDENCYPART_ARC
(8,17),-0.0785875 # DEPENDENCYPART_ARC
(9,5),-0.883804 # DEPENDENCYPART_ARC
(9,8),0.660762 # DEPENDENCYPART_ARC
(9,13),-0.376872 # DEPENDENCYPART_ARC
(9,17),-0.531178 # DEPENDENCYPART_ARC
(10,1),-2.76052 # DEPENDENCYPART_ARC
(10,2),-2.75218 # DEPENDENCYPART_ARC
(10,3),-1.70526 # DEPENDENCYPART_ARC
(10,4),-2.09763 # DEPENDENCYPART_ARC
(10,5),-1.70605 # DEPENDENCYPART_ARC
(10,6),-1.85698 # DEPENDENCYPART_ARC
(10,7),-1.44574 # DEPENDENCYPART_ARC
(10,8),-0.87721 # DEPENDENCYPART_ARC
(10,9),0.525814 # DEPENDENCYPART_ARC
(10,11),2.85188 # DEPENDENCYPART_ARC
(10,12),1.42105 # DEPENDENCYPART_ARC
(10,13),0.0368883 # DEPENDENCYPART_ARC
(10,14),-0.865075 # DEPENDENCYPART_ARC
(10,15),-1.33498 # DEPENDENCYPART_ARC
(10,16),-2.29334 # DEPENDENCYPART_ARC
(10,17),-1.14103 # DEPENDENCYPART_ARC
(11,1),-2.96775 # DEPENDENCYPART_ARC
(11,2),-2.97649 # DEPENDENCYPART_ARC
(11,3),-2.75353 # DEPENDENCYPART_ARC
(11,4),-3.89186 # DEPENDENCYPART_ARC
(11,5),-2.06004 # DEPENDENCYPART_ARC
(11,6),-3.56585 # DEPENDENCYPART_ARC
(11,7),-3.49937 # DEPENDENCYPART_ARC
(11,8),-1.36405 # DEPENDENCYPART_ARC
(11,9),-1.96478 # DEPENDENCYPART_ARC
(11,10),0.219666 # DEPENDENCYPART_ARC
(11,12),2.90459 # DEPENDENCYPART_ARC
(11,13),0.285278 # DEPENDENCYPART_ARC
(11,14),0.358804 # DEPENDENCYPART_ARC
(11,15),0.0861171 # DEPENDENCYPART_ARC
(11,16),1.01544 # DEPENDENCYPART_ARC
(11,17),-1.10393 # DEPENDENCYPART_ARC
(12,1),-3.12279 # DEPENDENCYPART_ARC
(12,2),-1.90612 # DEPENDENCYPART_ARC
(12,3),-1.28689 # DEPENDENCYPART_ARC
(12,4),-3.19215 # DEPENDENCYPART_ARC
(12,5),-1.16679 # DEPENDENCYPART_ARC
(12,6),-0.425257 # DEPENDENCYPART_ARC
(12,7),-0.803084 # DEPENDENCYPART_ARC
(12,8),-0.732492 # DEPENDENCYPART_ARC
(12,9),-1.60508 # DEPENDENCYPART_ARC
(12,10),0.589868 # DEPENDENCYPART_ARC
(12,11),1.30979 # DEPENDENCYPART_ARC
(12,13),2.01584 # DEPENDENCYPART_ARC
(12,14),-0.54683 # DEPENDENCYPART_ARC
(12,15),0.118315 # DEPENDENCYPART_ARC
(12,16),0.518934 # DEPENDENCYPART_ARC
(12,17),-0.72242 # DEPENDENCYPART_ARC
(13,5),-1.67649 # DEPENDENCYPART_ARC
(13,8),-1.5233 # DEPENDENCYPART_ARC
(13,9),-1.15773 # DEPENDENCYPART_ARC
(13,17),-0.840071 # DEPENDENCYPART_ARC
(14,1),-2.98676 # DEPENDENCYPART_ARC
(14,2),-3.56082 # DEPENDENCYPART_ARC
(14,3),-2.16662 # DEPENDENCYPART_ARC
(14,4),-2.92057 # DEPENDENCYPART_ARC
(14,5),-1.67504 # DEPENDENCYPART_ARC
(14,6),-2.88806 # DEPENDENCYPART_ARC
(14,7),-2.73724 # DEPENDENCYPART_ARC
(14,8),-1.58521 # DEPENDENCYPART_ARC
(14,9),-1.16819 # DEPENDENCYPART_ARC
(14,10),-1.06241 # DEPENDENCYPART_ARC
(14,11),-2.11901 # DEPENDENCYPART_ARC
(14,12),-1.85421 # DEPENDENCYPART_ARC
(14,13),0.238223 # DEPENDENCYPART_ARC
(14,15),2.77215 # DEPENDENCYPART_ARC
(14,16),1.44491 # DEPENDENCYPART_ARC
(14,17),-0.340441 # DEPENDENCYPART_ARC
(15,1),-3.3704 # DEPENDENCYPART_ARC
(15,2),-2.81729 # DEPENDENCYPART_ARC
(15,3),-3.15823 # DEPENDENCYPART_ARC
(15,4),-4.88308 # DEPENDENCYPART_ARC
(15,5),-2.37599 # DEPENDENCYPART_ARC
(15,6),-4.20889 # DEPENDENCYPART_ARC
(15,7),-4.17146 # DEPENDENCYPART_ARC
(15,8),-2.31005 # DEPENDENCYPART_ARC
(15,9),-3.48488 # DEPENDENCYPART_ARC
(15,10),-1.81393 # DEPENDENCYPART_ARC
(15,11),-3.19577 # DEPENDENCYPART_ARC
(15,12),-2.78841 # DEPENDENCYPART_ARC
(15,13),-1.8067 # DEPENDENCYPART_ARC
(15,14),0.330414 # DEPENDENCYPART_ARC
(15,16),2.87555 # DEPENDENCYPART_ARC
(15,17),-0.0635024 # DEPENDENCYPART_ARC
(16,1),-3.11114 # DEPENDENCYPART_ARC
(16,2),-1.96605 # DEPENDENCYPART_ARC
(16,3),-1.70284 # DEPENDENCYPART_ARC
(16,4),-3.50417 # DEPENDENCYPART_ARC
(16,5),-1.55037 # DEPENDENCYPART_ARC
(16,6),-0.917598 # DEPENDENCYPART_ARC
(16,7),-1.51726 # DEPENDENCYPART_ARC
(16,8),-1.40426 # DEPENDENCYPART_ARC
(16,9),-2.47647 # DEPENDENCYPART_ARC
(16,10),-0.942416 # DEPENDENCYPART_ARC
(16,11),-1.24721 # DEPENDENCYPART_ARC
(16,12),-0.463754 # DEPENDENCYPART_ARC
(16,13),-1.46982 # DEPENDENCYPART_ARC
(16,14),0.36158 # DEPENDENCYPART_ARC
(16,15),1.26399 # DEPENDENCYPART_ARC
(16,17),2.38947 # DEPENDENCYPART_ARC
(17,5),-1.66307 # DEPENDENCYPART_ARC
(17,8),-1.64108 # DEPENDENCYPART_ARC
(17,9),-1.44753 # DEPENDENCYPART_ARC
(17,13),-1.11659 # DEPENDENCYPART_ARC
