# _root_ Appesi ai muri , costose litografie fuori commercio e quadri impressionisti , dono di mecenati .
#goldHeads=6,1,2,3,6,0,6,7,6,6,10,11,6,13,14,15,
#predictedHeads=0,1,2,3,6,1,6,7,8,6,10,11,6,13,14,15,
(3,7),0.2846 # DEPENDENCYPART_ARC
(3,8),0.110705 # DEPENDENCYPART_ARC
(3,9),1.13374 # DEPENDENCYPART_ARC
(3,10),1.00785 # DEPENDENCYPART_ARC
(3,11),0.884588 # DEPENDENCYPART_ARC
(3,12),-0.0327305 # DEPENDENCYPART_ARC
(3,13),-0.204515 # DEPENDENCYPART_ARC
(3,14),-0.713978 # DEPENDENCYPART_ARC
(3,15),0.236665 # DEPENDENCYPART_ARC
(3,16),-2.00935 # DEPENDENCYPART_ARC
(4,1),-2.29112 # DEPENDENCYPART_ARC
(4,2),-1.17725 # DEPENDENCYPART_ARC
(4,3),-0.8966 # DEPENDENCYPART_ARC
(4,5),-0.890732 # DEPENDENCYPART_ARC
(4,6),-1.48994 # DEPENDENCYPART_ARC
(4,7),-1.99278 # DEPENDENCYPART_ARC
(4,8),-2.06531 # DEPENDENCYPART_ARC
(4,9),-2.15813 # DEPENDENCYPART_ARC
(4,10),-2.27437 # DEPENDENCYPART_ARC
(4,11),-2.52387 # DEPENDENCYPART_ARC
(4,12),-1.13952 # DEPENDENCYPART_ARC
(4,13),-2.46136 # DEPENDENCYPART_ARC
(4,14),-2.42516 # DEPENDENCYPART_ARC
(4,15),-2.43276 # DEPENDENCYPART_ARC
(4,16),-1.36037 # DEPENDENCYPART_ARC
(5,1),-2.77642 # DEPENDENCYPART_ARC
(5,2),-0.718596 # DEPENDENCYPART_ARC
(5,3),-0.937618 # DEPENDENCYPART_ARC
(5,4),0.582175 # DEPENDENCYPART_ARC
(5,6),0.778724 # DEPENDENCYPART_ARC
(5,7),-0.0730586 # DEPENDENCYPART_ARC
(5,8),-0.656534 # DEPENDENCYPART_ARC
(5,9),-0.0819696 # DEPENDENCYPART_ARC
(5,10),-0.427823 # DEPENDENCYPART_ARC
(5,11),-0.401112 # DEPENDENCYPART_ARC
(5,12),-0.458914 # DEPENDENCYPART_ARC
(5,13),-1.47226 # DEPENDENCYPART_ARC
(5,14),-0.757717 # DEPENDENCYPART_ARC
(5,15),-0.512049 # DEPENDENCYPART_ARC
(5,16),-1.35056 # DEPENDENCYPART_ARC
(6,1),0.0748873 # DEPENDENCYPART_ARC
(6,2),0.477762 # DEPENDENCYPART_ARC
(6,3),0.253217 # DEPENDENCYPART_ARC
(6,4),-0.35838 # DEPENDENCYPART_ARC
(6,5),3.97839 # DEPENDENCYPART_ARC
(6,7),2.44112 # DEPENDENCYPART_ARC
(6,8),1.18014 # DEPENDENCYPART_ARC
(6,9),1.49264 # DEPENDENCYPART_ARC
(6,10),1.55125 # DEPENDENCYPART_ARC
(6,11),0.759377 # DEPENDENCYPART_ARC
(6,12),0.993391 # DEPENDENCYPART_ARC
(6,13),0.892019 # DEPENDENCYPART_ARC
(6,14),0.468405 # DEPENDENCYPART_ARC
(6,15),0.72922 # DEPENDENCYPART_ARC
(6,16),-1.127 # DEPENDENCYPART_ARC
(7,1),-2.17247 # DEPENDENCYPART_ARC
(7,2),-0.955964 # DEPENDENCYPART_ARC
(7,3),-1.50742 # DEPENDENCYPART_ARC
(7,4),-1.14256 # DEPENDENCYPART_ARC
(7,5),-0.96565 # DEPENDENCYPART_ARC
(7,6),-0.299952 # DEPENDENCYPART_ARC
(7,8),4.01775 # DEPENDENCYPART_ARC
(7,9),0.900315 # DEPENDENCYPART_ARC
(7,10),0.376662 # DEPENDENCYPART_ARC
(7,11),0.0341426 # DEPENDENCYPART_ARC
(7,12),-0.0594814 # DEPENDENCYPART_ARC
(7,13),-1.18883 # DEPENDENCYPART_ARC
(7,14),-0.549359 # DEPENDENCYPART_ARC
(7,15),-1.14371 # DEPENDENCYPART_ARC
(7,16),-0.742479 # DEPENDENCYPART_ARC
(8,1),-1.18778 # DEPENDENCYPART_ARC
(8,2),-1.61655 # DEPENDENCYPART_ARC
(8,3),-1.84102 # DEPENDENCYPART_ARC
(8,4),-2.4512 # DEPENDENCYPART_ARC
(8,5),-0.0606043 # DEPENDENCYPART_ARC
(8,6),-1.39582 # DEPENDENCYPART_ARC
(8,7),0.958827 # DEPENDENCYPART_ARC
(8,9),2.19164 # DEPENDENCYPART_ARC
(8,10),1.54977 # DEPENDENCYPART_ARC
(8,11),0.551881 # DEPENDENCYPART_ARC
(8,12),0.121069 # DEPENDENCYPART_ARC
(8,13),0.504212 # DEPENDENCYPART_ARC
(8,14),0.349455 # DEPENDENCYPART_ARC
(8,15),0.426261 # DEPENDENCYPART_ARC
(8,16),-1.19676 # DEPENDENCYPART_ARC
(9,1),-2.72658 # DEPENDENCYPART_ARC
(9,2),-1.83636 # DEPENDENCYPART_ARC
(9,3),-2.57797 # DEPENDENCYPART_ARC
(9,4),-1.86718 # DEPENDENCYPART_ARC
(9,5),-2.00783 # DEPENDENCYPART_ARC
(9,6),-1.84093 # DEPENDENCYPART_ARC
(9,7),-1.0373 # DEPENDENCYPART_ARC
(9,8),-0.674064 # DEPENDENCYPART_ARC
(9,10),-0.05069 # DEPENDENCYPART_ARC
(9,11),-0.82835 # DEPENDENCYPART_ARC
(9,12),-0.37231 # DEPENDENCYPART_ARC
(9,13),-1.43168 # DEPENDENCYPART_ARC
(9,14),-1.80096 # DEPENDENCYPART_ARC
(9,15),-1.57659 # DEPENDENCYPART_ARC
(9,16),-1.427 # DEPENDENCYPART_ARC
(10,1),-1.1904 # DEPENDENCYPART_ARC
(10,2),-1.71419 # DEPENDENCYPART_ARC
(10,3),-1.68845 # DEPENDENCYPART_ARC
(10,4),-3.12118 # DEPENDENCYPART_ARC
(10,5),-0.449401 # DEPENDENCYPART_ARC
(10,6),-1.76136 # DEPENDENCYPART_ARC
(10,7),-0.651309 # DEPENDENCYPART_ARC
(10,8),-1.29462 # DEPENDENCYPART_ARC
(10,9),0.00470107 # DEPENDENCYPART_ARC
(10,11),3.3307 # DEPENDENCYPART_ARC
(10,12),0.857451 # DEPENDENCYPART_ARC
(10,13),0.879148 # DEPENDENCYPART_ARC
(10,14),0.835068 # DEPENDENCYPART_ARC
(10,15),1.18488 # DEPENDENCYPART_ARC
(10,16),-0.284142 # DEPENDENCYPART_ARC
(11,1),-1.96888 # DEPENDENCYPART_ARC
(11,2),-0.886069 # DEPENDENCYPART_ARC
(11,3),-1.42911 # DEPENDENCYPART_ARC
(11,4),-1.08021 # DEPENDENCYPART_ARC
(11,5),-0.863537 # DEPENDENCYPART_ARC
(11,6),-1.49585 # DEPENDENCYPART_ARC
(11,7),0.0710429 # DEPENDENCYPART_ARC
(11,8),-0.925491 # DEPENDENCYPART_ARC
(11,9),0.291055 # DEPENDENCYPART_ARC
(11,10),0.860372 # DEPENDENCYPART_ARC
(11,12),1.80483 # DEPENDENCYPART_ARC
(11,13),-0.00835086 # DEPENDENCYPART_ARC
(11,14),-0.0712337 # DEPENDENCYPART_ARC
(11,15),0.366154 # DEPENDENCYPART_ARC
(11,16),-0.27337 # DEPENDENCYPART_ARC
(12,1),-2.88749 # DEPENDENCYPART_ARC
(12,2),-1.93251 # DEPENDENCYPART_ARC
(12,3),-2.48016 # DEPENDENCYPART_ARC
(12,4),-2.12714 # DEPENDENCYPART_ARC
(12,5),-2.34024 # DEPENDENCYPART_ARC
(12,6),-2.32583 # DEPENDENCYPART_ARC
(12,7),-1.63336 # DEPENDENCYPART_ARC
(12,8),-2.08134 # DEPENDENCYPART_ARC
(12,9),-1.46477 # DEPENDENCYPART_ARC
(12,10),-1.56896 # DEPENDENCYPART_ARC
(12,11),-0.58957 # DEPENDENCYPART_ARC
(12,13),-0.642499 # DEPENDENCYPART_ARC
(12,14),-1.815 # DEPENDENCYPART_ARC
(12,15),-1.79489 # DEPENDENCYPART_ARC
(12,16),-0.817281 # DEPENDENCYPART_ARC
(13,1),-1.07824 # DEPENDENCYPART_ARC
(13,2),-1.9844 # DEPENDENCYPART_ARC
(13,3),-2.35681 # DEPENDENCYPART_ARC
(13,4),-2.53451 # DEPENDENCYPART_ARC
(13,5),-0.373663 # DEPENDENCYPART_ARC
(13,6),-2.6638 # DEPENDENCYPART_ARC
(13,7),-1.14624 # DEPENDENCYPART_ARC
(13,8),-1.76337 # DEPENDENCYPART_ARC
(13,9),-0.86926 # DEPENDENCYPART_ARC
(13,10),-0.836981 # DEPENDENCYPART_ARC
(13,11),1.07684 # DEPENDENCYPART_ARC
(13,12),0.38224 # DEPENDENCYPART_ARC
(13,14),3.06573 # DEPENDENCYPART_ARC
(13,15),0.926383 # DEPENDENCYPART_ARC
(13,16),0.360071 # DEPENDENCYPART_ARC
(14,1),-2.39665 # DEPENDENCYPART_ARC
(14,2),-1.62759 # DEPENDENCYPART_ARC
(14,3),-2.06389 # DEPENDENCYPART_ARC
(14,4),-2.03213 # DEPENDENCYPART_ARC
(14,5),-2.08439 # DEPENDENCYPART_ARC
(14,6),-2.0735 # DEPENDENCYPART_ARC
(14,7),-1.30216 # DEPENDENCYPART_ARC
(14,8),-1.79941 # DEPENDENCYPART_ARC
(14,9),-0.838239 # DEPENDENCYPART_ARC
(14,10),-1.51462 # DEPENDENCYPART_ARC
(14,11),-1.35603 # DEPENDENCYPART_ARC
(14,12),-0.921529 # DEPENDENCYPART_ARC
(14,13),-0.242118 # DEPENDENCYPART_ARC
(14,15),4.40779 # DEPENDENCYPART_ARC
(14,16),-0.266967 # DEPENDENCYPART_ARC
(15,1),-2.08461 # DEPENDENCYPART_ARC
(15,2),-2.6637 # DEPENDENCYPART_ARC
(15,3),-2.31672 # DEPENDENCYPART_ARC
(15,4),-3.39792 # DEPENDENCYPART_ARC
(15,5),-1.06606 # DEPENDENCYPART_ARC
(15,6),-2.2957 # DEPENDENCYPART_ARC
(15,7),-1.8953 # DEPENDENCYPART_ARC
(15,8),-2.79059 # DEPENDENCYPART_ARC
(15,9),-1.79626 # DEPENDENCYPART_ARC
(15,10),-1.14665 # DEPENDENCYPART_ARC
(15,11),-1.09493 # DEPENDENCYPART_ARC
(15,12),-1.96292 # DEPENDENCYPART_ARC
(15,13),-1.55589 # DEPENDENCYPART_ARC
(15,14),0.670476 # DEPENDENCYPART_ARC
(15,16),2.54932 # DEPENDENCYPART_ARC
(16,1),-2.99716 # DEPENDENCYPART_ARC
(16,2),-2.21216 # DEPENDENCYPART_ARC
(16,3),-2.6641 # DEPENDENCYPART_ARC
(16,4),-2.2415 # DEPENDENCYPART_ARC
(16,5),-2.59077 # DEPENDENCYPART_ARC
(16,6),-2.59177 # DEPENDENCYPART_ARC
(16,7),-1.97131 # DEPENDENCYPART_ARC
(16,8),-2.53868 # DEPENDENCYPART_ARC
(16,9),-1.954 # DEPENDENCYPART_ARC
(16,10),-2.41795 # DEPENDENCYPART_ARC
(16,11),-2.2693 # DEPENDENCYPART_ARC
(16,12),-1.884 # DEPENDENCYPART_ARC
(16,13),-1.84434 # DEPENDENCYPART_ARC
(16,14),-1.09975 # DEPENDENCYPART_ARC
(16,15),-0.818931 # DEPENDENCYPART_ARC
