# _root_ Una sorta di minimalismo , venato forse di ipocrisia , ma proprio al confine col rispetto e la riservatezza .
#goldHeads=2,0,2,3,4,4,6,6,8,9,4,13,4,13,14,15,16,19,16,19,
#predictedHeads=2,0,2,3,4,2,6,6,8,9,6,13,6,13,14,15,16,19,16,19,
(9,4),-2.90187 # DEPENDENCYPART_ARC
(9,5),-2.67026 # DEPENDENCYPART_ARC
(9,6),-1.18912 # DEPENDENCYPART_ARC
(9,7),0.0295938 # DEPENDENCYPART_ARC
(9,8),0.522165 # DEPENDENCYPART_ARC
(9,10),1.62536 # DEPENDENCYPART_ARC
(9,11),0.156513 # DEPENDENCYPART_ARC
(9,12),-0.32848 # DEPENDENCYPART_ARC
(9,13),-0.530721 # DEPENDENCYPART_ARC
(9,14),0.0342976 # DEPENDENCYPART_ARC
(9,15),-0.195308 # DEPENDENCYPART_ARC
(9,16),-0.0213711 # DEPENDENCYPART_ARC
(9,17),0.0423031 # DEPENDENCYPART_ARC
(9,18),-0.671616 # DEPENDENCYPART_ARC
(9,19),-0.209789 # DEPENDENCYPART_ARC
(9,20),-1.22748 # DEPENDENCYPART_ARC
(10,1),-2.12441 # DEPENDENCYPART_ARC
(10,2),-2.6442 # DEPENDENCYPART_ARC
(10,3),-1.96946 # DEPENDENCYPART_ARC
(10,4),-2.56838 # DEPENDENCYPART_ARC
(10,5),-2.11687 # DEPENDENCYPART_ARC
(10,6),-2.57635 # DEPENDENCYPART_ARC
(10,7),-1.61819 # DEPENDENCYPART_ARC
(10,8),-1.11414 # DEPENDENCYPART_ARC
(10,9),-0.841375 # DEPENDENCYPART_ARC
(10,11),-1.29878 # DEPENDENCYPART_ARC
(10,12),-1.93145 # DEPENDENCYPART_ARC
(10,13),-2.09339 # DEPENDENCYPART_ARC
(10,14),-2.16703 # DEPENDENCYPART_ARC
(10,15),-2.35139 # DEPENDENCYPART_ARC
(10,16),-2.36736 # DEPENDENCYPART_ARC
(10,17),-2.25815 # DEPENDENCYPART_ARC
(10,18),-2.2933 # DEPENDENCYPART_ARC
(10,19),-2.5415 # DEPENDENCYPART_ARC
(10,20),-1.22308 # DEPENDENCYPART_ARC
(11,1),-1.78697 # DEPENDENCYPART_ARC
(11,2),-2.3908 # DEPENDENCYPART_ARC
(11,3),-1.85769 # DEPENDENCYPART_ARC
(11,4),-2.18151 # DEPENDENCYPART_ARC
(11,5),-1.78649 # DEPENDENCYPART_ARC
(11,6),-2.28726 # DEPENDENCYPART_ARC
(11,7),-1.08749 # DEPENDENCYPART_ARC
(11,8),-1.00649 # DEPENDENCYPART_ARC
(11,9),-1.23658 # DEPENDENCYPART_ARC
(11,10),0.283981 # DEPENDENCYPART_ARC
(11,12),-0.306611 # DEPENDENCYPART_ARC
(11,13),-0.923966 # DEPENDENCYPART_ARC
(11,14),-0.931617 # DEPENDENCYPART_ARC
(11,15),-1.18666 # DEPENDENCYPART_ARC
(11,16),-1.18698 # DEPENDENCYPART_ARC
(11,17),-0.649633 # DEPENDENCYPART_ARC
(11,18),-1.42541 # DEPENDENCYPART_ARC
(11,19),-1.46782 # DEPENDENCYPART_ARC
(11,20),-1.05078 # DEPENDENCYPART_ARC
(12,1),-2.03084 # DEPENDENCYPART_ARC
(12,2),-2.93809 # DEPENDENCYPART_ARC
(12,3),-1.94129 # DEPENDENCYPART_ARC
(12,4),-2.84444 # DEPENDENCYPART_ARC
(12,5),-2.34735 # DEPENDENCYPART_ARC
(12,6),-2.86185 # DEPENDENCYPART_ARC
(12,7),-1.45619 # DEPENDENCYPART_ARC
(12,8),-1.35936 # DEPENDENCYPART_ARC
(12,9),-2.0248 # DEPENDENCYPART_ARC
(12,10),-1.18901 # DEPENDENCYPART_ARC
(12,11),0.0752978 # DEPENDENCYPART_ARC
(12,13),0.197163 # DEPENDENCYPART_ARC
(12,14),0.220514 # DEPENDENCYPART_ARC
(12,15),-0.619085 # DEPENDENCYPART_ARC
(12,16),-0.345916 # DEPENDENCYPART_ARC
(12,17),-0.529964 # DEPENDENCYPART_ARC
(12,18),-0.782061 # DEPENDENCYPART_ARC
(12,19),-0.996321 # DEPENDENCYPART_ARC
(12,20),-1.01769 # DEPENDENCYPART_ARC
(13,1),-0.97851 # DEPENDENCYPART_ARC
(13,2),-2.12805 # DEPENDENCYPART_ARC
(13,3),-0.733225 # DEPENDENCYPART_ARC
(13,4),-1.50646 # DEPENDENCYPART_ARC
(13,5),-1.1226 # DEPENDENCYPART_ARC
(13,6),-1.86887 # DEPENDENCYPART_ARC
(13,7),-0.171978 # DEPENDENCYPART_ARC
(13,8),-0.208965 # DEPENDENCYPART_ARC
(13,9),-1.37859 # DEPENDENCYPART_ARC
(13,10),-0.342073 # DEPENDENCYPART_ARC
(13,11),0.532369 # DEPENDENCYPART_ARC
(13,12),2.34367 # DEPENDENCYPART_ARC
(13,14),3.23234 # DEPENDENCYPART_ARC
(13,15),0.354354 # DEPENDENCYPART_ARC
(13,16),0.34533 # DEPENDENCYPART_ARC
(13,17),0.270313 # DEPENDENCYPART_ARC
(13,18),-1.46841 # DEPENDENCYPART_ARC
(13,19),-1.99478 # DEPENDENCYPART_ARC
(13,20),-0.66971 # DEPENDENCYPART_ARC
(14,1),-2.90871 # DEPENDENCYPART_ARC
(14,2),-4.08985 # DEPENDENCYPART_ARC
(14,3),-2.42012 # DEPENDENCYPART_ARC
(14,4),-3.1492 # DEPENDENCYPART_ARC
(14,5),-3.28925 # DEPENDENCYPART_ARC
(14,6),-1.69186 # DEPENDENCYPART_ARC
(14,7),-1.39426 # DEPENDENCYPART_ARC
(14,8),-1.51546 # DEPENDENCYPART_ARC
(14,9),-2.9535 # DEPENDENCYPART_ARC
(14,10),-2.55991 # DEPENDENCYPART_ARC
(14,11),-1.25216 # DEPENDENCYPART_ARC
(14,12),0.313584 # DEPENDENCYPART_ARC
(14,13),0.8966 # DEPENDENCYPART_ARC
(14,15),2.02991 # DEPENDENCYPART_ARC
(14,16),1.05238 # DEPENDENCYPART_ARC
(14,17),0.775072 # DEPENDENCYPART_ARC
(14,18),-0.486362 # DEPENDENCYPART_ARC
(14,19),0.0919142 # DEPENDENCYPART_ARC
(14,20),-0.456895 # DEPENDENCYPART_ARC
(15,1),-1.9874 # DEPENDENCYPART_ARC
(15,2),-2.99433 # DEPENDENCYPART_ARC
(15,3),-1.63244 # DEPENDENCYPART_ARC
(15,4),-2.57071 # DEPENDENCYPART_ARC
(15,5),-2.0338 # DEPENDENCYPART_ARC
(15,6),-2.85464 # DEPENDENCYPART_ARC
(15,7),-1.21369 # DEPENDENCYPART_ARC
(15,8),-1.18814 # DEPENDENCYPART_ARC
(15,9),-2.54048 # DEPENDENCYPART_ARC
(15,10),-1.65667 # DEPENDENCYPART_ARC
(15,11),-1.0196 # DEPENDENCYPART_ARC
(15,12),-0.112036 # DEPENDENCYPART_ARC
(15,13),-0.508923 # DEPENDENCYPART_ARC
(15,14),-0.603139 # DEPENDENCYPART_ARC
(15,16),3.43654 # DEPENDENCYPART_ARC
(15,17),0.465131 # DEPENDENCYPART_ARC
(15,18),-1.34328 # DEPENDENCYPART_ARC
(15,19),-0.667169 # DEPENDENCYPART_ARC
(15,20),-0.919322 # DEPENDENCYPART_ARC
(16,1),-3.25325 # DEPENDENCYPART_ARC
(16,2),-4.09649 # DEPENDENCYPART_ARC
(16,3),-2.35106 # DEPENDENCYPART_ARC
(16,4),-3.08058 # DEPENDENCYPART_ARC
(16,5),-3.30453 # DEPENDENCYPART_ARC
(16,6),-1.38493 # DEPENDENCYPART_ARC
(16,7),-1.56551 # DEPENDENCYPART_ARC
(16,8),-1.69932 # DEPENDENCYPART_ARC
(16,9),-3.2104 # DEPENDENCYPART_ARC
(16,10),-2.81993 # DEPENDENCYPART_ARC
(16,11),-1.74255 # DEPENDENCYPART_ARC
(16,12),-0.692836 # DEPENDENCYPART_ARC
(16,13),-0.208718 # DEPENDENCYPART_ARC
(16,14),-0.900355 # DEPENDENCYPART_ARC
(16,15),1.17656 # DEPENDENCYPART_ARC
(16,17),1.31994 # DEPENDENCYPART_ARC
(16,18),-0.188099 # DEPENDENCYPART_ARC
(16,19),0.800395 # DEPENDENCYPART_ARC
(16,20),0.114552 # DEPENDENCYPART_ARC
(17,1),-1.97304 # DEPENDENCYPART_ARC
(17,2),-3.2125 # DEPENDENCYPART_ARC
(17,3),-2.10636 # DEPENDENCYPART_ARC
(17,4),-2.88994 # DEPENDENCYPART_ARC
(17,5),-2.05152 # DEPENDENCYPART_ARC
(17,6),-2.64271 # DEPENDENCYPART_ARC
(17,7),-1.64671 # DEPENDENCYPART_ARC
(17,8),-1.75442 # DEPENDENCYPART_ARC
(17,9),-2.54278 # DEPENDENCYPART_ARC
(17,10),-1.69937 # DEPENDENCYPART_ARC
(17,11),-1.25804 # DEPENDENCYPART_ARC
(17,12),-1.28069 # DEPENDENCYPART_ARC
(17,13),-1.33425 # DEPENDENCYPART_ARC
(17,14),-1.6468 # DEPENDENCYPART_ARC
(17,15),-0.82725 # DEPENDENCYPART_ARC
(17,16),-0.509062 # DEPENDENCYPART_ARC
(17,18),-0.547092 # DEPENDENCYPART_ARC
(17,19),-0.439942 # DEPENDENCYPART_ARC
(17,20),-0.593688 # DEPENDENCYPART_ARC
(18,1),-2.92155 # DEPENDENCYPART_ARC
(18,2),-3.55506 # DEPENDENCYPART_ARC
(18,3),-3.55472 # DEPENDENCYPART_ARC
(18,4),-3.7207 # DEPENDENCYPART_ARC
(18,5),-2.99398 # DEPENDENCYPART_ARC
(18,6),-4.27075 # DEPENDENCYPART_ARC
(18,7),-3.21159 # DEPENDENCYPART_ARC
(18,8),-3.19762 # DEPENDENCYPART_ARC
(18,9),-3.28396 # DEPENDENCYPART_ARC
(18,10),-2.76564 # DEPENDENCYPART_ARC
(18,11),-2.94286 # DEPENDENCYPART_ARC
(18,12),-2.90923 # DEPENDENCYPART_ARC
(18,13),-2.88598 # DEPENDENCYPART_ARC
(18,14),-3.04309 # DEPENDENCYPART_ARC
(18,15),-2.37088 # DEPENDENCYPART_ARC
(18,16),-2.52087 # DEPENDENCYPART_ARC
(18,17),-1.47501 # DEPENDENCYPART_ARC
(18,19),1.04565 # DEPENDENCYPART_ARC
(18,20),-0.170467 # DEPENDENCYPART_ARC
(19,1),-2.89175 # DEPENDENCYPART_ARC
(19,2),-3.12026 # DEPENDENCYPART_ARC
(19,3),-2.0569 # DEPENDENCYPART_ARC
(19,4),-3.18572 # DEPENDENCYPART_ARC
(19,5),-3.00856 # DEPENDENCYPART_ARC
(19,6),-1.04231 # DEPENDENCYPART_ARC
(19,7),-1.09187 # DEPENDENCYPART_ARC
(19,8),-1.35047 # DEPENDENCYPART_ARC
(19,9),-2.44341 # DEPENDENCYPART_ARC
(19,10),-2.6001 # DEPENDENCYPART_ARC
(19,11),-1.68277 # DEPENDENCYPART_ARC
(19,12),-0.537069 # DEPENDENCYPART_ARC
(19,13),-0.438308 # DEPENDENCYPART_ARC
(19,14),-1.71963 # DEPENDENCYPART_ARC
(19,15),-0.0747964 # DEPENDENCYPART_ARC
(19,16),-1.24056 # DEPENDENCYPART_ARC
(19,17),0.152486 # DEPENDENCYPART_ARC
(19,18),3.26161 # DEPENDENCYPART_ARC
(19,20),2.50311 # DEPENDENCYPART_ARC
(20,1),-2.21953 # DEPENDENCYPART_ARC
(20,2),-2.82434 # DEPENDENCYPART_ARC
(20,3),-2.26911 # DEPENDENCYPART_ARC
(20,4),-2.8613 # DEPENDENCYPART_ARC
(20,5),-2.45978 # DEPENDENCYPART_ARC
(20,6),-3.031 # DEPENDENCYPART_ARC
(20,7),-2.41417 # DEPENDENCYPART_ARC
(20,8),-2.08867 # DEPENDENCYPART_ARC
(20,9),-2.75963 # DEPENDENCYPART_ARC
(20,10),-2.23724 # DEPENDENCYPART_ARC
(20,11),-2.07284 # DEPENDENCYPART_ARC
(20,12),-2.29897 # DEPENDENCYPART_ARC
(20,13),-1.87094 # DEPENDENCYPART_ARC
(20,14),-2.43029 # DEPENDENCYPART_ARC
(20,15),-1.71908 # DEPENDENCYPART_ARC
(20,16),-2.1873 # DEPENDENCYPART_ARC
(20,17),-1.50874 # DEPENDENCYPART_ARC
(20,18),-0.843152 # DEPENDENCYPART_ARC
(20,19),-0.861767 # DEPENDENCYPART_ARC
