# _root_ Accanto un calice bianco , tre sigarette accese , disposte a_raggiera .
#goldHeads=3,3,0,3,3,7,3,7,8,7,10,11,
#predictedHeads=3,3,0,3,4,7,3,7,8,7,10,11,
(7,2),-0.0207822 # DEPENDENCYPART_ARC
(7,3),-1.43262 # DEPENDENCYPART_ARC
(7,4),-0.381043 # DEPENDENCYPART_ARC
(7,5),-0.437031 # DEPENDENCYPART_ARC
(7,6),2.41037 # DEPENDENCYPART_ARC
(7,8),3.60016 # DEPENDENCYPART_ARC
(7,9),0.388373 # DEPENDENCYPART_ARC
(7,10),2.17944 # DEPENDENCYPART_ARC
(7,11),-0.331565 # DEPENDENCYPART_ARC
(7,12),-0.575994 # DEPENDENCYPART_ARC
(8,1),-0.925134 # DEPENDENCYPART_ARC
(8,2),-1.56296 # DEPENDENCYPART_ARC
(8,3),-1.42767 # DEPENDENCYPART_ARC
(8,4),-1.45758 # DEPENDENCYPART_ARC
(8,5),-0.650507 # DEPENDENCYPART_ARC
(8,6),0.215196 # DEPENDENCYPART_ARC
(8,7),0.506054 # DEPENDENCYPART_ARC
(8,9),2.08722 # DEPENDENCYPART_ARC
(8,10),1.13172 # DEPENDENCYPART_ARC
(8,11),-0.795522 # DEPENDENCYPART_ARC
(8,12),-0.161395 # DEPENDENCYPART_ARC
(9,2),-1.4655 # DEPENDENCYPART_ARC
(9,5),-1.44259 # DEPENDENCYPART_ARC
(9,12),-0.636137 # DEPENDENCYPART_ARC
(10,1),-0.133979 # DEPENDENCYPART_ARC
(10,2),-1.35483 # DEPENDENCYPART_ARC
(10,3),-1.7339 # DEPENDENCYPART_ARC
(10,4),-1.83777 # DEPENDENCYPART_ARC
(10,5),-1.8352 # DEPENDENCYPART_ARC
(10,6),-0.340276 # DEPENDENCYPART_ARC
(10,7),-0.288022 # DEPENDENCYPART_ARC
(10,8),0.112227 # DEPENDENCYPART_ARC
(10,9),0.139227 # DEPENDENCYPART_ARC
(10,11),1.75711 # DEPENDENCYPART_ARC
(10,12),0.309986 # DEPENDENCYPART_ARC
(11,1),-1.60372 # DEPENDENCYPART_ARC
(11,2),-1.51866 # DEPENDENCYPART_ARC
(11,3),-2.44427 # DEPENDENCYPART_ARC
(11,4),-1.99225 # DEPENDENCYPART_ARC
(11,5),-1.80382 # DEPENDENCYPART_ARC
(11,6),-1.56186 # DEPENDENCYPART_ARC
(11,7),-2.0137 # DEPENDENCYPART_ARC
(11,8),-1.34968 # DEPENDENCYPART_ARC
(11,9),-0.794993 # DEPENDENCYPART_ARC
(11,10),-0.471685 # DEPENDENCYPART_ARC
(11,12),2.23664 # DEPENDENCYPART_ARC
(12,2),-1.66725 # DEPENDENCYPART_ARC
(12,5),-1.69455 # DEPENDENCYPART_ARC
(12,9),-1.1099 # DEPENDENCYPART_ARC
